# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	waaH//
go_0009411_6	yihS//wrbA//speA//mak//dcd//waaH//yfcF//rph//ileS//
go_0009416_5	queA//ribB//
go_0009423_8	lysC//fau//dgoA//ppk//
go_0009432_5	edd//ilvB//dkgA//ampD//ygeX//
go_0009435_9	manA//ogt//dmsA//roxA//pck//
go_0009436_6	tyrA//sseA//nrfD//ruvA//
go_0009437_5	
go_0009438_5	
go_0009440_6	gutQ//hdhA//tdcG//
go_0009442_7	ubiD//entD//hypB//treC//ada//
go_0009443_5	guaC//glxK//murQ//
go_0009446_6	bacA//torY//
go_0009447_6	waaB//adhE//argI//entD//aroD//umpG//sdaA//srlD//
go_0009450_6	ilvC//hisC//clsC//tauD//
go_0009451_6	fkpB//rnd//eutD//nudF//
go_0009593_4	
go_0009597_5	
go_0009636_4	eno//ttdA//glpK//waaZ//ltaE//
go_0009637_6	
go_0009651_5	
go_0009697_5	narY//
go_0009758_2	sodC//
go_0009785_5	
go_0009970_6	ulaG//ydfG//kbaZ//
go_0009972_10	malZ//
go_0009992_5	pgk//ilvM//nrfD//
go_0010033_4	
go_0010038_5	
go_0010039_6	metK//
go_0010041_7	glpA//glgP//
go_0010042_6	pgm//
go_0010043_6	bioC//dgcM//
go_0010045_6	cysI//
go_0010106_6	
go_0010124_4	accB//pykA//garR//luxS//mnmE//rlmL//clsB//aldB//
go_0010133_7	arnT//
go_0010139_7	glgC//
go_0010165_6	purU//tilS//citX//waaB//cmoA//gcvH//maeA//allB//
go_0010212_5	thyA//
go_0010226_6	dgcM//
go_0010243_5	
go_0010272_6	lsrK//
go_0010273_4	ribA//nadA//pyrE//
go_0010312_3	mltD//
go_0010332_6	
go_0010350_6	
go_0010438_6	ndk//frlC//
go_0010447_5	ispG//hflX//
go_0010468_6	ygjK//
go_0010498_6	ynfF//hemF//yfeX//yeiG//
go_0010501_7	nirD//talB//
go_0010557_7	
go_0010608_7	iscS//
go_0010628_7	
go_0010629_7	ogt//
go_0010676_7	
go_0010699_4	yfbR//fbaA//
go_0010810_5	
go_0010876_4	
go_0010911_5	
go_0010921_6	
go_0010951_8	
go_0010967_6	
go_0010974_7	
go_0012501_4	
go_0014070_5	thiE//ndh//aspC//caiD//yfeX//cadA//rfaD//pyrE//glmS//
go_0015031_5	fumC//rhaM//insI-2//garD//preA//yjhH//folM//mltD//
go_0015074_6	
go_0015628_5	
go_0015670_6	clsB//
go_0015673_9	hcaF//
go_0015675_9	treC//
go_0015679_10	menB//
go_0015682_8	sseA//
go_0015684_9	yeaG//ttdA//kduI//malQ//
go_0015685_8	fes//pepD//
go_0015687_7	pgaC//
go_0015688_6	ilvM//mutM//
go_0015689_8	ygjK//
go_0015691_9	pgaD//nrfB//
go_0015692_8	gshB//
go_0015693_9	gltX//
go_0015696_6	purL//
go_0015698_7	rlmF//
go_0015699_8	phnP//
go_0015700_8	mngB//
go_0015706_6	kdsA//mraY//uxaC//
go_0015707_6	atoB//rlmG//hflX//glnA//
go_0015709_6	pgaD//
go_0015710_8	argS//mutL//
go_0015712_7	thiE//
go_0015718_8	waaB//
go_0015721_7	betA//ghrB//ribA//
go_0015724_7	dapA//
go_0015726_8	polB//
go_0015733_7	murG//
go_0015734_6	nadA//
go_0015736_9	folX//
go_0015739_7	kdsD//
go_0015740_9	aroB//hcaC//guaA//
go_0015741_10	ansB//ribE//
go_0015747_6	sseA//
go_0015748_6	plsC//
go_0015749_7	hcaE//ltaE//mcrA//rrrD//glnA//epmC//frlC//
go_0015751_9	ilvE//paaK//
go_0015752_9	luxS//alaA//
go_0015753_9	panB//nhoA//
go_0015754_9	icd//
go_0015755_9	pflB//ampH//galK//
go_0015756_9	hemL//frmB//
go_0015757_9	hyaA//dosP//cysQ//phnN//
go_0015760_8	nudG//
go_0015761_9	hisF//
go_0015762_9	yfeW//
go_0015764_7	garR//pgsA//yfiC//
go_0015765_8	mtlD//purF//
go_0015767_9	nanA//dacD//yahK//
go_0015768_9	paaG//poxB//gstA//
go_0015769_9	alsK//
go_0015771_9	mhpA//hisS//menC//
go_0015772_7	pepD//ttdB//dapD//
go_0015774_7	fadB//
go_0015778_7	mngB//
go_0015793_7	dapD//nadK//
go_0015794_7	hemD//murQ//
go_0015795_7	ldtA//selB//
go_0015796_7	mobA//
go_0015797_7	serB//gstA//adk//
go_0015803_7	dmsC//prpC//tdk//
go_0015804_7	dgoD//recG//
go_0015806_6	rlmM//
go_0015807_7	hemH//citC//tmcA//waaZ//udk//chbG//
go_0015808_8	glxR//chbG//
go_0015809_7	lpxP//
go_0015810_8	ung//sdaA//
go_0015811_7	pgk//tyrA//
go_0015813_6	feaB//insI-1//yieF//
go_0015814_7	puuE//
go_0015816_6	ispG//
go_0015817_7	ulaE//hcaD//
go_0015818_7	sdhD//glpX//
go_0015820_7	nagZ//aroG//dxr//leuD//chbF//
go_0015821_7	torZ//cysC//
go_0015822_7	atoB//
go_0015823_7	cysG//hisB//katG//prpD//dusB//
go_0015824_7	napB//ssuD//fadB//
go_0015825_8	nagK//
go_0015826_7	aroC//kbaZ//pagP//
go_0015827_7	thrB//fadE//alaS//
go_0015828_7	phr//apaH//
go_0015829_7	yqhD//phnG//alr//
go_0015830_7	paaJ//
go_0015833_6	tyrB//avtA//rfe//rpiA//epmB//entH//mltA//menE//waaY//codA//
go_0015834_7	uvrB//hyaB//
go_0015835_6	mgsA//
go_0015836_7	tynA//rhaB//
go_0015839_7	trpB//
go_0015846_6	aroH//paaE//
go_0015847_7	moaA//glgA//agp//yfcG//umuD//
go_0015848_7	gshA//yciV//
go_0015851_6	
go_0015853_8	nirD//queD//
go_0015856_8	rsmD//
go_0015857_6	cysN//rpiA//
go_0015858_7	aroB//tktA//allD//
go_0015860_7	proB//epmC//
go_0015861_9	rpiB//yjhH//
go_0015862_9	nfi//nrdF//
go_0015863_8	ubiG//
go_0015864_8	xylB//
go_0015871_6	melA//folE//etk//uxaC//
go_0015878_6	
go_0015879_9	prs//
go_0015882_7	gstB//
