# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	rbsK//
go_0006206_6	atoB//glcF//nadB//
go_0006207_8	ulaE//yigL//ubiD//dfp//glcF//
go_0006208_7	dapA//ulaE//nudC//ulaE//pgpC//bglB//
go_0006209_6	opgE//
go_0006210_8	paoC//
go_0006212_6	yfaU//dapA//accA//entE//phoA//rlmH//recF//cmoA//mnmC//ilvN//
go_0006217_9	rhaD//
go_0006218_9	tsaB//
go_0006220_6	nrfC//
go_0006221_7	pabB//hemH//cyaA//
go_0006222_9	
go_0006225_9	apt//
go_0006226_9	chbG//allB//
go_0006227_9	nrdB//
go_0006231_9	ppk//
go_0006233_9	trpE//
go_0006235_9	pgpB//
go_0006241_9	frlC//
go_0006259_5	moeA//relA//frdB//
go_0006260_6	dam//glpK//metG//tyrB//icd//araB//mnmE//
go_0006261_7	paaE//rihA//fucI//
go_0006265_6	mrcA//selD//
go_0006266_6	nudB//sucB//frlB//
go_0006267_5	
go_0006268_9	rsuA//phnP//
go_0006269_6	trpA//
go_0006270_6	
go_0006271_7	
go_0006274_6	
go_0006275_7	
go_0006276_3	hisC//citG//
go_0006281_6	lpxB//ygeX//waaO//puuB//uvrB//mhpC//murC//queG//rhaB//rfe//gudD//oxc//menF//mnaT//yihU//epmA//purA//
go_0006283_8	
go_0006284_7	rnd//ghrB//sdaB//trpS//glmS//serS//
go_0006285_6	ubiD//ldtB//asnB//aspS//
go_0006288_8	torZ//ispH//
go_0006289_7	
go_0006298_7	pbpC//glmU//waaP//waaQ//
go_0006301_7	
go_0006302_7	prpB//hcp//
go_0006307_8	slyD//gshA//rutA//clsA//ispA//
go_0006308_6	tatD//truC//allB//torA//
go_0006310_6	purU//malS//abgA//narV//surA//
go_0006313_4	poxB//
go_0006351_6	ruvB//argB//
go_0006352_7	
go_0006353_7	
go_0006354_7	pdeH//
go_0006355_7	cpsB//
go_0006357_8	
go_0006364_9	mnmA//dmlA//mrdA//glyS//
go_0006378_8	gatY//
go_0006396_7	gatZ//caiD//hmp//hcaE//ampH//
go_0006397_8	hcaC//
go_0006399_8	murE//proA//
go_0006400_7	nrfD//rsgA//prmC//hisD//ndk//
go_0006401_6	phnN//pdeL//pykF//rlmG//kbaY//hcaD//
go_0006402_7	pcm//lpd//nadB//slyD//guaA//yigL//tpiA//
go_0006412_6	moaD//mobA//yfaU//hycB//waaF//
go_0006413_4	pheT//
go_0006414_6	
go_0006415_7	queF//ampH//
go_0006417_7	sgbH//mrcA//
go_0006418_7	aroD//nadE//cynS//mutT//lpd//nudG//betA//luxS//pykF//lpxK//rfbB//
go_0006419_8	pyrC//
go_0006420_8	pgm//
go_0006421_8	sodA//
go_0006422_8	bacA//
go_0006423_8	amyA//
go_0006424_8	sdaA//alsK//
go_0006425_8	opgB//
go_0006427_8	coaA//
go_0006428_8	yfcG//
go_0006429_8	cynT//
go_0006430_8	rffH//accC//
go_0006431_8	glpX//
go_0006432_8	metC//
go_0006433_8	ppsA//
go_0006434_8	mnmA//
go_0006435_8	fkpB//
go_0006436_8	nagK//
go_0006437_8	folE//
go_0006438_8	moeA//
go_0006448_8	
go_0006450_4	pgi//rlmG//phoA//cadA//dacD//abgA//
go_0006457_3	cfa//ileS//purB//recJ//lpxC//fadB//rimK//
go_0006458_4	
go_0006464_6	phnP//tcdA//pagP//yciV//bioC//tyrA//trmL//pyrB//
go_0006465_6	ubiG//gor//fruK//
go_0006468_7	ruvB//
go_0006470_7	ddlB//pheT//ppc//hemN//selD//
go_0006473_8	pheA//
go_0006474_6	pdxY//pnp//mrdA//
go_0006476_8	fadB//
go_0006479_5	ssuD//panD//cpdA//thrB//pdxH//paaB//
go_0006486_5	gshB//
go_0006490_5	speA//
go_0006508_5	wecC//tauD//uvrB//aceA//trpE//ldtA//menI//frdA//galK//fucO//argC//ulaD//speC//cdh//recJ//polB//nrfA//pgpC//ulaE//yciV//pdxK//guaB//rffG//uvrA//aldB//patD//hypF//pphB//yfiC//glpB//lplA//rutC//nagA//
go_0006515_7	dhaL//mutT//hisI//nirB//yegS//uxaC//speC//
go_0006517_6	yeiG//ppk//
go_0006518_5	dusB//ndh//
go_0006523_8	ilvC//mutY//
go_0006524_8	
go_0006526_8	lysS//fadA//hemE//thyA//fcl//frmA//mnmG//
go_0006527_8	rpiB//ispA//trmD//sseA//napA//
go_0006529_7	cpsG//insI-1//
go_0006530_7	aceB//frlB//dmlA//gadA//
go_0006531_7	aceB//
go_0006532_8	rihB//mazG//paaF//
go_0006535_8	yfcG//metF//ttdB//
go_0006537_8	purF//
go_0006538_8	ybjG//ackA//
go_0006541_7	ilvE//tgt//paaF//cysH//gabT//
go_0006542_8	putA//trpS//
go_0006543_8	
go_0006545_6	ubiD//
go_0006546_6	tyrB//aes//gabT//
go_0006554_8	murE//tdh//sufS//
go_0006556_5	trmA//
go_0006559_6	glpK//
go_0006561_6	ilvA//pheA//
go_0006563_7	queG//
go_0006564_8	kefF//glyA//glpX//asnB//
go_0006565_8	uvrA//entC//ygeX//pykA//eno//
go_0006566_7	thiL//
go_0006567_8	pagP//sufS//rsgA//accB//hemL//ldtE//yidA//
go_0006569_7	nagK//
go_0006571_7	rrrD//frdC//
go_0006593_7	yfdR//
go_0006598_8	guaD//bglA//napB//
go_0006605_6	
go_0006612_6	
go_0006614_8	
go_0006616_7	
go_0006629_4	cynT//fumB//
go_0006631_5	cpsG//frmB//dapB//gudD//katE//
go_0006633_6	rhaD//rbn//pflB//rutA//galK//azoR//iscS//fumB//mraY//frc//asnA//
go_0006635_6	recF//nhoA//narZ//folX//roxA//speA//hcaE//dxr//aldB//murE//tsaD//paoC//
go_0006636_7	
go_0006637_5	dgoA//lyxK//pcm//carB//hemC//
go_0006646_7	
go_0006650_6	
go_0006654_7	araB//
go_0006655_7	aspC//cobC//
go_0006725_4	hemF//
go_0006729_6	yeaE//gadB//
go_0006730_4	gapA//tatD//ampD//
go_0006734_9	
go_0006740_4	
go_0006741_9	
go_0006742_8	
go_0006744_7	cysC//ahr//sodB//pabC//ddlB//coaA//rsmG//queA//ybhA//acpH//thiC//murB//
go_0006749_5	torY//tcdA//
go_0006750_6	thiE//rhaA//
go_0006751_6	ssuE//
go_0006757_5	rffT//
go_0006760_5	accD//
go_0006761_7	uxuB//
go_0006771_5	tmcA//
go_0006772_6	ubiG//phnM//
go_0006777_5	speG//dmsC//recG//miaB//pdxJ//
go_0006779_6	rsmG//nirD//pcm//pgm//rsmI//
go_0006780_7	poxB//
go_0006782_7	rph//bioA//mhpC//nhoA//
go_0006783_5	yhdH//dcd//alkA//paaK//phnM//hisA//cobC//
go_0006790_4	ribD//mngB//pgpB//allB//udp//hcaC//folM//gloA//trmI//rfaD//
go_0006791_2	miaA//lpxT//gmk//
go_0006793_4	etk//fabI//
go_0006798_5	phnH//
go_0006799_5	udk//
go_0006801_5	sdaA//umuC//bioC//
go_0006805_4	accA//pyrC//cadA//udp//
go_0006807_3	ldcC//aroF//selA//
go_0006808_4	thiC//
go_0006810_4	mgsA//gcvH//mltB//speD//nudG//glmS//dacA//frc//frlB//entA//waaO//tmcA//mgsA//aspS//lacZ//metF//prpB//murG//pta//amyA//waaL//lpxK//purC//deoB//tynA//yjjX//waaP//mraY//patA//udp//waaC//acpT//apt//tdh//roxA//yfdR//menF//waaJ//kdsD//apt//dhaL//fadJ//thiD//thiM//glgC//waaB//mnmC//deoA//waaY//metG//hypB//glxK//citG//ribB//glpX//ttdB//cmoA//frlC//ddlB//fbp//yihU//ugd//glcD//queA//waaC//paaH//leuS//ydiF//selB//ada//rbsK//thiM//araD//mhpD//ushA//rluB//patA//
go_0006811_5	mcrB//entA//birA//tauD//nadC//galE//gldA//rfbD//narI//leuA//napA//
go_0006812_6	recJ//frmB//
go_0006813_8	pyrE//bioB//yihS//cheB//yihV//yghU//yfdR//aes//
go_0006814_8	agp//glyS//hisB//fabH//
go_0006817_8	dgoA//
go_0006820_6	rffM//leuC//dgoA//uidA//rluC//
go_0006821_8	fadK//
go_0006824_8	rluC//pyrG//kdsA//dgoD//
go_0006825_9	lpxL//
go_0006826_9	waaP//
go_0006828_9	glxR//
go_0006829_9	aes//hisF//tynA//rluE//fumC//
go_0006833_6	
go_0006835_8	hisH//waaS//
go_0006847_8	etp//
go_0006855_6	hcaB//fcl//recG//paaB//paaA//pinE//tauD//argG//rutB//ldcC//hemL//rlmG//ugd//pepD//
go_0006857_7	guaB//ygjK//glcE//
go_0006863_7	tag//
go_0006865_6	hcaD//rsmH//fklB//citE//phoA//cysN//mcrA//lpxP//trmJ//aspA//kbaZ//dam//gloA//epmA//pdeH//thiI//glpB//nanE//preA//xylB//argS//
go_0006868_7	bioB//
go_0006869_6	ndk//
go_0006874_8	
go_0006876_8	hisD//
go_0006878_9	sgbE//
go_0006879_9	yccX//leuB//
go_0006880_4	slyD//ppk//
go_0006882_8	trmO//
go_0006883_8	lpd//aspC//aroA//
go_0006884_4	
go_0006885_9	lpxD//
go_0006886_5	
go_0006928_3	hemH//
go_0006935_4	hisB//serS//fadD//ackA//argF//
go_0006970_4	ribF//guaA//opgE//ynfE//curA//cysS//
go_0006972_5	mpaA//cynS//sodB//mobA//ugd//
go_0006974_5	fumB//abgB//rlmE//frc//dacD//kdsD//dacA//nanA//hmp//birA//feaB//pfkA//menB//pykA//thiC//yqaB//gpmA//ung//entH//yagE//mutT//malS//tyrS//psd//glpA//mutT//frdA//ruvC//lpoB//mrdA//cysE//gdhA//truC//pgaB//cdsA//selA//pheT//leuA//gmk//sdaA//epmA//rsmB//murG//idnK//cobU//menF//panC//glmM//puuC//lpxL//dacA//cdsA//metB//deoA//caiB//nudB//ybhA//ligA//yciA//hpt//rlmC//ilvI//proS//kduD//yihV//nhoA//dhaK//bioH//abgB//mocA//galM//orn//treA//bglX//mocA//yihT//folX//mhpA//rffT//yieF//pyrG//ilvD//mngB//thiG//bioF//surA//frmB//ugd//patD//idnK//cheB//ydiB//udp//tehB//ybjI//
go_0006979_4	astC//ribC//tsaB//prmB//wzb//gshA//frdA//scpC//pepD//ilvB//fabI//fabB//poxB//yajO//cobU//ilvN//chbF//glxR//rutC//pyrC//trpA//sdaB//waaZ//tdh//aceB//trmO//
go_0006986_5	puuE//
go_0006995_6	lpcA//thrS//
go_0007059_3	kdsD//glmM//
go_0007062_4	
go_0007155_3	rsmF//
go_0007165_3	ldtB//accA//
go_0007234_5	
go_0007584_4	
go_0008033_9	waaJ//aroK//lpoB//menF//ybhA//fadE//opgB//mug//
go_0008104_4	
go_0008152_2	mutH//phnP//nfi//hcaF//murQ//queG//kbaY//serA//kdgK//leuD//folX//yieH//hchA//malP//hypB//phnI//idi//
go_0008156_8	
go_0008219_3	
go_0008272_6	idnD//entB//
go_0008295_6	adeD//katG//hemA//
go_0008299_5	fumB//
go_0008360_4	ygeX//curA//ybjG//bglX//metE//dmsA//yihS//waaU//bioD//rpiB//sucA//
go_0008610_5	lpxH//yhdJ//rsmG//ubiD//
go_0008615_6	paoC//panC//asnS//cysM//pdxJ//purA//hisS//
go_0008616_8	fadD//dgkA//ilvE//panC//gapA//bioB//
go_0008643_6	pnp//deoB//cof//sdaB//narV//waaO//pyrF//gmd//thiH//argH//scpB//yqaB//glxK//speB//yihX//ribD//glcE//ldtC//
go_0008652_5	tcdA//queC//folD//ldcA//cysD//rlmL//purB//proB//
go_0008653_5	
go_0008654_5	nagK//preA//fumA//glmM//
go_0009050_6	folE//waaQ//
go_0009052_6	aroK//dgt//fabG//lpxL//rffC//entD//
go_0009056_3	dgcM//
go_0009058_3	nfsB//moeA//pyrH//cpdA//
go_0009060_6	rnt//ansA//prpB//fabZ//mltC//aldA//waaO//
go_0009061_6	ppsA//yfcF//puuB//speC//sgbE//ynfH//lipA//purD//menF//trpA//lpd//moaA//preA//paaE//rlmD//nrfB//ilvM//speF//fadH//rihC//rutA//
go_0009062_6	hemL//
go_0009063_5	waaU//mnmA//gshB//
go_0009070_7	ansA//
go_0009073_6	phnO//gpsA//ydiO//yeaG//paaB//alaA//rpiB//prpD//csdA//pphA//rnpA//
go_0009081_5	phnI//mraY//
go_0009082_6	argH//fadH//epmB//truC//pphB//lipA//glxR//
go_0009085_8	cysM//
go_0009086_7	yjjX//nrdD//kdsA//glmS//dusB//
go_0009088_8	garL//thiE//
go_0009089_6	arnB//puuA//entB//tktB//speG//pagP//
go_0009090_8	tnaA//mnmC//ttdA//nagB//
go_0009092_7	rhaA//
go_0009093_7	
go_0009094_6	ybjG//mrcA//pykF//
go_0009097_7	gloB//curA//sgbH//plsB//kdsC//
go_0009098_7	yieH//hypF//gpp//surA//alaC//nanE//
go_0009099_7	tsaE//idnK//nrfB//orn//dacD//cysQ//pheT//
go_0009102_6	paaF//puuA//hisC//arsC//dosP//idnO//rutC//ubiD//fumB//
go_0009103_6	ispB//ybjG//dacA//eptC//mtgA//abgB//xylB//trmJ//rlmG//
go_0009106_5	tsaB//
go_0009107_6	coaD//rpe//
go_0009108_6	nanK//
go_0009116_5	aspC//thrB//
go_0009142_7	speE//
go_0009143_7	puuD//
go_0009152_8	mltB//
go_0009157_8	rnb//
go_0009166_7	solA//puuD//
go_0009168_9	citE//
go_0009220_8	proB//purU//
go_0009224_9	nrdF//
go_0009226_6	murF//truB//
go_0009228_7	otsB//eutD//ghrB//mepS//hpt//putA//dam//pgk//yieF//
go_0009229_6	polA//gcvH//
go_0009231_6	etk//sdhC//tadA//phr//lgoD//gdhA//ribA//
go_0009234_7	xylB//nagA//rihC//ilvB//cobC//trmJ//gabT//panC//azoR//
go_0009236_6	queF//rsmF//pyrE//yeaE//glnE//fadI//
go_0009237_4	rrrD//cobS//
go_0009239_6	puuD//mnmE//ribF//uxaC//hemL//add//puuB//lpoB//
go_0009240_6	ttdB//
go_0009242_6	avtA//entE//wecB//sodB//garD//aroE//alkB//phr//
go_0009243_7	insI-1//
go_0009244_7	galT//dld//murE//pgpA//torC//lsrK//lpxM//tnaA//entC//ppc//pabA//tmk//leuS//pgpB//atoB//gltX//ppk//xapA//prpC//glgX//ldtB//pheT//
go_0009245_6	dnaE//entE//fklB//panC//mutH//hisI//fklB//trpB//astC//
go_0009246_6	nrdE//ulaD//yqjH//rbn//frdD//uxaB//
go_0009249_6	dgkA//dkgB//paaB//
go_0009250_7	
go_0009251_7	icd//
go_0009252_7	yfaU//fadK//narY//lpxT//kdsA//nfsB//dbpA//trmD//folP//prmC//umpG//waaY//fucO//nrfB//lsrG//fabH//rsmF//pncB//fumA//pykF//pyrC//tyrA//frdC//pepD//dapD//
go_0009253_8	add//yhdH//hmp//idnO//sgbE//fadE//cmk//araD//aroK//waaJ//
go_0009254_8	fadE//ldcA//hycB//paaB//nrdE//dnaQ//rlmL//aspC//folA//thrB//pheT//
go_0009257_8	accD//gldA//hemC//etk//
go_0009263_6	nrdA//nrfD//
go_0009264_6	nudF//tdcG//
go_0009265_7	dapF//
go_0009266_4	dbpA//leuD//ilvD//argE//rimK//glpD//
go_0009267_5	rfe//thrB//
go_0009268_4	fadE//
go_0009271_4	
go_0009273_5	
go_0009290_6	
go_0009294_5	pabA//
go_0009297_6	
go_0009298_7	treF//mtgA//entB//
go_0009305_7	lpxC//
go_0009306_4	
go_0009311_5	
go_0009314_4	betB//yihV//phoA//miaB//frlC//metE//ltaE//yigL//sdhA//galK//betA//glcE//prmC//insI-1//glpC//prpC//pyrD//
go_0009372_5	arnB//fucI//glnS//
go_0009396_6	hemH//rpe//
go_0009398_7	rlmL//
go_0009401_7	moaA//hyaA//yigL//yrfG//rihB//argI//gcvH//deoA//glgP//etk//nadE//hisB//uxaB//rpe//opgB//hyi//trpS//fumA//wrbA//gntK//
go_0009403_5	
go_0009405_4	
go_0009407_3	prpB//
go_0009408_4	frc//metK//purF//wrbA//gpsA//ybjG//fucO//aroF//folX//dgcT//rnd//alsE//frmB//wcaJ//nudF//kdsB//tadA//argD//gabT//puuA//glcE//hflX//cmk//ltaE//queA//aroH//
go_0009409_4	appA//uxaB//
go_0009410_4	ilvA//
go_0009411_6	guaB//fadH//ilvA//eptB//nagK//abgA//entH//tmcA//glnS//
go_0009416_5	gloB//cmoB//
go_0009423_8	carB//nirD//sdaB//codA//
go_0009432_5	aes//aroC//lpxC//argB//dsdA//
go_0009435_9	gapA//aroA//leuD//cmoB//lpxH//
go_0009436_6	cysQ//plsC//arnB//nrfC//
go_0009437_5	
go_0009438_5	
go_0009440_6	dxr//tmcA//trmJ//
go_0009442_7	mnmE//metB//acpH//rluE//wcaJ//
go_0009443_5	idnD//ygjK//bioH//
go_0009446_6	rhaB//mog//
go_0009447_6	bioF//glmU//fabB//trmI//glmU//yieF//insI-2//yahK//
go_0009450_6	mutH//hmp//hemH//mltB//
go_0009451_6	rutD//aroD//fumB//menD//
go_0009593_4	
go_0009597_5	
go_0009636_4	truB//aroC//tadA//lpxH//alaS//
go_0009637_6	
go_0009651_5	
go_0009697_5	sodB//
go_0009758_2	menH//
go_0009785_5	
go_0009970_6	moeA//argS//dcd//
go_0009972_10	ansB//
go_0009992_5	gadA//garL//garK//
go_0010033_4	
go_0010038_5	
go_0010039_6	nadC//
go_0010041_7	phnP//paaA//
go_0010042_6	etp//
go_0010043_6	fadI//nagK//
go_0010045_6	cysK//
go_0010106_6	
go_0010124_4	waaG//dmlA//deoC//manA//dhaM//glnE//phnJ//waaO//
go_0010133_7	pgpA//
go_0010139_7	citG//
go_0010165_6	edd//sucC//tdcG//ycjU//cysM//dld//glgX//mazG//
go_0010212_5	rsmB//
go_0010226_6	ycjU//
go_0010243_5	
go_0010272_6	fkpA//
go_0010273_4	alaA//bglX//pykF//
go_0010312_3	phnN//
go_0010332_6	
go_0010350_6	
go_0010438_6	maeA//folP//
go_0010447_5	adhP//ubiI//
go_0010468_6	ynfF//
go_0010498_6	fbp//pta//asnS//slyD//
go_0010501_7	yfcG//yahK//
go_0010557_7	
go_0010608_7	hemL//
go_0010628_7	
go_0010629_7	citX//
go_0010676_7	
go_0010699_4	ppiC//cynS//
go_0010810_5	
go_0010876_4	
go_0010911_5	
go_0010921_6	
go_0010951_8	
go_0010967_6	
go_0010974_7	
go_0012501_4	
go_0014070_5	adiA//kefF//gltD//plsB//dam//glk//icd//nirB//hchA//
go_0015031_5	ppx//dhaK//trpB//pabB//hinT//phnN//thiE//nadB//
go_0015074_6	
go_0015628_5	
go_0015670_6	rutB//
go_0015673_9	puuC//
go_0015675_9	narV//
go_0015679_10	mutT//
go_0015682_8	rsmE//
go_0015684_9	nrfD//puuA//ada//deoD//
go_0015685_8	leuA//patA//
go_0015687_7	cysG//
go_0015688_6	recR//pgi//
go_0015689_8	dcm//
go_0015691_9	yhdJ//purB//
go_0015692_8	nfi//
go_0015693_9	rfbC//
go_0015696_6	dmsB//
go_0015698_7	rluC//
go_0015699_8	acs//
go_0015700_8	rne//
go_0015706_6	gatZ//ubiG//recF//
go_0015707_6	azoR//ispG//rlmA//fabI//
go_0015709_6	cobT//
go_0015710_8	tyrS//alsE//
go_0015712_7	puuD//
go_0015718_8	aroK//
go_0015721_7	folP//aroH//yjiA//
go_0015724_7	chbF//
go_0015726_8	lpxB//
go_0015733_7	mug//
go_0015734_6	fadI//
go_0015736_9	recJ//
go_0015739_7	entH//
go_0015740_9	mug//psd//fabG//
go_0015741_10	glk//prmB//
go_0015747_6	dapD//
go_0015748_6	ycjU//
go_0015749_7	sucB//rffH//tyrS//pnp//narY//pncB//guaB//
go_0015751_9	pdxA//tyrA//
go_0015752_9	zwf//sgbE//
go_0015753_9	puuC//rsmA//
go_0015754_9	rsmH//
go_0015755_9	deoD//ilvN//kdsB//
go_0015756_9	argA//mepS//
go_0015757_9	mrcA//chbG//cadA//pgpB//
go_0015760_8	citX//
go_0015761_9	iaaA//
go_0015762_9	nrfA//
go_0015764_7	malY//dinB//lyxK//
go_0015765_8	luxS//fumC//
go_0015767_9	truB//trpC//ttdA//
go_0015768_9	lgoD//frlB//ppiA//
go_0015769_9	rlmE//
go_0015771_9	abgB//rsuA//entC//
go_0015772_7	csdA//fruK//yegS//
go_0015774_7	pnp//
go_0015778_7	ftnA//
go_0015793_7	pfkB//nudB//
go_0015794_7	rhaA//epd//
go_0015795_7	aroF//epmA//
go_0015796_7	nadD//
go_0015797_7	sdhA//metC//cobU//
go_0015803_7	rlmH//melA//mcrA//
go_0015804_7	mdh//ldtB//
go_0015806_6	yahK//
go_0015807_7	eptA//pyrG//rfbB//ispA//serB//dcm//
go_0015808_8	mnmG//malQ//
go_0015809_7	frc//
go_0015810_8	bcsA//lgoD//
go_0015811_7	mnaT//pgm//
go_0015813_6	waaP//wcaJ//lpxD//
go_0015814_7	yciV//
go_0015816_6	clsC//
go_0015817_7	speB//argC//
go_0015818_7	lpxB//mutY//
go_0015820_7	hisC//guaA//umpH//hyaC//coaD//
go_0015821_7	phnG//yhdJ//
go_0015822_7	alr//
go_0015823_7	ndk//ribB//dgcT//thrB//acnA//
go_0015824_7	waaJ//menF//nrdD//
go_0015825_8	mnmG//
go_0015826_7	fadH//panC//fumA//
go_0015827_7	leuS//dfp//ilvA//
go_0015828_7	glpX//ilvB//
go_0015829_7	pdeH//lldD//garK//
go_0015830_7	coaD//
go_0015833_6	pykA//fucO//pyrH//fau//gpsA//yhdJ//nudC//rihA//rfbD//mltA//
go_0015834_7	ftsI//gcd//
go_0015835_6	hisH//
go_0015836_7	orn//cheB//
go_0015839_7	maa//
go_0015846_6	cdd//entE//
go_0015847_7	glxK//rpe//allC//hisD//yjhG//
go_0015848_7	phnG//queG//
go_0015851_6	
go_0015853_8	moaA//nhoA//
go_0015856_8	gdhA//
go_0015857_6	luxS//tyrA//
go_0015858_7	dkgA//mnaT//yrfG//
go_0015860_7	mcrA//folX//
go_0015861_9	ligB//pgpA//
go_0015862_9	accA//entD//
go_0015863_8	pdxB//
go_0015864_8	talB//
go_0015871_6	narH//dacC//thiE//murA//
go_0015878_6	
go_0015879_9	yihX//
go_0015882_7	pheS//
go_0015886_6	recG//cysS//
go_0015887_7	dmsB//
go_0015888_6	hcp//
go_0015889_6	gapA//ispF//pphB//
