# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	bcsA//
go_0006226_9	pykA//abgA//
go_0006227_9	yigB//
go_0006231_9	waaY//
go_0006233_9	ltaE//
go_0006235_9	rihC//
go_0006241_9	fadE//
go_0006259_5	ybjI//rdgB//pta//
go_0006260_6	dut//mpaA//chbF//pdxJ//nadE//fucO//hisF//
go_0006261_7	malQ//ldhA//rlmC//
go_0006265_6	puuE//gmd//
go_0006266_6	tynA//paaJ//ruvA//
go_0006267_5	
go_0006268_9	dkgA//dhaM//
go_0006269_6	mrcB//
go_0006270_6	
go_0006271_7	
go_0006274_6	
go_0006275_7	
go_0006276_3	entB//ymdB//
go_0006281_6	mnmE//rsmF//yjjG//rdgB//cdd//hcaF//chbG//icd//gmd//serA//lacZ//hyaB//rimK//pdxK//waaB//eda//mngB//
go_0006283_8	
go_0006284_7	leuB//frdD//glgB//cpsG//ynfE//gapA//
go_0006285_6	gldA//hemB//entF//dxr//
go_0006288_8	queC//mepS//
go_0006289_7	
go_0006298_7	serS//rsmI//queF//recJ//
go_0006301_7	
go_0006302_7	treA//trmJ//
go_0006307_8	nrdE//pncB//wecB//argK//mmuM//
go_0006308_6	gcd//tadA//yieH//entC//
go_0006310_6	gatD//cmoB//mutM//rutC//yahK//
go_0006313_4	rutA//
go_0006351_6	waaL//abgA//
go_0006352_7	
go_0006353_7	
go_0006354_7	add//
go_0006355_7	agp//
go_0006357_8	
go_0006364_9	ascB//birA//trmL//sdhB//
go_0006378_8	gcvT//
go_0006396_7	ilvH//glgB//ubiE//cheR//fadJ//
go_0006397_8	fucI//
go_0006399_8	nanA//aroB//
go_0006400_7	pgaB//ispA//glgX//pgm//yhdJ//
go_0006401_6	dxs//ulaE//cfa//paaH//alaS//lpxK//
go_0006402_7	rfaD//nrdB//birA//hyaA//yciA//arsC//cmoA//
go_0006412_6	aroE//yrfG//mltC//ychF//ispH//
go_0006413_4	nrfD//
go_0006414_6	
go_0006415_7	kdsC//sdhC//
go_0006417_7	fumA//yigB//
go_0006418_7	hemF//glpB//rlmL//gloA//sgbE//leuS//sbcB//dkgB//dmlA//dnaQ//pyrF//
go_0006419_8	hemH//
go_0006420_8	ppiA//
go_0006421_8	sdhD//
go_0006422_8	selB//
go_0006423_8	serA//
go_0006424_8	acnB//moeB//
go_0006425_8	paaF//
go_0006427_8	thrA//
go_0006428_8	umuD//
go_0006429_8	carB//
go_0006430_8	garK//hdhA//
go_0006431_8	lpxH//
go_0006432_8	gapA//
go_0006433_8	phnM//
go_0006434_8	sdhC//
go_0006435_8	waaO//
go_0006436_8	tyrS//
go_0006437_8	ymdB//
go_0006438_8	ydiB//
go_0006448_8	
go_0006450_4	aphA//bfr//ispF//dbpA//dacD//purF//
go_0006457_3	pykF//glxR//gstA//coaD//mnmC//murI//dgoD//
go_0006458_4	
go_0006464_6	rihA//ribD//pyrH//hmp//rhaM//ribA//aroK//aroH//
go_0006465_6	hcp//nrfD//aldA//
go_0006468_7	ubiF//
go_0006470_7	fumC//gcd//bioF//tnaA//ilvB//
go_0006473_8	fabH//
go_0006474_6	dcd//selD//der//
go_0006476_8	hcaF//
go_0006479_5	gabD//ruvC//ahpC//tynA//gstB//rsmE//
go_0006486_5	citC//
go_0006490_5	pgk//
go_0006508_5	proC//hypB//lpxH//gntK//aroD//purF//uvrA//narV//nrfA//lpoA//rutB//serS//lldD//ampH//bglA//cheR//nrdA//cyoE//purT//gloB//murD//thiE//rlmB//rbn//poxB//lacZ//rutC//ravA//dosP//nrfC//hemL//sdhD//uxaC//
go_0006515_7	torA//ascB//lpoB//paaJ//trmD//dgcT//panC//
go_0006517_6	speE//astC//
go_0006518_5	queF//idnD//
go_0006523_8	glxR//panB//
go_0006524_8	
go_0006526_8	nrfD//phnP//puuC//tatD//ddlA//nudF//mnmE//
go_0006527_8	rsmC//rluC//frlB//napB//mazG//
go_0006529_7	mnmE//treC//
go_0006530_7	sdaA//gdhA//rluB//poxB//
go_0006531_7	tdcG//
go_0006532_8	gudD//nrfB//frlC//
go_0006535_8	ltaE//tsaC//ampH//
go_0006537_8	thiM//
go_0006538_8	mhpC//mcrB//
go_0006541_7	nanA//sodA//ubiA//narZ//lpxD//
go_0006542_8	narH//cysD//
go_0006543_8	
go_0006545_6	fumB//
go_0006546_6	truC//rihC//glpK//
go_0006554_8	cysN//trmA//menD//
go_0006556_5	paaJ//
go_0006559_6	murC//
go_0006561_6	sdhC//prpC//
go_0006563_7	phnG//
go_0006564_8	recF//truB//sucB//acpH//
go_0006565_8	cpdA//narZ//yidA//rutC//paaB//
go_0006566_7	zwf//
go_0006567_8	fcl//tig//gltB//cyaA//tag//pgm//fadJ//
go_0006569_7	gdhA//
go_0006571_7	ilvE//kdsD//
go_0006593_7	nadD//
go_0006598_8	fbaA//clsA//kefF//
go_0006605_6	
go_0006612_6	
go_0006614_8	
go_0006616_7	
go_0006629_4	cheR//ybjI//
go_0006631_5	azoR//pdxJ//yqhD//paoC//cheB//
go_0006633_6	pheT//ligB//bioB//waaF//mobA//ung//cysI//carB//rihA//ubiX//ybhA//
go_0006635_6	coaD//speG//sdaB//glnE//mrcA//paaB//lpoB//eptC//pldB//cmk//sbcB//tcdA//
go_0006636_7	
go_0006637_5	ilvE//phnN//recR//garK//coaD//
go_0006646_7	
go_0006650_6	
go_0006654_7	araB//
go_0006655_7	srlD//maeA//
go_0006725_4	rbsK//
go_0006729_6	pfkB//ddlB//
go_0006730_4	cobC//fadD//nrdD//
go_0006734_9	
go_0006740_4	
go_0006741_9	
go_0006742_8	
go_0006744_7	ssuE//oxc//narV//ruvC//treF//phnP//wrbA//maa//mmuM//frdB//nudC//uxaC//
go_0006749_5	thrA//clsA//
go_0006750_6	cmoB//rutB//
go_0006751_6	ilvM//
go_0006757_5	wzc//
go_0006760_5	fdhF//
go_0006761_7	rlmC//
go_0006771_5	nth//
go_0006772_6	rutE//umpH//
go_0006777_5	pck//phnL//cheR//nagB//sdhD//
go_0006779_6	mngB//guaD//cmoA//galT//gpsA//
go_0006780_7	trpD//
go_0006782_7	yhdH//udp//edd//leuS//
go_0006783_5	mngB//yieF//citE//rlmH//glpC//menC//abgA//
go_0006790_4	ynfH//surA//rffH//xylB//pcm//leuA//sdaA//panB//mpaA//dacA//
go_0006791_2	ppiA//cmoB//prs//
go_0006793_4	lysC//lpd//
go_0006798_5	citG//
go_0006799_5	araD//
go_0006801_5	trmH//ravA//udk//
go_0006805_4	aroH//phnJ//ddlA//fadB//
go_0006807_3	rlmL//feaB//glmM//
go_0006808_4	gcd//
go_0006810_4	paaE//asnA//tgt//malS//kdsD//dmsA//menD//pfkB//rsmD//miaB//leuB//queF//mug//nudC//patD//truD//ackA//nhoA//tdh//rlmA//sgbH//panE//rbsD//cysG//mhpB//astB//rsmD//speE//garL//cmoA//etk//lpxM//glpX//pncB//asnS//cadA//phnN//rihC//thiD//cmoA//gatY//moeB//glnE//ndk//pyrD//cof//truC//fkpB//mltB//cysK//ppx//rihA//nrfD//mutT//birA//ascB//pgaB//rlmH//guaD//ilvC//pdxH//gltX//dgoD//recG//truB//ltaE//lpcA//murG//poxB//ycjU//recR//csdA//napC//solA//ppiA//melA//glpA//
go_0006811_5	rpiA//dusC//bglA//nhoA//waaZ//thiM//prpD//ynfE//aspS//cdd//talB//
go_0006812_6	kdsA//cpdB//
go_0006813_8	fbp//yigB//argC//rsmG//pcm//agp//hisH//def//
go_0006814_8	bacA//feaB//nth//frc//
go_0006817_8	mngB//
go_0006820_6	phnH//accC//yidA//rutD//speB//
go_0006821_8	yihT//
go_0006824_8	rluA//argS//purD//sseA//
go_0006825_9	ilvC//
go_0006826_9	speF//
go_0006828_9	clsA//
go_0006829_9	hdhA//ligB//lpxT//ispB//panD//
go_0006833_6	
go_0006835_8	araA//kbaZ//
go_0006847_8	mak//
go_0006855_6	glxK//aroD//narI//lpxC//paaF//pdxY//nudG//yjhH//mcrA//slyD//lysU//eptB//mpaA//nudG//
go_0006857_7	rbsK//zwf//dhaM//
go_0006863_7	truC//
go_0006865_6	ilvB//ulaE//sad//mepS//narH//murE//murQ//phnL//ltaE//accC//nrfD//mutL//hisG//rnb//purC//rutC//udp//hemB//xapA//epmC//dapD//
go_0006868_7	mltD//
go_0006869_6	epmA//
go_0006874_8	
go_0006876_8	selD//
go_0006878_9	fau//
go_0006879_9	ubiI//add//
go_0006880_4	cobC//nagK//
go_0006882_8	gltX//
go_0006883_8	gor//cysG//speB//
go_0006884_4	
go_0006885_9	paaF//
go_0006886_5	
go_0006928_3	torA//
go_0006935_4	gloB//phnM//ruvC//murB//idi//
go_0006970_4	cadA//uvrA//cysN//fucA//fabB//nudB//
go_0006972_5	insI-2//ddlA//nadA//ddlB//rhaD//
go_0006974_5	rsmI//idi//udk//zwf//frdB//araA//fumA//wecC//adeD//cobU//fadM//sodC//guaA//oxc//lpcA//sucD//agp//glxK//waaG//phr//cysS//eptC//zwf//thrS//treF//speF//wecC//rhaA//cfa//ldtB//pyrH//pyrC//argA//menA//moaE//betA//fklB//trmL//hisD//betB//ybiV//accB//dfp//pgpA//thrA//lysC//hemH//cueO//nadD//fdhF//lldD//rluB//dmsB//nrdE//argF//araD//waaO//glpX//rffM//ubiD//panE//scpC//gpmM//tmcA//nrdB//rsgA//eda//acpT//accD//gcl//add//glmM//waaF//pyrB//thrA//roxA//hypB//rffT//roxA//nrdF//apaH//narI//lpxD//fumB//dmsB//pagP//thrS//def//dmsC//rlmI//argD//yfdR//rutB//truC//tsaB//
go_0006979_4	purU//waaG//abgB//thiM//tdcG//queF//lpcA//ileS//asnB//gshB//yqjH//sdhC//tdcG//citE//kdgK//acnA//lpxD//pykF//hcaF//uvrB//manA//queD//frmB//gloC//surA//trpC//
go_0006986_5	glxR//
go_0006995_6	thyA//dgcM//
go_0007059_3	yahK//glyA//
go_0007062_4	
go_0007155_3	fadK//
go_0007165_3	sucC//rpe//
go_0007234_5	
go_0007584_4	
go_0008033_9	menA//ubiI//folX//cysS//hdhA//paaH//lplA//ubiH//
go_0008104_4	
go_0008152_2	galT//mhpC//moeA//dmsB//recG//yjjG//dcm//orn//fucO//alaC//tauD//rsgA//rffC//tdcG//aroB//entC//cmoA//
go_0008156_8	
go_0008219_3	
go_0008272_6	ydiF//aspA//
go_0008295_6	recR//kduD//dcyD//
go_0008299_5	ybcF//
go_0008360_4	cysI//sodC//aphA//ftsI//puuD//dcyD//pdeR//rsmC//murA//murD//accD//
go_0008610_5	napC//sdhA//astC//aspC//
go_0008615_6	waaH//xylA//phr//lpxM//rdgB//sthA//udk//
go_0008616_8	speF//entE//panC//yghU//yjhH//araB//
go_0008643_6	lpxD//btuE//acs//ppsA//phnI//lgoD//dgkA//rluA//phnH//paaA//cynT//cysK//umpG//icd//cmoA//cueO//ybiV//eptC//
go_0008652_5	torZ//rsmA//srlD//fre//lysU//ssuE//scpC//rph//
go_0008653_5	
go_0008654_5	fre//glpB//ubiD//sdaA//
go_0009050_6	rluB//waaL//
go_0009052_6	trpB//wecB//fadD//tesB//yeaG//pdeH//
go_0009056_3	rlmC//
go_0009058_3	rihC//fabA//cdsA//tsaD//
go_0009060_6	rne//bioD//rluC//metH//dmsC//hemC//aphA//
go_0009061_6	gstA//nadC//thiC//pgpB//yggF//yfbR//malS//hcaC//carA//yigL//garD//nth//tsaD//nadA//glcB//aspS//acpH//pnp//alsK//tesB//patD//
go_0009062_6	rutD//
go_0009063_5	ubiF//sucC//rlmF//
go_0009070_7	sufS//
go_0009073_6	rffM//yjhG//phnH//yfbR//yihU//purT//dmsC//dinB//acpH//pyrG//pdeH//
go_0009081_5	bioB//ybjG//
go_0009082_6	mnmA//yqaB//dinB//edd//narI//ybjI//oxc//
go_0009085_8	fruK//
go_0009086_7	ldtE//dhaL//lldD//rlmM//pgpA//
go_0009088_8	rsuA//ilvI//
go_0009089_6	ycaO//deoD//gmk//torY//rimK//codA//
go_0009090_8	arsC//dgt//mutY//pcm//
go_0009092_7	uvrB//
go_0009093_7	
go_0009094_6	pdxY//ribC//clsA//
go_0009097_7	ldhA//arsC//cynT//melA//truB//
go_0009098_7	zwf//pdeL//fadH//oxc//fadM//ycjU//
go_0009099_7	fucO//lysA//sodA//napA//birA//yeaE//queD//
go_0009102_6	bioH//nudG//gmhB//rutB//torZ//solA//sdhA//yidA//rutA//
go_0009103_6	rffC//hisC//ynfH//fumB//tdk//lipA//ilvA//galM//sgbH//
go_0009106_5	spoT//
go_0009107_6	bglA//cysG//
go_0009108_6	waaS//
go_0009116_5	alkB//ruvA//
go_0009142_7	serB//
go_0009143_7	umuD//
go_0009152_8	rihC//
go_0009157_8	menA//
go_0009166_7	paaJ//patZ//
go_0009168_9	scpB//
go_0009220_8	gcd//uvrA//
go_0009224_9	trmD//
go_0009226_6	rbn//ybcF//
go_0009228_7	eno//rsuA//speA//mepS//yfiC//rfbC//moaD//pfkB//trpS//
go_0009229_6	mutS//waaY//
go_0009231_6	yfeW//paaG//truD//glpX//gpmA//xthA//gudD//
go_0009234_7	bioB//ynfH//glnS//coaD//tyrA//mpaA//plsB//wzb//apaH//
go_0009236_6	argE//fadH//rlmB//katE//yihS//leuS//
go_0009237_4	fabG//ubiE//
go_0009239_6	sucD//mak//kbaZ//dgcZ//glmM//bioF//narH//lpxC//
go_0009240_6	dacA//
go_0009242_6	rnpA//pykA//hemE//sodB//ubiG//waaU//phnM//dusB//
go_0009243_7	pgpA//
go_0009244_7	frdC//glxR//rdgB//pflB//hyaA//fabG//metB//thiH//oxc//ubiD//fruK//ydiB//gabD//folC//moeA//pgaD//frdC//purU//garK//waaU//dbpA//yciV//
go_0009245_6	tig//fadH//murI//ttdB//wecC//patD//entH//gcvT//pdxA//
go_0009246_6	kdgK//cysS//speG//nrdD//bfr//pgpB//
go_0009249_6	amyA//hemC//uvrC//
go_0009250_7	
go_0009251_7	gabT//
go_0009252_7	ybiV//carA//yigL//arnA//bcsA//fbp//ansB//argK//paaC//dacD//mobA//gcvP//tktB//mcrA//thrC//mutM//ldtD//rsmG//tgt//fumA//cysI//ribB//gltX//pinE//dcm//
go_0009253_8	yieH//adiA//lgoD//rihB//eptA//avtA//phnO//trpC//frdD//gcl//
go_0009254_8	rpiB//pheT//lysU//sdhC//mltB//ispF//rlmH//cynT//cdsA//mtn//folE//
go_0009257_8	aroG//dcyD//nrdF//moeB//
go_0009263_6	waaP//ubiE//
go_0009264_6	nadK//coaE//
go_0009265_7	adeD//
go_0009266_4	hcaC//truD//bglX//glgA//dapA//waaU//
go_0009267_5	ampD//glyA//
go_0009268_4	ilvH//
go_0009271_4	
go_0009273_5	
go_0009290_6	
go_0009294_5	nadD//
go_0009297_6	
go_0009298_7	gntK//apaH//wecC//
go_0009305_7	tehB//
go_0009306_4	
go_0009311_5	
go_0009314_4	oxc//aroH//rsmH//pphA//gstB//dcd//pgi//arnA//cysM//citG//nrfA//dgt//asnS//gltX//pflB//rbsK//gabD//
go_0009372_5	yjhH//abgA//hcaB//
go_0009396_6	trpS//fucI//
go_0009398_7	rihB//
go_0009401_7	selA//ansB//leuB//glpD//cysC//rnd//aroF//deoC//kdgK//rsmJ//mtlD//selA//entH//citE//hemD//galT//aroK//waaP//garK//uxaC//
go_0009403_5	
go_0009405_4	
go_0009407_3	puuE//
go_0009408_4	sodA//fdhF//malZ//prmC//argA//pncB//pdeH//lysU//rsmG//ynfF//wcaJ//ispG//ppsA//lacZ//rpiA//bglA//glyS//dsdA//narV//hemG//tehB//thrA//bioH//galM//nrdF//uxaB//
go_0009409_4	rlmB//yjhG//
go_0009410_4	nagK//
go_0009411_6	ycjU//pgpB//suhB//ldcC//phnJ//gcvP//mak//mraY//fucI//
go_0009416_5	hyaB//asd//
go_0009423_8	yciV//malY//rluD//entH//
go_0009432_5	asnA//ruvC//clsB//mltD//mhpD//
go_0009435_9	speD//ubiF//yggF//alaS//ttdB//
go_0009436_6	cpdA//rlmL//proA//rsmH//
go_0009437_5	
go_0009438_5	
go_0009440_6	glpA//aroL//epd//
go_0009442_7	galT//mnaT//gcvP//galK//aceB//
go_0009443_5	ycjU//hemD//wcaJ//
go_0009446_6	ydiF//mrdA//
go_0009447_6	nudB//serA//trmA//cysG//trpD//selA//mug//lsrG//
go_0009450_6	slyD//speD//lipB//yccX//
go_0009451_6	trpS//rlmF//murI//yghU//
go_0009593_4	
go_0009597_5	
go_0009636_4	nanK//ilvN//uvrC//gldA//ynfH//
go_0009637_6	
go_0009651_5	
go_0009697_5	adk//
go_0009758_2	moaD//
go_0009785_5	
go_0009970_6	tdcB//cyoE//gntK//
go_0009972_10	gluQ//
go_0009992_5	purN//udk//ssuD//
go_0010033_4	
go_0010038_5	
go_0010039_6	ushA//
go_0010041_7	waaU//bglB//
go_0010042_6	ymdB//
go_0010043_6	dgoD//gpmM//
go_0010045_6	rutA//
go_0010106_6	
go_0010124_4	rlmI//ldcC//proB//entA//aroF//kdsB//ppiA//ruvB//
go_0010133_7	betB//
go_0010139_7	aldB//
go_0010165_6	trpA//sthA//yjjG//upp//sthA//frdB//ltaE//ybiV//
go_0010212_5	ssuD//
go_0010226_6	relA//
go_0010243_5	
go_0010272_6	glpC//
go_0010273_4	mltD//recF//ribD//
go_0010312_3	ldtD//
go_0010332_6	
go_0010350_6	
go_0010438_6	hemL//hcaB//
go_0010447_5	citE//kduD//
go_0010468_6	dkgB//
go_0010498_6	hisG//mutS//argI//add//
go_0010501_7	nrdA//nrfB//
go_0010557_7	
go_0010608_7	waaU//
go_0010628_7	
go_0010629_7	hflX//
go_0010676_7	
go_0010699_4	kduD//folP//
go_0010810_5	
go_0010876_4	
go_0010911_5	
go_0010921_6	
go_0010951_8	
go_0010967_6	
go_0010974_7	
go_0012501_4	
go_0014070_5	serC//sufS//menB//waaH//nfsB//mraY//queG//hemB//thiI//
go_0015031_5	garD//deoB//pdxJ//alaA//pyrC//hflX//murB//phnP//
go_0015074_6	
go_0015628_5	
go_0015670_6	cysM//
go_0015673_9	pdxJ//
go_0015675_9	thiL//
go_0015679_10	lysC//
go_0015682_8	rbsD//
go_0015684_9	tgt//pgk//eutD//ldcC//
go_0015685_8	ubiE//codA//
go_0015687_7	malP//
go_0015688_6	malZ//glgC//
go_0015689_8	waaL//
go_0015691_9	aes//fbaA//
go_0015692_8	allB//
go_0015693_9	dgoK//
go_0015696_6	ydfG//
go_0015698_7	menD//
go_0015699_8	pcm//
go_0015700_8	yihV//
go_0015706_6	yqjH//lpxP//cmoA//
go_0015707_6	ubiA//murE//menE//waaQ//
go_0015709_6	plsC//
go_0015710_8	pheS//hisB//
go_0015712_7	yeiG//
go_0015718_8	thrS//
go_0015721_7	dapA//ubiH//glgX//
go_0015724_7	kdsD//
go_0015726_8	guaC//
go_0015733_7	rsmH//
go_0015734_6	ulaF//
go_0015736_9	tdh//
go_0015739_7	lpcA//
go_0015740_9	yggF//dcd//frlC//
go_0015741_10	yieH//lpxT//
go_0015747_6	ulaD//
go_0015748_6	mhpB//
go_0015749_7	ilvN//ampD//ttdB//tatD//leuS//betB//gloA//
go_0015751_9	hcaE//yghU//
go_0015752_9	nadC//waaG//
go_0015753_9	cfa//rbn//
go_0015754_9	speC//
go_0015755_9	murC//tsaE//idnD//
go_0015756_9	rimK//prs//
go_0015757_9	lpxC//thiG//dapD//yqaB//
go_0015760_8	dgoA//
go_0015761_9	citG//
go_0015762_9	yjjG//
go_0015764_7	pphA//rfaD//ldtE//
go_0015765_8	dgt//tktA//
go_0015767_9	mltC//pyrF//azoR//
go_0015768_9	hchA//idnK//ilvC//
go_0015769_9	ilvN//
go_0015771_9	rlmB//hcaC//waaP//
go_0015772_7	rlmF//lpcA//ldcC//
go_0015774_7	yqaB//
go_0015778_7	folC//
go_0015793_7	puuA//yihX//
go_0015794_7	polA//yhdJ//
go_0015795_7	galT//pck//
go_0015796_7	fadI//
go_0015797_7	ddlB//rhaM//accB//
go_0015803_7	torZ//proB//leuC//
go_0015804_7	nirD//dgoA//
go_0015806_6	mltC//
go_0015807_7	arnB//abgB//pphA//alr//udp//aroK//
go_0015808_8	avtA//ahpC//
go_0015809_7	cof//
go_0015810_8	pgaC//phnM//
go_0015811_7	kdsA//waaQ//
go_0015813_6	fadI//ribF//glmM//
go_0015814_7	bioF//
go_0015816_6	ulaD//
go_0015817_7	ampH//dam//
go_0015818_7	truB//tatD//
go_0015820_7	frmA//argB//ybiV//nudC//gdhA//
go_0015821_7	amiD//pphB//
go_0015822_7	speF//
go_0015823_7	mtgA//rsuA//sbcB//pyrC//fabB//
go_0015824_7	sbcB//srlD//rluA//
go_0015825_8	sucB//
go_0015826_7	fucA//lysC//hemL//
go_0015827_7	ulaG//waaC//rsuA//
go_0015828_7	dcyD//purD//
go_0015829_7	yjjX//fau//birA//
go_0015830_7	lplA//
go_0015833_6	rbn//sodB//hemG//gudD//rlmE//iaaA//speG//hcaB//glgP//tsaD//
go_0015834_7	ndk//tilS//
go_0015835_6	aroA//
go_0015836_7	pldB//frlC//
go_0015839_7	rsmE//
go_0015846_6	yegS//fruK//
go_0015847_7	ilvE//sthA//pgpC//trmJ//mepS//
go_0015848_7	garD//ubiH//
go_0015851_6	
go_0015853_8	thiL//dam//
go_0015856_8	araD//
go_0015857_6	rbn//waaF//
go_0015858_7	truC//tgt//dhaK//
go_0015860_7	menH//fadH//
go_0015861_9	cysC//tdcB//
go_0015862_9	polA//yeaG//
go_0015863_8	mhpC//
go_0015864_8	sdhD//
go_0015871_6	sodA//gapA//tdh//yigL//
go_0015878_6	
go_0015879_9	umuD//
go_0015882_7	cpsB//
