# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	gloC//
go_0006508_5	cmoA//dcyD//trmO//glpX//lsrK//hemA//rffC//surA//sdhA//serS//aroC//pinE//putA//treF//purL//yjhH//hemH//thrB//waaS//uxuA//pepD//ldtA//mepS//ilvA//spoT//preT//yfiC//dgcT//dcd//acnB//fbaA//prpC//uxaB//
go_0006515_7	lpxD//dkgB//chbG//nth//dgkA//rbsK//phnM//
go_0006517_6	dnaE//tilS//
go_0006518_5	yfdR//ymdB//
go_0006523_8	hcaF//dmsC//
go_0006524_8	
go_0006526_8	waaJ//kduI//argC//fabI//pta//proS//ldtC//
go_0006527_8	nrdB//rhaD//mobA//puuA//mmuM//
go_0006529_7	phnM//mdh//
go_0006530_7	accB//def//hemN//ilvE//
go_0006531_7	oxc//
go_0006532_8	ubiF//gluQ//feaB//
go_0006535_8	rlmB//ycjU//gdhA//
go_0006537_8	ydiF//
go_0006538_8	yieH//trmI//
go_0006541_7	ubiE//dapB//speC//purA//rutB//
go_0006542_8	folA//cysK//
go_0006543_8	
go_0006545_6	fes//
go_0006546_6	cpdB//rlmH//rsmC//
go_0006554_8	btuR//yfcF//arnA//
go_0006556_5	yjcS//
go_0006559_6	sucD//
go_0006561_6	lipA//idnD//
go_0006563_7	nrdF//
go_0006564_8	ubiF//ppiA//phr//allD//
go_0006565_8	gstB//pphB//ycjU//tktB//hcaB//
go_0006566_7	icd//
go_0006567_8	gcvH//murD//folE//pphB//waaG//asnB//serC//
go_0006569_7	rnt//
go_0006571_7	pdeH//glcB//
go_0006593_7	etp//
go_0006598_8	gcl//napC//epmC//
go_0006605_6	
go_0006612_6	
go_0006614_8	
go_0006616_7	
go_0006629_4	yihX//tmcA//
go_0006631_5	ydiF//yeiG//yccX//thiD//pykA//
go_0006633_6	rsmE//sucC//uvrB//bioF//pdxA//aroC//leuS//hemN//polA//waaL//fbp//
go_0006635_6	rrrD//rutA//waaP//citE//hyaB//eutD//rlmG//deoD//dapA//rnpA//birA//glk//
go_0006636_7	
go_0006637_5	puuE//dapF//mrcA//gluQ//kduD//
go_0006646_7	
go_0006650_6	
go_0006654_7	hemH//
go_0006655_7	nagZ//uvrB//
go_0006725_4	clsB//
go_0006729_6	phnO//tatD//
go_0006730_4	yqjH//csdA//ddlA//
go_0006734_9	
go_0006740_4	
go_0006741_9	
go_0006742_8	
go_0006744_7	metL//dmlA//hycB//torC//folM//tig//pyrD//glpD//fabA//prpB//pldB//araB//
go_0006749_5	kdsA//argB//
go_0006750_6	rluE//citG//
go_0006751_6	codA//
go_0006757_5	ribE//
go_0006760_5	fdhF//
go_0006761_7	rluE//
go_0006771_5	gltX//
go_0006772_6	caiD//waaA//
go_0006777_5	gmd//glmU//speG//yfbR//mltF//
go_0006779_6	curA//rsgA//yihU//dut//rihA//
go_0006780_7	udp//
go_0006782_7	selD//waaZ//pyrG//tsaB//
go_0006783_5	idi//kbaY//aroD//metH//asnA//opgB//valS//
go_0006790_4	insI-1//sdhA//cpsG//alsK//kduI//kbaY//hemA//fumA//yciA//surA//
go_0006791_2	epd//ymdB//frmB//
go_0006793_4	yigB//cobB//
go_0006798_5	pyrB//
go_0006799_5	melA//
go_0006801_5	waaQ//rsmE//dapD//
go_0006805_4	yjhG//purN//sthA//cdh//
go_0006807_3	wrbA//fruK//uxaB//
go_0006808_4	birA//
go_0006810_4	pabA//arnT//nrdF//hyi//treF//hemD//treA//moeB//narV//speC//mltA//galT//garK//dapD//deoB//murD//nudF//rsmE//yhdH//sdhB//bioH//bioH//hisD//tktB//truA//folX//allC//ycjU//yigB//mak//waaU//glcB//coaE//cobB//mnaT//alaC//phnH//pbpC//ispH//rlmL//yeiG//nudB//ilvM//proA//bioC//cmoB//der//fucK//solA//lpxK//lpxM//paaH//uxaC//rffT//acnB//gabT//valS//sdaB//aroD//fadM//hypB//citX//hdhA//gapA//yeaG//rfbD//surA//proC//pgaD//gshA//rpiA//yfcF//nadC//cheB//polA//nrdD//aroF//
go_0006811_5	wcaJ//guaA//hisI//speA//hisH//cfa//guaB//tsaD//entB//fadA//xapA//
go_0006812_6	nrfB//dgcM//
go_0006813_8	prpB//hisS//phnI//idi//tpiA//gph//mltF//katG//
go_0006814_8	pdxJ//rfbD//speF//scpB//
go_0006817_8	gpmA//
go_0006820_6	gcvT//narV//ubiH//narG//nrfC//
go_0006821_8	nagA//
go_0006824_8	thiL//murE//alkB//sucA//
go_0006825_9	purA//
go_0006826_9	trpS//
go_0006828_9	paaG//
go_0006829_9	waaJ//glpB//kdsA//aspS//menD//
go_0006833_6	
go_0006835_8	uvrA//rpiB//
go_0006847_8	murQ//
go_0006855_6	sgbU//scpC//preA//rsmG//fabZ//rfbD//hisI//nudG//metC//hisH//speF//ubiC//araD//pdxK//
go_0006857_7	torZ//fucI//entA//
go_0006863_7	araD//
go_0006865_6	rhaB//gltD//rnb//selD//lgoD//ldtC//mhpD//eutD//sgbU//gatY//yqhD//lysC//valS//yfbR//rfbB//nadD//arsC//argD//phnN//murI//mtlD//
go_0006868_7	tag//
go_0006869_6	melA//
go_0006874_8	
go_0006876_8	patZ//
go_0006878_9	malS//
go_0006879_9	ribF//pyrC//
go_0006880_4	narH//puuB//
go_0006882_8	suhB//
go_0006883_8	ldtE//phnH//rnt//
go_0006884_4	
go_0006885_9	mutH//
go_0006886_5	
go_0006928_3	dkgA//
go_0006935_4	pdxA//mutS//pyrH//murC//mnaT//
go_0006970_4	sgbU//melA//queC//hpt//gltB//pdxK//
go_0006972_5	ghrB//waaL//dmlA//rihB//pdxY//
go_0006974_5	ubiX//cynT//treA//mhpD//icd//rph//allC//alsE//ilvN//metL//paaH//entC//dcyD//rimK//speE//glnE//cdd//clsA//bglB//atoB//yqhD//thrA//guaC//trmA//yfdR//yfiC//uxaC//rfaE//paaA//waaU//rluA//recG//thiI//metL//hchA//paaB//tdh//menC//sucA//pabC//recF//lysU//manA//fbaA//plsC//rsmB//putA//aroG//dmsB//menC//cysN//gabT//rihB//cpdA//aceB//astC//deoD//ubiE//fkpB//prmB//tilS//ligA//rpe//thiH//fumB//thrS//glnS//glcB//ilvI//waaJ//cysN//mltA//glxK//gutQ//fucK//ilvI//mutL//queC//yfdR//bioF//purL//rihC//menE//glgX//carA//prmB//ppc//yieH//fklB//thrC//rluF//miaB//glyA//nudB//uidA//
go_0006979_4	mtlD//pdxJ//phnJ//rsmI//rutA//trmI//aspS//fumB//dapF//thiH//gmhB//pnp//phnP//gadA//fumB//ldcC//uxuB//ydiO//fkpA//cdd//cmk//gntK//folP//menC//yqaB//citC//
go_0006986_5	prpC//
go_0006995_6	alr//mmuM//
go_0007059_3	prs//feaB//
go_0007062_4	
go_0007155_3	nrfA//
go_0007165_3	curA//argK//
go_0007234_5	
go_0007584_4	
go_0008033_9	dgcT//nrfC//ilvH//nadE//allB//cobB//hycB//katG//
go_0008104_4	
go_0008152_2	fadB//mltB//tdcD//cysK//yrfG//gltX//ispU//rlmJ//speB//glk//puuC//waaO//bioB//sodB//fadH//speD//trmH//
go_0008156_8	
go_0008219_3	
go_0008272_6	dusC//recJ//
go_0008295_6	nagZ//galE//yhdJ//
go_0008299_5	gluQ//
go_0008360_4	lysA//dam//dut//pgpC//yfaU//metG//ahpC//idnD//pgaC//dadA//tdcB//
go_0008610_5	rluD//lsrK//mnmG//pyrD//
go_0008615_6	xylA//rutE//hemE//rutE//ttdB//sucD//yqaB//
go_0008616_8	menA//panC//speB//rffG//pepD//recJ//
go_0008643_6	rsmB//rdgB//patZ//hisA//miaA//proB//avtA//gnd//pta//hemH//rlmE//clsA//argS//codA//ahpC//dgcZ//hemD//lpxH//
go_0008652_5	nanE//glmU//thrS//menB//fruK//aroG//rutB//gloC//
go_0008653_5	
go_0008654_5	sdhA//fkpA//rlmD//pyrC//
go_0009050_6	polB//yjhG//
go_0009052_6	yrfG//plsC//yihU//aes//hdhA//gapA//
go_0009056_3	hdhA//
go_0009058_3	azoR//tcdA//panD//rsmH//
go_0009060_6	ycaO//fadA//rhaA//ugd//lpd//nfi//dgoK//
go_0009061_6	proB//trpE//pgl//dfp//hyaC//hemF//mmuM//ahpC//pheA//dkgB//mltD//slt//dapD//ilvN//ddlA//dgcZ//tsaC//phoA//glcD//rluC//dgt//
go_0009062_6	lpoB//
go_0009063_5	rutE//rlmJ//glmS//
go_0009070_7	ushA//
go_0009073_6	moeB//purA//glmM//metG//cdsA//pfkB//aroK//roxA//treA//trpE//gadA//
go_0009081_5	malS//hisB//
go_0009082_6	der//ribC//xapA//yigL//galK//eno//mutS//
go_0009085_8	fcl//
go_0009086_7	bcsA//ilvE//ahr//ymdB//purB//
go_0009088_8	wecB//rutC//
go_0009089_6	ynfE//alr//thiL//waaH//ybjG//bglX//
go_0009090_8	ulaE//cysC//hcp//fbp//
go_0009092_7	gadB//
go_0009093_7	
go_0009094_6	cyaA//ttdA//entH//
go_0009097_7	argC//ftsI//pdxB//xthA//purC//
go_0009098_7	glpD//purD//idnO//fabZ//sucD//nrdD//
go_0009099_7	galM//rfaD//menF//hemB//rnb//glmM//pykF//
go_0009102_6	ndk//prmB//dcyD//yjhH//dmlA//hinT//cdsA//yihV//srlD//
go_0009103_6	yjhG//cysM//guaD//plsB//insI-1//gstB//lacZ//lsrG//gmhB//
go_0009106_5	phnI//
go_0009107_6	ispA//gldA//
go_0009108_6	nirD//
go_0009116_5	gltD//ybiV//
go_0009142_7	glpD//
go_0009143_7	pdeF//
go_0009152_8	rpiA//
go_0009157_8	putA//
go_0009166_7	serC//rlmG//
go_0009168_9	manA//
go_0009220_8	dacA//fumB//
go_0009224_9	alkB//
go_0009226_6	glpD//rihA//
go_0009228_7	pgaC//mtgA//codA//pdxA//pta//fabD//alsK//nadC//apt//
go_0009229_6	paaA//purC//
go_0009231_6	paaK//insI-1//araD//fabD//bioH//cmk//waaL//
go_0009234_7	waaY//melA//dcyD//paaJ//nadK//fabA//mltF//speB//cmk//
go_0009236_6	puuE//ybhA//tdcD//pheA//ldtC//argF//
go_0009237_4	epmB//mrcB//
go_0009239_6	leuC//yfiC//apaH//pgpC//mutY//speF//aroK//frmA//
go_0009240_6	ispH//
go_0009242_6	pabA//paaB//menA//aroG//cobT//pphA//ascB//lysS//
go_0009243_7	dut//
go_0009244_7	paaC//rne//speA//nfi//rsmC//opgB//bioF//frmB//ymdB//trmA//entD//recR//rbsK//lldD//waaL//pyrB//lipA//ulaE//surA//ackA//ubiH//fumA//
go_0009245_6	nadC//avtA//hyi//ppiC//phnL//cpdB//nhoA//ldtD//pdxH//
go_0009246_6	pbpC//uxaB//argB//treA//leuD//fucA//
go_0009249_6	chbF//maeA//cadA//
go_0009250_7	
go_0009251_7	prpD//
go_0009252_7	yhdH//glgP//rpiA//aroG//nanK//metL//moeB//ispH//lysC//lpcA//xapA//tdcG//narG//yajO//ftsI//pagP//argI//nrfB//gatZ//ilvB//preA//yagF//bioC//argD//pphA//
go_0009253_8	arnT//purU//hisD//dacC//galU//curA//fumA//rhaD//glgP//fucI//
go_0009254_8	metE//nanE//lpcA//ydiB//sdhB//glnE//fadK//gmhB//appA//alr//panC//
go_0009257_8	bioC//spoT//aldB//pgpA//
go_0009263_6	cysE//kdgK//
go_0009264_6	ubiD//gpsA//
go_0009265_7	iscS//
go_0009266_4	yihU//eptB//rffC//glpK//mnmA//ribE//
go_0009267_5	mak//rihC//
go_0009268_4	pgaC//
go_0009271_4	
go_0009273_5	
go_0009290_6	
go_0009294_5	malY//
go_0009297_6	
go_0009298_7	uidA//yajO//fadA//
go_0009305_7	cmoB//
go_0009306_4	
go_0009311_5	
go_0009314_4	tatD//rlmH//ftnA//fumC//rluE//hmp//ynfH//epmB//orn//pdxB//metL//der//ilvI//ldcA//phnG//rnd//hemF//
go_0009372_5	rbn//waaA//nudB//
go_0009396_6	rlmA//aldA//
go_0009398_7	purA//
go_0009401_7	mutM//ileS//ynfE//dbpA//glgP//panE//tilS//ftsI//atoB//fabG//frmA//hchA//ubiC//umuC//thiL//cmk//xylB//ahpC//tmk//napA//
go_0009403_5	
go_0009405_4	
go_0009407_3	speC//
go_0009408_4	malY//cpdB//bacA//lpxL//def//yagE//leuB//rsmB//paaG//coaA//mltC//icd//queD//pgl//pdeH//yidA//tsaE//umuD//nadA//gmd//moaA//ansA//lysS//aceB//wecB//rpiB//
go_0009409_4	yajO//fumA//
go_0009410_4	trpS//
go_0009411_6	lysS//patZ//thiH//gatD//dkgA//kdsB//ackA//trpS//bioC//
go_0009416_5	katG//rbsD//
go_0009423_8	fdhF//sgbU//rffG//rihA//
go_0009432_5	argS//pgaD//fumB//avtA//appA//
go_0009435_9	trpD//rbsD//talB//ampH//argC//
go_0009436_6	mnmA//rluB//gabD//uvrA//
go_0009437_5	
go_0009438_5	
go_0009440_6	hcaD//ligB//ycjU//
go_0009442_7	scpB//waaH//yjjX//argC//leuS//
go_0009443_5	yfiC//yfcG//pldB//
go_0009446_6	dcm//mraY//
go_0009447_6	puuA//aldA//abgB//pgaC//adeD//iaaA//feaB//dam//
go_0009450_6	waaY//entE//thiC//plsB//
go_0009451_6	coaA//galU//clsA//leuS//
go_0009593_4	
go_0009597_5	
go_0009636_4	rimK//ligA//fabB//yccX//thiG//
go_0009637_6	
go_0009651_5	
go_0009697_5	trmI//
go_0009758_2	gldA//
go_0009785_5	
go_0009970_6	dsdA//rluB//proB//
go_0009972_10	dkgA//
go_0009992_5	ldcC//nfi//phnN//
go_0010033_4	
go_0010038_5	
go_0010039_6	glpC//
go_0010041_7	fabG//guaB//
go_0010042_6	rutE//
go_0010043_6	acpT//yfdR//
go_0010045_6	dnaQ//
go_0010106_6	
go_0010124_4	leuD//psd//tktB//mutY//fbp//ampH//thiG//mog//
go_0010133_7	ndh//
go_0010139_7	hycB//
go_0010165_6	hypB//napA//moeB//proS//frdA//hinT//cynS//folP//
go_0010212_5	xthA//
go_0010226_6	psuG//
go_0010243_5	
go_0010272_6	folX//
go_0010273_4	pncB//aroB//hemA//
go_0010312_3	sdaA//
go_0010332_6	
go_0010350_6	
go_0010438_6	phnO//bcsA//
go_0010447_5	idnD//phnG//
go_0010468_6	galT//
go_0010498_6	sodB//tag//cyaA//nadD//
go_0010501_7	epmB//entB//
go_0010557_7	
go_0010608_7	prpB//
go_0010628_7	
go_0010629_7	rnt//
go_0010676_7	
go_0010699_4	gloB//trmD//
go_0010810_5	
go_0010876_4	
go_0010911_5	
go_0010921_6	
go_0010951_8	
go_0010967_6	
go_0010974_7	
go_0012501_4	
go_0014070_5	mnaT//slt//ligB//hisS//argH//lpxL//waaG//aceA//uvrC//
go_0015031_5	panC//leuB//rfbC//ileS//frlB//dgoA//fadE//arsC//
go_0015074_6	
go_0015628_5	
go_0015670_6	yfaU//
go_0015673_9	entA//
go_0015675_9	argK//
go_0015679_10	menA//
go_0015682_8	patA//
go_0015684_9	menB//ubiC//ligA//phnJ//
go_0015685_8	rph//speD//
go_0015687_7	guaC//
go_0015688_6	mpaA//nagA//
go_0015689_8	idnK//
go_0015691_9	guaD//nadC//
go_0015692_8	yjjX//
go_0015693_9	murA//
go_0015696_6	narV//
go_0015698_7	yhdJ//
go_0015699_8	epmA//
go_0015700_8	upp//
go_0015706_6	pgaD//serA//gshA//
go_0015707_6	rsmB//dhaK//rph//edd//
go_0015709_6	ispG//
go_0015710_8	thiD//pepD//
go_0015712_7	waaC//
go_0015718_8	allC//
go_0015721_7	uxuA//dacA//hycB//
go_0015724_7	lpxH//
go_0015726_8	yjjG//
go_0015733_7	glgB//
go_0015734_6	fabH//
go_0015736_9	tdcE//
go_0015739_7	frlB//
go_0015740_9	phnI//aphA//accA//
go_0015741_10	nirD//cobB//
go_0015747_6	rhaA//
go_0015748_6	murI//
go_0015749_7	aceA//prpB//folP//pnp//rnb//trmH//rdgB//
go_0015751_9	acpT//opgE//
go_0015752_9	mhpC//cmoA//
go_0015753_9	astB//ubiC//
go_0015754_9	trpD//
go_0015755_9	pdeH//aphA//tktB//
go_0015756_9	fucK//sdhC//
go_0015757_9	speD//ispA//fre//cyaA//
go_0015760_8	luxS//
go_0015761_9	hemC//
go_0015762_9	cobU//
go_0015764_7	ldcC//suhB//argG//
go_0015765_8	rlmJ//uvrA//
go_0015767_9	pdxK//asnA//nadA//
go_0015768_9	garR//aes//otsA//
go_0015769_9	gcvP//
go_0015771_9	glpX//kdsC//hcaC//
go_0015772_7	proB//rsgA//hemB//
go_0015774_7	napA//
go_0015778_7	rpe//
go_0015793_7	murQ//citC//
go_0015794_7	nhoA//ispG//
go_0015795_7	amiD//frlB//
go_0015796_7	katE//
go_0015797_7	deoB//sodB//glcD//
go_0015803_7	rdgB//eutD//leuB//
go_0015804_7	polB//cueO//
go_0015806_6	bioH//
go_0015807_7	wrbA//acpS//frlB//ispA//guaB//panC//
go_0015808_8	allB//ynfF//
go_0015809_7	ada//
go_0015810_8	umpH//mhpA//
go_0015811_7	cfa//tehB//
go_0015813_6	truA//glpX//thrA//
go_0015814_7	pck//
go_0015816_6	acpT//
go_0015817_7	pphB//eutD//
go_0015818_7	ackA//ltaE//
go_0015820_7	rsmA//insI-1//murQ//kdsA//entE//
go_0015821_7	speB//argA//
go_0015822_7	gltD//
go_0015823_7	murD//folC//hcaF//folE//mutH//
go_0015824_7	alaC//pncB//rluD//
go_0015825_8	nudC//
go_0015826_7	tyrS//pldB//alaS//
go_0015827_7	cobC//mngB//bacA//
go_0015828_7	sgbH//sgbU//
go_0015829_7	amyA//hyaC//preA//
go_0015830_7	ugd//
go_0015833_6	ravA//rnpA//menF//galE//pyrF//lpcA//pdeF//speF//cheR//ilvC//
go_0015834_7	pepD//frlB//
go_0015835_6	hcaD//
go_0015836_7	asnA//tdcD//
go_0015839_7	dkgA//
go_0015846_6	iaaA//dgoD//
go_0015847_7	coaA//tadA//citX//ribB//sodB//
go_0015848_7	mltF//mtgA//
go_0015851_6	
go_0015853_8	dadA//hchA//
go_0015856_8	sodA//
go_0015857_6	yieF//kdsC//
go_0015858_7	hemG//dkgB//gabT//
go_0015860_7	metC//ribD//
go_0015861_9	gdhA//paaA//
go_0015862_9	pncB//tdcE//
go_0015863_8	thrC//
go_0015864_8	tgt//
go_0015871_6	paaA//pgl//napC//sseA//
go_0015878_6	
go_0015879_9	pdeH//
go_0015882_7	lpxD//
go_0015886_6	glxK//puuD//
go_0015887_7	fabH//
go_0015888_6	mpaA//
go_0015889_6	rsmE//fes//murG//
go_0015891_6	waaJ//
