# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	dhaL//
go_0005978_7	ubiE//gltB//fabI//rsmC//
go_0005980_7	yqaB//glpC//opgE//
go_0005986_7	mtn//
go_0005990_7	yieF//
go_0005992_7	purU//otsB//
go_0005993_7	recO//menC//tmcA//
go_0005995_7	rlmE//
go_0005998_7	argG//
go_0006000_6	bacA//
go_0006001_7	ribA//yigB//
go_0006002_5	coaE//rlmE//ubiH//
go_0006006_6	nrdA//phnO//argH//yfiC//tdcD//
go_0006007_7	alaA//wzc//
go_0006011_5	thiM//
go_0006012_6	mutY//
go_0006013_6	rlmJ//
go_0006014_6	gutQ//
go_0006015_7	ileS//ynfE//
go_0006020_5	rfaD//
go_0006044_7	dcd//
go_0006046_8	proA//hcaD//
go_0006047_5	tmcA//tyrB//
go_0006048_6	clsA//accD//ansB//ugd//
go_0006053_8	hyaA//
go_0006062_8	pheT//
go_0006071_6	glgA//pyrD//
go_0006072_6	nhoA//
go_0006082_4	tsaE//
go_0006083_6	ldcC//pta//lipA//
go_0006086_8	pyrC//pgpC//
go_0006090_8	uxaC//leuB//ubiD//poxB//nagZ//yieF//purC//
go_0006094_7	glnE//gltX//appA//agp//icd//argK//paaK//fabH//trpB//
go_0006096_6	mngB//aroG//pgpA//napC//dcm//paaG//dosP//cyoE//nhoA//entB//ldcC//ppiC//cadA//
go_0006097_5	aroD//dbpA//waaS//ribE//fkpB//
go_0006098_6	pykA//narI//yciA//adk//rfbC//
go_0006099_4	rdgB//hisG//hemN//rlmL//etk//manA//mhpC//rffG//ispB//yahK//putA//aroL//ilvM//
go_0006103_5	ubiE//pgm//kdsD//gudD//
go_0006104_6	pyrF//
go_0006105_5	thrS//
go_0006106_8	narY//
go_0006107_8	
go_0006108_8	trmA//nfsB//etp//sad//
go_0006113_5	treF//proS//
go_0006115_6	fdhF//
go_0006124_6	
go_0006144_6	
go_0006145_7	rutC//
go_0006146_8	ispB//
go_0006148_9	ilvI//
go_0006149_9	tcdA//
go_0006150_9	nagA//
go_0006152_7	tsaD//ruvC//nhoA//lpxL//arnA//
go_0006154_6	cdsA//
go_0006161_9	ogt//
go_0006163_6	oxc//
go_0006164_7	hisS//menH//acpH//tdcE//
go_0006166_6	tgt//
go_0006168_7	idi//waaL//
go_0006171_9	
go_0006172_9	xdhB//
go_0006177_9	bglX//
go_0006178_7	ubiH//
go_0006183_9	uvrC//
go_0006189_10	trpD//fadI//
go_0006203_8	paaJ//leuC//
go_0006206_6	yghU//csdA//ycaO//
go_0006207_8	ispU//btuR//ansB//mtn//gstA//
go_0006208_7	ybjG//ileS//entH//dxr//pdxY//bacA//
go_0006209_6	lpxH//
go_0006210_8	mltC//
go_0006212_6	speB//waaL//paaF//pyrF//caiD//hemC//entH//rne//yccX//cysS//
go_0006217_9	purU//
go_0006218_9	mog//
go_0006220_6	codA//
go_0006221_7	lipB//cysM//murE//
go_0006222_9	
go_0006225_9	ltaE//
go_0006226_9	ydfG//ispU//
go_0006227_9	fcl//
go_0006231_9	ybhA//
go_0006233_9	thiC//
go_0006235_9	iscS//
go_0006241_9	gltD//
go_0006259_5	fadK//rffH//sad//
go_0006260_6	lysC//hcaC//aspS//nfsB//yfcF//hypF//bioF//
go_0006261_7	mutY//gudD//nagZ//
go_0006265_6	ubiI//ubiF//
go_0006266_6	folE//tsaB//adhE//
go_0006267_5	
go_0006268_9	fadE//narH//
go_0006269_6	dut//
go_0006270_6	
go_0006271_7	
go_0006274_6	
go_0006275_7	
go_0006276_3	nadB//adeD//
go_0006281_6	glxK//pdxK//mcrB//gmk//dmsC//bioF//ydiO//opgB//hcp//ilvH//queD//eptC//mtlD//epd//arnB//trpA//hchA//
go_0006283_8	
go_0006284_7	narV//pagP//rsmE//fadE//fbp//yjiA//
go_0006285_6	serS//kefF//acpS//cof//
go_0006288_8	glnE//acnB//
go_0006289_7	
go_0006298_7	mhpD//folP//gshA//rihA//
go_0006301_7	
go_0006302_7	hcp//hemF//
go_0006307_8	alsK//xylA//ltaE//feaB//frlB//
go_0006308_6	waaP//sodC//nfsB//dgcT//
go_0006310_6	pepD//mazG//trpB//adeD//murD//
go_0006313_4	mnmA//
go_0006351_6	recF//metH//
go_0006352_7	
go_0006353_7	
go_0006354_7	pbpC//
go_0006355_7	sdaB//
go_0006357_8	
go_0006364_9	ubiF//pgsA//codA//dmsC//
go_0006378_8	gatD//
go_0006396_7	mgsA//hyaB//gshB//ldhA//rlmA//
go_0006397_8	rluC//
go_0006399_8	rutA//lpxM//
go_0006400_7	mcrB//hinT//pdxY//cobS//nadK//
go_0006401_6	rsmF//gloC//ispA//wzc//epmA//idi//
go_0006402_7	tdcB//glxK//pykA//yghU//aroL//accB//ldcA//
go_0006412_6	menI//selD//yjhG//cyoE//yigB//
go_0006413_4	cobU//
go_0006414_6	
go_0006415_7	yieF//metB//
go_0006417_7	metF//kbaY//
go_0006418_7	thiI//pepD//tsaB//folP//malP//murA//dadA//yfeW//menD//truC//serA//
go_0006419_8	dgkA//
go_0006420_8	lpoA//
go_0006421_8	mrcB//
go_0006422_8	purL//
go_0006423_8	ribD//
go_0006424_8	arsC//paoC//
go_0006425_8	umuC//
go_0006427_8	oxc//
go_0006428_8	ubiC//
go_0006429_8	yjjX//
go_0006430_8	tadA//fadJ//
go_0006431_8	icd//
go_0006432_8	ygjK//
go_0006433_8	avtA//
go_0006434_8	aroE//
go_0006435_8	mutT//
go_0006436_8	torZ//
go_0006437_8	bglB//
go_0006438_8	aroL//
go_0006448_8	
go_0006450_4	hcaD//rpiA//miaB//prpC//napC//cpdB//
go_0006457_3	panB//rsmC//manA//pepD//ispF//ulaE//rsmH//
go_0006458_4	
go_0006464_6	hemG//ftsI//panE//dmsA//yidA//lpxT//murD//rutE//
go_0006465_6	ybjI//ymdB//tdcB//
go_0006468_7	gmk//
go_0006470_7	cysN//waaB//plsB//nadE//fadB//
go_0006473_8	glpB//
go_0006474_6	purL//gcvH//mhpB//
go_0006476_8	fucK//
go_0006479_5	tdh//rsuA//cfa//sbcB//nhoA//nfsB//
go_0006486_5	fabD//
go_0006490_5	nrdF//
go_0006508_5	pepD//yihT//cdd//nrdF//yqaB//adeD//patD//speC//psuG//allB//argI//glgB//hmp//thiG//pykF//lpxL//pabA//lplA//pgpA//mtgA//pyrC//metG//cynT//menB//rnd//nudC//aroG//ltaE//ligA//ravA//carA//waaG//dadA//
go_0006515_7	fucO//glmU//yihU//dacC//insI-2//gpsA//cysS//
go_0006517_6	waaF//coaA//
go_0006518_5	mutM//gloB//
go_0006523_8	fadA//waaB//
go_0006524_8	
go_0006526_8	cysI//argD//nadK//waaO//btuR//mhpB//narV//
go_0006527_8	gudD//pgpB//astC//moaA//gmhB//
go_0006529_7	tyrA//slt//
go_0006530_7	sdhA//kduI//rluC//sdhD//
go_0006531_7	thiL//
go_0006532_8	truC//prpD//cfa//
go_0006535_8	pdxH//waaU//ampD//
go_0006537_8	cmk//
go_0006538_8	malQ//argB//
go_0006541_7	pyrD//fruK//serA//rlmC//pphB//
go_0006542_8	fadD//dacD//
go_0006543_8	
go_0006545_6	yihX//
go_0006546_6	waaF//ispH//ppk//
go_0006554_8	gapA//gcd//rsmE//
go_0006556_5	tdcG//
go_0006559_6	mltA//
go_0006561_6	napB//trmL//
go_0006563_7	pnp//
go_0006564_8	galM//rnpA//glmM//yagE//
go_0006565_8	mtgA//nrdA//hchA//phr//gmk//
go_0006566_7	yigB//
go_0006567_8	icd//ybhA//fabA//rlmF//fumA//abgA//mmuM//
go_0006569_7	frdB//
go_0006571_7	mepS//glnE//
go_0006593_7	nth//
go_0006598_8	hisG//pphA//otsB//
go_0006605_6	
go_0006612_6	
go_0006614_8	
go_0006616_7	
go_0006629_4	waaH//apt//
go_0006631_5	cof//hcaC//eptA//hyaC//murA//
go_0006633_6	ssuD//metC//pabA//gloA//cdsA//ribA//ligA//ackA//hisF//paaZ//yfeX//
go_0006635_6	sucC//rffM//aroL//moaD//ispB//thiL//hisA//dut//menI//rfbC//mazG//torA//
go_0006636_7	
go_0006637_5	preT//gpp//alsE//cysD//chbF//
go_0006646_7	
go_0006650_6	
go_0006654_7	rlmJ//
go_0006655_7	puuA//paaJ//
go_0006725_4	napB//
go_0006729_6	yigL//folE//
go_0006730_4	recF//gstA//trmD//
go_0006734_9	
go_0006740_4	
go_0006741_9	
go_0006742_8	
go_0006744_7	gabT//kdsB//patA//pfkA//cynT//waaC//opgB//bioD//glpX//glgB//xdhB//asnA//
go_0006749_5	yagF//ispH//
go_0006750_6	fadB//thrA//
go_0006751_6	moaE//
go_0006757_5	idi//
go_0006760_5	lysS//
go_0006761_7	edd//
go_0006771_5	entA//
go_0006772_6	speA//torZ//
go_0006777_5	lysC//rihA//dgcZ//thiD//murF//
go_0006779_6	ydiB//sdhA//purT//folA//mpaA//
go_0006780_7	phnP//
go_0006782_7	eptC//ribA//folD//aceF//
go_0006783_5	cmoA//mutS//thiM//puuC//kdsA//tpiA//murF//
go_0006790_4	hcaD//der//dinB//argB//abgA//nadA//pphA//waaL//ynfF//tesB//
go_0006791_2	yciV//rluE//rhaD//
go_0006793_4	miaA//rbn//
go_0006798_5	aphA//
go_0006799_5	epmB//
go_0006801_5	mutL//frmA//mltF//
go_0006805_4	recO//lysC//nadB//nth//
go_0006807_3	pyrH//idnO//lpxC//
go_0006808_4	tgt//
go_0006810_4	ogt//dgoD//umpG//yfcG//avtA//pykA//metH//proA//lgoD//gltD//ubiE//gltD//lysC//eutB//glk//dsdA//citG//waaG//uvrA//pgk//gluQ//betA//mazG//cysQ//uvrC//rihC//trpA//yieH//metK//cdh//recJ//cysQ//pcm//frdA//mutT//rluB//allC//lacZ//fabG//glk//rsmD//ybjI//katG//prpB//yfiC//yciV//cysQ//thiE//nrdE//tdcG//rluC//nrfD//glpK//ddlA//murG//cobB//ackA//mngB//mhpB//kduD//ppk//hflX//ttdB//asd//hcaC//pdeF//rsmH//asnA//adk//luxS//trmA//hemA//nudC//phnO//pheA//cof//dgkA//
go_0006811_5	fadA//ydiO//pck//paaG//purC//fabD//speF//epmB//dnaE//folP//waaQ//
go_0006812_6	mhpB//cysI//
go_0006813_8	mltF//napC//pdeH//alaS//umuD//valS//tesB//rsmC//
go_0006814_8	gadA//yegS//guaB//pinE//
go_0006817_8	glgX//
go_0006820_6	recF//feaB//truC//mutM//ilvM//
go_0006821_8	bglA//
go_0006824_8	truB//fau//hmp//entE//
go_0006825_9	yajO//
go_0006826_9	talB//
go_0006828_9	yghU//
go_0006829_9	fadD//queC//prmC//epmA//gltD//
go_0006833_6	
go_0006835_8	dut//der//
go_0006847_8	mnmC//
go_0006855_6	add//aldA//thyA//birA//betA//sgbH//lpd//pgm//sodB//hemL//clsA//rpe//rlmI//torY//
go_0006857_7	nhoA//gmd//uvrA//
go_0006863_7	serS//
go_0006865_6	mobA//lldD//gutQ//pheA//nirB//rlmL//cfa//cheB//bcsA//umuC//mpaA//pflB//ldtB//ldtE//thyA//thiE//agp//rluF//mltA//pdxB//paaK//
go_0006868_7	argI//
go_0006869_6	mrdA//
go_0006874_8	
go_0006876_8	napC//
go_0006878_9	ygeX//
go_0006879_9	purA//puuE//
go_0006880_4	arnT//pyrC//
go_0006882_8	dxs//
go_0006883_8	preT//hemA//waaP//
go_0006884_4	
go_0006885_9	cysG//
go_0006886_5	
go_0006928_3	nrdA//
go_0006935_4	uxaB//ribC//ilvB//rlmA//sdhD//
go_0006970_4	hdhA//frmA//pheS//rutE//orn//ansA//
go_0006972_5	paaZ//tktA//plsB//waaL//guaA//
go_0006974_5	menA//nrdF//sdhD//dgkA//patZ//pdeH//tgt//relA//ssuE//ybjG//ansA//dxs//lpxH//yrfG//allB//valS//insI-1//tatD//dmsB//dapD//preA//preT//narZ//mnmA//glmM//eptB//ilvE//aroL//prs//ribE//sodA//surA//yfcF//fadK//paaE//lpoA//ubiX//ybjI//bcsA//tdcD//pykF//hcaB//fadA//ruvA//fre//purD//yihX//cobB//dhaK//ligA//ilvA//waaL//aspS//nagA//speF//aroL//bglX//ynfF//nrfC//folP//treC//rlmH//ilvH//psuG//ubiC//araA//hisG//dhaM//prmC//prpC//mak//kdsB//deoB//fdhF//ldhA//fabA//entE//mnmC//dosP//gor//rsmF//azoR//tpiA//napB//mhpA//gpp//suhB//paaC//bioD//alaA//hemB//ndh//trpD//hcaC//aroA//
go_0006979_4	upp//roxA//puuE//murI//dapA//speG//aroE//fau//lipB//waaS//dhaM//trpB//etp//paaB//ddlB//rlmD//rhaB//cdh//trpS//trmI//carA//mazG//rlmA//cobC//ldcC//glnE//
go_0006986_5	ispG//
go_0006995_6	rihA//ulaF//
go_0007059_3	xdhB//thrC//
go_0007062_4	
go_0007155_3	yihU//
go_0007165_3	chbG//gstA//
go_0007234_5	
go_0007584_4	
go_0008033_9	coaD//sdhC//lpoA//hisG//ldtD//mutH//entD//menI//
go_0008104_4	
go_0008152_2	guaB//gpp//lysC//oxc//dmsA//idnO//lpxL//adeD//pgpB//insI-2//gloA//carA//speA//dapF//xylA//queG//narY//
go_0008156_8	
go_0008219_3	
go_0008272_6	nudC//dgkA//
go_0008295_6	arsC//curA//wecB//
go_0008299_5	pdxK//
go_0008360_4	waaC//mutH//ybiV//nrdF//lpxM//phnM//fklB//cobS//umpH//folA//sbcB//
go_0008610_5	gatZ//serA//recO//hisC//
go_0008615_6	frmA//aceF//dacD//dapF//nadK//sdaB//adhE//
go_0008616_8	lpoA//nfi//fkpB//gpt//hemE//hemG//
go_0008643_6	alkB//deoB//miaA//tcdA//nhoA//pfkA//leuB//hisB//paaK//nemA//rfbD//pgsA//dgoK//sdhA//ldhA//gpp//rffC//tag//
go_0008652_5	metB//glxK//thrB//ubiE//epd//cheR//ybcF//fbp//
go_0008653_5	
go_0008654_5	rhaD//hemC//paaA//kefF//
go_0009050_6	yieH//araB//
go_0009052_6	lpoB//cobT//ubiD//pcm//alsK//nudG//
go_0009056_3	folD//
go_0009058_3	moeA//narI//add//cyaA//
go_0009060_6	waaC//fadM//sad//proB//glcD//entB//rutE//
go_0009061_6	thrB//acpS//panD//idi//murB//gadA//pabB//fucI//waaF//panB//mepS//gabT//nadA//thiL//serC//asd//ogt//lpxH//roxA//aceF//truD//
go_0009062_6	mraY//
go_0009063_5	dmsB//rsmF//thiC//
go_0009070_7	dgcM//
go_0009073_6	fklB//pyrE//dxr//coaD//speE//aspS//truD//glmU//folD//fucI//adk//
go_0009081_5	rffT//metK//
go_0009082_6	abgA//glgC//sodC//mnmC//glgA//idi//deoB//
go_0009085_8	fbp//
go_0009086_7	hisI//hemA//prmB//acpS//gloA//
go_0009088_8	bacA//acpS//
go_0009089_6	trpS//mcrA//gor//accD//acnB//yahK//
go_0009090_8	pdeH//galE//carA//cysG//
go_0009092_7	mpaA//
go_0009093_7	
go_0009094_6	gloB//mpaA//ilvB//
go_0009097_7	purB//yccX//waaC//mcrA//uidA//
go_0009098_7	rlmB//purU//waaH//pgaD//scpC//prpD//
go_0009099_7	rne//serC//ubiG//pflB//scpB//yciV//rffC//
go_0009102_6	ttdA//ispF//alsE//argG//idnO//trmA//nirB//thrA//arnB//
go_0009103_6	cdd//tesB//fbp//galE//dfp//carA//lysU//pyrF//pgm//
go_0009106_5	rph//
go_0009107_6	mug//frdA//
go_0009108_6	psuG//
go_0009116_5	deoB//yfeX//
go_0009142_7	treF//
go_0009143_7	sodA//
go_0009152_8	dbpA//
go_0009157_8	ftsI//
go_0009166_7	nadD//rutC//
go_0009168_9	arsC//
go_0009220_8	der//alr//
go_0009224_9	glmU//
go_0009226_6	cyoE//gntK//
go_0009228_7	rfe//idnD//treA//ilvA//ybjG//bioB//prpD//ydiO//cynT//
go_0009229_6	rpiB//pgaC//
go_0009231_6	fadD//hisH//rlmE//dinB//cobC//moaD//prpC//
go_0009234_7	glnE//dusC//pgaD//alaS//pphB//cpsG//entE//cpdB//nagZ//
go_0009236_6	araB//cueO//acnB//argF//betA//guaD//
go_0009237_4	thrS//fdhF//
go_0009239_6	yihS//citE//surA//cysH//carB//rhaD//pabA//pgk//
go_0009240_6	dgoD//
go_0009242_6	ynfH//dnaE//hyaA//eutB//yccX//pgi//rdgB//rutC//
go_0009243_7	speB//
go_0009244_7	thiI//thrC//yahK//aspS//yjhG//abgB//guaD//rsmD//mtlD//relA//umuC//argD//fadA//hisB//nfi//proA//cobC//caiB//kdsB//ushA//hdhA//deoA//
go_0009245_6	arsC//hemE//miaA//entD//speD//narI//ygeX//dacD//queF//
go_0009246_6	pheA//pta//umuC//hyi//pfkA//cfa//
go_0009249_6	gpmM//mhpD//citE//
go_0009250_7	
go_0009251_7	def//
go_0009252_7	araA//rsmJ//rlmL//ascB//argH//waaB//cdh//trmH//hemA//yigL//dgcZ//iscS//lysC//glgA//bioC//ttdA//nadA//chbG//gpt//tmk//moeB//glcE//lpxB//aroF//ldcA//
go_0009253_8	cadA//gatY//roxA//glpD//torA//gldA//kefF//ldhA//cfa//uxaB//
go_0009254_8	rdgB//trmO//paaZ//thiM//bglB//glnA//cysM//patZ//rsmH//phr//rffH//
go_0009257_8	udp//pdeH//hemN//treA//
go_0009263_6	fabB//edd//
go_0009264_6	rutE//pheS//
go_0009265_7	garD//
go_0009266_4	entD//cheB//gntK//caiB//deoB//ispB//
go_0009267_5	mnaT//cobB//
go_0009268_4	rfaD//
go_0009271_4	
go_0009273_5	
go_0009290_6	
go_0009294_5	dapF//
go_0009297_6	
go_0009298_7	glmS//treF//glxR//
go_0009305_7	sucD//
go_0009306_4	
go_0009311_5	
go_0009314_4	tdcD//argI//scpB//fadA//sdhD//fadI//gmd//cynT//codA//plsC//bacA//fadI//melA//ymdB//kdsD//phr//yhdJ//
go_0009372_5	malY//pdxB//katE//
go_0009396_6	yfaU//tauD//
go_0009398_7	ldtC//
go_0009401_7	waaU//araB//xdhB//napC//iscS//sucB//pgi//eda//guaD//fadB//hisC//pdxH//nudF//lpxK//wcaJ//hisB//glcF//purT//thiH//thrA//
go_0009403_5	
go_0009405_4	
go_0009407_3	ilvB//
go_0009408_4	bglX//ydfG//opgE//nemA//fklB//gloC//mngB//mhpA//xylB//sodB//ymdB//pykA//mhpB//mrdA//ilvB//moaE//udp//alr//mepS//pgk//murQ//yggF//folE//tdcE//yidA//speB//
go_0009409_4	pepD//dacA//
go_0009410_4	mgsA//
go_0009411_6	gcd//hcaF//treA//add//rhaA//yeiG//ileS//lipA//mhpD//
go_0009416_5	ybjI//mhpB//
go_0009423_8	mug//cfa//fumB//garR//
go_0009432_5	rnt//ydiO//rhaM//puuA//gloA//
go_0009435_9	rlmC//paaF//cynT//pgpC//aroL//
go_0009436_6	pdeF//pabA//ddlB//ravA//
go_0009437_5	
go_0009438_5	
go_0009440_6	rihA//kdsB//gshB//
go_0009442_7	yhdJ//insI-1//sodB//menH//aceF//
go_0009443_5	dnaE//gstA//yjiA//
go_0009446_6	nadB//sufS//
go_0009447_6	valS//miaA//upp//rihA//yihT//asnB//waaS//napA//
go_0009450_6	dapB//etp//ndk//tig//
go_0009451_6	nrdB//bglA//patA//glxR//
go_0009593_4	
go_0009597_5	
go_0009636_4	pepD//bglX//lpxM//fkpA//dusC//
go_0009637_6	
go_0009651_5	
go_0009697_5	kdsB//
go_0009758_2	idnD//
go_0009785_5	
go_0009970_6	srlD//ruvA//trmH//
go_0009972_10	chbF//
go_0009992_5	bioH//entD//frdD//
go_0010033_4	
go_0010038_5	
go_0010039_6	ftsI//
go_0010041_7	xapA//glk//
go_0010042_6	menD//
go_0010043_6	malQ//rluC//
go_0010045_6	trpA//
go_0010106_6	
go_0010124_4	purD//cfa//cpsB//appA//galE//trmO//guaB//hcaB//
go_0010133_7	waaS//
go_0010139_7	csdA//
go_0010165_6	galM//cheB//dmsA//aroG//tatD//aroG//fumA//rrrD//
go_0010212_5	pldB//
go_0010226_6	puuE//
go_0010243_5	
go_0010272_6	serA//
go_0010273_4	dnaE//yjiA//tdcE//
go_0010312_3	recO//
go_0010332_6	
go_0010350_6	
go_0010438_6	metB//frdC//
go_0010447_5	metH//glgP//
go_0010468_6	panB//
go_0010498_6	ybcF//atoB//gloC//lyxK//
go_0010501_7	hisF//lacZ//
go_0010557_7	
go_0010608_7	moeA//
go_0010628_7	
go_0010629_7	cysM//
go_0010676_7	
go_0010699_4	nrfD//cysK//
go_0010810_5	
go_0010876_4	
go_0010911_5	
go_0010921_6	
go_0010951_8	
go_0010967_6	
go_0010974_7	
go_0012501_4	
go_0014070_5	paaJ//dgkA//adhP//sgbU//thrB//pdxB//yqjH//yahK//kdsB//
go_0015031_5	yegS//argB//murC//glgB//pyrD//pdeH//pncB//menE//
go_0015074_6	
go_0015628_5	
go_0015670_6	rffH//
go_0015673_9	sodB//
go_0015675_9	rnd//
go_0015679_10	coaA//
go_0015682_8	cysN//
go_0015684_9	iaaA//puuA//paoC//codA//
go_0015685_8	paaG//solA//
go_0015687_7	chbG//
go_0015688_6	ybjG//ygjK//
go_0015689_8	zwf//
go_0015691_9	entF//frc//
go_0015692_8	narI//
go_0015693_9	nagA//
go_0015696_6	uvrB//
go_0015698_7	leuA//
go_0015699_8	gpp//
go_0015700_8	ydiF//
go_0015706_6	murG//gmk//fabH//
go_0015707_6	kdgK//narG//bioC//uidA//
go_0015709_6	tktA//
go_0015710_8	manA//puuB//
go_0015712_7	lplA//
go_0015718_8	treA//
go_0015721_7	cobC//alkB//nagZ//
go_0015724_7	mak//
go_0015726_8	ybcF//
go_0015733_7	idnK//
go_0015734_6	clsA//
go_0015736_9	glnE//
go_0015739_7	argC//
go_0015740_9	uxuA//trmD//frdB//
go_0015741_10	yajO//malQ//
go_0015747_6	poxB//
go_0015748_6	yfeX//
go_0015749_7	avtA//caiD//ruvB//mtlD//sucB//mog//dfp//
go_0015751_9	rlmA//recR//
go_0015752_9	lpxH//deoB//
go_0015753_9	rluC//gloA//
go_0015754_9	hemB//
go_0015755_9	rsmB//ilvC//uvrC//
go_0015756_9	paaB//eptC//
go_0015757_9	fbaA//bioH//galK//citC//
go_0015760_8	nadA//
go_0015761_9	pflB//
go_0015762_9	hyaB//
go_0015764_7	nanE//yfcG//ahpC//
go_0015765_8	dsdA//glpA//
go_0015767_9	truD//ybiV//dkgA//
go_0015768_9	phnL//amyA//glyS//
go_0015769_9	csdA//
go_0015771_9	kdsD//narV//dadA//
go_0015772_7	rnd//lpxH//alsE//
go_0015774_7	add//
go_0015778_7	cynT//
go_0015793_7	galU//rsmH//
go_0015794_7	fadK//hemD//
go_0015795_7	thiC//kbaY//
go_0015796_7	dmlA//
go_0015797_7	guaC//nadD//ynfF//
go_0015803_7	thiG//dapA//selA//
go_0015804_7	agp//tdcE//
go_0015806_6	mrcB//
go_0015807_7	rlmC//pgk//wecB//mrcB//rluA//srlD//
go_0015808_8	queD//ldtE//
go_0015809_7	tmk//
go_0015810_8	ldtA//alaS//
go_0015811_7	scpB//frdA//
go_0015813_6	murI//metB//pyrE//
go_0015814_7	sad//
go_0015816_6	frmA//
go_0015817_7	mcrA//mcrB//
go_0015818_7	acnB//phr//
go_0015820_7	lacZ//rph//pyrH//katE//nrdD//
go_0015821_7	argG//waaY//
go_0015822_7	asnS//
go_0015823_7	gltB//ilvC//serC//deoC//dgcM//
go_0015824_7	ycaO//pgpB//yhdH//
go_0015825_8	citX//
go_0015826_7	kbaY//lysC//malS//
go_0015827_7	queD//polB//solA//
go_0015828_7	guaC//cadA//
go_0015829_7	thrB//serC//murB//
go_0015830_7	aldA//
go_0015833_6	lpxL//wrbA//add//nfsB//rimK//curA//citE//tdcD//mpaA//lpxD//
go_0015834_7	mltA//paaJ//
go_0015835_6	pfkB//
go_0015836_7	sbcB//mnmG//
go_0015839_7	pabC//
go_0015846_6	yieH//adhP//
go_0015847_7	paaE//sbcB//truA//ppiA//spoT//
go_0015848_7	fabH//pcm//
go_0015851_6	
go_0015853_8	galM//panE//
go_0015856_8	fadK//
go_0015857_6	cdh//pcm//
go_0015858_7	nadK//allD//hycB//
go_0015860_7	aceB//gstA//
go_0015861_9	napA//rne//
go_0015862_9	aroA//dmlA//
go_0015863_8	nrdA//
go_0015864_8	pinE//
go_0015871_6	mocA//frmA//wcaJ//glmM//
go_0015878_6	
go_0015879_9	gcd//
go_0015882_7	pdeF//
go_0015886_6	pheA//acnB//
go_0015887_7	lpoB//
go_0015888_6	yciV//
go_0015889_6	coaD//gloA//ldtE//
go_0015891_6	astC//
go_0015906_6	fre//
