# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	gutQ//
go_0006207_8	truC//folM//rluE//slt//luxS//
go_0006208_7	pgsA//alkA//fadB//cysQ//menE//proB//
go_0006209_6	mutT//
go_0006210_8	gpt//
go_0006212_6	alr//rffT//phnH//argA//nrdD//bcsA//ribE//purT//asnA//gutQ//
go_0006217_9	tdcE//
go_0006218_9	aroE//
go_0006220_6	hyaC//
go_0006221_7	tnaA//frmA//gadB//
go_0006222_9	
go_0006225_9	mpaA//
go_0006226_9	uxaA//ubiF//
go_0006227_9	bfr//
go_0006231_9	ycaO//
go_0006233_9	insI-1//
go_0006235_9	uvrC//
go_0006241_9	glmU//
go_0006259_5	aspS//rihB//serS//
go_0006260_6	alkA//malY//ghrB//sucB//mug//btuE//uvrB//
go_0006261_7	trmJ//waaG//pflB//
go_0006265_6	nirD//rutC//
go_0006266_6	prmC//codA//yjhH//
go_0006267_5	
go_0006268_9	udk//argA//
go_0006269_6	lyxK//
go_0006270_6	
go_0006271_7	
go_0006274_6	
go_0006275_7	
go_0006276_3	pgaC//yagF//
go_0006281_6	pta//folX//fumC//nagB//dgcM//gnd//otsB//yjiA//fdhF//ftnA//trpA//cysN//metK//pphA//hyaC//hisI//pbpC//
go_0006283_8	
go_0006284_7	mutT//fadK//otsB//cmoA//wcaJ//asnS//
go_0006285_6	tehB//rffG//aroB//garR//
go_0006288_8	eptB//betB//
go_0006289_7	
go_0006298_7	dsdA//sufS//frlC//rffH//
go_0006301_7	
go_0006302_7	nanE//garL//
go_0006307_8	tyrB//hmp//sseA//tsaD//frdC//
go_0006308_6	trmD//panD//bglB//lpxC//
go_0006310_6	paaB//ydiB//icd//cysE//kdsB//
go_0006313_4	accB//
go_0006351_6	uvrB//nirD//
go_0006352_7	
go_0006353_7	
go_0006354_7	wecC//
go_0006355_7	dapB//
go_0006357_8	
go_0006364_9	trmJ//fucK//hisH//dsdA//
go_0006378_8	sgbU//
go_0006396_7	edd//ycaO//argE//moaA//garK//
go_0006397_8	yidA//
go_0006399_8	guaD//guaD//
go_0006400_7	phnJ//nrfD//ybhA//pheS//argC//
go_0006401_6	leuB//glgC//kdsB//menA//ruvA//recO//
go_0006402_7	opgE//pheA//sucB//rluF//glxR//truC//rlmF//
go_0006412_6	argE//purD//narV//yidA//galE//
go_0006413_4	ppiA//
go_0006414_6	
go_0006415_7	ygeX//trpD//
go_0006417_7	glpD//nrdD//
go_0006418_7	adeD//pgpB//gadA//ybiV//narI//entD//gltB//gabT//nagK//pdxY//malZ//
go_0006419_8	napA//
go_0006420_8	sdaB//
go_0006421_8	nanE//
go_0006422_8	yciA//
go_0006423_8	yagE//
go_0006424_8	glpX//paaH//
go_0006425_8	hcp//
go_0006427_8	murD//
go_0006428_8	hemN//
go_0006429_8	yihT//
go_0006430_8	xylA//mak//
go_0006431_8	pgi//
go_0006432_8	rsmA//
go_0006433_8	thrC//
go_0006434_8	tdh//
go_0006435_8	rnpA//
go_0006436_8	ubiE//
go_0006437_8	ilvC//
go_0006438_8	metF//
go_0006448_8	
go_0006450_4	fbaA//coaD//hisA//zwf//nrdE//panC//
go_0006457_3	frdA//hyaB//poxB//epd//thyA//mutY//adeD//
go_0006458_4	
go_0006464_6	hyaA//allD//mobA//menA//mnmG//polB//lsrG//gltD//
go_0006465_6	nrdA//eno//nrdD//
go_0006468_7	epmC//
go_0006470_7	lysS//hemF//rlmE//deoC//napA//
go_0006473_8	eptA//
go_0006474_6	glcF//arnB//queD//
go_0006476_8	yieF//
go_0006479_5	dhaM//pyrG//pck//metC//uvrB//ilvA//
go_0006486_5	queA//
go_0006490_5	purF//
go_0006508_5	glpB//ribE//napB//napC//fucO//pheT//bglA//aroB//epmB//glxR//ndh//tdcG//yfcG//recR//tilS//ilvI//alaA//ydiB//etk//dut//nth//ugd//dapD//narZ//arnB//galU//garL//fabD//dbpA//ldcA//hpt//tdcB//glnE//
go_0006515_7	ulaF//gudD//lysU//nanA//yagE//cysI//gmd//
go_0006517_6	malZ//pgi//
go_0006518_5	yieF//ddlA//
go_0006523_8	yfcG//speE//
go_0006524_8	
go_0006526_8	idnD//gluQ//glk//sdaB//lyxK//coaD//pepD//
go_0006527_8	lysS//mnaT//speG//menF//glgX//
go_0006529_7	panD//rsmB//
go_0006530_7	waaA//gatY//ydfG//hcaF//
go_0006531_7	hisB//
go_0006532_8	ydiB//polB//yciA//
go_0006535_8	rpiA//nth//uvrB//
go_0006537_8	lpcA//
go_0006538_8	ispA//rsmB//
go_0006541_7	hcaD//waaG//btuE//hisG//pphA//
go_0006542_8	menA//ycjU//
go_0006543_8	
go_0006545_6	atoB//
go_0006546_6	alkA//sdhB//maa//
go_0006554_8	folC//eno//ycaO//
go_0006556_5	dmlA//
go_0006559_6	epmC//
go_0006561_6	relA//aroF//
go_0006563_7	dcm//
go_0006564_8	gstA//rsmJ//gpmA//asnB//
go_0006565_8	hycB//trpD//rfaD//apaH//glnE//
go_0006566_7	phnJ//
go_0006567_8	ddlB//thiG//coaE//metH//entE//rlmF//tsaD//
go_0006569_7	entH//
go_0006571_7	aldB//cpsG//
go_0006593_7	ribC//
go_0006598_8	ubiG//aceB//serS//
go_0006605_6	
go_0006612_6	
go_0006614_8	
go_0006616_7	
go_0006629_4	cysC//mhpB//
go_0006631_5	rluB//nrfD//ybjI//nadD//pdeL//
go_0006633_6	nirD//dut//slyD//pdxJ//tesB//fbp//mpaA//citG//glgB//dgoA//pyrH//
go_0006635_6	umuC//dnaQ//hchA//yqaB//dgcZ//carB//ubiE//metL//argS//rsuA//rffG//deoD//
go_0006636_7	
go_0006637_5	purT//menB//eno//polB//malY//
go_0006646_7	
go_0006650_6	
go_0006654_7	preA//
go_0006655_7	agp//rlmI//
go_0006725_4	epmC//
go_0006729_6	gdhA//clsA//
go_0006730_4	pgsA//lsrK//ppx//
go_0006734_9	
go_0006740_4	
go_0006741_9	
go_0006742_8	
go_0006744_7	menE//tmcA//glcE//glcD//katG//puuE//yjjG//rlmI//yciV//trmL//pdeF//ydiO//
go_0006749_5	citC//yihV//
go_0006750_6	manA//xylA//
go_0006751_6	cyoE//
go_0006757_5	speD//
go_0006760_5	cheB//
go_0006761_7	arnT//
go_0006771_5	udp//
go_0006772_6	miaB//waaB//
go_0006777_5	deoD//cobS//pyrB//phnN//paaG//
go_0006779_6	nrdE//ldcC//frc//lpxH//fbp//
go_0006780_7	ycjU//
go_0006782_7	lpxP//yeaE//rffT//pdxA//
go_0006783_5	azoR//glgP//menI//uxuB//dnaQ//yqjH//cysE//
go_0006790_4	hemB//mnmC//glyA//mnaT//lplA//galK//tesB//entB//pdxA//tcdA//
go_0006791_2	narV//guaD//xthA//
go_0006793_4	mhpC//ltaE//
go_0006798_5	waaY//
go_0006799_5	speE//
go_0006801_5	yccX//leuB//sdhB//
go_0006805_4	metG//pheS//ruvA//fumA//
go_0006807_3	kdsB//ldtC//mutY//
go_0006808_4	paaJ//
go_0006810_4	ybjI//scpB//gstA//selD//kdsC//rpiA//argI//rsuA//manA//sthA//murB//dgkA//ilvI//gshB//acpT//ribF//sdhA//hisH//mtn//ssuD//caiD//lipA//rfaE//aroC//cyaA//guaA//serB//yieF//prs//ahr//fabA//yghU//deoD//hcp//lysA//manA//garR//rlmG//trpA//kbaZ//trmD//metF//cysN//ruvC//garR//gshA//aroB//phr//pdxK//lpxK//folM//rnt//yciA//mrcB//mak//torA//argE//yihU//lysC//hisC//pepD//mtgA//mnmA//ilvB//allC//mutT//ribF//hemE//yfdR//epmC//rsmC//srlD//dapA//nudB//rihB//cheR//folP//
go_0006811_5	paaJ//dgcZ//miaA//rffH//nadK//kdgK//prpB//araA//phnI//nfi//araA//
go_0006812_6	ogt//lysC//
go_0006813_8	cheR//uxuB//panB//cmk//hycB//argI//pgk//ribE//
go_0006814_8	kduI//pinE//lpxM//cpdA//
go_0006817_8	pgl//
go_0006820_6	dnaE//ribC//rihC//pyrG//rhaB//
go_0006821_8	hisH//
go_0006824_8	gcvT//ycjU//tdcG//cobS//
go_0006825_9	fcl//
go_0006826_9	hmp//
go_0006828_9	yajO//
go_0006829_9	phr//rihC//ispU//mraY//katG//
go_0006833_6	
go_0006835_8	bglX//ulaD//
go_0006847_8	preT//
go_0006855_6	tadA//folX//rihA//paaC//orn//phnJ//ldcA//pgpA//cof//puuE//ampH//garK//sodB//garD//
go_0006857_7	cysM//ilvE//trpC//
go_0006863_7	nrfA//
go_0006865_6	rlmI//thrS//alkB//ilvI//puuE//ycjU//moaE//frdB//lpoB//dhaL//gltD//amyA//trmL//uxaC//cysI//mdh//glgP//prs//tyrS//cysK//trmI//
go_0006868_7	glpC//
go_0006869_6	lacZ//
go_0006874_8	
go_0006876_8	tehB//
go_0006878_9	patZ//
go_0006879_9	pcm//mug//
go_0006880_4	sucA//eno//
go_0006882_8	mmuM//
go_0006883_8	moaA//bglB//aceB//
go_0006884_4	
go_0006885_9	pykA//
go_0006886_5	
go_0006928_3	sgbE//
go_0006935_4	ydiF//thiM//yqaB//birA//rihC//
go_0006970_4	polA//pncB//pabA//fadH//ligB//selD//
go_0006972_5	hcaE//yajO//yeiG//tesB//purC//
go_0006974_5	ubiX//nrdF//trpS//yeaG//patA//eno//lsrK//ribA//abgA//udk//citE//pyrG//wecC//ilvC//etk//pdxA//alsE//metL//tsaB//menD//speA//purU//ssuD//ldtB//dgoK//ushA//pnp//hdhA//xdhB//gstB//lysS//pdxB//bglX//cobU//ruvA//thiL//cdd//asnS//nanA//ybhA//galK//speD//rhaM//leuA//bcsA//ubiX//yeaG//arsC//dgoD//dhaL//tdk//pabA//wzc//ybhA//prpD//rfaD//hisH//lldD//otsB//trmH//aroC//ycjU//queC//pphB//hinT//waaO//kdsB//cpsB//phnJ//mhpA//oxc//gabT//mnmE//nudG//nrdA//ubiI//luxS//yihU//truC//rsmE//pdeL//bioC//rsmD//rdgB//fucA//moeA//trmL//accC//otsA//fadE//dcyD//puuB//scpC//ada//metK//
go_0006979_4	ybjG//paoC//gmhB//fumC//bioB//sgbU//tatD//paaH//ldhA//def//sgbU//ulaE//acnA//eutD//ychF//tpiA//glmM//ttdA//mutT//lpxL//zwf//kduI//miaA//galK//waaH//aphA//
go_0006986_5	argB//
go_0006995_6	mhpC//folM//
go_0007059_3	leuC//srlD//
go_0007062_4	
go_0007155_3	ppx//
go_0007165_3	katG//glmS//
go_0007234_5	
go_0007584_4	
go_0008033_9	fklB//guaC//alaC//yajO//eda//paaK//yfdR//lpxT//
go_0008104_4	
go_0008152_2	paaA//aspA//rluE//lpoB//ymdB//rpiA//paaA//nadK//metE//nrfB//dam//adiA//aroE//trmL//glgX//yghU//thiG//
go_0008156_8	
go_0008219_3	
go_0008272_6	ygjK//ttdB//
go_0008295_6	ruvB//rluF//hisG//
go_0008299_5	hdhA//
go_0008360_4	yhdH//bfr//waaS//hemC//csdA//rimK//araB//prmC//pgaD//metG//katG//
go_0008610_5	ilvC//pncB//thiI//torY//
go_0008615_6	kdsD//tktA//mcrA//amiD//nadB//lsrK//fruK//
go_0008616_8	fre//mltB//cpsB//sdhD//glmS//hemD//
go_0008643_6	abgA//idnD//truC//dfp//rfbC//alr//lysU//mnmA//treC//glpA//napC//sodC//mazG//ppc//azoR//hisD//proC//astC//
go_0008652_5	dmsA//dxs//hcaB//hyaB//thiL//tadA//lyxK//trmI//
go_0008653_5	
go_0008654_5	rsmF//rluB//yhdH//yrfG//
go_0009050_6	pcm//mak//
go_0009052_6	gmd//fucK//alsE//nagZ//rlmI//nadK//
go_0009056_3	rutE//
go_0009058_3	hisB//prpD//proB//nagB//
go_0009060_6	fbaA//speD//ychF//yfeX//cysK//ybhA//arnB//
go_0009061_6	uxuA//nth//clsC//trmI//ybcF//bioA//nirD//fadB//lpxC//ygjK//pepD//amyA//ybiV//pabC//cysG//cdsA//mutL//glmM//dkgB//cysH//apt//
go_0009062_6	umuC//
go_0009063_5	araB//sgbU//dmsC//
go_0009070_7	metK//
go_0009073_6	narZ//eptA//nanE//pck//gatZ//ung//ftsI//ansA//nadC//sodC//tnaA//
go_0009081_5	bioA//menA//
go_0009082_6	rlmH//malS//lpxK//waaA//glcF//tgt//hisI//
go_0009085_8	proB//
go_0009086_7	bioA//ndh//astC//katE//cdd//
go_0009088_8	sdaB//miaB//
go_0009089_6	nudC//pnp//dam//hemG//yajO//chbF//
go_0009090_8	frlC//ppiA//paoC//hisI//
go_0009092_7	epmC//
go_0009093_7	
go_0009094_6	lldD//aroF//acpH//
go_0009097_7	pphB//dcm//nrfC//purT//acpT//
go_0009098_7	nanE//caiD//rlmA//sdhB//moeB//mltC//
go_0009099_7	alkB//mtgA//bglB//pdxH//kbaY//truB//sgbU//
go_0009102_6	murD//cysS//mutM//fabH//paaH//rsmJ//argK//ampH//torA//
go_0009103_6	aroE//glmU//dxr//frlC//deoA//fadM//miaA//garK//tdcE//
go_0009106_5	idnO//
go_0009107_6	glyS//sdaA//
go_0009108_6	ilvC//
go_0009116_5	fadB//pabC//
go_0009142_7	dusC//
go_0009143_7	truC//
go_0009152_8	sufS//
go_0009157_8	folX//
go_0009166_7	murD//ldcA//
go_0009168_9	pagP//
go_0009220_8	puuC//lpxC//
go_0009224_9	glgX//
go_0009226_6	recO//pyrE//
go_0009228_7	yeaG//argB//mltD//cheR//aroH//ilvN//poxB//ndh//aceB//
go_0009229_6	nudB//metK//
go_0009231_6	caiB//dld//dxs//glxR//speE//scpB//aes//
go_0009234_7	aroK//paaG//ydfG//mutS//rffG//ilvM//manA//cyoE//murI//
go_0009236_6	kefF//rlmM//mngB//rluE//rluC//glmM//
go_0009237_4	fkpA//mhpC//
go_0009239_6	frdA//pgaB//astB//glnE//dnaE//gldA//ravA//murE//
go_0009240_6	umpH//
go_0009242_6	rfbD//cmk//truA//deoC//rffH//lysA//ascB//gloC//
go_0009243_7	lpoB//
go_0009244_7	epmB//arsC//cysK//waaG//yigB//yeaE//tyrS//rlmF//eutD//narI//agp//avtA//mltF//asnS//thiG//fabG//truC//ung//kefF//torA//fucA//nth//
go_0009245_6	hpt//ispG//fau//ileS//dgcT//curA//dgt//recG//dhaM//
go_0009246_6	otsB//idi//leuD//rfaE//yjjX//eutD//
go_0009249_6	dgcM//yeaG//hemE//
go_0009250_7	
go_0009251_7	dmsC//
go_0009252_7	cmoA//waaB//moeA//ubiC//nrfD//pgk//dgt//relA//iscS//argE//pgk//pheT//pyrG//yfbR//idnO//fabZ//speD//iaaA//yqaB//moaE//yghU//pfkA//ung//thiI//murA//
go_0009253_8	asd//pykF//yjjG//rsmA//waaO//purD//aldB//hisF//lyxK//rffG//
go_0009254_8	ubiI//moaD//tatD//rihC//ulaE//agp//nudB//lplA//serA//pabC//phnH//
go_0009257_8	yigL//miaB//cysG//fadA//
go_0009263_6	leuC//frdB//
go_0009264_6	avtA//ushA//
go_0009265_7	thiL//
go_0009266_4	dfp//rsmB//yihX//rffC//recR//mrdA//
go_0009267_5	bioC//hinT//
go_0009268_4	eda//
go_0009271_4	
go_0009273_5	
go_0009290_6	
go_0009294_5	yciV//
go_0009297_6	
go_0009298_7	ansA//rffH//ydfG//
go_0009305_7	dgoA//
go_0009306_4	
go_0009311_5	
go_0009314_4	rluB//yfbR//maa//gnd//phnO//frc//ynfE//trmH//dam//rlmL//pta//ribA//rutC//der//kdgK//yjcS//plsC//
go_0009372_5	ynfH//rsmA//cysQ//
go_0009396_6	moaD//ispF//
go_0009398_7	gcvT//
go_0009401_7	nagZ//menD//hisC//pgk//sdhD//tgt//pldB//fes//fabI//phoA//cynS//thiG//fadM//rutB//nth//waaJ//ushA//gabD//udp//coaD//
go_0009403_5	
go_0009405_4	
go_0009407_3	glgP//
go_0009408_4	menE//cysI//ydiB//ygeX//xylA//tatD//cysH//ligA//ubiH//apaH//rlmI//malP//katG//sdaB//alaA//adk//gltB//dkgA//thiE//valS//yjhG//glcE//thiE//thiD//lacZ//cynS//
go_0009409_4	yajO//phnM//
go_0009410_4	pdxY//
go_0009411_6	fkpA//ravA//rsmI//nadC//gcl//metG//deoA//katG//queD//
go_0009416_5	coaE//cysG//
go_0009423_8	rph//narG//queC//alaA//
go_0009432_5	rfbB//uvrB//pdxJ//pyrD//purF//
go_0009435_9	ychF//asnS//patA//rph//plsB//
go_0009436_6	ilvC//phnI//mutL//hisD//
go_0009437_5	
go_0009438_5	
go_0009440_6	waaO//acpH//thrC//
go_0009442_7	cdh//yciV//phoA//ascB//narH//
go_0009443_5	wzb//gloC//nadK//
go_0009446_6	hisG//ilvM//
go_0009447_6	ldtE//lsrG//ddlB//trpC//wecC//umuD//frdA//ispU//
go_0009450_6	hemA//wrbA//dnaE//ppiC//
go_0009451_6	torZ//ldtC//yfcG//fucI//
go_0009593_4	
go_0009597_5	
go_0009636_4	gltX//torY//ugd//panB//clsC//
go_0009637_6	
go_0009651_5	
go_0009697_5	waaS//
go_0009758_2	pncB//
go_0009785_5	
go_0009970_6	rfbB//thiL//tatD//
go_0009972_10	cysM//
go_0009992_5	rlmB//rrrD//allB//
go_0010033_4	
go_0010038_5	
go_0010039_6	ftnA//
go_0010041_7	frlB//murQ//
go_0010042_6	mtlD//
go_0010043_6	rsmA//truD//
go_0010045_6	hypF//
go_0010106_6	
go_0010124_4	ppc//aroF//speA//katE//astC//maa//tcdA//cysC//
go_0010133_7	uxaC//
go_0010139_7	bioD//
go_0010165_6	narI//pepD//argB//cyoE//sdaA//ynfE//waaQ//tesB//
go_0010212_5	metE//
go_0010226_6	lgoD//
go_0010243_5	
go_0010272_6	gudD//
go_0010273_4	hcaD//gutQ//guaB//
go_0010312_3	tdcD//
go_0010332_6	
go_0010350_6	
go_0010438_6	yeaG//fkpA//
go_0010447_5	nrdD//yajO//
go_0010468_6	rluB//
go_0010498_6	murD//kefF//mepS//eno//
go_0010501_7	arnA//caiB//
go_0010557_7	
go_0010608_7	ddlB//
go_0010628_7	
go_0010629_7	entH//
go_0010676_7	
go_0010699_4	mutS//serB//
go_0010810_5	
go_0010876_4	
go_0010911_5	
go_0010921_6	
go_0010951_8	
go_0010967_6	
go_0010974_7	
go_0012501_4	
go_0014070_5	xdhB//sgbU//rsmC//deoC//hisD//gltX//menH//waaF//argS//
go_0015031_5	alkB//pagP//murQ//def//pyrG//hisB//opgE//ascB//
go_0015074_6	
go_0015628_5	
go_0015670_6	truB//
go_0015673_9	ppx//
go_0015675_9	ribE//
go_0015679_10	cobB//
go_0015682_8	uidA//
go_0015684_9	ycaO//mhpA//dbpA//iscS//
go_0015685_8	bioF//ung//
go_0015687_7	uxaA//
go_0015688_6	argE//prpB//
go_0015689_8	lysS//
go_0015691_9	phoA//fabA//
go_0015692_8	entF//
go_0015693_9	ftsI//
go_0015696_6	rnt//
go_0015698_7	panD//
go_0015699_8	rnb//
go_0015700_8	trmJ//
go_0015706_6	recF//sucA//cheR//
go_0015707_6	ygjK//curA//tadA//bioB//
go_0015709_6	queC//
go_0015710_8	hcaC//nagA//
go_0015712_7	aldA//
go_0015718_8	adhE//
go_0015721_7	pyrE//lpxK//phnN//
go_0015724_7	pgsA//
go_0015726_8	coaD//
go_0015733_7	alaC//
go_0015734_6	glpD//
go_0015736_9	pgl//
go_0015739_7	queD//
go_0015740_9	scpB//cfa//paaH//
go_0015741_10	fklB//malS//
go_0015747_6	nadC//
go_0015748_6	garD//
go_0015749_7	cysS//rlmI//iaaA//xapA//caiD//lsrG//rlmD//
go_0015751_9	rnpA//rluB//
go_0015752_9	phnP//bglB//
go_0015753_9	glpB//phnM//
go_0015754_9	frdB//
go_0015755_9	spoT//ogt//gstA//
go_0015756_9	tynA//adhE//
go_0015757_9	acpS//dkgB//galU//phnL//
go_0015760_8	menB//
go_0015761_9	psuG//
go_0015762_9	mltB//
go_0015764_7	moeB//gloA//nrdA//
go_0015765_8	rlmG//eptB//
go_0015767_9	dgoK//dgoD//murD//
go_0015768_9	sdaB//recG//rsmG//
go_0015769_9	ldtA//
go_0015771_9	yjjG//ribD//nanE//
go_0015772_7	tyrB//yieF//rfaD//
go_0015774_7	allC//
go_0015778_7	yjjX//
go_0015793_7	pyrC//argF//
go_0015794_7	hypF//cysH//
go_0015795_7	rutA//aceA//
go_0015796_7	cyaA//
go_0015797_7	fadB//folC//ribD//
go_0015803_7	treC//yqjH//pldB//
go_0015804_7	purU//waaB//
go_0015806_6	aphA//
go_0015807_7	yjhH//yjhG//hisC//pfkA//ribB//acpH//
go_0015808_8	rph//cfa//
go_0015809_7	rluC//
go_0015810_8	umpH//cyaA//
go_0015811_7	yrfG//ubiA//
go_0015813_6	proB//cysM//rlmL//
go_0015814_7	glnS//
go_0015816_6	gpmA//
go_0015817_7	tsaB//ubiG//
go_0015818_7	glk//menE//
go_0015820_7	codA//dacC//mak//tdcB//otsB//
go_0015821_7	ilvC//aes//
go_0015822_7	allD//
go_0015823_7	narG//mhpD//wcaJ//cyoE//ppiC//
go_0015824_7	rdgB//leuC//ycjU//
go_0015825_8	add//
go_0015826_7	narI//coaA//luxS//
go_0015827_7	rsmB//fabH//malY//
go_0015828_7	dgcT//umuD//
go_0015829_7	tdcD//trpE//rpe//
go_0015830_7	trmO//
go_0015833_6	waaS//ribB//metG//frlC//ribC//nadC//epmA//folM//rpe//lyxK//
go_0015834_7	ydiB//rsmG//
go_0015835_6	waaZ//
go_0015836_7	xapA//tsaD//
go_0015839_7	entC//
go_0015846_6	mepS//proS//
go_0015847_7	speB//purD//dapF//pyrE//lsrK//
go_0015848_7	acpT//xylA//
go_0015851_6	
go_0015853_8	adiA//rsmE//
go_0015856_8	umpG//
go_0015857_6	guaB//nrdA//
go_0015858_7	fkpA//mhpC//rhaD//
go_0015860_7	bfr//lpxL//
go_0015861_9	astB//tmk//
go_0015862_9	mraY//clsC//
go_0015863_8	pnp//
go_0015864_8	queA//
go_0015871_6	trpE//eutD//dmsA//fbp//
go_0015878_6	
go_0015879_9	puuD//
go_0015882_7	phnM//
go_0015886_6	ubiD//pheS//
go_0015887_7	cobB//
go_0015888_6	cysN//
go_0015889_6	ycaO//cpdA//waaZ//
