#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct 10 15:03:56 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/datasets_bnumbers/gos_bnum.txt
GO_0000018_7	b0972//b1692//xisR//b2897//
GO_0000738_7	b1507//b2366//b3129//
GO_0000746_4	b1497//
GO_0000820_7	b2477//
GO_0000902_5	b0497//
GO_0000910_4	b2341//b4528//b4302//b3809//b0945//b4036//srkA//b4080//b0633//b4300//b2407//b0087//b1870//b0265//b0879//b0826//b0796//b4298//
GO_0000917_6	b2919//b0480//b2130//b4172//b2369//
GO_0000918_6	b1352//b3884//b2662//b0777//
GO_0000920_3	b1901//b1292//b3791//b1715//b4255//
GO_0000921_6	b1047//
GO_0000966_8	b0662//b3230//b3119//b3746//
GO_0000967_10	b1534//b1466//b2683//
GO_0001101_4	b2376//b3630//b2129//b3943//b1661//b2622//b1753//b3259//b2218//b0450//b0339//b4029//b0436//b0677//b0118//b3991//b3645//b0241//b0155//b1787//b2592//b1275//b0053//b3232//b2819//b1619//
GO_0001121_7	b3066//b0045//
GO_0001123_8	b1743//
GO_0001124_8	b4058//
GO_0001407_7	b3519//b3945//b0444//b1245//
GO_0001505_4	b4070//b3973//b0424//b0121//b4062//b1513//b1096//b2502//b2703//b0436//b3236//b1871//b0793//b2241//b0439//b2630//
GO_0001510_5	b1552//b0405//b1493//b3668//b0366//b1002//b1450//b1392//b1621//b3416//b1645//b4120//b3375//b3133//b2441//b2821//b4299//b1994//b3244//b2715//b0475//b1992//b3740//b3907//b1435//b1701//b3787//b3169//b1243//b4088//b1008//b3442//b3428//b1916//b3415//b1595//b3268//b0783//b2674//b0925//
GO_0001514_8	b3371//
GO_0001522_7	b2994//b0693//b3897//b0612//b1857//b4003//b1360//b4279//b2584//b2349//b1114//b2349//b0933//
GO_0001539_4	b0077//b1531//b3714//b0995//b3491//b3251//hprR//b1653//b3129//b2998//b4195//b2540//b0467//b1682//b1450//b0838//b1713//b3146//b2781//b0962//b3991//b2133//b3701//b2820//b0028//b1595//b0180//b4195//b3833//b2218//b1960//
GO_0001558_5	b4201//b0171//b2811//b1775//b0798//b3393//b3230//b1404//
GO_0001561_6	b4166//
GO_0001666_4	b2526//
GO_0001676_6	b3019//b3925//b2844//
GO_0001680_11	b0334//
GO_0001682_11	b1658//
GO_0001731_7	b0632//
GO_0001762_6	b4180//
GO_0001887_4	b0162//b3172//b4365//
GO_0001896_5	b2514//b2673//b1252//b0349//
GO_0001907_5	b3765//b2456//b3316//b2314//
GO_0001932_8	b3623//b2478//
GO_0001934_9	b0619//
GO_0002047_6	b0443//b1377//
GO_0002097_8	b3542//b4428//b2827//b3631//b4222//b1729//b0546//b4071//b1094//b4111//b0877//b4702//b3720//b1194//b1445//b3908//b4225//b0532//b3047//
GO_0002098_9	b3554//b1472//b2716//b2817//b2312//b3165//b1312//b0941//b3180//b3182//b3940//b4190//b0587//
GO_0002099_9	b3266//b3726//
GO_0002100_9	b3740//
GO_0002101_9	b2907//b4168//
GO_0002128_7	b1132//b0683//b3087//b0177//
GO_0002130_8	b0623//
GO_0002131_9	b0452//
GO_0002132_9	b4306//
GO_0002136_10	b0062//
GO_0002143_9	b2705//b1728//b2314//b1736//b3751//b1253//
GO_0002181_7	b3699//b0062//
GO_0002183_5	b0397//
GO_0002184_8	b1860//
GO_0002188_6	b4362//
GO_0002190_6	b0168//
GO_0002192_8	b2581//
GO_0002252_3	b1058//b4565//b3949//b0742//b3320//b2803//b1339//b4067//b0435//b2540//
GO_0002790_6	b3958//b1136//b3124//b2570//b0817//b1021//b0270//
GO_0002937_9	b3011//
GO_0002938_8	b3903//
GO_0002939_7	b3496//
GO_0002943_8	b2901//
GO_0002949_8	b2731//b4289//b2491//b2561//
GO_0003333_7	b2934//b1386//b2801//b1897//b2587//b0467//b0514//b1132//b2704//b1724//b0698//b1741//b0844//b0808//b3028//b0194//b2414//b0256//b4353//b1994//b3258//b4245//b4372//b0272//b0597//b3470//b1884//b3789//b2520//b2688//b2315//b3406//b2603//b4113//b2729//b1848//b2198//b2125//b3475//b4146//b0531//b0508//b1380//b3727//b2802//b1860//b4311//b2831//b0912//
GO_0005975_4	b0023//b3650//b0123//b0908//b2972//b4279//b1634//b3903//b1006//b3574//b4667//b1832//b3512//b2150//b1163//b0059//b3034//b3704//b2571//b4207//b3872//b0106//b3748//b4460//b3615//b2994//b2926//b1186//b3605//b4133//b2389//b1211//b0333//b1642//b0927//b0770//b3225//b3616//b4153//b1223//b2078//b4088//b1985//b2277//b3949//b3522//b3091//b0419//b4132//b0867//b0047//b2697//b4288//b1378//b2840//b2008//b3997//b4398//b3734//b2707//b0103//b2423//b2231//b0750//b3208//b4083//b2005//b2617//b1588//b2739//b0856//b0129//b0394//b2335//b1544//b1182//b1145//b1307//b2338//b2092//b0430//b4313//b0261//b3623//b3152//b2182//b3037//b1469//b3631//b2916//b1058//b0405//b2532//b2733//b1774//b3189//b2380//b1265//b0064//b4309//b4092//b3957//b3620//insI4//b0557//b2376//msrP//b2086//b3887//rhmR//b1301//b4306//b4230//b3772//b0783//b2624//b2608//b3581//b0518//b0752//b0058//b4125//b3095//b0231//b0644//b1312//b4219//b1105//b1412//b3428//b0935//b2794//b3615//b0507//b2760//b1145//b3125//b2981//b1468//b1637//b3683//b1563//b0014//b3074//b4483//b3980//b1593//b3888//b1871//b4020//b1223//b0969//b0066//b2386//b2836//b0199//b4028//b1723//b2682//b0634//b0742//b0023//b0024//b3780//b3556//b1633//b0077//b0880//b2796//b1422//b2610//b3358//b1748//b2194//b3400//b2282//b1349//b2193//b3137//b4179//b1783//b3669//b0685//b2916//b1378//b0639//b3567//b3228//b3133//b3198//b3510//b0158//b4082//b1886//b4379//b1514//b1022//b1286//b0094//b1539//b0272//b2964//b2910//b2958//b2243//b0242//b0081//b0109//b3645//b0226//b1184//b4290//b0945//b4299//b3526//b2185//b2201//b1075//b2342//b2196//b0852//b3243//b2418//b3301//b0348//b3017//b2615//b0243//b0882//b3067//b4085//b3431//b0908//b3918//b0591//b0624//b3665//b4289//b3463//hprS//b1951//b0970//b4300//b1849//b0045//b3137//b1262//b3866//b0812//b0199//b3199//b4198//b0400//b1890//
GO_0005976_5	b2834//b2659//b2302//b3929//b1525//b2136//b3292//b3024//b3787//b2068//b0466//b0847//b2903//b3430//b0589//b0061//b0419//b0518//b3343//b3061//b0591//b3433//b3787//b2194//b3271//b2339//b3517//b3499//b0754//b4222//b0623//b2728//b0554//b0754//b0574//b4036//b1696//b0067//b2765//b0874//b2734//b2531//b3032//b1852//b0554//b3522//b0618//b2923//b1895//b2233//b2264//b1579//b3940//b2008//b1015//b2972//b3153//b1288//b4175//
GO_0005977_6	b3199//b2686//b4193//b1284//b0623//b1740//b2261//b3606//
GO_0005978_7	b2451//b3442//b0608//b3671//
GO_0005979_8	b1859//
GO_0005980_7	b1385//b4065//b1337//
GO_0005981_7	b0318//
GO_0005984_5	b1474//b2575//b1075//b3700//b1274//b1218//b2830//b1714//b1427//b2496//b1201//
GO_0005985_6	b1719//
GO_0005986_7	b2291//
GO_0005988_6	b3442//b4384//
GO_0005990_7	b4119//b3828//
GO_0005991_6	b3522//b1779//b4129//b4316//b4201//
GO_0005992_7	b2065//b0228//
GO_0005993_7	b2548//b0679//b4062//
GO_0005994_6	b2904//
GO_0005995_7	b3935//
GO_0005996_4	b0729//b1132//b2180//b2558//b0546//b1013//b1764//b2604//b2366//b1411//b3733//b4036//b1817//b2601//b3984//b2844//b3823//b0820//b1262//b2338//b1854//b2379//b1191//b1564//b2159//b2104//b2670//b0945//b4682//b2342//b0348//b0467//b3901//b4019//b1034//b1610//b1513//b0857//b2810//b3205//b2049//b0088//b3310//b3983//b4520//b4618//b4118//b1034//b2027//b2883//b2788//b2802//b3371//b4511//b1872//b3037//b0004//b0088//b2608//b2412//b1109//b2311//b4379//b3664//b0059//b1818//b3554//b0232//b0905//b3389//b4055//b0997//b4478//b1482//b3790//b3343//b0531//b2335//b3496//b1082//b2496//b3605//
GO_0005997_6	b4351//
GO_0005998_7	b4113//
GO_0006000_6	b3455//b1682//b3956//
GO_0006001_7	b2990//b1922//
GO_0006002_5	b1122//b4565//b4373//
GO_0006004_6	b0940//b4074//b0943//b4191//b1873//b0314//
GO_0006006_6	b2952//b1435//b0604//b2835//b3082//b1775//b2347//b0603//b1129//b2121//msrP//b2843//b3128//b4144//b1985//b0887//b0982//b2921//b1130//b1951//b4306//b3517//b1221//
GO_0006007_7	b1093//b2005//b3996//
GO_0006011_5	b3076//
GO_0006012_6	b1088//b3455//b2493//b0815//b0414//ftp//b4143//b1686//b1343//
GO_0006013_6	b0210//b3918//
GO_0006014_6	b3205//b3307//b4074//
GO_0006015_7	b4207//b0059//
GO_0006020_5	b3147//
GO_0006022_5	b4115//b3926//b2020//b0758//b0199//b2708//b1580//b0941//b2376//b0026//b0530//b3542//b2109//b1595//b1204//b2248//b2640//b0318//b3361//b1232//b0170//b4318//b2893//b1037//b3711//b3702//b4259//b3195//b1449//b3164//b0200//b4246//b1329//b2412//b1054//b3766//b0405//b4029//b1141//b3517//b2232//b1536//b1557//b2338//b2451//b4428//b2027//b0688//b4419//b0096//b0683//b2366//b3140//b1409//b4392//b3421//b0543//hprR//b0369//b3713//b1252//b3933//b0973//
GO_0006023_6	b1515//b2664//b1991//b3831//b2667//gpr//b1246//b0481//b3391//b1606//b2476//b2946//b3954//b0483//b2740//b0566//b3390//b0948//b1335//b2901//b1896//b0853//b4241//b0349//b1158//b3386//b2511//b3735//b2292//b2387//b3626//b2514//b0316//b3910//b4339//b2381//b2480//b0614//b1749//
GO_0006024_7	b1769//b0657//b4099//b0348//b1360//b2405//b0914//b3185//b2105//b1818//b2392//b1478//b3018//b0738//b4003//b0213//b1060//b0960//b0009//b0003//b3668//b0859//b0676//b4358//b3713//b4220//b3011//b3035//b1421//b3713//b2153//b3366//b4035//b0180//b1379//b2144//b3790//b0431//b1092//
GO_0006026_6	b1176//b0983//b3967//b3804//b2811//b0575//b1833//b0101//b4319//b3628//
GO_0006027_7	b3359//b4052//b0592//b4028//b1343//b2576//b0998//b2552//b0591//b1615//
GO_0006040_5	b1407//b1022//b1951//b1048//b0533//b3181//b0160//b0382//b3517//b2786//b1859//b1895//b4409//b0243//b3576//b4152//b1477//
GO_0006044_7	b1220//b0564//b0464//b3883//b2576//
GO_0006046_8	b3846//b0020//b3181//b4019//
GO_0006047_5	b0312//b0806//b2301//b3543//b4225//b3073//b1584//
GO_0006048_6	b3291//b2925//b3050//b2963//b3823//b0254//
GO_0006050_6	b3385//
GO_0006051_7	b3235//
GO_0006053_8	b3528//
GO_0006054_6	b1123//b3683//b2758//b0728//b1739//b4082//b1112//
GO_0006056_6	b2150//
GO_0006057_7	b1200//
GO_0006059_6	b4123//b1872//b1994//b0972//
GO_0006060_7	b0793//
GO_0006062_8	b3683//
GO_0006063_5	b1312//b3706//b0740//b0969//b3911//b4191//b2060//b1474//b2435//
GO_0006064_6	b0912//b0642//b4113//b1655//b4194//b2370//
GO_0006066_4	b3732//b4316//b1011//b0841//b3417//b3915//b2174//b2670//b2041//b2714//b2174//b1925//b2927//b3147//b1340//b0233//b3556//b2874//b3836//b4080//b0759//b2497//b3648//b2546//b3216//b1998//b3583//b1492//b4144//b2517//b4022//b3132//
GO_0006067_6	b3897//b2765//b3746//
GO_0006071_6	b0999//b3330//b3897//b3455//b3339//b3737//b2831//
GO_0006072_6	b0102//b4024//b3631//b3688//b0410//
GO_0006073_6	b2943//b1352//b2096//b1432//b3887//b4261//b3878//b3223//b2716//b1410//b0620//b2796//b3113//b3676//b0149//b0983//b3144//b4481//b3915//b3743//
GO_0006081_4	b1686//b3343//b4316//b0632//b3022//b0010//b2995//b1272//b0146//b2509//b3744//b2990//b0650//b3194//b2923//b1864//b1042//b2599//b2330//b3143//b0096//b1873//b0346//b2523//b3601//b3930//b4014//b4089//b0697//b3367//b2791//b3624//b4144//b2906//b0900//b1876//b3063//b0770//b0605//b0751//b1967//b1856//b1015//b2976//b3702//b0465//b1594//b3782//b3608//b2992//b0397//b1731//b1780//b1533//b3908//b0136//b3592//b4046//b3454//b2559//b1053//b3269//b2185//b4174//b0545//b4288//b0006//
GO_0006082_4	b1479//b4382//b4354//b0680//b3689//b0514//b2962//b3256//b0938//b2927//b2121//b3931//b3005//b2874//b3909//b0859//b4544//b3241//b3243//b0182//b2104//b1890//b2604//b0793//b2435//b3528//b0637//b0779//b3654//b0158//b4327//b2311//mtnN//b3891//b3121//b2140//b1306//b0902//b4080//b0937//b3094//b2147//glsA2//b3750//b2515//b0738//b0001//b2796//b3877//b2456//b1661//b4321//b3336//b1650//b2285//b3507//b3181//b1917//b1739//b2381//b1981//b1712//b0632//b3928//b3294//b2289//b0025//b2923//b1748//b1540//b0513//b0778//b3011//b3326//b3461//b1704//b3824//b3889//b1683//b1199//b0486//b2870//b2757//b2015//b1434//b2368//b0243//b0394//b3400//b1516//b0261//b4399//b0637//b0504//b2536//b4483//b2111//b3787//b0612//b3932//b3909//b2782//b3623//b2528//b0084//b4041//b1743//b0166//b2793//b4346//b0115//b0877//b1449//b0051//b1165//b0962//b2086//b3341//b4388//b1122//b3510//b2407//b0111//b1785//b3061//b0413//b1590//b2607//ftp//b2528//b4201//b1896//b3653//b2896//b3491//b4532//b0873//b1637//b1967//b4142//insI3//b2874//b1489//b0613//b3636//b3006//b1330//b0333//b2578//b2477//b1182//b2830//b3304//b0375//b2761//b0036//b2570//b3576//b4363//b0778//b4453//b0768//b0827//b3566//b4557//b0694//b0894//b1113//b1099//b2611//rpnB//yeeL//b0862//b1914//b4118//b3262//b0694//b2409//b3770//b4170//b1930//b0622//b4124//b0798//b1622//b0158//b3909//b2532//b1145//b3740//b3714//b2606//b0446//b0827//b0586//b2340//b1120//b4153//b3608//b2975//b2169//b4340//b2021//b2607//b2703//b4152//b2617//b0903//b3918//b3636//b2786//b0031//b2540//b0043//b2813//b4058//b2042//b3070//b1269//b0554//b4137//b3370//b2409//b3581//b3124//b1297//b0963//b1096//b2213//b0799//b4003//b3903//b0709//b0095//b2369//b0173//b0375//b1753//b2925//b2024//b3428//b3269//b0785//b2516//b1125//b1731//b1279//b3247//b2531//b2154//b3048//b1256//b2336//b2867//b0904//b4131//b2266//b3665//b2935//b1276//b0357//b0683//b1334//b2424//b2615//b0465//b2219//b3571//b3197//b2975//b1245//b3615//b0403//b3962//b3195//b1012//b4363//b2125//b2431//b1197//b3028//b2284//b0432//b4005//b1098//b0731//b1082//b3361//b0907//b0630//b3665//b0798//b3940//b0831//b0008//b0832//b1512//b3384//b4194//b1329//b3261//b1953//b1130//b0844//b1077//b2706//b2727//b1088//b3634//b4094//b1140//b1814//b0593//b0363//b0478//b2315//b4391//b3009//b3751//b0298//b0393//b2076//b2136//b2219//b0533//b0414//b3394//b1493//b3075//b3052//b2712//b3542//b2992//b0943//b1840//b1832//b0116//b0408//b3916//b1840//b3943//b1683//b2820//b4202//b2136//b3125//b3264//b1587//b0889//b2610//b0304//b3307//b3408//b1493//b0699//b0071//b4602//b1450//b0171//b4020//b0311//b2037//b1415//b2914//b3533//b2742//b3252//b4230//b0172//b3790//b1165//b3883//b3558//b1761//b3911//b3229//b2609//b2383//b2619//b1269//b4301//b3812//b1277//b1782//b1160//b0822//b3876//b3542//b1174//b3343//b0245//b2780//b1654//b1330//b3849//b2527//b1009//b0524//b4301//b3735//b3300//b0710//b2437//b0875//b4142//b3846//b0939//b3927//b2705//b2069//b0861//b2423//b0784//b3342//b3718//b1092//b2041//b0059//b2217//b0113//b3765//b0592//b2335//b0781//b3529//b0842//b4682//b3271//b2057//b1022//b2284//b3063//b0692//b3319//b4304//b1870//b0957//b2890//topAI//b1334//b0598//b0940//b2797//b3296//b3321//b0140//b2573//rhmR//b4039//b0394//b0829//b1876//xisR//b3497//b1779//b4032//b3774//b4052//rhmD//b3629//
GO_0006083_6	b1861//b1126//b2029//b2287//b3599//b3749//
GO_0006084_6	b3431//b0438//
GO_0006085_7	b1218//b0094//
GO_0006086_8	b0634//
GO_0006089_5	b0864//b1778//b3366//b3994//b1182//b4359//b0141//b0808//b0305//b2883//b1492//b3195//b3959//b1427//b1260//b0045//b3875//b3712//b1998//b2686//b4363//b2767//b4069//b3704//b0140//b3262//b1960//b3651//b3752//
GO_0006090_8	b2839//b1973//b2706//b1285//b3669//b1914//b2556//b3982//b0632//b3410//b4311//b1625//b3062//b3357//b0807//b0652//b1078//b4032//b2024//b1841//b4099//b0423//b3683//b3287//b1279//b2386//b0347//b1236//b3094//b0127//b0191//
GO_0006091_4	b3232//b2423//b1059//b0116//b4373//b3880//b4350//b2281//b3544//b3582//b2561//b0424//b2094//b3872//b2208//mltG//b1467//b2907//b1651//b3518//b1534//b0696//b0757//b0627//b0857//b4335//b3188//b1330//b2575//b0419//b1827//b4071//b4138//b0793//b2910//b0867//b1507//b0410//b1075//b3712//b4687//b3132//b3909//b3040//b2990//b3637//b1620//b0386//b4139//b0516//b1656//b3583//b3582//b0443//b1047//arcC//b0504//b2939//b4376//b1597//b0752//b1646//b3974//b3297//b1817//b2943//b4198//b1139//b1341//b0742//arcC//b1215//b0886//b2696//b1129//b1304//b0003//b1047//b1176//b3475//b1710//b0260//b3514//b2040//b1588//b2839//b2728//b1959//b2785//b0695//b4464//b1658//b0420//b0680//b1341//b4467//b0935//b1922//b2739//b2673//b1084//b0633//b0346//b1390//b1127//b3172//b3790//b0256//b0730//b1041//b1479//b2640//
GO_0006094_7	b0627//b0697//b3183//b2193//b0175//b1612//b2965//b3399//b2015//b3228//
GO_0006096_6	b1644//b0337//b1189//b3909//b0628//b3897//b3831//b0796//b4000//b2567//b1715//b2616//b1695//b0125//msrQ//b3251//b4474//b3462//
GO_0006097_5	b1833//b0728//b4479//b2922//b1844//
GO_0006098_6	b1104//b1545//b2949//b2678//b3510//
GO_0006099_4	b2154//b1552//b3390//b2011//b0264//b2755//b4321//b0597//b0300//b3926//b4252//b3072//b4040//b1702//b4565//b2374//b1973//
GO_0006101_6	b3994//b3783//b2121//b3867//b1041//b3071//b1609//b3984//b3928//b3872//b1344//b1342//b1505//b0904//b1866//b0281//b3143//
GO_0006103_5	b4668//b1077//b3081//
GO_0006104_6	b2511//b0222//b2109//
GO_0006105_5	b3895//b3844//b1165//b2840//b2208//b0135//b2709//b0004//
GO_0006106_8	b0782//
GO_0006107_8	b1445//
GO_0006108_8	b0677//b2561//b1686//b0718//b4372//
GO_0006109_6	b2620//b3812//b3020//b2010//b0106//b2133//b4154//b3464//b1772//
GO_0006112_5	b4667//b4367//b2224//b2938//b1749//b4371//b0097//b1084//
GO_0006113_5	b2510//b2992//b0212//b3269//b3908//b0891//b3839//b3884//b2780//b3095//b3930//b2413//b2268//
GO_0006115_6	b0467//
GO_0006117_5	b1159//
GO_0006124_6	b2159//
