# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	frlB//
go_0006508_5	mltF//tsaE//fadJ//kduI//rlmC//queD//uidA//leuS//ilvE//tadA//hemE//hcp//codA//nrdA//idi//pabB//tatD//hemH//ybjG//apt//paaC//fucK//katE//sdhD//mnmE//cysS//ileS//deoB//oxc//hypB//gpt//tdcB//bglX//
go_0006515_7	proB//idi//yghU//pdxJ//glmU//ubiI//pgpA//
go_0006517_6	phnJ//purA//
go_0006518_5	lipB//glnA//
go_0006523_8	narH//pta//
go_0006524_8	
go_0006526_8	udp//galT//kdgK//ddlB//ygjK//cof//yjhH//
go_0006527_8	rne//mobA//eda//hcaF//lpxP//
go_0006529_7	napB//rffM//
go_0006530_7	glcF//purA//etp//rffH//
go_0006531_7	ulaE//
go_0006532_8	ubiG//rluE//yagF//
go_0006535_8	dgoD//guaD//glgP//
go_0006537_8	plsC//
go_0006538_8	pinE//cobB//
go_0006541_7	citE//guaB//fabH//argD//fklB//
go_0006542_8	fadD//opgE//
go_0006543_8	
go_0006545_6	yieF//
go_0006546_6	rrrD//gshB//hemD//
go_0006554_8	wzc//carB//gudD//
go_0006556_5	deoC//
go_0006559_6	pabA//
go_0006561_6	allB//pck//
go_0006563_7	nadK//
go_0006564_8	wcaJ//entE//citX//thiG//
go_0006565_8	yihV//accB//fumC//mmuM//waaQ//
go_0006566_7	bioC//
go_0006567_8	sdaA//ppiA//dacC//rnd//bioH//adk//trpB//
go_0006569_7	bioB//
go_0006571_7	napA//ruvC//
go_0006593_7	waaQ//
go_0006598_8	sucB//yjhG//nrfA//
go_0006605_6	
go_0006612_6	
go_0006614_8	
go_0006616_7	
go_0006629_4	waaS//allC//
go_0006631_5	yihT//poxB//fkpB//lpxL//yfeX//
go_0006633_6	tmcA//gutQ//dapB//wecC//yihT//mnmE//pdeH//galT//hemL//atoB//hemB//
go_0006635_6	pdxA//fcl//asnA//talB//gpmA//gpmA//tadA//mocA//phnN//cfa//pdeH//xylA//
go_0006636_7	
go_0006637_5	nadA//dgcZ//amyA//ldtC//kduI//
go_0006646_7	
go_0006650_6	
go_0006654_7	dgt//
go_0006655_7	dhaK//yagE//
go_0006725_4	mutM//
go_0006729_6	alkA//tilS//
go_0006730_4	dcyD//ansB//waaC//
go_0006734_9	
go_0006740_4	
go_0006741_9	
go_0006742_8	
go_0006744_7	purT//nirD//icd//miaA//galK//tyrA//puuC//ubiH//trmD//ndh//truA//fadB//
go_0006749_5	waaC//malY//
go_0006750_6	yeiG//plsB//
go_0006751_6	uxaB//
go_0006757_5	cheB//
go_0006760_5	dgoD//
go_0006761_7	ppk//
go_0006771_5	dadA//
go_0006772_6	ruvC//dmlA//
go_0006777_5	ftnA//thiD//pgl//dgoK//leuA//
go_0006779_6	lyxK//napA//glcF//dkgB//rnt//
go_0006780_7	uxuB//
go_0006782_7	lysS//gpmA//tag//umpH//
go_0006783_5	dgoA//dgt//ubiA//xthA//tag//wzc//hypF//
go_0006790_4	rlmI//pfkA//garK//waaO//ldcA//ubiD//ldtE//gabD//hemG//ribB//
go_0006791_2	hisF//phr//eutD//
go_0006793_4	torY//phr//
go_0006798_5	gpsA//
go_0006799_5	hemF//
go_0006801_5	acpH//paaJ//aroD//
go_0006805_4	yfaU//fabB//glpD//galU//
go_0006807_3	pflB//guaD//aroH//
go_0006808_4	rihA//
go_0006810_4	fucA//dxs//gshB//gshB//ynfF//fabD//dnaQ//asd//kbaZ//napB//hyaB//pldB//ppx//ilvM//idnK//sgbE//glgC//insI-1//kefF//waaP//patD//apt//frmB//dfp//cysD//nrfD//tsaE//otsB//fucK//dinB//nudC//hcaE//lpxK//deoB//truC//asnS//polB//paaJ//psuG//ybcF//ychF//dkgB//entH//hemB//arnT//btuE//oxc//hemD//glk//thrB//gnd//ssuD//frdB//rpiB//asnA//paaB//psd//iscS//dmsB//glgC//hdhA//fabI//hemC//pphB//ppsA//scpB//solA//mraY//mhpA//appA//treC//dgkA//alsK//arnA//menB//appA//narZ//
go_0006811_5	entE//gudD//trpS//puuC//hcaC//rfaE//pgpA//agp//frlC//guaA//dapD//
go_0006812_6	coaE//dinB//
go_0006813_8	lipA//rlmE//tsaC//serC//ppc//hemA//scpB//glgX//
go_0006814_8	yrfG//waaL//rlmH//lipB//
go_0006817_8	aspS//
go_0006820_6	cynS//rsmG//malP//preT//surA//
go_0006821_8	phnH//
go_0006824_8	hemH//ada//mutY//ansA//
go_0006825_9	pfkA//
go_0006826_9	mrcA//
go_0006828_9	yagE//
go_0006829_9	glnS//fbaA//sucA//rlmC//torC//
go_0006833_6	
go_0006835_8	ftsI//puuA//
go_0006847_8	glpC//
go_0006855_6	argS//ada//mpaA//rlmB//thiI//yjjX//pgpC//uxaC//nudG//insI-1//cueO//queD//mutS//tynA//
go_0006857_7	ampH//betA//pdxY//
go_0006863_7	fabG//
go_0006865_6	ygjK//adeD//prpC//kdsC//metK//ychF//trpA//sgbH//trmL//mtgA//cysE//menH//cysM//bioA//hyi//hcaB//gloA//gpsA//selB//wzc//fabH//
go_0006868_7	cpdB//
go_0006869_6	treA//
go_0006874_8	
go_0006876_8	rlmF//
go_0006878_9	selA//
go_0006879_9	puuB//alkB//
go_0006880_4	lsrK//dhaK//
go_0006882_8	yegS//
go_0006883_8	panB//trpA//cdh//
go_0006884_4	
go_0006885_9	tnaA//
go_0006886_5	
go_0006928_3	trmL//
go_0006935_4	codA//menE//gloA//ybhA//pagP//
go_0006970_4	ygeX//etk//ppsA//aroH//sodA//betA//
go_0006972_5	ycaO//ycjU//dmsA//appA//asnS//
go_0006974_5	bglB//gpsA//pgk//bioA//kduD//ymdB//ynfF//argA//nudC//murI//mngB//astC//cysD//rluE//galM//serB//mltC//dcd//lsrG//apt//patA//hmp//yahK//chbF//gatY//gpsA//acs//pfkA//tynA//paaK//rutC//uvrC//cyoE//rlmI//gntK//murC//thrC//cobB//waaQ//ygjK//cmoA//thyA//ilvD//guaC//ftsI//uidA//hisD//mltB//lpxD//recG//paaZ//yfiC//ldtA//ydfG//mrcA//talB//xthA//tdk//pdxB//rlmG//hypF//cmk//slt//ymdB//nirB//pyrB//serS//tsaD//yjhG//eptC//nfsB//dgkA//purA//waaS//eptA//tgt//nanA//purT//cpdA//truA//nagK//ilvM//cyoE//waaJ//pdeH//preA//yccX//sdhA//moaE//yidA//lysA//ltaE//hisI//gutQ//selB//
go_0006979_4	purB//pgpB//ubiH//orn//pdeR//gltX//lyxK//cynT//glgP//sdhD//asnB//narH//glpK//ubiD//ycaO//waaJ//mltD//ydiF//pflB//argD//menE//hchA//frdA//acpH//appA//rfbB//
go_0006986_5	ulaG//
go_0006995_6	nrdD//hisD//
go_0007059_3	mgsA//hypF//
go_0007062_4	
go_0007155_3	argB//
go_0007165_3	thyA//glmS//
go_0007234_5	
go_0007584_4	
go_0008033_9	ssuD//waaY//cdsA//cheR//murA//bioB//rhaM//rluB//
go_0008104_4	
go_0008152_2	queA//dmsA//cpsB//kdgK//hcaD//hisF//lgoD//ansB//umuD//prs//waaH//ruvC//folE//putA//paaF//cysI//queG//
go_0008156_8	
go_0008219_3	
go_0008272_6	aroB//dnaQ//
go_0008295_6	dapF//rnd//pabB//
go_0008299_5	selD//
go_0008360_4	yihU//arnA//rhaA//pyrF//sgbH//ogt//gph//yagE//serB//dusB//waaJ//
go_0008610_5	ulaD//serS//trpS//lpxP//
go_0008615_6	purT//wcaJ//mhpA//rffM//gshA//slt//zwf//
go_0008616_8	purF//gcvT//mltA//uvrB//rdgB//lacZ//
go_0008643_6	proB//trmA//pgsA//mltB//ydiO//ansA//ynfE//glmM//phnL//citE//ansA//curA//ilvN//pdxA//bfr//pheS//frdC//nrdA//
go_0008652_5	tsaD//polA//glcF//hyi//sad//yciA//frlB//phnG//
go_0008653_5	
go_0008654_5	rhaM//menD//pfkA//fklB//
go_0009050_6	maeA//ligB//
go_0009052_6	ddlB//rsmG//sdhD//trpB//bioC//prpB//
go_0009056_3	nrdB//
go_0009058_3	clsC//bioA//prmB//truC//
go_0009060_6	phnP//pinE//pphB//leuS//yccX//ppx//thiE//
go_0009061_6	feaB//rlmA//mnaT//hemL//mog//yjhH//prmB//wzc//rihC//carA//yjiA//fklB//mutT//rpe//dxs//nagA//panB//mtn//aroA//thiI//eptA//
go_0009062_6	nanE//
go_0009063_5	puuA//cyoE//yqjH//
go_0009070_7	rluF//
go_0009073_6	puuE//dut//yggF//ygeX//ldtA//nrdA//entF//hemF//mutH//speB//thrC//
go_0009081_5	metB//folE//
go_0009082_6	trmI//dut//hcaC//rlmG//rutB//csdA//tadA//
go_0009085_8	yegS//
go_0009086_7	sad//cmk//dosP//sdhC//pyrC//
go_0009088_8	glcE//panD//
go_0009089_6	mrdA//sdaA//entA//lpxM//appA//phnG//
go_0009090_8	moeA//ravA//ldcC//lsrG//
go_0009092_7	cdd//
go_0009093_7	
go_0009094_6	metH//waaZ//purT//
go_0009097_7	ppk//garD//argE//serC//rsmG//
go_0009098_7	yfeX//epd//paoC//murD//menD//ulaG//
go_0009099_7	murB//purU//hisC//btuE//pabC//cheB//hpt//
go_0009102_6	moaE//insI-1//pgaD//umpH//malY//tpiA//frdB//hemN//yjjX//
go_0009103_6	allB//acs//dapA//adhE//hemE//lipA//apt//proB//hcaE//
go_0009106_5	pyrG//
go_0009107_6	agp//paaH//
go_0009108_6	mutL//
go_0009116_5	rsuA//sucA//
go_0009142_7	glpX//
go_0009143_7	glnE//
go_0009152_8	mutS//
go_0009157_8	ruvB//
go_0009166_7	cysN//pfkA//
go_0009168_9	yihT//
go_0009220_8	xdhB//yghU//
go_0009224_9	sdhC//
go_0009226_6	selB//chbG//
go_0009228_7	rsmA//prmB//mhpA//bioH//rlmJ//kbaY//argG//udp//waaJ//
go_0009229_6	cheB//ppiA//
go_0009231_6	ackA//tdcE//hpt//pykF//metL//trpB//panC//
go_0009234_7	argB//fadH//waaA//fadD//aceB//argG//rutD//idnK//glgC//
go_0009236_6	pgaB//slyD//cpdB//pdeH//purC//fucA//
go_0009237_4	cheR//trpA//
go_0009239_6	rfbC//hisH//mgsA//trmI//preA//btuE//yfaU//rsmE//
go_0009240_6	udp//
go_0009242_6	lyxK//nudF//ispH//yihX//trpC//umpH//dut//lacZ//
go_0009243_7	dcm//
go_0009244_7	rpe//cysE//lipB//kefF//rfaD//fucI//puuB//dcm//fre//aroC//polA//nanA//mpaA//nth//alkA//cmk//nadK//astB//serS//menE//fdhF//yieH//
go_0009245_6	fadD//pagP//hemH//gpp//rfbB//gadB//nrdF//rsgA//trpS//
go_0009246_6	fabZ//argG//mgsA//ndk//kdsD//ssuD//
go_0009249_6	rsmD//fabH//entF//
go_0009250_7	
go_0009251_7	ligB//
go_0009252_7	hemC//deoB//rlmG//btuR//kdsD//opgB//def//adhE//udk//pck//mutS//hemL//pyrF//waaQ//nth//tsaE//citC//hisG//fadE//rutB//dsdA//tynA//ulaG//ynfF//rlmD//
go_0009253_8	patZ//sufS//nrdD//dcd//dld//waaL//ulaG//glgX//dcyD//fucA//
go_0009254_8	accC//pyrH//folE//sucD//sufS//otsB//fadA//ybjG//panB//ltaE//birA//
go_0009257_8	cobB//thiD//rhaD//cysK//
go_0009263_6	sucC//galT//
go_0009264_6	pabC//fruK//
go_0009265_7	gluQ//
go_0009266_4	gluQ//gpt//dmsB//etk//nrdD//yeiG//
go_0009267_5	murB//araB//
go_0009268_4	deoC//
go_0009271_4	
go_0009273_5	
go_0009290_6	
go_0009294_5	trpD//
go_0009297_6	
go_0009298_7	pgl//accC//ribB//
go_0009305_7	ygjK//
go_0009306_4	
go_0009311_5	
go_0009314_4	pyrH//ilvI//rnb//guaD//fumB//nadE//mngB//gpmA//yccX//entA//mnaT//uvrC//gshA//waaS//serS//chbG//purN//
go_0009372_5	ubiH//yhdH//frmA//
go_0009396_6	aroL//argH//
go_0009398_7	yhdJ//
go_0009401_7	yfbR//aroD//mltB//rlmL//purU//ilvB//gloA//wecB//mltB//cmk//glyA//sthA//aspA//nrfD//dapD//bioF//idnK//pyrC//phnO//phoA//
go_0009403_5	
go_0009405_4	
go_0009407_3	cysC//
go_0009408_4	dgcZ//pyrD//phnO//yghU//pinE//yhdJ//sgbH//eutD//rlmC//rnb//ycaO//rluE//rsmH//entB//pdxA//tesB//uvrA//truA//gntK//idnO//dmlA//frmB//ispH//lysU//hchA//gmd//
go_0009409_4	dgcM//pgsA//
go_0009410_4	uxaC//
go_0009411_6	nrdD//dgoA//yfdR//talB//dgoD//hchA//ascB//treA//speD//
go_0009416_5	narH//sdhA//
go_0009423_8	folA//pyrH//gadB//paoC//
go_0009432_5	sgbE//rnd//rihB//rsmJ//pykF//
go_0009435_9	polB//rfaD//ghrB//waaB//ydiO//
go_0009436_6	recG//puuE//rffT//yagE//
go_0009437_5	
go_0009438_5	
go_0009440_6	carB//ribB//pta//
go_0009442_7	guaC//paaK//ampH//lpxB//rffC//
go_0009443_5	adhE//alaA//ruvC//
go_0009446_6	yidA//cpsB//
go_0009447_6	opgE//ttdA//menC//wcaJ//gapA//dusB//gcvP//mhpB//
go_0009450_6	def//gpsA//waaU//waaL//
go_0009451_6	cdh//ygeX//lpxT//rffT//
go_0009593_4	
go_0009597_5	
go_0009636_4	mog//waaS//fcl//mgsA//cpdA//
go_0009637_6	
go_0009651_5	
go_0009697_5	proB//
go_0009758_2	rlmF//
go_0009785_5	
go_0009970_6	ydfG//puuE//folD//
go_0009972_10	citE//
go_0009992_5	waaB//waaY//ynfH//
go_0010033_4	
go_0010038_5	
go_0010039_6	sucD//
go_0010041_7	ascB//dgkA//
go_0010042_6	ubiI//
go_0010043_6	treF//sgbH//
go_0010045_6	hmp//
go_0010106_6	
go_0010124_4	wecB//gadB//tdcD//pta//ttdB//rutB//phnM//aroF//
go_0010133_7	lysU//
go_0010139_7	leuS//
go_0010165_6	yeaG//malZ//truC//edd//recR//fadD//add//glcB//
go_0010212_5	trpS//
go_0010226_6	fucA//
go_0010243_5	
go_0010272_6	purU//
go_0010273_4	ilvB//lsrK//mutT//
go_0010312_3	yahK//
go_0010332_6	
go_0010350_6	
go_0010438_6	nudG//yjhH//
go_0010447_5	entF//dgoD//
go_0010468_6	rrrD//
go_0010498_6	pdxH//ppiA//ulaF//ravA//
go_0010501_7	hemA//mhpB//
go_0010557_7	
go_0010608_7	eptA//
go_0010628_7	
go_0010629_7	avtA//
go_0010676_7	
go_0010699_4	fabI//eutB//
go_0010810_5	
go_0010876_4	
go_0010911_5	
go_0010921_6	
go_0010951_8	
go_0010967_6	
go_0010974_7	
go_0012501_4	
go_0014070_5	tatD//murQ//gadA//pgl//pncB//glgX//pagP//trmI//pgk//
go_0015031_5	bglB//fklB//arsC//pfkB//lpxL//ruvC//tnaA//entF//
go_0015074_6	
go_0015628_5	
go_0015670_6	roxA//
go_0015673_9	pgm//
go_0015675_9	alkA//
go_0015679_10	argC//
go_0015682_8	glxK//
go_0015684_9	glmS//panB//proC//frdC//
go_0015685_8	fumB//nemA//
go_0015687_7	gpp//
go_0015688_6	accA//tadA//
go_0015689_8	serS//
go_0015691_9	ldtC//gstA//
go_0015692_8	yjjX//
go_0015693_9	ada//
go_0015696_6	rluC//
go_0015698_7	murD//
go_0015699_8	yjcS//
go_0015700_8	narG//
go_0015706_6	speE//rlmC//ulaG//
go_0015707_6	rffG//hyaB//pgpB//hcaF//
go_0015709_6	epmA//
go_0015710_8	gcl//gstB//
go_0015712_7	luxS//
go_0015718_8	dhaL//
go_0015721_7	kdsB//nrdB//mhpD//
go_0015724_7	miaB//
go_0015726_8	prmB//
go_0015733_7	dkgA//
go_0015734_6	mcrA//
go_0015736_9	ubiX//
go_0015739_7	frmB//
go_0015740_9	leuS//nagB//nudC//
go_0015741_10	gor//argG//
go_0015747_6	gatD//
go_0015748_6	rbn//
go_0015749_7	leuS//umpG//yfeW//cysD//glpC//wcaJ//iaaA//
go_0015751_9	abgA//pdeL//
go_0015752_9	hemC//bioF//
go_0015753_9	ttdB//argD//
go_0015754_9	uvrB//
go_0015755_9	cyoE//frdC//gph//
go_0015756_9	aspA//tyrA//
go_0015757_9	thiL//menD//guaB//ldtD//
go_0015760_8	mrcA//
go_0015761_9	dgcT//
go_0015762_9	alaA//
go_0015764_7	mltC//ribE//umpG//
go_0015765_8	idnD//yqhD//
go_0015767_9	lpxK//aes//wcaJ//
go_0015768_9	ltaE//nadE//rbsK//
go_0015769_9	aldB//
go_0015771_9	moaE//abgA//acnB//
go_0015772_7	solA//trpS//gloA//
go_0015774_7	mnaT//
go_0015778_7	rihB//
go_0015793_7	ansB//asd//
go_0015794_7	frc//recG//
go_0015795_7	manA//dnaE//
go_0015796_7	dnaE//
go_0015797_7	hemD//cobB//gabT//
go_0015803_7	nagZ//glmS//galU//
go_0015804_7	talB//gcvT//
go_0015806_6	phnP//
go_0015807_7	bioA//pheS//malP//waaQ//dmlA//wcaJ//
go_0015808_8	aroD//fklB//
go_0015809_7	waaA//
go_0015810_8	miaB//eptC//
go_0015811_7	aldA//yeaE//
go_0015813_6	hinT//galK//selA//
go_0015814_7	dgoK//
go_0015816_6	gpp//
go_0015817_7	sucC//ldtA//
go_0015818_7	pdxH//leuB//
go_0015820_7	kbaZ//dmsB//yciA//ilvH//rlmD//
go_0015821_7	yagF//sucA//
go_0015822_7	proA//
go_0015823_7	bioA//mrcB//aroL//ileS//mtgA//
go_0015824_7	dgcM//gcvT//alaS//
go_0015825_8	galK//
go_0015826_7	waaB//murB//tag//
go_0015827_7	sucA//nudB//murA//
go_0015828_7	uvrA//fes//
go_0015829_7	tsaB//ilvA//glcE//
go_0015830_7	folA//
go_0015833_6	slt//pbpC//hemC//hcp//kduD//metG//rdgB//lldD//frmA//lipA//
go_0015834_7	ppsA//rlmA//
go_0015835_6	trmJ//
go_0015836_7	trmJ//gabT//
go_0015839_7	fdhF//
go_0015846_6	waaQ//yciA//
go_0015847_7	rlmL//rnt//sad//ydiO//yjhG//
go_0015848_7	glnS//pyrF//
go_0015851_6	
go_0015853_8	ghrB//galK//
go_0015856_8	caiB//
go_0015857_6	psd//lipB//
go_0015858_7	etp//hycB//yieH//
go_0015860_7	bglA//clsC//
go_0015861_9	aceA//mutM//
go_0015862_9	bioC//gpmM//
go_0015863_8	malP//
go_0015864_8	dmsC//
go_0015871_6	trpA//selB//mrcA//mazG//
go_0015878_6	
go_0015879_9	miaB//
go_0015882_7	waaU//
