# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	dgoK//
go_0007165_3	bioC//miaA//
go_0007234_5	
go_0007584_4	
go_0008033_9	fkpA//mcrB//ydfG//insI-1//recF//dsdA//fumC//cyaA//
go_0008104_4	
go_0008152_2	phnJ//rluF//epmA//ubiG//acs//cobS//sdaA//gatD//accC//coaA//rhaD//fucI//malP//astB//gpp//mltA//hemN//
go_0008156_8	
go_0008219_3	
go_0008272_6	pgi//suhB//
go_0008295_6	ascB//nth//glpX//
go_0008299_5	recG//
go_0008360_4	surA//bacA//thiG//citX//mak//bioA//purC//fruK//icd//hisC//fbaA//
go_0008610_5	cysM//ribF//cynT//trmO//
go_0008615_6	rsmB//iaaA//ydfG//rpe//fcl//nhoA//aldA//
go_0008616_8	rbsK//dgkA//mnmA//fabD//yghU//mazG//
go_0008643_6	phnG//yihS//cysQ//mtn//bacA//pdxA//murC//argF//purB//truD//napC//lpcA//ulaE//guaA//araA//yihS//coaA//rihA//
go_0008652_5	cheB//gluQ//dinB//dhaK//insI-1//ilvC//gabT//mug//
go_0008653_5	
go_0008654_5	lldD//glpB//xapA//prmC//
go_0009050_6	purN//bioA//
go_0009052_6	moaA//rbsD//nrdA//yieF//aspS//rfbC//
go_0009056_3	mltF//
go_0009058_3	avtA//ascB//sgbU//speF//
go_0009060_6	pflB//yjjG//sseA//pgpB//rpiB//yfaU//moaE//
go_0009061_6	luxS//bfr//queF//cysC//prs//guaA//mltA//torC//arnA//hemD//pyrD//fklB//torA//yfaU//slt//proS//dmsC//umpH//pagP//carA//ilvM//
go_0009062_6	adiA//
go_0009063_5	yjhH//pyrE//glmS//
go_0009070_7	gloB//
go_0009073_6	gcvH//adeD//dacD//apaH//treC//arnB//rlmE//cdh//tsaD//ileS//puuB//
go_0009081_5	hemF//gltD//
go_0009082_6	waaY//cysD//waaY//rbn//garL//ddlA//bglB//
go_0009085_8	btuE//
go_0009086_7	yfeW//caiB//fadB//yfcF//nfi//
go_0009088_8	glpK//cobB//
go_0009089_6	ada//gpt//insI-2//patD//mltB//accB//
go_0009090_8	yciA//truC//rnpA//sdhB//
go_0009092_7	aes//
go_0009093_7	
go_0009094_6	asnS//purU//slyD//
go_0009097_7	fabD//rsmB//accA//clsA//maeA//
go_0009098_7	cysM//betA//gmd//puuC//pdxY//hcaB//
go_0009099_7	bglX//cobB//hisD//tsaD//metB//rlmC//deoC//
go_0009102_6	allD//lyxK//yfiC//tauD//eptB//fadJ//coaA//nadA//aceF//
go_0009103_6	galE//selB//speB//rsuA//argE//abgA//paaB//allB//pdxJ//
go_0009106_5	hinT//
go_0009107_6	yjhG//pyrC//
go_0009108_6	metK//
go_0009116_5	truC//cysG//
go_0009142_7	metH//
go_0009143_7	prmC//
go_0009152_8	speD//
go_0009157_8	gluQ//
go_0009166_7	rsgA//rsmF//
go_0009168_9	tatD//
go_0009220_8	ascB//agp//
go_0009224_9	clsC//
go_0009226_6	rpiB//pykF//
go_0009228_7	ychF//tktB//rnt//yigB//rutE//gltB//leuB//rsmF//galU//
go_0009229_6	hisG//galE//
go_0009231_6	lsrK//paaF//csdA//aceA//yeaE//glnS//mltD//
go_0009234_7	tmk//lysC//pykA//ascB//mltB//malZ//deoD//pncB//leuC//
go_0009236_6	carB//hcaE//mobA//rutB//mmuM//tmcA//
go_0009237_4	nrdB//sdhC//
go_0009239_6	rffC//mnmE//purU//fadH//hypB//ascB//dgcM//lpxD//
go_0009240_6	mngB//
go_0009242_6	citG//recG//mhpA//pepD//gltX//pheS//leuB//dadA//
go_0009243_7	cobU//
go_0009244_7	gdhA//ilvB//pdxB//mhpD//eutD//udp//hemG//ldcA//nudF//bioB//polA//yjcS//lyxK//puuB//gcvH//mltD//menD//surA//rfbD//yjjG//fadJ//mug//
go_0009245_6	ndk//hisS//nanA//phnM//ravA//mltF//relA//moeA//fre//
go_0009246_6	rlmH//guaB//ybjI//cmk//ubiC//dhaK//
go_0009249_6	hyaB//umuC//clsB//
go_0009250_7	
go_0009251_7	feaB//
go_0009252_7	rluE//trpS//def//umuC//yqjH//lpxM//aphA//frdC//waaG//trmA//opgE//cpsG//sufS//yfiC//glcD//pabB//mutH//acpT//hemE//selD//hemH//pheA//tsaD//rutC//mdh//
go_0009253_8	paaC//apaH//alaC//caiB//galM//cysE//ppk//dxs//yihS//gcd//
go_0009254_8	hyaB//eptA//deoC//gloB//pta//lysC//speF//ribE//clsB//arnA//fadD//
go_0009257_8	valS//nirD//trpD//pdeL//
go_0009263_6	mcrB//dfp//
go_0009264_6	yihV//trmL//
go_0009265_7	gshA//
go_0009266_4	dapB//insI-2//nrfC//moeB//mcrA//trpA//
go_0009267_5	rlmD//arnT//
go_0009268_4	speA//
go_0009271_4	
go_0009273_5	
go_0009290_6	
go_0009294_5	panB//
go_0009297_6	
go_0009298_7	glnE//pcm//nudG//
go_0009305_7	cdsA//
go_0009306_4	
go_0009311_5	
go_0009314_4	purC//kbaY//glcD//gutQ//pck//lpxT//dmsB//dusB//maeA//abgA//deoD//nadB//rihC//coaA//hemC//coaA//frdD//
go_0009372_5	coaE//pdeL//yajO//
go_0009396_6	rffT//thiD//
go_0009398_7	ygeX//
go_0009401_7	srlD//apt//nudG//ygjK//purL//mog//tdcG//phnJ//katE//fruK//thiM//dmlA//queD//kbaY//moeA//rbn//yciA//yihS//rutE//waaH//
go_0009403_5	
go_0009405_4	
go_0009407_3	yjjX//
go_0009408_4	pgi//tesB//pabB//ilvI//uxaA//dmsC//rsgA//nagK//glgA//cobU//mutL//valS//treF//rluF//tilS//ileS//hchA//argG//talB//bglA//rffG//dkgA//rfaE//nagK//yegS//hcaD//
go_0009409_4	idnD//phnP//
go_0009410_4	aceA//
go_0009411_6	umuD//malS//ung//lysS//carB//mpaA//ribD//polA//rbn//
go_0009416_5	gcvH//lldD//
go_0009423_8	yigL//ppsA//speG//argK//
go_0009432_5	tdcE//dapA//bglX//agp//eda//
go_0009435_9	amiD//cfa//alsE//panD//aroH//
go_0009436_6	frdD//glgP//idnO//katE//
go_0009437_5	
go_0009438_5	
go_0009440_6	dld//ppx//adiA//
go_0009442_7	tpiA//dmsB//waaB//ydiB//proC//
go_0009443_5	truC//pyrH//uxaB//
go_0009446_6	dgoA//fdhF//
go_0009447_6	ftnA//galT//mltC//treF//rlmG//fbaA//mtlD//rffT//
go_0009450_6	rsmG//ung//ulaG//deoC//
go_0009451_6	ynfH//aroK//rutC//paaK//
go_0009593_4	
go_0009597_5	
go_0009636_4	fadI//fabD//eptA//ddlB//mutT//
go_0009637_6	
go_0009651_5	
go_0009697_5	insI-1//
go_0009758_2	mltC//
go_0009785_5	
go_0009970_6	cmk//nrdF//recO//
go_0009972_10	ddlB//
go_0009992_5	allD//adk//leuD//
go_0010033_4	
go_0010038_5	
go_0010039_6	sucB//
go_0010041_7	tsaC//fadI//
go_0010042_6	paaJ//
go_0010043_6	narY//uxuB//
go_0010045_6	uxaA//
go_0010106_6	
go_0010124_4	nrdE//rnb//mobA//gntK//preA//yjhH//yihS//hycB//
go_0010133_7	moeA//
go_0010139_7	hcaF//
go_0010165_6	folC//pyrH//mtlD//mutL//avtA//menH//fes//glmU//
go_0010212_5	metF//
go_0010226_6	melA//
go_0010243_5	
go_0010272_6	menE//
go_0010273_4	pgsA//rihC//gshA//
go_0010312_3	ltaE//
go_0010332_6	
go_0010350_6	
go_0010438_6	kefF//ilvD//
go_0010447_5	mtgA//moaA//
go_0010468_6	chbG//
go_0010498_6	alaA//bioA//ribD//lpxT//
go_0010501_7	nanE//mutS//
go_0010557_7	
go_0010608_7	pphA//
go_0010628_7	
go_0010629_7	gdhA//
go_0010676_7	
go_0010699_4	gapA//sucA//
go_0010810_5	
go_0010876_4	
go_0010911_5	
go_0010921_6	
go_0010951_8	
go_0010967_6	
go_0010974_7	
go_0012501_4	
go_0014070_5	gntK//panD//rlmG//pdeH//slyD//mnaT//allC//tesB//yciA//
go_0015031_5	metH//aldA//ilvB//deoA//ilvC//pbpC//pgm//mutH//
go_0015074_6	
go_0015628_5	
go_0015670_6	ogt//
go_0015673_9	codA//
go_0015675_9	dgoA//
go_0015679_10	glpA//
go_0015682_8	hemG//
go_0015684_9	ppiC//purU//rnt//mltB//
go_0015685_8	dut//gapA//
go_0015687_7	alsK//
go_0015688_6	rpiB//metG//
go_0015689_8	nudG//
go_0015691_9	rlmJ//lsrK//
go_0015692_8	aroC//
go_0015693_9	fabG//
go_0015696_6	asnS//
go_0015698_7	galK//
go_0015699_8	thyA//
go_0015700_8	phnL//
go_0015706_6	kbaZ//selA//gloA//
go_0015707_6	icd//rimK//yjhH//cmoA//
go_0015709_6	tsaC//
go_0015710_8	waaL//malY//
go_0015712_7	rbn//
go_0015718_8	dkgA//
go_0015721_7	kdsC//cysG//yigB//
go_0015724_7	adhP//
go_0015726_8	rdgB//
go_0015733_7	ilvE//
go_0015734_6	mgsA//
go_0015736_9	cof//
go_0015739_7	ubiE//
go_0015740_9	speE//hpt//alsE//
go_0015741_10	gltX//betA//
go_0015747_6	coaE//
go_0015748_6	ravA//
go_0015749_7	hemD//fucO//paaC//pdxJ//pyrD//gph//pnp//
go_0015751_9	rlmF//betB//
go_0015752_9	gpt//fcl//
go_0015753_9	hflX//cheB//
go_0015754_9	hcp//
go_0015755_9	napC//sgbE//tmcA//
go_0015756_9	malZ//ispH//
go_0015757_9	sucB//hpt//hinT//dinB//
go_0015760_8	bglB//
go_0015761_9	psd//
go_0015762_9	leuA//
go_0015764_7	gloC//pphA//yqjH//
go_0015765_8	ftnA//folX//
go_0015767_9	mnmC//betA//murG//
go_0015768_9	ushA//pykF//allD//
go_0015769_9	cpsG//
go_0015771_9	purC//tdcG//sseA//
go_0015772_7	bioB//deoA//roxA//
go_0015774_7	narY//
go_0015778_7	tsaE//
go_0015793_7	sucC//rfbB//
go_0015794_7	pta//gloC//
go_0015795_7	rffC//trmO//
go_0015796_7	fucI//
go_0015797_7	phoA//hemH//fumA//
go_0015803_7	puuB//pyrD//rph//
go_0015804_7	avtA//rbsD//
go_0015806_6	ppk//
go_0015807_7	rfbB//frdB//alsE//pbpC//cobB//metC//
go_0015808_8	aspC//fabA//
go_0015809_7	aldB//
go_0015810_8	ispA//dcm//
go_0015811_7	dhaM//dam//
go_0015813_6	mhpC//entA//epmC//
go_0015814_7	ispF//
go_0015816_6	aroH//
go_0015817_7	yjiA//uxuA//
go_0015818_7	deoA//ghrB//
go_0015820_7	purN//nanA//dfp//rfbD//truB//
go_0015821_7	hemC//gntK//
go_0015822_7	maa//
go_0015823_7	hflX//trpB//frlC//fadK//aroC//
go_0015824_7	rlmF//murB//ygeX//
go_0015825_8	nagK//
go_0015826_7	lpxP//allD//yagE//
go_0015827_7	melA//abgA//pfkB//
go_0015828_7	yihS//trpB//
go_0015829_7	purD//rsmG//glcB//
go_0015830_7	speB//
go_0015833_6	nadE//dhaM//dgoA//ymdB//ldhA//ribE//glmS//rpiB//mhpA//lpxB//
go_0015834_7	dkgB//uvrA//
go_0015835_6	ygjK//
go_0015836_7	alsK//idi//
go_0015839_7	treF//
go_0015846_6	yieH//yidA//
go_0015847_7	fabI//apaH//frdA//fkpB//hyaC//
go_0015848_7	tyrA//galT//
go_0015851_6	
go_0015853_8	moaD//abgB//
go_0015856_8	lysS//
go_0015857_6	yigB//allC//
go_0015858_7	selD//guaB//gltB//
go_0015860_7	cyoE//garR//
go_0015861_9	patA//truC//
go_0015862_9	trmL//trpE//
go_0015863_8	gpp//
go_0015864_8	ribB//
go_0015871_6	dacD//selB//fabG//fklB//
go_0015878_6	
go_0015879_9	puuA//
go_0015882_7	gpmM//
go_0015886_6	tdh//rluD//
go_0015887_7	thiE//
go_0015888_6	trmO//
go_0015889_6	nirD//nhoA//panE//
go_0015891_6	speF//
go_0015906_6	apt//
go_0015909_8	aroC//
go_0015912_8	wecC//
go_0015914_7	folD//
go_0015920_7	rfbD//uxuB//
