# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	kdsC//
go_0006974_5	upp//nanE//suhB//rsmJ//mnmC//lldD//aroD//treF//fkpB//leuS//psd//bglA//ndh//cysN//ada//dusC//epmB//xapA//yqjH//gmk//fumC//metG//rlmF//fdhF//hdhA//purF//eutB//menH//pgm//sodA//glk//rlmL//cobB//cmoB//sucB//cysM//purD//treF//arnT//ilvN//sdaA//cobT//valS//cysE//menI//def//iaaA//birA//tsaD//pdeL//cysG//thyA//cadA//mtgA//pgk//rbsD//trpA//rffM//thiC//idnK//suhB//fucI//waaU//bioC//gatY//iscS//yihV//dkgA//mtlD//purL//deoD//pdxK//ldtA//truB//thrB//rihC//wzc//yihV//trpD//dmsA//guaD//dfp//ravA//glpX//yfeW//ribD//gudD//rihB//malP//yihT//cysS//phnN//ilvD//prpD//agp//
go_0006979_4	panD//ldtD//yidA//ruvB//mtn//rlmG//metF//rluA//gpmA//ispA//chbG//accD//murA//malZ//accB//purU//fau//aroH//ldtD//thiC//leuC//trmO//waaH//menD//frc//tadA//
go_0006986_5	uxaB//
go_0006995_6	uvrA//nagK//
go_0007059_3	gltX//apaH//
go_0007062_4	
go_0007155_3	apaH//
go_0007165_3	hisD//tsaD//
go_0007234_5	
go_0007584_4	
go_0008033_9	waaQ//hemH//menI//coaD//mdh//cobT//pyrC//aroG//
go_0008104_4	
go_0008152_2	pgl//coaE//nirD//paaA//hcaB//murF//betB//alsE//amyA//prmC//eptA//fkpB//rimK//uvrA//pyrE//glpD//rlmG//
go_0008156_8	
go_0008219_3	
go_0008272_6	entC//polA//
go_0008295_6	dusC//thrC//yigL//
go_0008299_5	dgoK//
go_0008360_4	alaA//ubiF//mcrA//mpaA//nemA//rluE//aroL//moeA//mutL//thrC//sdhB//
go_0008610_5	pgpA//moaD//entH//relA//
go_0008615_6	dld//feaB//queC//mnaT//cysM//aldB//ybjG//
go_0008616_8	glpD//amyA//etp//nudC//pncB//argS//
go_0008643_6	deoC//rsgA//puuD//wrbA//phnN//hyaB//rutB//pykA//amyA//narI//cobU//hinT//dhaM//rutC//pyrC//kdsD//rsgA//dinB//
go_0008652_5	kdsA//thrB//lpxL//hemC//sseA//uvrB//ppiA//yigB//
go_0008653_5	
go_0008654_5	ldcC//fau//allB//glyS//
go_0009050_6	ppsA//lpxP//
go_0009052_6	fucK//rsmC//nfsB//pbpC//lldD//yjcS//
go_0009056_3	slt//
go_0009058_3	folM//waaC//mhpA//rluD//
go_0009060_6	garR//trmA//glnS//tktA//gdhA//fabG//paaH//
go_0009061_6	ltaE//argA//eptC//gcvH//cadA//narY//pfkB//cdh//lpoB//paaE//araB//tsaE//gcvH//pgpB//puuD//rsmA//mhpC//eutB//yqhD//cof//betA//
go_0009062_6	frmB//
go_0009063_5	nanA//hcaB//pta//
go_0009070_7	sodB//
go_0009073_6	waaL//tktB//pyrB//cysI//uvrB//hisF//mhpC//bioA//ruvA//murA//caiD//
go_0009081_5	narV//mtn//
go_0009082_6	hisF//puuC//cyaA//lysA//ruvA//iaaA//phnO//
go_0009085_8	cysI//
go_0009086_7	sdhD//pdxK//speA//rbsD//accB//
go_0009088_8	yfeW//rluB//
go_0009089_6	pyrB//galM//malP//ascB//gmhB//kdgK//
go_0009090_8	pyrB//rlmG//dmsA//trmI//
go_0009092_7	narI//
go_0009093_7	
go_0009094_6	psd//yieH//glyA//
go_0009097_7	cpsG//rhaM//waaA//coaA//preT//
go_0009098_7	bioB//asnA//relA//ttdA//folC//cysN//
go_0009099_7	waaJ//alkB//rihC//cysM//ilvB//entC//allC//
go_0009102_6	surA//serA//otsA//apaH//murF//rihA//allB//gudD//ispA//
go_0009103_6	alkA//entA//purC//paaB//speF//thiL//ynfE//menF//cheB//
go_0009106_5	dsdA//
go_0009107_6	nagB//cynT//
go_0009108_6	ilvB//
go_0009116_5	bcsA//yahK//
go_0009142_7	gdhA//
go_0009143_7	phr//
go_0009152_8	dnaE//
go_0009157_8	nudG//
go_0009166_7	xylB//tyrB//
go_0009168_9	menI//
go_0009220_8	yeiG//ldtA//
go_0009224_9	acpS//
go_0009226_6	mnmA//menC//
go_0009228_7	hisB//mak//galE//gabD//ada//glpX//speD//aphA//fdhF//
go_0009229_6	glk//fumC//
go_0009231_6	puuC//cdd//gph//iscS//yfeW//tyrA//proA//
go_0009234_7	menE//entA//gor//yciV//pgpB//lpxD//yqhD//hcaE//kduI//
go_0009236_6	ydiO//tig//entD//yrfG//ansB//ltaE//
go_0009237_4	hyaB//dkgB//
go_0009239_6	fkpA//dbpA//pabA//rbsD//ilvD//cpdB//rutE//nrdA//
go_0009240_6	zwf//
go_0009242_6	aceF//ybcF//gph//asnA//nirD//thiH//gltD//mocA//
go_0009243_7	ldtB//
go_0009244_7	gstA//acpH//pdxH//tatD//pepD//selD//cheB//fkpB//cysC//fadJ//mgsA//nudC//kdsD//pyrE//nrdA//truB//glk//hemG//yihU//gabT//yidA//pgl//
go_0009245_6	uidA//amiD//ilvE//glmS//ascB//ligB//insI-1//leuA//nadC//
go_0009246_6	rlmC//yfiC//lpxC//metL//fadD//lysA//
go_0009249_6	argS//glcD//fes//
go_0009250_7	
go_0009251_7	sad//
go_0009252_7	frdC//mnmA//cysD//glpK//rfbB//dcd//rutE//hemA//dcd//waaP//hyi//nhoA//ppx//hemC//prmC//ssuD//lsrG//lyxK//lpxL//gpmA//sad//fumB//dacA//chbG//etp//
go_0009253_8	rlmF//truD//truD//aroF//cyoE//apt//garL//galT//metF//metE//
go_0009254_8	folP//ydiF//glnS//araB//pgm//fabI//rluF//fes//fau//phnP//rsmD//
go_0009257_8	kbaZ//cysN//appA//rhaA//
go_0009263_6	mutM//argE//
go_0009264_6	nrdA//ulaF//
go_0009265_7	talB//
go_0009266_4	mltD//rsmG//betB//arsC//pdeH//moeA//
go_0009267_5	rbsD//rutE//
go_0009268_4	tdh//
go_0009271_4	
go_0009273_5	
go_0009290_6	
go_0009294_5	ppc//
go_0009297_6	
go_0009298_7	metH//lpxD//gpt//
go_0009305_7	nrfB//
go_0009306_4	
go_0009311_5	
go_0009314_4	mltD//gph//ruvB//mhpC//recG//yfiC//pflB//deoB//hemF//hypF//hcaE//relA//serS//ada//glnS//fklB//pdxB//
go_0009372_5	fabG//betB//rihC//
go_0009396_6	rhaB//aphA//
go_0009398_7	glcF//
go_0009401_7	acpH//yjiA//lysS//ppx//folX//paoC//adeD//rlmM//recJ//puuE//rffG//dxr//purN//yieH//patZ//nadC//moaA//kdsC//scpB//serS//
go_0009403_5	
go_0009405_4	
go_0009407_3	yqjH//
go_0009408_4	pabC//ubiF//kduI//ubiA//sgbH//citC//trmL//rluE//ilvI//kdsA//glpC//leuA//nth//hemG//yqaB//nagZ//nrfD//argG//lysU//glxR//cmk//rluC//nth//birA//waaY//ackA//
go_0009409_4	srlD//acpS//
go_0009410_4	putA//
go_0009411_6	tsaE//kbaZ//trpB//phnL//yfdR//proS//alaA//yagF//aceA//
go_0009416_5	nrdB//trpD//
go_0009423_8	feaB//menF//dapD//rsmI//
go_0009432_5	pabC//paaB//galK//gor//ubiC//
go_0009435_9	torZ//gstB//rlmB//wecB//mltA//
go_0009436_6	amiD//eutB//galU//patZ//
go_0009437_5	
go_0009438_5	
go_0009440_6	ansB//glmS//fadH//
go_0009442_7	serA//yajO//coaD//pdxH//ldtE//
go_0009443_5	gmk//guaA//yfeX//
go_0009446_6	yigB//alkA//
go_0009447_6	rlmE//yajO//cobU//prpB//mutY//thiC//rsgA//ymdB//
go_0009450_6	bglA//glpA//dhaK//trmJ//
go_0009451_6	rlmC//tesB//menB//ansA//
go_0009593_4	
go_0009597_5	
go_0009636_4	sdhA//fadB//rhaA//thrS//dcd//
go_0009637_6	
go_0009651_5	
go_0009697_5	apaH//
go_0009758_2	coaD//
go_0009785_5	
go_0009970_6	sad//fadH//argK//
go_0009972_10	purD//
go_0009992_5	rlmF//glmU//hisI//
go_0010033_4	
go_0010038_5	
go_0010039_6	lysC//
go_0010041_7	acpS//murQ//
go_0010042_6	pldB//
go_0010043_6	yqjH//dgoD//
go_0010045_6	kbaY//
go_0010106_6	
go_0010124_4	bcsA//dbpA//rluC//serB//trmL//mnaT//yieH//rluC//
go_0010133_7	yfeX//
go_0010139_7	pdeF//
go_0010165_6	yjjG//argD//adhE//fcl//rph//uvrA//mug//eda//
go_0010212_5	rihC//
go_0010226_6	pphB//
go_0010243_5	
go_0010272_6	gcvH//
go_0010273_4	ppiC//rluF//dcm//
go_0010312_3	ftnA//
go_0010332_6	
go_0010350_6	
go_0010438_6	pdeF//yciA//
go_0010447_5	ldtE//aspS//
go_0010468_6	dapD//
go_0010498_6	fes//rpe//entC//yihS//
go_0010501_7	pheT//frdD//
go_0010557_7	
go_0010608_7	nirD//
go_0010628_7	
go_0010629_7	hycB//
go_0010676_7	
go_0010699_4	hflX//fadK//
go_0010810_5	
go_0010876_4	
go_0010911_5	
go_0010921_6	
go_0010951_8	
go_0010967_6	
go_0010974_7	
go_0012501_4	
go_0014070_5	birA//insI-2//alaC//sucA//moaA//purT//nrdD//udp//paoC//
go_0015031_5	ispH//phnJ//aroE//yigB//iscS//aroC//talB//acpT//
go_0015074_6	
go_0015628_5	
go_0015670_6	sucA//
go_0015673_9	alaC//
go_0015675_9	eutD//
go_0015679_10	folE//
go_0015682_8	bacA//
go_0015684_9	gatZ//guaC//gadB//glpA//
go_0015685_8	glmU//gloA//
go_0015687_7	katE//
go_0015688_6	paaB//tdcG//
go_0015689_8	rdgB//
go_0015691_9	trpA//garL//
go_0015692_8	fbaA//
go_0015693_9	eno//
go_0015696_6	paaZ//
go_0015698_7	yihT//
go_0015699_8	putA//
go_0015700_8	amyA//
go_0015706_6	nemA//pdxA//paaA//
go_0015707_6	metH//trmO//tesB//scpC//
go_0015709_6	bacA//
go_0015710_8	fadI//fkpA//
go_0015712_7	btuE//
go_0015718_8	edd//
go_0015721_7	ilvM//scpC//mutM//
go_0015724_7	trmD//
go_0015726_8	cobC//
go_0015733_7	cysK//
go_0015734_6	adiA//
go_0015736_9	accA//
go_0015739_7	cysS//
go_0015740_9	thiC//ppc//phnO//
go_0015741_10	mtn//ispU//
go_0015747_6	yfdR//
go_0015748_6	xthA//
go_0015749_7	def//ddlB//poxB//hcaB//waaL//lsrG//arnA//
go_0015751_9	serS//rsmG//
go_0015752_9	rluD//ubiX//
go_0015753_9	prpB//menC//
go_0015754_9	menF//
go_0015755_9	amyA//yggF//dut//
go_0015756_9	gcd//cysN//
go_0015757_9	clsB//rsuA//ybcF//ubiH//
go_0015760_8	rdgB//
go_0015761_9	allC//
go_0015762_9	yhdH//
go_0015764_7	cheB//ldtE//caiB//
go_0015765_8	caiB//abgA//
go_0015767_9	nemA//sdaB//garD//
go_0015768_9	deoD//truA//mdh//
go_0015769_9	uxaB//
go_0015771_9	waaL//rffC//tilS//
go_0015772_7	ribF//nagZ//pgpA//
go_0015774_7	glyS//
go_0015778_7	waaJ//
go_0015793_7	glgC//pncB//
go_0015794_7	moeA//glmS//
go_0015795_7	lpxH//tdcB//
go_0015796_7	hisG//
go_0015797_7	ilvM//speC//gloA//
go_0015803_7	pyrH//pgk//roxA//
go_0015804_7	carB//acnB//
go_0015806_6	purT//
go_0015807_7	queA//agp//rsmD//lldD//adhP//tilS//
go_0015808_8	ubiX//hisF//
go_0015809_7	mnmA//
go_0015810_8	xapA//dapD//
go_0015811_7	hyaB//ilvM//
go_0015813_6	purC//citG//gdhA//
go_0015814_7	paaJ//
go_0015816_6	fadI//
go_0015817_7	gcd//alsE//
go_0015818_7	frmA//idi//
go_0015820_7	yfiC//coaA//ligB//malP//pphA//
go_0015821_7	ascB//ruvA//
go_0015822_7	rihB//
go_0015823_7	gloA//mngB//solA//tmcA//wecC//
go_0015824_7	entB//gpp//yieH//
go_0015825_8	queC//
go_0015826_7	surA//ppk//sad//
go_0015827_7	pagP//idi//purB//
go_0015828_7	glcF//epd//
go_0015829_7	leuA//pyrC//melA//
go_0015830_7	argI//
go_0015833_6	ydiB//tmk//yfcF//glgB//xthA//sucB//moaE//lysC//narH//glgB//
go_0015834_7	trpS//mtn//
go_0015835_6	hisH//
go_0015836_7	yigB//acs//
go_0015839_7	yqhD//
go_0015846_6	entF//mepS//
go_0015847_7	galT//ulaG//ribC//metE//caiD//
go_0015848_7	nemA//rffM//
go_0015851_6	
go_0015853_8	rpe//gpsA//
go_0015856_8	ymdB//
go_0015857_6	frdD//panC//
go_0015858_7	cpdB//dusC//ubiD//
go_0015860_7	sthA//acpH//
go_0015861_9	aroG//menC//
go_0015862_9	gstB//clsB//
go_0015863_8	astB//
go_0015864_8	ispB//
go_0015871_6	sbcB//pheA//pgpB//yhdJ//
go_0015878_6	
go_0015879_9	cynS//
go_0015882_7	purL//
go_0015886_6	araB//metF//
go_0015887_7	abgA//
go_0015888_6	speA//
go_0015889_6	dapB//ftnA//mnmG//
go_0015891_6	galE//
go_0015906_6	menA//
go_0015909_8	rutE//
go_0015912_8	rpiA//
go_0015914_7	epd//
go_0015920_7	thrA//thiH//
