# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	argS//
go_0009152_8	acpH//
go_0009157_8	rlmF//
go_0009166_7	glk//thiH//
go_0009168_9	wzb//
go_0009220_8	waaS//galE//
go_0009224_9	xdhB//
go_0009226_6	truA//epd//
go_0009228_7	xdhB//menB//paaK//mltB//napC//pck//tdh//fdhF//thrS//
go_0009229_6	rlmA//thiM//
go_0009231_6	frdA//ldhA//ileS//eno//frlC//dgoD//yieF//
go_0009234_7	murE//fucK//nudC//pncB//waaZ//preA//purN//hcaB//cpdA//
go_0009236_6	tdcD//uxuA//dapF//aroD//maeA//ynfH//
go_0009237_4	otsB//clsC//
go_0009239_6	yqhD//ulaE//fabB//mmuM//asd//metL//phnM//frdD//
go_0009240_6	otsA//
go_0009242_6	proB//sdhC//folC//tig//serS//gpp//pdxK//moeB//
go_0009243_7	tktA//
go_0009244_7	puuD//ansA//gpt//ybjG//glcB//mhpA//rlmM//gnd//murG//gltD//rlmA//hisA//pdeF//waaG//yahK//ybhA//dnaE//eptA//mutY//cheR//purB//pdxA//
go_0009245_6	speC//lpoA//gatY//glcD//rsgA//hisC//rlmG//alsE//narZ//
go_0009246_6	rihB//uxaA//abgB//gcd//lpxP//cmoA//
go_0009249_6	nth//ychF//ydiB//
go_0009250_7	
go_0009251_7	gmhB//
go_0009252_7	rpiB//fucK//fadB//aroA//fadE//paaF//rlmG//opgE//hisA//ldcC//leuD//dgoA//ybcF//frdA//yhdH//pykF//pykA//ampH//patA//gmhB//katE//etp//frdA//plsB//cheR//
go_0009253_8	pdeF//paaZ//slt//folD//ansA//paaC//mgsA//recG//lsrG//gpt//
go_0009254_8	hypB//cysI//dut//tmk//sodC//mraY//thiM//ubiE//fadM//phnH//mocA//
go_0009257_8	leuD//polA//narH//ppk//
go_0009263_6	hemC//idnK//
go_0009264_6	hcaE//ydfG//
go_0009265_7	ribE//
go_0009266_4	waaF//pgaB//moaA//paaC//mrcB//lysC//
go_0009267_5	pgpB//slyD//
go_0009268_4	pyrB//
go_0009271_4	
go_0009273_5	
go_0009290_6	
go_0009294_5	recO//
go_0009297_6	
go_0009298_7	hycB//trmO//tdcD//
go_0009305_7	uxaA//
go_0009306_4	
go_0009311_5	
go_0009314_4	ilvH//serS//rlmD//caiB//mltA//insI-1//uxuA//dmsC//fumB//gmk//rne//waaO//gutQ//ybiV//malQ//rsmJ//rlmH//
go_0009372_5	ahr//thiC//narZ//
go_0009396_6	tig//garD//
go_0009398_7	etk//
go_0009401_7	ygeX//gatY//gluQ//wecC//uxaC//purC//treC//nanA//hemG//eptC//gadB//guaD//pgpC//narY//argH//fumC//malZ//glcB//insI-1//accB//
go_0009403_5	
go_0009405_4	
go_0009407_3	umuD//
go_0009408_4	glcF//wecB//avtA//glcF//narG//cysG//cpsB//cyoE//mutT//pheA//rlmA//ppiC//alsK//nanK//cynT//entB//araA//mngB//scpC//pgaC//aroH//mocA//cdsA//gshB//mtlD//ybcF//
go_0009409_4	trmJ//tsaB//
go_0009410_4	gmhB//
go_0009411_6	rutB//paaZ//pdxB//aroE//pdxB//rph//mrcA//recJ//rnpA//
go_0009416_5	thiD//accA//
go_0009423_8	cyaA//tdk//rlmD//umpG//
go_0009432_5	pdxA//glnA//cpdB//rutE//mnmA//
go_0009435_9	mnaT//acnA//ubiH//citX//pykF//
go_0009436_6	lpxH//pldB//araA//patD//
go_0009437_5	
go_0009438_5	
go_0009440_6	pgaB//caiD//fucI//
go_0009442_7	tmk//patA//ghrB//metC//dmlA//
go_0009443_5	pldB//glk//deoB//
go_0009446_6	moaD//sodB//
go_0009447_6	recJ//frlB//nadC//rlmM//folA//ynfH//nfi//gabD//
go_0009450_6	thiG//accA//metF//tsaE//
go_0009451_6	yieF//cysQ//panD//uvrC//
go_0009593_4	
go_0009597_5	
go_0009636_4	hcaD//aldB//araB//rsmI//plsB//
go_0009637_6	
go_0009651_5	
go_0009697_5	puuE//
go_0009758_2	pbpC//
go_0009785_5	
go_0009970_6	rlmG//ppc//menE//
go_0009972_10	cdh//
go_0009992_5	torY//mutH//hyi//
go_0010033_4	
go_0010038_5	
go_0010039_6	ahr//
go_0010041_7	yeaG//hisB//
go_0010042_6	fklB//
go_0010043_6	dxr//cfa//
go_0010045_6	yrfG//
go_0010106_6	
go_0010124_4	recF//eutD//yciV//nadA//sdhB//mazG//lpxB//mazG//
go_0010133_7	apt//
go_0010139_7	galT//
go_0010165_6	xdhB//paaJ//selD//asd//polA//birA//rne//purC//
go_0010212_5	ynfE//
go_0010226_6	leuS//
go_0010243_5	
go_0010272_6	dinB//
go_0010273_4	thrA//nadC//pdxK//
go_0010312_3	cyoE//
go_0010332_6	
go_0010350_6	
go_0010438_6	proB//rsuA//
go_0010447_5	frdB//luxS//
go_0010468_6	queG//
go_0010498_6	aceF//ftsI//valS//nadE//
go_0010501_7	tsaE//fucI//
go_0010557_7	
go_0010608_7	prs//
go_0010628_7	
go_0010629_7	lpxC//
go_0010676_7	
go_0010699_4	paaA//trmL//
go_0010810_5	
go_0010876_4	
go_0010911_5	
go_0010921_6	
go_0010951_8	
go_0010967_6	
go_0010974_7	
go_0012501_4	
go_0014070_5	trmI//alsK//dmlA//tdk//yjcS//pheS//purT//bioF//waaU//
go_0015031_5	menB//asnS//miaA//ahr//suhB//tig//yqjH//bioB//
go_0015074_6	
go_0015628_5	
go_0015670_6	ansA//
go_0015673_9	rfe//
go_0015675_9	arnB//
go_0015679_10	rlmH//
go_0015682_8	mhpC//
go_0015684_9	panE//umuC//sdhC//coaD//
go_0015685_8	yfcF//phnI//
go_0015687_7	narV//
go_0015688_6	dapD//moaE//
go_0015689_8	pgk//
go_0015691_9	queC//araB//
go_0015692_8	eutD//
go_0015693_9	serC//
go_0015696_6	selD//
go_0015698_7	nfsB//
go_0015699_8	tdh//
go_0015700_8	cmoA//
go_0015706_6	thiI//glpK//hemB//
go_0015707_6	xylB//purC//kdsB//patA//
go_0015709_6	mtn//
go_0015710_8	phnO//pgsA//
go_0015712_7	solA//
go_0015718_8	moaE//
go_0015721_7	serB//pcm//dmsC//
go_0015724_7	nirB//
go_0015726_8	narG//
go_0015733_7	ppc//
go_0015734_6	prpC//
go_0015736_9	rutC//
go_0015739_7	paaH//
go_0015740_9	pcm//puuA//eptC//
go_0015741_10	valS//udk//
go_0015747_6	menB//
go_0015748_6	paaG//
go_0015749_7	icd//ilvB//nagZ//mrcA//ispU//wecC//valS//
go_0015751_9	pabA//yciA//
go_0015752_9	speC//ogt//
go_0015753_9	cobS//tdcG//
go_0015754_9	ssuD//
go_0015755_9	uxaA//glpD//dmlA//
go_0015756_9	nfsB//tauD//
go_0015757_9	rlmE//rlmE//manA//galE//
go_0015760_8	dinB//
go_0015761_9	ilvE//
go_0015762_9	argG//
go_0015764_7	ligB//uxaC//rpiA//
go_0015765_8	coaE//nrfD//
go_0015767_9	rnb//hflX//dfp//
go_0015768_9	ubiX//trpS//prpC//
go_0015769_9	ynfE//
go_0015771_9	phnO//rsmI//truB//
go_0015772_7	gadB//allD//allB//
go_0015774_7	rpiB//
go_0015778_7	clsA//
go_0015793_7	sad//aceF//
go_0015794_7	miaA//rsmE//
go_0015795_7	trmO//accB//
go_0015796_7	paoC//
go_0015797_7	cheB//yjcS//ogt//
go_0015803_7	thrB//fadE//panE//
go_0015804_7	purN//mrcB//
go_0015806_6	fucK//
go_0015807_7	fbaA//treA//mobA//lsrK//ltaE//ndh//
go_0015808_8	rlmI//uvrA//
go_0015809_7	arsC//
go_0015810_8	hemE//glxK//
go_0015811_7	ampH//bglX//
go_0015813_6	cueO//bioF//lpxK//
go_0015814_7	mltC//
go_0015816_6	mepS//
go_0015817_7	ydiO//folE//
go_0015818_7	hemE//ybjI//
go_0015820_7	murF//ldtB//yieH//tpiA//abgB//
go_0015821_7	etk//mhpA//
go_0015822_7	idnD//
go_0015823_7	pldB//ygeX//entE//glgX//csdA//
go_0015824_7	glpX//argI//trpC//
go_0015825_8	argD//
go_0015826_7	tatD//ilvH//sdaB//
go_0015827_7	hemG//rpiB//btuR//
go_0015828_7	kbaZ//mak//
go_0015829_7	hcaE//dgcZ//lysS//
go_0015830_7	yjhH//
go_0015833_6	aroG//yidA//hcaB//gatZ//glpA//rihC//aroG//murB//entD//proC//
go_0015834_7	mltD//dsdA//
go_0015835_6	aroH//
go_0015836_7	rsmF//glxR//
go_0015839_7	rsuA//
go_0015846_6	hisD//ispH//
go_0015847_7	yfeX//phnM//truC//xapA//moaA//
go_0015848_7	waaJ//napA//
go_0015851_6	
go_0015853_8	hemF//rdgB//
go_0015856_8	acnB//
go_0015857_6	murB//dacA//
go_0015858_7	gshB//kbaZ//rutB//
go_0015860_7	rnd//cdh//
go_0015861_9	dnaE//cpdA//
go_0015862_9	cof//atoB//
go_0015863_8	cysS//
go_0015864_8	nfi//
go_0015871_6	aroK//thiL//folE//yqhD//
go_0015878_6	
go_0015879_9	rsmE//
go_0015882_7	ispA//
go_0015886_6	ppsA//ldtB//
go_0015887_7	phnI//
go_0015888_6	sdhB//
