# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	lpxD//guaA//
CpxR-Phosphorylated_pos	galM//ilvC//fadI//hcp//fadE//malS//ubiX//tadA//epd//xdhB//metC//bglB//moeB//metC//nrfA//ssuD//fumB//ugpQ//xdhC//
CreB-Phosphorylated_neg	lpd//
CreB-Phosphorylated_pos	xdhB//nrfB//
CueR-Ag_neg	deoD//trpA//
CueR-Ag_pos	ppiA//ampD//
CueR-Cu+_neg	fucU//lacZ//
CueR-Cu+_pos	ilvG_1//argB//
CuerR-Au_neg	phnI//psd//
CuerR-Au_pos	pheS//ubiG//
CusR-Pasp_pos	fes//betA//paaC//
CynR-Cyanate_neg	
CynR-Cyanate_pos	fadB//gabD//entC//
CysB-N-acetyl-L-serine_neg	trpE//recF//ybjG//
CysB-N-acetyl-L-serine_pos	metH//ubiX//garK//nrdF//citD//serA//sodA//pheT//atoA//ynfH//hycE//astD//alkA//
CysB-O-acetyl-L-serine_neg	fadD//rdoA//bioF//
CysB-O-acetyl-L-serine_pos	icd//amn//rnpB//preA//phnG//torC//napB//allC//umpH//garR//entF//ilvH//glgB//sdhB//
DcuR-Phosphorylated_pos	prs//uxaC//acnA//phnL//
DnaA-ATP_neg	dkgB//polA//aroF//moaD//tyrB//
DnaA-ATP_pos	hypF//uxaB//nirD//
DpiA-Pasp_neg	
DpiA-Pasp_pos	hyaC//paaF//hyaC//gpsA//moeA//
DsdC-D-serine_neg	
DsdC-D-serine_pos	ubiA//codA//
EvgA-Phosphorylated_pos	uxuB//speB//fadB//glcE//ilvM//
FNR-Fe_neg	aspC//narH//cheB//glpE//aldB//glcE//entE//argB//caiA//ynfG//argC//mdh//citG//deoD//lpxD//frdD//mhpB//gadB//ynfH//gabD//sucD//mdh//gpmA//sdhD//phnP//torA//napB//lpxB//tehB//bcsZ//miaA//phnN//uxaB//phoA//dapB//entH//metL//ilvN//rhaA//hpt//codA//xylA//puuD//lsrK//citF//nrfB//mhpA//
FNR-Fe_pos	thrS//fumA//paaC//malS//paaF//glnA//cysC//metC//cheB//pheS//glgX//dusB//phnG//galM//fadB//recF//pncB//gntK//paaH//lysC//mutL//rnpB//lsrK//dgcZ//prmC//uxaB//bioA//gltD//phnG//galM//mdh//mutL//gltD//ubiC//sdhA//hycG//manA//ilvN//gpmA//sucC//ogt//gltB//ansB//moeB//glcE//sodB//rutB//entH//hemA//entB//torC//narI//lldD//aroF//serC//hypF//ybjG//hpt//ampD//aspA//fes//gcvH//prpB//cysJ//nrdE//tdcE//lpd//tdh//araB//fadA//moaD//murQ//ogt//nrdE//ackA//nrdE//caiD//tauD//glcD//purK//mtlD//phnP//sodB//ybjG//hycE//treC//frc//glpC//lpxB//purM//deoD//mtlD//
FhlA-Formate_pos	citX//carA//rdoA//astB//hycG//paaF//torA//
FucR-L-fuculose-1-phosphate_pos	preT//entB//moeA//lldD//sucB//puuA//
Fur-Fe2+_neg	ndh//dadX//pgk//ilvH//yfeW//pflB//gabD//deoB//ackA//ynfH//gpsA//xdhC//cysC//epd//ynfG//murQ//pyrD//nirD//idnD//truB//cynS//purB//ssuD//yjeF//ynfE//dnaE//fadA//galT//mhpD//fucI//lpxB//cadA//rdoA//carA//dgcZ//rnpB//speB//phnH//metK//sufS//nrfA//pta//ybjG//rdoA//mhpA//speB//fadA//preT//glpB//argG//hpt//citE//miaA//metL//fadB//gabD//prpE//malS//puuC//
Fur-Fe2+_pos	ilvA//sodB//hypB//xylA//malS//cysG//hycF//mhpC//pyrC//pgk//puuA//patZ//gcd//glgC//nrdD//ilvC//metK//cheB//argA//pgpC//
Fur-Mn2+_neg	speB//uvrA//glgP//phnI//cyoE//araA//uxaA//pgaC//miaA//acs//nanA//ilvI//entD//bacA//sufS//glcB//malS//hmp//glcE//ssuE//dadX//paaF//bioC//speB//rnpB//fadB//tauD//melA//trmD//bcsA//nanK//argF//malP//adhE//nrdE//rutC//entH//puuD//prmC//xylB//tadA//truB//melA//glgC//glpC//gutQ//napB//acs//yqjH//allD//fadA//ynfF//paaF//fumB//lpxA//hyaB//pheT//miaA//gnd//
Fur-Mn2+_pos	miaA//ilvB//bioD//lysC//purN//fucO//entA//paaF//puuB//sucD//paaC//mhpA//puuD//phnO//truB//moaE//argB//rbsD//alaA//nrdE//
GlcC-Acetate_neg	
GlcC-Acetate_pos	napH//argH//recF//
GlcC-Glycolate_neg	
GlcC-Glycolate_pos	metL//sdhC//moaE//
GlrR-Pasp56_pos	
IclR-pyruvate_neg	carA//gatD//folA//
IdnR-5-ketogluconate_neg	sdaA//sucC//
IdnR-5-ketogluconate_pos	argE//cysJ//citC//cysH//
IdnR-Idonate_neg	yeaE//malS//
IdnR-Idonate_pos	pyrD//entD//metB//puuE//
IlvY-2-acetolactate_neg	
IlvY-2-acetolactate_pos	napC//
IlvY-Alfa-acetohydroxybutirate_neg	
IlvY-Alfa-acetohydroxybutirate_pos	aroG//
IscR-2Fe_neg	cheB//ynfG//sucB//dapB//yfdE//
IscR-2Fe_pos	melA//fes//
LldR-L-lactate_neg	deoD//napH//
LldR-L-lactate_pos	glyA//ahpC//
Lrp-Leucine_neg	glgB//aceA//argF//polA//argI//nanA//ilvC//tyrA//ilvG_2//ampD//pncB//recF//ugpQ//metC//pgk//frdC//pheS//sodB//metC//trpA//pncB//cheB//deoD//mpl//
Lrp-Leucine_pos	nrdD//gatY//nrdD//aceF//torA//araB//uxuA//gatY//katE//uidA//pgaC//mhpD//pyrD//cueO//sucD//ybjG//recF//gatZ//
LsrR_neg	fadH//uvrA//rutE//paaG//lsrK//
MalT-ADP-Maltotriose_pos	deoB//fadE//ahpC//entC//aceE//betB//
MalT-Maltotriose-ATP_pos	ackA//betB//tdcD//nagA//xylB//araA//
MelR-Melibiose_neg	ilvE//gltB//
MelR-Melibiose_pos	glgC//eda//
MetJ-S-adenosylmethionine_neg	hyaA//ulaD//glpA//uxuB//idnK//ahpC//hemA//aceA//gdhA//lsrG//
MetR-L-homocysteine_neg	trpC//
MetR-L-homocysteine_pos	pheS//tdcB//glpE//deoC//
MhpR-3-DHPP_pos	araD//bcsZ//nagB//frdC//pyrC//hypF//
MhpR-3HPP_pos	pgaD//napB//metK//hyaB//speB//fucI//
MntR-Cd2+_neg	nrdB//
MntR-Cd2+_pos	glcD//
ModE-MoO42-_neg	speC//cysH//ampD//tyrB//lpxA//nrfA//astD//glpB//
ModE-MoO42-_pos	psd//gapA//deoA//lpxD//gltA//xapA//
NarL-Phosphorylated_neg	galT//adhE//atoD//moeB//trpA//ynfH//ynfH//glpD//moaD//citF//trmD//gadB//ldtC//sucA//frdD//truB//moaA//malS//ilvD//cysK//cysG//purN//bglB//alkB//
NarL-Phosphorylated_pos	argE//phnL//argD//trpB//lpxD//bacA//speA//xylA//alkB//uxaC//ubiG//moeB//ung//carB//ilvG_1//
NarP-Phosphorylated_neg	tdcG//astB//napB//
NarP-Phosphorylated_pos	glpQ//malP//tdcD//yqjH//ynfE//paaI//lpd//pta//mhpC//garR//
NhaR-Na+_pos	entH//pflB//codA//ulaD//
NikR-Cd2+_neg	agp//
NikR-Co2+_neg	frdA//
NikR-Cu2+_neg	phnH//
NikR-Ni2+_neg	miaA//
NikR-Zn2+_neg	mhpD//
NrdR-ATP_neg	gdhA//pyrD//hflX//ung//
NrdR-Zn2+_neg	dgcZ//aldB//gatZ//pheT//
NrdR-dATP_neg	paaE//phnO//uvrA//ynfE//
NsrR-2Fe_neg	garK//codA//alaS//tdh//thrS//serC//ssuD//pgaB//entE//lpxA//nagB//gutQ//carA//aceF//trpD//acs//ybjG//manA//narG//tadA//purA//galK//glcE//phnG//glpK//acs//hypF//narH//deoA//ubiC//
PhoB-Phosphorylated_neg	miaA//ubiC//bcsA//citE//cheR//
PhoB-Phosphorylated_pos	dsdA//atoA//folE//betA//manA//nirD//metL//malY//cpdB//astA//phnJ//mutY//uxaA//hycD//nrdF//gpmA//uxuA//
PhoP-Phosphorylated_neg	tnaA//uxaA//hycC//
PhoP-Phosphorylated_pos	frc//argA//trpA//cdd//ulaD//ahpC//nrdD//gatZ//caiC//dapD//tadA//ilvM//argC//metB//pheS//folA//purD//phnM//idnD//yeaE//nrdD//prmC//agp//ispE//lacZ//sdaA//ahpC//glyA//gpsA//nrdD//ubiX//cysN//glgX//rdoA//
PrpR-2-methylcitrate_neg	
PrpR-2-methylcitrate_pos	napB//frdC//ubiX//metC//
PurR-Guanine_neg	dgcZ//araB//rutD//napG//rbsD//cysG//argD//aldA//gpmA//alaS//ilvB//agp//nagA//araD//cheR//gatD//sufS//bglB//allE//rhaA//yfeW//argB//ndh//uxaA//entF//glcB//gatY//
PurR-Hypoxanthine_neg	nadC//uxuB//mpl//udp//citF//ftnA//frdB//polA//glgX//narG//katG//ynfE//umpH//argD//bcsB//hypB//frdC//atoD//cueO//icd//pgaC//abgA//purC//melA//speA//paaA//cdd//
QseB-Phosphorylated_pos	
RhaR-L-rhamnose_pos	
RhaS-L-rhamnose_pos	serA//trpD//nirD//
RstA-Phosphorylated_neg	oxc//hycE//
RstA-Phosphorylated_pos	sdhB//
SoxR-2Fe_neg	
SoxR-2Fe_pos	cdd//ilvM//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	aroF//mhpD//rutD//
TrpR-Tryptophan_neg	ugpQ//ubiG//ynfE//entF//lpxD//mutL//purH//kbl//puuB//
TyrR-L-tryptophan_neg	prpE//betA//pgaB//katG//ilvD//mhpF//lsrF//
TyrR-L-tryptophan_pos	tyrB//hmp//mpl//
TyrR-Phenylalanine_neg	amn//tyrB//idnO//sucC//napA//ilvD//moaA//
TyrR-Phenylalanine_pos	ackA//fucU//deoA//
TyrR-Tyrosine_neg	pta//lpxA//napB//acs//allE//uxaC//ahpF//
TyrR-Tyrosine_pos	polA//metA//puuB//
UhpA-Phosphorylated_pos	aldA//
XapR-xanthosine_pos	mutY//glpA//
XylR-Xylose_pos	malS//gatY//nadC//
ZntR-Cd2+_pos	gcvP//
ZntR-Hg_pos	napH//
ZntR-Zn2+_pos	edd//
ZraR-Phosphorylated_pos	
Zur-Zn2+_neg	ubiG//
