# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	nagB//paaA//
CpxR-Phosphorylated_pos	guaA//lysC//tnaA//puuB//srlD//purK//garR//fucA//aspC//ynfH//galM//metE//hflX//glcD//idnK//glgA//galT//fabZ//mltC//
CreB-Phosphorylated_neg	malS//
CreB-Phosphorylated_pos	bioC//gdhA//
CueR-Ag_neg	nagB//malP//
CueR-Ag_pos	ilvG_1//pheS//
CueR-Cu+_neg	lsrK//ackA//
CueR-Cu+_pos	puuE//atoA//
CuerR-Au_neg	mdh//uxuA//
CuerR-Au_pos	psd//purA//
CusR-Pasp_pos	lldD//betA//chbG//
CynR-Cyanate_neg	
CynR-Cyanate_pos	entC//aroF//xdhC//
CysB-N-acetyl-L-serine_neg	puuA//metE//fes//
CysB-N-acetyl-L-serine_pos	pgaB//glcD//aceB//lpxD//fbaA//citE//dmsC//entC//ynfG//nrfA//hemA//ahpF//lpd//
CysB-O-acetyl-L-serine_neg	tdcE//chbG//napA//
CysB-O-acetyl-L-serine_pos	talA//trpB//guaB//gdhA//malY//entC//ascB//trpA//galE//nrdD//allC//puuA//uxuB//araD//
DcuR-Phosphorylated_pos	frdC//metC//aspC//bacA//
DnaA-ATP_neg	galE//ampD//entA//ilvG_1//puuA//
DnaA-ATP_pos	galT//hycE//codA//
DpiA-Pasp_neg	
DpiA-Pasp_pos	codA//oxc//paaG//gatD//lysU//
DsdC-D-serine_neg	
DsdC-D-serine_pos	sucA//psd//
EvgA-Phosphorylated_pos	pagP//ilvH//ilvM//fucI//guaA//
FNR-Fe_neg	cheR//cynT//glpD//deoB//ubiX//gpsA//ansB//feaB//cysJ//fadD//rutA//cheR//preA//phnJ//pck//cdd//bioF//cdd//udp//lhgO//dapB//entA//hycF//speC//prpB//cueO//cpdB//pflB//malY//dkgB//hyaC//cyoE//glgP//glgC//glgP//metL//talA//citE//cheB//gdhA//lacA//gnd//purA//sodB//fadH//allE//glpD//
FNR-Fe_pos	aldB//dmsC//hemL//trpC//hycD//citE//kbaZ//lpd//rhaB//purL//sufS//araD//tyrA//ldtC//fadD//rdoA//ndh//dmsB//ascB//paaJ//dapD//fbaA//moaA//fdhF//epd//napC//cysH//puuE//epd//paaH//eda//alkA//ynfE//aceB//gcvH//chbF//bioC//rutB//alkB//cynS//dadX//cysI//bglB//ansB//argD//purF//dadA//gltD//ndh//hycF//mtlD//garL//argF//gabD//yeaE//truB//ilvC//moaE//speA//bcsZ//gltD//hycC//glpC//ackA//bacA//citD//pheT//trpB//ilvH//allC//aspA//lpxB//pnp//codA//bioD//dnaE//iscS//gcvT//glcE//fucA//dmsA//xdhC//napH//cysJ//dapB//betA//lpxA//metB//cysJ//fadI//bioA//hycD//
FhlA-Formate_pos	lsrG//dmsA//ahpF//caiC//dapB//pgaC//purL//
FucR-L-fuculose-1-phosphate_pos	edd//trpE//polA//puuD//umpH//cdd//
Fur-Fe2+_neg	nrdF//entC//ndh//pta//rhaB//tktB//aceB//pncB//umpH//ung//rutA//ynfF//ung//mhpB//codA//ilvG_2//fadE//guaA//ulaE//yqjH//astD//abgB//alaA//glcF//lysA//chbF//cysD//metE//allD//fumA//mhpD//entD//dapB//astB//abgB//hmp//puuA//iscS//abgB//phnM//metE//gatZ//sucB//dusB//glgA//purH//frdA//citE//pgaD//sufS//ynfE//frc//citD//cysI//gapA//entB//hypB//aroH//aroG//
Fur-Fe2+_pos	cysM//paaB//malQ//sodA//ada//deoA//argI//patZ//fadJ//fumB//agp//malS//mutL//entC//glpC//puuC//gltD//nagB//phnH//bioA//
Fur-Mn2+_neg	ybjG//pncB//tdcE//gcvP//metF//uvrA//gadB//phnP//betA//nadC//glpE//phnH//alkA//sucB//sdhD//mhpE//dgcZ//cysD//dnaE//entB//hemL//murQ//pflB//napC//aspA//lsrK//ada//caiD//fumC//fadA//rhaD//nrfA//prs//prs//nagA//allD//cueO//citE//abgB//phnG//fadJ//lysC//ilvM//argH//hpt//folE//ybjG//ynfF//allD//rbsK//garR//phnP//preA//fadI//sodB//sucC//fumC//kbaZ//aroA//
Fur-Mn2+_pos	aldB//polA//trmD//nrdB//metK//uxaB//sodA//tehB//ilvE//astA//puuC//xylB//mutL//entE//phnH//upp//psd//nrfA//trpC//cysH//
GlcC-Acetate_neg	
GlcC-Acetate_pos	nrdA//deoC//pagP//
GlcC-Glycolate_neg	
GlcC-Glycolate_pos	aroH//cysC//prs//
GlrR-Pasp56_pos	
IclR-pyruvate_neg	fadE//argG//astA//
IdnR-5-ketogluconate_neg	garL//ilvC//
IdnR-5-ketogluconate_pos	acnB//yfeW//ilvM//gapA//
IdnR-Idonate_neg	abgA//glgP//
IdnR-Idonate_pos	guaB//mdh//paaB//purK//
IlvY-2-acetolactate_neg	
IlvY-2-acetolactate_pos	bioD//
IlvY-Alfa-acetohydroxybutirate_neg	
IlvY-Alfa-acetohydroxybutirate_pos	lysU//
IscR-2Fe_neg	acs//dgcZ//glpX//hypB//astD//
IscR-2Fe_pos	codA//uidA//
LldR-L-lactate_neg	appA//paaH//
LldR-L-lactate_pos	metF//tyrB//
Lrp-Leucine_neg	citE//gatY//glcE//ynfH//hyaB//serA//purE//carA//sodA//lpxB//galK//lpxD//glyA//frdD//mtlD//dusB//prpE//xylA//ilvI//ilvE//eda//galM//glcB//lpd//
Lrp-Leucine_pos	nirD//ssuD//paaJ//gnd//hyaA//fadH//glpX//recF//gutQ//bcsZ//bioC//hycB//entC//citX//aroH//rutB//sucC//torC//
LsrR_neg	fbaA//psd//ung//tktB//fucA//
MalT-ADP-Maltotriose_pos	xylB//cynT//citC//nanK//bcsZ//paaG//
MalT-Maltotriose-ATP_pos	idnD//purN//fucO//mhpA//kbl//ung//
MelR-Melibiose_neg	uxaA//hpt//
MelR-Melibiose_pos	allD//lsrF//
MetJ-S-adenosylmethionine_neg	dmsB//hflX//fumA//udp//frc//prmC//cdd//gabD//caiD//truB//
MetR-L-homocysteine_neg	bcsA//
MetR-L-homocysteine_pos	yfdE//galM//astA//fau//
MhpR-3-DHPP_pos	pflB//aspA//narH//puuA//purF//prmC//
MhpR-3HPP_pos	ulaF//waaH//epd//bioF//phnM//miaA//
MntR-Cd2+_neg	ung//
MntR-Cd2+_pos	ahpC//
ModE-MoO42-_neg	malS//bcsA//phnJ//dapB//sucC//dapD//ssuE//frdD//
ModE-MoO42-_pos	entB//ilvA//kbl//hycG//gutQ//purK//
NarL-Phosphorylated_neg	uxaC//yfbR//gabD//malP//hycF//udp//hemL//mhpC//purC//entD//aroF//uvrA//nirB//dsdA//ynfF//bcsZ//citD//glcB//ppiA//frdD//mtlD//nrdB//cysH//napG//
NarL-Phosphorylated_pos	fadE//cysN//ubiG//xdhC//galK//sodA//iscS//abgB//nrfC//argD//phnP//ackA//rutA//caiC//argE//
NarP-Phosphorylated_neg	fdhF//cyoE//glgB//
NarP-Phosphorylated_pos	glpA//atoA//abgA//yfbR//dnaE//bioA//gnd//fbaA//nadC//pyrD//
NhaR-Na+_pos	xdhA//tdcB//uidA//ilvB//
NikR-Cd2+_neg	kbl//
NikR-Co2+_neg	melA//
NikR-Cu2+_neg	ung//
NikR-Ni2+_neg	fumC//
NikR-Zn2+_neg	hyaA//
NrdR-ATP_neg	cysH//malQ//uidA//frdB//
NrdR-Zn2+_neg	acs//tam//ftnA//fadH//
NrdR-dATP_neg	treC//napC//entC//ynfE//
NsrR-2Fe_neg	deoC//ilvM//frdB//ssuE//yfdE//truB//entD//argG//atoA//gpmA//mutY//cynT//fdhF//napG//metC//argC//bglB//srlD//bcsB//entC//pgaC//ftnA//xdhB//cysC//metB//ilvN//entE//pgaB//ascB//agp//
PhoB-Phosphorylated_neg	tktB//guaA//ubiC//sdhB//napB//
PhoB-Phosphorylated_pos	fbaA//nrdF//argH//trpC//tktB//mtlD//aroA//bglB//aroA//tdcD//polA//ispE//ung//citE//mutY//lhgO//carB//
PhoP-Phosphorylated_neg	alaS//nrdF//carB//
PhoP-Phosphorylated_pos	slt//manA//dgcZ//carB//nanK//nanE//lpxA//galT//glpB//sdaA//glpB//sucC//miaA//agp//malZ//ilvC//puuE//puuA//mhpC//ogt//aroA//prpB//sufS//prpD//katE//xdhC//ulaD//nanE//avtA//glcE//fadI//prmC//ugpQ//udp//
PrpR-2-methylcitrate_neg	
PrpR-2-methylcitrate_pos	glpQ//nirB//citF//hyaA//
PurR-Guanine_neg	xdhC//sdaA//glcB//waaH//rhaB//abgA//tdcG//malP//metA//hycB//sucC//eda//napC//cyaA//gpsA//speA//ahpF//pdeF//kbaZ//trmD//metK//alaA//glcB//ilvG_1//gcvH//lacA//phnM//
PurR-Hypoxanthine_neg	guaA//ulaF//pheT//metB//xdhA//sdhD//lysU//alkA//ilvC//purN//aroA//uidA//argI//phnM//deoD//moeB//rbsK//aroA//ilvH//tam//citE//xylB//tsaE//bioB//gntK//glcF//trpC//
QseB-Phosphorylated_pos	
RhaR-L-rhamnose_pos	
RhaS-L-rhamnose_pos	yfeW//appA//galE//
RstA-Phosphorylated_neg	fucU//cynS//
RstA-Phosphorylated_pos	entB//
SoxR-2Fe_neg	
SoxR-2Fe_pos	uxuA//edd//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	prs//metL//guaA//
TrpR-Tryptophan_neg	manA//gutQ//fau//entF//nrdB//metL//fumC//tyrA//prmC//
TyrR-L-tryptophan_neg	purF//purF//gatD//carA//gadB//galT//araD//
TyrR-L-tryptophan_pos	fau//nirD//alaS//
TyrR-Phenylalanine_neg	astD//nanA//argB//hycC//ilvB//nadC//argF//
TyrR-Phenylalanine_pos	metA//nirD//aceF//
TyrR-Tyrosine_neg	citC//puuA//patZ//nrdF//ugpQ//oxc//recF//
TyrR-Tyrosine_pos	acnB//bioF//rbsK//
UhpA-Phosphorylated_pos	mtlD//
XapR-xanthosine_pos	cysJ//nanK//
XylR-Xylose_pos	hycE//phnP//paaG//
ZntR-Cd2+_pos	nrdE//
ZntR-Hg_pos	hmp//
ZntR-Zn2+_pos	ynfE//
ZraR-Phosphorylated_pos	
Zur-Zn2+_neg	oxc//
