# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	dapB//pnp//
CRP-cAMP_pos	speA//astD//tdcE//fucU//fdhF//speA//guaB//xdhB//guaB//aroL//paaA//sdaA//bglB//napA//gatZ//metF//citE//napC//pgpC//fadD//guaB//prpE//icd//fadI//serA//garR//uxaA//purB//melA//cysG//galT//nrfD//dkgB//dsdA//ssuD//ilvG_2//pagP//napG//ilvM//araB//gntK//tadA//gltB//dusB//ansB//ynfE//tdh//uxuB//yfdE//glcD//glgX//lpd//citG//treC//acs//eda//ampD//feaB//torA//glpX//bioC//aceB//purE//fucA//glpX//cheB//trpC//sufS//mtlD//frc//pck//sodA//astD//dnaE//argE//purB//frdA//gltA//aspA//ubiX//uxuB//napA//rutB//frdA//bacA//paaB//bioC//lysC//mhpD//phnH//ulaD//lsrG//nrfB//feaB//rutE//nadC//entB//fucU//ackA//gabT//ilvG_1//purK//citE//ubiG//abgB//dmsB//pgpC//torC//fucK//rutD//fdhF//dapB//aceF//rhaB//napC//paaA//treC//gltA//hycF//aroG//ulaF//icd//betA//gpmA//glpB//purL//bcsA//recF//allD//pnp//mhpD//gabT//glgA//folE//sodA//betA//glcD//glgP//lsrG//pgk//aroH//garR//nanM//argG//sdhC//puuC//puuA//fumB//fumB//lsrK//aroG//gcvP//pnp//phnP//dmsC//ahpC//alaS//cynS//zwf//dapB//gpmA//purL//aceB//gatZ//xdhA//alkA//folE//katE//sdhD//abgB//nanA//dapD//hyaC//preA//ogt//moaA//tehB//fucU//fadJ//xdhA//mhpD//serA//glyA//aceF//chbF//idnK//mdh//sucD//ynfE//cysN//gcvP//fbaA//pdeF//cysM//mhpF//bacA//glcB//glgC//tdcD//uxaA//tdcB//nrdB//agp//metL//astA//nagB//puuD//narI//lpd//ynfH//yfdE//sdhA//fabZ//frc//astC//narI//trpB//astC//ispE//ansB//pagP//idnO//slt//tauD//aceF//idnK//astE//ung//psd//nirD//galK//pheT//entE//malQ//ilvC//nagA//sucC//ynfE//purF//acnA//sodA//narH//ilvI//
ChbR-Monoacetylchitobiose-6P_neg	pgpC//argB//purB//
ChbR-Monoacetylchitobiose-6P_pos	cdd//pheS//nanA//
CpxR-Phosphorylated_neg	tdh//mutL//ispE//
CpxR-Phosphorylated_pos	patZ//rutC//pflB//fau//gcvT//mhpF//trpA//moeB//tktB//metE//fadE//malY//uxaC//purD//torC//caiC//napA//bglB//citG//
CreB-Phosphorylated_neg	entB//
CreB-Phosphorylated_pos	sucD//malP//
CueR-Ag_neg	sdhB//hycE//
CueR-Ag_pos	aceB//metL//
CueR-Cu+_neg	sdhC//phnG//
CueR-Cu+_pos	glgA//fadD//
CuerR-Au_neg	prpB//nanA//
CuerR-Au_pos	gabT//pgaC//
CusR-Pasp_pos	gltA//lhgO//xapA//
CynR-Cyanate_neg	
CynR-Cyanate_pos	lysC//araD//bioF//
CysB-N-acetyl-L-serine_neg	fbaA//preT//ssuE//
CysB-N-acetyl-L-serine_pos	rbsK//purA//icd//hflX//nanA//atoD//citC//purC//mpl//epd//ahpC//malP//entH//
CysB-O-acetyl-L-serine_neg	cheR//puuE//dadA//
CysB-O-acetyl-L-serine_pos	nanM//yjeF//argI//lacZ//purK//tdcG//folA//hycD//phnO//argG//cynT//xylB//mltC//nrdB//
DcuR-Phosphorylated_pos	deoC//hypB//miaA//hycE//
DnaA-ATP_neg	bcsB//lhgO//aceA//uvrA//bioC//
DnaA-ATP_pos	paaA//sucA//ubiA//
DpiA-Pasp_neg	
DpiA-Pasp_pos	argF//katG//hypF//acnA//iscS//
DsdC-D-serine_neg	
DsdC-D-serine_pos	astA//entE//
EvgA-Phosphorylated_pos	phnI//mhpE//ppiA//argA//gltB//
FNR-Fe_neg	fadE//argA//fucO//hcp//prs//ynfE//mhpB//dkgB//gapA//ilvD//glcB//sdhA//astE//ispE//gpmA//lysU//nadC//entD//entE//pgaB//entD//avtA//hycG//ilvE//gcvH//gcd//cynS//paaH//sodB//murQ//dsdA//iscS//tktB//ilvG_2//appA//ssuD//bioF//gdhA//gntK//rutB//allD//astA//ilvG_1//prpB//rbsK//galE//caiA//
FNR-Fe_pos	cysC//fumA//prpC//ulaE//malQ//fumA//bcsA//dmsB//araB//narI//waaH//tdcE//gatD//frc//manA//glpC//preA//dmsC//ilvG_2//cysC//carA//atoD//phnO//mtlD//fadA//pdeF//paaG//purL//dmsC//purN//cynT//citG//yqjH//citF//prpD//ubiA//moeB//fadA//ada//acs//purH//phnL//argI//tktB//alkB//ilvB//abgA//cysI//acnB//ilvC//yfeW//puuC//cheB//lacZ//gatZ//paaH//nadC//glyA//pncB//sucA//gapA//purL//glpK//serC//sucA//entD//nadC//pta//phnL//avtA//allC//rutE//fabZ//glcE//psd//sdaA//allE//chbG//fucA//cysK//gltB//manA//entB//atoA//bioF//idnO//betB//trpD//pheS//treC//hycC//pta//
FhlA-Formate_pos	atoD//dapB//patZ//recF//amn//ilvN//phnN//
FucR-L-fuculose-1-phosphate_pos	sucD//astE//paaG//speC//fumC//entC//
Fur-Fe2+_neg	hypF//garL//feaB//gcd//cyoE//lpd//metF//paaK//eda//entB//idnK//hyaB//torA//dkgB//torC//aldB//hycB//yfdE//moeA//hflX//pck//ubiC//melA//allE//glpE//hflX//alkB//cynS//glpQ//idnO//pheT//ilvH//phnG//phnP//prpD//paaA//fumB//rnpB//narG//srlD//pnp//aroA//atoA//gatZ//ilvM//uidA//manA//nrdB//nagA//gpmA//glpK//bioA//glcD//purC//moaD//tyrB//rutB//tauD//glcD//
Fur-Fe2+_pos	tdcG//metA//glgP//garL//xdhA//serA//ilvE//yfeW//alaS//mdh//ynfH//nanE//psd//purB//citE//ldtC//citC//lhgO//atoB//tyrA//
Fur-Mn2+_neg	paaF//gltD//pyrD//lhgO//trpC//ulaF//dkgB//gadB//argC//metL//fadI//sucA//thrS//deoD//ilvN//dadX//phnM//fucK//entA//pgk//deoC//frdA//lsrF//hemL//bglB//ilvC//pnp//tdcE//gcvH//caiD//dadA//sucC//fdhF//dadA//cyoE//iscS//preT//nanM//ubiC//allD//rutD//malQ//alaA//dmsA//rbsD//recF//ilvN//edd//phnN//mpl//atoA//metE//hyaC//alkB//argB//mhpC//pheS//garL//bioD//
Fur-Mn2+_pos	fadH//sdhD//ilvA//sodA//puuB//mutL//trpA//ubiC//purL//ynfH//rutA//fes//gcvH//dmsA//allE//galE//alaA//trpD//torA//purN//
GlcC-Acetate_neg	
GlcC-Acetate_pos	hyaC//rutA//glcD//
GlcC-Glycolate_neg	
GlcC-Glycolate_pos	garR//ascB//aspA//
GlrR-Pasp56_pos	
IclR-pyruvate_neg	nrdA//ilvE//lpxA//
IdnR-5-ketogluconate_neg	astE//metH//
IdnR-5-ketogluconate_pos	hpt//lsrF//ilvG_1//moeA//
IdnR-Idonate_neg	purB//nrdD//
IdnR-Idonate_pos	phoA//hemA//citG//gpsA//
IlvY-2-acetolactate_neg	
IlvY-2-acetolactate_pos	bioC//
IlvY-Alfa-acetohydroxybutirate_neg	
IlvY-Alfa-acetohydroxybutirate_pos	lacZ//
IscR-2Fe_neg	gntK//cynT//glpA//lsrK//waaH//
IscR-2Fe_pos	pta//cynS//
LldR-L-lactate_neg	rutB//galE//
LldR-L-lactate_pos	fbaA//tsaE//
Lrp-Leucine_neg	fucK//gcvH//lpxB//ulaD//bioF//ynfF//fadJ//phnL//guaA//rhaD//phnP//glpQ//prpD//hmp//lysU//metF//sdhA//patZ//hmp//entH//entH//dadX//ybjG//ubiA//
Lrp-Leucine_pos	alaS//ynfE//trpA//hycB//dapB//iscS//frdD//aldA//purK//recF//prmC//metE//nrdE//aroF//dadA//ilvB//manA//aspA//
LsrR_neg	treC//napA//yjeF//hemA//metH//
MalT-ADP-Maltotriose_pos	atoD//hycB//moeA//aldB//hypB//ahpC//
MalT-Maltotriose-ATP_pos	frdC//fadH//purN//speB//napC//gatD//
MelR-Melibiose_neg	cysH//hycF//
MelR-Melibiose_pos	tdcG//mltC//
MetJ-S-adenosylmethionine_neg	hpt//ugpQ//dapD//murQ//phoA//cysK//melA//bcsA//hemL//carB//
MetR-L-homocysteine_neg	astD//
MetR-L-homocysteine_pos	rutC//rnpB//galE//gutQ//
MhpR-3-DHPP_pos	cysN//dnaE//rbsD//hmp//alaS//abgB//
MhpR-3HPP_pos	nirB//purK//argI//folA//nagB//araA//
MntR-Cd2+_neg	glpQ//
MntR-Cd2+_pos	gntK//
ModE-MoO42-_neg	galK//dusB//ugpQ//katE//fes//glcD//glpE//ynfE//
ModE-MoO42-_pos	aceB//mltC//sucA//ppiA//alaA//gutQ//
NarL-Phosphorylated_neg	moaA//phnM//prpD//dapB//pheS//aroH//lsrK//ackA//hyaB//hycC//waaH//tyrB//gcvH//mpl//gnd//garK//metF//moaD//psd//cheR//lsrG//sucC//rutA//pta//
NarL-Phosphorylated_pos	folA//katE//glgA//metH//cheR//garR//citC//nrdA//uxuA//tyrB//moeA//fadE//recF//cynT//rutC//
NarP-Phosphorylated_neg	tadA//cynT//nrfC//
NarP-Phosphorylated_pos	idnD//purN//guaA//ynfE//truB//dnaE//gdhA//purB//tam//xdhC//
NhaR-Na+_pos	atoB//fdhF//uxaC//glgP//
NikR-Cd2+_neg	phnG//
NikR-Co2+_neg	mhpA//
NikR-Cu2+_neg	glpB//
NikR-Ni2+_neg	aldB//
NikR-Zn2+_neg	nanA//
NrdR-ATP_neg	deoA//ada//lhgO//cynT//
NrdR-Zn2+_neg	bioD//ispE//metC//galE//
NrdR-dATP_neg	hycC//araD//yfeW//umpH//
NsrR-2Fe_neg	nanA//entF//argE//moeA//dusB//pflB//yfbR//rutD//sucD//prs//sdhA//dgcZ//nrdF//entH//torA//entF//lldD//fucI//aldB//xylA//sodA//metL//bioD//allD//aceA//citG//gatD//garR//ada//allC//
PhoB-Phosphorylated_neg	alkA//deoB//astA//prs//glcD//
PhoB-Phosphorylated_pos	hyaB//waaH//deoA//ldtC//murQ//cysC//uxaC//gatY//glpD//ackA//alkA//paaH//ubiA//pgaD//uxuB//bcsZ//murQ//
PhoP-Phosphorylated_neg	sdhB//frdA//citF//
PhoP-Phosphorylated_pos	cdd//fucU//fau//purH//xdhA//lysU//dadX//fucU//pheS//purF//ubiX//purH//citX//nirD//aceA//prs//puuD//dusB//fumC//astC//acs//puuC//hypB//gutQ//allC//fucA//aspC//napH//folE//purB//sdhC//paaZ//hycF//upp//
PrpR-2-methylcitrate_neg	
PrpR-2-methylcitrate_pos	serC//mhpC//ilvE//lysC//
PurR-Guanine_neg	chbG//astC//cysC//nirB//betB//araB//gcvP//ampD//sdhC//metH//lpd//thrS//xdhC//paaE//slt//idnO//pncB//trpE//tdh//dmsC//glpE//prmC//rbsD//entE//entA//torA//pgk//
PurR-Hypoxanthine_neg	speA//fadJ//prpC//ilvB//allD//pflB//entE//fabZ//tehB//cysG//prpD//nrfC//lldD//entA//sdhD//murQ//cyaA//fadJ//oxc//nagB//murQ//frdB//melA//sdaA//bcsB//ilvH//nadC//
QseB-Phosphorylated_pos	
RhaR-L-rhamnose_pos	
RhaS-L-rhamnose_pos	fadI//atoB//kbl//
RstA-Phosphorylated_neg	lpxA//prs//
RstA-Phosphorylated_pos	ilvE//
SoxR-2Fe_neg	
SoxR-2Fe_pos	garL//ubiA//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	pck//sucC//aroG//
TrpR-Tryptophan_neg	aspC//ynfE//glcF//sodB//bcsZ//moaA//pta//fbaA//hpt//
TyrR-L-tryptophan_neg	ilvI//uxaB//hflX//aroG//ynfF//hpt//gcvT//
TyrR-L-tryptophan_pos	puuB//cysM//bioF//
TyrR-Phenylalanine_neg	pta//puuA//ubiG//hypF//serA//nagA//prpB//
TyrR-Phenylalanine_pos	glyA//aspC//idnK//
TyrR-Tyrosine_neg	lpxD//gutQ//araB//rbsD//gnd//xylB//phnI//
TyrR-Tyrosine_pos	ilvG_1//idnO//appA//
UhpA-Phosphorylated_pos	yfdE//
XapR-xanthosine_pos	prpD//lpxA//
XylR-Xylose_pos	ldtB//purF//nrfB//
ZntR-Cd2+_pos	lsrK//
ZntR-Hg_pos	aroA//
ZntR-Zn2+_pos	prpB//
ZraR-Phosphorylated_pos	
Zur-Zn2+_neg	lldD//
