# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	tadA//mhpE//
CRP-cAMP_pos	sufS//speB//pta//ndh//aceB//prpB//argB//dgcZ//tam//miaA//ubiC//aceA//preT//sdaA//guaB//mhpC//ynfH//recF//cpdB//citD//gcd//nrdD//moeA//glgB//mutL//argB//hycF//fabZ//ynfH//aroH//yfeW//fumC//galE//lysU//atoA//speA//cysK//glgB//moaD//hemL//rnpB//mhpE//truB//pheS//phnL//rutC//purB//glnA//xdhA//aroH//phnN//caiD//lysC//moeB//lysA//nirD//bioB//kbl//hmp//dgcZ//glgP//fumC//torA//hyaB//lysC//miaA//glcB//tam//ynfG//allC//narG//aceF//citC//phnM//lysA//nrdF//preT//ilvI//slt//betA//sucC//araB//tdcD//glpE//miaA//nagA//fucK//prpD//waaH//citE//mtlD//manA//mtlD//pdeF//rdoA//speC//fucA//hmp//hypB//ubiX//hycC//gltD//glgC//purB//nrdB//argH//citF//ndh//nanE//prmC//moaA//abgA//glcE//ulaE//deoC//glcD//waaH//gdhA//tam//yeaE//tadA//hmp//glcD//galM//recF//uvrA//lhgO//thrS//paaZ//phnP//aroL//cysK//citF//argF//serA//hycC//fes//ynfG//idnO//ynfH//glpD//gcvH//mhpE//nanA//gabT//guaA//uxaA//ndh//murQ//aldA//hycG//glpA//iscS//nadC//trpC//agp//yfbR//cheR//ulaF//nrdA//gpsA//mhpF//dgcZ//paaA//argC//sodA//kbaZ//dsdA//narH//rhaA//nanA//amn//hemA//hyaB//fabZ//mhpA//astA//talA//guaA//ung//ilvG_2//yfbR//purM//guaA//frdC//hycC//tsaE//dmsA//tktB//napG//nagA//metC//xapA//cysH//argG//codA//gcd//uxaA//nanA//hycE//nrdB//appA//nanE//purC//chbG//fucK//purD//gltB//trmD//tdcE//ascB//tehB//metB//astA//ilvG_1//astA//xylB//napC//nanK//aceE//codA//cynS//bcsB//trpE//gabD//serC//gadB//tktB//acnA//moaE//mtlD//nrfC//uxaA//lacA//tadA//ampD//xdhC//moaE//yfeW//gltA//ulaD//purB//purA//
ChbR-Monoacetylchitobiose-6P_neg	recF//feaB//dkgB//
ChbR-Monoacetylchitobiose-6P_pos	aroF//frdB//idnD//
CpxR-Phosphorylated_neg	trpA//astB//deoD//
CpxR-Phosphorylated_pos	gntK//argE//tdh//nrdE//ilvI//ilvG_1//entH//miaA//mhpB//argD//aspC//udp//rutD//preA//trmD//fabZ//alaS//tsaE//ogt//
CreB-Phosphorylated_neg	gatD//
CreB-Phosphorylated_pos	fabZ//kbaZ//
CueR-Ag_neg	mdh//atoA//
CueR-Ag_pos	metE//hycF//
CueR-Cu+_neg	rutB//mhpE//
CueR-Cu+_pos	fes//xdhA//
CuerR-Au_neg	puuC//rhaB//
CuerR-Au_pos	allD//gdhA//
CusR-Pasp_pos	rutC//slt//lpxD//
CynR-Cyanate_neg	
CynR-Cyanate_pos	lpxA//aroF//narI//
CysB-N-acetyl-L-serine_neg	rutE//tsaE//nrdE//
CysB-N-acetyl-L-serine_pos	tam//nanK//sodB//dgcZ//puuC//dapB//hemL//trmD//icd//paaH//metA//sdhC//upp//
CysB-O-acetyl-L-serine_neg	dmsB//yfbR//tyrB//
CysB-O-acetyl-L-serine_pos	argD//napH//nirB//paaK//prmC//polA//aspA//citC//nanE//bioD//eda//mhpA//alaS//tadA//
DcuR-Phosphorylated_pos	trpB//rdoA//allC//metL//
DnaA-ATP_neg	rhaD//nagB//gltD//entC//mpl//
DnaA-ATP_pos	purC//dadA//ilvG_1//
DpiA-Pasp_neg	
DpiA-Pasp_pos	caiD//frdB//idnD//aceE//glpD//
DsdC-D-serine_neg	
DsdC-D-serine_pos	preA//lsrK//
EvgA-Phosphorylated_pos	sdhD//tam//ftnA//phnN//napB//
FNR-Fe_neg	citC//tdcG//glpK//appA//aceB//fucO//entC//nirB//agp//tadA//frdB//garR//ulaE//gpmA//phnP//puuC//narI//gatY//cysC//napA//nrdF//fabZ//gcvP//cysK//ugpQ//moaE//glpQ//garR//entD//gdhA//mutY//epd//acs//purH//cdd//phnO//deoB//moaE//ldtC//hypB//cyaA//mtlD//argF//sodA//fbaA//dapB//rutD//
FNR-Fe_pos	hyaA//ssuD//paaE//cynS//chbG//rhaA//uxuB//prpE//lsrF//gpmA//napG//napH//malY//metL//moaD//citX//sufS//epd//sufS//glgP//rbsK//ispE//moaD//mhpD//galM//polA//nrdF//argD//cysK//phnJ//entA//alaA//fadA//citD//mtlD//nanK//sucB//ung//fucU//frdB//lsrF//ada//purF//tsaE//frdA//astC//rutC//hyaA//glcD//frc//bioD//sodA//tktB//paaK//ogt//cysC//nrdA//allC//entD//phnG//uidA//slt//cynT//metA//fucI//cynT//epd//astC//gatZ//amn//sucC//tdh//betB//ilvC//fadI//citD//araD//lysU//sufS//glgC//rhaB//galE//uxaC//hycC//glgX//hyaA//glpA//yfbR//paaK//ilvH//ilvG_1//phnL//
FhlA-Formate_pos	fumC//metL//melA//galK//guaB//acnB//hcp//
FucR-L-fuculose-1-phosphate_pos	cysH//glpD//eda//atoA//aldA//lysA//
Fur-Fe2+_neg	speB//paaE//hemL//tehB//entH//lacZ//mhpB//ilvG_2//pheT//preA//bcsZ//moaD//yjeF//xylB//alkB//lpd//sdhA//hmp//yjeF//guaB//ackA//argE//nanM//hycG//rutC//aldA//lpxD//fbaA//lysU//ilvE//aroH//mutL//fadE//ssuE//allD//cyoE//fadJ//hycE//yfdE//paaF//ilvH//gatZ//galK//ahpC//cysD//mhpE//rhaD//glnA//nrdF//bcsZ//ugpQ//sdaA//mdh//moaD//prpB//ilvM//citC//tnaA//ilvE//
Fur-Fe2+_pos	citC//lhgO//ilvG_1//talA//fadD//aldB//ssuE//entB//guaB//umpH//xdhA//metC//hycD//metF//cyaA//upp//nirB//lpxD//rutE//malZ//
Fur-Mn2+_neg	aroA//ubiG//cheB//napC//nirB//caiA//malP//fadB//tauD//purB//prpE//argF//bcsA//astA//deoC//prpC//rhaB//melA//xylA//xdhC//alkB//hyaA//carB//malQ//napB//astA//ssuD//phnN//entH//argG//paaF//paaC//xapA//aroA//frdC//dapD//malP//guaA//dsdA//adhE//frdA//mltC//icd//preA//metB//bglB//serC//cpdB//lysA//purH//napA//agp//rbsK//mhpF//hemL//prpB//avtA//garR//astD//
Fur-Mn2+_pos	hyaA//nirB//entD//atoD//sdhB//nrfC//umpH//paaA//paaF//moaE//ubiC//napH//bioA//yjeF//narI//speB//purK//gnd//nanA//mhpD//
GlcC-Acetate_neg	
GlcC-Acetate_pos	bioD//feaB//ilvC//
GlcC-Glycolate_neg	
GlcC-Glycolate_pos	tsaE//tyrB//fadJ//
GlrR-Pasp56_pos	
IclR-pyruvate_neg	fucU//prpD//ascB//
IdnR-5-ketogluconate_neg	caiB//lsrK//
IdnR-5-ketogluconate_pos	fucO//nrdE//serC//abgA//
IdnR-Idonate_neg	paaA//narG//
IdnR-Idonate_pos	trpC//fau//glgA//trpC//
IlvY-2-acetolactate_neg	
IlvY-2-acetolactate_pos	purA//
IlvY-Alfa-acetohydroxybutirate_neg	
IlvY-Alfa-acetohydroxybutirate_pos	agp//
IscR-2Fe_neg	katG//ilvG_2//lpd//speC//hycD//
IscR-2Fe_pos	bioD//pheT//
LldR-L-lactate_neg	atoB//cynS//
LldR-L-lactate_pos	srlD//tehB//
Lrp-Leucine_neg	gabD//pdeF//ung//malS//aroA//idnD//gltB//araB//uxaC//guaB//torC//murQ//malY//entE//fadB//allE//gdhA//moaE//moeB//pflB//cyaA//ssuE//sdhA//frdC//
Lrp-Leucine_pos	citG//feaB//bcsZ//trmD//fucA//cysK//nrfC//tktB//lhgO//acnB//agp//aroH//pnp//nrdE//cadA//carB//bioA//frdA//
LsrR_neg	ilvD//mhpF//purN//bioC//tnaA//
MalT-ADP-Maltotriose_pos	yfbR//aroL//gnd//bcsB//aroF//pgaD//
MalT-Maltotriose-ATP_pos	kbaZ//purB//tdcB//purE//ilvM//citF//
MelR-Melibiose_neg	alaS//betA//
MelR-Melibiose_pos	sdhA//bioC//
MetJ-S-adenosylmethionine_neg	tyrB//ubiA//ppiA//napH//pheT//glcD//lpxD//nanE//phoA//nadC//
MetR-L-homocysteine_neg	mpl//
MetR-L-homocysteine_pos	rdoA//rutD//edd//entC//
MhpR-3-DHPP_pos	glgA//deoA//idnD//fadI//phnP//metC//
MhpR-3HPP_pos	galT//araD//entA//pta//udp//nrfA//
MntR-Cd2+_neg	entC//
MntR-Cd2+_pos	napG//
ModE-MoO42-_neg	cueO//xdhA//dusB//bcsA//chbG//glcE//citG//prpD//
ModE-MoO42-_pos	astD//allE//gatD//lpd//hycF//kbaZ//
NarL-Phosphorylated_neg	tdcE//cysG//ndh//hycE//nrdD//dgcZ//codA//nanM//garK//moaD//fadD//alkA//hycD//ynfF//dmsA//xapA//metK//bcsZ//bioA//mutY//thrS//narH//pncB//bcsB//
NarL-Phosphorylated_pos	ilvB//astE//pncB//mltC//hyaB//narH//malZ//argB//napC//nanM//cysJ//gcvH//kbaZ//yfdE//hypF//
NarP-Phosphorylated_neg	dmsC//gatZ//fbaA//
NarP-Phosphorylated_pos	serA//dadX//carA//cyoE//entD//lpxA//fumC//entB//treC//polA//
NhaR-Na+_pos	metB//nrfC//aceE//amn//
NikR-Cd2+_neg	glpQ//
NikR-Co2+_neg	hemL//
NikR-Cu2+_neg	puuB//
NikR-Ni2+_neg	dadX//
NikR-Zn2+_neg	astD//
NrdR-ATP_neg	iscS//ansB//abgB//gltA//
NrdR-Zn2+_neg	xdhB//bioB//chbF//hyaA//
NrdR-dATP_neg	phnP//entB//hycF//glpE//
NsrR-2Fe_neg	lpxB//folA//udp//cheB//uxaC//citF//bioD//aroF//napB//cysM//citG//purC//aroH//phnP//prpC//prpC//gcvT//ilvE//avtA//ogt//caiA//caiD//patZ//dmsC//hycC//puuA//glgA//carA//cheB//ispE//
PhoB-Phosphorylated_neg	tdcB//xdhA//hyaB//ybjG//moaD//
PhoB-Phosphorylated_pos	hycC//araA//alkA//paaH//fdhF//cysC//fucU//nagA//mtlD//pta//chbF//pgaC//purL//rutA//mhpA//mhpE//purM//
PhoP-Phosphorylated_neg	metB//fumA//caiC//
PhoP-Phosphorylated_pos	pgaC//cysN//sdaA//hyaC//entB//aceE//metH//pheT//edd//trpE//bcsZ//nrfB//rhaB//mutY//lsrK//iscS//patZ//alaA//betB//bioB//lpxA//napG//sdhA//citG//lysC//dnaE//glpX//xapA//ubiG//uxaA//bglB//ynfH//ampD//dkgB//
PrpR-2-methylcitrate_neg	
PrpR-2-methylcitrate_pos	allE//bioA//dusB//ilvH//
PurR-Guanine_neg	metK//fadA//srlD//preT//trpE//aroA//lpxB//cyoE//uxuA//galK//sufS//atoA//recF//ahpF//yfdE//nagB//napG//pncB//purF//pheT//ada//alaS//entA//entE//hyaC//upp//tdcD//
PurR-Hypoxanthine_neg	paaF//bioC//xdhA//ynfG//bacA//icd//ilvI//citC//prmC//fucI//gcd//moeB//speB//purB//astA//nrfC//glpC//hcp//hpt//trpE//gltB//garK//nirB//hcp//phoA//glyA//entA//
QseB-Phosphorylated_pos	
RhaR-L-rhamnose_pos	
RhaS-L-rhamnose_pos	talA//allC//miaA//
RstA-Phosphorylated_neg	fadE//entH//
RstA-Phosphorylated_pos	glcE//
SoxR-2Fe_neg	
SoxR-2Fe_pos	atoD//napH//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	torC//moeB//lpxB//
TrpR-Tryptophan_neg	folE//mutY//pheS//frdD//idnO//glpQ//xdhA//ackA//glcD//
TyrR-L-tryptophan_neg	epd//torC//ynfG//rhaD//slt//sdaA//ndh//
TyrR-L-tryptophan_pos	mhpF//metL//malS//
TyrR-Phenylalanine_neg	acnB//udp//nrdB//napA//lsrF//araD//pheT//
TyrR-Phenylalanine_pos	hycE//rutE//idnK//
TyrR-Tyrosine_neg	purM//fadD//argB//abgB//frdD//fumC//bioF//
TyrR-Tyrosine_pos	idnD//dapB//abgA//
UhpA-Phosphorylated_pos	yfbR//
XapR-xanthosine_pos	fadE//argB//
XylR-Xylose_pos	glpK//xylA//narH//
ZntR-Cd2+_pos	ahpC//
ZntR-Hg_pos	purF//
ZntR-Zn2+_pos	tsaE//
ZraR-Phosphorylated_pos	
Zur-Zn2+_neg	dsdA//
