# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	rbsD//tdcB//
FNR-Fe_pos	guaA//mhpF//tsaE//mutY//rbsK//tdcB//hemL//moaE//pck//rnpB//napA//hycE//frc//yfeW//folA//puuE//tdh//xdhA//purF//araD//entB//lysA//pheS//tehB//phnI//cysI//nrfD//glcF//ampD//pta//entC//phnJ//pgaB//aspC//lysU//lpxB//frdD//glgP//glpA//cysK//ogt//cueO//alaS//appA//fumB//edd//uxuA//cysN//glyA//nrdB//nrdB//mhpF//preT//aroG//nrfB//paaC//serA//frc//moeB//lldD//argF//prmC//ilvM//speA//guaB//cueO//glgC//cysJ//ackA//cysJ//aldB//idnO//prpD//srlD//puuA//entD//citX//glpX//hycG//edd//entH//gcvT//fucO//xylA//galK//ynfG//entB//bglB//malZ//pnp//yeaE//nrfA//
FhlA-Formate_pos	ndh//waaH//nrdF//ilvI//aceB//serC//xylB//
FucR-L-fuculose-1-phosphate_pos	treC//bacA//purC//gpsA//zwf//ubiC//
Fur-Fe2+_neg	tdcE//citF//citE//cysN//yfdE//moeB//gutQ//lacZ//moaD//uxaA//phnG//rhaB//puuC//napC//pyrC//gadB//nanK//gabT//pagP//aroH//sucC//purM//puuB//glpC//metF//lpxD//ascB//aldA//phnM//tyrA//ilvG_2//phnM//aceF//trpC//purN//nirB//ulaF//chbF//cysH//hemL//uxaA//speB//cyaA//hycE//preT//paaH//gcd//gltA//glpE//ynfG//xdhB//malS//epd//yfdE//nrdE//dadX//polA//tdcD//ilvI//
Fur-Fe2+_pos	napB//folE//glgA//puuA//paaB//rutC//fadH//pyrD//purN//frdD//cadA//citF//hycD//yeaE//citC//pgaD//glpE//aroL//glcD//xylA//
Fur-Mn2+_neg	cysH//hpt//citC//phnN//deoD//argC//atoB//entC//ynfG//atoB//metL//hyaB//kbaZ//citC//phnL//nirD//dsdA//cdd//hycG//pyrD//pgaB//ppiA//napC//hypB//deoC//deoC//malS//bioB//deoC//tdcG//astD//argH//ssuD//rutA//rhaB//recF//gdhA//deoD//ynfE//nadC//cpdB//fadJ//folA//xylB//recF//tyrB//purD//dgcZ//rutB//rutE//fadI//appA//astD//frdA//appA//fbaA//paaA//mdh//recF//
Fur-Mn2+_pos	trpE//glpX//atoB//paaK//citX//mhpE//araD//moaE//purH//nrfC//glgA//tehB//nadC//hyaA//bcsZ//fumC//purF//purH//metH//ynfF//
GlcC-Acetate_neg	
GlcC-Acetate_pos	umpH//nrdD//metH//
GlcC-Glycolate_neg	
GlcC-Glycolate_pos	metH//pgaB//glpQ//
GlrR-Pasp56_pos	
IclR-pyruvate_neg	katE//ubiA//sdhC//
IdnR-5-ketogluconate_neg	fadD//paaE//
IdnR-5-ketogluconate_pos	fumA//miaA//gltA//deoD//
IdnR-Idonate_neg	folA//mhpE//
IdnR-Idonate_pos	ynfH//ampD//speA//atoA//
IlvY-2-acetolactate_neg	
IlvY-2-acetolactate_pos	srlD//
IlvY-Alfa-acetohydroxybutirate_neg	
IlvY-Alfa-acetohydroxybutirate_pos	atoB//
IscR-2Fe_neg	hycG//trpB//uidA//bcsZ//purE//
IscR-2Fe_pos	ulaE//prpC//
LldR-L-lactate_neg	napC//avtA//
LldR-L-lactate_pos	fumC//nrfC//
Lrp-Leucine_neg	pta//fadB//dusB//aroF//betB//ilvI//uxuA//purM//kbl//lldD//carA//glcF//idnO//ynfF//paaG//melA//mpl//paaE//paaB//phnG//tdh//citX//glpC//truB//
Lrp-Leucine_pos	prs//chbG//fadH//xylA//purD//glpQ//ubiX//metC//gabD//alaA//cheB//citG//ada//rutE//glgP//paaE//hyaB//tadA//
LsrR_neg	galM//aceF//nrdD//purC//idnK//
MalT-ADP-Maltotriose_pos	aroF//ulaF//cysI//cueO//uxuB//lysA//
MalT-Maltotriose-ATP_pos	purC//galE//caiA//deoB//ldtC//trpD//
MelR-Melibiose_neg	yeaE//mhpE//
MelR-Melibiose_pos	zwf//citG//
MetJ-S-adenosylmethionine_neg	ilvH//xdhA//glcD//nrfC//frc//galM//astE//moeA//mhpA//citE//
MetR-L-homocysteine_neg	epd//
MetR-L-homocysteine_pos	metK//cynS//glpE//umpH//
MhpR-3-DHPP_pos	tadA//puuC//acnB//glpD//aceF//trpD//
MhpR-3HPP_pos	purM//paaZ//hypB//rbsK//dmsB//nadC//
MntR-Cd2+_neg	pyrC//
MntR-Cd2+_pos	metC//
ModE-MoO42-_neg	polA//nadC//malS//cysK//glgP//allE//thrS//nrfA//
ModE-MoO42-_pos	gpsA//galK//abgB//dusB//bcsZ//sucD//
NarL-Phosphorylated_neg	mhpE//guaB//glgX//chbG//argH//guaB//frdC//atoB//pgk//cynT//lpd//talA//manA//folA//yfeW//gdhA//caiC//argF//lysU//phnJ//glcB//aspC//alaA//gcvH//
NarL-Phosphorylated_pos	atoB//cheB//feaB//aldA//cysH//pdeF//carB//paaJ//ansB//ubiX//fumC//melA//upp//hyaA//fumC//
NarP-Phosphorylated_neg	sucD//paaG//glpQ//
NarP-Phosphorylated_pos	argA//nrdE//yjeF//dgcZ//purN//feaB//tdcG//pheS//ansB//hycC//
NhaR-Na+_pos	glgC//betA//rutB//pheT//
NikR-Cd2+_neg	phnN//
NikR-Co2+_neg	nrdD//
NikR-Cu2+_neg	paaJ//
NikR-Ni2+_neg	prpE//
NikR-Zn2+_neg	cysM//
NrdR-ATP_neg	allE//ulaE//citD//metF//
NrdR-Zn2+_neg	purN//dmsA//tdh//fucU//
NrdR-dATP_neg	lsrK//agp//cynS//garL//
NsrR-2Fe_neg	torA//ilvD//cyaA//sucB//napB//gcvP//tyrA//fucO//gatD//rhaA//cysG//sufS//ftnA//yfeW//phnJ//glgC//trmD//upp//purD//mdh//pgaB//purM//garL//cynS//moeA//ssuD//rdoA//hypB//pagP//yqjH//
PhoB-Phosphorylated_neg	deoA//bioA//pagP//tyrA//hflX//
PhoB-Phosphorylated_pos	ulaD//cysD//upp//hycB//feaB//xdhB//cynS//hypF//cueO//tyrA//mhpD//pheS//nrdA//torA//atoA//hypB//dapB//
PhoP-Phosphorylated_neg	kbaZ//allC//aroH//
PhoP-Phosphorylated_pos	icd//phnL//preT//frdD//fadJ//paaC//sucA//treC//ahpC//trpA//sdhA//epd//rutA//hcp//guaB//pgaC//kbaZ//glcE//tyrA//mltC//lsrF//mutL//puuC//nrdF//katE//tsaE//psd//lacZ//lsrK//glcB//fdhF//trpC//malY//miaA//
PrpR-2-methylcitrate_neg	
PrpR-2-methylcitrate_pos	moaD//pck//purA//speB//
PurR-Guanine_neg	fdhF//prpE//paaH//cysI//fucK//ubiG//bcsZ//napH//bioA//moaE//gcvT//araD//glcF//pyrC//speB//moaE//patZ//entC//paaB//torA//sucA//gapA//astC//metC//gatY//paaB//glpE//
PurR-Hypoxanthine_neg	metL//preT//ynfH//glpE//fadE//astE//rhaA//alkA//glnA//speC//bioC//narI//galE//hycE//feaB//napC//betB//entB//yjeF//uxaC//kbl//waaH//araD//narI//mhpC//sdhD//narI//
QseB-Phosphorylated_pos	
RhaR-L-rhamnose_pos	
RhaS-L-rhamnose_pos	sdhA//tdcE//preT//
RstA-Phosphorylated_neg	nirB//yfdE//
RstA-Phosphorylated_pos	avtA//
SoxR-2Fe_neg	
SoxR-2Fe_pos	glpX//purM//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	galE//tsaE//pck//
TrpR-Tryptophan_neg	atoA//slt//bcsA//entC//trpA//pgaC//malP//deoD//paaK//
TyrR-L-tryptophan_neg	umpH//hyaC//cadA//cyaA//galE//tdcB//araD//
TyrR-L-tryptophan_pos	atoA//ulaF//phnH//
TyrR-Phenylalanine_neg	entA//citD//umpH//rdoA//edd//hyaC//fau//
TyrR-Phenylalanine_pos	gcvP//ftnA//fadI//
TyrR-Tyrosine_neg	nrdF//edd//gnd//araA//gcvP//icd//manA//
TyrR-Tyrosine_pos	fumB//argF//katE//
UhpA-Phosphorylated_pos	mpl//
XapR-xanthosine_pos	gltB//fucU//
XylR-Xylose_pos	uxaC//entF//rbsD//
ZntR-Cd2+_pos	kbaZ//
ZntR-Hg_pos	argB//
ZntR-Zn2+_pos	hycG//
ZraR-Phosphorylated_pos	
Zur-Zn2+_neg	tauD//
