# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	lacZ//ynfH//
CRP-cAMP_pos	malY//moeB//deoA//cysH//cysH//frdB//nrdB//nanE//malY//hycE//tadA//glnA//nirD//ascB//paaF//carA//ilvE//mutL//nirD//gnd//xdhA//nrfC//napH//betB//pncB//tauD//bcsA//psd//yfeW//gltB//rhaD//dadX//yfdE//mutY//pdeF//phnO//dmsC//prpB//paaB//purN//mpl//trmD//cysC//gltD//udp//nagA//paaI//tdcD//lysC//fadA//moaE//upp//mutL//cysH//ynfE//bioA//moaE//narI//glnA//kbl//aceB//ynfG//talA//ssuD//bioA//atoB//citC//moeB//pyrD//dgcZ//fucO//fumC//mutY//psd//cysC//guaB//cysG//argD//polA//pagP//glpX//tdcB//xdhC//chbF//rutD//uidA//bcsA//puuA//gabD//citC//gdhA//metL//allD//metK//uidA//aceA//narH//puuD//glyA//cysH//mhpC//dapB//hycF//pheT//araA//citD//speA//dadA//ssuE//ssuE//argA//gapA//tdcE//malZ//glcF//yfbR//cysN//ssuE//allD//gabT//gcvP//cysC//dusB//glcF//napC//ampD//ackA//ulaD//uxuB//purD//murQ//napA//speB//gcvP//ilvG_1//fadI//ispE//icd//lpd//gatD//gatD//alkB//bioF//paaB//mhpD//araD//hemL//lsrF//tdcD//cysG//purE//aspC//sucB//lysA//garL//acs//miaA//araD//chbF//rutD//cysD//rdoA//truB//metC//nanM//gcd//yfeW//purB//aroH//fadE//nanK//paaJ//rhaD//bioC//tdcB//sdhA//aroA//uidA//hmp//citC//lhgO//bglB//tdcD//hycG//oxc//gcvT//uidA//gadB//betB//ubiX//idnK//tdcB//yfbR//ascB//carA//metL//astB//pnp//araA//prpD//aceA//metC//ilvE//gpsA//ogt//ldtB//fabZ//garK//xdhB//dnaE//malQ//umpH//fadJ//carB//purA//pflB//gatY//nrdE//purM//ybjG//dapB//bioC//nanM//fadI//eda//trpD//napG//aceA//cynS//gatD//nirD//astD//gutQ//upp//ilvH//fadE//phoA//gpmA//aroA//sdhB//acs//cysK//lysA//
ChbR-Monoacetylchitobiose-6P_neg	rhaD//prpE//hemL//
ChbR-Monoacetylchitobiose-6P_pos	lsrG//serA//garL//
CpxR-Phosphorylated_neg	bacA//ilvI//fau//
CpxR-Phosphorylated_pos	cysJ//chbF//idnK//gapA//tktB//galK//lysU//frdD//nrdB//upp//nanM//paaB//bcsZ//argA//hyaB//ilvB//alkA//trpE//alaS//
CreB-Phosphorylated_neg	tdcB//
CreB-Phosphorylated_pos	purM//betB//
CueR-Ag_neg	recF//ftnA//
CueR-Ag_pos	cynT//waaH//
CueR-Cu+_neg	caiA//uxuA//
CueR-Cu+_pos	cysC//carA//
CuerR-Au_neg	lysU//dmsC//
CuerR-Au_pos	purL//ahpF//
CusR-Pasp_pos	hycD//glgC//gltA//
CynR-Cyanate_neg	
CynR-Cyanate_pos	lhgO//gatD//glcF//
CysB-N-acetyl-L-serine_neg	phnL//hypF//napC//
CysB-N-acetyl-L-serine_pos	carA//moaE//alaS//tyrA//citE//gatY//aceA//bioF//fadJ//ndh//garK//fes//feaB//
CysB-O-acetyl-L-serine_neg	napA//icd//ldtC//
CysB-O-acetyl-L-serine_pos	mhpA//glpD//bacA//ilvC//nadC//lacZ//gatD//entA//frdA//miaA//cdd//thrS//frdA//pgpC//
DcuR-Phosphorylated_pos	pck//hypF//tdcG//ssuD//
DnaA-ATP_neg	aldB//pgpC//aceB//betA//ilvN//
DnaA-ATP_pos	ynfF//moaD//pnp//
DpiA-Pasp_neg	
DpiA-Pasp_pos	purD//gadB//astB//upp//oxc//
DsdC-D-serine_neg	
DsdC-D-serine_pos	lpxD//dsdA//
EvgA-Phosphorylated_pos	nanE//frdA//ilvG_1//cheR//preA//
FNR-Fe_neg	fbaA//galM//purL//gatD//astA//rhaA//argF//cysD//glpB//garL//ilvN//ilvG_2//betA//sdhB//lhgO//fadE//lpxA//cysN//prs//entA//napA//fau//araD//mhpA//ascB//cysN//pdeF//gatD//lpxA//torC//lacA//lpxD//gabD//pnp//entD//patZ//lpxB//lacA//trpD//puuA//preT//aldA//nadC//gabD//paaE//pyrC//cysM//
FNR-Fe_pos	tauD//cysK//gnd//hycD//mhpD//tdcE//ulaF//argH//bioC//ssuE//ilvB//garK//bglB//speC//deoA//metC//hycB//tam//ubiX//rhaA//alkB//lacA//fucA//tdcB//thrS//guaB//alkB//trpA//cadA//puuA//fucK//purC//kbaZ//truB//moaD//lacZ//cysI//hycD//preA//mhpE//deoB//purD//sdhA//trmD//sodB//folA//pgaD//ynfE//fucA//uxaA//entF//purK//nrdB//gdhA//gpsA//pflB//ackA//yfeW//nanE//glgP//ascB//lsrF//gatZ//gutQ//hycD//hemL//cysC//rutE//uxaC//alaS//serA//caiC//tdcB//bioC//bcsZ//hyaA//glpB//sodA//narI//hypB//citF//rutA//abgA//purD//ulaF//katE//entE//dgcZ//cadA//hyaA//entE//acs//
FhlA-Formate_pos	cynT//sdhA//tyrB//cysI//nadC//araD//gapA//
FucR-L-fuculose-1-phosphate_pos	murQ//gltB//paaF//mutY//hyaA//fau//
Fur-Fe2+_neg	cysK//fucO//glgB//recF//metA//aroH//ulaF//ybjG//aroF//entC//argB//rdoA//ynfE//ilvI//hemL//abgA//xapA//frdB//ynfG//pheS//appA//citX//prmC//talA//mhpC//pgaB//gdhA//lacA//gabD//pheS//sdhC//rutC//serA//ilvM//bglB//tehB//napG//lsrK//mltC//oxc//ilvG_1//sucC//ubiG//fadI//cynS//aroA//aspC//entF//abgA//glpC//uxuA//aldA//xylB//phnL//rutB//gabD//glpA//trpC//cpdB//
Fur-Fe2+_pos	moaD//alkA//malQ//narI//glpE//astD//cysH//gltD//argF//yeaE//codA//mpl//citF//dadA//nadC//chbG//ulaE//hycE//uvrA//frdA//
Fur-Mn2+_neg	caiA//yeaE//preT//dsdA//paaF//argC//araA//cysH//sucA//mhpF//bcsB//ldtC//cysN//torA//murQ//gadB//gabD//trpE//trpC//lysA//speA//alaS//cysH//prpE//ftnA//ybjG//uxuB//xylA//deoB//nrdB//bcsZ//paaE//moeB//argD//ilvB//trpC//rutD//cheB//rhaB//cysN//kbaZ//deoA//purC//aroH//dapB//gcd//gabT//cheB//deoB//citX//aroA//argB//garL//gapA//ldtC//napG//pagP//astC//nrfD//
Fur-Mn2+_pos	glpQ//pgaD//pheT//lysA//talA//treC//hycG//ugpQ//cheB//gatZ//hycD//xylA//fucK//ssuD//lacA//ssuD//astB//purC//xdhB//purF//
GlcC-Acetate_neg	
GlcC-Acetate_pos	gabD//ssuE//pheS//
GlcC-Glycolate_neg	
GlcC-Glycolate_pos	udp//patZ//caiC//
GlrR-Pasp56_pos	
IclR-pyruvate_neg	xapA//cysK//malP//
IdnR-5-ketogluconate_neg	carA//moaD//
IdnR-5-ketogluconate_pos	amn//fumA//narH//fdhF//
IdnR-Idonate_neg	aceE//ahpC//
IdnR-Idonate_pos	metA//lpxD//paaE//fadI//
IlvY-2-acetolactate_neg	
IlvY-2-acetolactate_pos	caiC//
IlvY-Alfa-acetohydroxybutirate_neg	
IlvY-Alfa-acetohydroxybutirate_pos	mpl//
IscR-2Fe_neg	hycF//glpA//fes//napG//ilvG_2//
IscR-2Fe_pos	entE//fumC//
LldR-L-lactate_neg	mdh//gdhA//
LldR-L-lactate_pos	gltD//gutQ//
Lrp-Leucine_neg	caiB//prpC//mhpA//thrS//abgA//idnO//glpB//psd//aceB//oxc//pck//rutE//trpB//mltC//galK//napH//zwf//feaB//nanK//sucC//gpmA//galE//lacA//hycE//
Lrp-Leucine_pos	garR//ilvM//dkgB//fbaA//argC//phnL//moaD//glpQ//yjeF//pyrD//moaE//atoA//alkA//nrfA//yfdE//trpE//gatD//hcp//
LsrR_neg	mltC//rutC//glpE//dapB//melA//
MalT-ADP-Maltotriose_pos	dusB//gatY//feaB//lsrG//glpQ//argD//
MalT-Maltotriose-ATP_pos	katE//nanK//fucO//nrdD//frdB//carB//
MelR-Melibiose_neg	ynfH//aceF//
MelR-Melibiose_pos	cysI//idnD//
MetJ-S-adenosylmethionine_neg	slt//nanM//preT//frdB//metF//appA//sdhC//appA//yqjH//fau//
MetR-L-homocysteine_neg	entD//
MetR-L-homocysteine_pos	fumA//puuD//agp//caiC//
MhpR-3-DHPP_pos	idnO//uvrA//cyaA//gcd//fumC//acnA//
MhpR-3HPP_pos	glpC//moeA//fadI//puuC//glcF//purK//
MntR-Cd2+_neg	metB//
MntR-Cd2+_pos	paaA//
ModE-MoO42-_neg	glpK//ilvE//gcd//preT//ilvG_2//gadB//araD//alaS//
ModE-MoO42-_pos	talA//xapA//glcF//entA//lpd//eda//
NarL-Phosphorylated_neg	citD//mutY//galM//ansB//metB//prmC//paaI//folE//nrfD//serA//napG//katE//xdhA//upp//citC//hypB//bglB//xapA//dusB//cynS//upp//tdcB//tam//tdcB//
NarL-Phosphorylated_pos	gatZ//entH//purM//sodA//cysK//pflB//argB//glgB//xdhC//cheB//ogt//fucO//preA//ansB//astD//
NarP-Phosphorylated_neg	sdhB//rutC//uidA//
NarP-Phosphorylated_pos	prpD//pnp//codA//astA//ilvC//aroH//tadA//lysA//ascB//uxaC//
NhaR-Na+_pos	tnaA//argD//polA//bcsB//
NikR-Cd2+_neg	dusB//
NikR-Co2+_neg	moaE//
NikR-Cu2+_neg	pncB//
NikR-Ni2+_neg	araA//
NikR-Zn2+_neg	lpxD//
NrdR-ATP_neg	glyA//uxaA//pgaC//citX//
NrdR-Zn2+_neg	abgB//sdhD//mutY//citG//
NrdR-dATP_neg	hycF//nanA//edd//gatZ//
NsrR-2Fe_neg	paaB//agp//lsrK//citD//ilvN//nagA//ugpQ//argC//alaA//metE//metC//aldB//glpC//garL//acnA//mpl//hmp//murQ//srlD//betA//pgpC//phnN//tyrA//yfbR//argA//fumC//xylA//moaA//rutC//bcsA//
PhoB-Phosphorylated_neg	tdcB//glnA//sdaA//glgX//ilvB//
PhoB-Phosphorylated_pos	xapA//fucA//truB//sdhB//garR//ilvE//mltC//umpH//argC//upp//bioF//ilvG_2//tdcD//feaB//napH//citE//citG//
PhoP-Phosphorylated_neg	araA//argB//abgB//
PhoP-Phosphorylated_pos	ubiC//cdd//ynfH//bcsA//fadB//argF//ilvH//garR//aceE//mhpF//fadE//cynS//cysC//lsrF//rnpB//ssuD//bacA//araB//dadX//ung//ansB//dadA//hyaC//astB//pyrD//prpC//bcsZ//glpD//dkgB//gcvT//lpxA//citX//epd//avtA//
PrpR-2-methylcitrate_neg	
PrpR-2-methylcitrate_pos	uxuB//moaA//hmp//mutL//
PurR-Guanine_neg	allC//deoC//ilvA//entC//cysK//cysK//dgcZ//yfdE//purB//gcd//lldD//rutA//tdcD//gpsA//cynT//phnP//gdhA//dkgB//polA//fucI//ynfF//hyaA//ynfE//bioB//gutQ//dmsB//argD//
PurR-Hypoxanthine_neg	acnA//dkgB//ackA//aldA//fabZ//pyrC//araB//aroF//gnd//aldA//ybjG//talA//napA//murQ//cynS//ssuD//yqjH//ilvG_2//pdeF//glyA//gcvP//citC//pyrC//gdhA//epd//gatY//treC//
QseB-Phosphorylated_pos	
RhaR-L-rhamnose_pos	
RhaS-L-rhamnose_pos	entE//entB//entC//
RstA-Phosphorylated_neg	uidA//fadD//
RstA-Phosphorylated_pos	nanA//
SoxR-2Fe_neg	
SoxR-2Fe_pos	citG//sucB//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	garL//metC//iscS//
TrpR-Tryptophan_neg	purH//chbF//pgaD//pheS//torA//mhpA//lldD//glcF//tyrA//
TyrR-L-tryptophan_neg	aceA//lysA//lpxA//frc//sdaA//fumB//argI//
TyrR-L-tryptophan_pos	preA//moaD//recF//
TyrR-Phenylalanine_neg	araB//torC//sdhC//ilvI//feaB//pflB//aroF//
TyrR-Phenylalanine_pos	gabT//betB//aspA//
TyrR-Tyrosine_neg	pyrD//uidA//moeA//yqjH//aceA//bioD//alkA//
TyrR-Tyrosine_pos	entC//gabT//uxaA//
UhpA-Phosphorylated_pos	deoA//
XapR-xanthosine_pos	glgB//narH//
XylR-Xylose_pos	glnA//lpd//uidA//
ZntR-Cd2+_pos	rbsD//
ZntR-Hg_pos	umpH//
ZntR-Zn2+_pos	ilvC//
ZraR-Phosphorylated_pos	
Zur-Zn2+_neg	rutD//
