# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	manA//nadC//
NarL-Phosphorylated_neg	pyrD//codA//ppiA//dmsB//ispE//fadD//fdhF//melA//betB//dmsC//cysN//argE//mdh//tdcB//paaI//tdcB//gatZ//avtA//aroH//mpl//moeA//pheT//tsaE//eda//
NarL-Phosphorylated_pos	ilvI//aroL//napB//pgaC//ilvH//ogt//nrfA//slt//glgX//fucO//nanA//tsaE//pta//tyrA//lpxB//
NarP-Phosphorylated_neg	trpA//malP//pta//
NarP-Phosphorylated_pos	dadX//fbaA//nadC//galM//garK//dapB//phnN//mltC//ilvG_2//dadX//
NhaR-Na+_pos	slt//hemA//hpt//caiA//
NikR-Cd2+_neg	tdh//
NikR-Co2+_neg	lysA//
NikR-Cu2+_neg	sucD//
NikR-Ni2+_neg	fadH//
NikR-Zn2+_neg	tyrA//
NrdR-ATP_neg	yfdE//trpB//phnN//ilvI//
NrdR-Zn2+_neg	bacA//mdh//tadA//glpQ//
NrdR-dATP_neg	tauD//cyoE//metH//udp//
NsrR-2Fe_neg	mutL//glpK//hpt//ilvE//fumC//paaH//cheB//idnO//entH//nirD//cysI//melA//trpD//lsrF//frdA//ulaD//gltD//nadC//glgA//aldA//slt//sdaA//ahpC//pagP//aroF//gltD//mhpF//pnp//pgk//aldA//
PhoB-Phosphorylated_neg	folA//paaH//rutD//rhaB//glpX//
PhoB-Phosphorylated_pos	kbl//moeA//garR//ftnA//glnA//uxuA//frc//aldA//astA//phnN//nirD//pgk//torA//nanK//mhpF//codA//gcd//
PhoP-Phosphorylated_neg	tam//aroL//hycB//
PhoP-Phosphorylated_pos	feaB//entD//dadA//ldtC//amn//ulaE//ldtC//lpxB//ahpC//mhpB//idnD//bioA//ssuD//gatY//yjeF//narI//paaG//ybjG//purE//fadH//paaE//astA//aspA//iscS//pyrC//aroF//caiC//folA//recF//adhE//uxaB//slt//narH//epd//
PrpR-2-methylcitrate_neg	
PrpR-2-methylcitrate_pos	nrdA//lldD//glcD//ldtC//
PurR-Guanine_neg	glgC//chbG//speB//ilvG_2//melA//aldB//metH//gatZ//paaE//metL//cheR//recF//glpB//fucU//nrdD//serC//prpC//lpxB//lsrK//caiB//cdd//gabD//patZ//aceF//deoD//betB//cyoE//
PurR-Hypoxanthine_neg	gdhA//rnpB//ubiG//argG//yfdE//nagA//argB//fucI//betA//mhpE//entB//murQ//mltC//lysU//abgB//lysU//fumA//cysJ//tehB//bacA//hmp//rbsD//chbG//ulaD//bioA//yfbR//purD//
QseB-Phosphorylated_pos	
RhaR-L-rhamnose_pos	
RhaS-L-rhamnose_pos	yjeF//pgaD//gcd//
RstA-Phosphorylated_neg	citF//cdd//
RstA-Phosphorylated_pos	phnL//
SoxR-2Fe_neg	
SoxR-2Fe_pos	ilvC//phnP//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	sucC//paaG//purF//
TrpR-Tryptophan_neg	prpD//trpC//pck//adhE//malP//gabT//ansB//edd//cysC//
TyrR-L-tryptophan_neg	ulaD//entD//lsrG//ulaE//argC//hemA//polA//
TyrR-L-tryptophan_pos	katE//hycB//phoA//
TyrR-Phenylalanine_neg	aceE//paaZ//atoB//gdhA//kbaZ//glgB//ilvA//
TyrR-Phenylalanine_pos	glgP//hpt//bioB//
TyrR-Tyrosine_neg	alaS//deoB//tdcD//moaE//nirB//preT//icd//
TyrR-Tyrosine_pos	ahpF//aceA//amn//
UhpA-Phosphorylated_pos	nrdB//
XapR-xanthosine_pos	phnL//hycB//
XylR-Xylose_pos	aceE//ahpC//gutQ//
ZntR-Cd2+_pos	bcsA//
ZntR-Hg_pos	hflX//
ZntR-Zn2+_pos	hyaC//
ZraR-Phosphorylated_pos	
Zur-Zn2+_neg	frdD//
