# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	sucA//moeB//
FNR-Fe_pos	frdB//slt//aspC//hyaA//rutA//galM//hycC//betA//rutB//xdhC//sucB//guaB//idnD//fadD//aroF//phoA//purL//mpl//entB//atoD//fucO//mutY//mpl//kbaZ//ulaF//malY//deoA//citX//metF//idnK//prpB//rhaD//astA//fucA//purL//recF//udp//waaH//nrfA//dusB//pck//glgX//phnG//glcE//atoA//dapB//ilvC//bioD//purN//purF//fadI//alaA//paaJ//murQ//entC//phnG//atoA//rutA//citF//allE//aroG//bioC//paaC//argD//mltC//gntK//truB//ilvE//glpD//tnaA//talA//bioB//aceE//nrdE//ogt//tehB//xdhC//ogt//psd//idnO//icd//pgaB//napA//nagB//recF//serA//cyoE//xylA//tdh//napG//glgB//aldB//
FhlA-Formate_pos	truB//ampD//hycC//fabZ//uxuB//tdh//cueO//
FucR-L-fuculose-1-phosphate_pos	aceA//rhaB//pgaD//gltD//avtA//lhgO//
Fur-Fe2+_neg	lacA//deoA//mhpC//gnd//ulaF//glcF//lysA//trpE//ung//citE//ulaF//folA//bcsB//tnaA//metA//nrfB//bglB//cysI//pgaC//nirB//purD//hyaB//tehB//prpC//xylB//paaE//lpd//tehB//sdhB//katE//manA//tdcB//rutC//fes//paaA//nirD//mltC//alaS//ahpC//cynT//ulaF//lldD//aceF//speC//ndh//hyaB//rdoA//lacA//sucD//fadH//entA//ubiX//cpdB//phnN//folA//astC//paaC//ada//cueO//
Fur-Fe2+_pos	glcB//dnaE//napC//moeA//uxaB//purF//rhaD//zwf//bioB//hycG//glcB//betA//sufS//fabZ//ispE//ssuD//purF//alaA//fabZ//dadA//
Fur-Mn2+_neg	ubiA//sucC//pheT//fau//ampD//glgB//glpK//cysH//hycF//citC//cysD//bioF//nrdD//idnK//metE//paaZ//glgP//glpX//metE//nanM//hemA//araB//cheR//cadA//paaJ//appA//sodA//fau//ilvA//dnaE//rutB//dusB//atoB//paaG//acnA//nadC//pck//purM//glpD//rutD//metE//puuD//ybjG//ilvG_1//nrfD//napG//phnG//moeA//pgaC//torC//ybjG//pgaB//ubiG//hemL//tdcD//dadA//dmsC//trpB//dusB//
Fur-Mn2+_pos	idnO//rnpB//purA//cheR//hpt//mhpB//rdoA//araB//ftnA//dmsB//citF//sodB//gpsA//garK//prmC//nagB//cysM//purN//araB//tyrA//
GlcC-Acetate_neg	
GlcC-Acetate_pos	deoB//deoC//rbsD//
GlcC-Glycolate_neg	
GlcC-Glycolate_pos	fdhF//dmsA//paaE//
GlrR-Pasp56_pos	
IclR-pyruvate_neg	fumC//speC//tam//
IdnR-5-ketogluconate_neg	sucD//gcvT//
IdnR-5-ketogluconate_pos	mhpD//fau//pheT//dadA//
IdnR-Idonate_neg	lsrG//lsrK//
IdnR-Idonate_pos	gabT//sdhA//yfdE//narH//
IlvY-2-acetolactate_neg	
IlvY-2-acetolactate_pos	cheR//
IlvY-Alfa-acetohydroxybutirate_neg	
IlvY-Alfa-acetohydroxybutirate_pos	paaB//
IscR-2Fe_neg	bcsB//cynS//deoC//ulaD//gnd//
IscR-2Fe_pos	yjeF//cynS//
LldR-L-lactate_neg	frdA//ampD//
LldR-L-lactate_pos	sdhA//gcd//
Lrp-Leucine_neg	metL//fucK//pdeF//yeaE//puuA//cadA//paaJ//paaG//phnG//phnG//appA//ynfG//cysD//patZ//hmp//tyrA//paaZ//folA//hycE//entF//cysJ//bioC//nrdF//entA//
Lrp-Leucine_pos	galM//cheR//xylB//nanM//waaH//xdhB//bglB//gcvP//ansB//gcvT//glcB//uxaB//glpK//lsrF//ubiC//ulaF//pflB//mhpD//
LsrR_neg	araD//paaC//dadA//mhpF//ssuD//
MalT-ADP-Maltotriose_pos	tam//ubiG//abgA//nrdB//ung//tyrA//
MalT-Maltotriose-ATP_pos	uidA//glpE//napG//garR//fucI//dadX//
MelR-Melibiose_neg	bacA//lacA//
MelR-Melibiose_pos	purA//cynT//
MetJ-S-adenosylmethionine_neg	lsrG//lacZ//mhpA//aspC//fes//paaJ//cysJ//argB//fucA//rutA//
MetR-L-homocysteine_neg	iscS//
MetR-L-homocysteine_pos	hycB//citE//fadE//hycG//
MhpR-3-DHPP_pos	nrfB//waaH//fadH//adhE//glpQ//gutQ//
MhpR-3HPP_pos	fadI//trpC//cadA//ada//aroL//nrdB//
MntR-Cd2+_neg	puuC//
MntR-Cd2+_pos	tam//
ModE-MoO42-_neg	garL//trpD//cysJ//tam//puuB//rnpB//garL//prpB//
ModE-MoO42-_pos	tehB//deoA//paaA//napA//araD//aspC//
NarL-Phosphorylated_neg	ubiC//yeaE//nrfD//lpxB//hyaB//rhaA//citX//dusB//pheT//uxuB//fdhF//torA//ulaE//nrfD//cynS//galM//glgB//fadB//cysD//lacZ//phnI//nrdD//ulaD//ansB//
NarL-Phosphorylated_pos	metF//nrdD//gntK//prpD//pyrC//ynfE//ubiX//serC//mhpD//bacA//bcsB//trpE//eda//nrfD//galK//
NarP-Phosphorylated_neg	gnd//phnO//ssuE//
NarP-Phosphorylated_pos	ulaE//glpQ//yjeF//fucK//cpdB//avtA//glpQ//fucA//purE//carB//
NhaR-Na+_pos	waaH//lysA//lsrG//acnB//
NikR-Cd2+_neg	glpC//
NikR-Co2+_neg	miaA//
NikR-Cu2+_neg	napC//
NikR-Ni2+_neg	purK//
NikR-Zn2+_neg	citF//
NrdR-ATP_neg	paaG//paaI//iscS//metK//
NrdR-Zn2+_neg	napB//hflX//xdhA//glpA//
NrdR-dATP_neg	katG//ilvH//dapD//metH//
NsrR-2Fe_neg	glcE//phnM//pheT//gnd//pck//upp//araA//nrfC//mutL//gatD//hcp//ldtC//acnB//gabT//truB//paaJ//malZ//purL//araB//frdA//ssuD//torA//ilvI//gnd//slt//fabZ//gdhA//yjeF//gatD//yjeF//
PhoB-Phosphorylated_neg	rutA//bcsA//rdoA//srlD//lacA//
PhoB-Phosphorylated_pos	fabZ//nrdE//dnaE//gatY//allC//paaE//ahpC//rutB//pagP//gpsA//araD//hycC//rutA//rutC//fdhF//mhpE//atoD//
PhoP-Phosphorylated_neg	pflB//phnM//cynS//
PhoP-Phosphorylated_pos	astD//acnB//pgpC//ispE//acnB//narH//feaB//ilvG_1//purK//ynfG//ftnA//metA//gutQ//xdhC//nrdE//dnaE//speA//entA//fucU//pncB//uxaC//fucI//cysD//galE//yfdE//polA//ulaD//sucC//pck//puuD//uxaB//dsdA//adhE//cheB//
PrpR-2-methylcitrate_neg	
PrpR-2-methylcitrate_pos	mutL//aceE//guaA//idnK//
PurR-Guanine_neg	puuA//bioD//xylA//fucU//nrdA//hyaA//gabT//cynT//entF//xylA//tdcG//agp//umpH//rnpB//glpC//eda//cysC//rdoA//sucC//sucC//entA//fumA//cysD//miaA//lsrF//yqjH//ilvG_1//
PurR-Hypoxanthine_neg	moaD//rbsK//lldD//glpC//thrS//moaA//argA//purF//tdcE//lhgO//tnaA//astA//trpD//puuA//glpQ//hycE//metK//xdhC//gdhA//ada//gltB//purC//purB//astC//purE//acs//fdhF//
QseB-Phosphorylated_pos	
RhaR-L-rhamnose_pos	
RhaS-L-rhamnose_pos	nrdB//phnJ//udp//
RstA-Phosphorylated_neg	gapA//kbl//
RstA-Phosphorylated_pos	preT//
SoxR-2Fe_neg	
SoxR-2Fe_pos	caiA//garK//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	dusB//gcvP//folA//
TrpR-Tryptophan_neg	chbF//caiB//paaZ//gadB//murQ//cysH//sufS//gltA//cueO//
TyrR-L-tryptophan_neg	lsrF//atoA//moeB//metE//rutB//preT//frdD//
TyrR-L-tryptophan_pos	rhaA//prpD//entF//
TyrR-Phenylalanine_neg	bioC//katE//ilvD//pgaD//pheS//umpH//sucA//
TyrR-Phenylalanine_pos	narI//alaA//garK//
TyrR-Tyrosine_neg	rbsK//cysG//rbsK//entF//puuB//dkgB//cadA//
TyrR-Tyrosine_pos	glpX//glpB//glpX//
UhpA-Phosphorylated_pos	phnN//
XapR-xanthosine_pos	sdhB//nrfD//
XylR-Xylose_pos	ilvG_2//sufS//nirB//
ZntR-Cd2+_pos	ilvD//
ZntR-Hg_pos	ynfH//
ZntR-Zn2+_pos	rutD//
ZraR-Phosphorylated_pos	
Zur-Zn2+_neg	sdhB//
