# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	mutY//malP//
CRP-cAMP_pos	aceE//ilvA//glgX//appA//glcD//hycE//hycC//gatY//xdhC//glpB//glcF//nagB//trpB//aroG//puuE//preA//ilvM//dadX//entD//atoD//xdhC//mutL//pheS//argD//moaE//sdaA//ulaE//dsdA//sdhA//ilvB//hypB//speA//ubiA//melA//argC//ldtC//sodB//sucB//chbG//bcsB//dapD//preA//entC//mhpB//napB//pagP//nrdA//gpsA//malP//yfbR//prpE//phnN//iscS//cysM//ada//uxuA//sucB//cadA//edd//lpxD//xylB//nadC//narH//purA//entF//mhpC//phnM//phnN//ynfG//puuE//tauD//gatD//psd//phnH//dusB//hmp//fadI//purN//ubiG//phnN//ynfE//alkA//talA//ppiA//speA//pnp//cysK//ilvE//preA//dapB//katG//allC//rutC//xylB//fadA//entH//glnA//adhE//ppiA//gapA//phnP//nrfB//entB//fabZ//cysM//ampD//ynfG//lysA//glpX//hyaB//sucB//glgC//lpxA//gatZ//xapA//rutC//oxc//galM//glpA//nrfB//metH//dnaE//nrdB//pnp//hyaB//katE//purN//glgC//thrS//rutE//aspA//fucO//trpC//gltB//ilvH//ulaF//atoB//gcvT//xdhB//mhpA//purM//ilvB//pgaD//frdA//moaE//aceA//glpC//phoA//cpdB//cysJ//ilvN//ilvG_2//dmsC//ubiA//hycF//atoB//ilvB//gabD//nrfA//icd//caiB//argH//fadE//aroG//araB//xapA//edd//atoB//ilvN//sodA//nrdE//frdA//abgA//caiD//mhpE//rhaD//hyaB//dnaE//fadI//bcsB//puuE//alaS//caiD//fadH//ynfH//gcvT//avtA//entD//purE//entC//xapA//mutY//codA//udp//ybjG//tauD//prs//glnA//paaE//ascB//polA//hyaC//feaB//tadA//eda//purM//folA//alkA//cynS//citC//dadX//glcB//rutA//paaA//yfdE//xdhA//abgB//glpQ//nrdB//nrfB//paaJ//gdhA//psd//cadA//srlD//ilvG_1//acs//trpB//hycD//fadJ//gpsA//rbsK//nrfA//fucU//caiD//rhaD//atoA//sdhB//citF//bcsB//lacZ//edd//glpD//
ChbR-Monoacetylchitobiose-6P_neg	paaI//xylB//mhpD//
ChbR-Monoacetylchitobiose-6P_pos	yfbR//caiD//lacZ//
CpxR-Phosphorylated_neg	lpd//paaJ//carB//
CpxR-Phosphorylated_pos	paaB//napB//mhpE//yfeW//hycF//preT//phnN//lldD//purF//uxaB//pgaD//cysH//uxaB//cysM//uvrA//codA//caiD//idnD//glcE//
CreB-Phosphorylated_neg	cheR//
CreB-Phosphorylated_pos	citG//ilvA//
CueR-Ag_neg	argC//gntK//
CueR-Ag_pos	purM//uxuA//
CueR-Cu+_neg	ilvG_2//fucO//
CueR-Cu+_pos	betB//nrdF//
CuerR-Au_neg	aldB//rbsK//
CuerR-Au_pos	waaH//treC//
CusR-Pasp_pos	aceE//astA//allE//
CynR-Cyanate_neg	
CynR-Cyanate_pos	dnaE//allE//lacA//
CysB-N-acetyl-L-serine_neg	lacA//rutC//prpC//
CysB-N-acetyl-L-serine_pos	gltA//dmsA//hcp//dmsB//entB//nadC//truB//caiB//dmsA//dmsC//guaA//cpdB//malS//
CysB-O-acetyl-L-serine_neg	tdcB//katE//hycF//
CysB-O-acetyl-L-serine_pos	cheR//lacZ//allC//betA//glyA//cysM//slt//metC//puuA//ilvA//betA//sdhD//udp//nrdE//
DcuR-Phosphorylated_pos	lsrG//ybjG//gapA//yfbR//
DnaA-ATP_neg	araB//hyaB//galK//gcvH//edd//
DnaA-ATP_pos	ispE//paaA//atoB//
DpiA-Pasp_neg	
DpiA-Pasp_pos	cysN//aroA//bioD//alaA//glgA//
DsdC-D-serine_neg	
DsdC-D-serine_pos	hycD//fadE//
EvgA-Phosphorylated_pos	purH//tdcE//galE//hycC//deoC//
FNR-Fe_neg	agp//idnO//sucD//bcsZ//uxuB//dnaE//paaF//aldB//alaA//metH//argA//alkA//nrfA//manA//cysG//fadJ//ulaF//glpA//betB//malQ//cysH//sucA//iscS//galM//hycC//paaG//chbG//fucA//malZ//cheB//acnA//mtlD//pdeF//gcvT//pgaC//dnaE//glgC//aroG//glpD//fadH//paaH//prpC//glpC//ulaE//gatZ//slt//appA//
FNR-Fe_pos	bioC//lysC//yjeF//pgaC//allC//preA//sdhA//nirD//astD//narG//lpxD//lpxA//dkgB//bioC//pncB//allC//sufS//argI//metB//ampD//glcB//mhpC//paaI//cheR//chbF//torC//entA//lpxD//dadX//metL//miaA//gatY//ftnA//fucA//nirB//ilvC//mltC//serA//paaE//moaA//nanA//upp//malQ//ilvM//bioC//purF//ubiA//guaB//metB//acnA//ynfE//sodA//bcsA//aroL//pncB//cysD//acs//cysC//hycB//mpl//sucA//lacZ//fdhF//glpQ//lpxA//aroF//argH//aroL//codA//entD//lsrF//nirD//uvrA//bioD//glcF//lysC//glpE//tnaA//iscS//argF//paaE//purL//ilvB//uvrA//kbaZ//tehB//katG//mpl//entH//gatD//mhpF//rutD//
FhlA-Formate_pos	gabT//paaB//gcd//frdD//araA//glgC//deoC//
FucR-L-fuculose-1-phosphate_pos	phoA//acs//glgB//lsrF//trpB//trpE//
Fur-Fe2+_neg	napA//narH//cynS//astB//glgP//entF//ada//gntK//gatY//gpmA//tdcE//sdhB//sodA//paaB//folA//dkgB//sdhA//hycG//patZ//narH//tauD//cadA//puuE//cyaA//glpE//aceB//entE//glpC//uxaB//allE//entC//moaA//cysD//pgk//purC//bcsZ//gcvT//hyaA//nrdF//phnJ//gutQ//cheB//xylA//glcF//dmsC//frdC//paaA//ubiX//narH//fau//murQ//deoB//hycF//glpB//argB//araB//lpxA//nanA//ahpC//
Fur-Fe2+_pos	rdoA//mhpB//lysU//entH//purE//yqjH//nrdA//citF//tnaA//nanE//ubiC//hcp//glgX//paaH//lacZ//metB//cyoE//purH//katE//bcsA//
Fur-Mn2+_neg	ilvH//cysI//tehB//glgA//tnaA//sucD//ldtC//fdhF//paaK//hemL//citX//aldA//phnN//acnB//frdC//rutE//rutE//gatZ//hcp//pgpC//bioF//ilvA//paaK//araB//alkA//nrfD//abgA//gcvP//bioD//malQ//miaA//lysC//feaB//dapD//nrdF//ilvD//murQ//fau//cadA//frdD//cyoE//deoD//alkB//aroA//cyaA//uxaA//mhpA//rhaD//abgB//gpmA//citD//nagA//glgX//carA//glpA//speB//fumB//hmp//phnN//
Fur-Mn2+_pos	argC//ssuD//hycC//upp//fadA//paaH//edd//hmp//tyrA//hycF//phnL//gatY//moaE//folA//gutQ//hyaA//tehB//pgaD//aceA//lysA//
GlcC-Acetate_neg	
GlcC-Acetate_pos	cysI//tyrA//pyrC//
GlcC-Glycolate_neg	
GlcC-Glycolate_pos	frdA//fucO//garR//
GlrR-Pasp56_pos	
IclR-pyruvate_neg	hyaC//dnaE//melA//
IdnR-5-ketogluconate_neg	acs//fucK//
IdnR-5-ketogluconate_pos	entC//paaF//paaE//malS//
IdnR-Idonate_neg	malP//bglB//
IdnR-Idonate_pos	tadA//deoC//pflB//citX//
IlvY-2-acetolactate_neg	
IlvY-2-acetolactate_pos	caiA//
IlvY-Alfa-acetohydroxybutirate_neg	
IlvY-Alfa-acetohydroxybutirate_pos	nagB//
IscR-2Fe_neg	lsrF//gutQ//appA//ung//argF//
IscR-2Fe_pos	yfdE//prpD//
LldR-L-lactate_neg	torC//feaB//
LldR-L-lactate_pos	astC//pgk//
Lrp-Leucine_neg	dmsB//napB//phnO//sdhA//aroG//sucB//metL//mdh//sdhD//acnB//tam//udp//pyrD//moeB//tnaA//mhpF//napB//cysK//ybjG//ilvH//sdhC//lpd//ilvM//mhpF//
Lrp-Leucine_pos	pdeF//cysC//fucO//gltD//mtlD//xdhC//sdhA//cysC//metH//bioB//speA//nrdF//paaK//fadB//prpB//prpB//tadA//ahpF//
LsrR_neg	glpD//sucD//metF//katG//nadC//
MalT-ADP-Maltotriose_pos	lpxA//epd//nanK//paaB//mpl//epd//
MalT-Maltotriose-ATP_pos	napC//preT//paaA//fucI//nrfB//nirB//
MelR-Melibiose_neg	gltD//dadX//
MelR-Melibiose_pos	glcE//tehB//
MetJ-S-adenosylmethionine_neg	lpxB//cheR//pnp//gntK//pta//cysM//speA//psd//paaJ//ilvA//
MetR-L-homocysteine_neg	dgcZ//
MetR-L-homocysteine_pos	sufS//bioD//glpX//bioA//
MhpR-3-DHPP_pos	nrfC//ynfH//argA//xdhC//cysM//hemA//
MhpR-3HPP_pos	psd//citE//galM//moaA//paaE//pdeF//
MntR-Cd2+_neg	katG//
MntR-Cd2+_pos	citX//
ModE-MoO42-_neg	tdcG//astE//fdhF//hycG//gapA//fucU//srlD//ulaF//
ModE-MoO42-_pos	rdoA//uxuA//murQ//ilvC//narH//sdhB//
NarL-Phosphorylated_neg	argI//lysA//bcsB//citX//prmC//fucI//napG//ubiA//dmsA//ilvD//fadE//agp//gcvP//garR//hpt//entE//nanE//rhaA//hycD//fadE//xdhB//fumC//deoB//glgP//
NarL-Phosphorylated_pos	torA//fumB//avtA//metB//oxc//hycE//gatD//glgA//speB//pgaC//entH//gdhA//hypF//glpX//allC//
NarP-Phosphorylated_neg	nirB//paaE//mtlD//
NarP-Phosphorylated_pos	entB//talA//rhaD//pagP//moaD//umpH//dusB//yeaE//gutQ//galE//
NhaR-Na+_pos	ansB//mhpD//ubiX//rutA//
NikR-Cd2+_neg	araD//
NikR-Co2+_neg	gapA//
NikR-Cu2+_neg	gabD//
NikR-Ni2+_neg	napB//
NikR-Zn2+_neg	purK//
NrdR-ATP_neg	metA//hypF//purM//nrdF//
NrdR-Zn2+_neg	katG//mhpA//pyrD//nadC//
NrdR-dATP_neg	xdhB//fabZ//uxuA//glpB//
NsrR-2Fe_neg	betB//paaH//frc//speA//tdcD//nirD//bcsZ//sodA//uxuA//gabT//mutY//rdoA//mutL//cysN//aroG//codA//phnN//sucB//atoB//hpt//umpH//tdh//deoC//yeaE//uvrA//paaC//ilvI//fadI//cysI//ackA//
PhoB-Phosphorylated_neg	acs//upp//mhpC//rhaD//acnA//
PhoB-Phosphorylated_pos	argH//nanE//nrdF//glpX//ahpF//paaZ//paaZ//argH//caiA//ilvB//glpB//galT//chbF//sdhD//cysN//mpl//nrdB//
PhoP-Phosphorylated_neg	bacA//purN//hycD//
PhoP-Phosphorylated_pos	ybjG//speC//entC//puuA//ahpF//alaA//icd//gltB//nanE//abgB//fadB//bioA//gnd//argG//feaB//uvrA//dapB//fucA//preA//umpH//ilvA//rnpB//paaI//lysC//trpC//bcsA//preT//chbF//purM//nirB//glpQ//citC//folE//entC//
PrpR-2-methylcitrate_neg	
PrpR-2-methylcitrate_pos	metC//rutD//gpsA//bcsB//
PurR-Guanine_neg	nirB//torA//torC//mhpA//thrS//cheB//treC//mhpB//gdhA//polA//xdhB//rhaB//ynfE//phnP//uxaA//lsrF//dusB//pheS//gabD//pyrC//bacA//prmC//ubiG//pgk//hycB//acs//malP//
PurR-Hypoxanthine_neg	paaB//sodB//purL//alkB//melA//metE//napG//pta//idnD//purN//gltB//rhaD//astC//bioC//malY//glcB//metF//dapB//uxaC//malZ//malZ//uxaA//idnO//ackA//ulaF//abgA//tam//
QseB-Phosphorylated_pos	
RhaR-L-rhamnose_pos	
RhaS-L-rhamnose_pos	tehB//fabZ//dgcZ//
RstA-Phosphorylated_neg	entA//gatZ//
RstA-Phosphorylated_pos	avtA//
SoxR-2Fe_neg	
SoxR-2Fe_pos	malP//speB//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	citF//glcB//carB//
TrpR-Tryptophan_neg	bcsZ//lacZ//lacA//adhE//mutL//ssuD//glpE//ulaD//cysC//
TyrR-L-tryptophan_neg	paaA//upp//glcB//glgP//rutC//fumB//ynfH//
TyrR-L-tryptophan_pos	trmD//puuE//garR//
TyrR-Phenylalanine_neg	truB//glnA//metC//malZ//entB//ubiA//gcvT//
TyrR-Phenylalanine_pos	uvrA//pnp//sucB//
TyrR-Tyrosine_neg	eda//hypF//entC//glpB//preT//ppiA//pgk//
TyrR-Tyrosine_pos	ppiA//fucI//ada//
UhpA-Phosphorylated_pos	upp//
XapR-xanthosine_pos	argA//ispE//
XylR-Xylose_pos	dadX//pagP//srlD//
ZntR-Cd2+_pos	tnaA//
ZntR-Hg_pos	metE//
ZntR-Zn2+_pos	caiB//
ZraR-Phosphorylated_pos	
Zur-Zn2+_neg	pgpC//
