# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	phnM//puuE//
CRP-cAMP_pos	ispE//hmp//ascB//rutA//glcD//mhpD//purC//lsrF//paaC//prpE//allD//rutC//betB//yfdE//mhpD//hemA//trpD//frdC//ilvH//glgC//bioD//epd//fes//ispE//hflX//glpQ//gcvP//gpmA//gltD//moeA//aroF//rutD//metH//citG//citG//speB//entB//sucA//deoC//mtlD//gatY//garL//cysI//cdd//ilvM//sufS//atoB//purF//folE//rbsD//pyrD//dusB//allE//nanK//umpH//agp//citE//uxuB//fumA//glcD//trmD//torC//appA//dmsA//puuA//speB//phnI//gapA//argF//cdd//trpB//fucA//ulaD//uxaC//phnN//purA//purA//hpt//yfeW//nirD//prpD//fucK//aroH//moaA//dapD//caiD//srlD//hycD//ilvH//paaJ//rbsD//dusB//tdcB//yeaE//ubiA//ascB//nagB//sufS//ahpF//bglB//purE//pagP//aspA//lacA//tdcD//purC//ulaD//mhpF//frdB//patZ//sufS//frdD//idnK//pncB//amn//paaK//metH//zwf//paaH//rutB//phnJ//alaA//argC//metC//idnO//frdC//phnG//uidA//lpxB//sodB//entF//ackA//pta//ssuE//pgpC//purB//hycD//gltD//appA//lpxB//pyrD//tam//pyrD//tdcE//ilvN//dadX//hyaB//mhpB//lsrF//avtA//glpC//pgk//cdd//folA//paaZ//tsaE//pgaB//entE//abgB//cynT//yfdE//araD//hmp//aceB//ogt//tdcG//ilvD//entD//abgB//tktB//argB//mltC//entF//hycB//alaA//icd//chbG//rnpB//hcp//glyA//dmsA//metB//rutD//katE//rbsK//ulaE//idnO//trpC//bacA//edd//bioB//yfeW//sdhB//sdhA//paaA//entC//metH//manA//galE//avtA//tnaA//pgaC//hycB//rhaA//aceE//paaG//napB//deoC//tnaA//fdhF//pyrC//glpX//ogt//ilvI//mhpD//uxuA//hypF//gabT//glpK//citC//dmsC//hycE//murQ//codA//mdh//gcd//phnI//hmp//ftnA//fucO//araD//purC//purL//prs//ubiA//glyA//cadA//tehB//talA//recF//napG//acnB//puuC//
ChbR-Monoacetylchitobiose-6P_neg	frdD//hycD//carA//
ChbR-Monoacetylchitobiose-6P_pos	ilvN//hpt//gltB//
CpxR-Phosphorylated_neg	galM//trpE//glyA//
CpxR-Phosphorylated_pos	ilvC//frdA//dapD//uxaA//abgA//prpD//folE//ada//cynT//aroH//cyaA//entD//gltD//ahpF//abgB//zwf//cysI//purB//puuE//
CreB-Phosphorylated_neg	sodB//
CreB-Phosphorylated_pos	carB//galT//
CueR-Ag_neg	glpD//glyA//
CueR-Ag_pos	fadH//bglB//
CueR-Cu+_neg	gcd//purA//
CueR-Cu+_pos	galM//rhaD//
CuerR-Au_neg	glyA//trpB//
CuerR-Au_pos	frdB//aroF//
CusR-Pasp_pos	glnA//glpC//garL//
CynR-Cyanate_neg	
CynR-Cyanate_pos	nagA//cadA//gnd//
CysB-N-acetyl-L-serine_neg	lacA//purC//paaZ//
CysB-N-acetyl-L-serine_pos	cysK//sdhA//hemA//hcp//fumC//bioD//cysK//garR//glpX//mpl//cyoE//rhaA//aceA//
CysB-O-acetyl-L-serine_neg	ilvG_2//ftnA//ilvG_2//
CysB-O-acetyl-L-serine_pos	ulaF//bcsB//phnP//cheB//paaJ//mhpA//hycG//purB//prpE//cysC//hemA//pyrD//glgC//glpQ//
DcuR-Phosphorylated_pos	ynfG//hpt//frdB//metC//
DnaA-ATP_neg	icd//fau//preT//cheR//glcD//
DnaA-ATP_pos	purD//ftnA//ahpC//
DpiA-Pasp_neg	
DpiA-Pasp_pos	pyrC//phnH//ssuE//gcvT//kbl//
DsdC-D-serine_neg	
DsdC-D-serine_pos	speB//trpC//
EvgA-Phosphorylated_pos	entE//gcvH//cdd//uxuB//phnH//
FNR-Fe_neg	garL//tyrA//fucK//astD//gatY//gntK//carA//gabD//oxc//gcvP//paaZ//caiC//ilvB//atoD//glpD//recF//ynfF//astB//hcp//trpB//prmC//puuB//paaK//pta//entB//pgaD//paaC//fumC//melA//ogt//lpd//gcvH//rhaD//tauD//guaB//frdC//cysI//uxaC//dmsA//trmD//xylA//pheT//napB//alkB//cynS//nagA//metB//
FNR-Fe_pos	lysC//glpE//glgB//garR//ilvM//bglB//carB//thrS//zwf//avtA//purM//ldtB//lpd//dapB//cueO//paaA//deoA//sucB//lpxA//araD//murQ//cysN//hflX//glpA//patZ//trpD//ulaE//amn//eda//nanE//adhE//ackA//aroA//atoD//guaA//phnO//astC//hycC//atoD//lldD//garL//purB//folE//tdcE//aroH//ilvM//lpxD//glgC//dmsC//aroG//treC//aroH//metK//citG//phnJ//hycC//uxuA//dadA//hmp//hyaC//codA//guaB//hycE//citG//glgP//glgC//rutD//tyrA//rhaA//cysI//recF//pdeF//idnD//paaG//pgk//fadI//uxuA//uidA//sodB//gabT//alkB//galM//nanE//gcvT//aroG//citC//manA//napA//citD//avtA//hypB//abgA//
FhlA-Formate_pos	sucC//ugpQ//prpC//uvrA//gpmA//rbsD//tsaE//
FucR-L-fuculose-1-phosphate_pos	trpC//preT//hycF//nrdE//cysJ//glgP//
Fur-Fe2+_neg	purD//sdaA//mpl//lpd//paaH//srlD//frc//hypB//nrfC//mdh//ilvM//xapA//purF//ansB//mhpA//paaC//sdaA//glpA//mhpD//nrdF//deoC//paaE//pgk//gadB//prpC//gutQ//prpD//hyaA//abgA//bioB//metL//glgP//mhpC//puuB//dadA//paaE//torA//sucC//purF//phnP//glpB//napG//argF//pagP//garR//napG//entE//fucU//ynfH//fucI//gcd//nrdE//trpA//purM//mhpE//hycF//cysC//astD//preT//
Fur-Fe2+_pos	ldtB//acnA//napA//dapD//epd//nrdF//cysM//argH//truB//hyaA//rbsK//bioF//araB//umpH//xdhB//argB//mpl//tdcD//glgC//cysD//
Fur-Mn2+_neg	entB//dapD//cysI//entC//gabT//icd//fadB//tsaE//appA//fucA//ilvB//napG//caiB//hycC//acs//tktB//prpB//pgpC//hycB//recF//aroH//astE//fadJ//astA//glpE//malZ//pgaB//pyrD//citX//phnJ//chbG//hpt//puuE//gnd//pgaB//rutD//trpC//ugpQ//hycE//ackA//nrdE//abgB//mhpA//citG//aroA//garL//metL//rbsD//trpA//tehB//manA//folE//cysM//serC//preT//garL//ulaF//edd//mhpA//
Fur-Mn2+_pos	ubiC//yjeF//ilvB//rutC//gabT//yfeW//hcp//gltA//pdeF//hemA//allE//araA//araB//garR//lldD//phnI//entB//kbl//fucU//aroF//
GlcC-Acetate_neg	
GlcC-Acetate_pos	hyaC//cyoE//purC//
GlcC-Glycolate_neg	
GlcC-Glycolate_pos	fucU//ogt//sufS//
GlrR-Pasp56_pos	
IclR-pyruvate_neg	rutA//glcE//oxc//
IdnR-5-ketogluconate_neg	udp//lhgO//
IdnR-5-ketogluconate_pos	pncB//aceF//paaZ//cpdB//
IdnR-Idonate_neg	ynfF//purK//
IdnR-Idonate_pos	glgC//glpQ//nanM//uxaA//
IlvY-2-acetolactate_neg	
IlvY-2-acetolactate_pos	cdd//
IlvY-Alfa-acetohydroxybutirate_neg	
IlvY-Alfa-acetohydroxybutirate_pos	citF//
IscR-2Fe_neg	mhpC//tsaE//tauD//acs//narI//
IscR-2Fe_pos	gltD//moeB//
LldR-L-lactate_neg	uidA//napA//
LldR-L-lactate_pos	paaH//fucA//
Lrp-Leucine_neg	dkgB//acnA//metA//fucU//argB//ada//narH//ahpC//ilvC//cysN//xylA//paaZ//fadE//glcD//astE//pck//chbG//truB//sdhC//argB//xylA//narG//nrfA//puuE//
Lrp-Leucine_pos	ilvC//puuE//paaC//tdcB//gatY//upp//tauD//bacA//ubiX//citG//phnP//guaB//torA//trpE//glpB//hmp//cynT//cysM//
LsrR_neg	purL//glgA//pdeF//aroA//pheT//
MalT-ADP-Maltotriose_pos	ppiA//guaB//hypF//pflB//ldtB//polA//
MalT-Maltotriose-ATP_pos	torA//rhaD//acs//glpQ//nrdF//purD//
MelR-Melibiose_neg	folA//bglB//
MelR-Melibiose_pos	glpK//chbG//
MetJ-S-adenosylmethionine_neg	mpl//puuC//hypB//bcsA//deoB//trmD//feaB//paaI//fadE//fadI//
MetR-L-homocysteine_neg	idnO//
MetR-L-homocysteine_pos	prpC//uxaC//abgA//hmp//
MhpR-3-DHPP_pos	tdcG//astB//ilvG_2//astE//ada//prpD//
MhpR-3HPP_pos	cysN//tyrB//narI//abgB//ulaD//guaA//
MntR-Cd2+_neg	eda//
MntR-Cd2+_pos	idnO//
ModE-MoO42-_neg	yqjH//purM//lpd//frc//fucO//yfeW//nanA//bacA//
ModE-MoO42-_pos	uxaC//rutD//acnB//prpC//abgA//appA//
NarL-Phosphorylated_neg	nrdB//ansB//phnH//aldA//paaH//nrdD//ppiA//uxaB//trpA//pgk//cysI//lpxB//alkA//preA//rbsD//phnJ//uxuA//lldD//paaB//ftnA//gutQ//paaK//hemL//malQ//
NarL-Phosphorylated_pos	napB//paaI//phnP//pgaD//aroL//paaC//phnL//nanE//cysH//hemA//kbl//citF//mtlD//citG//mtlD//
NarP-Phosphorylated_neg	astA//araB//aroF//
NarP-Phosphorylated_pos	nanM//glcF//nirD//cynS//xylB//gdhA//caiA//bioF//nanK//lsrG//
NhaR-Na+_pos	glnA//avtA//rdoA//gpsA//
NikR-Cd2+_neg	tyrB//
NikR-Co2+_neg	phnL//
NikR-Cu2+_neg	oxc//
NikR-Ni2+_neg	ampD//
NikR-Zn2+_neg	fadI//
NrdR-ATP_neg	rhaD//hyaB//napG//lpd//
NrdR-Zn2+_neg	glnA//glcD//pdeF//purL//
NrdR-dATP_neg	bacA//mhpC//abgA//aldA//
NsrR-2Fe_neg	malY//pflB//cysJ//ahpF//gpmA//metL//melA//metE//mhpB//gpsA//sdhD//hyaA//prmC//glpK//fucK//miaA//ndh//aspC//tktB//aceF//uidA//prpE//paaJ//acnA//ahpF//sdhD//lsrG//glcE//caiC//paaZ//
PhoB-Phosphorylated_neg	chbF//uxaC//nrfB//aceB//metL//
PhoB-Phosphorylated_pos	bioA//tsaE//treC//torA//miaA//atoD//betB//tauD//malS//chbF//cpdB//cysD//ulaE//trpC//aspC//puuB//idnD//
PhoP-Phosphorylated_neg	argF//hycC//phoA//
PhoP-Phosphorylated_pos	nrfC//recF//uidA//nirD//katG//purB//eda//malZ//purN//entD//ssuD//mdh//caiD//yfeW//alaA//bioA//zwf//glcE//argH//yqjH//rdoA//napC//sufS//galM//murQ//thrS//appA//nirD//hyaA//trmD//abgA//hflX//guaB//pheS//
PrpR-2-methylcitrate_neg	
PrpR-2-methylcitrate_pos	yfbR//xdhA//caiD//sdhA//
PurR-Guanine_neg	gcvH//guaA//paaC//phnO//astB//araB//malY//cysH//galM//thrS//purD//gcd//aceE//xdhC//glpK//fadH//hypF//puuE//phnI//cadA//iscS//amn//hycF//rutC//lacA//entF//gadB//
PurR-Hypoxanthine_neg	glcB//glgC//tadA//hmp//citD//ascB//argA//malS//uidA//uxaA//paaA//sodA//gntK//ilvG_2//cynT//yqjH//lpxA//argE//eda//araB//nirB//malS//purB//rutC//xapA//glpX//entA//
QseB-Phosphorylated_pos	
RhaR-L-rhamnose_pos	
RhaS-L-rhamnose_pos	ilvH//sufS//aroH//
RstA-Phosphorylated_neg	dadA//dmsC//
RstA-Phosphorylated_pos	fadB//
SoxR-2Fe_neg	
SoxR-2Fe_pos	pncB//astD//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	astE//rutC//aroA//
TrpR-Tryptophan_neg	ilvC//xylA//allC//galT//uidA//purF//carA//argC//kbl//
TyrR-L-tryptophan_neg	hycG//ampD//malZ//garR//tdcE//cynS//fumA//
TyrR-L-tryptophan_pos	purA//cysJ//galM//
TyrR-Phenylalanine_neg	idnO//tdh//fadA//pheT//glgX//sdhD//ascB//
TyrR-Phenylalanine_pos	entA//lysC//malQ//
TyrR-Tyrosine_neg	dnaE//argC//pncB//rutE//paaI//chbF//fadE//
TyrR-Tyrosine_pos	paaZ//nrdB//pheS//
UhpA-Phosphorylated_pos	narG//
XapR-xanthosine_pos	glgA//garR//
XylR-Xylose_pos	mltC//pgpC//paaK//
ZntR-Cd2+_pos	cysI//
ZntR-Hg_pos	serC//
ZntR-Zn2+_pos	thrS//
ZraR-Phosphorylated_pos	
Zur-Zn2+_neg	gcd//
