# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	trpD//sucD//
FNR-Fe_neg	talA//dnaE//galM//metB//prpD//polA//dadX//srlD//nagA//tsaE//paaG//hcp//idnK//glcD//entD//purF//paaA//trpD//udp//mdh//preA//polA//adhE//glgA//agp//metA//cysC//carA//pnp//preA//mpl//glgP//gcvP//sodB//argE//dmsB//bcsB//phoA//nrdA//galE//ada//ispE//rutB//carB//metC//dsdA//entD//
FNR-Fe_pos	gatD//ynfG//ulaE//bcsA//metC//fumA//glpC//acs//ubiG//galT//deoC//ybjG//pnp//allD//caiC//deoB//nagB//ftnA//purM//allD//yqjH//lpxA//oxc//speB//paaF//acnB//fadA//phnM//guaA//gatD//prpE//metF//paaG//nagA//tyrB//pdeF//gatD//srlD//nadC//frc//ilvG_2//frdA//araB//fadD//aroL//fucI//srlD//nrdE//cheR//purL//ascB//sdaA//sodA//cysC//appA//pdeF//moeB//sdaA//argF//glpX//xapA//mhpF//pflB//nrdB//metB//uxaC//katG//bcsA//ulaF//astC//tdcD//glpE//bioF//cheR//pgk//uxaC//cysK//hflX//tadA//lysC//trpB//pheT//atoA//lsrG//hycC//glcF//argF//tyrB//purE//upp//metF//citX//
FhlA-Formate_pos	uidA//agp//yfbR//agp//rutA//glpE//tadA//
FucR-L-fuculose-1-phosphate_pos	yfbR//ldtB//bioD//fau//aldA//citE//
Fur-Fe2+_neg	rhaD//lpd//phnN//moaE//gltD//ilvB//nanA//pgk//pyrC//glpD//puuB//gdhA//atoB//hycC//nanK//tam//tdcG//speA//preA//nanA//alkA//araB//preA//pgaC//ulaD//prpB//puuE//moaE//gdhA//gcvT//moaA//glpD//pnp//gabT//nagB//caiD//hycG//icd//chbG//astB//pncB//glpC//hemA//galT//fadB//metC//purA//sdhA//pgaD//talA//umpH//ilvI//purN//citE//aceE//bioD//murQ//malS//nagA//
Fur-Fe2+_pos	murQ//lhgO//cheB//trmD//araB//sucA//lsrF//fabZ//fdhF//betB//gntK//citC//xdhB//ssuD//lhgO//galM//rbsK//prpD//frdA//ynfG//
Fur-Mn2+_neg	yfeW//gltA//mhpC//aspA//bglB//bioF//agp//aceA//ugpQ//dnaE//sdaA//zwf//purC//cysM//yfdE//glpQ//alaA//pncB//icd//gatZ//bioA//purF//glpA//serC//pagP//ilvC//prpD//glcD//cysK//ynfE//moeB//ascB//dadX//hyaC//puuE//manA//nanA//carB//glpB//fadH//nagB//metB//rutD//cyaA//nirD//glnA//bcsA//aroG//prs//rutB//serA//dapD//pgaD//feaB//frdB//udp//glcD//pflB//allE//
Fur-Mn2+_pos	gltA//gntK//pyrC//metB//xdhB//cdd//uxuB//nanK//paaF//pgaD//phnL//preT//purK//pgaB//murQ//kbl//torA//purM//uxuB//yfeW//
GlcC-Acetate_neg	
GlcC-Acetate_pos	alaS//nrdA//yfdE//
GlcC-Glycolate_neg	
GlcC-Glycolate_pos	metF//deoB//pheS//
GlrR-Pasp56_pos	
IclR-pyruvate_neg	sdhB//malY//hycE//
IdnR-5-ketogluconate_neg	cdd//yqjH//
IdnR-5-ketogluconate_pos	ascB//tauD//atoB//tdh//
IdnR-Idonate_neg	hemL//purA//
IdnR-Idonate_pos	citG//tktB//rutA//patZ//
IlvY-2-acetolactate_neg	
IlvY-2-acetolactate_pos	dmsB//
IlvY-Alfa-acetohydroxybutirate_neg	
IlvY-Alfa-acetohydroxybutirate_pos	fabZ//
IscR-2Fe_neg	sdhD//mutY//aceE//aspC//entA//
IscR-2Fe_pos	betA//metL//
LldR-L-lactate_neg	recF//ung//
LldR-L-lactate_pos	mhpF//narH//
Lrp-Leucine_neg	malY//tyrB//nagB//galE//bioF//frdD//dmsB//purB//fucO//lysA//alkA//patZ//hycC//lysC//lpxD//paaJ//adhE//bioF//tauD//pyrD//ulaD//oxc//abgB//nrfB//
Lrp-Leucine_pos	lysC//folE//preA//purC//talA//frdB//metA//araD//glpC//hycF//ubiC//srlD//prpB//malY//puuC//talA//lsrG//dadX//
LsrR_neg	moaD//avtA//deoD//ppiA//hycC//
MalT-ADP-Maltotriose_pos	hyaC//hycF//narH//garK//speC//ung//
MalT-Maltotriose-ATP_pos	dgcZ//dapB//entA//phnN//glcF//atoA//
MelR-Melibiose_neg	nagA//rdoA//
MelR-Melibiose_pos	fadA//alkB//
MetJ-S-adenosylmethionine_neg	dgcZ//gdhA//ada//deoC//frdB//sdaA//phnH//hycB//puuD//fadH//
MetR-L-homocysteine_neg	ubiC//
MetR-L-homocysteine_pos	aroG//moeB//sodB//astB//
MhpR-3-DHPP_pos	carA//cadA//gutQ//mhpF//ispE//fbaA//
MhpR-3HPP_pos	hcp//gatY//gcvH//yqjH//pgaC//speB//
MntR-Cd2+_neg	deoA//
MntR-Cd2+_pos	uxuB//
ModE-MoO42-_neg	hycE//pagP//metE//serA//murQ//carA//gadB//cynS//
ModE-MoO42-_pos	pgk//fadH//hycF//guaB//codA//hycC//
NarL-Phosphorylated_neg	nrfA//guaA//mutY//carA//gapA//fabZ//rhaA//napA//ybjG//serA//paaJ//aroL//bioA//gadB//dgcZ//cheB//upp//tauD//argH//hyaA//mhpA//araB//ubiC//rutA//
NarL-Phosphorylated_pos	ssuE//glcB//ynfF//entD//atoD//fumA//ldtC//dusB//garL//murQ//glcD//codA//ansB//gadB//aceA//
NarP-Phosphorylated_neg	talA//idnO//puuB//
NarP-Phosphorylated_pos	glyA//citD//ackA//purB//dsdA//rnpB//ahpC//speC//glnA//lacZ//
NhaR-Na+_pos	ilvI//mhpF//ubiX//entF//
NikR-Cd2+_neg	polA//
NikR-Co2+_neg	trpA//
NikR-Cu2+_neg	lysC//
NikR-Ni2+_neg	sodB//
NikR-Zn2+_neg	appA//
NrdR-ATP_neg	uxuB//bcsZ//purM//pgk//
NrdR-Zn2+_neg	sdhB//nanK//metH//trpC//
NrdR-dATP_neg	phoA//xdhA//argE//prmC//
NsrR-2Fe_neg	lsrK//sucB//malZ//ung//fes//ubiA//ackA//ssuE//sucC//ahpC//entF//citC//argB//katG//prpB//gnd//sdhC//mhpD//nrdF//metA//prpB//adhE//hypB//dgcZ//purN//moaA//glpK//frdA//yfdE//frc//
PhoB-Phosphorylated_neg	hemA//pagP//prpD//tauD//serA//
PhoB-Phosphorylated_pos	gatZ//tadA//puuE//folE//aceB//preA//astB//sdaA//yfeW//argA//purD//gabT//ackA//aroG//gpmA//tyrA//phnM//
PhoP-Phosphorylated_neg	ndh//yqjH//uxaB//
PhoP-Phosphorylated_pos	iscS//cysJ//hycD//phoA//napA//sucA//nagA//folE//psd//nrfC//paaG//pck//ynfE//ynfH//entH//hflX//pgpC//caiB//sodA//mhpA//ybjG//dnaE//citD//tyrA//fes//frdD//cynT//sufS//tdh//glpK//malS//speB//pnp//nanM//
PrpR-2-methylcitrate_neg	
PrpR-2-methylcitrate_pos	aldB//alkB//puuB//ftnA//
PurR-Guanine_neg	fucU//fadD//alaA//phnM//speA//purB//paaE//metA//kbl//metF//glpE//agp//entA//pncB//prpC//ilvM//citE//malQ//pnp//paaK//psd//mhpE//cysN//udp//galT//pck//carA//
PurR-Hypoxanthine_neg	alaS//purM//prs//agp//lpxA//nrdA//ilvG_1//mhpE//ilvC//sdaA//gltB//fabZ//dapD//caiB//yeaE//dnaE//acnA//pck//speA//gltA//entF//garL//ppiA//entH//folA//edd//aceF//
QseB-Phosphorylated_pos	
RhaR-L-rhamnose_pos	
RhaS-L-rhamnose_pos	lhgO//citC//ynfE//
RstA-Phosphorylated_neg	tdcG//hflX//
RstA-Phosphorylated_pos	avtA//
SoxR-2Fe_neg	
SoxR-2Fe_pos	ynfG//glcB//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	tdcE//ilvD//hycF//
TrpR-Tryptophan_neg	purL//idnK//cyaA//tdcB//puuA//nrfB//phnJ//frdA//fucU//
TyrR-L-tryptophan_neg	frc//mtlD//dkgB//ulaD//dmsC//pgaC//dsdA//
TyrR-L-tryptophan_pos	acnB//zwf//nrdE//
TyrR-Phenylalanine_neg	betB//melA//katG//entA//paaH//gltB//puuD//
TyrR-Phenylalanine_pos	cysG//lysA//glgC//
TyrR-Tyrosine_neg	lpxB//frdA//aceF//slt//napG//sodB//uxuB//
TyrR-Tyrosine_pos	citC//tdcD//caiD//
UhpA-Phosphorylated_pos	cadA//
XapR-xanthosine_pos	sdhA//treC//
XylR-Xylose_pos	xapA//alkA//glpE//
ZntR-Cd2+_pos	aroG//
ZntR-Hg_pos	miaA//
ZntR-Zn2+_pos	mutY//
ZraR-Phosphorylated_pos	
Zur-Zn2+_neg	caiC//
