# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	alaA//rutA//
IscR-2Fe_pos	mhpE//dapD//
LldR-L-lactate_neg	malS//ilvD//
LldR-L-lactate_pos	fucU//aspC//
Lrp-Leucine_neg	tnaA//ulaF//sdhC//galM//glcF//sodB//talA//oxc//hemL//miaA//sucB//idnO//dapB//trpC//glpB//nagB//gnd//hmp//paaC//rbsD//polA//cheB//paaH//purE//
Lrp-Leucine_pos	atoD//purL//preT//caiA//bglB//tyrA//ppiA//upp//napB//glpX//cdd//hypF//speC//prpE//astB//caiB//paaJ//ilvN//
LsrR_neg	lsrF//aroA//srlD//cysD//uxuA//
MalT-ADP-Maltotriose_pos	agp//aceE//purA//hycE//nirB//dsdA//
MalT-Maltotriose-ATP_pos	psd//pncB//xylB//fes//zwf//kbl//
MelR-Melibiose_neg	ispE//glgX//
MelR-Melibiose_pos	ascB//rutC//
MetJ-S-adenosylmethionine_neg	hyaC//codA//cysD//glcE//tam//melA//phnL//gcvT//hemA//ubiA//
MetR-L-homocysteine_neg	ssuE//
MetR-L-homocysteine_pos	cheB//tyrB//gcvH//torA//
MhpR-3-DHPP_pos	fucU//dapD//gatZ//phoA//folE//paaG//
MhpR-3HPP_pos	purC//garK//cysC//glpK//mhpF//hyaB//
MntR-Cd2+_neg	phnN//
MntR-Cd2+_pos	tyrA//
ModE-MoO42-_neg	gabT//xdhB//nadC//gatY//rbsK//fadE//yjeF//aldA//
ModE-MoO42-_pos	yfdE//epd//hyaC//pgk//hypF//fdhF//
NarL-Phosphorylated_neg	abgB//glcD//cdd//hmp//malY//lpxB//ilvI//cheB//tdcD//truB//ada//dmsB//aceE//ispE//purM//tdcG//glpK//waaH//ugpQ//gltD//fes//agp//nanM//pgpC//
NarL-Phosphorylated_pos	recF//fucU//lhgO//ilvG_2//purN//cysK//ubiC//glpA//purK//phnL//napB//ascB//astC//purC//prpE//
NarP-Phosphorylated_neg	lpxB//lpxB//manA//
NarP-Phosphorylated_pos	nrdF//speA//ahpF//paaG//ulaE//trpB//glpQ//codA//lacZ//preT//
NhaR-Na+_pos	ilvI//betB//prpB//entC//
NikR-Cd2+_neg	glyA//
NikR-Co2+_neg	udp//
NikR-Cu2+_neg	nrfD//
NikR-Ni2+_neg	tam//
NikR-Zn2+_neg	serA//
NrdR-ATP_neg	alaA//garR//hflX//cheB//
NrdR-Zn2+_neg	tauD//ilvI//dusB//mpl//
NrdR-dATP_neg	galM//tdcD//rbsK//betA//
NsrR-2Fe_neg	pgaB//amn//xdhA//nirD//aldA//purN//caiB//bacA//fdhF//tsaE//hypB//metE//dadA//ilvE//gcd//narG//nrfA//lacA//aspA//bglB//dadX//phnG//mhpB//lpxD//gatD//rutD//truB//glpX//mhpD//napA//
PhoB-Phosphorylated_neg	phnH//astD//fadJ//gapA//yfeW//
PhoB-Phosphorylated_pos	serA//moeA//alkA//nagB//paaK//lsrG//nrfD//tdcE//waaH//gatZ//ada//carB//mhpC//prs//frdB//ftnA//hyaB//
PhoP-Phosphorylated_neg	sdhD//purK//trpD//
PhoP-Phosphorylated_pos	acs//lpxB//dapD//nagB//deoB//sufS//appA//fucU//purK//nrfC//entE//lsrG//hyaA//puuE//caiC//speC//aldA//yjeF//pyrC//nagA//glnA//metL//cysH//purH//tdh//fadB//speA//serC//gabT//glpQ//glpB//metL//miaA//dmsA//
PrpR-2-methylcitrate_neg	
PrpR-2-methylcitrate_pos	moaE//fadB//purL//rdoA//
PurR-Guanine_neg	galM//fbaA//slt//pnp//purD//ppiA//aroL//gutQ//feaB//nrdB//dnaE//mhpE//paaB//lacZ//fucA//nrfB//allC//nirB//fumC//ubiG//murQ//cysI//frdA//iscS//upp//dapD//trpA//
PurR-Hypoxanthine_neg	sodA//dmsB//cyaA//gapA//aceE//dapB//pagP//puuB//dapB//gltB//speB//alaA//malS//napA//fadB//bcsA//tyrA//hycB//ispE//argA//ilvI//katE//pheT//lsrG//entC//prpE//ilvD//
QseB-Phosphorylated_pos	
RhaR-L-rhamnose_pos	
RhaS-L-rhamnose_pos	tadA//sodB//malP//
RstA-Phosphorylated_neg	glgP//metF//
RstA-Phosphorylated_pos	glgC//
SoxR-2Fe_neg	
SoxR-2Fe_pos	glcE//moaE//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	metL//kbl//glgA//
TrpR-Tryptophan_neg	psd//napH//puuD//ilvM//puuD//xylA//metB//tadA//tauD//
TyrR-L-tryptophan_neg	oxc//moaA//ilvM//tnaA//dadA//melA//purB//
TyrR-L-tryptophan_pos	hflX//puuA//nrdD//
TyrR-Phenylalanine_neg	bacA//prmC//cysD//rutB//treC//ssuE//ubiA//
TyrR-Phenylalanine_pos	cysM//sufS//pagP//
TyrR-Tyrosine_neg	epd//argI//nrfC//citG//aroH//murQ//upp//
TyrR-Tyrosine_pos	betB//treC//trpE//
UhpA-Phosphorylated_pos	tehB//
XapR-xanthosine_pos	argC//frdD//
XylR-Xylose_pos	talA//glcE//gnd//
ZntR-Cd2+_pos	paaE//
ZntR-Hg_pos	xylA//
ZntR-Zn2+_pos	speA//
ZraR-Phosphorylated_pos	
Zur-Zn2+_neg	pgpC//
