# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	fbaA//allE//
CysB-N-acetyl-L-serine_pos	nrfD//hemL//adhE//gabT//alaS//agp//prpB//astC//caiA//metA//metK//pgaB//prmC//
CysB-O-acetyl-L-serine_neg	edd//ssuD//puuA//
CysB-O-acetyl-L-serine_pos	phnG//glcF//mhpE//galE//phoA//phnL//hycG//tdcB//thrS//nrfD//uxuB//fadJ//glgB//polA//
DcuR-Phosphorylated_pos	feaB//nagA//fau//glgP//
DnaA-ATP_neg	tktB//garR//cyoE//hyaC//caiB//
DnaA-ATP_pos	metL//rhaA//pgaD//
DpiA-Pasp_neg	
DpiA-Pasp_pos	srlD//feaB//fumA//narI//hyaC//
DsdC-D-serine_neg	
DsdC-D-serine_pos	cynT//mhpB//
EvgA-Phosphorylated_pos	mhpF//yfeW//metH//entE//avtA//
FNR-Fe_neg	nagB//nagA//rhaB//frdB//hyaA//tdh//preT//nrdA//lysC//uxaC//tauD//araB//recF//hyaB//ubiX//galT//pyrD//aceF//sucB//idnD//glpE//metH//cueO//uxaC//ilvE//purF//napG//rhaA//hyaC//uxaC//citF//argF//purC//dsdA//lhgO//argF//moaA//aceF//rbsK//cyaA//katG//paaZ//hycD//prpB//araB//astA//lsrF//
FNR-Fe_pos	tehB//narH//metK//dusB//gntK//fucA//lysC//hycG//betB//nanM//cysM//argA//dmsC//frdB//glgP//nrfC//glcF//ynfH//nanM//speB//edd//cysD//patZ//aroL//glpD//ssuE//sucA//gltB//bioF//frdB//nanE//yqjH//acs//uxuB//patZ//paaK//sucC//ynfE//lysA//purF//nrfD//prpC//frdA//fdhF//iscS//glyA//glpQ//phnI//gabD//lysC//gnd//fadH//carA//paaA//cyaA//napA//cueO//paaC//fumA//hyaA//frc//gcvT//serA//metC//frdC//pta//speC//mtlD//fdhF//speA//fau//cysH//gpsA//ilvI//uvrA//argA//paaI//ulaF//phnJ//araA//prpE//xdhA//paaG//nrdE//cysM//glcD//tdcE//mutL//gabT//hyaA//bioB//katG//
FhlA-Formate_pos	nirD//trpB//glgA//lacZ//fucK//mhpC//fucO//
FucR-L-fuculose-1-phosphate_pos	rutE//argE//aroG//gcd//allE//fucU//
Fur-Fe2+_neg	lhgO//glcE//sucB//dadA//rutB//dadA//ilvD//ilvC//ada//entH//recF//galE//avtA//purN//tadA//dapB//tehB//puuA//tyrB//ilvA//acs//udp//phnM//gdhA//gltA//purL//metL//prpD//ulaD//gcvH//ugpQ//guaA//frc//fadA//kbaZ//citF//uvrA//rutD//glgC//truB//frdC//rhaB//phnN//fucI//rutC//ilvH//sdhC//umpH//appA//hemL//dnaE//hflX//ynfH//psd//paaG//napH//lacZ//xapA//ulaF//
Fur-Fe2+_pos	pdeF//ssuD//entD//citD//acs//tsaE//ung//gpsA//bioF//glpD//moeA//nrdD//aroL//ilvD//argB//ppiA//aroA//folE//hyaB//idnD//
Fur-Mn2+_neg	fucI//gcd//glpC//nrdB//glpA//lacA//fes//codA//glnA//yfbR//bcsA//araD//purC//idnK//purL//glcF//glpQ//aceE//hycB//ampD//adhE//paaI//fbaA//avtA//guaA//astE//mutL//hcp//yfbR//moaA//cpdB//ynfG//pgaB//narI//feaB//argG//ilvH//uidA//gcd//fadI//speB//puuD//torC//ogt//mhpB//rbsK//rdoA//paaK//metB//moaD//pta//citG//trmD//pck//ilvM//cyoE//garL//dadA//argH//
Fur-Mn2+_pos	rutA//citD//argD//atoA//manA//yjeF//napC//betB//tdh//rutC//purN//preT//ascB//epd//amn//narI//ppiA//pflB//gntK//glcF//
GlcC-Acetate_neg	
GlcC-Acetate_pos	acnA//trpC//glgC//
GlcC-Glycolate_neg	
GlcC-Glycolate_pos	tnaA//tdcG//slt//
GlrR-Pasp56_pos	
IclR-pyruvate_neg	malS//narH//avtA//
IdnR-5-ketogluconate_neg	glpQ//zwf//
IdnR-5-ketogluconate_pos	paaG//xylA//trmD//araD//
IdnR-Idonate_neg	trpA//ftnA//
IdnR-Idonate_pos	phnH//torA//dadX//lsrF//
IlvY-2-acetolactate_neg	
IlvY-2-acetolactate_pos	paaK//
IlvY-Alfa-acetohydroxybutirate_neg	
IlvY-Alfa-acetohydroxybutirate_pos	metH//
IscR-2Fe_neg	aceA//abgA//rutD//lsrK//bioD//
IscR-2Fe_pos	moaD//cynT//
LldR-L-lactate_neg	ogt//pncB//
LldR-L-lactate_pos	argG//cysN//
Lrp-Leucine_neg	frdC//napG//bcsA//waaH//fucU//allC//argC//gcd//pheS//ynfH//mdh//idnK//fadH//nrdB//pgaD//gutQ//hemL//ilvE//trpC//entA//citF//dnaE//truB//hyaB//
Lrp-Leucine_pos	rhaB//purB//rhaA//lsrK//phnN//betB//phnP//preA//murQ//lpxD//tauD//malQ//cysK//metA//moeA//appA//fau//prmC//
LsrR_neg	ilvH//argD//lsrG//ackA//malQ//
MalT-ADP-Maltotriose_pos	lpxB//entD//nagA//alaS//purB//mltC//
MalT-Maltotriose-ATP_pos	puuA//argC//ilvH//serC//nrfA//truB//
MelR-Melibiose_neg	treC//cheR//
MelR-Melibiose_pos	pyrC//ldtB//
MetJ-S-adenosylmethionine_neg	psd//katG//psd//ilvI//guaA//cpdB//prmC//cyoE//glcD//phnO//
MetR-L-homocysteine_neg	hemL//
MetR-L-homocysteine_pos	cysK//fucI//mpl//caiA//
MhpR-3-DHPP_pos	puuB//bioB//pgaC//rnpB//tktB//sucD//
MhpR-3HPP_pos	polA//hemL//caiC//hyaB//cueO//argI//
MntR-Cd2+_neg	mhpB//
MntR-Cd2+_pos	sufS//
ModE-MoO42-_neg	lysA//nrfC//ilvC//cynT//pgaB//citX//cyoE//ilvG_1//
ModE-MoO42-_pos	preA//gcd//dnaE//lsrG//paaZ//rutB//
NarL-Phosphorylated_neg	ogt//deoC//puuA//ahpC//idnK//glpQ//trpA//hypF//fes//allE//nrdA//allC//pncB//glcF//cpdB//argC//aroF//gadB//hycC//tnaA//preT//melA//fucU//uvrA//
NarL-Phosphorylated_pos	uxaB//ahpF//aroH//gnd//metF//cysH//malS//sucA//astD//patZ//cynS//rdoA//oxc//mhpA//paaZ//
NarP-Phosphorylated_neg	aroF//purL//araD//
NarP-Phosphorylated_pos	pck//bcsB//ogt//ahpF//torC//metB//ansB//entC//paaA//lpxD//
NhaR-Na+_pos	mdh//glpQ//fucI//cheR//
NikR-Cd2+_neg	bcsB//
NikR-Co2+_neg	trpB//
NikR-Cu2+_neg	glpB//
NikR-Ni2+_neg	dkgB//
NikR-Zn2+_neg	uxaC//
NrdR-ATP_neg	mhpC//psd//ahpF//gcd//
NrdR-Zn2+_neg	betB//entA//astA//nrfB//
NrdR-dATP_neg	malQ//avtA//rhaD//ung//
NsrR-2Fe_neg	ulaD//argF//mhpF//mdh//atoB//tauD//paaH//rbsK//ynfG//mhpC//aceE//guaB//rutB//ybjG//abgA//bcsZ//fadB//bglB//sdhC//edd//nrdD//gapA//ascB//ilvD//araA//ilvH//pncB//paaG//metB//ogt//
PhoB-Phosphorylated_neg	gatY//glcF//araA//sdhD//frdA//
PhoB-Phosphorylated_pos	nagA//napB//allE//gcvP//glgX//torC//nrdF//cysN//metB//glpB//glpX//fadJ//uvrA//ilvB//nanE//hycF//fes//
PhoP-Phosphorylated_neg	hemL//speA//hycE//
PhoP-Phosphorylated_pos	dnaE//cysK//hypB//murQ//truB//fbaA//paaC//atoB//purK//fucO//narH//oxc//ssuE//lsrK//moaE//tyrA//uxuB//alaS//fumC//pck//metB//lacZ//pgaC//aroH//cysM//galK//moeA//uvrA//gpmA//paaH//allD//citX//xylB//puuA//
PrpR-2-methylcitrate_neg	
PrpR-2-methylcitrate_pos	tdcG//pta//citC//galE//
PurR-Guanine_neg	srlD//frdB//citX//rbsD//sucD//gdhA//aceF//tyrA//carA//fadI//citC//pheS//sucC//ilvD//ilvH//metK//manA//astD//aceA//glgP//ilvH//xdhA//galK//polA//folE//psd//nrfD//
PurR-Hypoxanthine_neg	cysK//yfdE//pncB//aceA//argB//argE//mhpF//serC//prpB//prs//cdd//dadX//citE//yfbR//dusB//ackA//dapD//cysD//gpsA//dkgB//aspC//prpD//glpC//fadB//gltB//phnM//gnd//
QseB-Phosphorylated_pos	
RhaR-L-rhamnose_pos	
RhaS-L-rhamnose_pos	xylA//tdcB//lysA//
RstA-Phosphorylated_neg	caiB//pgk//
RstA-Phosphorylated_pos	frc//
SoxR-2Fe_neg	
SoxR-2Fe_pos	ynfE//uxaA//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	fadJ//cysM//ilvN//
TrpR-Tryptophan_neg	udp//astB//dapB//tdcG//glcB//galM//fdhF//gntK//dmsA//
TyrR-L-tryptophan_neg	phnG//amn//nanM//argB//gltD//cdd//betA//
TyrR-L-tryptophan_pos	sucC//sucD//uidA//
TyrR-Phenylalanine_neg	rhaA//argI//sdhA//uxaA//rbsD//chbG//prmC//
TyrR-Phenylalanine_pos	aldB//astC//gatY//
TyrR-Tyrosine_neg	pgaD//sodB//melA//entH//umpH//ldtB//citX//
TyrR-Tyrosine_pos	nagA//icd//prpE//
UhpA-Phosphorylated_pos	pyrC//
XapR-xanthosine_pos	guaB//fadD//
XylR-Xylose_pos	fumC//trpC//truB//
ZntR-Cd2+_pos	ftnA//
ZntR-Hg_pos	purA//
ZntR-Zn2+_pos	paaC//
ZraR-Phosphorylated_pos	
Zur-Zn2+_neg	purD//
