# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	rnpB//pyrC//
Fur-Mn2+_neg	melA//yqjH//ugpQ//mutL//argB//gnd//oxc//tadA//hpt//purM//eda//mhpA//ilvB//purE//deoC//ilvN//kbl//idnO//fadB//aceF//serA//tyrB//appA//sucA//argE//ynfG//gutQ//sdhA//carA//lpxB//metK//gdhA//purH//amn//paaK//hemL//metC//paaH//pgaC//tdcB//lsrG//mtlD//puuA//serA//trpC//yfdE//mltC//malZ//aspA//moaE//phnG//rbsD//nrfB//sdaA//mutY//glnA//argI//truB//dusB//
Fur-Mn2+_pos	ssuD//alkA//betB//paaH//nanM//mhpA//cysH//dgcZ//puuE//aspC//gltD//purD//frdB//rbsK//ung//nirB//ung//napA//yeaE//ispE//
GlcC-Acetate_neg	
GlcC-Acetate_pos	glyA//fadE//mutY//
GlcC-Glycolate_neg	
GlcC-Glycolate_pos	mtlD//dapB//phnH//
GlrR-Pasp56_pos	
IclR-pyruvate_neg	ulaE//ssuD//entB//
IdnR-5-ketogluconate_neg	murQ//paaJ//
IdnR-5-ketogluconate_pos	gabD//patZ//allC//entH//
IdnR-Idonate_neg	astA//astC//
IdnR-Idonate_pos	murQ//aceF//aroL//bioD//
IlvY-2-acetolactate_neg	
IlvY-2-acetolactate_pos	ilvC//
IlvY-Alfa-acetohydroxybutirate_neg	
IlvY-Alfa-acetohydroxybutirate_pos	nrfC//
IscR-2Fe_neg	glcE//aceB//mhpA//sdhB//tyrA//
IscR-2Fe_pos	ssuE//mhpC//
LldR-L-lactate_neg	ilvH//metC//
LldR-L-lactate_pos	purA//moaA//
Lrp-Leucine_neg	narI//ahpC//mpl//frdD//kbaZ//hypB//ung//prpC//argD//glpK//dadX//lacA//eda//mhpA//rutD//torA//aroF//sucA//sucC//frc//astB//paaK//purF//purN//
Lrp-Leucine_pos	entC//trmD//nrdD//puuB//truB//gcvP//entH//lpd//icd//lysU//uxaA//bcsZ//gabD//patZ//dmsC//xdhA//tktB//frdA//
LsrR_neg	psd//rutB//yeaE//fucU//argD//
MalT-ADP-Maltotriose_pos	moaD//nadC//purM//gltB//pagP//fes//
MalT-Maltotriose-ATP_pos	astB//pgaD//treC//ubiA//deoA//bglB//
MelR-Melibiose_neg	entE//puuA//
MelR-Melibiose_pos	tnaA//gcvH//
MetJ-S-adenosylmethionine_neg	ackA//ilvD//hycB//nrfB//paaG//tyrB//ilvN//paaJ//citD//gpsA//
MetR-L-homocysteine_neg	gcvH//
MetR-L-homocysteine_pos	citD//dmsC//glpC//pgaB//
MhpR-3-DHPP_pos	argF//mhpB//hflX//aroA//lsrG//entF//
MhpR-3HPP_pos	entC//bioD//nrdD//purA//rutE//garL//
MntR-Cd2+_neg	nrfB//
MntR-Cd2+_pos	treC//
ModE-MoO42-_neg	kbaZ//fadE//paaA//pgk//cysH//cysJ//araB//ogt//
ModE-MoO42-_pos	fucU//napH//prpC//narG//nanK//ynfF//
NarL-Phosphorylated_neg	fau//paaA//araD//lpxB//paaB//deoD//ynfE//fadA//argC//cynS//torA//hyaA//abgB//serA//astB//dsdA//uvrA//sucC//entF//deoB//ftnA//dadX//mhpE//phnP//
NarL-Phosphorylated_pos	ilvE//glcB//sucA//amn//purE//alaS//gabT//dapB//gdhA//entC//cdd//argH//araA//malP//ssuD//
NarP-Phosphorylated_neg	hflX//phnJ//pta//
NarP-Phosphorylated_pos	gpmA//fucU//tadA//frdA//pgaC//fumC//glpK//metF//nanA//nanA//
NhaR-Na+_pos	phnG//purD//upp//metA//
NikR-Cd2+_neg	ilvN//
NikR-Co2+_neg	trpE//
NikR-Cu2+_neg	ubiC//
NikR-Ni2+_neg	mtlD//
NikR-Zn2+_neg	ugpQ//
NrdR-ATP_neg	bioA//uidA//codA//malQ//
NrdR-Zn2+_neg	napC//gpmA//paaK//tyrA//
NrdR-dATP_neg	ogt//glpC//mhpE//idnD//
NsrR-2Fe_neg	dmsA//talA//hycD//tadA//entC//gcvT//trmD//ftnA//ynfF//fadB//nanK//cynS//aspA//phnN//atoA//gpmA//glpA//glcD//torA//nrdB//phnP//uvrA//pnp//xdhC//chbG//metA//astB//uxaA//tdcB//bioB//
PhoB-Phosphorylated_neg	mhpE//paaA//nadC//caiD//uidA//
PhoB-Phosphorylated_pos	torC//betA//prpD//purB//glgA//hycG//idnO//ubiG//tktB//yeaE//hycF//araD//metL//frdA//ilvD//napA//uxaB//
PhoP-Phosphorylated_neg	phnI//entA//deoB//
PhoP-Phosphorylated_pos	paaB//hypB//mutL//nanM//paaJ//astE//pgpC//sucC//acnB//oxc//glpX//aroF//dapD//lhgO//bacA//ilvG_1//hyaB//fau//uvrA//frdD//pdeF//hemL//dadA//rhaD//nrdA//eda//purD//purF//allE//glgA//lacA//paaH//bcsA//paaK//
PrpR-2-methylcitrate_neg	
PrpR-2-methylcitrate_pos	gadB//dkgB//sdhD//lysU//
PurR-Guanine_neg	ascB//xdhB//frc//bioB//glcB//pheT//pheS//gpsA//bioC//chbG//gpmA//citE//uxaA//hpt//lysA//puuE//acnB//sucB//entA//citG//truB//bioF//dusB//pdeF//ulaD//gpmA//sufS//
PurR-Hypoxanthine_neg	pncB//trpC//phnP//ilvB//fadJ//mltC//katG//ada//cynT//tdcE//gpmA//cysM//cynS//paaH//lysA//phnN//tdcB//gpsA//ilvM//mdh//eda//atoD//lysU//pheT//phnH//pyrD//nrfD//
QseB-Phosphorylated_pos	
RhaR-L-rhamnose_pos	
RhaS-L-rhamnose_pos	fadB//xdhA//icd//
RstA-Phosphorylated_neg	trpD//lpxA//
RstA-Phosphorylated_pos	serC//
SoxR-2Fe_neg	
SoxR-2Fe_pos	lpxA//agp//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	ynfF//fadD//puuA//
TrpR-Tryptophan_neg	gltD//narH//chbF//preA//gatZ//napG//hemL//alaA//ubiX//
TyrR-L-tryptophan_neg	dgcZ//lpxA//metK//nanA//polA//sdhB//paaF//
TyrR-L-tryptophan_pos	lacZ//acs//phnI//
TyrR-Phenylalanine_neg	manA//malS//purB//lsrF//folE//allC//acnB//
TyrR-Phenylalanine_pos	bioC//gpmA//narH//
TyrR-Tyrosine_neg	ahpF//ynfE//napH//betA//frdB//hycF//slt//
TyrR-Tyrosine_pos	ispE//ilvG_1//lsrK//
UhpA-Phosphorylated_pos	purN//
XapR-xanthosine_pos	puuA//upp//
XylR-Xylose_pos	mhpD//dkgB//fumC//
ZntR-Cd2+_pos	allE//
ZntR-Hg_pos	purN//
ZntR-Zn2+_pos	cysC//
ZraR-Phosphorylated_pos	
Zur-Zn2+_neg	ilvN//
