# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	purN//paaJ//
Fur-Fe2+_neg	folE//aceA//frdB//metA//yeaE//moaE//chbG//pgaD//tehB//hmp//ilvB//paaG//aroH//nirD//ahpF//argE//glpE//glyA//dnaE//idnK//caiB//paaZ//nagB//trpD//cdd//glcD//gpmA//bioB//dmsB//astB//malP//trpC//amn//lacA//araA//hyaB//sufS//malQ//astD//ahpC//tyrB//argE//dkgB//fucA//atoA//paaC//torC//prs//ynfF//bioB//dmsC//pgaD//purM//glpD//gpmA//trpC//preA//mhpF//malQ//
Fur-Fe2+_pos	xdhB//gatZ//metC//sufS//purA//chbF//yfeW//phnI//cysG//mhpF//citG//ilvE//alaS//nrfC//entD//metC//cyoE//ubiA//paaI//cysM//
Fur-Mn2+_neg	ilvN//lsrF//entC//codA//argA//frdB//dnaE//caiA//phnM//ubiC//moaD//nirD//speC//kbaZ//glcD//deoA//paaC//puuD//mhpD//narH//cyoE//citF//alaS//cheB//hypF//fucI//serC//dmsB//sufS//argG//nagA//umpH//astC//glcF//cadA//narI//dgcZ//astD//purM//argI//napA//narG//dadA//gabT//galK//ynfG//aldA//citG//astC//mhpD//tdcD//torA//sucB//allC//phnH//preA//chbG//galT//hyaA//
Fur-Mn2+_pos	phoA//metE//tktB//gadB//dadX//nirD//feaB//glcD//gpsA//mhpC//entE//rnpB//cysD//aceE//dsdA//cyaA//cpdB//fadA//malQ//gabD//
GlcC-Acetate_neg	
GlcC-Acetate_pos	nrdE//prpB//chbG//
GlcC-Glycolate_neg	
GlcC-Glycolate_pos	citE//glgA//fbaA//
GlrR-Pasp56_pos	
IclR-pyruvate_neg	dadX//ilvG_2//ynfH//
IdnR-5-ketogluconate_neg	dsdA//manA//
IdnR-5-ketogluconate_pos	fucA//sucD//garL//atoA//
IdnR-Idonate_neg	betA//argB//
IdnR-Idonate_pos	recF//hycC//fadH//rutE//
IlvY-2-acetolactate_neg	
IlvY-2-acetolactate_pos	fumC//
IlvY-Alfa-acetohydroxybutirate_neg	
IlvY-Alfa-acetohydroxybutirate_pos	melA//
IscR-2Fe_neg	argH//yeaE//hpt//napA//ilvM//
IscR-2Fe_pos	aroA//frdA//
LldR-L-lactate_neg	ilvD//aceB//
LldR-L-lactate_pos	araB//nrfA//
Lrp-Leucine_neg	dadA//fucA//glgP//lsrG//mhpA//glpB//nrdB//trpA//katG//murQ//metC//araD//sucC//fabZ//nagB//sucD//sdhD//tdh//psd//lldD//napB//aroL//argB//bioC//
Lrp-Leucine_pos	lysC//ulaD//idnO//alkB//mpl//aspC//guaA//glnA//dadX//bioB//acs//tehB//pck//hyaA//garL//rhaD//xdhC//citE//
LsrR_neg	katG//cysK//malS//aceF//fbaA//
MalT-ADP-Maltotriose_pos	pgk//galE//ilvE//dusB//ybjG//nagA//
MalT-Maltotriose-ATP_pos	hyaC//sdhB//garL//cysG//uxuA//malP//
MelR-Melibiose_neg	speC//napA//
MelR-Melibiose_pos	amn//dusB//
MetJ-S-adenosylmethionine_neg	aspA//cheB//hemA//glcB//lysU//paaA//ynfH//cysD//lsrK//purF//
MetR-L-homocysteine_neg	nrfC//
MetR-L-homocysteine_pos	frdB//lsrK//narG//sucC//
MhpR-3-DHPP_pos	pheT//cysJ//sdhC//fumA//ulaF//glyA//
MhpR-3HPP_pos	nanK//edd//moeA//prmC//hycF//gpmA//
MntR-Cd2+_neg	fadJ//
MntR-Cd2+_pos	ispE//
ModE-MoO42-_neg	malZ//gadB//serA//atoA//frdB//metB//bioC//ilvE//
ModE-MoO42-_pos	entF//caiA//ftnA//acnA//sucA//ulaF//
NarL-Phosphorylated_neg	fadJ//uxaB//puuB//epd//fucI//mltC//ilvB//aldB//folE//ppiA//ansB//cyoE//murQ//lsrG//hcp//bioA//phnN//cheR//entB//hcp//gcvP//uxuA//cysJ//pgaD//
NarL-Phosphorylated_pos	hycC//aroF//trpA//ubiA//fau//dapD//tam//bcsB//yjeF//slt//trpD//dkgB//paaA//fdhF//cheB//
NarP-Phosphorylated_neg	gabD//glpK//pagP//
NarP-Phosphorylated_pos	abgB//pheT//paaC//nanA//lpxD//fadB//ilvC//nrdB//betA//dnaE//
NhaR-Na+_pos	rutA//uvrA//lysU//cysN//
NikR-Cd2+_neg	rhaD//
NikR-Co2+_neg	ulaD//
NikR-Cu2+_neg	metH//
NikR-Ni2+_neg	tehB//
NikR-Zn2+_neg	lldD//
NrdR-ATP_neg	mltC//kbaZ//malP//fadA//
NrdR-Zn2+_neg	rhaA//tyrA//araB//acs//
NrdR-dATP_neg	fau//acs//ldtC//yfeW//
NsrR-2Fe_neg	talA//paaH//dkgB//fes//acs//ampD//argC//ulaE//malQ//xapA//citE//tauD//trmD//glpQ//hyaC//metH//gadB//prpE//glpD//carA//fucA//hcp//chbG//eda//tdcD//alkB//acs//phnL//purN//fucK//
PhoB-Phosphorylated_neg	phnM//lldD//fumB//puuC//metB//
PhoB-Phosphorylated_pos	argC//kbaZ//gpmA//tdcD//pta//trmD//galT//ulaF//mhpD//lsrK//tktB//allC//fadB//glcE//uidA//rbsK//purA//
PhoP-Phosphorylated_neg	mhpE//aceB//speB//
PhoP-Phosphorylated_pos	pnp//napA//alaA//ansB//paaA//nadC//hemL//nanA//trpC//acnB//rbsK//waaH//cyoE//fucI//puuC//lysU//speA//garL//paaK//malY//yqjH//ilvG_2//pgk//trpA//cheR//cueO//pagP//araD//malS//hypB//nrfA//hycD//purA//malS//
PrpR-2-methylcitrate_neg	
PrpR-2-methylcitrate_pos	avtA//preA//torA//ubiG//
PurR-Guanine_neg	idnD//cysM//idnO//recF//fbaA//ahpF//purH//pflB//uxaB//fadB//ulaF//prpD//tdh//cysI//glpB//galK//mpl//paaA//astB//deoC//preA//gcvH//adhE//fadE//caiC//malP//bcsZ//
PurR-Hypoxanthine_neg	avtA//caiA//allD//trpB//idnD//glpQ//glgA//xdhC//bcsB//moaE//caiC//glpE//dgcZ//nanA//umpH//napG//argE//alkA//ilvI//trpA//aceA//tdh//argD//ilvM//phnM//astC//agp//
QseB-Phosphorylated_pos	
RhaR-L-rhamnose_pos	
RhaS-L-rhamnose_pos	argG//glpC//adhE//
RstA-Phosphorylated_neg	phnN//hycD//
RstA-Phosphorylated_pos	frdC//
SoxR-2Fe_neg	
SoxR-2Fe_pos	nirD//phnH//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	cysH//bioD//glcB//
TrpR-Tryptophan_neg	eda//tdcE//glgA//citX//uxuA//lpxB//glcF//eda//tadA//
TyrR-L-tryptophan_neg	prs//cysN//tsaE//hycD//glcB//gntK//frdD//
TyrR-L-tryptophan_pos	citE//lsrF//rhaA//
TyrR-Phenylalanine_neg	upp//fumA//dadA//entC//preA//garL//eda//
TyrR-Phenylalanine_pos	glpK//ilvH//pgaD//
TyrR-Tyrosine_neg	tdh//adhE//pagP//recF//gdhA//icd//xdhC//
TyrR-Tyrosine_pos	phnG//cysN//ndh//
UhpA-Phosphorylated_pos	sdhD//
XapR-xanthosine_pos	lpxD//alaA//
XylR-Xylose_pos	mdh//ilvB//glgC//
ZntR-Cd2+_pos	melA//
ZntR-Hg_pos	argI//
ZntR-Zn2+_pos	entF//
ZraR-Phosphorylated_pos	
Zur-Zn2+_neg	speA//
