# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	argE//gutQ//
CRP-cAMP_pos	eda//nrfB//idnO//trpA//mhpB//guaA//pgk//glyA//dgcZ//fumB//paaI//torC//caiD//edd//epd//abgB//acnB//aldA//garR//argA//gpmA//pagP//entE//citC//idnK//paaJ//allD//moeA//upp//ybjG//carB//citX//cysH//galK//pagP//galT//pheT//phnN//edd//ilvC//nrdD//ftnA//ilvC//adhE//ilvH//hyaC//glpQ//citD//ilvC//cynT//mhpF//citC//pyrC//xapA//galK//rutA//pgaB//rutB//rutB//appA//cyoE//narH//bioB//ilvE//allC//bcsB//lpxB//treC//fadA//gapA//mhpE//tktB//moaE//glpD//tyrA//puuE//fadJ//fadH//gatY//galM//phnH//hpt//gnd//aldA//pdeF//hypB//fumB//dusB//trpA//purB//mhpC//nanM//rbsD//sdaA//fadJ//metF//napC//ackA//phnL//sodA//nrfB//puuA//sucA//speA//xylB//rbsD//purB//paaI//treC//metF//hycE//ansB//hycG//aceE//dsdA//pck//ulaD//purH//gltB//napB//pheT//mhpF//nrfA//rhaB//malQ//moaD//umpH//carB//gltA//speB//nrdF//trpD//alkB//gadB//bioA//guaA//phnP//lacZ//nadC//dgcZ//cysN//paaG//ldtC//glgX//lysA//acs//rbsK//pgaD//prs//purB//dadX//glgP//hyaC//paaC//glgX//aceE//malS//entA//sucB//cheB//phnH//purC//bioA//waaH//paaJ//umpH//ogt//gltB//rutD//garL//nrfC//moeB//xylA//folE//bcsB//guaB//nrdB//ynfE//narI//aceA//tktB//puuA//nanK//cynS//dmsA//malY//cysG//uvrA//malQ//glgC//gcvH//torA//fdhF//purC//glcF//tauD//purB//fdhF//ascB//pta//sdhC//caiB//aroG//talA//xdhA//folE//dmsB//allE//uxuB//araB//aspA//paaZ//bcsZ//gpsA//betB//frc//chbG//araB//citX//gnd//hycD//gabD//galT//gatZ//napH//hycG//phnO//citX//carB//gcvH//araD//entC//glpC//dsdA//moaD//nrfA//torC//ispE//edd//lysC//hyaA//pflB//paaB//
ChbR-Monoacetylchitobiose-6P_neg	rdoA//moaE//tyrB//
ChbR-Monoacetylchitobiose-6P_pos	waaH//oxc//fucA//
CpxR-Phosphorylated_neg	polA//hyaC//hypB//
CpxR-Phosphorylated_pos	hypF//pgpC//hpt//yjeF//purK//idnO//atoD//dusB//betA//pnp//trpB//purK//garK//napH//upp//nrfB//glcE//ilvE//nagB//
CreB-Phosphorylated_neg	ldtB//
CreB-Phosphorylated_pos	phnJ//manA//
CueR-Ag_neg	prpC//alaS//
CueR-Ag_pos	trpA//puuB//
CueR-Cu+_neg	epd//speA//
CueR-Cu+_pos	frdB//purC//
CuerR-Au_neg	ascB//cyaA//
CuerR-Au_pos	napH//argF//
CusR-Pasp_pos	allC//purB//nanE//
CynR-Cyanate_neg	
CynR-Cyanate_pos	idnK//ilvA//dsdA//
CysB-N-acetyl-L-serine_neg	ynfG//citG//metB//
CysB-N-acetyl-L-serine_pos	trpE//hycB//tdcE//tauD//prs//galE//ilvM//lpxA//dmsB//ascB//ilvI//bcsZ//pta//
CysB-O-acetyl-L-serine_neg	sucB//phnH//fucA//
CysB-O-acetyl-L-serine_pos	pnp//pnp//trmD//hemA//garR//tnaA//glpE//pheS//tdcD//ugpQ//metB//ung//entA//glgA//
DcuR-Phosphorylated_pos	cadA//lpxD//purF//citC//
DnaA-ATP_neg	cysI//gltD//edd//nrfC//psd//
DnaA-ATP_pos	lpxA//glpA//citC//
DpiA-Pasp_neg	
DpiA-Pasp_pos	ackA//glgC//cysD//gabT//hcp//
DsdC-D-serine_neg	
DsdC-D-serine_pos	phnO//alaA//
EvgA-Phosphorylated_pos	glpE//glcE//ackA//ldtC//treC//
FNR-Fe_neg	acs//gutQ//uxuB//citF//metK//mhpD//tdcE//lysU//phnG//rutC//icd//bioC//entC//lacZ//tnaA//glpA//gutQ//galE//trmD//phnM//hycC//gltD//nrfC//fucI//tdh//uxaC//lpxD//gltB//entE//polA//citF//treC//fucI//sdhC//ilvH//frdB//purD//ansB//dnaE//xylA//argH//cysC//metL//nrdE//glyA//idnD//atoD//
FNR-Fe_pos	lldD//hemL//feaB//ugpQ//metH//nirB//mutL//yfeW//mhpB//frdB//ampD//cdd//nrdE//mhpB//ada//argE//nrdE//malZ//rhaD//caiC//lsrG//yfdE//lpxB//phnM//hycE//phnG//rbsK//gnd//miaA//ilvG_2//moaA//atoA//cysC//puuD//cadA//ahpF//mltC//paaE//gcvT//lpxB//tnaA//phnL//serA//ilvE//psd//murQ//puuC//galM//katG//purD//prs//aldB//codA//ilvB//ubiX//avtA//dapB//dmsB//agp//napG//gcvP//caiA//nanE//nrdB//nrdF//frdC//puuD//metF//frdD//purC//hflX//tdcB//nanK//purF//citX//gpsA//bglB//preA//aroH//bioD//caiC//nagA//alkB//cysI//sodB//pflB//adhE//uxaA//ilvC//argE//yqjH//torA//
FhlA-Formate_pos	ssuD//hycG//citC//ada//atoB//speC//eda//
FucR-L-fuculose-1-phosphate_pos	cyaA//fumB//acnA//tnaA//feaB//cysG//
Fur-Fe2+_neg	citD//cadA//gltA//alkB//bioB//nrdD//nadC//argI//pyrC//cyoE//cyaA//appA//hycC//xdhC//nrfA//nirB//cheR//pta//xylB//napA//phnM//metH//glcE//sucA//ilvE//idnK//garK//pgk//prpE//araB//speA//ilvG_2//nrfC//dsdA//argC//tktB//puuC//pgaB//phoA//frdC//tauD//sdaA//ssuD//astE//bioF//appA//mtlD//argF//citE//katG//hemA//sdhC//malZ//prmC//agp//ftnA//cysG//folA//fumB//
Fur-Fe2+_pos	glpA//phoA//torA//galK//bioC//purD//ada//metB//glpX//ugpQ//nanK//hpt//purA//prpE//cynS//dmsB//atoD//rdoA//glpC//pagP//
Fur-Mn2+_neg	gltA//ilvE//glyA//rutC//manA//nrdE//entD//lsrF//allC//tdcG//mtlD//caiD//recF//aroG//metH//atoA//bglB//carA//gcvP//hpt//fucA//lldD//gutQ//ogt//truB//citF//fadH//rbsK//abgA//tdh//hemA//ilvG_2//prs//lsrG//tdcB//alaS//napA//aroH//cysN//fdhF//carA//avtA//paaE//ynfF//caiC//argE//ilvA//cheB//lysC//ybjG//hypF//sdaA//tyrB//bacA//metB//aroL//prpC//gcvT//malP//
Fur-Mn2+_pos	fadI//galE//rutC//ubiC//torC//ynfG//trpD//tyrA//argC//pdeF//codA//nirB//sdhA//entA//glpB//acs//deoA//alaA//paaH//galK//
GlcC-Acetate_neg	
GlcC-Acetate_pos	prs//metF//ilvA//
GlcC-Glycolate_neg	
GlcC-Glycolate_pos	yeaE//sdhA//fadA//
GlrR-Pasp56_pos	
IclR-pyruvate_neg	nirB//gntK//bcsA//
IdnR-5-ketogluconate_neg	fucO//glpK//
IdnR-5-ketogluconate_pos	pdeF//udp//metC//allC//
IdnR-Idonate_neg	araD//aroF//
IdnR-Idonate_pos	prpD//metL//bacA//carB//
IlvY-2-acetolactate_neg	
IlvY-2-acetolactate_pos	moeA//
IlvY-Alfa-acetohydroxybutirate_neg	
IlvY-Alfa-acetohydroxybutirate_pos	ahpF//
IscR-2Fe_neg	phnL//acnB//bioA//tdcE//fadJ//
IscR-2Fe_pos	phnP//mpl//
LldR-L-lactate_neg	malQ//paaG//
LldR-L-lactate_pos	tam//yeaE//
Lrp-Leucine_neg	sdhB//avtA//phnO//pdeF//fadE//xylA//agp//cyoE//fumC//lysC//torC//pyrC//sdhA//tktB//astA//dgcZ//paaK//yeaE//ldtB//ssuE//lldD//fabZ//ynfF//caiD//
Lrp-Leucine_pos	astD//sucD//argF//tsaE//cueO//tadA//gnd//uidA//glcF//bglB//gdhA//glpB//deoA//paaJ//cysN//rutB//pgk//uidA//
LsrR_neg	astC//aroG//mhpA//betB//hcp//
MalT-ADP-Maltotriose_pos	puuA//nadC//ilvC//allE//pgpC//alkB//
MalT-Maltotriose-ATP_pos	metC//epd//glpC//sdhB//entE//preT//
MelR-Melibiose_neg	metC//cysG//
MelR-Melibiose_pos	argF//puuA//
MetJ-S-adenosylmethionine_neg	pgaD//paaK//galE//prpB//mutY//napC//dapD//ilvC//fadH//argI//
MetR-L-homocysteine_neg	fbaA//
MetR-L-homocysteine_pos	acnB//purA//tyrA//cysH//
MhpR-3-DHPP_pos	phnL//pgaC//fes//uvrA//hycG//paaB//
MhpR-3HPP_pos	tehB//fucI//appA//icd//gcvH//lpxB//
MntR-Cd2+_neg	fbaA//
MntR-Cd2+_pos	yeaE//
ModE-MoO42-_neg	mtlD//ogt//atoD//ackA//chbG//uvrA//cadA//prpB//
ModE-MoO42-_pos	araD//metC//purH//katE//ulaE//cynT//
NarL-Phosphorylated_neg	ynfE//zwf//uxaA//citF//betB//dapD//tyrA//frc//ulaD//hypB//tdcG//rbsD//epd//gcvP//lysA//betA//ispE//prmC//hycD//ulaF//murQ//fumC//sucB//glpB//
NarL-Phosphorylated_pos	moaD//araD//trpA//bcsA//hmp//argE//truB//edd//lsrG//entD//mhpF//hpt//nrdB//sdhB//puuD//
NarP-Phosphorylated_neg	garK//purC//acnA//
NarP-Phosphorylated_pos	glyA//pyrD//mutL//ppiA//phnO//aceB//purL//phnG//katG//ilvG_1//
NhaR-Na+_pos	hycB//hycD//alkA//hyaC//
NikR-Cd2+_neg	fadI//
NikR-Co2+_neg	gdhA//
NikR-Cu2+_neg	ilvB//
NikR-Ni2+_neg	fucO//
NikR-Zn2+_neg	malZ//
NrdR-ATP_neg	mhpE//hyaA//sdhD//paaI//
NrdR-Zn2+_neg	slt//phnP//puuD//fbaA//
NrdR-dATP_neg	bioB//lpxA//paaC//argG//
NsrR-2Fe_neg	ynfE//entF//dmsB//dkgB//dnaE//entB//mhpE//moaE//lacZ//hpt//mutL//bioB//hmp//metE//pck//prmC//moeB//pgaD//gdhA//aceF//paaG//mutL//pagP//sdhA//gpsA//ilvB//dmsC//trpB//cysH//uxaB//
PhoB-Phosphorylated_neg	astA//paaH//hyaB//cysG//lpd//
PhoB-Phosphorylated_pos	lpd//paaJ//atoA//gabT//nrdD//rutE//ulaE//argF//trpC//lldD//astD//deoC//argI//ilvC//lacZ//ung//speC//
PhoP-Phosphorylated_neg	caiA//cysC//napH//
PhoP-Phosphorylated_pos	dapB//xdhA//bioB//hycG//carA//slt//malZ//gabT//torA//caiC//tadA//manA//ybjG//frdB//fadJ//chbG//glcD//allD//caiD//waaH//metK//cysJ//uxaA//sdaA//puuB//metF//frdB//lsrG//gcvT//miaA//eda//moaE//talA//pflB//
PrpR-2-methylcitrate_neg	
PrpR-2-methylcitrate_pos	purK//metB//ampD//cheB//
PurR-Guanine_neg	frdB//lpxA//napC//galT//mhpE//pheT//bioB//gcd//gltA//glnA//purF//gcvH//aceE//dmsA//aceF//dadA//hyaB//ynfF//betB//allE//ilvA//xylB//nanM//argF//melA//xapA//dsdA//
PurR-Hypoxanthine_neg	fucO//prpD//abgA//glgC//cheB//rhaA//carB//deoB//moaD//hycD//cueO//fdhF//argB//tdcE//dkgB//fucA//nrfA//atoA//pgaD//hycG//guaA//amn//aroH//talA//abgA//sucC//gltA//
QseB-Phosphorylated_pos	
RhaR-L-rhamnose_pos	
RhaS-L-rhamnose_pos	ilvB//araB//sufS//
RstA-Phosphorylated_neg	tdcE//nrfC//
RstA-Phosphorylated_pos	moaD//
SoxR-2Fe_neg	
SoxR-2Fe_pos	yjeF//nadC//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	entB//aroG//rhaB//
TrpR-Tryptophan_neg	trmD//malS//sdhB//upp//gutQ//acnA//lysC//ybjG//dadX//
TyrR-L-tryptophan_neg	ssuD//caiB//sucA//mutY//gatZ//gdhA//paaI//
TyrR-L-tryptophan_pos	fadA//ynfF//prpC//
TyrR-Phenylalanine_neg	allE//hycE//phnP//hmp//aceF//entB//pck//
TyrR-Phenylalanine_pos	deoD//pgk//ansB//
TyrR-Tyrosine_neg	trpC//argA//prs//manA//nanA//gcvP//ilvD//
TyrR-Tyrosine_pos	paaH//tsaE//hypB//
UhpA-Phosphorylated_pos	fumC//
XapR-xanthosine_pos	fadB//purE//
XylR-Xylose_pos	aceE//ubiG//tauD//
ZntR-Cd2+_pos	atoB//
ZntR-Hg_pos	lsrG//
ZntR-Zn2+_pos	mltC//
ZraR-Phosphorylated_pos	
Zur-Zn2+_neg	cheB//
