# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	aceB//manA//
CRP-cAMP_neg	ilvI//fadJ//rbsK//entF//entA//aceA//cdd//sucA//prpD//citF//cheR//rbsD//mutY//fadA//dapB//hcp//lpd//alkB//glcD//aspA//gcvH//speB//napB//glnA//folE//aspA//murQ//gpsA//caiB//bcsZ//astE//fadI//puuD//ynfE//phnJ//rnpB//serC//hyaC//xdhA//lldD//preT//ilvM//gntK//argC//hyaB//srlD//mdh//nagA//hycF//treC//lacA//bioF//napC//rbsK//avtA//lysC//gcvH//lldD//astE//ubiX//oxc//nirB//ssuD//folA//frc//tsaE//mhpF//malY//purE//hemA//glpA//ldtB//amn//alaA//murQ//hycG//ubiA//paaC//
CRP-cAMP_pos	nrfB//hflX//manA//talA//pdeF//sodA//malQ//malQ//hyaB//oxc//sdaA//yfeW//bioC//purH//rutE//bioB//rutE//serC//garL//astD//udp//ynfG//yjeF//alkB//ynfG//aceE//moaA//malS//glpK//frdD//bioD//fabZ//miaA//uidA//prpD//pflB//fucU//mpl//uxuA//glpB//sucC//glgB//phnM//sodB//nirB//ynfH//purC//malZ//glyA//ilvI//yfdE//katE//xapA//malS//nrdE//lsrF//fucK//idnO//glcF//dgcZ//fdhF//cynT//dapB//sdhB//pyrC//lhgO//allE//gcvP//cyoE//hypB//puuD//tdcG//metA//ssuE//mltC//pta//aroA//ackA//paaZ//lpd//epd//sucA//metB//uidA//guaB//ampD//allC//cynT//glcD//gabD//ilvA//mhpD//narG//fadH//tdcG//cynS//gnd//fucI//hcp//deoC//frdD//treC//tauD//cysG//rbsD//phnN//hflX//malQ//betB//garL//glcB//glgP//gpmA//bglB//cyaA//uvrA//yqjH//lsrG//melA//icd//nrfB//ada//fes//lysU//pgk//lpxA//fadJ//ilvA//idnK//fau//umpH//mhpB//purC//pnp//phnG//glpQ//phoA//rbsD//bacA//udp//rutA//hemL//chbF//mdh//uvrA//feaB//entA//gltA//rhaD//yjeF//purH//glpE//ilvI//tauD//mhpE//metA//rhaD//torC//hpt//rhaA//glpC//aroF//pyrC//metC//prmC//pta//pgaD//entC//trpA//fumA//gpmA//bacA//cysI//galK//manA//galT//alaA//malZ//ansB//glnA//glgP//nirB//napC//prpE//mhpC//fdhF//pagP//gatY//uxuA//glpD//phnH//hycF//tam//argG//ilvI//prmC//tdcG//fadH//cysI//malZ//mltC//dmsB//gntK//gatY//alaA//mltC//mhpC//lhgO//prpD//tyrB//phnH//dadX//edd//avtA//feaB//malS//ilvE//argA//caiA//aroH//bioB//sucB//caiC//tsaE//dadA//rbsK//melA//chbG//ahpF//purB//glcE//pta//trpE//astB//yfdE//idnD//xylB//moeA//kbl//araA//dmsA//cadA//fucK//
ChbR-Monoacetylchitobiose-6P_neg	citE//pgk//lpxB//
ChbR-Monoacetylchitobiose-6P_pos	nirB//ldtB//nrdF//
CpxR-Phosphorylated_neg	feaB//ugpQ//argG//
CpxR-Phosphorylated_pos	miaA//abgB//glpE//aceE//rutD//citC//allE//astD//malY//glyA//ynfH//purB//ilvD//argD//nrfA//acnB//napC//astC//aroG//
CreB-Phosphorylated_neg	ahpC//
CreB-Phosphorylated_pos	pnp//aceB//
CueR-Ag_neg	prpB//sdhA//
CueR-Ag_pos	ilvE//tyrB//
CueR-Cu+_neg	ynfG//alkB//
CueR-Cu+_pos	rnpB//adhE//
CuerR-Au_neg	pck//tdcE//
CuerR-Au_pos	cynT//uvrA//
CusR-Pasp_pos	citE//tnaA//puuC//
CynR-Cyanate_neg	
CynR-Cyanate_pos	gltD//astC//paaK//
CysB-N-acetyl-L-serine_neg	puuA//nrfD//rbsK//
CysB-N-acetyl-L-serine_pos	paaZ//paaK//glyA//uxaC//recF//mdh//metA//narH//phnH//metB//rhaB//cysM//idnO//
CysB-O-acetyl-L-serine_neg	mtlD//citD//mhpD//
CysB-O-acetyl-L-serine_pos	puuB//ssuD//aldB//metA//aspA//gutQ//fumA//recF//aroG//uidA//fabZ//purD//cadA//argB//
DcuR-Phosphorylated_pos	hypB//cyaA//bioC//sodA//
DnaA-ATP_neg	pyrC//frdD//hmp//glgC//preA//
DnaA-ATP_pos	serA//ppiA//ppiA//
DpiA-Pasp_neg	
DpiA-Pasp_pos	araD//rutD//aceB//purD//alkB//
DsdC-D-serine_neg	
DsdC-D-serine_pos	gapA//bioD//
EvgA-Phosphorylated_pos	mhpA//xdhC//purC//moaE//trpE//
FNR-Fe_neg	cpdB//purL//hemA//tdcB//gabD//nrdF//glgX//gcvH//thrS//cueO//tnaA//tktB//dkgB//cyaA//tsaE//fadA//galK//entH//sdhB//ansB//garK//aspA//tam//ada//gcvT//ssuD//hmp//lhgO//deoD//caiB//deoB//ilvD//ackA//uvrA//mhpE//ackA//argE//guaA//speA//garR//uxaB//pgpC//adhE//gcvH//upp//mhpF//tyrB//
FNR-Fe_pos	bioF//paaF//appA//citX//paaH//mhpB//metB//ybjG//bioC//fadA//edd//ilvC//xdhA//uxuB//mhpF//bcsB//yfdE//fadJ//rutA//ahpC//cheR//fumA//torC//sucB//dgcZ//tam//tdcD//nrdF//entA//dgcZ//icd//paaJ//tktB//prpC//cysC//bioD//galM//preT//moeB//gpsA//serA//icd//entA//treC//alaS//entE//metF//sucC//moaE//nagB//mltC//hycD//folE//napC//cysC//guaA//paaE//galK//phnN//nanM//dmsB//ubiA//araD//lysC//preT//dkgB//idnO//sodB//atoD//speB//uidA//carB//ldtB//glgX//uvrA//malP//rhaB//glgB//fadE//carB//glgA//mhpF//nrdF//cdd//edd//garK//glpA//pflB//bioD//carB//prpD//bcsZ//
FhlA-Formate_pos	edd//patZ//nanM//gpsA//uidA//polA//argF//
FucR-L-fuculose-1-phosphate_pos	prpD//phnL//glgX//lysA//entD//phnG//
Fur-Fe2+_neg	bioB//purD//gltA//ynfE//iscS//cheB//hflX//metE//deoD//nanK//sdhD//iscS//araD//narG//nrdA//cheR//glpD//frdC//napH//mhpC//astE//entF//puuB//pyrC//yjeF//cysK//nrdD//paaK//lpxB//argE//dmsA//atoB//hypF//ispE//cysG//cadA//hypF//glpX//rhaD//betA//garL//serA//avtA//prpB//folE//ulaF//nanK//hycG//glpC//ubiA//hemL//dadA//tdcE//cysN//lpxD//prs//cysG//tyrA//aldA//
Fur-Fe2+_pos	puuC//uxaB//tdcG//speB//ung//psd//ssuE//phnL//icd//rhaB//nrdA//prmC//entH//frdA//acnB//fadE//glgC//gcvT//frdC//ybjG//
Fur-Mn2+_neg	gltB//napH//sucB//umpH//mutL//glcD//ilvD//hflX//narG//aspA//dmsA//xdhC//rnpB//araB//idnO//trmD//gatY//bioD//narG//glcF//avtA//cysC//malY//phnM//lpxB//prpD//cdd//melA//edd//gpmA//fadJ//pgaC//argE//entH//pgaB//metB//phnL//paaJ//preA//nrdA//xdhA//uxaB//mltC//fadD//ada//galE//fumC//psd//ugpQ//tnaA//acnB//prs//katE//rnpB//glpB//tktB//ilvG_2//mhpC//phnG//
Fur-Mn2+_pos	agp//aroG//gcvT//uxaA//fumC//nanM//citD//astB//cysN//rutB//gpmA//folE//dapD//feaB//ung//sucD//katG//guaB//pgaD//dmsA//
GlcC-Acetate_neg	
GlcC-Acetate_pos	gltD//garK//cynS//
GlcC-Glycolate_neg	
GlcC-Glycolate_pos	deoC//bcsZ//allE//
GlrR-Pasp56_pos	
IclR-pyruvate_neg	hyaB//hemL//paaZ//
IdnR-5-ketogluconate_neg	cysJ//betA//
IdnR-5-ketogluconate_pos	allD//mhpC//astE//nrfB//
IdnR-Idonate_neg	pgaD//uidA//
IdnR-Idonate_pos	lysA//trpD//cysJ//rdoA//
IlvY-2-acetolactate_neg	
IlvY-2-acetolactate_pos	alaA//
IlvY-Alfa-acetohydroxybutirate_neg	
IlvY-Alfa-acetohydroxybutirate_pos	entA//
IscR-2Fe_neg	deoA//phnO//glcF//fes//entE//
IscR-2Fe_pos	gntK//aldA//
LldR-L-lactate_neg	sodA//tauD//
LldR-L-lactate_pos	metF//citX//
Lrp-Leucine_neg	lacZ//hycC//serA//aroF//sufS//lpd//astC//rutC//nanM//narG//katE//ilvI//bioD//hyaA//glnA//mhpE//nrfA//trpB//aspC//recF//ansB//waaH//lpd//ascB//
Lrp-Leucine_pos	prs//glpX//pncB//tnaA//kbaZ//pgk//allD//galK//eda//katE//paaB//tdh//fucI//glnA//serA//mhpF//phnH//ansB//
LsrR_neg	hycE//cyoE//nagB//sdhB//nrdD//
MalT-ADP-Maltotriose_pos	glcB//uxaC//glgA//adhE//fau//purC//
MalT-Maltotriose-ATP_pos	tam//glgC//trpB//allE//gltB//gatZ//
MelR-Melibiose_neg	ahpC//rutD//
MelR-Melibiose_pos	preA//tadA//
MetJ-S-adenosylmethionine_neg	frdA//ilvH//rutE//sodB//tdcB//tktB//gatZ//nrfC//dusB//agp//
MetR-L-homocysteine_neg	astB//
MetR-L-homocysteine_pos	glyA//fadE//hemL//purD//
MhpR-3-DHPP_pos	avtA//srlD//carA//fucU//prpD//napC//
MhpR-3HPP_pos	bioB//phnI//deoD//entE//umpH//ilvM//
MntR-Cd2+_neg	folE//
MntR-Cd2+_pos	nrdD//
ModE-MoO42-_neg	ndh//mutL//aroL//lsrG//nrfC//sdaA//bioF//abgA//
ModE-MoO42-_pos	caiD//ubiC//miaA//dgcZ//gnd//tdcD//
NarL-Phosphorylated_neg	ansB//umpH//agp//lpxA//hypF//abgA//purL//deoD//idnK//rhaB//ubiX//icd//psd//katG//abgA//prpD//galK//dapB//tadA//aroG//serA//ubiC//glpK//yfbR//
NarL-Phosphorylated_pos	bioA//ascB//gnd//carB//prs//dadX//fadI//cynS//fumB//nrfD//metH//lhgO//frdD//phnI//argE//
NarP-Phosphorylated_neg	trmD//metK//cueO//
NarP-Phosphorylated_pos	ung//purB//bioB//lpd//purE//astD//nirD//tdcD//mtlD//lsrG//
NhaR-Na+_pos	sodA//mhpD//aroF//fucU//
NikR-Cd2+_neg	sucA//
NikR-Co2+_neg	lacZ//
NikR-Cu2+_neg	preA//
NikR-Ni2+_neg	paaF//
NikR-Zn2+_neg	rnpB//
NrdR-ATP_neg	argI//entD//rutA//citE//
NrdR-Zn2+_neg	trpB//cysC//aceE//xdhB//
NrdR-dATP_neg	alaS//lsrF//metA//rbsD//
NsrR-2Fe_neg	phnJ//deoA//glpK//citE//ilvM//glpB//mhpB//yeaE//prpD//lhgO//paaK//ynfF//puuA//moaE//metK//glcB//fucU//tdcE//hpt//codA//pncB//malP//glcE//folA//ung//caiA//acs//paaB//mhpC//glgC//
PhoB-Phosphorylated_neg	lhgO//malZ//napH//ubiC//deoD//
PhoB-Phosphorylated_pos	bcsZ//aceE//galE//argI//fadB//narG//pgpC//malP//alkB//agp//metA//lysC//purH//argH//ilvE//pagP//ynfH//
PhoP-Phosphorylated_neg	cheB//amn//glpK//
PhoP-Phosphorylated_pos	rnpB//purH//nanA//trpB//ynfE//lsrF//ilvE//zwf//ogt//avtA//metE//astA//lhgO//gdhA//tdcG//lpxB//bcsZ//uxaB//aceB//phoA//manA//melA//hyaA//gatY//purH//pgaD//cysH//frdD//purK//metC//paaJ//tdcD//ascB//hcp//
PrpR-2-methylcitrate_neg	
PrpR-2-methylcitrate_pos	prpE//patZ//cynS//garL//
PurR-Guanine_neg	uidA//purL//sodB//entB//glnA//dnaE//glnA//lpxD//truB//dsdA//acs//guaB//betB//fadE//manA//melA//ascB//folA//atoA//folA//glpC//moeB//pck//ulaE//aceE//lpxB//treC//
PurR-Hypoxanthine_neg	ilvD//tdcD//pgaD//nrdE//fucA//gatY//fdhF//metE//aroH//glcD//guaB//astA//iscS//lldD//nrfB//ulaF//purC//nrdA//aroG//preA//paaK//adhE//talA//sufS//sodB//glgC//purM//
QseB-Phosphorylated_pos	
RhaR-L-rhamnose_pos	
RhaS-L-rhamnose_pos	uxaA//ndh//nirD//
RstA-Phosphorylated_neg	fadI//mutY//
RstA-Phosphorylated_pos	ilvH//
SoxR-2Fe_neg	
SoxR-2Fe_pos	murQ//caiD//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	cynS//ahpF//cysI//
TrpR-Tryptophan_neg	zwf//lsrG//cheR//metH//glpX//entF//aspC//avtA//oxc//
TyrR-L-tryptophan_neg	gcvT//ilvN//allE//adhE//nrdB//nanK//ubiX//
TyrR-L-tryptophan_pos	moaD//gapA//glpE//
TyrR-Phenylalanine_neg	ilvB//aspC//fadJ//mdh//citX//ubiG//frdC//
TyrR-Phenylalanine_pos	moeB//ssuE//waaH//
TyrR-Tyrosine_neg	araB//cheR//glgA//hyaC//dmsA//hyaA//fadA//
TyrR-Tyrosine_pos	uxuB//nanK//ssuD//
UhpA-Phosphorylated_pos	phnN//
XapR-xanthosine_pos	prs//uidA//
XylR-Xylose_pos	hycB//lysA//hcp//
ZntR-Cd2+_pos	phnO//
ZntR-Hg_pos	katE//
ZntR-Zn2+_pos	bioF//
ZraR-Phosphorylated_pos	
Zur-Zn2+_neg	ybjG//
