# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	gabD//prmC//
FNR-Fe_neg	mutL//ahpC//tauD//ansB//hmp//malS//napG//citE//zwf//paaE//cysC//entA//caiB//gntK//purK//nagA//alaS//sodB//serC//pck//caiC//argD//gapA//ynfH//chbF//citE//rutE//waaH//ugpQ//argD//napG//tdh//fucA//hyaA//hflX//carB//napB//ilvE//bcsA//rhaB//gabD//umpH//epd//metA//edd//lldD//pncB//
FNR-Fe_pos	rutB//ilvA//napA//nrdE//ilvH//fumC//purF//araD//cpdB//serA//rutD//glyA//srlD//fucK//sodA//cysI//cynT//lpxA//preA//ung//gatY//preT//glcE//adhE//tktB//galT//citX//cueO//xdhC//aceE//cysG//ahpF//trmD//hycE//psd//aspA//kbaZ//udp//nrdF//malS//zwf//rutC//hyaC//ldtC//dadX//galK//napA//purM//ilvG_1//trpE//napH//fbaA//ada//cysD//hycC//phnP//dsdA//gcd//ispE//glgX//speA//fadJ//xdhC//napG//glcE//yfbR//amn//rbsD//tehB//bioA//deoA//garL//codA//galK//pyrC//araD//ssuD//hemL//gatY//rutD//metK//ugpQ//astC//astA//pta//avtA//glpC//cysN//bcsA//ilvG_1//allE//entE//
FhlA-Formate_pos	manA//cysI//mhpF//pta//oxc//tauD//ada//
FucR-L-fuculose-1-phosphate_pos	cysD//bioB//ilvI//gatZ//gatZ//iscS//
Fur-Fe2+_neg	garK//aroH//frc//cheR//mutL//paaI//tyrA//purD//metA//codA//ynfH//argF//aceE//dgcZ//fdhF//dgcZ//moeB//purN//betA//ada//fadA//aceA//manA//torC//ubiX//citF//aroF//ilvB//gabD//caiB//dadX//gapA//malS//paaK//hypF//rutA//lysA//ulaF//nirD//pck//cheB//fadE//napB//phnM//glgB//carB//pyrC//galE//glgC//tehB//cysH//dmsC//nrfA//paaI//eda//phnO//alkB//guaB//trpD//
Fur-Fe2+_pos	uidA//citG//phnG//udp//trpC//serA//rutA//hycB//torA//alaA//bioF//paaZ//dapD//entC//fadI//garL//gapA//entD//narG//acnB//
Fur-Mn2+_neg	ulaD//allE//ubiG//dmsB//trpD//gltD//entH//gapA//cpdB//dgcZ//xapA//argI//tsaE//gutQ//tehB//hycC//xapA//malQ//phnN//ung//dadX//cheR//hycG//cysI//rbsK//cysM//argD//purD//deoD//ilvG_1//galM//alkB//paaK//citE//speB//purL//mutY//glgP//atoD//pgaC//cynS//tdcE//gltB//amn//glcD//gdhA//adhE//paaH//prpB//phnH//cysM//tsaE//galT//nanA//narI//cueO//frdB//nrdD//yfdE//
Fur-Mn2+_pos	garL//speA//moaA//fau//lacA//phnM//hycD//hflX//hyaB//aroF//ynfH//glcB//dsdA//pck//citE//puuE//lldD//mutL//paaH//allD//
GlcC-Acetate_neg	
GlcC-Acetate_pos	moaD//glpK//aroA//
GlcC-Glycolate_neg	
GlcC-Glycolate_pos	gcvP//phnP//aceB//
GlrR-Pasp56_pos	
IclR-pyruvate_neg	citF//iscS//gcvP//
IdnR-5-ketogluconate_neg	bioD//paaA//
IdnR-5-ketogluconate_pos	idnO//mhpC//speA//xylB//
IdnR-Idonate_neg	fau//moeA//
IdnR-Idonate_pos	rutA//tadA//prpB//torC//
IlvY-2-acetolactate_neg	
IlvY-2-acetolactate_pos	galM//
IlvY-Alfa-acetohydroxybutirate_neg	
IlvY-Alfa-acetohydroxybutirate_pos	gcvP//
IscR-2Fe_neg	bioC//frdA//tauD//slt//metL//
IscR-2Fe_pos	hycB//aroA//
LldR-L-lactate_neg	phnI//lpxD//
LldR-L-lactate_pos	xdhA//bioB//
Lrp-Leucine_neg	rutD//hypB//aspC//cheR//pgk//lpxD//gapA//tdcB//chbG//ilvH//deoD//cdd//uxaC//ilvH//nanA//yeaE//nrdA//xapA//glcF//moaA//nagA//aldA//pagP//purC//
Lrp-Leucine_pos	fabZ//gcd//argF//lldD//phnJ//ubiG//ilvB//tauD//pncB//lpxA//fadI//aroF//mpl//hyaC//sdhA//puuA//pta//xdhC//
LsrR_neg	tnaA//gltA//aroA//paaK//garK//
MalT-ADP-Maltotriose_pos	pgk//malY//astA//acs//bacA//ilvC//
MalT-Maltotriose-ATP_pos	gdhA//argG//dmsC//rutD//fadI//dadA//
MelR-Melibiose_neg	glpQ//idnD//
MelR-Melibiose_pos	malS//sdhA//
MetJ-S-adenosylmethionine_neg	argH//tktB//ilvE//araD//argG//torC//garL//prpE//paaG//rdoA//
MetR-L-homocysteine_neg	puuD//
MetR-L-homocysteine_pos	nirD//ilvD//nadC//murQ//
MhpR-3-DHPP_pos	hyaB//pyrD//lldD//yjeF//dsdA//paaZ//
MhpR-3HPP_pos	eda//kbl//dapB//lldD//tdcE//ulaF//
MntR-Cd2+_neg	rbsD//
MntR-Cd2+_pos	prpE//
ModE-MoO42-_neg	malQ//prmC//hycE//prpB//lysA//adhE//deoC//bcsB//
ModE-MoO42-_pos	ldtB//ulaE//tdcD//fadE//serA//araA//
NarL-Phosphorylated_neg	entH//ilvH//gadB//nrfB//cpdB//trpE//chbG//katE//tam//ftnA//betA//glgP//agp//argE//cadA//entA//ada//glpC//napC//cueO//napC//lpd//garK//glpD//
NarL-Phosphorylated_pos	phnO//puuA//guaB//lsrK//glcB//aldA//mdh//sucB//nrdD//glpE//lsrK//fucU//phnM//carA//purK//
NarP-Phosphorylated_neg	alkA//xylB//narI//
NarP-Phosphorylated_pos	lacA//ilvI//mhpC//nrfD//aspC//slt//pyrC//sucD//nrfD//tehB//
NhaR-Na+_pos	metK//gdhA//pheT//hycE//
NikR-Cd2+_neg	idnD//
NikR-Co2+_neg	nadC//
NikR-Cu2+_neg	ynfH//
NikR-Ni2+_neg	yeaE//
NikR-Zn2+_neg	speB//
NrdR-ATP_neg	fucI//uvrA//frc//gapA//
NrdR-Zn2+_neg	idnK//alkA//prpB//pck//
NrdR-dATP_neg	sdhC//zwf//gpmA//ahpC//
NsrR-2Fe_neg	narH//gcd//pagP//lsrF//argI//glcD//lsrG//aceB//prpE//ynfG//lpxA//glpB//pheS//lacA//rbsK//bioB//dkgB//cysK//gcd//frdA//pgaB//nanK//epd//hcp//talA//prs//phnH//frdD//aroA//glpB//
PhoB-Phosphorylated_neg	metB//tktB//uxuB//speB//gpsA//
PhoB-Phosphorylated_pos	tdcE//glgA//sdhD//mpl//gatZ//gcvT//ilvM//thrS//sucB//atoA//uxuB//hycF//rutD//purF//purH//lhgO//rutC//
PhoP-Phosphorylated_neg	mhpB//rhaB//tsaE//
PhoP-Phosphorylated_pos	aceB//guaA//dusB//moaD//bioA//cynT//nrdF//folA//lysC//entH//metA//aroF//pncB//purK//epd//ynfE//metB//metF//argA//carB//gapA//glpK//argC//fucU//ansB//bcsA//argE//carB//nrfD//argA//gadB//paaG//gutQ//uvrA//
PrpR-2-methylcitrate_neg	
PrpR-2-methylcitrate_pos	sucD//dmsB//serA//sdhA//
PurR-Guanine_neg	allD//prpB//prmC//dnaE//gdhA//nrfB//astE//murQ//aldA//moaA//yeaE//serC//guaA//fumC//sodB//gcvT//thrS//caiC//gltA//ldtC//phnO//hemA//citX//sdhA//adhE//epd//tadA//
PurR-Hypoxanthine_neg	lysA//mhpA//paaA//nrdE//aceF//bioB//cysJ//metC//mhpC//ulaE//lsrK//astE//prpD//narH//paaA//phnG//katE//garL//prpE//edd//xylA//idnD//gcvP//argG//betA//entD//phnP//
QseB-Phosphorylated_pos	
RhaR-L-rhamnose_pos	
RhaS-L-rhamnose_pos	idnO//citC//paaF//
RstA-Phosphorylated_neg	udp//allD//
RstA-Phosphorylated_pos	tyrA//
SoxR-2Fe_neg	
SoxR-2Fe_pos	folE//gpmA//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	ubiX//hycE//idnK//
TrpR-Tryptophan_neg	napA//cysK//paaJ//frdD//ugpQ//hycE//uxaC//metE//moaD//
TyrR-L-tryptophan_neg	lacA//ackA//cysJ//ascB//ulaE//ulaF//purD//
TyrR-L-tryptophan_pos	cyoE//dapD//eda//
TyrR-Phenylalanine_neg	manA//malZ//mltC//tyrA//acs//puuD//cueO//
TyrR-Phenylalanine_pos	guaB//mhpB//ubiC//
TyrR-Tyrosine_neg	rdoA//rutE//zwf//dnaE//narG//allD//ugpQ//
TyrR-Tyrosine_pos	paaA//lsrK//mhpA//
UhpA-Phosphorylated_pos	melA//
XapR-xanthosine_pos	aroG//phnJ//
XylR-Xylose_pos	fbaA//hyaC//sdhC//
ZntR-Cd2+_pos	puuE//
ZntR-Hg_pos	codA//
ZntR-Zn2+_pos	cysG//
ZraR-Phosphorylated_pos	
Zur-Zn2+_neg	betB//
