# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	lacA//murQ//
CRP-cAMP_pos	patZ//entA//moaA//malZ//glpQ//paaK//alaA//cpdB//prpE//fdhF//entD//abgA//patZ//gadB//ispE//trpB//fau//galK//purD//fau//gcd//kbl//pagP//purF//atoB//idnK//pgpC//tdcB//malP//ogt//yfbR//lysA//lpxD//cyoE//hypF//allE//fadH//ilvN//lldD//paaZ//manA//allC//purL//katG//sdhD//xdhB//puuD//uxaB//trpD//glpK//xapA//pyrC//ybjG//nanM//argD//chbG//sdhC//metL//cynT//pgaB//caiD//polA//glpQ//nanE//purM//pnp//napC//moeA//rnpB//appA//adhE//iscS//pgaD//bcsA//melA//eda//deoC//argD//sodB//ogt//lysU//tadA//hycF//entA//yfeW//fbaA//nagB//eda//agp//ulaE//bcsB//folA//dmsC//miaA//napC//cynS//citE//torC//lpxB//paaA//bcsA//yfbR//purN//glpX//carB//prpD//bcsA//paaH//paaJ//mhpA//ilvM//moaE//citD//glcB//carA//bglB//thrS//rutA//cysM//trmD//pheT//dmsC//fadI//hycD//entF//allD//lsrG//phnM//gapA//puuD//ada//cadA//ndh//fucO//argC//betA//araA//purM//glcD//gcvH//purB//galE//ampD//abgB//cysN//nanM//araA//torA//cysG//katG//chbG//thrS//yfbR//serA//nrfD//paaZ//argD//cynS//xapA//purK//aldB//moeA//fucK//cpdB//gdhA//mutL//mhpF//paaB//speA//citX//ldtC//yfbR//ubiG//phnH//frdA//yjeF//ilvD//cysJ//nagB//purN//narH//malQ//trpB//mutL//nanK//purC//ung//purF//guaA//entE//sdhA//cyaA//cysN//napA//pgaD//argE//cysJ//ispE//trpA//yjeF//cysM//cheR//cynS//patZ//metB//argG//cysM//gatY//galM//entF//paaJ//hcp//ilvM//nrdF//hemL//folA//ilvD//metH//puuE//ubiG//rbsK//entF//lacZ//aldB//argF//yfbR//rnpB//araD//entE//bacA//deoA//deoB//uxuA//cysK//alkA//slt//bioD//narG//ndh//manA//sodB//ilvD//prmC//
ChbR-Monoacetylchitobiose-6P_neg	trpD//puuD//puuB//
ChbR-Monoacetylchitobiose-6P_pos	ppiA//bioC//lsrK//
CpxR-Phosphorylated_neg	bcsZ//guaA//glpC//
CpxR-Phosphorylated_pos	deoA//astE//glgC//fucA//moeB//folA//bcsA//phnN//aldA//dkgB//talA//dapB//metH//nagA//gltB//sdhB//araB//phnL//phnN//
CreB-Phosphorylated_neg	dmsC//
CreB-Phosphorylated_pos	allC//napG//
CueR-Ag_neg	sdaA//manA//
CueR-Ag_pos	caiC//malQ//
CueR-Cu+_neg	dmsB//feaB//
CueR-Cu+_pos	garR//malY//
CuerR-Au_neg	narI//edd//
CuerR-Au_pos	deoA//gntK//
CusR-Pasp_pos	pflB//ilvN//uxuA//
CynR-Cyanate_neg	
CynR-Cyanate_pos	edd//pgpC//lacA//
CysB-N-acetyl-L-serine_neg	cysM//tyrB//pheT//
CysB-N-acetyl-L-serine_pos	ilvN//xdhA//tyrA//ackA//cheR//deoC//fadB//ahpC//recF//epd//hycF//folA//xdhB//
CysB-O-acetyl-L-serine_neg	astD//psd//guaA//
CysB-O-acetyl-L-serine_pos	abgA//mhpC//ilvE//bacA//puuA//folE//cysN//entB//trpD//allC//pagP//ung//moaE//cynT//
DcuR-Phosphorylated_pos	glgB//hyaA//lsrG//nrfB//
DnaA-ATP_neg	citD//ansB//katE//uvrA//chbF//
DnaA-ATP_pos	lpxD//lpxD//udp//
DpiA-Pasp_neg	
DpiA-Pasp_pos	yfeW//dmsA//patZ//ilvI//gatY//
DsdC-D-serine_neg	
DsdC-D-serine_pos	appA//lpxB//
EvgA-Phosphorylated_pos	cynS//ung//ilvH//sdhD//uxuA//
FNR-Fe_neg	ackA//trpE//ssuE//fumA//glgA//astC//pck//mutY//metA//tyrB//gcvP//metL//lpd//sdhA//ada//paaZ//fumB//argH//epd//hcp//rutA//dadX//hycE//purE//gltD//napA//hemL//tdcB//codA//cysK//phnL//hpt//gutQ//avtA//paaH//argG//galT//speB//carA//ilvM//rutA//glcB//paaE//aspA//atoD//fabZ//metH//
FNR-Fe_pos	cysK//mhpF//lacA//aspA//gabT//sdhB//hemA//icd//purK//xapA//phnH//idnO//rnpB//ascB//gcd//katG//gcvP//torA//entA//ftnA//lhgO//tauD//ansB//citF//malS//purB//tsaE//waaH//katE//dmsC//purL//nrdD//yfeW//pgk//araB//codA//betA//glgB//metF//sdhA//truB//rutE//argF//phnP//idnK//rutB//caiA//gatZ//folE//narG//idnD//narI//prpC//hycE//sdhB//dgcZ//atoB//citX//zwf//phnM//preT//entC//mutY//pgpC//aroH//xdhC//frdC//tyrA//kbl//ulaD//idnO//kbl//ada//aldA//purC//nagB//moeA//xapA//acnB//mhpA//oxc//hyaA//metK//garR//yfbR//fadH//glpC//ilvG_2//nanK//fumA//aceE//rhaB//
FhlA-Formate_pos	entE//lpd//glpA//avtA//aroL//aceA//gadB//
FucR-L-fuculose-1-phosphate_pos	ynfE//citC//aroF//fucA//cysK//agp//
Fur-Fe2+_neg	abgA//allC//frdD//deoA//tdcG//gapA//argD//chbG//fumC//nanM//argB//phnO//astA//alkA//aroA//ilvB//argF//zwf//narH//garR//puuB//folE//argF//epd//nrfA//fucI//aroG//argI//psd//hycE//pnp//caiD//nanK//slt//malP//ubiG//mltC//pgpC//pck//nrfD//glpE//bioC//fau//puuB//lsrK//fabZ//napG//nrdF//frdD//phnP//glgA//lacA//ilvI//paaH//truB//tdcG//metE//ulaF//deoA//
Fur-Fe2+_pos	amn//rdoA//napB//moeB//hycF//ftnA//metB//rhaD//glpK//sodB//allD//atoB//deoC//frdC//mhpE//argF//trpE//metB//galT//glpB//
Fur-Mn2+_neg	ilvC//guaA//pyrC//fadB//rutB//frdD//lhgO//ahpF//avtA//purK//ilvM//pta//caiB//citD//trmD//hemL//citC//dadA//uxaA//truB//ynfE//astA//ftnA//argF//trpD//umpH//sodB//prpD//ilvB//citF//purH//ubiC//mhpE//puuD//alkA//astE//mpl//citC//tyrB//preT//fumC//dkgB//dnaE//puuD//nagB//moaA//cysK//astB//aspA//hyaB//paaB//ilvM//ndh//oxc//ahpC//gcvT//glpA//waaH//pdeF//
Fur-Mn2+_pos	speB//sucD//uidA//serA//astB//malZ//cysN//entC//aspA//lhgO//nrfD//ispE//purE//napC//katG//gpmA//betA//gdhA//idnK//trpA//
GlcC-Acetate_neg	
GlcC-Acetate_pos	tdh//hyaC//cadA//
GlcC-Glycolate_neg	
GlcC-Glycolate_pos	citF//deoD//yjeF//
GlrR-Pasp56_pos	
IclR-pyruvate_neg	ldtC//fucK//bacA//
IdnR-5-ketogluconate_neg	yfdE//cysM//
IdnR-5-ketogluconate_pos	malY//frc//nirB//ulaD//
IdnR-Idonate_neg	deoD//deoB//
IdnR-Idonate_pos	caiB//paaF//paaA//polA//
IlvY-2-acetolactate_neg	
IlvY-2-acetolactate_pos	lsrF//
IlvY-Alfa-acetohydroxybutirate_neg	
IlvY-Alfa-acetohydroxybutirate_pos	prpD//
IscR-2Fe_neg	tyrA//bioD//idnD//gabD//citE//
IscR-2Fe_pos	ilvH//nirD//
LldR-L-lactate_neg	mhpA//trmD//
LldR-L-lactate_pos	miaA//hemL//
Lrp-Leucine_neg	sdhD//srlD//rbsK//fadA//caiD//cysJ//hyaA//idnD//nrdE//feaB//phnH//aldB//ssuE//araA//bacA//ilvD//cysC//gatZ//purM//phnN//cysN//cyoE//phnL//slt//
Lrp-Leucine_pos	tehB//ynfF//ynfG//astE//mhpE//rutB//sdhA//phnI//cadA//fes//dgcZ//yfbR//frdB//metF//katG//avtA//adhE//phnO//
LsrR_neg	cheB//glpC//lacZ//fadE//dadA//
MalT-ADP-Maltotriose_pos	argG//xylB//ahpF//ubiA//bacA//hycC//
MalT-Maltotriose-ATP_pos	carA//rbsK//aspA//entE//fadJ//lsrG//
MelR-Melibiose_neg	ulaD//abgA//
MelR-Melibiose_pos	gapA//caiC//
MetJ-S-adenosylmethionine_neg	entA//rutC//astA//fdhF//argD//ahpC//hycC//dnaE//nanK//galT//
MetR-L-homocysteine_neg	pgpC//
MetR-L-homocysteine_pos	sodB//cysK//fadD//pagP//
MhpR-3-DHPP_pos	bioC//phnG//cysH//melA//trmD//paaF//
MhpR-3HPP_pos	trpD//lpd//lsrF//nrfD//torA//pgpC//
MntR-Cd2+_neg	mutY//
MntR-Cd2+_pos	purK//
ModE-MoO42-_neg	uxaB//moeA//phnH//cysH//frdC//pdeF//citC//fadB//
ModE-MoO42-_pos	nrfB//gpsA//pyrD//hemA//mhpA//gapA//
NarL-Phosphorylated_neg	hyaC//bioB//puuA//cysD//gatZ//pgpC//cynS//astB//chbF//galE//pflB//lsrG//galE//fucK//galT//malQ//aroG//puuB//oxc//glcF//galM//allD//frdA//trpC//
NarL-Phosphorylated_pos	tnaA//uxaA//ascB//gpmA//carA//tdcG//ssuE//ilvG_1//pgaB//slt//ung//paaE//ilvB//acs//katG//
NarP-Phosphorylated_neg	aspC//hemA//ahpC//
NarP-Phosphorylated_pos	trpA//yeaE//glpK//lacZ//ilvI//tam//eda//paaK//dnaE//purK//
NhaR-Na+_pos	cpdB//purB//gcvH//garK//
NikR-Cd2+_neg	fau//
NikR-Co2+_neg	iscS//
NikR-Cu2+_neg	caiD//
NikR-Ni2+_neg	paaC//
NikR-Zn2+_neg	cheB//
NrdR-ATP_neg	sdhA//gutQ//gadB//nagB//
NrdR-Zn2+_neg	prpE//xdhC//paaC//cueO//
NrdR-dATP_neg	pdeF//sodA//glgB//yjeF//
NsrR-2Fe_neg	gpsA//aroH//purL//ilvB//argE//murQ//hypF//ynfE//fumB//chbG//nrfA//sdhB//gpmA//hycD//xylA//purE//argE//thrS//paaJ//aceB//entE//gltD//alkA//malS//glcD//gnd//fadE//araA//pyrC//fes//
PhoB-Phosphorylated_neg	rutB//yfeW//ldtB//cysG//trpE//
PhoB-Phosphorylated_pos	pflB//cysN//ilvN//ilvI//glgX//dgcZ//glgP//acnB//phnN//pgpC//lysC//fadA//hyaB//araA//pgaB//prpB//hypB//
PhoP-Phosphorylated_neg	trpE//xdhC//aroL//
PhoP-Phosphorylated_pos	appA//sodA//pflB//nrfB//dapB//cadA//folA//pdeF//napG//guaB//ackA//cadA//aceF//fadD//glpE//cheB//purL//folA//yeaE//cpdB//paaZ//icd//trpB//paaE//argA//yjeF//entB//hypB//hcp//metL//entC//preT//entC//idnK//
PrpR-2-methylcitrate_neg	
PrpR-2-methylcitrate_pos	glpD//paaB//idnD//cheB//
PurR-Guanine_neg	dmsB//galT//malQ//allC//polA//polA//mhpB//paaA//ansB//glpE//uvrA//entB//metA//fucK//hycE//xylA//citC//entF//nagB//moeA//lysU//nirD//iscS//galE//fbaA//kbaZ//sufS//
PurR-Hypoxanthine_neg	glpB//hemA//deoC//prpD//ynfG//phnL//phnL//purN//bioC//ubiX//dusB//gutQ//fadI//betB//malS//nrdA//pgaD//fumA//glpK//mpl//trpE//rbsD//nirD//rhaB//bioC//malP//gpsA//
QseB-Phosphorylated_pos	
RhaR-L-rhamnose_pos	
RhaS-L-rhamnose_pos	narG//argH//alkB//
RstA-Phosphorylated_neg	srlD//lhgO//
RstA-Phosphorylated_pos	tyrA//
SoxR-2Fe_neg	
SoxR-2Fe_pos	ahpF//tyrB//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	ansB//frc//trpC//
TrpR-Tryptophan_neg	chbG//rutD//gatY//phnI//ahpC//argG//glpA//nrfA//uvrA//
TyrR-L-tryptophan_neg	preT//thrS//glpD//nanA//yjeF//lysU//sucA//
TyrR-L-tryptophan_pos	lsrG//lacA//mhpB//
TyrR-Phenylalanine_neg	rdoA//pheS//pck//paaA//tktB//allE//galK//
TyrR-Phenylalanine_pos	ubiC//hycC//ulaF//
TyrR-Tyrosine_neg	uxuA//rhaA//pgaD//nanE//fadA//gltA//xdhB//
TyrR-Tyrosine_pos	gltB//lacZ//paaF//
UhpA-Phosphorylated_pos	fadH//
XapR-xanthosine_pos	glpK//tam//
XylR-Xylose_pos	gatZ//preT//gabD//
ZntR-Cd2+_pos	xapA//
ZntR-Hg_pos	fdhF//
ZntR-Zn2+_pos	ada//
ZraR-Phosphorylated_pos	
Zur-Zn2+_neg	phnJ//
