# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	ispE//argB//
CRP-cAMP_pos	nrfB//mhpB//glpA//tyrB//hycF//hycF//hemA//paaF//aldA//ynfH//entC//nagA//ynfF//rbsD//astD//sucB//argC//pdeF//manA//dmsC//gcd//edd//ung//xylB//deoD//glpQ//kbl//yqjH//aroH//phnM//hycD//edd//citG//aceB//phnN//mhpB//citX//preT//sdhB//lacZ//paaA//tdcD//moeB//tauD//glgB//dnaE//gcvT//upp//idnK//moeB//ubiG//ulaD//fbaA//ogt//sdhD//pnp//amn//ilvN//tadA//pgaB//dapD//glyA//aceA//fucK//entB//tnaA//fadE//tdcG//cysI//edd//ilvB//rhaB//slt//ilvA//pnp//murQ//araB//ssuE//gltD//caiA//rdoA//ndh//deoC//appA//fucK//metE//hmp//purC//purE//folE//caiD//aceF//phnL//preA//gatY//aroL//astE//lldD//napG//entH//phnN//napH//astC//frc//rbsD//dadX//allC//aldB//gltD//tam//cynT//trmD//hycG//feaB//lacA//trpB//astB//glcF//appA//nrdB//katG//gcvT//argD//tam//gltD//nrfD//prpC//aspC//uxuA//metL//paaF//paaE//yfeW//araA//glgP//yfeW//uxaA//aspC//tdcB//dadA//sdhC//gabT//mtlD//glgB//gltD//rnpB//cysH//ubiG//fucI//dmsC//sucD//malZ//dkgB//sdhD//gltD//waaH//glgA//paaK//prpD//trpC//entC//melA//tehB//mutY//caiA//nagA//ilvE//citE//fumC//fadB//citX//fadH//fucU//dkgB//paaF//lhgO//torC//slt//allD//nanE//rhaB//ynfG//nirD//fumC//rutB//mpl//phoA//dmsC//betB//folA//sdhB//gabD//ubiX//puuD//cysH//thrS//bcsA//tnaA//yjeF//nagA//pheS//cysK//entB//polA//aroA//metH//purD//folE//dgcZ//phnL//alaA//pncB//xylA//tdcB//sodA//galK//fadB//rutE//tauD//lsrF//dadX//truB//prs//mltC//ynfF//argH//napH//purF//ilvI//atoD//ynfH//cynT//garL//ilvG_2//nirD//pgk//dsdA//yeaE//sucA//ynfG//iscS//fucU//glgX//
ChbR-Monoacetylchitobiose-6P_neg	alkB//gntK//nrdF//
ChbR-Monoacetylchitobiose-6P_pos	napG//epd//narH//
CpxR-Phosphorylated_neg	bioC//hycB//fau//
CpxR-Phosphorylated_pos	carA//purE//allC//bioF//allC//entD//rutD//alaA//fucK//dusB//prpD//upp//prmC//bioC//paaC//dapB//pyrC//xapA//purN//
CreB-Phosphorylated_neg	zwf//
CreB-Phosphorylated_pos	narH//glcF//
CueR-Ag_neg	argD//iscS//
CueR-Ag_pos	mtlD//ubiC//
CueR-Cu+_neg	tdcE//cysD//
CueR-Cu+_pos	cysC//tsaE//
CuerR-Au_neg	acnA//talA//
CuerR-Au_pos	metA//galT//
CusR-Pasp_pos	prpC//glpD//astA//
CynR-Cyanate_neg	
CynR-Cyanate_pos	lhgO//ynfF//fadH//
CysB-N-acetyl-L-serine_neg	glpX//rnpB//gltD//
CysB-N-acetyl-L-serine_pos	lysU//bcsZ//moaD//pyrC//garK//folE//lpxB//prpD//hpt//glgC//paaH//glgB//appA//
CysB-O-acetyl-L-serine_neg	metF//tdcB//prpB//
CysB-O-acetyl-L-serine_pos	umpH//astD//guaA//lpxA//rutD//narH//paaA//nanA//moaA//glcE//fadA//uxuB//hypF//rhaB//
DcuR-Phosphorylated_pos	ynfG//glpE//pheT//sdaA//
DnaA-ATP_neg	argF//allC//pagP//dgcZ//edd//
DnaA-ATP_pos	hyaA//aldA//gpsA//
DpiA-Pasp_neg	
DpiA-Pasp_pos	fdhF//bcsB//metE//argA//purM//
DsdC-D-serine_neg	
DsdC-D-serine_pos	sdhD//malS//
EvgA-Phosphorylated_pos	allC//trpD//polA//paaF//phnN//
FNR-Fe_neg	rdoA//bacA//uxuB//acnB//hycF//deoD//glpK//yeaE//malY//lsrK//astD//eda//umpH//gltB//aceF//hemA//fadD//tdcD//adhE//nagB//deoB//rhaB//argF//entC//cyaA//ilvH//nanM//ilvM//frdA//gabT//glpB//bglB//araD//argB//paaB//purM//carA//hycC//tyrB//fumC//lacA//glpB//cysH//ulaE//glgA//fadD//udp//
FNR-Fe_pos	truB//glyA//bcsZ//ynfF//phnI//uxuB//zwf//hflX//torA//cpdB//gdhA//xylA//hycB//fadE//hycG//nrdB//nirB//hmp//uxuB//narG//umpH//citG//tyrA//sucA//pheS//mhpA//cysH//aceE//bioF//nrdD//tdcB//ubiC//entF//napA//ldtB//ubiG//idnK//codA//gatD//pagP//alkB//moeB//glpX//feaB//moaE//malS//cheB//paaJ//fucK//fumC//tam//bcsB//acnB//puuD//codA//puuE//glcD//idnO//appA//pck//dmsC//glpD//caiB//frdB//hypB//trpC//ldtB//rutA//metL//rutA//deoB//sdaA//fucA//ilvA//atoA//dapB//glcE//oxc//astA//pyrD//uvrA//pyrD//bioF//narG//hyaA//ldtC//atoB//pheS//ynfH//abgA//cynS//melA//
FhlA-Formate_pos	moaE//glpB//glgB//galK//ilvE//cysH//acs//
FucR-L-fuculose-1-phosphate_pos	ogt//nanE//gdhA//mdh//prpB//cynT//
Fur-Fe2+_neg	pagP//ispE//hycE//malY//eda//dmsA//ynfF//sdhC//cynS//ynfE//paaF//puuA//phoA//tdcD//hycF//hycG//entF//alaS//recF//puuC//bcsA//deoC//katG//lpxA//mltC//hycF//moaD//bioF//hycC//pyrC//lhgO//guaB//ssuE//glpE//fau//cysH//prpE//ubiC//psd//prpC//paaE//cheB//entB//glgX//ssuE//folE//lacZ//sucC//aspC//pyrC//phnL//speA//epd//aroA//nrfC//cheB//alkA//caiB//yqjH//
Fur-Fe2+_pos	metH//citG//psd//sdaA//fucI//mhpF//aldA//edd//ldtB//puuB//argB//pyrC//argD//nrdF//rbsK//deoA//gcd//gabT//paaI//glcF//
Fur-Mn2+_neg	malY//ybjG//glyA//paaA//melA//purK//fadE//araD//adhE//ahpF//paaZ//bioC//ackA//puuB//guaB//patZ//sucD//metF//carB//cysM//xapA//gadB//ynfG//prpB//trpA//manA//hmp//puuB//mtlD//rutC//gadB//lacA//moaD//caiB//atoD//pagP//sodB//ssuE//glpB//appA//cyoE//allD//acnB//aspC//bcsZ//puuA//sodB//nrdA//paaK//gutQ//fadD//lpxA//cadA//rhaB//napG//purM//prpE//guaB//nanE//
Fur-Mn2+_pos	trmD//glgC//nirD//ansB//pncB//galE//rbsD//purD//preA//aroA//ahpC//edd//ynfF//hycC//metF//rhaD//malQ//pflB//prpC//preT//
GlcC-Acetate_neg	
GlcC-Acetate_pos	idnD//lsrK//fes//
GlcC-Glycolate_neg	
GlcC-Glycolate_pos	cyoE//zwf//lysU//
GlrR-Pasp56_pos	
IclR-pyruvate_neg	metL//puuA//rutC//
IdnR-5-ketogluconate_neg	ispE//polA//
IdnR-5-ketogluconate_pos	lsrF//serC//moeA//lpxA//
IdnR-Idonate_neg	patZ//patZ//
IdnR-Idonate_pos	ascB//ubiC//yfbR//pgpC//
IlvY-2-acetolactate_neg	
IlvY-2-acetolactate_pos	tyrB//
IlvY-Alfa-acetohydroxybutirate_neg	
IlvY-Alfa-acetohydroxybutirate_pos	fucK//
IscR-2Fe_neg	alkA//mdh//ulaD//gatD//cadA//
IscR-2Fe_pos	ybjG//puuC//
LldR-L-lactate_neg	chbF//cysJ//
LldR-L-lactate_pos	cpdB//ilvD//
Lrp-Leucine_neg	alaA//chbF//paaI//glpX//nrfB//glpC//phnG//aceB//aceA//lpxA//guaA//carA//ilvE//hpt//xdhB//recF//paaH//serA//trpB//mltC//yeaE//sdhA//caiA//gcvH//
Lrp-Leucine_pos	puuD//nrfA//ldtB//alaA//ynfH//fumA//ispE//phnM//purE//gabD//paaI//hycG//talA//speB//mhpA//bioF//nrdB//alaA//
LsrR_neg	prpE//ugpQ//uxuA//napC//purM//
MalT-ADP-Maltotriose_pos	ynfG//citE//upp//glgB//mhpA//cysC//
MalT-Maltotriose-ATP_pos	aldB//betB//ndh//murQ//lsrK//aceB//
MelR-Melibiose_neg	acnA//pgpC//
MelR-Melibiose_pos	aroF//gutQ//
MetJ-S-adenosylmethionine_neg	yfbR//dgcZ//entH//agp//puuB//argD//cysK//fucA//nrdE//ndh//
MetR-L-homocysteine_neg	tadA//
MetR-L-homocysteine_pos	gcvP//uxuA//idnD//guaA//
MhpR-3-DHPP_pos	entA//fadH//polA//ilvI//fdhF//uxaB//
MhpR-3HPP_pos	nirB//bioD//atoD//metF//cysN//aceF//
MntR-Cd2+_neg	gltA//
MntR-Cd2+_pos	astD//
ModE-MoO42-_neg	araA//caiB//alkA//mpl//gapA//gltD//entH//idnD//
ModE-MoO42-_pos	amn//entH//hypB//argH//cysG//caiA//
NarL-Phosphorylated_neg	cysN//glcB//phnG//dadA//gpsA//cueO//purD//argB//citE//ahpF//udp//astE//mhpC//mhpA//adhE//fucK//ilvB//lpxB//serA//gntK//hemL//katG//gpsA//paaI//
NarL-Phosphorylated_pos	hyaB//fucI//nanA//fucI//folA//ybjG//guaB//pta//hcp//ubiC//ulaE//betA//treC//pgpC//metA//
NarP-Phosphorylated_neg	fumC//fumC//ilvA//
NarP-Phosphorylated_pos	paaE//rbsK//mhpE//malZ//xdhB//caiB//thrS//metE//allE//pyrC//
NhaR-Na+_pos	paaB//citE//xapA//napH//
NikR-Cd2+_neg	ynfE//
NikR-Co2+_neg	ilvM//
NikR-Cu2+_neg	phnN//
NikR-Ni2+_neg	napH//
NikR-Zn2+_neg	rhaD//
NrdR-ATP_neg	acnA//xylB//mltC//rbsK//
NrdR-Zn2+_neg	ahpF//narG//uxaC//prpC//
NrdR-dATP_neg	abgB//avtA//aldB//entB//
NsrR-2Fe_neg	caiA//pgaB//adhE//garK//trpE//malP//nirB//sdhD//talA//nrfD//atoA//gcvP//gdhA//nrdF//hflX//pyrD//bioD//katG//appA//lpxB//caiD//phnG//glpA//sodB//pyrD//narG//galM//treC//sucC//ulaE//
PhoB-Phosphorylated_neg	astE//frdA//entC//aroG//ilvB//
PhoB-Phosphorylated_pos	ispE//ssuD//mutL//napA//yjeF//pnp//cysG//ung//pnp//uxaC//tdcG//frdC//nrdA//kbaZ//umpH//bioB//fdhF//
PhoP-Phosphorylated_neg	citC//ilvC//glgC//
PhoP-Phosphorylated_pos	fadE//phnM//abgB//pyrC//patZ//preT//glpC//truB//dusB//astA//hemL//oxc//atoA//glpQ//phnL//yfeW//pgaB//hyaA//galT//ugpQ//cyoE//frdD//purA//nirB//glcF//rbsD//manA//napH//citX//oxc//citX//uxaC//dusB//cheB//
PrpR-2-methylcitrate_neg	
PrpR-2-methylcitrate_pos	fadD//argD//narG//betB//
PurR-Guanine_neg	hyaA//glyA//hcp//betB//guaA//ispE//epd//ldtB//nanA//fes//entD//napA//puuA//paaI//entC//glgB//glgA//waaH//hpt//cysD//bcsA//nrfC//ansB//hemA//sufS//ndh//gntK//
PurR-Hypoxanthine_neg	galK//astB//guaA//astC//puuE//tdcB//tdcE//fadI//narG//srlD//cpdB//lysA//aroG//paaG//speC//purE//mtlD//bcsA//lsrF//uidA//fadH//phnL//lysU//truB//argH//phnL//argC//
QseB-Phosphorylated_pos	
RhaR-L-rhamnose_pos	
RhaS-L-rhamnose_pos	adhE//ssuD//gdhA//
RstA-Phosphorylated_neg	phnG//mtlD//
RstA-Phosphorylated_pos	fbaA//
SoxR-2Fe_neg	
SoxR-2Fe_pos	trmD//rdoA//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	paaE//ynfG//araA//
TrpR-Tryptophan_neg	bglB//nanA//idnK//citE//gcvH//mutY//acnB//glpK//cysD//
TyrR-L-tryptophan_neg	idnK//argF//dsdA//hemL//fumB//dusB//fucO//
TyrR-L-tryptophan_pos	ansB//xapA//lysC//
TyrR-Phenylalanine_neg	sdhA//aroA//malP//purF//gnd//xdhC//acnB//
TyrR-Phenylalanine_pos	mpl//ilvA//fadH//
TyrR-Tyrosine_neg	citC//ada//udp//glpB//sodB//guaB//bioB//
TyrR-Tyrosine_pos	astA//astC//yfeW//
UhpA-Phosphorylated_pos	gcd//
XapR-xanthosine_pos	tktB//eda//
XylR-Xylose_pos	bcsB//gutQ//fadH//
ZntR-Cd2+_pos	moeA//
ZntR-Hg_pos	cysC//
ZntR-Zn2+_pos	idnO//
ZraR-Phosphorylated_pos	
Zur-Zn2+_neg	mutL//
