# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	lysU//nagB//
CRP-cAMP_pos	purF//caiB//speA//citD//lysU//tam//phnI//aceA//folA//aceB//pnp//idnK//bglB//cysH//gatD//galK//dgcZ//mltC//sucC//atoA//phnH//fumC//cpdB//yfeW//purC//ilvD//dgcZ//oxc//uvrA//nrfB//fadA//feaB//uxaC//ynfG//guaB//acs//hflX//purB//eda//aroL//glnA//lpd//argG//sdhC//melA//speA//rbsK//mtlD//caiD//glpC//pyrD//tnaA//glgX//paaJ//aceF//aceF//entF//pgaC//caiC//tyrB//pgaB//tdcG//aroG//tyrB//pgaB//ulaF//speB//ahpC//mutL//dsdA//tauD//ubiG//fumA//sucB//tsaE//rbsD//fadE//hycB//bcsB//citE//glpQ//prpD//citG//gcvH//purM//yjeF//alkB//tehB//abgB//uxaA//paaH//cysH//malY//tauD//speB//pgaD//sdhA//edd//fes//dmsC//fau//metF//patZ//torA//rutE//cdd//ubiA//metK//paaH//lhgO//xdhA//icd//tam//mhpB//cpdB//pyrC//purM//ybjG//pyrD//paaK//ilvI//argE//ybjG//prs//katG//citD//cysC//entB//speC//gltD//fucA//ndh//yfdE//citG//gcd//uxuB//napB//galT//pck//frc//napH//purN//nrfB//pyrC//ilvB//purH//xdhA//pck//pgk//pgk//thrS//torC//garR//nanK//paaZ//allD//araD//nagA//lsrF//puuD//napG//astB//fucK//ynfE//aroL//nanE//paaK//glgX//ada//dmsA//nrdF//alaA//puuC//prs//citC//pagP//ilvI//fucU//yjeF//argB//lsrF//moaE//hyaC//ilvA//aceF//mhpA//paaZ//ldtB//frc//deoB//purL//nrdD//preT//amn//frdA//folE//zwf//lsrK//pgpC//frdA//ndh//glyA//eda//ynfG//thrS//bioD//carA//rhaA//cysG//cysJ//hycC//aspC//nrdB//ynfE//fucU//aspA//gcvP//patZ//phnG//phnJ//sdhD//garK//deoD//abgB//ilvE//argF//rutE//hypF//purN//aceE//nanK//phnM//murQ//paaC//astB//ada//hycF//gcvT//phnI//fucK//garR//mtlD//treC//
ChbR-Monoacetylchitobiose-6P_neg	melA//tam//sdhA//
ChbR-Monoacetylchitobiose-6P_pos	cysJ//cysH//bcsZ//
CpxR-Phosphorylated_neg	phnI//pgpC//rutA//
CpxR-Phosphorylated_pos	gadB//torA//citE//ilvN//ubiC//sodB//metE//moaD//gcvT//mpl//fadD//sdaA//aroH//rnpB//dsdA//araB//nrfA//atoD//metH//
CreB-Phosphorylated_neg	gntK//
CreB-Phosphorylated_pos	dnaE//gcvH//
CueR-Ag_neg	ppiA//puuD//
CueR-Ag_pos	mhpC//ssuE//
CueR-Cu+_neg	murQ//citX//
CueR-Cu+_pos	prpC//gatY//
CuerR-Au_neg	garR//ftnA//
CuerR-Au_pos	dmsB//entA//
CusR-Pasp_pos	appA//mpl//dmsB//
CynR-Cyanate_neg	
CynR-Cyanate_pos	eda//argC//hemA//
CysB-N-acetyl-L-serine_neg	tdh//dnaE//speB//
CysB-N-acetyl-L-serine_pos	pgk//frc//cysD//astC//alaA//puuB//frdD//malS//talA//ilvG_2//cdd//gcd//deoD//
CysB-O-acetyl-L-serine_neg	ynfG//guaA//sufS//
CysB-O-acetyl-L-serine_pos	folE//fadJ//chbG//ulaF//phoA//chbG//gnd//uvrA//argA//slt//miaA//agp//thrS//ilvH//
DcuR-Phosphorylated_pos	purE//fadA//rhaA//napC//
DnaA-ATP_neg	puuE//ilvN//uxaB//allD//rbsK//
DnaA-ATP_pos	bioB//pflB//rutD//
DpiA-Pasp_neg	
DpiA-Pasp_pos	gatD//glcB//cysH//dsdA//pagP//
DsdC-D-serine_neg	
DsdC-D-serine_pos	ulaD//puuC//
EvgA-Phosphorylated_pos	uvrA//lysU//rnpB//glpX//atoA//
FNR-Fe_neg	aceF//cysC//cpdB//guaB//phnL//narH//rnpB//gatY//lpxA//moaD//mtlD//ynfH//mhpE//hypF//paaC//trpA//citF//patZ//lacZ//lacZ//yfeW//dsdA//mutY//napH//napA//glgA//dapD//citE//glpB//cheB//purM//trmD//idnD//pflB//tdcB//entB//psd//ulaD//nanM//sucC//tadA//serA//truB//argF//allD//recF//glpB//
FNR-Fe_pos	hemL//ilvI//garK//napB//galE//hcp//fumB//malY//garL//trpE//hyaA//oxc//purH//fucK//malS//tsaE//gdhA//nanA//lysA//tdcG//sucC//nanE//aldA//ahpF//purH//ldtC//caiA//agp//hycE//fes//glnA//mhpA//gltB//lacZ//metA//rhaA//gnd//garR//glpA//glcB//sufS//argB//umpH//fumA//cysD//malZ//fabZ//agp//ppiA//waaH//bioB//purB//kbaZ//waaH//bioC//paaB//mhpE//gcvH//upp//mhpF//gatZ//garL//sdhD//galE//glgP//paaH//prpB//astD//lpxD//fbaA//pgaC//alkB//narH//prpB//bioD//glyA//fau//manA//paaJ//narH//ubiX//cysJ//aldB//alkA//cyaA//phnO//purK//cysJ//nanA//hflX//rnpB//gatD//
FhlA-Formate_pos	epd//entB//cysD//narH//garK//pyrD//phnP//
FucR-L-fuculose-1-phosphate_pos	pck//rnpB//pheT//xylA//rbsK//pgaC//
Fur-Fe2+_neg	glpC//pgaD//argC//chbG//galM//frc//metK//manA//rdoA//ndh//purM//deoC//aceE//prpD//sdhB//pgpC//malS//dusB//ilvI//patZ//frdA//thrS//hmp//mutY//ubiA//aspA//argA//citG//pyrD//glnA//allE//zwf//mutL//preA//rutE//tauD//gltD//pheS//garR//glgC//mutL//yfbR//fadE//glpX//purE//nrdB//hyaC//uidA//katE//lsrG//cynT//tdh//citX//tdcG//serA//hyaC//agp//dnaE//nrdE//
Fur-Fe2+_pos	uxuB//caiB//astB//appA//phnL//bioB//acnB//fucO//nanA//tehB//glgC//hypB//speB//napC//lacA//rdoA//murQ//psd//allE//talA//
Fur-Mn2+_neg	phnJ//paaC//dusB//purL//serA//psd//xdhA//avtA//ynfF//sufS//bioB//acnB//astB//hyaB//lpxA//gutQ//hycE//hypB//rutB//lsrF//ilvB//napC//napB//mhpB//glgX//tehB//paaZ//gpmA//chbG//lysC//metA//xdhA//malQ//ilvH//paaG//malS//citF//purL//narH//phnJ//galK//moeA//guaB//argF//aldA//ugpQ//zwf//alkB//umpH//acnA//pyrD//astB//fucO//hycG//hycG//puuA//nrdD//glpK//nadC//
Fur-Mn2+_pos	gltA//paaZ//fadJ//gltD//nrfA//rutE//bioD//glpA//nrdA//carB//fabZ//cyoE//purM//ilvG_2//allD//alkA//ldtB//hyaA//paaA//narH//
GlcC-Acetate_neg	
GlcC-Acetate_pos	mhpD//argF//fucA//
GlcC-Glycolate_neg	
GlcC-Glycolate_pos	miaA//prpC//gatY//
GlrR-Pasp56_pos	
IclR-pyruvate_neg	puuD//lpd//nadC//
IdnR-5-ketogluconate_neg	ynfE//folE//
IdnR-5-ketogluconate_pos	allD//pyrC//cdd//nanM//
IdnR-Idonate_neg	entF//rutC//
IdnR-Idonate_pos	sucC//malS//mpl//ulaF//
IlvY-2-acetolactate_neg	
IlvY-2-acetolactate_pos	lpxB//
IlvY-Alfa-acetohydroxybutirate_neg	
IlvY-Alfa-acetohydroxybutirate_pos	phnM//
IscR-2Fe_neg	astD//hyaB//truB//alkA//nanA//
IscR-2Fe_pos	ynfH//galE//
LldR-L-lactate_neg	srlD//citD//
LldR-L-lactate_pos	dgcZ//lysU//
Lrp-Leucine_neg	xdhC//idnO//ilvD//astD//adhE//entH//mdh//moeB//iscS//hcp//atoB//mhpE//upp//ahpC//lacZ//tam//paaA//lhgO//uxaA//gltA//mhpD//tdcE//purB//dmsC//
Lrp-Leucine_pos	glpE//udp//phnP//moaD//fes//galT//glpE//entA//sdhD//nrdF//yfeW//argH//cynS//dapB//oxc//sucC//sodA//glnA//
LsrR_neg	appA//fucO//metB//slt//argB//
MalT-ADP-Maltotriose_pos	metF//tsaE//rnpB//ampD//fadD//citE//
MalT-Maltotriose-ATP_pos	paaH//sucB//hcp//amn//cysG//rutC//
MelR-Melibiose_neg	ilvG_2//bacA//
MelR-Melibiose_pos	purH//manA//
MetJ-S-adenosylmethionine_neg	prpC//preA//purE//ogt//ogt//cysH//hycB//sodA//aceB//nanM//
MetR-L-homocysteine_neg	amn//
MetR-L-homocysteine_pos	gutQ//atoA//phnJ//glpB//
MhpR-3-DHPP_pos	purD//mdh//nanA//purL//gadB//sdaA//
MhpR-3HPP_pos	hycD//rdoA//lysU//glgB//cysG//trpE//
MntR-Cd2+_neg	recF//
MntR-Cd2+_pos	moaA//
ModE-MoO42-_neg	lysC//ynfG//atoD//fumC//frdA//glcE//puuC//alaA//
ModE-MoO42-_pos	xylA//cynS//aroF//speB//umpH//lsrK//
NarL-Phosphorylated_neg	idnK//nanA//fadE//galE//narH//alkB//paaH//phnJ//polA//mltC//nrdD//fucA//bacA//dmsA//aspA//metB//polA//pncB//fumA//cysN//mhpB//lsrG//cheB//argA//
NarL-Phosphorylated_pos	frdC//fadB//nrdA//mtlD//nirD//argF//argB//lpxD//cysJ//sdhD//tauD//frc//bioC//allC//aspC//
NarP-Phosphorylated_neg	cpdB//dmsC//deoD//
NarP-Phosphorylated_pos	trpE//napA//rdoA//trmD//fabZ//gcvP//psd//phnG//trpE//glpX//
NhaR-Na+_pos	paaF//purL//cyaA//gatY//
NikR-Cd2+_neg	ulaF//
NikR-Co2+_neg	fadB//
NikR-Cu2+_neg	argH//
NikR-Ni2+_neg	serC//
NikR-Zn2+_neg	torA//
NrdR-ATP_neg	serC//glpC//phnG//paaG//
NrdR-Zn2+_neg	aroH//gltB//frdB//aspA//
NrdR-dATP_neg	glcF//betA//pyrD//metA//
NsrR-2Fe_neg	lhgO//mhpD//mpl//xylB//lysA//caiC//citE//torA//speA//polA//fucU//lsrG//paaF//ilvE//pgaB//pheS//agp//lldD//rutD//ampD//fucI//serA//argG//yjeF//lysA//nrdA//xapA//purK//gutQ//paaZ//
PhoB-Phosphorylated_neg	pdeF//phnJ//bioF//aldA//lsrG//
PhoB-Phosphorylated_pos	rhaD//bioB//alaS//slt//aspC//gatD//mhpC//aceA//cyaA//waaH//cysM//aroH//polA//umpH//fadD//patZ//metK//
PhoP-Phosphorylated_neg	dmsC//rhaB//umpH//
PhoP-Phosphorylated_pos	prpB//ubiA//rhaD//entF//rnpB//katE//aroL//gltB//frdC//ada//mpl//alaS//astA//glcF//ftnA//gcvT//phnO//srlD//ubiA//phnG//argB//mhpF//rdoA//treC//aceE//sucC//sdhC//ugpQ//ansB//ackA//katE//alaS//aldA//citC//
PrpR-2-methylcitrate_neg	
PrpR-2-methylcitrate_pos	dmsB//hpt//pheT//sucD//
PurR-Guanine_neg	trpE//cheR//ilvD//rutB//mutY//rbsK//malS//uvrA//lhgO//lpxB//hycB//kbaZ//narI//nagA//murQ//pgaD//nanK//sucC//xylB//yfdE//gcvH//fucO//purF//hycG//trpB//bioB//hcp//
PurR-Hypoxanthine_neg	pncB//ansB//fucK//uxaC//rutD//pdeF//cysI//tadA//ldtB//trmD//lsrF//malY//sodB//metK//yfbR//edd//ilvM//glpX//gutQ//garR//serA//glpQ//mhpE//tyrA//fdhF//pyrC//pck//
QseB-Phosphorylated_pos	
RhaR-L-rhamnose_pos	
RhaS-L-rhamnose_pos	dgcZ//nagA//hycC//
RstA-Phosphorylated_neg	nrdB//nrdF//
RstA-Phosphorylated_pos	deoB//
SoxR-2Fe_neg	
SoxR-2Fe_pos	phnI//nanA//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	fadB//phnI//fadE//
TrpR-Tryptophan_neg	truB//malS//fucI//dnaE//entH//ilvN//gcvH//argF//deoD//
TyrR-L-tryptophan_neg	prpB//fucU//ung//tdcB//cysJ//puuB//tyrB//
TyrR-L-tryptophan_pos	tdh//aldA//uxuA//
TyrR-Phenylalanine_neg	purD//aroG//gutQ//pagP//hypF//mhpB//ynfE//
TyrR-Phenylalanine_pos	aceF//uvrA//ybjG//
TyrR-Tyrosine_neg	nanA//lysU//paaA//ynfF//dkgB//glgC//waaH//
TyrR-Tyrosine_pos	garL//srlD//puuD//
UhpA-Phosphorylated_pos	hycG//
XapR-xanthosine_pos	mutY//fucO//
XylR-Xylose_pos	polA//argC//preT//
ZntR-Cd2+_pos	fumB//
ZntR-Hg_pos	waaH//
ZntR-Zn2+_pos	aroF//
ZraR-Phosphorylated_pos	
Zur-Zn2+_neg	citC//
