# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	hyaB//cysM//
CRP-cAMP_pos	pflB//aroL//carA//paaJ//dmsC//glcB//glgP//nagA//trpB//cysN//cysN//polA//patZ//epd//cysJ//katE//atoA//garL//citE//ulaF//gcd//pta//hpt//dmsA//purM//ybjG//deoD//phnL//hcp//paaA//ubiX//pdeF//ubiX//cysK//aceA//hycB//mdh//pheS//fadE//glnA//sdhA//deoC//sodA//aceF//paaK//trmD//abgA//katG//mpl//guaB//hycF//cysC//phnG//garR//idnK//lsrG//aceB//dusB//guaA//malZ//citC//fucU//rutB//aspC//waaH//phnI//metK//eda//cysK//deoC//amn//speB//sufS//torA//tdcG//srlD//uvrA//tadA//ubiC//ampD//yjeF//ackA//pheS//paaZ//hmp//torA//upp//caiD//malQ//epd//thrS//appA//purM//slt//ilvD//tadA//moeB//torA//idnK//rhaB//cynT//allD//pflB//acs//waaH//frdD//nanE//puuC//ubiA//talA//adhE//allD//lacA//garK//psd//oxc//agp//lpxD//pnp//pdeF//galM//ulaF//rbsD//atoB//appA//aroH//atoB//araB//recF//dmsB//paaZ//alkB//astB//ynfH//acnB//citX//cysI//fucA//glcD//astB//hmp//citC//rbsK//bioB//lpxB//cysD//prpC//aceE//dadX//bglB//betA//lpxB//alaA//xylA//prpB//aroL//tnaA//yfeW//allC//napB//ldtC//cdd//yqjH//metE//tdcD//aceF//phnO//murQ//fumB//phnO//argE//idnO//napB//lsrF//bcsB//rhaB//amn//gatY//lysU//nanM//garR//hyaA//glnA//allD//paaE//cysK//lysC//glgA//xdhC//frdD//entB//purL//puuC//phnI//argD//paaJ//cysN//mdh//bcsB//ispE//slt//hemL//ispE//lsrF//fucK//sucC//glgA//lysA//lpxD//allE//nagA//bioF//ada//tdcG//aceA//cynS//glgB//speC//pflB//speC//bcsB//napA//trmD//purL//pncB//caiC//pgaB//sdhA//mhpD//paaZ//gltB//betB//mhpA//cadA//cysH//ssuE//codA//alaA//fadD//gltD//cysG//deoC//paaB//
ChbR-Monoacetylchitobiose-6P_neg	ilvD//prpD//cheR//
ChbR-Monoacetylchitobiose-6P_pos	tyrA//sufS//waaH//
CpxR-Phosphorylated_neg	ilvA//purL//chbG//
CpxR-Phosphorylated_pos	paaA//bglB//ynfF//abgB//xdhB//lsrG//purL//galK//galT//yeaE//glpC//tdcD//lsrG//pgaB//glgC//phnH//paaK//entA//cysJ//
CreB-Phosphorylated_neg	folA//
CreB-Phosphorylated_pos	alkA//uidA//
CueR-Ag_neg	garK//ybjG//
CueR-Ag_pos	ilvC//mhpD//
CueR-Cu+_neg	ispE//rhaD//
CueR-Cu+_pos	ftnA//speA//
CuerR-Au_neg	galT//torC//
CuerR-Au_pos	tadA//hycB//
CusR-Pasp_pos	deoD//fumB//slt//
CynR-Cyanate_neg	
CynR-Cyanate_pos	xylB//uxaA//ilvH//
CysB-N-acetyl-L-serine_neg	fucO//narH//gadB//
CysB-N-acetyl-L-serine_pos	fucU//lsrG//atoB//pflB//hyaB//glgP//citE//rutE//cadA//hflX//fadA//entE//paaB//
CysB-O-acetyl-L-serine_neg	hycE//aceA//prpE//
CysB-O-acetyl-L-serine_pos	napG//rhaD//patZ//nanK//glpK//ldtC//abgB//puuA//prmC//metH//metE//gntK//lysC//atoB//
DcuR-Phosphorylated_pos	cysK//slt//ubiC//nrdA//
DnaA-ATP_neg	acnB//cheB//fucO//aroG//astC//
DnaA-ATP_pos	ulaE//bglB//murQ//
DpiA-Pasp_neg	
DpiA-Pasp_pos	kbl//dadX//ilvG_2//bglB//ogt//
DsdC-D-serine_neg	
DsdC-D-serine_pos	nanM//pgaD//
EvgA-Phosphorylated_pos	phnP//nrdF//metK//alaS//narH//
FNR-Fe_neg	trpB//frc//lpxB//purL//dadA//ssuD//dnaE//argB//sodA//purH//narH//sufS//nrdE//puuA//aroF//nrdF//purF//phnH//pyrC//pyrD//tdcB//rnpB//nagB//hemA//xdhA//gdhA//gcvH//aspC//patZ//fadH//mpl//polA//pncB//abgB//paaH//fucI//phoA//argG//trpC//entA//betA//trpA//purM//hyaB//purN//lysU//bcsZ//
FNR-Fe_pos	prpE//citC//ulaD//ung//phnP//metF//appA//sucB//gcvP//purL//rhaA//paaG//hyaB//frdB//prpE//phoA//uxaB//trpD//yfbR//fumC//oxc//nrfD//citX//hycF//speA//tehB//trpA//purL//puuC//ubiA//cheB//entE//sucB//appA//cysC//entA//mhpB//ilvG_1//moaA//phnP//mutL//prpC//fes//sucA//phnL//gcvT//aspA//ilvN//nrdF//hypF//cadA//entE//ppiA//ybjG//lldD//moaD//appA//trpC//ilvA//aceA//aceA//bioD//prpB//uxuB//nanE//waaH//rnpB//dmsB//glcB//nanA//fumA//mutY//dusB//entH//lsrK//pgaB//ldtB//paaE//hpt//ubiC//ulaF//amn//cyoE//betA//pgaB//gabD//rhaA//nrdB//appA//bcsZ//glpD//gadB//
FhlA-Formate_pos	katG//uxaC//truB//cynT//aldA//folA//xylA//
FucR-L-fuculose-1-phosphate_pos	entB//hemA//bcsZ//lpd//gnd//lhgO//
Fur-Fe2+_neg	fadI//phnL//gcvP//eda//rhaD//ldtC//fbaA//aroA//ynfG//phnL//frdD//ilvI//fucU//caiB//yfeW//dmsC//glcE//pheT//sdhB//mtlD//patZ//astC//lpd//bcsB//pyrD//acs//idnK//hyaB//ansB//argI//mhpA//dmsC//astC//ahpC//sdhD//rutD//argA//rdoA//cpdB//kbl//metL//mhpC//narH//nanM//deoD//fucK//allC//trpE//glpB//xdhB//galE//napA//entB//dnaE//hycG//gatD//lpxB//aroH//aspA//
Fur-Fe2+_pos	nagA//slt//slt//rutC//ssuE//yjeF//uxuB//metH//xylA//betB//ulaE//cysJ//paaK//citG//fumB//allE//cysI//hycB//trpC//amn//
Fur-Mn2+_neg	pncB//xylA//sdhB//ilvC//mhpC//trmD//manA//waaH//gcd//pgaD//zwf//pflB//ftnA//speB//argF//phnO//nanK//fucO//ada//aroL//moeA//katG//ubiC//fumC//hycC//tdcD//ugpQ//citG//tyrA//sodB//betA//serC//hpt//ftnA//betA//moaE//gnd//lsrG//hypB//deoA//gatY//galT//trmD//ynfG//glcF//abgB//nrfA//glgP//uvrA//hycF//glpB//nrfC//ilvD//hpt//xylA//puuB//cynS//purC//puuE//
Fur-Mn2+_pos	malQ//paaK//uidA//sdhD//paaF//prpE//aceA//glcD//hycB//ubiG//phnH//napA//fumC//puuB//cyoE//torC//preT//uxuA//deoB//patZ//
GlcC-Acetate_neg	
GlcC-Acetate_pos	purE//deoA//cysH//
GlcC-Glycolate_neg	
GlcC-Glycolate_pos	frdC//prpB//citD//
GlrR-Pasp56_pos	
IclR-pyruvate_neg	purD//nrdE//gabT//
IdnR-5-ketogluconate_neg	ilvN//fabZ//
IdnR-5-ketogluconate_pos	bioC//pyrC//moaA//fucK//
IdnR-Idonate_neg	mhpD//purD//
IdnR-Idonate_pos	patZ//frdA//recF//ppiA//
IlvY-2-acetolactate_neg	
IlvY-2-acetolactate_pos	dmsC//
IlvY-Alfa-acetohydroxybutirate_neg	
IlvY-Alfa-acetohydroxybutirate_pos	fbaA//
IscR-2Fe_neg	nrdE//tdh//rnpB//pgaD//dmsB//
IscR-2Fe_pos	alaS//glcB//
LldR-L-lactate_neg	citX//atoA//
LldR-L-lactate_pos	ubiX//mhpA//
Lrp-Leucine_neg	preT//ilvE//entA//glgX//preA//alaS//waaH//yfbR//rutE//mhpC//rhaD//aroL//paaG//tdcB//astC//pyrC//paaI//tnaA//ampD//prmC//ynfG//puuA//dmsB//puuE//
Lrp-Leucine_pos	torC//betA//gcvT//mhpD//edd//nirB//argC//mtlD//hycC//slt//glyA//paaF//dapD//puuB//kbl//rhaD//icd//entE//
LsrR_neg	pheT//lpxA//tadA//caiD//argG//
MalT-ADP-Maltotriose_pos	glgC//astB//eda//tsaE//metC//oxc//
MalT-Maltotriose-ATP_pos	hyaA//hyaB//moeB//umpH//allC//dmsB//
MelR-Melibiose_neg	trpA//pgaB//
MelR-Melibiose_pos	phnP//narH//
MetJ-S-adenosylmethionine_neg	lysU//chbG//citD//appA//cysI//dadX//napC//cadA//ogt//metA//
MetR-L-homocysteine_neg	uidA//
MetR-L-homocysteine_pos	rdoA//dadX//atoB//rhaB//
MhpR-3-DHPP_pos	sucD//idnO//ahpC//bioF//metF//speB//
MhpR-3HPP_pos	xylB//allC//cynT//udp//amn//gatY//
MntR-Cd2+_neg	glnA//
MntR-Cd2+_pos	gapA//
ModE-MoO42-_neg	rutA//rbsD//cysH//cyaA//ugpQ//tdcB//mhpE//allC//
ModE-MoO42-_pos	ubiG//gcvT//ilvA//hycC//aceA//metL//
NarL-Phosphorylated_neg	katE//hyaB//paaA//citE//aspC//astE//xdhC//rnpB//alkB//cysJ//gnd//ftnA//fumC//hpt//acnA//napC//fbaA//dadA//gltA//hmp//umpH//sucD//deoC//fadD//
NarL-Phosphorylated_pos	prpB//edd//hycG//sucA//gcvP//dadX//phoA//glnA//agp//ilvN//garK//ilvC//hyaC//acnA//nanE//
NarP-Phosphorylated_neg	tadA//ulaE//acnA//
NarP-Phosphorylated_pos	napH//caiD//astD//pheT//nanK//iscS//xapA//mpl//glnA//araA//
NhaR-Na+_pos	speA//xylB//fadD//ilvD//
NikR-Cd2+_neg	pdeF//
NikR-Co2+_neg	lpxA//
NikR-Cu2+_neg	fabZ//
NikR-Ni2+_neg	folE//
NikR-Zn2+_neg	cysN//
NrdR-ATP_neg	galE//guaB//puuD//serC//
NrdR-Zn2+_neg	xdhB//miaA//udp//puuE//
NrdR-dATP_neg	sucC//yqjH//trpD//cheB//
NsrR-2Fe_neg	moaE//phnI//cyaA//napH//pyrC//cynT//bcsZ//fadI//napA//codA//astD//chbG//napB//moeA//hyaC//hycG//paaI//bioC//aspA//lacA//pgk//malQ//purE//ackA//tsaE//nagA//agp//lacA//napH//galK//
PhoB-Phosphorylated_neg	pagP//tsaE//edd//ilvA//rutD//
PhoB-Phosphorylated_pos	torA//tnaA//trmD//mutL//dgcZ//cheR//patZ//fau//pgk//bacA//frdB//gltD//sucC//caiB//lhgO//treC//ilvI//
PhoP-Phosphorylated_neg	nrdA//gatY//astC//
PhoP-Phosphorylated_pos	glpC//glgA//sdhC//phnL//lysA//cyaA//ilvH//nrdE//glpA//purC//rbsD//nrdB//ubiC//uxuB//pgaD//glgB//prmC//fadD//upp//pheT//prs//pheS//zwf//umpH//bioF//tdcG//fadD//deoD//rutD//rutB//paaA//nrfB//bcsB//purD//
PrpR-2-methylcitrate_neg	
PrpR-2-methylcitrate_pos	fadJ//fadH//araD//hycE//
PurR-Guanine_neg	hcp//pgaB//hycD//garL//gatZ//fadJ//entH//recF//edd//codA//pnp//hmp//argG//glpK//gutQ//araB//mhpD//ulaF//srlD//fadA//ilvI//atoD//moaA//nirD//bacA//alaS//aroG//
PurR-Hypoxanthine_neg	mhpF//fes//galK//yeaE//mhpE//ilvG_2//rhaD//napH//rhaB//glpK//nanM//sucB//ubiA//rbsK//xdhB//sdaA//cysI//rhaB//dgcZ//dkgB//malZ//fucI//glpA//astB//aroG//purM//slt//
QseB-Phosphorylated_pos	
RhaR-L-rhamnose_pos	
RhaS-L-rhamnose_pos	cheR//sdaA//phnJ//
RstA-Phosphorylated_neg	trpB//ulaE//
RstA-Phosphorylated_pos	dnaE//
SoxR-2Fe_neg	
SoxR-2Fe_pos	agp//zwf//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	ftnA//sucB//purA//
TrpR-Tryptophan_neg	manA//frdC//patZ//aceE//rhaD//tdcG//glnA//cysG//ilvB//
TyrR-L-tryptophan_neg	malP//cyoE//entE//upp//lpd//idnD//phnM//
TyrR-L-tryptophan_pos	gltA//argC//phnI//
TyrR-Phenylalanine_neg	aroH//bioF//purD//umpH//tehB//uidA//fadA//
TyrR-Phenylalanine_pos	feaB//ubiC//alkB//
TyrR-Tyrosine_neg	fumA//oxc//uxaA//astC//fadA//ynfG//rbsD//
TyrR-Tyrosine_pos	atoA//hyaC//purA//
UhpA-Phosphorylated_pos	trpC//
XapR-xanthosine_pos	rnpB//aspC//
XylR-Xylose_pos	fbaA//thrS//frdC//
ZntR-Cd2+_pos	phnJ//
ZntR-Hg_pos	purK//
ZntR-Zn2+_pos	trmD//
ZraR-Phosphorylated_pos	
Zur-Zn2+_neg	chbF//
