# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	glgP//nrdB//
CRP-cAMP_neg	sdhB//dusB//alkB//prs//torC//yjeF//adhE//caiB//dmsA//rutB//moeB//citD//mltC//metL//iscS//napC//ubiC//ilvB//dkgB//paaB//gpsA//allE//alkB//gpmA//entB//idnD//allD//fau//mhpE//uxuB//malY//mltC//argG//tdcG//ppiA//napA//rhaD//gadB//mltC//xdhA//malP//ulaD//cueO//prs//thrS//nrfC//mhpB//hyaC//fadI//puuE//yeaE//phnM//fadE//nanM//araA//glgA//fadJ//cysD//rbsK//betB//phnO//thrS//deoA//upp//polA//dkgB//waaH//gatY//mhpF//torC//oxc//oxc//frc//metE//citD//aceE//talA//phnJ//
CRP-cAMP_pos	glgX//ynfE//nanK//gcd//fucO//napA//allC//ascB//cdd//rutA//dsdA//caiB//glgB//tadA//citX//ogt//cheB//xdhC//purK//yeaE//malP//napG//tdcG//cysG//mhpA//argI//fadE//ilvG_1//acnA//uxaA//yjeF//fadE//glgC//sdhD//galK//pck//patZ//nanM//caiC//araD//pdeF//tdcE//dgcZ//caiC//yeaE//avtA//rbsD//argD//moeB//sdhC//gatY//metH//sdhA//fes//pheT//nirD//gatZ//pgk//fadJ//cysC//garK//nrdE//aroH//mtlD//uxaB//nrfB//purK//malQ//napC//garR//melA//prpD//ackA//gnd//mtlD//rutC//astB//aroH//carA//ilvM//metK//xylA//purH//dnaE//katE//bioB//ldtB//aroH//ansB//cysN//purC//ilvM//upp//aldB//purH//nrdF//rbsD//metF//gntK//cysI//aroF//lpxA//entE//purD//prs//bcsB//glgC//phnO//gltA//glgX//gatD//metC//narH//nanM//fau//adhE//treC//alaS//dsdA//fadA//frdD//mdh//cysD//upp//sdaA//ascB//malY//dmsC//metC//purN//aroF//frdA//hycE//cysM//ynfG//lpxB//rutD//entD//glgB//uxuB//mhpC//purB//alkB//malP//nrdF//lysC//sucA//manA//moeA//nagA//upp//ilvI//ansB//pyrC//pyrD//lsrG//sdhB//deoC//mutL//rhaB//fadI//pheT//patZ//cpdB//frdD//phnO//sucD//nanM//phnP//glnA//betA//idnK//nrdF//prs//rutC//purN//betA//ilvG_1//paaA//pheS//tehB//atoD//argB//trpE//uxuB//sdaA//moaA//ynfH//bacA//cadA//pyrD//glpX//rdoA//ilvG_2//feaB//purA//araD//ilvA//cyoE//cyaA//caiB//astD//yfeW//pdeF//truB//glgC//garL//nanE//trpD//fadI//uidA//fucO//pncB//phnG//glnA//metA//cadA//paaF//carA//hycD//phnI//ackA//mhpB//frdB//ldtC//mhpA//argH//glcD//citE//phnJ//mpl//pta//ppiA//aceF//purF//nanK//torA//napG//cynS//argA//phnM//pgaB//tdcE//
ChbR-Monoacetylchitobiose-6P_neg	fbaA//ilvD//ubiC//
ChbR-Monoacetylchitobiose-6P_pos	gapA//ilvB//recF//
CpxR-Phosphorylated_neg	ampD//paaK//bioC//
CpxR-Phosphorylated_pos	sdaA//guaB//rutA//nrfB//nagB//epd//purH//frdC//sucD//bcsB//bcsZ//xapA//garL//pgpC//fucK//nrdA//acnB//hycE//caiB//
CreB-Phosphorylated_neg	araA//
CreB-Phosphorylated_pos	glpC//malP//
CueR-Ag_neg	frdA//nagA//
CueR-Ag_pos	mhpD//folA//
CueR-Cu+_neg	lsrK//hyaC//
CueR-Cu+_pos	frdB//lpxA//
CuerR-Au_neg	nrdD//aldB//
CuerR-Au_pos	cpdB//citG//
CusR-Pasp_pos	paaF//aspC//rhaA//
CynR-Cyanate_neg	
CynR-Cyanate_pos	rnpB//citG//dsdA//
CysB-N-acetyl-L-serine_neg	pyrC//hcp//paaF//
CysB-N-acetyl-L-serine_pos	lacZ//entC//yjeF//psd//atoD//fadD//argD//yfbR//carA//amn//phnP//manA//gutQ//
CysB-O-acetyl-L-serine_neg	lpxD//rutA//ynfG//
CysB-O-acetyl-L-serine_pos	ahpF//fadD//glpE//srlD//trpA//murQ//nrdD//glcD//lacZ//nrdD//galT//nrfA//folE//nrdE//
DcuR-Phosphorylated_pos	astA//ansB//paaZ//uidA//
DnaA-ATP_neg	ssuE//bioC//sdhA//malQ//phnI//
DnaA-ATP_pos	araB//argG//hycF//
DpiA-Pasp_neg	
DpiA-Pasp_pos	bcsA//bioB//metF//phnO//paaB//
DsdC-D-serine_neg	
DsdC-D-serine_pos	tdh//frdB//
EvgA-Phosphorylated_pos	ftnA//fbaA//phnJ//yjeF//nadC//
FNR-Fe_neg	appA//gcd//ssuE//purN//torC//nanA//ssuE//sdhC//ilvM//polA//bacA//tehB//sucC//alaA//citX//recF//aroL//appA//prpB//bcsZ//srlD//lysC//lysC//murQ//napC//pgaD//treC//gcvP//hcp//pflB//gcvH//acnB//fabZ//ackA//glpK//xapA//nagA//gcvT//gltB//prs//rhaA//aceB//puuA//nrfC//mutY//sufS//dadX//
FNR-Fe_pos	bioF//fucI//truB//trpE//uvrA//deoA//prmC//rbsK//purL//mdh//bioC//mhpB//paaC//zwf//acs//fucA//ilvA//napG//cyoE//cysD//slt//paaE//yfbR//frdA//argE//xdhC//purH//acs//mdh//glpA//ackA//aroF//pgaD//argD//speC//mutY//tauD//amn//purL//glgP//bcsZ//alaS//cynT//hpt//sdhA//glgP//dnaE//ulaD//rutD//idnD//fadD//yqjH//alkA//argE//sodB//deoD//napG//argE//metL//puuD//nrdA//tktB//murQ//ascB//sdhA//moaD//ahpF//pflB//cpdB//entF//hemA//ldtC//mdh//gcvP//dsdA//glpD//ilvN//argF//xylA//ogt//dmsA//uidA//mltC//sucD//purM//metF//paaG//purH//hyaC//aceA//lysU//dapB//
FhlA-Formate_pos	nanM//puuA//prpB//cheR//lacA//entA//nirD//
FucR-L-fuculose-1-phosphate_pos	uvrA//serA//xapA//lacZ//purN//lsrK//
Fur-Fe2+_neg	nanE//tauD//ackA//glgA//alkA//ssuE//puuE//cysM//hycB//citE//paaZ//recF//paaB//yfeW//yfbR//pgk//ilvI//codA//entA//nrfB//citE//citE//purF//fadE//dsdA//nanA//araB//dapB//ulaD//rnpB//ilvC//araB//phnM//fucA//deoA//dnaE//prs//cysK//argA//gltB//malZ//purA//sodB//glgP//purF//ldtB//fadH//paaA//dapD//nrdF//argB//upp//pgaB//acs//tehB//ssuE//ubiC//tyrA//purK//
Fur-Fe2+_pos	katG//paaK//astB//ahpC//paaG//purA//phnO//phnP//araB//fadE//aroG//amn//fumB//puuA//bglB//citX//cynT//ogt//manA//argC//
Fur-Mn2+_neg	gabT//xylB//citD//patZ//nirB//mtlD//fadE//psd//napH//glpK//uxaC//lsrG//entC//cdd//rbsD//ynfH//atoB//fadJ//glcB//gatD//fadJ//nanA//pnp//glpA//lsrG//prmC//aceB//cadA//rbsK//sucC//gcvP//astB//lsrF//dadX//ubiG//betB//tsaE//phnO//gcvT//torA//paaJ//preT//xylB//xylA//truB//feaB//bglB//bacA//speB//chbG//hycC//fucO//glcB//gcvP//frdA//treC//rutD//atoD//recF//
Fur-Mn2+_pos	tdcE//pdeF//mutY//pgaD//paaB//argF//hypB//purA//katE//tam//fes//ilvB//fadD//ispE//gutQ//phnO//mtlD//fadA//puuC//lacZ//
GlcC-Acetate_neg	
GlcC-Acetate_pos	paaB//ynfH//edd//
GlcC-Glycolate_neg	
GlcC-Glycolate_pos	xylB//entA//metH//
GlrR-Pasp56_pos	
IclR-pyruvate_neg	phoA//ilvN//lysC//
IdnR-5-ketogluconate_neg	rutA//phnN//
IdnR-5-ketogluconate_pos	hcp//alaA//folA//mtlD//
IdnR-Idonate_neg	uxuA//cysD//
IdnR-Idonate_pos	fadE//trpC//fucU//nrfA//
IlvY-2-acetolactate_neg	
IlvY-2-acetolactate_pos	gnd//
IlvY-Alfa-acetohydroxybutirate_neg	
IlvY-Alfa-acetohydroxybutirate_pos	astC//
IscR-2Fe_neg	dadA//garK//glpX//speB//prpE//
IscR-2Fe_pos	ubiC//lysC//
LldR-L-lactate_neg	katE//betA//
LldR-L-lactate_pos	alkB//uidA//
Lrp-Leucine_neg	xdhA//lpxD//uxuB//sdhB//phnN//hycB//paaG//fadJ//aroH//kbaZ//glgA//udp//glgC//citC//hcp//speB//metH//tam//sdhA//ascB//cheR//uxuB//cueO//rutC//
Lrp-Leucine_pos	deoD//tauD//sodB//trpD//abgB//upp//malP//cyoE//sucA//argF//xdhB//ilvI//glgX//gnd//hemA//psd//lsrF//paaG//
LsrR_neg	ssuE//rnpB//nrdE//narI//argE//
MalT-ADP-Maltotriose_pos	adhE//fucK//uxaB//gapA//gltA//gltB//
MalT-Maltotriose-ATP_pos	gltB//tsaE//fucU//gcvH//prpC//acnA//
MelR-Melibiose_neg	malS//citF//
MelR-Melibiose_pos	prmC//atoA//
MetJ-S-adenosylmethionine_neg	bioD//puuD//tehB//speA//glyA//pncB//pheS//ilvG_2//ackA//trpE//
MetR-L-homocysteine_neg	araB//
MetR-L-homocysteine_pos	entC//glcF//glpX//astA//
MhpR-3-DHPP_pos	bioC//narH//gnd//dkgB//mhpC//ilvE//
MhpR-3HPP_pos	ahpC//ubiG//ppiA//chbF//lacA//ynfF//
MntR-Cd2+_neg	ndh//
MntR-Cd2+_pos	nrfC//
ModE-MoO42-_neg	metA//sdhB//deoC//ampD//galK//acnA//fadH//psd//
ModE-MoO42-_pos	xdhC//pgaB//nanK//fadJ//deoC//tktB//
NarL-Phosphorylated_neg	astA//fumA//araB//rdoA//sdhB//thrS//kbaZ//hflX//xylB//entC//argF//bioC//fucU//phnL//purL//hycC//napH//fau//cynS//alkA//idnD//treC//nrdB//frdD//
NarL-Phosphorylated_pos	ahpF//glpX//frdA//metF//aroH//ackA//ynfH//katE//ssuD//puuC//tadA//glpX//fadI//phnG//lacZ//
NarP-Phosphorylated_neg	tauD//preT//mutL//
NarP-Phosphorylated_pos	purN//ftnA//nadC//cdd//metA//glpD//nirB//dadA//ftnA//fadE//
NhaR-Na+_pos	gltD//ilvG_1//torA//mtlD//
NikR-Cd2+_neg	fumB//
NikR-Co2+_neg	lacA//
NikR-Cu2+_neg	trpC//
NikR-Ni2+_neg	dmsA//
NikR-Zn2+_neg	pheT//
NrdR-ATP_neg	paaC//hmp//lldD//cdd//
NrdR-Zn2+_neg	glgB//ldtC//patZ//uxuA//
NrdR-dATP_neg	rbsK//argG//rutD//pgk//
NsrR-2Fe_neg	moaA//prpC//glyA//cueO//upp//gpsA//frdD//gadB//nadC//dsdA//cpdB//narG//abgA//miaA//rhaA//entD//uxaC//cueO//miaA//deoD//ispE//patZ//gutQ//paaK//ackA//sucC//argF//malP//prs//argC//
PhoB-Phosphorylated_neg	slt//astB//ampD//ilvG_1//treC//
PhoB-Phosphorylated_pos	nagA//dusB//miaA//deoC//mhpF//folA//citG//xapA//xylB//aroA//cysM//cysI//glcF//argH//paaC//fadE//hemA//
PhoP-Phosphorylated_neg	murQ//nrdF//kbl//
PhoP-Phosphorylated_pos	aldA//astE//trpE//sucA//ulaD//fabZ//dadA//glpE//glgB//rbsD//moeB//ilvC//hycC//yfbR//glpE//polA//ubiC//uxaC//aceB//pgpC//paaB//zwf//glcB//pyrD//purF//fau//yfeW//moeA//nrdE//preA//caiC//cheB//tyrB//hcp//
PrpR-2-methylcitrate_neg	
PrpR-2-methylcitrate_pos	xylB//fadB//sucC//tnaA//
PurR-Guanine_neg	tdh//fbaA//fumA//icd//fbaA//umpH//malP//araD//garL//paaC//polA//argF//ulaF//folE//phnP//mhpC//paaF//argA//rutE//paaF//galT//ndh//phoA//aceB//paaJ//paaZ//xylA//
PurR-Hypoxanthine_neg	iscS//sucB//deoC//trpE//nirD//napG//phnN//aroH//rhaB//pta//purK//rhaB//ispE//purK//oxc//metF//hcp//fadI//glpD//dadA//hycG//glnA//hcp//adhE//rbsK//alaS//edd//
QseB-Phosphorylated_pos	
RhaR-L-rhamnose_pos	
RhaS-L-rhamnose_pos	pta//icd//dmsC//
RstA-Phosphorylated_neg	ada//fadB//
RstA-Phosphorylated_pos	phnO//
SoxR-2Fe_neg	
SoxR-2Fe_pos	puuC//caiC//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	pta//carB//eda//
TrpR-Tryptophan_neg	hycG//moeB//tadA//icd//torC//sodB//gabT//mhpA//nirD//
TyrR-L-tryptophan_neg	nrdB//bacA//kbaZ//carB//sodA//napC//ssuD//
TyrR-L-tryptophan_pos	nagB//gpmA//pgaC//
TyrR-Phenylalanine_neg	argD//fadI//lysC//chbF//mpl//tam//paaA//
TyrR-Phenylalanine_pos	folE//pagP//gatD//
TyrR-Tyrosine_neg	glpX//hyaC//atoA//fadD//gapA//prpB//citG//
TyrR-Tyrosine_pos	glpQ//fadB//cysJ//
UhpA-Phosphorylated_pos	bacA//
XapR-xanthosine_pos	puuA//araD//
XylR-Xylose_pos	bioC//lpxB//edd//
ZntR-Cd2+_pos	glyA//
ZntR-Hg_pos	mltC//
ZntR-Zn2+_pos	nanE//
ZraR-Phosphorylated_pos	
Zur-Zn2+_neg	uxuA//
