# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	metC//bioD//
CRP-cAMP_neg	lacA//atoA//cynS//prpD//purH//ldtC//uxuA//pgaB//preA//guaB//epd//fadI//fadI//hemA//phoA//atoB//cyoE//melA//tnaA//phnP//murQ//idnO//citD//fadH//glgP//glpB//torA//argF//cysC//pnp//purE//lsrG//pyrC//dmsC//cysC//ynfH//pgaC//ubiC//aceB//tdcE//lpxA//sucC//entB//uxaB//glgX//argD//lpd//moeB//lldD//citF//trpC//hycG//tdh//phnN//sdaA//argE//rdoA//thrS//uxaC//dgcZ//fdhF//fdhF//preA//gntK//mutY//cysH//thrS//paaF//nirD//speB//prpB//rhaD//cysI//caiD//cysJ//idnD//glpA//rhaA//
CRP-cAMP_pos	hycD//pheS//hflX//galT//ulaE//ung//phnO//nrfB//glpB//pck//garK//hycG//purN//fadA//mtlD//sufS//purH//truB//lysU//puuA//frdD//fadA//fau//dapB//speB//entC//aceF//cdd//ackA//malZ//fumA//ugpQ//betB//ilvA//adhE//puuD//tdcG//yfdE//glgC//ilvB//frdB//oxc//rutB//allE//nrfA//ackA//napG//nadC//kbl//aceF//dapD//cyaA//betA//entE//dmsB//talA//purB//paaZ//mutL//fadI//tadA//codA//ppiA//aldB//gdhA//tehB//trmD//ackA//glcF//dkgB//tehB//alaA//aroH//cysK//yeaE//cheB//mhpD//aldA//tnaA//allE//ubiX//glcB//ahpF//phnO//polA//mhpB//citX//serC//gntK//iscS//dnaE//fadH//lhgO//uxaC//trpE//astC//yqjH//purF//fadJ//lldD//abgB//glpX//tyrB//cysH//metF//speB//metL//glcE//cysI//oxc//deoC//purK//atoA//allC//fadB//glpE//mhpB//nrdA//hycB//glpC//melA//gcvH//aceF//mhpC//mhpD//hycB//cysG//paaI//rutA//lsrG//araD//rhaD//speB//tktB//fadB//treC//trpA//astD//rhaD//ogt//gatZ//ybjG//yjeF//glyA//eda//miaA//dkgB//glgP//betB//garL//ilvA//rbsK//rutB//purA//glcE//pdeF//nanA//glgX//pgaD//argB//allC//metF//trpD//nrdB//manA//metL//ilvM//thrS//speB//argG//hycE//ampD//betA//hycB//alkA//hycG//hmp//ugpQ//glcE//ilvC//lacA//pgaC//ilvM//lysA//preT//nrfC//uxaA//purE//rbsK//sodA//trpB//thrS//sucD//fadB//moaE//prpC//glpC//ilvB//caiA//carB//purK//phnL//gcvT//ldtC//entA//ynfG//cheB//ldtC//paaG//trpE//pgaD//fadH//deoD//pgpC//pgk//guaB//garR//glnA//cynT//yfdE//ada//puuD//mhpC//nrdE//metC//lpxA//rutD//dusB//hyaA//tnaA//cysD//fucU//tam//garL//entB//araB//nrfD//gabT//mtlD//uidA//deoC//ilvG_2//alkA//
ChbR-Monoacetylchitobiose-6P_neg	cysD//puuD//nanE//
ChbR-Monoacetylchitobiose-6P_pos	rutA//fes//astD//
CpxR-Phosphorylated_neg	phnL//napH//codA//
CpxR-Phosphorylated_pos	mpl//xylA//purB//fadJ//hycG//mhpC//dsdA//ynfF//ulaD//speB//trpB//bioB//pyrD//abgB//mtlD//patZ//lpd//fadA//ubiC//
CreB-Phosphorylated_neg	frdB//
CreB-Phosphorylated_pos	glpE//lysA//
CueR-Ag_neg	napG//lsrK//
CueR-Ag_pos	rbsD//malZ//
CueR-Cu+_neg	nrfA//dmsA//
CueR-Cu+_pos	folA//metC//
CuerR-Au_neg	iscS//araB//
CuerR-Au_pos	ndh//citD//
CusR-Pasp_pos	lysC//abgB//aceF//
CynR-Cyanate_neg	
CynR-Cyanate_pos	nrdF//metB//abgA//
CysB-N-acetyl-L-serine_neg	cysC//gabD//ubiX//
CysB-N-acetyl-L-serine_pos	xylA//cueO//deoA//ubiA//idnD//phnG//murQ//paaI//cysG//preT//metB//metF//pagP//
CysB-O-acetyl-L-serine_neg	mdh//nanA//epd//
CysB-O-acetyl-L-serine_pos	ada//nrfB//moaA//argI//pagP//aspA//ogt//torA//guaB//hycF//gatZ//mpl//prpC//iscS//
DcuR-Phosphorylated_pos	fucO//dmsB//sucA//lpxB//
DnaA-ATP_neg	galE//moaD//paaE//prpC//cadA//
DnaA-ATP_pos	cysM//atoA//aldA//
DpiA-Pasp_neg	
DpiA-Pasp_pos	ubiX//prpE//aceE//fadH//dusB//
DsdC-D-serine_neg	
DsdC-D-serine_pos	carA//fucU//
EvgA-Phosphorylated_pos	nrdA//metC//cysN//hpt//metA//
FNR-Fe_neg	hycD//puuB//appA//purH//cynS//metC//aroA//idnO//mutY//aldA//citE//moaE//metH//atoD//epd//trpE//lhgO//argE//ubiC//pyrD//nrdE//udp//atoB//paaG//slt//katE//dadA//phnL//oxc//rutA//paaE//metA//phnL//feaB//galT//trpA//fabZ//citC//atoD//pgaC//ispE//sdhC//phnI//ahpC//polA//ubiX//xdhA//
FNR-Fe_pos	araA//aldA//metE//rutD//fucI//codA//sucD//adhE//allC//metL//uxuA//bioF//nrdF//argD//nrdE//argD//tyrB//ugpQ//gltA//araA//entA//atoB//patZ//paaK//aspA//lysA//alaA//fadD//tdcB//dadX//ilvG_2//acs//nirD//astB//betA//fucI//gnd//ilvM//mhpE//lysU//ampD//paaE//metF//gadB//narG//bglB//pdeF//polA//ftnA//hycC//nrdF//gatZ//glgA//rbsK//metK//bcsZ//ndh//kbl//araA//manA//uxaC//entH//gdhA//garR//yfdE//bioC//lhgO//ilvI//paaH//sucC//talA//malP//malQ//hyaA//argH//metH//ilvC//entC//ybjG//yjeF//puuA//fucA//ilvG_2//hycG//araA//aceB//nrfA//hycG//aroH//uxaB//ynfG//talA//
FhlA-Formate_pos	argB//fabZ//yeaE//lhgO//paaZ//glpD//ssuD//
FucR-L-fuculose-1-phosphate_pos	fabZ//ubiA//mhpF//purM//deoA//mhpD//
Fur-Fe2+_neg	mdh//mltC//rutD//prpD//patZ//garR//cheB//lysU//metH//uxuA//lsrF//paaZ//lsrK//katG//nrdE//phnN//tauD//pagP//xdhA//purB//phnJ//galM//epd//recF//ugpQ//ynfH//talA//betA//idnK//hpt//purF//citG//pyrD//ogt//murQ//trpC//gutQ//lpxA//bcsZ//purE//betA//caiB//glgX//lpd//tdh//aceE//idnK//cheR//epd//uxuB//rnpB//mhpE//caiA//speA//paaE//nrdB//paaJ//ubiC//polA//
Fur-Fe2+_pos	nanA//mhpF//glpQ//paaK//waaH//cynS//rhaD//phnI//ilvE//dnaE//fau//rbsK//amn//mdh//prpC//aspA//ahpC//rbsD//preT//zwf//
Fur-Mn2+_neg	abgA//katE//trpA//udp//rutE//dadA//xdhC//araB//pck//purD//nrfB//pheT//ilvN//fumA//deoC//pgaC//bioA//tdcE//ynfE//rutC//lacA//nanM//fadD//gdhA//paaF//tadA//guaA//hflX//serA//prs//dgcZ//purM//bglB//torC//dgcZ//mhpB//entD//paaG//lacZ//preT//pck//gatZ//pflB//trpA//glpD//entE//dkgB//idnD//moeB//speA//fadI//sdhC//speC//gcvT//puuD//purF//moaE//nanK//yeaE//
Fur-Mn2+_pos	psd//citC//puuB//glgA//glgP//galT//trpE//speA//paaC//melA//kbaZ//bcsB//ilvG_1//ybjG//gpsA//moaE//rhaB//nrfC//idnK//moeA//
GlcC-Acetate_neg	
GlcC-Acetate_pos	puuE//chbG//mhpB//
GlcC-Glycolate_neg	
GlcC-Glycolate_pos	nrfD//phnP//metF//
GlrR-Pasp56_pos	
IclR-pyruvate_neg	ilvG_1//adhE//sufS//
IdnR-5-ketogluconate_neg	tktB//rdoA//
IdnR-5-ketogluconate_pos	phoA//paaA//trpE//ppiA//
IdnR-Idonate_neg	mutY//betB//
IdnR-Idonate_pos	fadH//puuE//puuD//sufS//
IlvY-2-acetolactate_neg	
IlvY-2-acetolactate_pos	uxuB//
IlvY-Alfa-acetohydroxybutirate_neg	
IlvY-Alfa-acetohydroxybutirate_pos	galT//
IscR-2Fe_neg	napG//bacA//deoA//rnpB//paaC//
IscR-2Fe_pos	pheS//fadB//
LldR-L-lactate_neg	frc//gatY//
LldR-L-lactate_pos	acnB//caiB//
Lrp-Leucine_neg	galK//nanA//astE//tdcD//ldtC//metB//cysC//glpK//fumA//cheR//xapA//nrdE//epd//cdd//serA//nanK//phoA//paaC//prpB//serC//pyrC//uxuA//hycG//gabT//
Lrp-Leucine_pos	moaD//paaH//lpxB//aceA//glpC//zwf//upp//abgB//ynfE//fau//rnpB//bioC//gadB//lpxB//carA//tam//carA//kbl//
LsrR_neg	udp//prpE//fucO//uxaC//hypF//
MalT-ADP-Maltotriose_pos	narH//glpQ//pncB//xdhA//ilvH//gadB//
MalT-Maltotriose-ATP_pos	ubiG//mdh//pdeF//glcB//prpE//mltC//
MelR-Melibiose_neg	dmsC//citF//
MelR-Melibiose_pos	nanA//ilvM//
MetJ-S-adenosylmethionine_neg	phnG//manA//yfbR//fabZ//pheT//ybjG//rutC//pheT//dadX//mpl//
MetR-L-homocysteine_neg	prmC//
MetR-L-homocysteine_pos	narG//yfbR//hflX//paaH//
MhpR-3-DHPP_pos	glpA//dsdA//hyaC//puuC//puuA//tsaE//
MhpR-3HPP_pos	aceA//guaA//puuE//mhpC//bcsB//icd//
MntR-Cd2+_neg	purL//
MntR-Cd2+_pos	metC//
ModE-MoO42-_neg	fumB//glpK//pyrC//ulaF//ung//gabD//tdh//sdaA//
ModE-MoO42-_pos	glgX//rdoA//xdhC//dnaE//cysD//guaB//
NarL-Phosphorylated_neg	tnaA//gatZ//gltA//cynS//entD//glcD//pncB//paaC//lacA//yqjH//lysA//ssuE//tauD//fabZ//pncB//astD//gutQ//cyaA//fadB//pdeF//katE//yeaE//mutY//dgcZ//
NarL-Phosphorylated_pos	deoB//chbF//citG//trpB//nrfA//alaS//nrfA//fes//yjeF//argF//trpA//hcp//cysG//hycE//glcF//
NarP-Phosphorylated_neg	glcB//cynS//bioA//
NarP-Phosphorylated_pos	paaG//cysC//argB//moeB//cysN//cysN//purF//oxc//nagB//gabT//
NhaR-Na+_pos	glgA//preT//hycB//tktB//
NikR-Cd2+_neg	serC//
NikR-Co2+_neg	upp//
NikR-Cu2+_neg	glyA//
NikR-Ni2+_neg	paaG//
NikR-Zn2+_neg	alkB//
NrdR-ATP_neg	srlD//purB//idnK//bioF//
NrdR-Zn2+_neg	sucC//citE//aceB//glpX//
NrdR-dATP_neg	cdd//tyrA//hycB//pdeF//
NsrR-2Fe_neg	glgP//puuE//paaA//astA//avtA//bacA//rutB//galM//sufS//nanK//allC//deoA//uxaA//trpB//narI//deoD//astA//narH//metH//ung//bcsB//fabZ//idnD//ilvH//napB//rutD//aldB//bioC//caiD//dkgB//
PhoB-Phosphorylated_neg	guaB//purE//waaH//pflB//gutQ//
PhoB-Phosphorylated_pos	nagB//pheT//idnO//rnpB//gatY//pyrC//metH//gltB//abgA//recF//uxaB//aldA//entB//citE//gntK//sodA//prpE//
PhoP-Phosphorylated_neg	narI//truB//sdhC//
PhoP-Phosphorylated_pos	pncB//nrfB//sdhC//lsrF//frc//fadH//amn//mdh//dmsB//araA//ulaD//sufS//araB//ynfG//glpX//acnB//feaB//metH//rutE//gabD//dmsA//dapD//purM//preA//oxc//agp//feaB//paaJ//metF//rhaD//fucK//dadX//phnP//nanK//
PrpR-2-methylcitrate_neg	
PrpR-2-methylcitrate_pos	garL//aspC//fadI//fadB//
PurR-Guanine_neg	glgB//acnB//umpH//tyrB//phoA//rutA//fadE//ilvA//trpE//fucI//gcvH//atoB//fucU//gltA//tdcG//icd//phnN//gapA//ugpQ//bioF//ubiG//ilvD//ugpQ//mutL//nanE//allD//galM//
PurR-Hypoxanthine_neg	talA//ldtB//aceE//pgaB//cysJ//frdA//bacA//prs//thrS//allD//hycF//trpD//purF//sdhA//ynfH//dapD//ispE//mltC//serA//trpD//acnA//aldB//metH//dmsB//ampD//nrfD//lsrK//
QseB-Phosphorylated_pos	
RhaR-L-rhamnose_pos	
RhaS-L-rhamnose_pos	frdC//eda//pncB//
RstA-Phosphorylated_neg	hycD//paaB//
RstA-Phosphorylated_pos	nrdB//
SoxR-2Fe_neg	
SoxR-2Fe_pos	gdhA//prmC//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	allE//phnP//napB//
TrpR-Tryptophan_neg	ilvB//bglB//metF//argG//phoA//gatZ//hyaC//gpmA//hyaC//
TyrR-L-tryptophan_neg	moaE//hycG//avtA//yfbR//fabZ//aroA//fumA//
TyrR-L-tryptophan_pos	tsaE//puuC//alkB//
TyrR-Phenylalanine_neg	phnG//ssuE//phoA//nrdF//purE//glpX//lysC//
TyrR-Phenylalanine_pos	glpD//ubiC//napB//
TyrR-Tyrosine_neg	tyrA//hemA//galE//udp//folA//tauD//glcF//
TyrR-Tyrosine_pos	argF//malY//lpxA//
UhpA-Phosphorylated_pos	rutA//
XapR-xanthosine_pos	pgaB//fumA//
XylR-Xylose_pos	araD//sdhB//glpE//
ZntR-Cd2+_pos	fucA//
ZntR-Hg_pos	patZ//
ZntR-Zn2+_pos	metA//
ZraR-Phosphorylated_pos	
Zur-Zn2+_neg	napG//
