# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	torC//ampD//
IlvY-2-acetolactate_neg	
IlvY-2-acetolactate_pos	hycG//
IlvY-Alfa-acetohydroxybutirate_neg	
IlvY-Alfa-acetohydroxybutirate_pos	edd//
IscR-2Fe_neg	chbG//cheB//argI//cysN//srlD//
IscR-2Fe_pos	fadE//aroG//
LldR-L-lactate_neg	cadA//ynfE//
LldR-L-lactate_pos	tehB//udp//
Lrp-Leucine_neg	mhpD//upp//preT//yqjH//cpdB//glcF//prpB//phnM//metC//trpA//entD//entA//nirB//pflB//dapB//guaB//umpH//astA//torC//glpX//gcvP//manA//lpxB//ybjG//
Lrp-Leucine_pos	narI//xapA//gadB//phnN//pnp//phnH//aldA//argI//ahpC//aroA//rhaB//gltB//paaB//tyrA//ilvG_1//astC//uxaB//cysJ//
LsrR_neg	serC//hypF//hycD//hflX//hflX//
MalT-ADP-Maltotriose_pos	betA//srlD//sdhD//mhpF//rdoA//hpt//
MalT-Maltotriose-ATP_pos	lsrF//frc//pta//ilvG_2//hmp//xylA//
MelR-Melibiose_neg	entE//yjeF//
MelR-Melibiose_pos	argA//mhpB//
MetJ-S-adenosylmethionine_neg	ansB//frdB//chbF//trmD//hemL//entH//edd//hyaB//uxuB//fbaA//
MetR-L-homocysteine_neg	yjeF//
MetR-L-homocysteine_pos	paaI//glcB//agp//nagA//
MhpR-3-DHPP_pos	epd//speA//bacA//cysK//galM//metK//
MhpR-3HPP_pos	cpdB//citE//ispE//nrdD//pgaD//hycF//
MntR-Cd2+_neg	mltC//
MntR-Cd2+_pos	glpX//
ModE-MoO42-_neg	folE//dadX//galM//cueO//caiD//tdcG//deoD//treC//
ModE-MoO42-_pos	mhpC//nagA//ftnA//tyrA//gltA//allD//
NarL-Phosphorylated_neg	argF//fadE//aceE//fucK//purF//aceB//rhaD//codA//mhpD//glpK//purE//sdhC//yfdE//ldtB//fadB//metC//ada//metK//carB//hemA//uxuA//xdhC//puuC//yqjH//
NarL-Phosphorylated_pos	hycF//lsrK//aspA//alkA//purL//cysJ//malY//argB//glpK//lysU//gatY//uxaC//mutY//nrdE//mhpE//
NarP-Phosphorylated_neg	tktB//metC//glgP//
NarP-Phosphorylated_pos	cadA//tdcG//hycC//glnA//alaS//fadI//ung//puuE//pck//prpE//
NhaR-Na+_pos	ynfG//cysM//cysG//nanE//
NikR-Cd2+_neg	paaZ//
NikR-Co2+_neg	chbG//
NikR-Cu2+_neg	argC//
NikR-Ni2+_neg	cysH//
NikR-Zn2+_neg	nrfD//
NrdR-ATP_neg	fadI//fadJ//cysN//prpB//
NrdR-Zn2+_neg	araA//galK//hyaB//gltA//
NrdR-dATP_neg	udp//ynfH//frdB//malP//
NsrR-2Fe_neg	zwf//moeB//entH//preA//uidA//paaF//cysM//aceA//mdh//lacZ//xdhB//bioA//umpH//nanE//fadI//moeA//ubiA//tam//puuA//kbl//garR//ilvG_2//hemL//cpdB//tyrA//pta//gatY//lsrF//gltA//phnO//
PhoB-Phosphorylated_neg	avtA//fbaA//preA//trpD//nrfD//
PhoB-Phosphorylated_pos	sodA//argH//trpB//betA//nrfC//sdaA//argD//lacZ//gabD//ascB//entF//pheS//narI//pck//argC//ilvN//avtA//
PhoP-Phosphorylated_neg	ilvI//paaJ//nagA//
PhoP-Phosphorylated_pos	atoD//phnJ//paaZ//cheR//allC//rhaB//cyaA//cadA//malZ//aroA//manA//mpl//aroA//hycG//dadA//lsrG//fbaA//appA//gapA//purL//pgk//atoB//rnpB//citF//gnd//glpA//caiA//astE//nanA//slt//gnd//gnd//acs//ilvC//
PrpR-2-methylcitrate_neg	
PrpR-2-methylcitrate_pos	cysJ//ackA//ung//allD//
PurR-Guanine_neg	cysC//caiB//alaS//waaH//manA//citD//hemA//speA//adhE//slt//idnK//ubiX//cueO//purA//prpC//torC//uxaA//xdhA//gltD//serC//napA//tehB//nrfC//tktB//hpt//ynfE//glpA//
PurR-Hypoxanthine_neg	nanE//ilvA//treC//sdhC//mtlD//glyA//bcsB//pck//prmC//hycB//rhaB//lsrG//ulaF//phnM//astC//trmD//speA//purD//avtA//cyaA//speC//araA//mtlD//umpH//aldA//pgaD//yeaE//
QseB-Phosphorylated_pos	
RhaR-L-rhamnose_pos	
RhaS-L-rhamnose_pos	ulaE//gadB//gntK//
RstA-Phosphorylated_neg	deoA//bcsA//
RstA-Phosphorylated_pos	gutQ//
SoxR-2Fe_neg	
SoxR-2Fe_pos	purK//phnL//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	deoB//bacA//pgaB//
TrpR-Tryptophan_neg	hyaB//codA//frdC//mhpD//argA//glpC//eda//avtA//fadE//
TyrR-L-tryptophan_neg	hycE//lpxA//pgpC//gpsA//appA//tdh//narG//
TyrR-L-tryptophan_pos	glgB//yfbR//ilvA//
TyrR-Phenylalanine_neg	pgk//argG//guaA//cdd//icd//melA//phnH//
TyrR-Phenylalanine_pos	ubiG//argI//phoA//
TyrR-Tyrosine_neg	aldB//cadA//ilvI//fumB//gntK//yeaE//paaK//
TyrR-Tyrosine_pos	pgaB//sdhD//ampD//
UhpA-Phosphorylated_pos	purN//
XapR-xanthosine_pos	napC//citD//
XylR-Xylose_pos	malQ//metA//fadI//
ZntR-Cd2+_pos	guaA//
ZntR-Hg_pos	cueO//
ZntR-Zn2+_pos	dapD//
ZraR-Phosphorylated_pos	
Zur-Zn2+_neg	tauD//
