# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	tktB//pflB//
CRP-cAMP_pos	ascB//atoA//aceF//phnI//nagA//preA//fucK//pagP//rhaB//glgP//tauD//manA//ubiG//guaB//hypF//caiA//glpB//tauD//rbsD//pdeF//nrfD//argF//galM//ssuE//moaA//tehB//entF//nanM//cyaA//argF//sdhA//tehB//cysI//prpB//ung//dnaE//patZ//glpA//miaA//sucC//folE//oxc//gltA//allD//lldD//rutE//hmp//aceB//nanE//fucA//kbl//puuB//aspC//bioC//nagB//entE//prpE//citD//glpA//cynS//ilvB//glcB//cyaA//recF//uxaA//rutB//glcB//uxaA//nrdD//sodA//rdoA//ubiA//miaA//gatY//paaC//aceF//rbsK//fadD//sucD//dsdA//aceB//glpD//tehB//dapD//speA//sdhC//sdhB//udp//lysA//ilvI//purM//pdeF//gatZ//miaA//mhpB//purF//bioA//ubiA//bcsA//nrdD//ynfH//nrfD//cueO//trpD//puuC//sucD//gltD//dnaE//ppiA//entH//upp//tadA//nrfA//sdhD//mhpF//ilvN//caiD//cysD//argE//ilvG_1//sucA//lysU//hycB//talA//phnH//entC//argI//rutE//allE//ftnA//citF//mhpC//galM//miaA//fumB//speC//bglB//napB//entH//sucC//patZ//astA//alaS//metF//trpB//paaJ//adhE//mhpE//ilvD//phnL//aceF//paaK//moaD//katE//glgB//citD//yfeW//pheT//metC//sodA//idnO//sufS//ubiG//glpX//bglB//slt//miaA//tdcB//pgaB//fumB//cyoE//idnD//alaS//ynfE//glcB//cysC//argH//talA//fadB//srlD//nanA//phnM//umpH//cysI//paaE//metC//fadD//pheS//mhpB//nrdF//tdcG//malP//gltD//paaH//agp//nanE//bcsA//xdhB//idnO//purA//mhpE//entE//nagB//adhE//cysJ//entA//xdhA//moaE//glgX//frc//garK//glgB//fadH//cysG//paaJ//rhaD//paaC//xdhA//glpK//tyrA//betA//cdd//hflX//manA//nrdE//mhpA//glpE//bcsA//rhaA//ssuD//astB//yfbR//metC//hpt//pheS//tehB//metH//trpC//kbaZ//sdhB//nanE//hyaC//lysA//
ChbR-Monoacetylchitobiose-6P_neg	phnP//xdhC//metE//
ChbR-Monoacetylchitobiose-6P_pos	sucD//dmsC//phoA//
CpxR-Phosphorylated_neg	entC//fbaA//ubiG//
CpxR-Phosphorylated_pos	astD//ilvE//phnP//ynfF//ispE//cysM//ilvE//frc//ilvE//pheT//katG//lhgO//tdh//lacZ//glcB//caiD//ulaE//glpA//nrfD//
CreB-Phosphorylated_neg	xdhB//
CreB-Phosphorylated_pos	nrdB//bcsB//
CueR-Ag_neg	bcsA//tauD//
CueR-Ag_pos	acs//ynfG//
CueR-Cu+_neg	glpC//glcD//
CueR-Cu+_pos	aroH//fucK//
CuerR-Au_neg	phnM//uvrA//
CuerR-Au_pos	trpA//appA//
CusR-Pasp_pos	waaH//araD//katE//
CynR-Cyanate_neg	
CynR-Cyanate_pos	thrS//aldB//rutD//
CysB-N-acetyl-L-serine_neg	fadE//rdoA//sodA//
CysB-N-acetyl-L-serine_pos	kbl//sdaA//argG//kbaZ//pflB//nagB//dmsB//aroA//eda//dgcZ//frdA//cysI//pnp//
CysB-O-acetyl-L-serine_neg	glgX//xylB//glcB//
CysB-O-acetyl-L-serine_pos	puuB//puuB//citG//ynfE//pgaD//deoC//mutY//icd//argG//yfeW//ynfG//trpA//citX//glcB//
DcuR-Phosphorylated_pos	mhpB//agp//metK//hemL//
DnaA-ATP_neg	hypB//folA//tdcD//gcd//thrS//
DnaA-ATP_pos	pheS//dnaE//fadB//
DpiA-Pasp_neg	
DpiA-Pasp_pos	araD//ilvA//ada//prs//ilvA//
DsdC-D-serine_neg	
DsdC-D-serine_pos	glpQ//rbsD//
EvgA-Phosphorylated_pos	purC//napC//ftnA//tauD//garK//
FNR-Fe_neg	glgA//tadA//lsrG//tdcE//dmsA//epd//ulaE//gcvP//gcvH//puuE//glnA//astA//zwf//polA//deoC//ubiA//rhaD//bcsA//ansB//ynfH//katE//fabZ//mtlD//uxuB//melA//lsrK//adhE//paaZ//recF//caiC//folE//katE//serA//hemL//prpD//abgB//prmC//glnA//entF//murQ//patZ//aceB//glgA//paaF//bioA//aspC//rutA//
FNR-Fe_pos	lhgO//dusB//acnA//caiC//tdcD//deoB//gatZ//talA//bacA//atoA//appA//uvrA//gutQ//tam//pgaD//ulaF//kbl//mutL//glgA//metB//gatY//napC//nirB//cdd//hemA//narH//speC//caiA//ulaE//hcp//bioF//caiA//paaK//ulaF//cyaA//hyaA//purM//mutY//caiC//hypF//ynfE//mhpE//truB//xylA//sodB//tdcG//galE//glyA//nanE//lsrK//pgaB//napG//gltA//sucC//tyrA//mdh//alaS//cdd//tdcB//garL//folA//mhpB//lpxD//chbG//serA//glgA//feaB//mltC//pgaD//tdcB//ilvG_2//lpxB//pyrD//hyaA//melA//metK//pheT//argB//cysC//rbsD//entD//betB//dapB//araD//prpD//nirB//rbsD//gdhA//astA//ilvE//ilvA//phnG//
FhlA-Formate_pos	alkB//xdhB//gcvP//sucD//fau//tyrB//uxuB//
FucR-L-fuculose-1-phosphate_pos	gdhA//aceE//acnB//tdcB//tam//tdcE//
Fur-Fe2+_neg	frdA//fucO//sodA//ilvH//dgcZ//gltB//gadB//lysC//ilvG_2//bcsB//glgA//ynfH//rutB//alaA//paaG//ung//purN//eda//ilvN//entE//moaA//cpdB//cadA//ubiX//phnJ//fau//speC//pncB//pgpC//frdD//cynT//idnK//moaE//gutQ//ppiA//frdB//acnB//paaF//cynT//purA//nirD//glgC//gpmA//aroL//gpmA//astB//rhaA//acs//uvrA//gltA//hypF//avtA//mhpD//mhpE//yqjH//aspC//melA//hyaA//treC//
Fur-Fe2+_pos	nrdE//phnJ//metC//alkB//tyrA//ubiG//sdaA//katE//fucA//aroG//mhpD//napA//pta//atoA//phnL//nrdE//lysA//atoD//uxuA//purM//
Fur-Mn2+_neg	ung//phnG//caiD//bcsB//napH//puuE//puuD//lpd//prs//ssuE//purB//tauD//glcD//argI//aceB//glpQ//tdcB//lpxA//cdd//glpB//abgB//kbaZ//argG//moaA//ilvN//glgA//garR//patZ//ilvB//hyaB//astC//sodA//nrdD//ynfE//garR//xapA//purK//acnA//fadA//glpX//astE//chbF//icd//dmsC//manA//ilvM//sucA//caiA//glpQ//puuA//manA//purF//tyrA//murQ//argC//glpQ//lldD//glgA//moeB//
Fur-Mn2+_pos	cheB//cyaA//pnp//manA//gcvH//mhpC//ung//tyrB//entB//frdC//hflX//pncB//sucD//uvrA//ackA//udp//sdaA//aceB//oxc//paaZ//
GlcC-Acetate_neg	
GlcC-Acetate_pos	prpB//nadC//alaA//
GlcC-Glycolate_neg	
GlcC-Glycolate_pos	idnO//abgB//paaF//
GlrR-Pasp56_pos	
IclR-pyruvate_neg	fadE//acs//purN//
IdnR-5-ketogluconate_neg	tdcB//pdeF//
IdnR-5-ketogluconate_pos	ppiA//umpH//abgA//mhpC//
IdnR-Idonate_neg	rdoA//cysG//
IdnR-Idonate_pos	gcvT//lacZ//dgcZ//oxc//
IlvY-2-acetolactate_neg	
IlvY-2-acetolactate_pos	glcF//
IlvY-Alfa-acetohydroxybutirate_neg	
IlvY-Alfa-acetohydroxybutirate_pos	mutL//
IscR-2Fe_neg	caiA//malP//frdD//guaA//cadA//
IscR-2Fe_pos	glgB//ogt//
LldR-L-lactate_neg	mutL//araA//
LldR-L-lactate_pos	bioB//galK//
Lrp-Leucine_neg	citG//gapA//gabT//gcd//uxuA//rutB//fdhF//lpd//ilvA//gabT//hyaB//speB//abgA//truB//nanM//speA//nirB//lpd//fadJ//metA//garL//galE//aceB//nanK//
Lrp-Leucine_pos	acs//tdcB//gltB//nrfD//ulaD//tsaE//fucI//phnG//phnO//frdD//gapA//mltC//pgk//garK//prpC//hpt//edd//dmsC//
LsrR_neg	argB//tdcE//phnN//deoA//ilvB//
MalT-ADP-Maltotriose_pos	codA//acnB//gutQ//moaE//frdA//mutY//
MalT-Maltotriose-ATP_pos	paaE//dgcZ//phnN//paaI//ybjG//alaS//
MelR-Melibiose_neg	puuC//gabT//
MelR-Melibiose_pos	speA//amn//
MetJ-S-adenosylmethionine_neg	gcvP//ilvB//paaC//cysC//aceA//aspC//cyaA//glcB//rdoA//rbsD//
MetR-L-homocysteine_neg	hemA//
MetR-L-homocysteine_pos	entF//hyaB//cynS//prpE//
MhpR-3-DHPP_pos	dmsA//rbsD//citC//mhpF//hycE//idnO//
MhpR-3HPP_pos	agp//manA//hycG//prmC//tnaA//gutQ//
MntR-Cd2+_neg	bcsA//
MntR-Cd2+_pos	purL//
ModE-MoO42-_neg	idnD//epd//betB//mtlD//gatZ//katE//narG//cysG//
ModE-MoO42-_pos	gpsA//deoB//allE//sdhA//frdA//entA//
NarL-Phosphorylated_neg	mtlD//frc//phnL//napH//nadC//glnA//nrdF//eda//gabT//caiD//paaG//codA//trpB//folE//uvrA//cysI//moeB//hycC//gltD//fadD//moaA//metH//serA//puuB//
NarL-Phosphorylated_pos	hyaC//astB//glcF//sdaA//caiD//gltD//purN//dapB//ansB//sdhC//glgP//rutE//ada//ynfG//rutD//
NarP-Phosphorylated_neg	ynfH//xdhC//xylB//
NarP-Phosphorylated_pos	cynS//hycC//murQ//mltC//moeA//lysC//paaB//glpC//fucI//ndh//
NhaR-Na+_pos	icd//narH//fbaA//rhaB//
NikR-Cd2+_neg	fadJ//
NikR-Co2+_neg	yfbR//
NikR-Cu2+_neg	fabZ//
NikR-Ni2+_neg	cheR//
NikR-Zn2+_neg	dnaE//
NrdR-ATP_neg	cheR//paaG//ybjG//sdhB//
NrdR-Zn2+_neg	preA//sodA//cadA//icd//
NrdR-dATP_neg	sucC//gatD//sufS//ldtC//
NsrR-2Fe_neg	sufS//pck//glcE//astB//moeA//metB//sucA//deoC//phnI//moaA//napB//nanE//rbsD//uidA//nagB//tyrA//paaA//frdA//caiC//preA//edd//gatY//cueO//ynfG//cysJ//malZ//gcd//gltD//hypB//ubiG//
PhoB-Phosphorylated_neg	umpH//nirB//deoC//malS//glpE//
PhoB-Phosphorylated_pos	mtlD//ada//edd//aceB//ulaF//lsrF//ubiC//oxc//aroL//ubiC//ndh//manA//astE//mtlD//hypF//pgaB//sufS//
PhoP-Phosphorylated_neg	feaB//glcE//fucK//
PhoP-Phosphorylated_pos	lpxB//tsaE//acnB//rbsD//purA//ilvG_2//cyoE//glnA//amn//kbaZ//uvrA//folA//rbsD//moeA//purB//torC//chbG//fau//ybjG//ppiA//trpA//ndh//purD//phnN//cdd//lysU//nanA//ubiC//speC//lsrG//carB//lsrG//fumC//entA//
PrpR-2-methylcitrate_neg	
PrpR-2-methylcitrate_pos	rbsK//ilvG_1//entE//mhpF//
PurR-Guanine_neg	pncB//araD//fumB//rhaD//gltA//hpt//pyrC//hcp//argD//tdcE//nrdB//lpxA//fdhF//entC//citF//phnM//napG//ahpF//allE//mltC//pgaC//srlD//frdA//puuC//paaA//malZ//hyaC//
PurR-Hypoxanthine_neg	phnP//garK//pyrC//cpdB//ilvM//glpE//fucK//adhE//aspA//fadI//lpd//cynS//ubiX//aroH//rhaB//ansB//hyaB//lpd//argC//galT//dadA//gcvH//dsdA//serA//metA//kbaZ//prmC//
QseB-Phosphorylated_pos	
RhaR-L-rhamnose_pos	
RhaS-L-rhamnose_pos	fadJ//mtlD//napG//
RstA-Phosphorylated_neg	avtA//betB//
RstA-Phosphorylated_pos	puuB//
SoxR-2Fe_neg	
SoxR-2Fe_pos	cysN//ulaE//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	glpC//paaE//aceA//
TrpR-Tryptophan_neg	feaB//astC//gntK//caiD//lpd//oxc//rhaA//lysU//metE//
TyrR-L-tryptophan_neg	recF//uxaB//moeA//glyA//serA//metH//aroF//
TyrR-L-tryptophan_pos	ilvI//cyaA//cueO//
TyrR-Phenylalanine_neg	folA//ynfF//gabT//argE//lysC//yeaE//hyaC//
TyrR-Phenylalanine_pos	entH//pgpC//paaJ//
TyrR-Tyrosine_neg	tdcD//entC//fucU//mhpB//entD//fucA//gnd//
TyrR-Tyrosine_pos	phnM//prpC//gabT//
UhpA-Phosphorylated_pos	citC//
XapR-xanthosine_pos	metL//bcsA//
XylR-Xylose_pos	gpsA//edd//adhE//
ZntR-Cd2+_pos	nrdE//
ZntR-Hg_pos	ilvD//
ZntR-Zn2+_pos	rutB//
ZraR-Phosphorylated_pos	
Zur-Zn2+_neg	sdhD//
