# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	gltB//ssuD//
ChbR-Monoacetylchitobiose-6P_neg	ahpC//ilvE//xapA//
ChbR-Monoacetylchitobiose-6P_pos	idnD//garR//sodB//
CpxR-Phosphorylated_neg	purF//argG//glgB//
CpxR-Phosphorylated_pos	yfdE//aldB//napB//ahpC//ugpQ//phnN//edd//citG//alaS//gatD//nrdA//atoD//paaB//atoB//frc//glpE//edd//mhpE//pta//
CreB-Phosphorylated_neg	argE//
CreB-Phosphorylated_pos	nanK//rbsD//
CueR-Ag_neg	fadJ//bioA//
CueR-Ag_pos	alaS//talA//
CueR-Cu+_neg	galM//atoB//
CueR-Cu+_pos	malP//recF//
CuerR-Au_neg	tyrA//pnp//
CuerR-Au_pos	argH//sufS//
CusR-Pasp_pos	tauD//gatD//ilvH//
CynR-Cyanate_neg	
CynR-Cyanate_pos	glcD//puuE//pta//
CysB-N-acetyl-L-serine_neg	glcE//ilvD//gadB//
CysB-N-acetyl-L-serine_pos	agp//phnM//sucA//cdd//hypF//truB//paaZ//uvrA//trpC//lsrF//oxc//narH//paaF//
CysB-O-acetyl-L-serine_neg	phnN//yeaE//tdcB//
CysB-O-acetyl-L-serine_pos	srlD//gabD//glgP//caiC//gdhA//nanA//ada//gpmA//malQ//rbsK//trpC//truB//yfeW//ybjG//
DcuR-Phosphorylated_pos	fumC//glpQ//pncB//sucB//
DnaA-ATP_neg	mhpA//pheS//ugpQ//aldA//rdoA//
DnaA-ATP_pos	bglB//pflB//purK//
DpiA-Pasp_neg	
DpiA-Pasp_pos	nrfB//hycF//bglB//abgA//malZ//
DsdC-D-serine_neg	
DsdC-D-serine_pos	fumC//nirB//
EvgA-Phosphorylated_pos	nirD//uxuA//glpX//deoA//napA//
FNR-Fe_neg	ilvB//lsrG//mutL//fadE//xdhB//malY//uidA//hcp//phnJ//epd//sdaA//xdhA//glgC//paaH//glgP//ssuD//cheR//glpC//metL//glpX//sufS//moeA//dkgB//malZ//gltD//cueO//murQ//nrfC//paaH//dgcZ//acnA//hycF//codA//fabZ//ahpC//glpC//hyaC//moaD//gapA//cysH//sdhC//icd//ansB//astB//fucA//caiB//entC//
FNR-Fe_pos	ynfH//pyrD//yfeW//ppiA//paaZ//aroH//fadE//avtA//mltC//puuB//allD//aspA//dadA//glyA//pgpC//pheT//pta//ssuE//edd//fdhF//lpxA//purL//cynT//purL//kbl//narI//lysA//gcvP//astE//fucU//ilvC//glpE//ilvB//gpmA//paaC//pgaB//purF//yjeF//mpl//hycB//cueO//lpxA//manA//metC//glpB//paaH//ldtB//ynfG//glpX//pgk//hcp//gpsA//xdhC//uxaC//xapA//polA//argC//pta//ung//purN//ilvG_2//glgX//rdoA//dmsA//paaH//acs//gadB//gdhA//paaI//oxc//ppiA//aldB//lpd//lsrG//gpmA//tauD//fadB//uxaB//cyaA//gnd//alkA//fumA//alaS//paaG//cynT//gltA//gutQ//glpX//slt//patZ//tsaE//xdhB//
FhlA-Formate_pos	aroH//yfeW//bcsB//rnpB//rutA//cysM//tadA//
FucR-L-fuculose-1-phosphate_pos	cadA//citE//chbF//treC//argE//ung//
Fur-Fe2+_neg	sucA//glgX//nanM//cysC//ssuE//ynfG//sucB//entB//tdcE//pck//cheR//rhaB//gapA//sucA//dusB//tdcE//phnM//argI//folE//cynT//gatD//yfeW//glgA//purK//glcF//mpl//phnP//codA//aspA//glpE//glcE//murQ//argI//fadJ//pgaC//mdh//gcvH//glpB//dgcZ//galE//dkgB//entC//fadH//uxaB//dkgB//lacA//hemA//gltD//malY//mhpB//nrdE//metH//pnp//pta//frdD//pgpC//katG//alkA//chbF//
Fur-Fe2+_pos	paaA//prmC//cpdB//tktB//ahpC//phnG//sucA//aceF//alaS//nrfA//miaA//atoA//phnP//tauD//ulaD//cysM//ogt//gatD//hflX//mhpA//
Fur-Mn2+_neg	yfdE//rutB//mhpC//citF//cysG//ulaD//napA//fucU//deoD//cysC//argC//lysU//katE//ppiA//nrdE//gcvH//sucB//tam//mutL//tehB//trpB//mhpE//citF//acnA//glyA//tnaA//aceA//mdh//narI//cysJ//hpt//rhaB//polA//trpC//caiC//gcvT//rnpB//sdhB//moaE//katE//psd//uxaA//bioF//tnaA//dadA//metC//mhpB//paaF//sdhC//ascB//uvrA//fucK//fbaA//upp//aroF//gltA//glcE//fadA//dapB//
Fur-Mn2+_pos	ulaF//acnA//yfdE//glcD//talA//nanE//rhaA//kbaZ//glpX//ilvB//atoD//deoA//cysN//purD//fadH//rhaB//frdA//katE//purK//mutY//
GlcC-Acetate_neg	
GlcC-Acetate_pos	amn//nanA//glpD//
GlcC-Glycolate_neg	
GlcC-Glycolate_pos	moeA//abgB//rhaA//
GlrR-Pasp56_pos	
IclR-pyruvate_neg	aldA//araD//pheS//
IdnR-5-ketogluconate_neg	astD//glpD//
IdnR-5-ketogluconate_pos	nrdF//nrfA//ssuD//sdhC//
IdnR-Idonate_neg	ldtB//ldtB//
IdnR-Idonate_pos	puuA//polA//chbF//paaZ//
IlvY-2-acetolactate_neg	
IlvY-2-acetolactate_pos	argB//
IlvY-Alfa-acetohydroxybutirate_neg	
IlvY-Alfa-acetohydroxybutirate_pos	citC//
IscR-2Fe_neg	fabZ//sufS//mutL//fes//fucA//
IscR-2Fe_pos	gnd//phnL//
LldR-L-lactate_neg	araD//fadA//
LldR-L-lactate_pos	upp//uxaA//
Lrp-Leucine_neg	eda//edd//metB//ilvG_1//phnI//narG//pheS//dmsB//paaJ//ilvI//kbaZ//nrfD//rbsD//yeaE//ugpQ//mhpA//napH//pck//galE//ilvC//atoA//lysA//lacA//phnI//
Lrp-Leucine_pos	deoD//hmp//nagB//puuA//nrdF//hyaB//ampD//epd//astA//glyA//dmsA//lysU//prpE//glnA//astA//ilvB//prmC//aldB//
LsrR_neg	katG//abgB//dmsB//sodA//caiA//
MalT-ADP-Maltotriose_pos	katG//entF//torC//lhgO//hycD//nrfC//
MalT-Maltotriose-ATP_pos	paaH//ubiX//slt//ahpC//katE//sucD//
MelR-Melibiose_neg	tdcE//mutL//
MelR-Melibiose_pos	manA//argF//
MetJ-S-adenosylmethionine_neg	srlD//bioB//metC//mltC//cpdB//metC//hycF//dkgB//mpl//argD//
MetR-L-homocysteine_neg	ndh//
MetR-L-homocysteine_pos	araD//dmsC//yqjH//uxaB//
MhpR-3-DHPP_pos	hflX//aldB//dmsA//caiB//ugpQ//tyrB//
MhpR-3HPP_pos	nirD//mhpF//astD//hemA//sodB//aceA//
MntR-Cd2+_neg	trpA//
MntR-Cd2+_pos	fadD//
ModE-MoO42-_neg	mhpC//dadX//hyaA//ubiC//entE//pta//phnP//paaZ//
ModE-MoO42-_pos	carA//caiC//carB//purK//paaZ//allD//
NarL-Phosphorylated_neg	sucA//argH//ppiA//deoC//frdA//acs//fadB//dmsB//prpC//fumB//entC//argE//caiB//gltD//prpC//serA//mhpD//phnN//melA//purM//cysG//lysA//mutY//glpC//
NarL-Phosphorylated_pos	bglB//sucA//glcE//gcvT//entB//garK//feaB//mutL//gcvT//acs//gapA//melA//metA//lpxA//atoD//
NarP-Phosphorylated_neg	dapD//dapB//gpmA//
NarP-Phosphorylated_pos	purM//yjeF//rutA//phnL//bcsB//nrfC//glpA//ynfE//astB//aceB//
NhaR-Na+_pos	caiB//aldB//ssuD//yjeF//
NikR-Cd2+_neg	ahpF//
NikR-Co2+_neg	frdA//
NikR-Cu2+_neg	ndh//
NikR-Ni2+_neg	purM//
NikR-Zn2+_neg	nadC//
NrdR-ATP_neg	gcd//paaB//ung//sodB//
NrdR-Zn2+_neg	ilvE//glpX//narH//idnK//
NrdR-dATP_neg	xdhC//lpxD//mltC//abgB//
NsrR-2Fe_neg	pdeF//lldD//cynS//sucA//lacZ//waaH//bioF//lacA//nagB//acs//pflB//bcsA//metK//purC//bioB//argB//nanK//cynS//purL//uxaC//napH//ispE//frdB//icd//gpsA//gabD//pheS//mdh//rutC//trmD//
PhoB-Phosphorylated_neg	xylA//prpE//treC//moeB//ispE//
PhoB-Phosphorylated_pos	hypB//chbG//ilvI//ampD//eda//mdh//pyrC//fabZ//hypB//ilvG_2//dapD//ackA//argE//argB//nadC//malY//ada//
PhoP-Phosphorylated_neg	prs//ilvC//paaA//
PhoP-Phosphorylated_pos	nrdE//glyA//caiB//araA//lhgO//glcB//glcF//prpD//yqjH//entD//pheS//abgB//fadE//sdhA//trpC//ubiX//trpD//ftnA//xdhB//fucU//argA//hycE//pdeF//frdB//phnN//glcE//bglB//murQ//udp//uxaA//argH//metB//moaD//chbG//
PrpR-2-methylcitrate_neg	
PrpR-2-methylcitrate_pos	caiC//garK//fdhF//nagB//
PurR-Guanine_neg	deoD//aroL//uidA//puuB//argC//paaC//idnK//acnB//lldD//sucB//serC//kbaZ//trmD//garK//gapA//ulaF//citD//speA//fadI//pnp//fucO//paaB//abgB//hycE//glgP//citG//tdh//
PurR-Hypoxanthine_neg	pgpC//polA//ilvH//trpE//ubiC//purH//phnO//fadJ//lhgO//icd//cysH//lacZ//sdhA//bioC//garK//mtlD//caiB//slt//gntK//metK//xylA//citG//hyaC//upp//glpC//glcF//gcd//
QseB-Phosphorylated_pos	
RhaR-L-rhamnose_pos	
RhaS-L-rhamnose_pos	pta//argC//gpsA//
RstA-Phosphorylated_neg	sucD//tdcD//
RstA-Phosphorylated_pos	oxc//
SoxR-2Fe_neg	
SoxR-2Fe_pos	dapD//astC//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	frc//frdC//bcsZ//
TrpR-Tryptophan_neg	pheT//pagP//purE//ynfG//alkB//xdhC//gntK//puuD//hpt//
TyrR-L-tryptophan_neg	glpE//entA//xylA//dapD//trpD//rbsK//cysH//
TyrR-L-tryptophan_pos	hypF//purD//srlD//
TyrR-Phenylalanine_neg	paaB//ispE//sdhA//hycF//ulaE//hcp//tdh//
TyrR-Phenylalanine_pos	allE//glgX//speB//
TyrR-Tyrosine_neg	recF//nrdA//cyaA//ynfE//caiC//argB//ada//
TyrR-Tyrosine_pos	ubiA//fdhF//pgaD//
UhpA-Phosphorylated_pos	paaH//
XapR-xanthosine_pos	eda//oxc//
XylR-Xylose_pos	tdh//ybjG//pgk//
ZntR-Cd2+_pos	ldtC//
ZntR-Hg_pos	puuC//
ZntR-Zn2+_pos	gltA//
ZraR-Phosphorylated_pos	
Zur-Zn2+_neg	uxuA//
