# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	recF//torA//
CRP-cAMP_pos	ada//idnO//phnN//gcd//prpB//ilvC//ampD//waaH//glnA//umpH//patZ//aroF//katE//paaK//gatY//hyaB//bioB//cysN//fdhF//gcvT//abgB//citF//metC//ssuD//gcvT//cysN//prpE//acnA//tnaA//nrfB//glgX//aceA//argA//rhaD//moeA//guaB//dadA//lpxB//entF//ppiA//pheT//pck//idnD//astA//frc//rutD//lpxD//rbsD//epd//sucB//hemA//bcsZ//aceF//prmC//entH//gadB//xylB//sdaA//katE//lsrF//garR//moaD//hycF//metC//xapA//caiC//gatY//purF//napC//chbG//fucA//fumB//phnN//pyrD//bioA//cysG//bcsZ//phnH//cpdB//glpA//miaA//acnA//adhE//cysN//cyoE//lysC//miaA//tdh//allE//chbF//epd//nagB//ilvG_1//ada//alaS//purN//hypF//rbsK//sucB//frdD//adhE//gcd//gabD//ilvC//ynfG//cynS//thrS//bcsB//ndh//napA//zwf//glgP//abgA//aspA//ulaE//frdC//kbaZ//gntK//paaE//yqjH//cysG//yjeF//nrdD//metH//cpdB//gcd//aldA//narH//metC//xdhC//rutE//speA//iscS//galE//sucC//cysM//ynfG//trpE//idnD//gutQ//tsaE//cadA//rutE//rutE//nrdF//cheB//nrfB//dmsB//ubiA//frdD//rdoA//fucK//malY//astE//ilvI//hemA//cdd//betB//pdeF//cyaA//ubiX//rbsD//yjeF//lpxA//araA//glpC//rutB//gdhA//fumB//ansB//mhpE//aroH//ahpC//entF//allC//phnP//glpE//atoA//tyrB//torA//puuA//argD//trpB//paaI//sdhC//atoB//paaI//ahpF//cynS//purN//malQ//hflX//hycB//deoB//aroF//pta//nanM//aldB//ldtB//hcp//icd//paaJ//miaA//glcF//tktB//murQ//gcvH//ogt//garL//prpB//uidA//mhpF//hycE//fadA//frdA//nrdD//bioF//ilvN//bioF//ilvC//malY//epd//dkgB//cdd//speB//acnA//ilvB//argB//hemL//ubiG//caiD//dmsC//yeaE//cysH//patZ//paaF//idnK//aroL//hemA//purA//xylB//aroF//garL//
ChbR-Monoacetylchitobiose-6P_neg	frdB//metF//ftnA//
ChbR-Monoacetylchitobiose-6P_pos	paaK//gcvP//nagA//
CpxR-Phosphorylated_neg	fumC//pncB//mhpE//
CpxR-Phosphorylated_pos	fucI//cyaA//hpt//glcD//moeA//argA//metF//argH//ubiC//ansB//acnB//yqjH//phnJ//udp//atoA//tdcB//polA//aldA//udp//
CreB-Phosphorylated_neg	xylA//
CreB-Phosphorylated_pos	torA//malZ//
CueR-Ag_neg	prs//serC//
CueR-Ag_pos	mhpD//fucK//
CueR-Cu+_neg	fau//cysN//
CueR-Cu+_pos	sodA//malP//
CuerR-Au_neg	purF//ssuD//
CuerR-Au_pos	frdB//aceA//
CusR-Pasp_pos	astE//ulaE//truB//
CynR-Cyanate_neg	
CynR-Cyanate_pos	miaA//glcD//citG//
CysB-N-acetyl-L-serine_neg	ilvD//rbsK//pyrD//
CysB-N-acetyl-L-serine_pos	treC//lhgO//gdhA//ubiC//idnK//pdeF//hypB//entC//sucD//araB//aroG//mdh//chbG//
CysB-O-acetyl-L-serine_neg	paaA//torA//nanE//
CysB-O-acetyl-L-serine_pos	phnM//cynS//puuC//aldB//betA//murQ//aldA//gntK//caiC//tdcD//sucD//nrdE//hycE//fadB//
DcuR-Phosphorylated_pos	mhpE//purE//lpxB//pta//
DnaA-ATP_neg	uidA//citF//chbG//citG//malY//
DnaA-ATP_pos	dsdA//slt//acnA//
DpiA-Pasp_neg	
DpiA-Pasp_pos	hycB//hycB//galM//yfbR//purB//
DsdC-D-serine_neg	
DsdC-D-serine_pos	torA//narG//
EvgA-Phosphorylated_pos	glpE//gabD//caiB//phnJ//fadE//
FNR-Fe_neg	ilvM//eda//gcvH//gnd//argF//lysA//phnO//idnD//paaI//purD//puuC//caiC//purK//purA//puuC//melA//hypF//bacA//gcvT//aroF//bioD//paaE//tsaE//idnK//torC//betB//zwf//metB//hyaB//ilvC//paaH//garK//phnL//frdB//psd//bacA//ackA//ada//mhpD//phnL//xdhB//ynfG//glcB//trpB//purB//nadC//xylB//
FNR-Fe_pos	paaI//bioC//galM//lysA//metF//lpd//araB//gabD//polA//ahpC//aceB//tam//narG//pck//sdhA//guaB//sodB//ampD//cysN//glpC//hyaA//paaI//ppiA//cynS//nrdB//gntK//aroG//dmsC//dapB//gltB//ssuE//fucU//ilvG_1//ybjG//cysG//ulaE//lsrF//caiD//gabD//aroA//eda//ynfF//gabT//gatZ//mhpB//ynfF//allD//fumC//hypB//frdA//malZ//glcF//cpdB//prmC//deoC//udp//nrfC//torC//citC//ubiX//glgX//sufS//ynfG//bacA//yeaE//fabZ//narG//napC//frdB//tdh//ogt//puuB//gcvT//nrfD//umpH//edd//xdhA//puuB//katG//cueO//citD//rbsD//trpC//betA//ftnA//phnN//bioC//argH//hycF//folE//caiD//glpK//
FhlA-Formate_pos	gpmA//hpt//bcsB//upp//glpD//prpE//rutA//
FucR-L-fuculose-1-phosphate_pos	avtA//yeaE//napA//glcD//ampD//ndh//
Fur-Fe2+_neg	bioB//fucK//paaI//nanA//ynfG//xdhA//deoD//deoC//phnL//tadA//mhpD//carB//prpC//lsrF//metK//trpC//yfeW//mpl//rhaD//tauD//prpC//torC//gatZ//carB//puuC//purD//sucD//tdh//paaG//guaB//bioB//malZ//purE//uxaB//fadH//tehB//ilvG_1//prs//nirB//pgk//lhgO//adhE//lldD//argD//nrdA//glcE//aldB//hpt//pgk//argD//nrdA//mtlD//dmsC//betB//purK//cysG//udp//miaA//guaB//
Fur-Fe2+_pos	hypF//nanA//ynfE//lpd//phnI//dnaE//cadA//frdA//recF//miaA//cynT//napG//paaF//folA//fucI//udp//gapA//cyaA//ftnA//phnH//
Fur-Mn2+_neg	hemA//fadI//gcd//aceF//glgA//betA//tsaE//betA//rdoA//pagP//speA//cysI//metK//rbsD//truB//cynS//nrdE//sodA//nrfD//atoB//gatY//ilvI//sucA//bglB//slt//gpsA//tehB//hycD//moeA//truB//gpmA//puuC//citE//cysI//nrfB//ynfF//mltC//prpE//gutQ//icd//lpd//ulaE//tsaE//napB//hycG//ispE//gltA//puuA//mltC//yjeF//gcvT//torA//katE//idnK//trpA//betA//fadJ//narH//tsaE//
Fur-Mn2+_pos	melA//mhpD//sodB//edd//ulaE//gapA//fumB//mpl//kbaZ//purM//pgk//ldtB//avtA//lsrK//dadX//atoB//puuA//astD//deoA//deoC//
GlcC-Acetate_neg	
GlcC-Acetate_pos	abgA//araA//treC//
GlcC-Glycolate_neg	
GlcC-Glycolate_pos	paaE//glcD//galK//
GlrR-Pasp56_pos	
IclR-pyruvate_neg	pgaC//ubiG//garR//
IdnR-5-ketogluconate_neg	uvrA//entD//
IdnR-5-ketogluconate_pos	citC//yeaE//napA//yfeW//
IdnR-Idonate_neg	ada//paaC//
IdnR-Idonate_pos	rnpB//xylB//sucA//hcp//
IlvY-2-acetolactate_neg	
IlvY-2-acetolactate_pos	caiB//
IlvY-Alfa-acetohydroxybutirate_neg	
IlvY-Alfa-acetohydroxybutirate_pos	glpC//
IscR-2Fe_neg	aceF//rutB//paaH//lldD//puuB//
IscR-2Fe_pos	prpE//adhE//
LldR-L-lactate_neg	rbsD//atoD//
LldR-L-lactate_pos	pck//metF//
Lrp-Leucine_neg	paaA//napG//glcF//rnpB//pagP//lsrF//uxaA//moaD//cyoE//lpxB//ubiA//fadE//napC//ilvC//amn//entH//fucO//fucU//citF//ilvG_1//pgk//dadA//fdhF//tdh//
Lrp-Leucine_pos	tyrB//ahpC//sdhD//aroG//ahpF//rbsD//acnA//rnpB//argG//glgX//malQ//glgC//gcvT//xylA//aceF//fadD//sucC//nirD//
LsrR_neg	uxaC//garR//hycF//patZ//glpX//
MalT-ADP-Maltotriose_pos	hyaB//ssuD//gltA//pgpC//ilvB//uxaA//
MalT-Maltotriose-ATP_pos	gatD//polA//hypF//aceE//cysJ//fumA//
MelR-Melibiose_neg	idnD//mtlD//
MelR-Melibiose_pos	citF//ung//
MetJ-S-adenosylmethionine_neg	trpA//entD//nirD//lpxD//hycG//phnJ//lysU//ilvC//glpK//ampD//
MetR-L-homocysteine_neg	cysI//
MetR-L-homocysteine_pos	fadA//pheS//lacA//pgpC//
MhpR-3-DHPP_pos	gatD//fadJ//tnaA//dapB//fdhF//xdhA//
MhpR-3HPP_pos	ftnA//fadB//pnp//fadE//ssuE//srlD//
MntR-Cd2+_neg	paaZ//
MntR-Cd2+_pos	deoC//
ModE-MoO42-_neg	puuC//cheB//waaH//fucI//puuE//yqjH//gpmA//rhaA//
ModE-MoO42-_pos	ansB//ada//atoB//gntK//yfbR//preA//
NarL-Phosphorylated_neg	chbF//phoA//speC//guaB//prpB//citX//hycE//ilvD//purE//cadA//fbaA//xapA//caiD//nrdA//katE//ilvD//ansB//gltB//ahpF//recF//nanK//uxuB//hyaC//mhpA//
NarL-Phosphorylated_pos	ybjG//cueO//nrdD//sucC//deoC//cysD//lpd//fadA//aroH//folE//nanM//lldD//gcvH//pgaB//thrS//
NarP-Phosphorylated_neg	bioB//hyaA//glpD//
NarP-Phosphorylated_pos	agp//nrfC//aroG//mutY//astC//galE//cueO//trpB//ilvD//nanA//
NhaR-Na+_pos	napG//aroH//argH//recF//
NikR-Cd2+_neg	hyaA//
NikR-Co2+_neg	napB//
NikR-Cu2+_neg	rbsD//
NikR-Ni2+_neg	malZ//
NikR-Zn2+_neg	deoD//
NrdR-ATP_neg	gpmA//rutC//astB//gntK//
NrdR-Zn2+_neg	garK//preA//frdA//citC//
NrdR-dATP_neg	avtA//ubiX//ulaE//nrdE//
NsrR-2Fe_neg	yeaE//uxaA//sodA//amn//yfbR//phnN//betB//moeB//pyrD//ybjG//caiC//feaB//phnM//torA//fadI//araA//polA//lsrK//ubiG//cpdB//glcF//lldD//zwf//lacA//puuC//treC//preT//entC//edd//argB//
PhoB-Phosphorylated_neg	phnJ//dmsB//nrdD//galM//gadB//
PhoB-Phosphorylated_pos	glpD//hyaB//chbG//aroG//purK//umpH//alkA//nrdA//gpmA//glpB//cyoE//phnL//ynfF//rbsD//entH//fdhF//gnd//
PhoP-Phosphorylated_neg	dmsB//frdC//preT//
PhoP-Phosphorylated_pos	malP//lysU//yjeF//ugpQ//caiB//glgC//fadA//ispE//aroH//phnN//purH//gcd//moaD//purH//sucC//glpD//ubiG//purF//nirD//cyoE//ynfH//trmD//hyaC//aroL//metL//glgP//zwf//hcp//phoA//speC//betB//phnN//nagA//argH//
PrpR-2-methylcitrate_neg	
PrpR-2-methylcitrate_pos	xapA//nrdF//glpD//mutY//
PurR-Guanine_neg	cynT//moaA//folA//ilvM//glpE//paaJ//aroF//ppiA//ynfF//recF//frdD//gnd//miaA//umpH//caiB//purM//metF//caiB//garR//rhaB//fucO//hyaA//pgaC//garL//sdhC//ynfF//astC//
PurR-Hypoxanthine_neg	glpK//fadA//entA//citC//mhpE//torA//citE//trpD//hcp//moaE//purN//lsrK//ulaF//mhpF//ldtC//nagB//pgaD//tktB//ynfG//dsdA//glnA//atoA//atoD//fucO//ugpQ//frdD//pgpC//
QseB-Phosphorylated_pos	
RhaR-L-rhamnose_pos	
RhaS-L-rhamnose_pos	aldA//caiA//sodB//
RstA-Phosphorylated_neg	glgC//atoA//
RstA-Phosphorylated_pos	paaI//
SoxR-2Fe_neg	
SoxR-2Fe_pos	ilvN//mdh//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	nirB//xdhC//frdA//
TrpR-Tryptophan_neg	ilvB//gltD//paaB//cysN//fadI//malY//trpE//hycC//nrfB//
TyrR-L-tryptophan_neg	sdaA//ilvG_2//paaI//gabD//dadA//metL//bacA//
TyrR-L-tryptophan_pos	hycG//glpD//preA//
TyrR-Phenylalanine_neg	atoB//puuD//tam//phnP//rutB//mutL//dadA//
TyrR-Phenylalanine_pos	xylB//tdcE//purM//
TyrR-Tyrosine_neg	aroA//betB//fucO//ansB//lacZ//gatY//glgC//
TyrR-Tyrosine_pos	paaK//ada//mdh//
UhpA-Phosphorylated_pos	ackA//
XapR-xanthosine_pos	gcvT//ilvA//
XylR-Xylose_pos	amn//glgB//ubiG//
ZntR-Cd2+_pos	mhpE//
ZntR-Hg_pos	lsrK//
ZntR-Zn2+_pos	metL//
ZraR-Phosphorylated_pos	
Zur-Zn2+_neg	rutA//
