# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	cysH//yjeF//
CreB-Phosphorylated_neg	astA//
CreB-Phosphorylated_pos	ampD//dkgB//
CueR-Ag_neg	iscS//rhaB//
CueR-Ag_pos	allD//hflX//
CueR-Cu+_neg	fumB//aroA//
CueR-Cu+_pos	phnJ//napG//
CuerR-Au_neg	serC//nadC//
CuerR-Au_pos	cysM//guaA//
CusR-Pasp_pos	fumC//cynS//citG//
CynR-Cyanate_neg	
CynR-Cyanate_pos	rhaD//ubiC//tnaA//
CysB-N-acetyl-L-serine_neg	glpB//mhpA//tdh//
CysB-N-acetyl-L-serine_pos	nanM//tehB//trpA//yfeW//alkB//purE//talA//cueO//rutC//ulaE//napH//gutQ//cyaA//
CysB-O-acetyl-L-serine_neg	prmC//bioA//phnJ//
CysB-O-acetyl-L-serine_pos	paaZ//ispE//pgaD//narI//sodB//agp//fadD//pyrD//phnI//rhaD//lacA//citX//mhpB//narH//
DcuR-Phosphorylated_pos	tehB//dmsA//xdhB//idnD//
DnaA-ATP_neg	sdhD//phnG//puuC//glgB//puuC//
DnaA-ATP_pos	ansB//cysM//fumA//
DpiA-Pasp_neg	
DpiA-Pasp_pos	sdaA//paaK//napB//gatD//aceA//
DsdC-D-serine_neg	
DsdC-D-serine_pos	nrfC//ubiG//
EvgA-Phosphorylated_pos	citC//rutA//chbF//ynfH//alaA//
FNR-Fe_neg	melA//hmp//glgB//aldA//amn//torC//pyrD//astC//metF//glcE//nanE//yfdE//edd//ubiC//pyrC//cysH//napH//fau//trpD//chbF//hycB//chbF//caiB//argH//citG//cdd//tyrB//cpdB//fumB//pgk//fes//paaE//trpE//nrdA//nrfD//phnH//glcD//nanM//treC//bglB//bcsA//treC//feaB//cadA//pgpC//purL//tdcG//
FNR-Fe_pos	metL//glpA//acnB//hcp//napC//dnaE//prpD//glcF//galE//cyaA//moaD//ynfH//gcvH//aceA//glgX//mutY//astA//cheR//hcp//astB//ynfH//nanE//cynS//dnaE//fdhF//gltA//gatY//nagB//paaI//pagP//deoC//fadD//paaZ//argG//fumB//deoC//nrfA//cysJ//fucK//aroF//folA//moaD//narG//pdeF//gadB//purM//phnP//alkB//hmp//katE//rhaD//cysC//fbaA//cysI//metE//uidA//pagP//caiC//preT//cysG//ilvE//zwf//argD//glpQ//entE//nagA//araB//lysU//nanE//tnaA//allE//phnI//fucI//sdaA//nirB//aroF//rhaD//uxuB//bcsZ//amn//dnaE//torA//fadE//narI//appA//fadH//napH//gltD//lsrK//trpA//lsrK//ulaE//
FhlA-Formate_pos	araD//yqjH//ndh//ndh//fes//metC//allD//
FucR-L-fuculose-1-phosphate_pos	rutA//phnJ//yfdE//dkgB//hycC//purK//
Fur-Fe2+_neg	ilvI//entC//phnO//ilvM//purH//prpB//allC//cynS//narG//nadC//serA//fucK//ynfG//ldtB//dsdA//dsdA//katG//xdhA//folA//hycE//astA//recF//entD//slt//glpB//fadB//pck//napG//glgX//hyaB//malZ//sdhB//paaZ//nrdA//glpA//glpA//yqjH//nanK//moaD//fbaA//deoB//lsrG//xdhB//napC//prmC//ulaD//acnB//moeB//cyoE//gcvP//ubiX//glgA//galK//moaD//puuB//pgaD//tdh//gltD//bioF//
Fur-Fe2+_pos	trpD//lldD//purH//pgaB//tnaA//glcF//purC//patZ//tadA//phnM//glcF//hycE//dmsA//cdd//ssuD//alaA//ynfH//dadX//atoA//deoC//
Fur-Mn2+_neg	ubiC//purN//hyaA//udp//phnN//dsdA//tdh//gcvT//paaK//nrdD//deoD//nrdE//serC//uxuB//metH//mpl//galT//aroL//pagP//trpA//yqjH//cheB//fumB//ndh//argG//cynT//sucA//nanE//ulaD//hmp//cysH//rutB//entC//ulaF//acnA//trpC//paaE//atoA//ung//ynfH//slt//pagP//ilvG_2//citC//patZ//ampD//ybjG//xdhA//fadI//gatD//astC//nrdF//dadX//ackA//lysA//caiB//psd//aldB//cadA//
Fur-Mn2+_pos	fau//gltD//ahpF//atoA//acnA//bglB//pgaB//ascB//sucB//sucB//srlD//entC//rbsD//allD//ada//mhpA//puuC//purF//metC//talA//
GlcC-Acetate_neg	
GlcC-Acetate_pos	lpxD//pgpC//sdhD//
GlcC-Glycolate_neg	
GlcC-Glycolate_pos	entA//tdcB//uvrA//
GlrR-Pasp56_pos	
IclR-pyruvate_neg	ilvN//adhE//glgB//
IdnR-5-ketogluconate_neg	dadX//lysA//
IdnR-5-ketogluconate_pos	xdhA//prpD//pgaD//uxaA//
IdnR-Idonate_neg	puuC//iscS//
IdnR-Idonate_pos	gabD//ynfF//prpB//ilvN//
IlvY-2-acetolactate_neg	
IlvY-2-acetolactate_pos	sucB//
IlvY-Alfa-acetohydroxybutirate_neg	
IlvY-Alfa-acetohydroxybutirate_pos	ugpQ//
IscR-2Fe_neg	cheR//lacA//frdC//prpC//dapD//
IscR-2Fe_pos	ilvA//rutB//
LldR-L-lactate_neg	paaC//moeA//
LldR-L-lactate_pos	hypB//glgX//
Lrp-Leucine_neg	gapA//alaS//cynT//nanE//nadC//fabZ//mdh//paaI//mpl//metF//puuE//serA//uxaB//nrdA//fadE//aroA//ugpQ//uxaC//aceB//betA//glcD//nirB//ilvE//frdD//
Lrp-Leucine_pos	caiC//icd//malZ//galK//rutE//sucB//fadB//pdeF//aroF//aceF//bioD//fadI//trpE//narH//moaA//gadB//cysC//aspC//
LsrR_neg	caiD//uvrA//napG//aroH//galT//
MalT-ADP-Maltotriose_pos	ogt//metL//nagA//glcF//glcF//patZ//
MalT-Maltotriose-ATP_pos	puuB//alkA//sdhA//tdh//malP//mhpC//
MelR-Melibiose_neg	acs//gapA//
MelR-Melibiose_pos	aceF//rnpB//
MetJ-S-adenosylmethionine_neg	citF//lysA//dadX//moeB//gabD//pta//speB//nagB//yeaE//uxaA//
MetR-L-homocysteine_neg	glpQ//
MetR-L-homocysteine_pos	gcvP//ubiC//manA//serC//
MhpR-3-DHPP_pos	napC//fucO//narI//glpC//cyoE//gabD//
MhpR-3HPP_pos	ackA//purL//alaA//gntK//rbsD//aroA//
MntR-Cd2+_neg	hypF//
MntR-Cd2+_pos	entH//
ModE-MoO42-_neg	ynfF//fumB//bioF//ilvH//sucD//purE//melA//entD//
ModE-MoO42-_pos	mhpE//torC//ung//psd//cpdB//napC//
NarL-Phosphorylated_neg	lhgO//purF//hmp//bcsA//yqjH//yjeF//sdhB//lldD//deoB//fbaA//abgA//oxc//paaF//aceF//fadA//bcsB//gnd//dmsA//rutB//feaB//agp//uidA//carA//cysK//
NarL-Phosphorylated_pos	bioA//sdhA//paaG//aldA//glpB//pck//ansB//guaB//chbF//folE//metL//ybjG//xapA//torC//ogt//
NarP-Phosphorylated_neg	acnB//paaZ//ilvA//
NarP-Phosphorylated_pos	xylA//puuD//gatY//glcF//entA//truB//nrdA//xylA//epd//tdcD//
NhaR-Na+_pos	abgA//gabD//entD//deoD//
NikR-Cd2+_neg	yfdE//
NikR-Co2+_neg	argD//
NikR-Cu2+_neg	treC//
NikR-Ni2+_neg	sucA//
NikR-Zn2+_neg	fau//
NrdR-ATP_neg	hemL//ogt//glnA//araA//
NrdR-Zn2+_neg	gcvH//uxaB//argF//mhpE//
NrdR-dATP_neg	prmC//astC//phnH//treC//
NsrR-2Fe_neg	lysC//ilvG_2//uxaA//gltB//deoC//araB//citX//phnM//cysN//nrdE//moaA//glpA//napB//codA//metB//glcB//fucK//puuB//feaB//lysU//dkgB//pnp//malP//fadH//garR//gnd//prpC//fucU//galM//paaC//
PhoB-Phosphorylated_neg	zwf//betA//glgC//cyoE//ispE//
PhoB-Phosphorylated_pos	xdhC//fucO//rhaD//hemL//ahpF//nrfD//fucU//xapA//uxuB//mutY//metL//ldtC//puuA//ilvM//hcp//phnG//rhaB//
PhoP-Phosphorylated_neg	gatZ//fbaA//uxaC//
PhoP-Phosphorylated_pos	rhaD//ilvH//abgB//carA//puuB//ppiA//lldD//metA//glpA//ilvN//citF//idnK//allC//fadA//glgB//sucC//hmp//caiC//phnO//gltB//hycC//moaA//prpD//malP//upp//pflB//cysM//narH//mltC//glpB//ilvG_1//tnaA//purN//lpxD//
PrpR-2-methylcitrate_neg	
PrpR-2-methylcitrate_pos	puuD//galE//ahpC//fadB//
PurR-Guanine_neg	cysI//cysD//speA//chbF//dmsC//frdA//aldA//pflB//lpd//idnK//betB//kbl//caiC//nagB//pyrD//argF//tktB//hyaB//ilvN//zwf//frc//xdhB//deoD//gcvP//melA//nirD//purF//
PurR-Hypoxanthine_neg	uidA//kbaZ//sucA//napB//nanK//gcd//hemA//bcsA//hycF//sdaA//araB//fes//xdhA//hycD//garK//oxc//cheR//recF//pncB//fumA//thrS//cysH//nirB//yqjH//amn//citE//purA//
QseB-Phosphorylated_pos	
RhaR-L-rhamnose_pos	
RhaS-L-rhamnose_pos	lpxD//fucU//mhpE//
RstA-Phosphorylated_neg	aldA//trpD//
RstA-Phosphorylated_pos	mutL//
SoxR-2Fe_neg	
SoxR-2Fe_pos	glpA//glcB//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	sodA//atoD//gatY//
TrpR-Tryptophan_neg	xdhA//purA//cysK//aroL//bioC//nrdA//patZ//fadI//caiB//
TyrR-L-tryptophan_neg	paaB//eda//ackA//mhpD//gatD//galM//purA//
TyrR-L-tryptophan_pos	yfeW//glpA//cheB//
TyrR-Phenylalanine_neg	edd//puuC//glnA//narH//rutA//ubiX//mltC//
TyrR-Phenylalanine_pos	ssuD//idnD//betA//
TyrR-Tyrosine_neg	argG//pheT//fbaA//nrfC//glgB//galT//ilvI//
TyrR-Tyrosine_pos	mtlD//nagB//feaB//
UhpA-Phosphorylated_pos	rdoA//
XapR-xanthosine_pos	lpd//speB//
XylR-Xylose_pos	treC//cysH//dnaE//
ZntR-Cd2+_pos	glgX//
ZntR-Hg_pos	argG//
ZntR-Zn2+_pos	prpB//
ZraR-Phosphorylated_pos	
Zur-Zn2+_neg	acnA//
