# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	rhaD//dgcZ//
CRP-cAMP_neg	ilvH//deoC//prpE//ilvG_1//araA//epd//glyA//ldtC//amn//uidA//fabZ//paaC//gntK//sdhA//dnaE//lsrF//aroG//xapA//aldA//puuC//pflB//purF//purC//pgaD//sucC//cdd//malS//cysC//udp//mpl//metA//pflB//acnA//patZ//nrdF//napA//glgB//ldtB//dadA//galK//purB//astD//cysD//lacA//malS//xapA//carB//talA//cysJ//tyrB//citX//tehB//lsrF//abgB//astA//gabT//nrdB//pagP//citD//pck//prpB//fadB//citE//hmp//tyrB//malS//uxuA//hycB//caiB//deoD//prpC//ssuE//treC//astA//nadC//aceE//allD//ppiA//
CRP-cAMP_pos	pgaC//ulaD//metA//ssuE//ampD//cysC//alaA//umpH//adhE//waaH//fumA//araD//rbsK//hmp//metE//uvrA//paaF//astA//tdcE//nirD//glgB//cyaA//ubiG//purM//gapA//nanA//ilvN//nanM//yfbR//gnd//tdcG//ldtC//napA//paaI//purM//ansB//nanM//argD//chbF//katG//recF//narI//citC//gcvP//pgpC//frdC//ulaF//nrfB//alkB//hflX//aceF//gabD//alaS//pgpC//rhaD//talA//cynT//aroL//serC//rutE//caiB//lsrF//cysN//malZ//hyaB//puuA//garR//waaH//ilvC//allD//fbaA//lpxB//mtlD//puuB//argC//speB//tauD//bcsZ//caiA//hemL//puuC//glcE//iscS//manA//waaH//cpdB//araB//cdd//xdhA//dsdA//torA//acnB//prs//galK//aceA//xdhC//malZ//hflX//paaZ//sdhA//ynfG//fucK//aroG//idnK//puuE//pta//pyrC//hypB//gdhA//lysU//hycE//chbF//purA//hypB//gnd//nrdF//ung//puuA//fucI//sufS//sodB//ilvG_2//mutL//ftnA//tdh//phnN//abgB//ubiG//garR//gltD//betB//galM//fes//pheS//metB//sucB//cysC//argA//hflX//sufS//tdcB//phnJ//patZ//serC//uvrA//treC//metL//paaJ//citG//citE//uxaA//talA//moaA//tdh//malZ//moaE//yfbR//kbl//ispE//frdA//acs//citC//ynfH//ogt//garL//sucB//eda//hyaB//xylA//cysH//aceE//purK//nirB//aroH//katE//ilvH//pncB//argC//pck//speB//idnK//galK//dapD//uxuA//nagA//fadH//ybjG//ynfF//mdh//sucB//garK//katG//nrdF//tdcB//garL//trpB//fadA//entC//yfbR//xylB//pgk//patZ//aspC//ssuE//amn//phnL//cheB//paaK//narH//melA//ybjG//ackA//cynT//astD//atoA//citD//ilvM//gatY//aceA//pncB//sodA//tsaE//ilvG_2//xdhC//sucA//xylB//tdcG//trmD//phnJ//ubiA//rnpB//rbsK//rdoA//garL//trpE//gabD//amn//napC//glpX//cdd//rhaA//glyA//ftnA//
ChbR-Monoacetylchitobiose-6P_neg	atoB//nrdF//cdd//
ChbR-Monoacetylchitobiose-6P_pos	caiC//ubiX//mpl//
CpxR-Phosphorylated_neg	fucO//edd//sufS//
CpxR-Phosphorylated_pos	icd//paaZ//dmsB//pgpC//gadB//tam//nanE//fumC//cysH//allC//paaI//glyA//napA//dusB//moaE//galE//moeB//purC//hypF//
CreB-Phosphorylated_neg	acnB//
CreB-Phosphorylated_pos	gdhA//glpB//
CueR-Ag_neg	mutY//manA//
CueR-Ag_pos	bglB//pflB//
CueR-Cu+_neg	xdhA//malZ//
CueR-Cu+_pos	astA//fbaA//
CuerR-Au_neg	paaB//acs//
CuerR-Au_pos	garR//sodB//
CusR-Pasp_pos	phnO//tsaE//ssuE//
CynR-Cyanate_neg	
CynR-Cyanate_pos	hpt//mutY//caiA//
CysB-N-acetyl-L-serine_neg	ahpF//hyaA//recF//
CysB-N-acetyl-L-serine_pos	trpE//atoD//tyrA//rutA//moeA//nrdE//hycG//ybjG//rutC//trpE//dkgB//nirB//tdcD//
CysB-O-acetyl-L-serine_neg	fadJ//chbF//rbsK//
CysB-O-acetyl-L-serine_pos	glcE//glpX//recF//araD//mtlD//bcsA//gpmA//dsdA//cysD//dapB//bioF//lpxB//xylB//cysI//
DcuR-Phosphorylated_pos	aceB//hcp//metB//entF//
DnaA-ATP_neg	fadE//gdhA//nrdA//agp//metF//
DnaA-ATP_pos	bioD//chbG//ilvD//
DpiA-Pasp_neg	
DpiA-Pasp_pos	mhpE//lsrK//phnL//aceF//torA//
DsdC-D-serine_neg	
DsdC-D-serine_pos	tam//paaH//
EvgA-Phosphorylated_pos	gpmA//metB//dusB//trpE//malQ//
FNR-Fe_neg	caiA//hypB//purH//rutB//bglB//purC//gatZ//uxuB//moaD//garK//narH//tdcD//preT//xapA//dmsB//serA//lsrG//tnaA//hycG//gpmA//hyaC//ulaD//astA//sdaA//ascB//caiB//cysD//recF//cyoE//aroF//glcE//sodB//ackA//lacA//ampD//uxaB//cynS//phoA//pflB//gcd//gltA//codA//glcB//sdhC//lpxD//tdcD//paaF//
FNR-Fe_pos	adhE//rhaA//prpD//lsrF//rhaB//fucA//ppiA//idnO//gnd//galM//metH//cysN//lhgO//pncB//tam//lsrF//cheB//talA//tdcB//dsdA//napB//ogt//alkA//astE//nanK//fadJ//ppiA//lsrK//glpQ//ispE//gcvT//truB//purC//folA//hypB//purF//ppiA//glpC//dadA//ung//pgaC//pyrC//lsrK//aroG//lpd//bioC//dmsA//tsaE//glpB//pheT//phnM//ilvH//hycB//purD//caiB//malZ//katE//pncB//amn//metL//yqjH//yeaE//hypF//bacA//glgC//moeA//purB//gadB//pta//puuA//pyrD//nirB//glpD//gltA//feaB//talA//paaI//gabD//napA//fucO//nanA//astB//ilvG_2//atoD//idnD//galE//psd//umpH//melA//ynfE//purF//hyaA//
FhlA-Formate_pos	tnaA//cheR//frc//fucA//abgB//phnP//dsdA//
FucR-L-fuculose-1-phosphate_pos	ilvH//pck//rutB//ugpQ//psd//gapA//
Fur-Fe2+_neg	gltD//rdoA//udp//gatD//glnA//prpD//ssuE//speA//aceF//fumA//bioF//paaC//amn//aroH//argC//katG//garL//thrS//hycG//bioC//pncB//paaA//gnd//gutQ//napG//ppiA//pta//lysC//fadI//lacZ//fucU//puuB//acnA//hcp//citC//nrfC//ilvG_2//gabD//kbaZ//rutC//dadX//ubiA//ilvI//nagA//betB//pgpC//araD//glpC//galT//patZ//bcsB//folA//fucI//glcF//pgaB//bacA//chbF//srlD//nrfD//
Fur-Fe2+_pos	glpB//araB//carB//tyrB//ilvN//eda//purF//nrdB//gltB//entF//ispE//cyoE//ascB//dsdA//trpA//ilvA//glpE//cysH//citX//narH//
Fur-Mn2+_neg	sdaA//citC//gabT//tdh//gatD//aceF//garR//cysC//ulaD//astD//phnG//bioC//dmsB//serA//caiB//dnaE//nanM//cysN//sodA//ilvD//sdaA//nrfA//gltB//hemL//cheB//pgpC//nanA//hycF//glyA//trpE//ackA//atoB//dnaE//yfeW//trmD//gatD//gcvP//fbaA//atoB//nagB//miaA//lacA//ilvD//sucB//aceE//purL//bacA//ftnA//citD//aldB//pyrD//citF//glgP//trpD//aldB//hyaC//gapA//fucI//entE//
Fur-Mn2+_pos	tadA//glpX//glcF//gatD//dmsC//tam//puuC//metC//gcvP//mltC//argC//mltC//moaD//pdeF//ilvB//aceB//cyoE//ansB//nagB//pheT//
GlcC-Acetate_neg	
GlcC-Acetate_pos	paaH//malZ//glpB//
GlcC-Glycolate_neg	
GlcC-Glycolate_pos	deoA//folE//gabT//
GlrR-Pasp56_pos	
IclR-pyruvate_neg	pgaC//pheS//puuE//
IdnR-5-ketogluconate_neg	pyrD//malY//
IdnR-5-ketogluconate_pos	metF//carB//purE//speA//
IdnR-Idonate_neg	xdhA//mtlD//
IdnR-Idonate_pos	metL//glpX//entC//torC//
IlvY-2-acetolactate_neg	
IlvY-2-acetolactate_pos	ampD//
IlvY-Alfa-acetohydroxybutirate_neg	
IlvY-Alfa-acetohydroxybutirate_pos	trpE//
IscR-2Fe_neg	hycB//chbF//rnpB//yeaE//glpC//
IscR-2Fe_pos	fucI//phnG//
LldR-L-lactate_neg	tdcD//allE//
LldR-L-lactate_pos	ulaF//lysC//
Lrp-Leucine_neg	hycC//cysG//lacA//aspA//gntK//adhE//fabZ//uidA//garR//ilvD//mutL//entC//tdcD//deoD//ubiG//glpB//nrfC//sdhC//metK//metB//ilvB//ppiA//glpD//ilvA//
Lrp-Leucine_pos	argI//moaD//gatZ//uxaC//uidA//malY//bioF//mutL//hycD//nanE//gcd//glpC//lsrG//ung//tsaE//metL//pck//entC//
LsrR_neg	narG//aroA//dmsB//prpB//puuD//
MalT-ADP-Maltotriose_pos	paaK//dmsC//pgaB//fdhF//gabD//psd//
MalT-Maltotriose-ATP_pos	tadA//pheT//manA//argE//ansB//sdhC//
MelR-Melibiose_neg	galE//gabD//
MelR-Melibiose_pos	talA//puuE//
MetJ-S-adenosylmethionine_neg	idnO//bglB//phoA//nagB//fumC//trmD//rhaA//pta//lpxB//ilvN//
MetR-L-homocysteine_neg	ubiC//
MetR-L-homocysteine_pos	caiB//argF//argF//ynfH//
MhpR-3-DHPP_pos	mhpD//rutB//phnJ//carB//acnA//dgcZ//
MhpR-3HPP_pos	iscS//trpA//frc//bcsB//aroA//napG//
MntR-Cd2+_neg	ubiX//
MntR-Cd2+_pos	glpA//
ModE-MoO42-_neg	phnI//appA//ubiX//lpxD//alaA//tdcE//metC//melA//
ModE-MoO42-_pos	patZ//sucB//nrdD//alaS//ubiG//nrdE//
NarL-Phosphorylated_neg	citG//ilvC//fumB//hcp//lpxB//uxuA//bioC//lhgO//lacZ//phnM//gcvH//puuB//allD//hycF//ascB//trmD//ulaD//gcvT//cysD//caiA//lacA//idnK//astD//hycD//
NarL-Phosphorylated_pos	sodA//glcF//pyrD//galT//nrfB//cueO//lacA//nrfB//galE//gatZ//hycG//serC//fucK//ssuE//agp//
NarP-Phosphorylated_neg	kbl//manA//napG//
NarP-Phosphorylated_pos	ada//pck//deoD//tdh//narG//ilvN//atoA//paaF//lysC//pncB//
NhaR-Na+_pos	lpxA//ahpC//mhpB//gadB//
NikR-Cd2+_neg	paaA//
NikR-Co2+_neg	ldtB//
NikR-Cu2+_neg	mdh//
NikR-Ni2+_neg	glgP//
NikR-Zn2+_neg	gabT//
NrdR-ATP_neg	ung//kbaZ//icd//xapA//
NrdR-Zn2+_neg	nirD//sufS//malS//uidA//
NrdR-dATP_neg	aspC//gpmA//glpQ//mtlD//
NsrR-2Fe_neg	pncB//abgA//ldtB//napC//nrdE//hypB//bglB//aldA//fucU//pheS//nanK//chbG//ackA//ubiG//umpH//narH//entC//hflX//paaF//yfeW//truB//ldtB//aroF//prpD//dmsC//paaB//pflB//gnd//rutC//citF//
PhoB-Phosphorylated_neg	ilvB//ubiC//caiA//rutC//paaA//
PhoB-Phosphorylated_pos	narH//prpB//atoB//gutQ//deoB//phoA//pheT//purE//hycE//glpX//lysC//moaA//cysJ//fumC//phnO//metL//metL//
PhoP-Phosphorylated_neg	pyrD//prpB//paaZ//
PhoP-Phosphorylated_pos	phnI//oxc//phnG//moaE//pgaB//alkA//caiB//serA//rutA//glpX//nanM//mutL//rbsK//galM//glpE//moaE//trpB//astA//phnH//mtlD//malY//betB//sucA//uxaA//nrdD//glpK//ilvG_1//sdaA//mpl//ansB//malP//idnK//paaC//torC//
PrpR-2-methylcitrate_neg	
PrpR-2-methylcitrate_pos	glcD//tam//fucA//carB//
PurR-Guanine_neg	acnB//pncB//aroG//nrfB//prpC//garR//glyA//dadX//garR//gltA//citG//tam//yfbR//napH//rhaA//nrdD//ynfF//allD//astE//galM//sdhA//entA//lacA//sdhC//hyaB//uxaA//fucU//
PurR-Hypoxanthine_neg	psd//bcsB//ogt//cynS//guaB//paaJ//pck//nrfC//astB//metE//gcvH//metF//gcvH//phnM//hemL//aroF//frdA//prpE//tyrB//prmC//cadA//ilvG_2//carB//polA//napG//puuC//trpE//
QseB-Phosphorylated_pos	
RhaR-L-rhamnose_pos	
RhaS-L-rhamnose_pos	xdhA//pgaB//uxuA//
RstA-Phosphorylated_neg	cysK//pgaB//
RstA-Phosphorylated_pos	mhpD//
SoxR-2Fe_neg	
SoxR-2Fe_pos	gatY//hycB//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	lhgO//glpD//betA//
TrpR-Tryptophan_neg	chbG//bcsB//nanA//ubiC//ada//phnP//fadD//hemL//aldB//
TyrR-L-tryptophan_neg	rbsD//caiC//rdoA//glpA//bglB//cysH//prpE//
TyrR-L-tryptophan_pos	xdhC//atoD//fucO//
TyrR-Phenylalanine_neg	fadB//glpQ//ung//purA//cysH//xylA//guaB//
TyrR-Phenylalanine_pos	argI//garK//gdhA//
TyrR-Tyrosine_neg	sdaA//bcsB//puuA//fadE//glgX//kbaZ//paaZ//
TyrR-Tyrosine_pos	epd//dsdA//fbaA//
UhpA-Phosphorylated_pos	eda//
XapR-xanthosine_pos	zwf//nrfA//
XylR-Xylose_pos	ynfH//paaB//puuA//
ZntR-Cd2+_pos	aroL//
ZntR-Hg_pos	paaZ//
ZntR-Zn2+_pos	allE//
ZraR-Phosphorylated_pos	
Zur-Zn2+_neg	lacA//
