# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	rnpB//lpxB//
CRP-cAMP_pos	torA//oxc//lpxD//citF//malZ//malS//torA//ssuE//fumA//ybjG//citX//bioD//gpsA//lpxD//allC//moaE//gadB//hycB//cysI//fadA//polA//nrfA//tdcG//bcsZ//ascB//abgA//narH//cyoE//prpE//glgA//aceB//fdhF//cadA//tnaA//nrfC//hyaA//ackA//paaK//cysN//abgB//argA//ilvG_2//acnB//fucK//sdhA//argA//puuE//nrfC//cyaA//pncB//rbsD//malQ//nrfD//argA//betB//ybjG//hyaC//purL//katE//dapD//hycD//lysU//speB//fabZ//ilvN//purH//murQ//mutY//bcsA//bioD//hflX//glpC//uxaA//hcp//entE//aspC//cysG//tyrA//entD//gntK//cysJ//argF//bioC//glpK//fdhF//pta//caiB//ilvG_1//glgC//cheB//glcE//aspC//moaE//purB//aceB//fadI//fabZ//lpxD//araD//moaA//gntK//cpdB//araA//lysC//ackA//pgaD//ada//lpxD//umpH//katG//caiD//dusB//fadI//agp//paaA//puuE//purH//ilvI//abgA//napG//ulaD//napC//allC//cysI//bglB//appA//citD//sdaA//ispE//hemA//trpD//lsrK//cysI//ulaF//manA//gcvH//fadA//rbsK//slt//purH//glpA//metB//ilvG_1//astB//purM//gutQ//guaB//cueO//glpE//feaB//rutA//hycE//sucD//ansB//entF//gnd//aceB//tyrB//aroA//hypB//cysN//uxaB//bioF//hycC//chbF//purN//paaC//glpX//preA//preA//ilvM//deoA//ulaE//pheT//gcd//ilvI//pncB//astE//ilvG_1//entH//allC//sodA//betA//gcvH//cpdB//moeB//prpB//trpA//nanA//rutE//fadD//yfbR//tyrB//nrfA//citC//miaA//dkgB//cadA//pheT//entB//codA//metH//hyaC//bioB//xdhB//nirB//kbaZ//phnJ//metC//araA//epd//zwf//fadJ//moaA//udp//nanE//hypF//fadA//glgC//araD//puuD//nadC//garL//murQ//idnD//tdcG//dsdA//tadA//hyaB//garR//frdC//gnd//glgC//uxuB//fdhF//cynS//talA//ilvB//caiA//nagA//speB//prpD//deoA//
ChbR-Monoacetylchitobiose-6P_neg	alaS//trpB//ulaF//
ChbR-Monoacetylchitobiose-6P_pos	malQ//recF//ackA//
CpxR-Phosphorylated_neg	alkB//idnO//icd//
CpxR-Phosphorylated_pos	hyaA//katE//fucK//cysK//aldA//pgaC//nrdF//amn//paaH//xylA//speB//fadJ//caiD//moaD//ynfG//talA//entC//yfdE//ynfG//
CreB-Phosphorylated_neg	lacZ//
CreB-Phosphorylated_pos	phnL//recF//
CueR-Ag_neg	polA//gntK//
CueR-Ag_pos	bioC//xdhA//
CueR-Cu+_neg	citX//allE//
CueR-Cu+_pos	gntK//purD//
CuerR-Au_neg	aceF//fumB//
CuerR-Au_pos	dadX//argC//
CusR-Pasp_pos	betB//cysD//aroG//
CynR-Cyanate_neg	
CynR-Cyanate_pos	carA//fau//cdd//
CysB-N-acetyl-L-serine_neg	lpxD//glnA//frdA//
CysB-N-acetyl-L-serine_pos	ndh//sdaA//gltA//cheB//hycE//glgB//sdhA//ubiC//trmD//glpC//citF//tehB//tam//
CysB-O-acetyl-L-serine_neg	mhpC//phnO//fadB//
CysB-O-acetyl-L-serine_pos	gapA//purD//guaA//dgcZ//ilvN//ndh//fadB//mpl//bioC//paaK//frdB//bglB//glpC//galE//
DcuR-Phosphorylated_pos	gatD//phnG//trpA//tam//
DnaA-ATP_neg	ilvI//trmD//dsdA//entB//srlD//
DnaA-ATP_pos	ansB//metK//nrdA//
DpiA-Pasp_neg	
DpiA-Pasp_pos	astB//cysI//hypF//hycE//hyaC//
DsdC-D-serine_neg	
DsdC-D-serine_pos	dnaE//fumB//
EvgA-Phosphorylated_pos	aroL//citE//ulaD//cysG//citD//
FNR-Fe_neg	entE//ubiX//frc//acs//cysJ//glgX//ilvG_2//acs//pgk//fadH//puuD//caiC//moeB//argH//atoA//ilvE//avtA//betB//tam//citF//rutA//ada//hyaA//purN//moeA//gltD//glpQ//uxuA//paaG//idnK//gcvH//entC//garK//srlD//gapA//idnO//lldD//lsrF//mtlD//pheS//napB//carB//citD//purF//ackA//argF//paaI//
FNR-Fe_pos	araA//fau//paaC//mltC//galT//trpB//pyrC//paaH//galE//ilvE//caiD//purB//nagB//glpQ//ansB//ulaD//ybjG//citF//astC//pflB//rutD//ssuD//nrdA//lacA//cysI//deoB//lsrG//napA//tktB//metK//mutL//glyA//aroF//kbaZ//rutE//ldtB//gutQ//argH//glcE//pgaD//nanM//pgaC//lsrK//moaD//cysM//adhE//hpt//gnd//araD//mhpF//aceA//glpQ//nrdE//mtlD//ampD//speB//purC//galT//yqjH//atoB//dapB//puuD//eda//aroL//nadC//fau//folE//lsrF//epd//sodB//manA//cyoE//citG//oxc//lacA//bioC//dkgB//ubiX//hycG//glpC//rhaA//upp//citF//nrfD//glgB//mtlD//dmsC//purN//nadC//ubiC//fucO//lpxB//
FhlA-Formate_pos	mhpC//bioA//purM//fbaA//umpH//lacA//glpA//
FucR-L-fuculose-1-phosphate_pos	moeB//codA//caiB//purL//glpD//galK//
Fur-Fe2+_neg	carB//fadD//frc//guaA//pta//hemA//glpA//dmsA//allC//idnK//sdhD//fadI//lsrF//mdh//lysU//frc//bioC//nanK//fau//rutB//torC//lacZ//speA//argC//pgaB//truB//aroG//fucI//caiA//trpA//rbsD//ubiX//allC//gapA//moeA//purL//guaB//miaA//nrdF//hyaA//moaA//yfbR//rnpB//tam//entE//hycE//phnJ//nrdB//ascB//argB//gltA//rbsD//glpB//ynfE//garR//icd//ampD//icd//gadB//
Fur-Fe2+_pos	hyaC//fucA//puuD//cysM//glyA//rhaA//ynfF//ada//abgA//narI//mhpE//uxuB//fucU//ada//astE//atoA//ppiA//adhE//cysK//glnA//
Fur-Mn2+_neg	serC//aroF//xapA//hemA//glpQ//sodB//nanE//sufS//ilvM//idnO//ilvG_2//serA//gcvT//speC//fau//galE//purM//cynS//lacZ//fau//entE//udp//uxaA//dapD//ulaE//allE//deoD//trpE//argF//lpxD//purM//paaK//ppiA//cysD//cueO//cysG//araA//tdcD//ilvG_2//metL//fadH//edd//fdhF//entA//trpD//purL//dmsB//purF//tadA//amn//garR//pgpC//rhaB//entA//deoD//aroL//trpE//mutY//garL//
Fur-Mn2+_pos	uxaA//malZ//trpD//mhpB//ispE//xdhA//betA//thrS//ubiG//sdaA//bcsB//astA//pheT//sucA//hemA//phoA//aroL//ubiC//frc//bioB//
GlcC-Acetate_neg	
GlcC-Acetate_pos	slt//fumA//garL//
GlcC-Glycolate_neg	
GlcC-Glycolate_pos	ispE//malQ//nrfA//
GlrR-Pasp56_pos	
IclR-pyruvate_neg	narI//xdhA//pheS//
IdnR-5-ketogluconate_neg	lpxD//cysI//
IdnR-5-ketogluconate_pos	lpxA//cysG//lsrF//pgk//
IdnR-Idonate_neg	phoA//cysC//
IdnR-Idonate_pos	cysH//tnaA//malY//ybjG//
IlvY-2-acetolactate_neg	
IlvY-2-acetolactate_pos	frdA//
IlvY-Alfa-acetohydroxybutirate_neg	
IlvY-Alfa-acetohydroxybutirate_pos	aroA//
IscR-2Fe_neg	sufS//argG//hycE//yqjH//nirB//
IscR-2Fe_pos	frc//argH//
LldR-L-lactate_neg	deoD//mdh//
LldR-L-lactate_pos	metH//alkB//
Lrp-Leucine_neg	nrdE//tnaA//sucB//gcvP//edd//purL//nrdF//pdeF//nrdF//phnI//ugpQ//chbF//rhaD//hycG//ispE//fdhF//alaS//glcD//psd//sdhA//mhpE//idnO//bglB//pgaD//
Lrp-Leucine_pos	rutE//alkA//cysN//dmsB//hflX//abgA//nrdE//moeB//sufS//trpC//gdhA//ilvM//aceA//phnJ//fadH//malQ//hycC//recF//
LsrR_neg	aldA//puuE//serA//yeaE//idnD//
MalT-ADP-Maltotriose_pos	pnp//cysG//dmsC//pta//uxuB//guaB//
MalT-Maltotriose-ATP_pos	xylB//kbaZ//gcvP//cysC//phnL//rnpB//
MelR-Melibiose_neg	citD//argE//
MelR-Melibiose_pos	lsrG//atoD//
MetJ-S-adenosylmethionine_neg	allC//hyaB//garK//frdB//nirD//cdd//lysC//tdcB//edd//phnP//
MetR-L-homocysteine_neg	deoB//
MetR-L-homocysteine_pos	tdcE//lysA//nagB//atoD//
MhpR-3-DHPP_pos	nirD//caiA//metL//fadH//aroA//ynfG//
MhpR-3HPP_pos	bcsB//fadA//tyrA//rutC//uxaB//malY//
MntR-Cd2+_neg	lpxD//
MntR-Cd2+_pos	sucB//
ModE-MoO42-_neg	pck//glpA//sodB//cueO//rutC//rutD//malP//gltD//
ModE-MoO42-_pos	pheS//pheT//phnP//glpB//bioF//glgC//
NarL-Phosphorylated_neg	purA//katG//rutB//lpxB//mhpF//speC//prs//aceA//phnP//purD//xdhA//aroF//garL//phnO//serA//phnI//puuB//trpE//phnH//dapD//sdhC//paaH//hypB//cysJ//
NarL-Phosphorylated_pos	serC//sdhB//icd//chbG//betA//frdC//fumC//bioF//cheB//napA//gcd//ilvD//pgaC//fucI//folE//
NarP-Phosphorylated_neg	purF//melA//gpmA//
NarP-Phosphorylated_pos	tehB//nagB//astE//metB//purK//ilvE//aspC//lacA//argF//allD//
NhaR-Na+_pos	cysM//pflB//hcp//entE//
NikR-Cd2+_neg	phnH//
NikR-Co2+_neg	moaA//
NikR-Cu2+_neg	xdhC//
NikR-Ni2+_neg	dnaE//
NikR-Zn2+_neg	cheB//
NrdR-ATP_neg	bcsA//hypB//tnaA//glpE//
NrdR-Zn2+_neg	purD//cheR//gcvP//nanE//
NrdR-dATP_neg	ynfF//paaB//ubiC//purH//
NsrR-2Fe_neg	glpK//ackA//cpdB//talA//sodA//dmsB//folA//tnaA//betB//ung//yfdE//ubiG//folA//katE//uxaA//narI//phnM//ogt//dapB//katG//moeB//dapD//purM//glcE//entE//gltA//ascB//citD//acs//bacA//
PhoB-Phosphorylated_neg	pta//miaA//paaA//prpE//gabT//
PhoB-Phosphorylated_pos	moeB//deoA//ubiG//sdhC//recF//ubiG//nanM//paaF//moaD//phnH//icd//prpC//phnJ//pdeF//malP//yfeW//gabD//
PhoP-Phosphorylated_neg	phnJ//napH//narH//
PhoP-Phosphorylated_pos	nrfB//tktB//fdhF//rutC//manA//nrdB//pflB//galE//aspA//alaS//cysK//tnaA//dusB//adhE//citD//serC//moaA//cueO//acnA//xdhC//truB//lysA//yfbR//fadH//xylA//carB//cynS//nanK//tdcG//cysI//bioF//paaI//rhaA//entE//
PrpR-2-methylcitrate_neg	
PrpR-2-methylcitrate_pos	cysD//entC//betA//hyaB//
PurR-Guanine_neg	rhaA//caiD//rutB//frdB//gatZ//metE//rbsD//ilvM//oxc//codA//uxuA//guaB//entF//lsrF//gcd//mhpA//xylA//glcF//fes//ssuE//fadA//aspA//metL//cueO//ulaE//ung//astA//
PurR-Hypoxanthine_neg	entF//abgB//prpE//xylB//rhaB//prpB//paaJ//nagA//deoA//hemL//metA//purD//tehB//sdhB//purD//fau//pncB//cysG//frc//icd//xdhA//phnG//ftnA//epd//caiD//puuE//nanA//
QseB-Phosphorylated_pos	
RhaR-L-rhamnose_pos	
RhaS-L-rhamnose_pos	ulaF//tehB//cysK//
RstA-Phosphorylated_neg	ilvC//ada//
RstA-Phosphorylated_pos	galE//
SoxR-2Fe_neg	
SoxR-2Fe_pos	glgC//hflX//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	bioF//glgB//guaA//
TrpR-Tryptophan_neg	frdD//citF//paaI//ilvB//manA//lpxB//ybjG//ssuD//ung//
TyrR-L-tryptophan_neg	cysI//cheB//gpmA//citD//pncB//entA//speC//
TyrR-L-tryptophan_pos	alaS//puuC//glpX//
TyrR-Phenylalanine_neg	puuC//serA//ackA//gcvT//citD//phnJ//uidA//
TyrR-Phenylalanine_pos	mutL//sdhC//fabZ//
TyrR-Tyrosine_neg	fes//ppiA//entB//aroF//sdhA//dsdA//lhgO//
TyrR-Tyrosine_pos	chbF//rhaA//ynfF//
UhpA-Phosphorylated_pos	truB//
XapR-xanthosine_pos	deoB//citC//
XylR-Xylose_pos	bcsB//hycF//mltC//
ZntR-Cd2+_pos	entF//
ZntR-Hg_pos	lhgO//
ZntR-Zn2+_pos	citD//
ZraR-Phosphorylated_pos	
Zur-Zn2+_neg	hyaC//
