# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	dmsC//ada//
SoxR-2Fe_pos	dmsA//rutC//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	serC//hypB//phnH//
TrpR-Tryptophan_neg	pflB//xylA//puuD//deoA//lysC//rutA//tehB//metH//citG//
TyrR-L-tryptophan_neg	malQ//argG//glpX//gcvH//puuA//nagA//bioB//
TyrR-L-tryptophan_pos	ulaE//metC//nrdF//
TyrR-Phenylalanine_neg	pheT//atoA//pyrC//garR//tdcE//thrS//gdhA//
TyrR-Phenylalanine_pos	uxuB//acnB//ubiG//
TyrR-Tyrosine_neg	aroA//nirB//ilvH//gabD//sdhB//frc//ynfF//
TyrR-Tyrosine_pos	truB//cadA//glpD//
UhpA-Phosphorylated_pos	napA//
XapR-xanthosine_pos	ilvN//acs//
XylR-Xylose_pos	cyaA//sucC//frdB//
ZntR-Cd2+_pos	cheB//
ZntR-Hg_pos	phnL//
ZntR-Zn2+_pos	fadE//
ZraR-Phosphorylated_pos	
Zur-Zn2+_neg	sdhB//
