# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	glgA//xapA//
CRP-cAMP_pos	moaD//araA//uxaC//rbsK//lldD//cadA//cueO//fadJ//kbl//malY//torC//pyrC//ilvA//hcp//glpD//yfeW//dapB//pgaD//frdB//cysG//lysA//trpD//abgA//gpsA//entF//slt//cynS//gpmA//rutC//lsrF//araB//fadH//gcd//atoB//napB//caiD//nrdA//ung//napB//aceB//dmsC//purM//ilvM//hypF//cysH//rutB//lpxB//hypF//puuC//pta//citX//zwf//bioC//nrfD//kbl//paaF//aldA//trpD//rutC//purE//nirB//miaA//deoD//gntK//cysM//hypB//dapB//torA//caiA//guaB//hcp//mtlD//serA//glcD//metF//cyoE//glpK//cysN//deoA//truB//yfdE//nanM//malZ//tyrA//upp//xdhC//fadJ//sucB//mhpF//paaJ//citC//sdhD//argC//argG//hyaA//codA//alkB//epd//acs//rbsK//aroF//rutA//yqjH//napG//caiD//acnA//uxuB//purL//murQ//melA//malS//dmsA//frdD//ubiC//ampD//tdcB//amn//allE//rbsD//hemL//purA//gatY//garK//metC//glcD//trpB//ilvE//fadA//entC//cysM//malQ//glpB//pck//narH//malS//pagP//hycE//gcvT//argE//ogt//prpD//miaA//dsdA//uvrA//bioD//galK//purA//fucO//gltA//prpC//ubiX//cysG//upp//ulaF//mhpA//metF//dusB//acnB//argF//entH//prmC//malZ//argC//mtlD//nrdF//puuC//ilvG_1//rutC//nrfB//polA//gdhA//sdaA//hpt//ssuE//alaA//nanM//dadX//bioA//deoD//tdcG//glgA//purF//folA//paaB//frdD//glpA//eda//frdD//nrdB//pflB//ndh//bcsB//yqjH//garR//nrdE//nrfD//purN//napC//pgaB//lsrG//ampD//argD//ybjG//pflB//argB//caiD//cysD//ilvI//puuE//hcp//paaH//ansB//malS//hycF//prpD//serC//uidA//argG//paaA//araA//gltA//pgpC//ilvH//tdcD//hyaA//lpd//nadC//mpl//pgaB//ndh//aceB//edd//prpE//purA//trmD//phnJ//glgA//caiB//cyaA//aroG//zwf//allE//gltD//
ChbR-Monoacetylchitobiose-6P_neg	trpC//argI//argI//
ChbR-Monoacetylchitobiose-6P_pos	hflX//purF//cheB//
CpxR-Phosphorylated_neg	uidA//nrdB//pgaB//
CpxR-Phosphorylated_pos	moeB//dmsB//gdhA//phnM//hyaC//garL//hycF//nrfA//prpE//nanE//nanA//amn//lysU//phnG//gpsA//uidA//ulaF//truB//zwf//
CreB-Phosphorylated_neg	uxuB//
CreB-Phosphorylated_pos	pheS//pflB//
CueR-Ag_neg	atoB//trpD//
CueR-Ag_pos	acs//dapD//
CueR-Cu+_neg	garK//alaA//
CueR-Cu+_pos	mpl//nrdD//
CuerR-Au_neg	bacA//guaB//
CuerR-Au_pos	aroH//hycG//
CusR-Pasp_pos	phnM//torA//hycC//
CynR-Cyanate_neg	
CynR-Cyanate_pos	lldD//gnd//narG//
CysB-N-acetyl-L-serine_neg	mtlD//fdhF//sdhB//
CysB-N-acetyl-L-serine_pos	garL//metH//uxuB//lysU//xylB//glpA//purB//argE//trpC//entE//manA//mhpE//guaB//
CysB-O-acetyl-L-serine_neg	mhpC//purE//astD//
CysB-O-acetyl-L-serine_pos	cysD//gatZ//fes//dadA//lysC//metH//agp//glcE//galT//prpC//fdhF//moaD//caiC//gutQ//
DcuR-Phosphorylated_pos	gatZ//iscS//glcE//gatD//
DnaA-ATP_neg	ssuD//ampD//trpB//eda//sdhC//
DnaA-ATP_pos	cynS//lpxD//bioD//
DpiA-Pasp_neg	
DpiA-Pasp_pos	paaG//citC//purM//xapA//abgB//
DsdC-D-serine_neg	
DsdC-D-serine_pos	torC//entC//
EvgA-Phosphorylated_pos	speB//paaK//ssuD//zwf//sucD//
FNR-Fe_neg	aroF//prpE//alkA//allC//bioB//hpt//codA//glyA//paaJ//fucU//fadA//ilvD//phnL//yfbR//speA//nagB//iscS//glcF//napG//glpC//entB//ynfH//lldD//glpX//caiD//allC//manA//napH//garL//cadA//pgaD//cysH//metH//aldA//paaG//gatZ//sdaA//citG//dsdA//cdd//alaA//carA//glpQ//betB//paaI//phnM//rutE//
FNR-Fe_pos	ftnA//sdhB//lacA//deoB//tyrA//hflX//deoD//entD//bioB//avtA//glpA//astE//guaA//xdhA//fadA//dsdA//kbaZ//dapB//cynT//ilvE//slt//lhgO//srlD//appA//iscS//hyaA//phnH//atoA//hycE//uxuA//slt//metK//citX//citD//ada//aspC//fadJ//udp//glgC//pncB//fadB//nrfD//metE//guaA//ynfG//rutE//pheS//yfbR//xdhA//ilvC//sdhC//argA//psd//mltC//garR//uxaC//mhpB//idnO//trpB//hycC//nagA//prs//metK//araB//cysH//idnO//rbsD//truB//cheB//fadH//glpX//tadA//paaG//argD//metK//glpC//paaB//cysN//cueO//sucB//paaB//sucD//garR//preT//trmD//moeA//sucD//araB//uxuB//ung//trmD//pagP//
FhlA-Formate_pos	nrfA//codA//cysN//acnA//argH//paaF//tnaA//
FucR-L-fuculose-1-phosphate_pos	ampD//paaF//dadX//ssuE//fucA//uxuB//
Fur-Fe2+_neg	ulaE//entB//lysC//purN//frdC//acnA//moaD//paaB//ilvH//entH//sucA//xdhB//avtA//nanK//patZ//ahpC//nirB//galM//aspA//gltA//fadH//cysI//appA//phnL//garL//frc//sodA//guaA//betB//purC//xapA//oxc//glgC//dsdA//speC//sucC//gcd//cysK//napA//mltC//srlD//acnA//ssuE//metC//pgk//nrdE//entB//ahpF//rutC//oxc//nrdF//nrdD//ubiA//pflB//folE//nanK//gabT//gltD//rhaD//
Fur-Fe2+_pos	glcD//nirD//sucC//lysC//ssuE//ilvM//eda//ampD//treC//cyoE//sucC//deoA//nirB//srlD//moaD//glgP//puuB//nrfB//argE//tktB//
Fur-Mn2+_neg	ilvB//gutQ//lysC//tyrB//galT//hypF//cysH//waaH//malP//nanK//dmsC//nrfC//katG//chbG//puuD//pnp//polA//ispE//napA//bcsB//araB//narG//iscS//acnA//pncB//mhpB//sdhD//purD//betB//sucD//dapB//sucC//araB//tyrA//caiD//paaH//dkgB//aldA//nrfD//manA//dsdA//hemL//argH//entC//phnN//pheT//dgcZ//paaE//rhaD//ilvN//hpt//gpsA//fumC//preA//cheB//caiB//ilvD//phnI//metF//
Fur-Mn2+_pos	glgA//trpE//dapD//ubiX//allE//prpB//tdh//uxaB//alkB//purF//frdD//prpD//malP//sucB//gabT//uxaC//ynfF//aroL//hmp//metK//
GlcC-Acetate_neg	
GlcC-Acetate_pos	xapA//hycB//entC//
GlcC-Glycolate_neg	
GlcC-Glycolate_pos	ilvA//glcB//tam//
GlrR-Pasp56_pos	
IclR-pyruvate_neg	dapB//rdoA//cysK//
IdnR-5-ketogluconate_neg	fadH//nrfB//
IdnR-5-ketogluconate_pos	frdB//atoD//ulaD//fumC//
IdnR-Idonate_neg	nrdE//yfbR//
IdnR-Idonate_pos	ybjG//epd//nrfB//pgaB//
IlvY-2-acetolactate_neg	
IlvY-2-acetolactate_pos	uxuB//
IlvY-Alfa-acetohydroxybutirate_neg	
IlvY-Alfa-acetohydroxybutirate_pos	idnK//
IscR-2Fe_neg	lpxD//lsrF//paaK//trpC//fucU//
IscR-2Fe_pos	alkA//bioC//
LldR-L-lactate_neg	glcB//tadA//
LldR-L-lactate_pos	argG//ssuE//
Lrp-Leucine_neg	gatY//trpA//cynS//speA//ilvN//sucA//yfbR//ldtC//rutE//hycB//aceB//dadA//frdD//metH//hemL//yfeW//yfbR//fadI//pheT//xdhB//phnP//pheS//frc//purF//
Lrp-Leucine_pos	entE//bcsA//lpxB//ubiA//preT//ansB//rhaD//prmC//rdoA//phnG//alaA//fadH//metC//pgpC//galT//kbl//malZ//metE//
LsrR_neg	sodB//entA//citF//betB//serC//
MalT-ADP-Maltotriose_pos	fbaA//garL//malQ//paaG//feaB//agp//
MalT-Maltotriose-ATP_pos	gpsA//manA//epd//yqjH//garR//mltC//
MelR-Melibiose_neg	puuB//avtA//
MelR-Melibiose_pos	pgk//dadX//
MetJ-S-adenosylmethionine_neg	fucU//malY//ynfG//ftnA//glcB//nanM//dmsA//gutQ//araB//rdoA//
MetR-L-homocysteine_neg	ynfG//
MetR-L-homocysteine_pos	ssuD//ilvE//sucA//prpC//
MhpR-3-DHPP_pos	araA//deoB//paaF//mutY//ilvD//purE//
MhpR-3HPP_pos	gutQ//glpA//fadE//garK//nanK//chbG//
MntR-Cd2+_neg	fadI//
MntR-Cd2+_pos	tehB//
ModE-MoO42-_neg	idnK//mhpC//ampD//cheB//rutE//hyaA//ubiA//deoA//
ModE-MoO42-_pos	acs//phnP//bcsA//fes//argH//lsrG//
NarL-Phosphorylated_neg	gpmA//hycG//hycD//pgaB//epd//torA//cysI//fadH//napC//glpB//frdD//tdcG//lhgO//fdhF//idnK//glgC//adhE//deoD//ahpC//lacZ//nrdF//dnaE//dnaE//moaE//
NarL-Phosphorylated_pos	uxaB//paaF//caiC//ilvH//ynfG//yfbR//fau//pgaC//waaH//glgB//abgB//purH//ynfH//glgP//yjeF//
NarP-Phosphorylated_neg	araA//garL//gnd//
NarP-Phosphorylated_pos	aldA//fadB//speB//abgA//rbsD//fucU//astC//fes//cysD//gatY//
NhaR-Na+_pos	ahpF//paaG//miaA//tyrA//
NikR-Cd2+_neg	cysG//
NikR-Co2+_neg	astA//
NikR-Cu2+_neg	serC//
NikR-Ni2+_neg	paaG//
NikR-Zn2+_neg	lysC//
NrdR-ATP_neg	acs//cueO//garR//glcB//
NrdR-Zn2+_neg	aldA//fau//sdhD//purH//
NrdR-dATP_neg	fumC//mltC//mdh//rutD//
NsrR-2Fe_neg	prpE//galE//appA//purB//uxuA//appA//entA//fbaA//purF//dmsC//frdD//glcD//glcD//paaB//xapA//tnaA//trpC//bioA//gatZ//nanK//hpt//glgP//nanE//hycD//purM//tdcD//abgB//glgA//prmC//sucC//
PhoB-Phosphorylated_neg	tsaE//hyaC//gltB//napC//talA//
PhoB-Phosphorylated_pos	astE//hemL//recF//sdaA//abgB//moeB//tyrB//kbl//ilvE//uidA//hpt//nirB//ubiA//nrfC//dadX//rutE//idnD//
PhoP-Phosphorylated_neg	amn//cadA//tyrB//
PhoP-Phosphorylated_pos	argC//ldtC//bioF//garR//hycB//yfdE//caiB//caiA//cheB//nrfA//mhpC//galK//tyrA//upp//yjeF//paaA//prpC//atoD//narI//deoA//citC//cyaA//purC//cysJ//dmsB//cdd//sodA//ulaE//ubiC//trmD//dusB//gcvH//nrdF//edd//
PrpR-2-methylcitrate_neg	
PrpR-2-methylcitrate_pos	nirB//purH//lysU//entD//
PurR-Guanine_neg	ynfH//uxuB//xapA//lpxB//nagB//gltB//purH//glcF//prmC//allC//ssuE//gatZ//citD//ugpQ//nagA//nrdD//aroL//tnaA//frdD//mhpE//paaK//gltA//guaB//hemL//bcsA//hyaA//paaF//
PurR-Hypoxanthine_neg	astC//trpA//cysH//nanE//lacA//purK//malS//ubiC//preA//nrdB//pagP//paaK//yfbR//gutQ//murQ//bcsA//argI//folE//napA//phnL//aroF//xylA//lacZ//allD//yfeW//truB//nrfD//
QseB-Phosphorylated_pos	
RhaR-L-rhamnose_pos	
RhaS-L-rhamnose_pos	nirD//codA//nirB//
RstA-Phosphorylated_neg	lysC//malQ//
RstA-Phosphorylated_pos	citF//
SoxR-2Fe_neg	
SoxR-2Fe_pos	dmsA//moeA//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	srlD//uxuB//hmp//
TrpR-Tryptophan_neg	hflX//epd//sucC//cheB//hypF//dusB//treC//katE//fadE//
TyrR-L-tryptophan_neg	fadJ//serC//aroF//idnK//pyrC//frdA//yfbR//
TyrR-L-tryptophan_pos	dadA//glyA//idnO//
TyrR-Phenylalanine_neg	paaH//recF//metE//gcd//purK//rhaA//hyaB//
TyrR-Phenylalanine_pos	katG//cysK//rhaD//
TyrR-Tyrosine_neg	galK//rutB//ssuD//bcsZ//paaG//sdaA//lysU//
TyrR-Tyrosine_pos	ogt//serA//lpxD//
UhpA-Phosphorylated_pos	thrS//
XapR-xanthosine_pos	dadA//nirB//
XylR-Xylose_pos	frc//ampD//nrfD//
ZntR-Cd2+_pos	gltB//
ZntR-Hg_pos	chbF//
ZntR-Zn2+_pos	moaE//
ZraR-Phosphorylated_pos	
Zur-Zn2+_neg	aspA//
