# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	pnp//pheS//
CRP-cAMP_pos	fucO//metK//sucC//nrdD//sdaA//appA//ulaF//sucC//ispE//paaF//paaA//dusB//psd//cysH//waaH//aroL//bacA//cysI//nrdE//ilvN//trpB//rbsK//yjeF//dapB//torC//uxuA//moaD//cheR//gntK//cpdB//ubiA//glgP//cynS//argH//phnM//bglB//frdD//argC//sucB//araB//hyaC//xylA//citE//nrdE//mhpF//phoA//glgA//phnM//trpC//gatD//phnO//aroG//hflX//frdD//purH//glgB//serC//amn//hemA//metB//nrdE//gpsA//speA//purL//recF//uxaA//moaD//avtA//alaS//gltD//pnp//kbl//gcvH//dadA//deoD//citX//mtlD//deoA//astE//dapB//paaH//prpD//chbF//trpD//abgA//preA//purE//narI//patZ//glpB//nrfD//moeB//ahpF//dadA//speA//preA//katG//galK//hpt//speC//ilvD//paaZ//aroG//fadE//cysI//astD//fucO//lysU//lpxB//moaD//glnA//frc//deoD//fadB//napC//sdhD//ftnA//ogt//yqjH//astC//hycB//deoA//ubiA//galM//frdD//recF//gcvH//moaD//hycE//cysJ//alaA//purC//fadD//rbsK//ilvB//rnpB//lpxD//glpD//umpH//appA//betA//deoB//argD//puuC//pck//purF//sucA//serC//frc//betA//purA//pheS//ubiX//cysD//aspA//serC//cpdB//bcsB//uxaB//yeaE//moaE//glpK//rutD//cysK//hypB//rutC//astB//katG//paaB//phnN//xdhB//aldA//atoB//deoC//ynfG//sucD//trpB//nrdF//citD//mhpB//cyoE//argG//phnN//glgA//fumC//carB//hycG//nirB//bcsA//tnaA//aldA//cysG//gcvT//dadX//atoB//rutE//purD//garK//gpsA//glnA//glpQ//tyrA//metE//betB//ackA//gapA//kbaZ//fumA//caiB//dnaE//ulaF//cysD//nrdF//gltA//hemA//appA//puuC//ilvA//purD//fucK//uxuA//speB//mpl//lysC//rhaB//argA//phnM//bglB//deoB//xylA//fadE//speC//pgk//garR//phnG//nrfB//phnJ//puuE//ynfH//preT//argE//cadA//pgk//
ChbR-Monoacetylchitobiose-6P_neg	aceE//treC//gdhA//
ChbR-Monoacetylchitobiose-6P_pos	garL//malY//hycB//
CpxR-Phosphorylated_neg	dmsB//paaC//fadE//
CpxR-Phosphorylated_pos	gatD//gltA//slt//glpK//nrfB//frc//avtA//entC//katG//tehB//appA//tam//cysK//preA//atoD//abgA//bcsA//purM//xdhC//
CreB-Phosphorylated_neg	trpA//
CreB-Phosphorylated_pos	ilvG_2//ilvG_1//
CueR-Ag_neg	napB//entD//
CueR-Ag_pos	lpxA//atoA//
CueR-Cu+_neg	carA//xdhB//
CueR-Cu+_pos	paaB//rbsK//
CuerR-Au_neg	iscS//ynfG//
CuerR-Au_pos	lpxB//nrfB//
CusR-Pasp_pos	betB//glcE//rutC//
CynR-Cyanate_neg	
CynR-Cyanate_pos	ubiX//nrfD//galK//
CysB-N-acetyl-L-serine_neg	lhgO//lpxA//cysK//
CysB-N-acetyl-L-serine_pos	moaA//pgk//slt//deoA//nagA//fucO//gntK//dmsB//fadE//aroL//tdcD//nrdE//fucU//
CysB-O-acetyl-L-serine_neg	nanK//rdoA//argA//
CysB-O-acetyl-L-serine_pos	mutY//betA//torC//astC//betB//caiD//lsrF//allD//eda//tyrB//metE//napC//lysU//caiA//
DcuR-Phosphorylated_pos	ndh//napC//paaC//tktB//
DnaA-ATP_neg	glyA//gatD//agp//pncB//narG//
DnaA-ATP_pos	gcd//argB//pyrC//
DpiA-Pasp_neg	
DpiA-Pasp_pos	nrdA//gdhA//bioF//hycE//ulaD//
DsdC-D-serine_neg	
DsdC-D-serine_pos	deoA//cysM//
EvgA-Phosphorylated_pos	gcd//pflB//nrdF//ilvI//cysI//
FNR-Fe_neg	trpB//napA//codA//ilvD//adhE//cheB//phnN//glpE//rhaD//phnL//ilvA//gcvT//lpxD//ilvI//adhE//glcF//acnA//moeB//ascB//prpE//entD//oxc//rnpB//betA//tadA//fadH//xylA//nadC//bcsB//rbsK//ynfG//gadB//mpl//katG//gatZ//entD//idnO//mhpB//fes//uxaB//ilvB//puuE//nanA//idnD//lysU//icd//pgpC//
FNR-Fe_pos	tam//lsrK//gcvT//metB//nanE//nrdB//rbsD//dapB//entB//hyaB//ynfH//rbsK//rhaB//betB//rutB//nirD//garK//lysU//citC//glcB//nanK//aldB//puuA//folA//entH//cadA//aroF//gcvH//paaB//sdaA//glpE//prs//ansB//sodA//cyoE//metK//folA//gabD//ynfF//paaG//fucK//sucC//phnH//codA//yfdE//yeaE//aceB//mhpC//galK//folE//bioC//fadA//phnM//sucC//nanM//sufS//gabT//nrfD//glcD//purB//acs//nagA//ada//bioD//fadB//frdB//paaF//purM//nirB//tdh//nrdF//mltC//argE//rutB//upp//metL//serC//hycF//fadB//moaD//phnP//gatY//metH//fucU//dmsB//hemL//phnM//lacA//lacZ//fau//bcsZ//mutL//
FhlA-Formate_pos	dusB//tyrB//phnI//phnL//xylA//argB//lysA//
FucR-L-fuculose-1-phosphate_pos	nrdF//frdC//ulaF//appA//gatZ//mhpC//
Fur-Fe2+_neg	ynfH//purD//dsdA//galT//fumC//gabT//allC//adhE//cheR//cysK//melA//paaI//puuC//uvrA//phnO//bioB//gcvT//nrdA//napG//fabZ//glpB//tehB//hypB//ynfH//srlD//codA//frdC//argH//ilvA//entF//ispE//purC//caiC//betA//paaK//paaA//lsrK//nirD//metA//uidA//glpC//rutA//sodA//gpmA//nrdB//ahpF//argH//cysJ//alaA//hycD//deoB//metC//cysM//xylB//alkB//ynfF//trpC//alkB//yjeF//
Fur-Fe2+_pos	fucA//alaS//prs//bcsA//speC//entA//hycE//bcsB//trpA//citF//ilvM//glpE//ilvG_2//purM//glpA//cysC//puuC//deoC//aroA//pncB//
Fur-Mn2+_neg	miaA//waaH//ilvA//tdh//nrfA//allE//speB//zwf//guaB//ubiC//argA//trpC//cpdB//ada//galM//hflX//puuA//prs//gpmA//atoB//fadB//paaF//paaC//uxaA//tdcE//aceB//yjeF//lpxD//aceA//hpt//dnaE//ynfE//mhpB//narI//tauD//paaG//purC//purD//astC//gltB//fucK//cysD//gnd//narH//mltC//mutL//galM//astA//ilvD//nirB//lysC//amn//uxaA//glpQ//caiA//acnB//gapA//entA//mhpB//
Fur-Mn2+_pos	speB//ampD//ftnA//betA//entE//dadX//ldtC//argE//cysC//betB//agp//aceE//bcsZ//lpxB//gapA//argG//lysC//frdC//tdcG//glpB//
GlcC-Acetate_neg	
GlcC-Acetate_pos	mhpD//cysI//entA//
GlcC-Glycolate_neg	
GlcC-Glycolate_pos	allC//katG//glnA//
GlrR-Pasp56_pos	
IclR-pyruvate_neg	uidA//moaE//hmp//
IdnR-5-ketogluconate_neg	purN//abgB//
IdnR-5-ketogluconate_pos	rutE//nanA//rnpB//puuB//
IdnR-Idonate_neg	fucI//ilvM//
IdnR-Idonate_pos	purK//glcE//pgpC//prpD//
IlvY-2-acetolactate_neg	
IlvY-2-acetolactate_pos	lldD//
IlvY-Alfa-acetohydroxybutirate_neg	
IlvY-Alfa-acetohydroxybutirate_pos	bioD//
IscR-2Fe_neg	yfdE//glcE//metE//alkA//gltA//
IscR-2Fe_pos	pnp//purL//
LldR-L-lactate_neg	icd//caiB//
LldR-L-lactate_pos	nanK//narI//
Lrp-Leucine_neg	paaA//ilvE//ispE//entE//ndh//aroG//alkA//bcsZ//dmsB//slt//metB//lpxD//citE//dgcZ//tadA//aldA//alaA//entH//phnI//glyA//tauD//napG//atoD//phoA//
Lrp-Leucine_pos	ansB//glcF//pnp//gpsA//pagP//allD//glpD//appA//mhpA//nrfC//preA//gltA//moeB//malP//icd//lpxD//dgcZ//pflB//
LsrR_neg	uvrA//cysI//deoC//ampD//ampD//
MalT-ADP-Maltotriose_pos	patZ//purN//ahpC//purB//cysK//avtA//
MalT-Maltotriose-ATP_pos	gcd//uidA//frc//ldtC//paaJ//argA//
MelR-Melibiose_neg	entC//hypF//
MelR-Melibiose_pos	hycF//argB//
MetJ-S-adenosylmethionine_neg	mhpB//trpC//ynfG//sdhB//frc//gutQ//umpH//rhaB//bioC//citE//
MetR-L-homocysteine_neg	cyoE//
MetR-L-homocysteine_pos	xdhA//pgaB//uxuB//lpxA//
MhpR-3-DHPP_pos	yjeF//mdh//cyaA//prpB//entH//astD//
MhpR-3HPP_pos	fau//deoA//ada//aceE//hyaA//pgpC//
MntR-Cd2+_neg	argI//
MntR-Cd2+_pos	sufS//
ModE-MoO42-_neg	gltD//dsdA//serA//ubiG//glpQ//glpC//cynS//fbaA//
ModE-MoO42-_pos	lpd//bacA//epd//aspC//phoA//deoA//
NarL-Phosphorylated_neg	entB//atoB//astD//purL//rbsK//zwf//ubiG//amn//pheS//uxaB//hycG//purE//mdh//fadH//acnA//dmsC//ynfE//purD//ilvI//nanK//tdcG//nrfD//caiB//trpC//
NarL-Phosphorylated_pos	bcsA//metK//paaE//abgA//mdh//metK//folE//mtlD//napH//napH//nrdB//gpsA//uidA//nrdB//moeB//
NarP-Phosphorylated_neg	napB//ilvD//fucK//
NarP-Phosphorylated_pos	zwf//mhpE//uidA//cysM//glcD//entH//hyaC//gpmA//xylB//bglB//
NhaR-Na+_pos	tdcB//cdd//dusB//citD//
NikR-Cd2+_neg	citF//
NikR-Co2+_neg	nirD//
NikR-Cu2+_neg	idnK//
NikR-Ni2+_neg	aceF//
NikR-Zn2+_neg	fdhF//
NrdR-ATP_neg	ogt//caiD//entH//yeaE//
NrdR-Zn2+_neg	nrdE//entE//yjeF//tam//
NrdR-dATP_neg	ssuE//ftnA//glpQ//paaJ//
NsrR-2Fe_neg	entA//cpdB//gcd//fucI//frdB//idnO//ilvH//srlD//tktB//nrdA//fau//fumC//phnO//codA//frc//rhaD//fadJ//cynS//cueO//abgB//nagB//fucU//allD//citD//pgpC//metL//cysI//gadB//argD//hemA//
PhoB-Phosphorylated_neg	preA//atoD//garR//feaB//narH//
PhoB-Phosphorylated_pos	rutE//napA//cyoE//atoB//ilvN//cysM//paaE//garR//fadH//uxaC//pgaB//paaE//ung//astE//purC//astE//cynS//
PhoP-Phosphorylated_neg	paaA//citD//araA//
PhoP-Phosphorylated_pos	murQ//yeaE//ahpF//phnG//tyrA//tam//udp//cysM//lacZ//ubiA//malY//pgpC//gdhA//gcvP//lldD//hycE//uxaC//aceE//waaH//srlD//entF//hyaC//cyaA//deoA//iscS//icd//treC//dgcZ//lysC//hycE//glgP//nirB//metE//garK//
PrpR-2-methylcitrate_neg	
PrpR-2-methylcitrate_pos	puuD//gutQ//fucK//deoC//
PurR-Guanine_neg	patZ//pyrC//pyrC//cdd//purN//paaG//rhaA//uxuA//katG//ilvG_1//ldtB//malZ//cysG//argA//sucC//bcsZ//prs//aceE//garR//tdcB//bcsZ//rutC//glpK//cysN//malQ//deoD//gatY//
PurR-Hypoxanthine_neg	uxuB//uxuA//gcvH//gcd//fes//frdA//hycC//purL//bioA//chbG//yfeW//garK//purC//lldD//glcD//gpmA//allE//cysC//fadB//argI//ldtC//glyA//argB//ogt//zwf//glpE//cueO//
QseB-Phosphorylated_pos	
RhaR-L-rhamnose_pos	
RhaS-L-rhamnose_pos	sufS//argD//glcB//
RstA-Phosphorylated_neg	hycD//ssuE//
RstA-Phosphorylated_pos	paaJ//
SoxR-2Fe_neg	
SoxR-2Fe_pos	sucD//lacZ//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	nrdF//aspA//ynfE//
TrpR-Tryptophan_neg	pnp//ynfE//ubiX//srlD//garR//preT//ulaE//galT//nrfD//
TyrR-L-tryptophan_neg	ilvN//thrS//epd//uxaB//ftnA//citF//ldtC//
TyrR-L-tryptophan_pos	gpsA//lldD//ppiA//
TyrR-Phenylalanine_neg	trpA//serC//glpC//treC//miaA//paaZ//pgaB//
TyrR-Phenylalanine_pos	lysA//chbF//frc//
TyrR-Tyrosine_neg	purM//aceA//serA//purH//hycF//nrfC//pgk//
TyrR-Tyrosine_pos	sucC//nanE//nrfC//
UhpA-Phosphorylated_pos	ilvE//
XapR-xanthosine_pos	ilvC//ilvG_1//
XylR-Xylose_pos	puuA//eda//frc//
ZntR-Cd2+_pos	paaF//
ZntR-Hg_pos	hycF//
ZntR-Zn2+_pos	yfbR//
ZraR-Phosphorylated_pos	
Zur-Zn2+_neg	ubiA//
