# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	araB//upp//
CysB-O-acetyl-L-serine_neg	moaE//fucO//treC//
CysB-O-acetyl-L-serine_pos	rutC//edd//glcB//ilvM//eda//hycD//prpE//rutE//pyrD//pflB//pgaC//araA//hyaA//metH//
DcuR-Phosphorylated_pos	acs//gpsA//bcsB//xdhB//
DnaA-ATP_neg	purE//sufS//napB//rbsD//yfdE//
DnaA-ATP_pos	idnD//atoB//puuD//
DpiA-Pasp_neg	
DpiA-Pasp_pos	fdhF//prpC//trpB//dkgB//paaC//
DsdC-D-serine_neg	
DsdC-D-serine_pos	trmD//betB//
EvgA-Phosphorylated_pos	sucC//tdcD//paaB//bioC//glpD//
FNR-Fe_neg	fucI//frdA//fbaA//glpD//gabD//mutY//pgaD//caiC//pta//atoB//glnA//srlD//sodB//ilvG_1//chbG//dadA//ilvH//tauD//pta//purB//pck//lsrK//paaH//prs//betB//ugpQ//malP//glcE//speB//ldtC//pflB//pyrC//purC//ftnA//malY//nanK//rhaB//rutA//glpQ//lysC//speA//purM//citF//rhaD//lsrK//trpC//ubiX//
FNR-Fe_pos	aldB//tyrA//uxaA//alaA//fucI//sucC//lsrG//yfbR//astD//aspA//ilvA//lpxD//gatZ//entB//cadA//acs//pagP//serA//rutB//sdhC//ldtC//lysC//metF//mhpC//gntK//ubiC//paaB//frdC//glpK//napA//malP//udp//cheB//argI//bcsZ//gcvT//cheB//caiB//pheT//miaA//purC//fumB//gpsA//thrS//citD//gatZ//mutY//lsrF//puuC//tdcE//fucI//frdB//dmsC//katE//dkgB//chbF//frdD//carA//hycE//gapA//cysK//pagP//astA//araD//argH//citX//galT//dapB//cysJ//pdeF//mutY//aceA//acs//napG//glcE//ilvD//gadB//chbF//glpQ//puuD//hemL//fadD//yfeW//pnp//cysI//frdB//codA//paaF//bglB//hcp//pgaC//phnP//
FhlA-Formate_pos	cysH//ilvB//pgpC//aldB//caiD//phoA//hpt//
FucR-L-fuculose-1-phosphate_pos	trpB//prpE//glpQ//pgk//prs//malP//
Fur-Fe2+_neg	argG//sucA//hycF//argC//allE//hyaC//dnaE//agp//narI//entH//narI//cysI//hyaC//idnD//atoB//xylB//nrfD//fumB//hemA//ybjG//ilvH//mhpA//glpB//metE//uxaA//chbF//tdcE//fadB//argD//nrfC//argC//pnp//narG//paaJ//ilvN//yeaE//bacA//tsaE//psd//sucC//metA//lpd//nagB//sucA//pdeF//caiA//argF//bioF//srlD//citC//hemA//ynfG//hycG//carB//tdcE//allC//ispE//sdhB//gabD//
Fur-Fe2+_pos	glpA//psd//sufS//preT//katG//nrfD//iscS//malY//murQ//patZ//acnA//ilvI//ppiA//udp//glgB//puuA//sdhD//mhpD//moaA//pgpC//
Fur-Mn2+_neg	glpD//pyrC//chbF//uxaC//folE//preT//fadA//frdB//glcD//bioC//cysM//gapA//cdd//purD//rbsD//mhpC//chbG//ssuD//nanK//slt//ilvB//glgP//ndh//mhpE//glgB//puuE//napA//xdhC//astB//allD//psd//thrS//rutD//pyrD//hyaB//hyaA//cheB//fbaA//cysH//cynS//purE//tdcD//puuA//ilvM//pdeF//bioA//lsrK//xylA//gatY//tehB//lysU//astE//pgk//hmp//ynfF//phnI//moaA//treC//paaF//
Fur-Mn2+_pos	alkA//gatD//hflX//sucD//entH//paaH//galT//trpC//sdhC//tnaA//kbaZ//lsrK//katE//aceB//puuA//fadB//fucU//glpK//gabT//purH//
GlcC-Acetate_neg	
GlcC-Acetate_pos	ynfH//yjeF//gatD//
GlcC-Glycolate_neg	
GlcC-Glycolate_pos	lpxB//tauD//acnA//
GlrR-Pasp56_pos	
IclR-pyruvate_neg	sucD//hycB//ynfG//
IdnR-5-ketogluconate_neg	narH//narI//
IdnR-5-ketogluconate_pos	frdD//ynfF//fadD//metH//
IdnR-Idonate_neg	cysG//prs//
IdnR-Idonate_pos	hyaB//tsaE//ilvB//fucI//
IlvY-2-acetolactate_neg	
IlvY-2-acetolactate_pos	ubiA//
IlvY-Alfa-acetohydroxybutirate_neg	
IlvY-Alfa-acetohydroxybutirate_pos	trpB//
IscR-2Fe_neg	trpB//serC//moaA//tnaA//caiA//
IscR-2Fe_pos	garR//frdD//
LldR-L-lactate_neg	uidA//caiC//
LldR-L-lactate_pos	phoA//ilvM//
Lrp-Leucine_neg	tyrB//fabZ//ynfE//mltC//astC//purA//mltC//purE//rdoA//tdcG//gcvH//gcvP//murQ//mutY//aroF//moaE//ilvA//torA//citC//pagP//hypF//uxuA//speC//metB//
Lrp-Leucine_pos	phnL//cysG//hcp//narH//fumA//nagA//epd//atoB//phnP//astC//fumC//nadC//citD//glgA//garL//caiB//ubiA//fadI//
LsrR_neg	glgB//purM//cdd//betB//galE//
MalT-ADP-Maltotriose_pos	gpmA//ubiA//ubiX//oxc//moeA//carA//
MalT-Maltotriose-ATP_pos	metC//tnaA//folE//ansB//nrdD//ugpQ//
MelR-Melibiose_neg	pflB//fadI//
MelR-Melibiose_pos	mltC//paaK//
MetJ-S-adenosylmethionine_neg	ubiG//gltA//gltB//aceF//tyrB//ogt//idnO//nagA//serA//polA//
MetR-L-homocysteine_neg	mtlD//
MetR-L-homocysteine_pos	agp//katE//entE//tdcG//
MhpR-3-DHPP_pos	paaF//gabT//mpl//kbl//nanK//pgk//
MhpR-3HPP_pos	hycF//sucC//gatD//pyrD//hycE//paaA//
MntR-Cd2+_neg	rutC//
MntR-Cd2+_pos	uxaC//
ModE-MoO42-_neg	iscS//mhpD//nagB//abgA//mhpE//xdhA//serC//astC//
ModE-MoO42-_pos	tdcE//appA//lsrK//pgaD//lsrF//hycC//
NarL-Phosphorylated_neg	cysD//icd//chbF//fbaA//garR//phnJ//acs//glgB//phnG//entE//fbaA//preA//oxc//malP//katG//pflB//puuB//phnG//argA//paaC//carB//bcsB//cysJ//argE//
NarL-Phosphorylated_pos	trpA//argE//phnN//yfdE//prpE//murQ//cynT//ilvG_2//malS//ilvE//gadB//argF//purM//paaG//alkB//
NarP-Phosphorylated_neg	frdB//metL//rhaB//
NarP-Phosphorylated_pos	aceF//trpB//nagB//ldtC//araB//dnaE//allD//hypB//umpH//fucA//
NhaR-Na+_pos	gatY//fbaA//hycD//folA//
NikR-Cd2+_neg	ssuD//
NikR-Co2+_neg	entF//
NikR-Cu2+_neg	glcF//
NikR-Ni2+_neg	napG//
NikR-Zn2+_neg	argA//
NrdR-ATP_neg	agp//frdC//bcsZ//prpB//
NrdR-Zn2+_neg	dmsA//deoA//nanM//bioC//
NrdR-dATP_neg	garR//purF//sucA//folA//
NsrR-2Fe_neg	malY//metF//bioB//purC//pflB//mhpD//folA//prpE//lysU//araD//hemL//lpxA//phnO//ubiG//citC//nrdE//caiD//ssuE//metE//mutY//waaH//argE//glpK//dapB//fumC//uxuB//ilvI//glyA//amn//trpC//
PhoB-Phosphorylated_neg	moaA//gcvT//lacA//nrdA//gatZ//
PhoB-Phosphorylated_pos	nrdE//citX//treC//appA//narG//miaA//zwf//aceE//avtA//alkA//caiA//codA//rnpB//purC//cynS//paaA//fdhF//
PhoP-Phosphorylated_neg	nrfB//pheT//narG//
PhoP-Phosphorylated_pos	abgB//oxc//ilvH//fumB//lsrF//uxuB//tdcD//hpt//argI//aroH//glpK//ampD//hypB//ybjG//tsaE//moeB//glgA//phnO//citG//ugpQ//galE//nanE//polA//fucU//citD//melA//tdcG//nirB//glcD//ldtB//ynfH//tam//adhE//trpA//
PrpR-2-methylcitrate_neg	
PrpR-2-methylcitrate_pos	napA//pta//uxaB//atoD//
PurR-Guanine_neg	paaE//fumC//araD//fucA//hyaB//prpC//acs//glpD//caiC//eda//argE//srlD//glnA//uxaC//yeaE//mhpE//alkA//aceE//katG//adhE//nirD//mhpE//caiA//nrdE//nirD//glgX//guaA//
PurR-Hypoxanthine_neg	pagP//tdcB//metA//ynfH//pnp//paaK//cysM//bioA//lpxA//mtlD//galE//mhpC//galK//napC//phnM//gnd//ppiA//ppiA//caiA//galE//aceF//argI//speA//nrdD//garR//hycC//gcvP//
QseB-Phosphorylated_pos	
RhaR-L-rhamnose_pos	
RhaS-L-rhamnose_pos	polA//glpD//nanM//
RstA-Phosphorylated_neg	rutE//napA//
RstA-Phosphorylated_pos	nirD//
SoxR-2Fe_neg	
SoxR-2Fe_pos	epd//aceF//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	phnL//pta//sdaA//
TrpR-Tryptophan_neg	bioF//araB//mhpC//bioF//sucB//metH//tdcE//puuC//gltB//
TyrR-L-tryptophan_neg	katG//ubiX//umpH//abgB//sodA//entF//oxc//
TyrR-L-tryptophan_pos	cyoE//mhpF//upp//
TyrR-Phenylalanine_neg	atoA//moaD//caiA//astD//idnK//nanK//ascB//
TyrR-Phenylalanine_pos	frdC//tyrB//purC//
TyrR-Tyrosine_neg	xapA//malP//bioA//nrfD//uxuA//paaI//fumC//
TyrR-Tyrosine_pos	cysN//hemA//glgA//
UhpA-Phosphorylated_pos	hycE//
XapR-xanthosine_pos	glyA//gcvH//
XylR-Xylose_pos	uxuA//gcd//cynS//
ZntR-Cd2+_pos	citG//
ZntR-Hg_pos	cysC//
ZntR-Zn2+_pos	lpxD//
ZraR-Phosphorylated_pos	
Zur-Zn2+_neg	glpA//
