# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	serA//dadX//
CRP-cAMP_pos	pck//hycD//ackA//alaS//dmsA//gadB//aldB//lpxB//tam//pheS//pgaC//fucA//abgA//polA//citG//ispE//fadB//tdcG//ppiA//dsdA//napH//moaE//abgB//pdeF//mhpC//ilvH//fumB//puuA//fadA//purD//pheS//hemA//ynfF//cysM//bioD//tdh//trpC//phnL//sodB//glpB//gabT//puuD//mtlD//metA//allC//fumB//hemL//metC//pheS//ubiA//entE//uxaB//dsdA//tyrA//pgaC//trpC//melA//serC//upp//ahpF//lysC//cyaA//entF//dusB//mhpB//lpxB//ynfE//bioC//torC//napA//idnO//napC//sucB//lysU//frdB//katG//ndh//phnI//ilvM//ugpQ//bglB//fadH//ampD//paaI//citX//cysJ//xylA//puuC//fdhF//ilvI//mhpB//phnG//hemL//napH//yfeW//entD//tdcB//caiB//melA//dgcZ//cysJ//moaA//uxaB//guaA//ubiC//uvrA//lysC//sdaA//rutD//aceB//fumB//purN//bcsZ//pheS//nrdF//astA//cysK//oxc//lacZ//paaB//argI//ynfH//umpH//tdcD//mhpA//ubiA//lacZ//pnp//sodB//edd//sufS//lldD//tyrA//carA//purB//malZ//udp//bioA//metL//rbsD//pheT//cdd//cheB//glpA//ynfH//phoA//lysU//ubiX//astB//waaH//deoB//glyA//dgcZ//prs//frdD//ilvC//frdC//hemL//ilvB//argE//ubiC//rdoA//fucU//rhaD//codA//ahpF//ynfF//glcB//cynT//hycE//metE//nrfA//ada//katE//ldtB//ynfH//recF//glpD//glcE//lhgO//abgA//phnL//fadJ//argH//aceE//cynS//abgB//purA//malZ//phoA//dadA//chbG//ldtB//ulaE//gcvH//codA//sufS//purD//paaI//lldD//ubiA//patZ//rutD//moeA//zwf//bioF//mpl//guaB//mdh//entE//glpB//hycB//ldtB//glcB//xapA//nanK//entC//gcvH//glcB//nagA//yqjH//guaB//moaA//entA//fumA//sodA//hmp//lysU//uxaA//mpl//ilvH//hcp//sucA//ilvG_1//sufS//katG//astE//bioF//kbaZ//malS//icd//dmsC//moaD//
ChbR-Monoacetylchitobiose-6P_neg	puuC//tam//dgcZ//
ChbR-Monoacetylchitobiose-6P_pos	bcsZ//rhaD//gntK//
CpxR-Phosphorylated_neg	gntK//trpD//trpC//
CpxR-Phosphorylated_pos	speC//nrfA//paaI//lacA//moeA//ppiA//tauD//sdhB//cysN//glgP//cadA//uvrA//lldD//moaA//paaI//nrdF//sucB//alkA//slt//
CreB-Phosphorylated_neg	xylA//
CreB-Phosphorylated_pos	cdd//bcsZ//
CueR-Ag_neg	slt//tdcD//
CueR-Ag_pos	iscS//lsrF//
CueR-Cu+_neg	fadA//ubiA//
CueR-Cu+_pos	waaH//purM//
CuerR-Au_neg	gpsA//katE//
CuerR-Au_pos	ilvC//cysN//
CusR-Pasp_pos	astD//dadX//purD//
CynR-Cyanate_neg	
CynR-Cyanate_pos	nrfD//chbG//mhpB//
CysB-N-acetyl-L-serine_neg	tehB//paaB//lpxB//
CysB-N-acetyl-L-serine_pos	sdhC//nanM//nrdD//sodA//gltB//yfbR//cysK//ispE//ynfG//purL//cysI//sdaA//uxaC//
CysB-O-acetyl-L-serine_neg	tdcE//paaF//gabD//
CysB-O-acetyl-L-serine_pos	guaA//ilvD//ndh//gntK//paaG//phnG//truB//ulaD//rnpB//idnO//manA//amn//folA//allD//
DcuR-Phosphorylated_pos	lysC//metH//araD//frc//
DnaA-ATP_neg	purH//glpB//fau//sucC//fadB//
DnaA-ATP_pos	acs//tehB//ilvH//
DpiA-Pasp_neg	
DpiA-Pasp_pos	gabD//aldB//ubiX//purC//galM//
DsdC-D-serine_neg	
DsdC-D-serine_pos	moaA//eda//
EvgA-Phosphorylated_pos	araD//hycG//pyrC//cysC//nanM//
FNR-Fe_neg	serC//hemL//pgk//puuE//malP//acnA//napG//ilvA//paaE//lsrF//udp//dkgB//glpC//ispE//napB//uidA//murQ//idnD//murQ//hcp//frdB//lsrK//astC//phnL//lpxD//deoC//waaH//nanK//idnD//xapA//lacA//appA//garR//carB//purE//glpE//astB//sdhA//citF//pyrD//allC//carA//cyoE//torA//tauD//araD//xylB//
FNR-Fe_pos	paaJ//glcE//cheB//aceE//ppiA//dkgB//alkB//speA//metE//hypB//atoA//purC//hyaB//trpB//dadA//deoD//rhaB//glcF//mpl//cysN//dapD//sdaA//paaH//puuD//yjeF//cysJ//mutL//ispE//lsrK//uvrA//fucK//ubiA//puuA//pnp//ftnA//gltB//carA//argI//oxc//gltA//argA//purB//hycB//lacZ//cynS//gatZ//dkgB//mhpF//ilvG_2//patZ//uidA//purC//uvrA//argI//zwf//gutQ//phnG//fdhF//argE//nanA//sdhB//araD//glgP//alkA//trpA//nrdB//atoB//uxuA//tdcE//hycD//amn//galM//ilvC//fadI//mhpE//hemL//upp//yjeF//dmsC//fucK//purE//glpB//uxuB//frdB//lsrG//hmp//araD//folA//recF//trpB//fadI//purA//
FhlA-Formate_pos	epd//uxuA//sucC//gutQ//fumC//edd//lysA//
FucR-L-fuculose-1-phosphate_pos	hycG//xylB//aroL//purF//ssuE//napG//
Fur-Fe2+_neg	citD//murQ//rhaD//xdhA//frdD//moeA//fumC//avtA//edd//entA//argH//gatD//aroL//uxaB//mdh//tdh//rbsK//fucO//gnd//thrS//codA//citC//bioC//bioD//tehB//acs//argA//gpsA//ldtB//gcvP//rnpB//idnD//fbaA//udp//argB//alaA//aceB//paaA//srlD//argH//lpxD//aspA//nrfB//astE//puuB//nrdF//allD//phnO//fadD//prs//dadA//tam//nrdE//gcvT//argD//uvrA//garK//astA//glpA//
Fur-Fe2+_pos	nirB//prmC//sdaA//glgP//gutQ//mhpB//hcp//deoB//purF//acnA//argB//mltC//amn//yfbR//lacZ//malS//uxaA//lacA//glcE//yfeW//
Fur-Mn2+_neg	xdhA//abgA//sdhA//gcvH//nirB//cheB//aldB//slt//iscS//yfdE//pnp//atoD//hypF//allC//talA//malY//aroL//prmC//lysU//serC//glgP//garL//narH//ssuE//aldB//pgk//napC//caiD//tnaA//pgaD//narI//puuD//entC//hycE//cysI//alkB//glgB//dkgB//paaZ//glpB//lpxA//paaH//tyrA//fucI//ftnA//phnG//metK//cdd//uxaB//speB//araD//lacZ//frc//dapB//psd//ampD//argB//fucI//agp//
Fur-Mn2+_pos	ybjG//sodA//fbaA//agp//ubiC//avtA//nrfC//ilvH//paaB//ilvM//psd//yjeF//argH//glpC//ldtB//pgaD//garK//sdaA//nanE//mhpD//
GlcC-Acetate_neg	
GlcC-Acetate_pos	entD//paaZ//napC//
GlcC-Glycolate_neg	
GlcC-Glycolate_pos	ilvM//pdeF//cysK//
GlrR-Pasp56_pos	
IclR-pyruvate_neg	aroA//gltA//murQ//
IdnR-5-ketogluconate_neg	cynS//waaH//
IdnR-5-ketogluconate_pos	atoD//bioF//purH//gdhA//
IdnR-Idonate_neg	glcD//malZ//
IdnR-Idonate_pos	lysA//gpsA//purF//melA//
IlvY-2-acetolactate_neg	
IlvY-2-acetolactate_pos	lpxA//
IlvY-Alfa-acetohydroxybutirate_neg	
IlvY-Alfa-acetohydroxybutirate_pos	codA//
IscR-2Fe_neg	frdB//fadI//uvrA//aceB//gnd//
IscR-2Fe_pos	tdcE//puuA//
LldR-L-lactate_neg	mltC//gadB//
LldR-L-lactate_pos	narG//hypF//
Lrp-Leucine_neg	gcvT//lpxD//ssuD//rhaB//entF//fadH//sucA//napG//ynfF//bioB//napH//tyrB//prpE//yfbR//acnA//acs//hyaB//gadB//malP//gabT//lpxA//phnM//fadA//cysD//
Lrp-Leucine_pos	aspA//fadE//allC//dmsC//gatD//mhpD//fucK//pgk//fes//malY//nrdB//malY//citE//puuD//tadA//ilvE//uxuA//hyaC//
LsrR_neg	ahpC//nrfB//cyaA//betA//pyrD//
MalT-ADP-Maltotriose_pos	lpxD//lysA//cheB//frdB//aroH//phnH//
MalT-Maltotriose-ATP_pos	tauD//aroL//pheT//glpB//sucD//paaZ//
MelR-Melibiose_neg	bioB//pta//
MelR-Melibiose_pos	acs//purK//
MetJ-S-adenosylmethionine_neg	trpC//pck//cheR//nrfD//nrdB//gatD//alaA//hyaB//xdhC//lhgO//
MetR-L-homocysteine_neg	phnN//
MetR-L-homocysteine_pos	carB//fumB//sdhA//bacA//
MhpR-3-DHPP_pos	dgcZ//torA//cysK//hpt//uvrA//hcp//
MhpR-3HPP_pos	purB//melA//ftnA//ppiA//rutE//gltB//
MntR-Cd2+_neg	ssuD//
MntR-Cd2+_pos	slt//
ModE-MoO42-_neg	lysC//pgaC//bioC//yeaE//hyaC//bioD//udp//sdhC//
ModE-MoO42-_pos	hycD//uxuA//aldA//dadA//fumC//katG//
NarL-Phosphorylated_neg	sodA//mhpD//dadA//tdcB//dkgB//katE//eda//entE//lysA//malY//ubiX//preT//speB//gadB//gcd//tyrB//entA//xapA//ahpF//uxaB//kbaZ//mdh//kbaZ//cadA//
NarL-Phosphorylated_pos	mhpD//dmsB//glcF//miaA//fadE//pdeF//lhgO//xdhC//katE//lsrG//ampD//cynS//frdC//slt//metK//
NarP-Phosphorylated_neg	alkA//cpdB//sodB//
NarP-Phosphorylated_pos	cysI//purB//purF//glyA//galT//serA//psd//fadJ//glgX//glpA//
NhaR-Na+_pos	paaH//tehB//sucB//nagB//
NikR-Cd2+_neg	hycE//
NikR-Co2+_neg	phnL//
NikR-Cu2+_neg	ilvG_1//
NikR-Ni2+_neg	hycE//
NikR-Zn2+_neg	lacZ//
NrdR-ATP_neg	gatZ//nrdF//fadD//metE//
NrdR-Zn2+_neg	nanE//fucO//ybjG//fadI//
NrdR-dATP_neg	gnd//kbaZ//tdcE//purB//
NsrR-2Fe_neg	garR//ampD//upp//dmsA//nrfB//edd//ilvE//tdcG//aldB//glcE//aroG//paaG//patZ//pagP//citG//argA//trpA//mltC//astA//glgA//recF//cysI//glpC//ynfE//mtlD//metE//yfeW//mhpD//argH//glpB//
PhoB-Phosphorylated_neg	fadA//frdD//bioF//ubiA//mhpE//
PhoB-Phosphorylated_pos	ilvB//patZ//bacA//cysM//gatZ//treC//hycC//phnH//sucD//gdhA//metK//nrfA//garK//purC//yeaE//umpH//tnaA//
PhoP-Phosphorylated_neg	hycD//cadA//gabT//
PhoP-Phosphorylated_pos	yqjH//purN//aceB//codA//phnM//hypB//sucD//sdhC//tdcD//lpxD//prmC//gpmA//pheS//pagP//nrdE//nrdE//glpK//guaB//napA//pncB//fdhF//ilvD//waaH//fadJ//metF//glpE//alaA//cueO//deoB//cysM//bioB//araA//ldtB//hycE//
PrpR-2-methylcitrate_neg	
PrpR-2-methylcitrate_pos	lsrK//folA//hemL//hflX//
PurR-Guanine_neg	metC//appA//nrfD//mpl//cyaA//frc//caiB//xdhC//phnL//gcd//uxaA//prpB//cyaA//entB//ansB//fadE//napH//bglB//nrdB//garL//sdhC//cyoE//entA//tdh//metA//pgpC//pflB//
PurR-Hypoxanthine_neg	caiC//gatZ//nrfD//phoA//astB//ispE//ssuE//aceA//mltC//talA//serC//mltC//ppiA//prpB//treC//ilvB//fadD//ynfF//frdC//lpd//mhpB//lsrK//purA//aceE//paaG//garR//pheT//
QseB-Phosphorylated_pos	
RhaR-L-rhamnose_pos	
RhaS-L-rhamnose_pos	purC//uxuB//ilvM//
RstA-Phosphorylated_neg	paaF//prmC//
RstA-Phosphorylated_pos	frdC//
SoxR-2Fe_neg	
SoxR-2Fe_pos	mhpB//dmsA//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	acnB//melA//uxuA//
TrpR-Tryptophan_neg	ilvB//allE//mtlD//lsrF//yjeF//nrdF//cheB//mutY//glcF//
TyrR-L-tryptophan_neg	xdhB//aceA//cysN//trpC//fbaA//garR//mhpF//
TyrR-L-tryptophan_pos	yqjH//patZ//glpA//
TyrR-Phenylalanine_neg	mhpE//ynfH//cysI//purE//glgC//carB//cysH//
TyrR-Phenylalanine_pos	tam//hpt//gabT//
TyrR-Tyrosine_neg	glpX//fbaA//metH//betB//lysU//pyrD//cysI//
TyrR-Tyrosine_pos	metL//pgaC//fucU//
UhpA-Phosphorylated_pos	frdB//
XapR-xanthosine_pos	araB//agp//
XylR-Xylose_pos	dsdA//cueO//fumA//
ZntR-Cd2+_pos	betA//
ZntR-Hg_pos	lsrF//
ZntR-Zn2+_pos	nrdF//
ZraR-Phosphorylated_pos	
Zur-Zn2+_neg	pyrC//
