# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	malZ//ubiA//
CRP-cAMP_neg	feaB//katE//lhgO//hcp//yeaE//hycG//yeaE//tauD//ilvA//melA//metK//paaJ//epd//ldtB//ascB//metB//ppiA//fucO//paaE//abgB//prmC//argA//ynfG//ulaE//xylA//pdeF//glpB//rbsK//ispE//nrdA//napH//bcsA//ybjG//carA//chbG//garR//galT//pta//yfbR//ynfE//cynT//speC//citE//ilvC//glcE//hyaC//ahpF//entA//gpsA//ldtC//mpl//ynfF//tdcG//purF//zwf//prpE//fucK//lpxB//argB//lacZ//nadC//kbaZ//rbsK//bglB//fadE//ilvI//phnH//aspA//glpQ//puuE//lsrG//napH//yqjH//gltB//malP//mhpB//guaB//narI//
CRP-cAMP_pos	aroH//napH//sodB//torA//moaD//nrfA//hycC//mdh//pgaB//katE//uxaB//acnB//nrfD//treC//deoC//nadC//cheR//galK//abgA//upp//prs//ppiA//purM//phoA//gltB//trpA//paaH//fucI//ppiA//napB//sdhD//trmD//pyrD//lsrG//cysH//yfbR//fadB//deoB//ansB//melA//nrdA//murQ//aspA//citC//cdd//ahpF//eda//paaG//napH//tdcB//fadA//fes//pncB//nrdD//mutY//metK//mhpB//paaJ//hycD//uxaC//glgA//lldD//entB//folE//lysC//fucA//pck//cysK//paaH//fau//rbsK//ilvG_1//pdeF//hemA//alkB//glcD//avtA//sodA//citE//psd//malS//ilvH//kbl//entF//ndh//mutY//entB//nrdD//sdhB//deoC//glpQ//citF//chbG//pyrC//acnA//pyrD//galK//frdA//caiC//paaF//kbaZ//fadD//araD//amn//deoB//kbaZ//phnM//fucO//napG//allD//nirD//ispE//glpK//citX//fadB//uxaA//katE//nrfD//deoA//ilvG_1//xdhC//paaG//cheR//sdhC//pgaC//nirB//argC//puuD//purM//paaA//napA//paaF//nrfB//araB//ubiX//nagA//aroL//glcD//purE//pyrD//glpD//zwf//hypB//metE//pgaD//cadA//prpB//sodB//fucU//gatZ//torC//codA//acs//pck//ilvE//glpB//guaA//phnP//cynS//pnp//tauD//tnaA//gdhA//melA//xdhA//entA//icd//xdhB//aldB//ilvM//atoA//mhpC//rutA//ilvN//serA//paaZ//allC//purB//rutB//nagA//fadA//rutA//alkB//lysA//frc//aroG//entA//gntK//malY//gcvT//lpd//rdoA//ubiC//galE//ulaD//cynS//lsrF//trpC//aldA//tauD//ndh//appA//tsaE//idnK//fumC//phnI//yjeF//rutC//dusB//lpxA//paaE//entF//nanA//napC//lldD//narI//ilvC//lacZ//dnaE//hmp//argD//cpdB//phnO//nagB//ssuD//astC//tdcG//deoD//cueO//pnp//napB//murQ//paaZ//speC//folE//gltD//slt//mltC//tauD//frdC//idnK//hycB//ulaE//
ChbR-Monoacetylchitobiose-6P_neg	lysU//xdhB//citX//
ChbR-Monoacetylchitobiose-6P_pos	nrfB//hycG//entH//
CpxR-Phosphorylated_neg	sdhC//tauD//mltC//
CpxR-Phosphorylated_pos	tdcG//trpD//tdcD//glnA//sucA//rdoA//caiC//lacZ//allC//bioC//malY//tam//fbaA//uxaC//cysG//purD//nagB//ynfH//ubiA//
CreB-Phosphorylated_neg	fucI//
CreB-Phosphorylated_pos	malQ//trpD//
CueR-Ag_neg	folE//hycG//
CueR-Ag_pos	xylB//ada//
CueR-Cu+_neg	sucC//cheR//
CueR-Cu+_pos	tehB//gapA//
CuerR-Au_neg	glgB//alkB//
CuerR-Au_pos	metA//pnp//
CusR-Pasp_pos	ugpQ//cadA//preA//
CynR-Cyanate_neg	
CynR-Cyanate_pos	garK//glpA//speB//
CysB-N-acetyl-L-serine_neg	glpB//hflX//glgX//
CysB-N-acetyl-L-serine_pos	astC//trpE//ybjG//glpD//aroA//icd//entC//pheS//ulaD//paaI//murQ//frdA//dsdA//
CysB-O-acetyl-L-serine_neg	gpmA//rbsK//rutD//
CysB-O-acetyl-L-serine_pos	hycF//lhgO//astC//ackA//rutD//ansB//idnK//gntK//xdhB//hpt//ilvG_2//nirD//ilvB//citE//
DcuR-Phosphorylated_pos	xapA//mhpA//abgB//sodB//
DnaA-ATP_neg	nagB//argF//hyaC//rhaD//gltD//
DnaA-ATP_pos	paaZ//trpE//gcd//
DpiA-Pasp_neg	
DpiA-Pasp_pos	rdoA//prpE//gabT//atoA//rhaD//
DsdC-D-serine_neg	
DsdC-D-serine_pos	torA//garK//
EvgA-Phosphorylated_pos	lldD//xylA//entH//ulaF//murQ//
FNR-Fe_neg	argG//chbG//folA//gadB//nrfA//pyrC//uxaA//acs//cueO//paaK//pheS//cysH//betB//glpK//fucI//bacA//lpd//xdhA//uidA//dapD//torC//caiA//nirD//ulaE//deoB//ilvG_1//lacZ//glpX//narH//garR//ispE//frdD//purC//mhpB//gabT//gcvT//ilvG_1//hycC//fadI//pgaB//xdhB//glpC//acnA//bcsZ//recF//phnJ//pnp//
FNR-Fe_pos	purB//ilvI//rutE//speB//nanK//abgA//mpl//glgX//lysA//puuE//phnG//alaS//idnK//glgX//paaF//hycE//xdhA//moeA//mhpB//deoC//gabD//xdhC//pgpC//pncB//polA//aroL//paaC//feaB//betB//lpd//gcvT//cysM//caiD//caiA//cpdB//phnH//nanE//gpmA//mhpA//moeA//speC//moeA//dnaE//sucC//caiB//dmsA//paaG//astE//lsrK//argG//fucI//galK//ilvE//serA//bioC//araA//rhaB//puuC//caiB//sdaA//metH//glgA//hcp//pheS//thrS//glnA//adhE//gatZ//ahpF//lysU//phnL//nrdA//puuD//fumB//gatY//glgC//purC//ldtC//ung//metB//tnaA//dapD//pyrC//ulaF//entD//glcB//dapB//glpX//lldD//citE//araA//aldB//
FhlA-Formate_pos	pck//tehB//gltD//hcp//atoA//argC//fabZ//
FucR-L-fuculose-1-phosphate_pos	hycG//pgpC//atoB//astD//purB//hflX//
Fur-Fe2+_neg	ahpF//ahpC//uvrA//edd//gcvP//uxaA//ulaE//aldA//kbl//caiA//glcD//fumB//manA//sucA//rbsD//puuC//cysD//purF//tyrA//dadA//acnA//cysM//rutD//mhpA//araA//gltD//patZ//caiD//pgaC//glgX//atoA//ilvI//prpB//glcF//lhgO//glnA//sucD//fes//fucI//pheT//ilvG_2//icd//argD//metL//phnG//phnG//dmsA//paaH//glpQ//ilvA//caiC//pheS//gltB//cynT//kbaZ//purH//talA//pheT//paaJ//
Fur-Fe2+_pos	xdhC//nrdB//metL//dapB//araD//fucO//hyaB//paaJ//ogt//lpxD//katE//gltA//manA//ssuD//fes//bioA//pgk//idnO//katE//srlD//
Fur-Mn2+_neg	purD//dapD//sdhA//hycF//mhpE//lsrF//acnA//glgC//hycB//citE//frc//idnO//metE//cysM//malY//rhaB//puuE//citD//codA//gcvP//metF//metK//argA//araD//aroF//gabT//caiC//aroG//ubiC//gcvP//ynfH//metC//yfbR//fucK//pgk//speB//garL//thrS//dmsA//agp//glgA//lldD//epd//nrdE//frdB//aspC//dadA//bioD//cyaA//xdhB//astD//purK//thrS//pnp//cysC//nrfB//hycB//phnJ//idnD//
Fur-Mn2+_pos	gcvT//paaH//prpC//avtA//lhgO//cynS//tdcE//fucO//dsdA//gnd//ilvH//zwf//ilvG_1//glpK//trpD//paaJ//entD//tadA//xylB//ftnA//
GlcC-Acetate_neg	
GlcC-Acetate_pos	trpE//metL//dmsC//
GlcC-Glycolate_neg	
GlcC-Glycolate_pos	serA//puuC//ssuD//
GlrR-Pasp56_pos	
IclR-pyruvate_neg	metL//purF//uxaC//
IdnR-5-ketogluconate_neg	citE//ilvD//
IdnR-5-ketogluconate_pos	alaS//acnB//phnH//rhaB//
IdnR-Idonate_neg	cheB//gcvH//
IdnR-Idonate_pos	galT//prpC//pta//mhpD//
IlvY-2-acetolactate_neg	
IlvY-2-acetolactate_pos	citX//
IlvY-Alfa-acetohydroxybutirate_neg	
IlvY-Alfa-acetohydroxybutirate_pos	ilvN//
IscR-2Fe_neg	nagB//metH//torA//tyrB//prpE//
IscR-2Fe_pos	chbF//hycE//
LldR-L-lactate_neg	deoA//hyaA//
LldR-L-lactate_pos	glyA//lsrF//
Lrp-Leucine_neg	edd//ssuE//psd//lacA//pgpC//cueO//gadB//prpB//fbaA//allD//aroG//uxaC//entH//mtlD//metH//ispE//hypF//ppiA//gatY//rhaD//guaB//aspC//metL//bacA//
Lrp-Leucine_pos	lysA//chbG//cysN//phnN//fadJ//uxaC//adhE//ssuD//paaZ//mhpF//ahpC//cyaA//purB//hycG//aroH//idnK//caiC//caiC//
LsrR_neg	atoD//glpQ//nagB//argH//pnp//
MalT-ADP-Maltotriose_pos	thrS//aspA//pgpC//sufS//fucA//gltD//
MalT-Maltotriose-ATP_pos	dadA//rutC//chbF//cysG//fadH//galT//
MelR-Melibiose_neg	moaA//gltA//
MelR-Melibiose_pos	upp//gatY//
MetJ-S-adenosylmethionine_neg	metB//araB//ahpC//rbsD//phoA//glgP//narI//bcsB//phoA//tktB//
MetR-L-homocysteine_neg	mdh//
MetR-L-homocysteine_pos	sdhC//acnB//alkA//astD//
MhpR-3-DHPP_pos	dmsB//torA//speC//tadA//yfdE//hycB//
MhpR-3HPP_pos	tadA//edd//gadB//purN//napB//pdeF//
MntR-Cd2+_neg	ansB//
MntR-Cd2+_pos	metH//
ModE-MoO42-_neg	ldtB//bioC//lldD//ynfF//nanM//rbsK//ilvG_1//cysJ//
ModE-MoO42-_pos	fbaA//phnP//xdhB//mhpE//xdhB//aroH//
NarL-Phosphorylated_neg	phnM//sdaA//rhaA//gntK//ilvI//pnp//patZ//cynT//ynfG//glpQ//ackA//allE//fbaA//ulaE//paaH//gpmA//glpX//fumB//melA//ilvG_2//hcp//glpA//sodB//malP//
NarL-Phosphorylated_pos	entE//gatY//ampD//codA//araB//napA//torC//puuC//trpE//glpC//paaB//hemA//rnpB//folE//ilvE//
NarP-Phosphorylated_neg	metL//mpl//carB//
NarP-Phosphorylated_pos	garL//aldB//dmsC//mhpB//dusB//cadA//malZ//fucU//prs//psd//
NhaR-Na+_pos	nrfC//bioB//deoB//aldB//
NikR-Cd2+_neg	ahpF//
NikR-Co2+_neg	deoD//
NikR-Cu2+_neg	betB//
NikR-Ni2+_neg	napH//
NikR-Zn2+_neg	ogt//
NrdR-ATP_neg	gpsA//speA//puuD//gutQ//
NrdR-Zn2+_neg	ascB//uxaC//amn//prs//
NrdR-dATP_neg	cysG//adhE//puuD//uxuB//
NsrR-2Fe_neg	kbl//ynfH//entH//uxaA//idnK//aceB//malP//nrfB//pyrC//fucA//ilvG_1//hypF//cysD//pgaD//cynS//glyA//thrS//ilvB//napC//aldB//xapA//astB//cysG//lpxA//cheB//ubiX//waaH//paaI//gnd//metC//
PhoB-Phosphorylated_neg	uxaC//dadX//fumB//alkA//narH//
PhoB-Phosphorylated_pos	yfbR//ispE//waaH//ilvH//ubiG//fucA//gntK//agp//malZ//uxaB//alaS//umpH//sdhA//slt//gpmA//trpB//dsdA//
PhoP-Phosphorylated_neg	glyA//glgA//mhpB//
PhoP-Phosphorylated_pos	ubiX//gdhA//oxc//metB//thrS//nagA//puuA//metK//purA//fdhF//nadC//pyrD//gatD//pgaD//hypF//ilvN//slt//deoA//bioB//folA//hycB//pnp//lsrG//argI//dadA//dsdA//puuD//uxaA//acs//cysG//pck//cynS//entH//entA//
PrpR-2-methylcitrate_neg	
PrpR-2-methylcitrate_pos	cyoE//moaD//cysJ//deoA//
PurR-Guanine_neg	glyA//fumA//cueO//gcvH//rbsK//phoA//tyrA//xdhA//trpB//fadD//alaA//pgaC//citE//napH//cysM//garL//pyrD//fucA//nagA//glgX//astC//ppiA//galK//fumB//ada//cynS//sdhA//
PurR-Hypoxanthine_neg	fucO//dadX//dadX//citX//phnH//gnd//mdh//ynfE//nrfC//murQ//moeB//udp//malQ//gutQ//sodB//pdeF//fucI//gatD//manA//yfdE//pdeF//pdeF//aroL//glcD//idnK//paaK//tehB//
QseB-Phosphorylated_pos	
RhaR-L-rhamnose_pos	
RhaS-L-rhamnose_pos	trpC//sdhC//gapA//
RstA-Phosphorylated_neg	metL//lpxD//
RstA-Phosphorylated_pos	idnD//
SoxR-2Fe_neg	
SoxR-2Fe_pos	purH//puuB//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	tyrA//bioD//pdeF//
TrpR-Tryptophan_neg	trmD//sdhD//moaE//yfeW//iscS//umpH//narG//glpE//argC//
TyrR-L-tryptophan_neg	pgaC//mhpB//entD//cysD//kbl//nanE//hycB//
TyrR-L-tryptophan_pos	ynfH//sufS//nanA//
TyrR-Phenylalanine_neg	lacZ//allC//pheS//trpB//chbF//moaA//paaH//
TyrR-Phenylalanine_pos	phnH//tam//paaG//
TyrR-Tyrosine_neg	phnJ//hemA//dkgB//katG//ubiA//cysN//fucI//
TyrR-Tyrosine_pos	talA//lhgO//gpmA//
UhpA-Phosphorylated_pos	cysK//
XapR-xanthosine_pos	nrfA//phnM//
XylR-Xylose_pos	lysA//cheR//galM//
ZntR-Cd2+_pos	prmC//
ZntR-Hg_pos	betB//
ZntR-Zn2+_pos	rhaD//
ZraR-Phosphorylated_pos	
Zur-Zn2+_neg	purA//
