# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	lpxD//entH//
CRP-cAMP_pos	hemA//pyrD//ilvC//rbsD//betA//galK//trmD//nirB//metA//yfdE//aroF//hyaC//metE//malQ//mpl//galE//patZ//allE//nagB//narG//paaZ//hyaA//fadJ//hmp//aroH//ldtB//lpxA//tdcD//phnN//ugpQ//carA//hycE//napC//metC//pagP//mhpD//mhpD//glnA//lacZ//uxuA//tsaE//moeB//ilvE//feaB//fdhF//pncB//cpdB//metC//garL//alkA//purA//rutA//tsaE//fumB//amn//aldB//cheR//lysA//paaF//talA//waaH//frdC//deoA//ulaF//nrdF//entE//rhaB//argB//citC//polA//cysN//phnG//aroF//hycE//xylA//waaH//miaA//aldA//ssuE//paaG//rutE//bioF//napA//metK//pheT//carA//gabT//guaB//lacA//citE//malP//kbaZ//gltA//ackA//tktB//acnB//cdd//ubiX//phnI//torA//lysA//nrfD//murQ//aldB//mhpF//rbsD//uxaA//pflB//deoA//nrfD//citG//malQ//tehB//hycE//idnD//glcF//pck//uxaC//metK//galT//folE//sucC//phnM//bioF//ogt//aspC//phnN//lpxA//bglB//acnB//hycD//fadB//pgaD//glpC//argC//fdhF//yfdE//araA//fadJ//pheS//entF//alaS//xdhA//gcvP//metA//galE//tadA//pheT//araA//lldD//ogt//yqjH//entF//lsrF//serA//glnA//xdhC//pgk//patZ//bcsB//tsaE//pncB//nrfC//cysK//murQ//murQ//garK//argB//glgB//bioB//udp//ilvN//paaI//rutC//lysU//fucU//trpA//alaA//cysK//chbF//tdcB//ilvM//yeaE//lsrF//rbsD//fau//rutD//dapB//argH//allC//araB//abgB//uvrA//deoB//nanE//paaE//ynfG//purH//xdhB//tdcG//aroF//hpt//aspC//malZ//fadE//tdcB//guaB//nrdB//serA//uxuA//tehB//prpC//nanK//sufS//malS//speB//phnP//yqjH//pgaC//fucK//malQ//glpK//idnO//metL//ynfE//ndh//uxaC//atoA//lysC//rutD//aroF//glpK//citC//tdcB//nagB//bioD//dusB//sodB//glnA//hflX//galT//argC//hemL//
ChbR-Monoacetylchitobiose-6P_neg	lpxB//puuE//cysI//
ChbR-Monoacetylchitobiose-6P_pos	lacA//citX//adhE//
CpxR-Phosphorylated_neg	mpl//truB//gltB//
CpxR-Phosphorylated_pos	entE//sdhD//caiC//dadA//phnM//serA//gcvH//galE//murQ//rbsK//paaF//entD//phnP//ynfG//lysC//rutC//phnJ//fadJ//hycG//
CreB-Phosphorylated_neg	moaE//
CreB-Phosphorylated_pos	gcvT//ilvN//
CueR-Ag_neg	cysN//entA//
CueR-Ag_pos	mhpF//gatD//
CueR-Cu+_neg	kbl//betA//
CueR-Cu+_pos	bioC//purN//
CuerR-Au_neg	rutA//deoD//
CuerR-Au_pos	glpE//murQ//
CusR-Pasp_pos	pnp//ssuD//cysJ//
CynR-Cyanate_neg	
CynR-Cyanate_pos	lacZ//gatY//rutA//
CysB-N-acetyl-L-serine_neg	ndh//bioF//rbsK//
CysB-N-acetyl-L-serine_pos	ubiX//sodB//pgaC//caiB//argA//uxuB//purF//pyrD//glpC//purC//citE//ssuD//glgA//
CysB-O-acetyl-L-serine_neg	fumB//sdhC//hmp//
CysB-O-acetyl-L-serine_pos	treC//hycB//pgaD//cysJ//tdcE//lpxD//rbsK//metH//hycD//cysN//purF//pdeF//ascB//napG//
DcuR-Phosphorylated_pos	hyaC//nadC//ilvE//glpC//
DnaA-ATP_neg	aceA//pck//nrdF//pgaB//pncB//
DnaA-ATP_pos	manA//argD//prpD//
DpiA-Pasp_neg	
DpiA-Pasp_pos	deoB//nrdB//atoD//ssuE//citG//
DsdC-D-serine_neg	
DsdC-D-serine_pos	prmC//hycC//
EvgA-Phosphorylated_pos	hemL//entF//pck//sodA//ftnA//
FNR-Fe_neg	talA//argG//tam//abgB//mdh//fau//speA//lhgO//aroH//mpl//deoB//ndh//cueO//sucD//hycF//frdD//sdhC//ubiX//talA//glgP//tadA//gabT//phnJ//caiB//nanK//purE//speB//abgB//mdh//hycF//sufS//acnA//gabD//avtA//ulaE//miaA//lpxA//paaI//sdhB//fdhF//frdC//purE//hycB//torA//phnP//trmD//srlD//
FNR-Fe_pos	serC//phnH//rdoA//trmD//idnO//gadB//bcsA//gcd//argA//ilvD//cysJ//bacA//nrfD//folA//bacA//napH//ilvE//paaF//aspC//gadB//sodA//citD//dusB//deoB//serC//pgk//caiD//gatZ//tsaE//puuA//gnd//entF//hycC//prs//paaB//glyA//dadX//dadX//pgaD//glpQ//glpA//rbsK//nrdB//caiC//purN//cysD//kbl//mtlD//yqjH//garL//aroL//malZ//fadI//polA//araB//purE//rutB//yqjH//ppiA//phnH//pgaD//trpE//kbl//purE//hmp//ilvE//aroH//glyA//ppiA//pagP//aroH//tktB//manA//atoA//tsaE//nanK//carA//gcvH//atoA//trpA//ynfG//cueO//atoD//lpxB//psd//hflX//ung//purC//dmsB//tdcE//aceE//ynfF//
FhlA-Formate_pos	aldB//glgC//serC//mltC//ybjG//phnO//amn//
FucR-L-fuculose-1-phosphate_pos	abgB//glyA//paaC//lysU//trmD//phnH//
Fur-Fe2+_neg	rhaA//psd//pflB//glpE//slt//dadA//gpmA//lsrK//aceB//truB//serA//oxc//sucD//aspC//lysC//hycB//frdB//fumA//cyaA//tdcD//paaG//umpH//entH//serC//lysC//talA//caiA//puuB//mhpD//astA//bcsB//recF//codA//mhpE//araD//aceE//argB//slt//araB//uidA//puuA//pagP//rbsD//rutC//mhpE//gcvH//ftnA//lpxA//tadA//paaI//nrfD//ascB//astD//argD//pdeF//nanE//argE//purE//entA//
Fur-Fe2+_pos	sodB//phnI//purD//thrS//mpl//truB//thrS//argH//gutQ//frdC//allD//argI//upp//fucK//fadI//ilvI//cpdB//ndh//ansB//metH//
Fur-Mn2+_neg	mtlD//nanK//paaJ//cysM//deoC//purE//gcd//lhgO//glgA//guaA//puuB//ynfG//torC//bioB//frdD//rutA//metK//cysC//cysH//paaB//serC//citF//murQ//tam//hmp//gcvT//galK//avtA//nirB//frdA//aroA//trmD//gapA//sufS//purF//mhpF//codA//ilvI//moeB//astD//cueO//cynS//xapA//cysG//ilvC//citX//fes//rbsK//bacA//gcvT//phnN//puuB//dadA//lldD//ubiG//zwf//mpl//tauD//dusB//
Fur-Mn2+_pos	entF//lysU//slt//yfdE//sucA//gltD//ynfF//nanA//glgA//paaJ//avtA//frdD//deoC//fucU//gdhA//garL//napG//kbl//psd//ada//
GlcC-Acetate_neg	
GlcC-Acetate_pos	mhpA//uxuB//sucD//
GlcC-Glycolate_neg	
GlcC-Glycolate_pos	argF//amn//sdhA//
GlrR-Pasp56_pos	
IclR-pyruvate_neg	hyaC//ansB//purD//
IdnR-5-ketogluconate_neg	ilvD//hyaC//
IdnR-5-ketogluconate_pos	purM//xdhB//yjeF//gcd//
IdnR-Idonate_neg	prs//xdhA//
IdnR-Idonate_pos	hycE//rutC//hmp//cysI//
IlvY-2-acetolactate_neg	
IlvY-2-acetolactate_pos	acnA//
IlvY-Alfa-acetohydroxybutirate_neg	
IlvY-Alfa-acetohydroxybutirate_pos	gatD//
IscR-2Fe_neg	lacA//glcE//ynfH//argB//katE//
IscR-2Fe_pos	gatZ//paaH//
LldR-L-lactate_neg	paaB//metH//
LldR-L-lactate_pos	citF//metH//
Lrp-Leucine_neg	phoA//sodB//rnpB//nrdF//lpxD//atoD//trpB//aroH//glcD//cysH//aroL//serC//purB//cysG//speB//hemA//glpC//cheB//hypB//uxaC//lldD//cysN//napC//glcD//
Lrp-Leucine_pos	tehB//hycB//ilvD//paaJ//pck//bcsB//miaA//bioC//kbl//ynfF//argA//dmsB//trpC//aceE//citE//napA//feaB//sdaA//
LsrR_neg	phnM//frdA//bcsZ//nanK//bcsZ//
MalT-ADP-Maltotriose_pos	gltD//bioB//mhpF//acs//yfeW//citX//
MalT-Maltotriose-ATP_pos	citC//allC//pck//argI//hmp//katG//
MelR-Melibiose_neg	eda//ilvN//
MelR-Melibiose_pos	aceA//lldD//
MetJ-S-adenosylmethionine_neg	pnp//fes//glgA//cdd//mltC//ynfE//fumB//pgaD//recF//uidA//
MetR-L-homocysteine_neg	tdcB//
MetR-L-homocysteine_pos	udp//gpsA//citE//gatD//
MhpR-3-DHPP_pos	abgB//cysK//glpD//kbl//phnH//glpB//
MhpR-3HPP_pos	xylB//mdh//preA//tam//ynfE//metF//
MntR-Cd2+_neg	pheS//
MntR-Cd2+_pos	entA//
ModE-MoO42-_neg	metH//dsdA//trpC//acnB//udp//gcvP//slt//cpdB//
ModE-MoO42-_pos	sucA//puuC//gltD//folE//atoB//rutA//
NarL-Phosphorylated_neg	lldD//uxuB//xapA//torA//trpE//metE//aceB//fadD//mhpE//edd//purN//frc//ilvH//ilvN//abgA//sucD//yfeW//paaZ//chbF//metH//araD//ulaF//frdA//carB//
NarL-Phosphorylated_pos	galT//argB//rutC//metF//gltB//argB//fumB//gltD//feaB//hyaB//tnaA//caiA//moaA//lacZ//nrfD//
NarP-Phosphorylated_neg	tadA//fdhF//bcsB//
NarP-Phosphorylated_pos	caiB//dadX//rutD//argF//pflB//fadH//phnN//galK//acnA//glgP//
NhaR-Na+_pos	metB//tyrB//sdhB//pdeF//
NikR-Cd2+_neg	talA//
NikR-Co2+_neg	rhaB//
NikR-Cu2+_neg	fucI//
NikR-Ni2+_neg	glpD//
NikR-Zn2+_neg	aroL//
NrdR-ATP_neg	glpA//glnA//folA//ssuE//
NrdR-Zn2+_neg	serA//idnD//pck//ulaE//
NrdR-dATP_neg	dapD//deoD//rutB//pagP//
NsrR-2Fe_neg	malP//chbF//fabZ//folE//deoB//betB//serA//speB//narG//sdhC//cysN//caiA//galE//amn//tauD//sdhC//lacA//pheT//napH//uxaC//rdoA//ahpF//purM//ubiX//nadC//prpC//argE//ascB//tdcE//mutY//
PhoB-Phosphorylated_neg	sdhA//galT//mhpE//hycG//metF//
PhoB-Phosphorylated_pos	mtlD//entF//phnO//cysI//citD//ubiC//nrdE//xylA//sucD//allD//ahpC//pta//pgpC//glyA//paaI//ynfE//gdhA//
PhoP-Phosphorylated_neg	ynfH//gutQ//tktB//
PhoP-Phosphorylated_pos	gdhA//tam//ung//xdhA//dmsA//glgP//purN//paaK//cysJ//trmD//glcF//prs//chbG//codA//glgB//deoC//ssuE//fumC//ilvC//moaD//napA//rdoA//dmsC//mhpD//purH//idnD//phnO//rutD//araD//oxc//lldD//deoA//caiA//cysM//
PrpR-2-methylcitrate_neg	
PrpR-2-methylcitrate_pos	aceA//phnL//cyoE//ilvI//
PurR-Guanine_neg	tnaA//astB//agp//aroL//fadB//dmsA//fabZ//cysH//prpB//purN//lsrK//sucD//pgaC//trpB//speB//rbsD//gabT//lpxB//garL//aspA//lacA//uxaB//glpD//rutE//preT//sdhD//garL//
PurR-Hypoxanthine_neg	entE//frdB//malS//gltB//ssuD//glpD//edd//paaE//ubiX//gapA//paaB//araA//tyrA//ppiA//deoD//argD//allC//ugpQ//frdD//icd//ssuE//astE//metE//lpxB//tehB//metH//purH//
QseB-Phosphorylated_pos	
RhaR-L-rhamnose_pos	
RhaS-L-rhamnose_pos	sdaA//cysH//narI//
RstA-Phosphorylated_neg	speA//hemA//
RstA-Phosphorylated_pos	ilvC//
SoxR-2Fe_neg	
SoxR-2Fe_pos	entD//ilvE//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	iscS//yeaE//phnN//
TrpR-Tryptophan_neg	udp//mhpD//caiA//preA//fadJ//ilvA//citX//upp//ftnA//
TyrR-L-tryptophan_neg	nanE//adhE//cysM//hycB//aroH//argB//ugpQ//
TyrR-L-tryptophan_pos	atoD//cynS//ahpC//
TyrR-Phenylalanine_neg	glgA//moeB//argA//citF//ulaE//prmC//phnP//
TyrR-Phenylalanine_pos	ilvI//ispE//xylB//
TyrR-Tyrosine_neg	nanK//rutA//dnaE//alaS//aceB//tehB//fes//
TyrR-Tyrosine_pos	tsaE//speC//tadA//
UhpA-Phosphorylated_pos	thrS//
XapR-xanthosine_pos	bioB//tehB//
XylR-Xylose_pos	tktB//metA//lysU//
ZntR-Cd2+_pos	lysC//
ZntR-Hg_pos	deoD//
ZntR-Zn2+_pos	cpdB//
ZraR-Phosphorylated_pos	
Zur-Zn2+_neg	astA//
