# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	paaE//pgaB//
ArcA_CRP_GlpR	sucB//
ArcA_CRP_IHF	citD//
ArcA_CRP_PuuR	serC//uxaB//nirD//nanA//
ArcA_CRP_RhaS	nrdF//
ArcA_CRP_TreR	aroA//aldA//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	entE//rhaB//
ArcA_Cra	tauD//
ArcA_Cra_FNR_H-NS_HypT	cadA//
ArcA_CysB_FNR	
ArcA_FNR	waaY//astE//murG//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	narG//
ArcA_FNR_Fis_IHF_NarL	metL//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	paaJ//putA//
ArcA_FNR_IHF_NarL	ilvH//hycG//
ArcA_FNR_NarL	waaZ//gcd//lpxC//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	cyoE//cyoE//
ArcA_FadR	araD//nagA//ftnA//
ArcA_FadR_Fis	nanA//glpA//
ArcA_Fur_Lrp_ModE	yiaK//araB//
ArcA_GlcC_IHF_PdhR	prpD//murQ//idnO//
ArcA_LexA	ftsI//
ArcA_LldR	pdeR//rutB//
ArcA_NarL	murC//
ArcA_NtrC_PhoP_RutR	gatY//ssuD//fadJ//metE//glcB//purM//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	garR//
ArgP_CRP_FNR_Fur_Nac	lsrG//
ArgP_DnaA	lacA//
ArgP_Lrp	paaE//lsrF//
ArgP_LysR	puuB//
ArgP_PhoB	
ArgR_CRP	idnD//
ArgR_CRP_Fis	paaE//aroG//ahpC//
ArgR_Fis_IHF_PepA_PurR_RutR	fadH//
ArgR_H-NS_NtrC	rbsK//frdC//
ArgR_NtrC	aroG//guaB//chbF//aceA//murD//
ArgR_PhoP	moeB//
AscG_CRP	lyxK//ilvH//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	caiC//
AtoC_IHF	ynfE//garL//paaJ//
BaeR_CpxR	chbG//
BaeR_CpxR_EvgA	rhaD//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	tauD//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	uxaA//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	tnaA//pgk//nrfD//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	betA//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	dmsA//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	ilvH//gcvH//cysI//araD//gabD//ilvA//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	accC//murD//uvrA//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	murG//aldA//citX//
CRP_Cra_Mlc_NagC	prpD//napC//rsmH//fabZ//
CRP_Cra_PrpR	galE//gcvT//torA//pnp//
CRP_CreB_Fis_MalT	lyxK//
CRP_CsiR_H-NS_Lrp	adhE//
CRP_CsiR_H-NS_Lrp_Nac	rsmH//puuE//araA//
CRP_CspA_Fis	argD//
CRP_CytR	mhpA//
CRP_CytR_DeoR	ynfE//hypB//
CRP_CytR_DeoR_Fis_ModE	ogt//prpC//nemA//malQ//
CRP_CytR_Nac	hyaC//
CRP_CytR_NsrR	pgk//
CRP_DcuR_FNR_NarL	napG//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	ilvH//gatY//
CRP_DpiA_ExuR	rimK//
CRP_DsdC	gnd//ilvE//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	zwf//
CRP_ExuR	metL//
CRP_ExuR_FNR	sdhC//narH//
CRP_ExuR_OxyR_UxuR	ackA//fucO//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	uxuA//
CRP_FNR_Fis	paaG//nagB//
CRP_FNR_Fis_GlpR_IHF	nrdF//prpE//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	hypF//gnd//fadB//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	metL//uidA//metE//nrdD//sucA//
CRP_FNR_NarL	malQ//puuB//
CRP_FeaR_NsrR	waaZ//
CRP_Fis	accB//gabD//cysJ//
CRP_Fis_FlhDC_GalR_GalS	prpD//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	murE//glcF//
CRP_Fis_IHF	entF//prpC//udp//
CRP_Fis_NanR	mhpD//lhgO//nrdA//sdhD//
CRP_Fis_NtrC	entC//
CRP_Fis_XylR	glpQ//
CRP_FlhDC_GalR_GalS	glcF//
CRP_FucR	adhE//narG//glcB//nanA//acnA//gdhA//
CRP_Fur	gutQ//ynfF//mpl//torC//betB//glpQ//relA//acnB//appA//gnd//
CRP_Fur_HypT_PdhR	lpxC//paaB//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	glpX//pspE//purD//pyrD//
CRP_GalR_GalS_NagC	garR//
CRP_GlpR	malP//gapA//tdcE//
CRP_GntR	entD//
CRP_GntR_IdnR	sdhD//mhpC//hpt//dusB//lacA//tdcD//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	nanK//prpD//sgbH//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	tauD//
CRP_H-NS_LacI	ansB//fucK//glcB//
CRP_H-NS_LeuO	mhpA//
CRP_H-NS_MqsA	
CRP_IHF	aroA//nanK//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	gcvP//
CRP_IHF_PaaX	sgbU//pgk//mraY//ogt//gcd//purA//fbaA//gntK//
CRP_IHF_UlaR	murD//bglB//adhE//idnK//
CRP_IHF_YiaJ	fadB//nemA//guaB//mazG//entA//cysM//
CRP_LexA	
CRP_Lrp	hycF//sdhB//argD//glcB//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	bglB//
CRP_LsrR	ubiA//dgcZ//gdhA//gdhA//sucD//
CRP_MalI	epd//uxaA//
CRP_MalT	galM//argD//
CRP_MalT_PhoP	malP//
CRP_MelR	narG//mpl//
CRP_MetJ	metL//
CRP_MhpR	puuB//hycG//galE//metL//astC//fes//
CRP_Mlc	
CRP_ModE	ulaF//
CRP_MurR	atoB//cyoE//rimK//
CRP_Nac_NsrR_PhoB	
CRP_NadR	tdcG//
CRP_NagC	rutE//entE//prpD//patA//lysA//
CRP_NagC_NanR	citG//sdhC//
CRP_NagC_PhoP	pdeR//
CRP_OxyR	
CRP_OxyR_UxuR	glgA//
CRP_PhoB	metL//tdcE//
CRP_PhoP	lpd//relA//ugpQ//
CRP_PutA	nrdD//
CRP_RbsR	folA//nirD//narG//
CRP_RhaR_RhaS	
CRP_RhaS	betA//dmsA//citG//
CRP_Rob	mnmG//
CRP_TorR	lsrK//bglB//
CRP_UhpA_UvrY	ilvH//
CRP_UidR_UxuR	fucO//ahpF//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	recF//fumB//
Cbl_CysB_FNR_IHF	paaC//fes//paaF//
CdaR_FNR_Fis_Fur_H-NS	pyrC//murF//
CdaR_FNR_Fur_H-NS	aroA//gadA//frdD//mazG//
CpxR_CsgD_FliZ	
CpxR_CysB	mtlD//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	sucD//
CpxR_GadE	caiA//pspE//aroG//
CpxR_H-NS	gcvH//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	deoA//
Cra_FNR_Fis_Lrp_NarL	aroL//
Cra_FNR_Fur_MarA_Rob_SoxS	mhpA//
Cra_FhlA_FlhDC	katE//
Cra_GntR_KdgR	aceE//
Cra_GntR_KdgR_PhoB	argG//
Cra_MarA_SoxS	glyA//
Cra_PdeL	lpd//
Cra_SgrR	epd//
Cra_TyrR	murQ//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	fabB//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	aroG//idnD//
CusR_PhoB_YedW	glpB//
CysB_H-NS	uxuB//fadI//galK//
CysB_HypT_IHF	ynfG//
CysB_IHF	garK//lldD//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	frdB//
DinJ-YafQ_LexA	glpC//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	cysJ//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	appA//
FNR_FhlA_NarL_NarP	dadA//galK//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	garR//
FNR_Fis_IHF_ModE_NarL	hycE//
FNR_Fis_IHF_NarL	pck//
FNR_Fis_IHF_NarL_RstA	mtlD//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	pgaD//
FNR_FlhDC_ModE_NarL_NarP	umpH//
FNR_Fur	tam//gutQ//
FNR_Fur_GadE	araB//
FNR_Fur_GadX_NtrC	murF//
FNR_Fur_H-NS	ilvA//uxaB//fucU//
FNR_Fur_MetR_NsrR	fdhF//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	gltD//
FNR_Fur_OxyR	fucA//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	lyxK//
FNR_H-NS_NrdR	purM//hemL//
FNR_IHF	ubiC//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	fadJ//
FNR_IHF_PhoB	
FNR_MalT	paaG//serC//
FNR_ModE	
FNR_NarL	waaZ//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	aroL//xylB//
FNR_NarL_NikR	napA//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	aldB//puuB//
FNR_YqjI	
FabR_FadR	ulaE//galE//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	ugpQ//hycC//
FhlA_IHF_NsrR	
Fis_Fur	purM//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	glpQ//
Fis_IHF	
Fis_IHF_NtrC	hycC//mtlD//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	glpD//
Fis_NarL	araB//
Fis_NarL_NarP_NsrR	
Fis_PurR	sucA//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	uidA//
Fur_H-NS	ulaG//glgP//
Fur_IHF_IscR_NsrR_OxyR	nanK//
Fur_IscR_NrdR	gatZ//
Fur_MetR	gltD//
Fur_MntR	citF//
Fur_MntR_OxyR	gapA//
Fur_OxyR	
Fur_PurR	murQ//
Fur_RcnR	nrdE//
Fur_RutR	yqjH//
Fur_SoxS_Zur	
Fur_YqjI	napB//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	murD//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	fadD//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	ynfG//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	fdhF//
H-NS_Lrp_NhaR_RcsB	pspE//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	zwf//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	moaA//
HU_IHF_TyrR	xylA//
HigA_HigB-HigA	caiB//
HipAB_HipB_IHF	aceB//
HypT_MetJ	caiD//
HypT_MetJ_PhoP	sodA//ftsI//
IHF_Lrp	deoB//acs//gcvH//ilvG_2//recF//
IHF_NsrR	
IHF_NtrC	nirB//
IHF_PhoP	
IHF_PspF	acnA//
IHF_RcsAB	
IHF_RtcR	glcB//glcE//
IHF_TyrR	adhE//
IHF_UlaR	frdC//
LexA_MraZ_PdhR	galE//paaJ//dmsC//garL//cysI//rbsD//glpX//araA//nrfA//lsrK//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	nirD//ahpF//
MarA_PhoP_Rob_SoxS	acnB//metB//ubiA//glpK//ascB//nanK//rutD//fau//fabB//
MarA_Rob_SoxS	puuB//lsrF//
MarA_SoxS	sdhB//frdD//aldA//
MetJ_MetR	puuE//
MetJ_OxyR	hycF//
MetR_PurR	araA//
MraZ_PdhR	pncB//
Nac_PurR	nanM//waaY//
NarL_TorR	paaC//
NemR_RutR	dadX//dsdA//
NhaR_OmpR	cadA//idnD//fabA//
NorR_NsrR	
NsrR_PhoB	puuE//
OxyR_SoxS	
PdhR_PhoP	gatD//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	puuA//icd//
RelB_RelB-RelE	putA//
TrpR_TyrR	lsrF//
YefM_YefM-YoeB	moaD//
