# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	mdh//gutQ//
ArcA_CRP_IHF	kbaZ//
ArcA_CRP_PuuR	guaB//dmsA//fabA//lacZ//
ArcA_CRP_RhaS	cysI//
ArcA_CRP_TreR	citF//malY//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	mhpE//icd//
ArcA_Cra	nemA//
ArcA_Cra_FNR_H-NS_HypT	citX//
ArcA_CysB_FNR	
ArcA_FNR	gadA//entH//codA//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	tam//
ArcA_FNR_Fis_IHF_NarL	hycD//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	glyA//pdeR//
ArcA_FNR_IHF_NarL	guaA//glpD//
ArcA_FNR_NarL	tdcG//kbaZ//tdcG//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	nirD//metE//
ArcA_FadR	melA//sucA//malP//
ArcA_FadR_Fis	puuC//cdd//
ArcA_Fur_Lrp_ModE	astA//lacA//
ArcA_GlcC_IHF_PdhR	appA//dusB//astC//
ArcA_LexA	epd//
ArcA_LldR	moeA//ndh//
ArcA_NarL	fabZ//
ArcA_NtrC_PhoP_RutR	napG//fabA//accB//aroA//mpl//idnD//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	dmsA//
ArgP_CRP_FNR_Fur_Nac	rhaD//
ArgP_DnaA	deoD//
ArgP_Lrp	puuE//glpA//
ArgP_LysR	glcE//
ArgP_PhoB	
ArgR_CRP	cysH//
ArgR_CRP_Fis	sdhA//rutC//ulaE//
ArgR_Fis_IHF_PepA_PurR_RutR	nirB//
ArgR_H-NS_NtrC	frdB//dgcZ//
ArgR_NtrC	lsrG//fabA//carA//deoC//nrfA//
ArgR_PhoP	aroG//
AscG_CRP	ahpF//paaC//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	fucU//
AtoC_IHF	murE//relA//metB//
BaeR_CpxR	fumA//
BaeR_CpxR_EvgA	hycB//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	betA//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	torC//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	nrfB//lhgO//narI//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	hycE//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	puuE//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	frdB//nanM//moaA//nrdE//entF//moeA//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	sdhD//glcF//hycC//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	fumC//fes//aldA//
CRP_Cra_Mlc_NagC	tam//glpB//glpX//nirD//
CRP_Cra_PrpR	sodA//idnO//malS//lacZ//
CRP_CreB_Fis_MalT	ldtB//
CRP_CsiR_H-NS_Lrp	aspA//
CRP_CsiR_H-NS_Lrp_Nac	ldtB//hycC//citD//
CRP_CspA_Fis	nemA//
CRP_CytR	citC//
CRP_CytR_DeoR	xylB//gcvH//
CRP_CytR_DeoR_Fis_ModE	dadX//nfsA//aroL//betA//
CRP_CytR_Nac	fes//
CRP_CytR_NsrR	lpxC//
CRP_DcuR_FNR_NarL	fumB//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	sdhA//caiC//
CRP_DpiA_ExuR	fucI//
CRP_DsdC	sgbE//astA//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	argD//
CRP_ExuR	eda//
CRP_ExuR_FNR	fau//acs//
CRP_ExuR_OxyR_UxuR	mnmG//gatY//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	fadA//
CRP_FNR_Fis	kbaZ//glpB//
CRP_FNR_Fis_GlpR_IHF	hycG//sucD//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	argD//ackA//mtlD//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	sodA//pflB//ynfE//napA//uxuA//
CRP_FNR_NarL	ubiA//mdh//
CRP_FeaR_NsrR	serA//
CRP_Fis	entA//galT//pncB//
CRP_Fis_FlhDC_GalR_GalS	frdD//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	eda//mpl//
CRP_Fis_IHF	hycC//ynfG//ynfG//
CRP_Fis_NanR	frdB//puuB//araA//fabA//
CRP_Fis_NtrC	gloA//
CRP_Fis_XylR	dmsC//
CRP_FlhDC_GalR_GalS	murF//
CRP_FucR	purA//ynfH//paaC//tdcD//sgbU//nanA//
CRP_Fur	hcp//adhE//frdB//fes//hycE//caiD//uxaA//mraY//fadB//cysG//
CRP_Fur_HypT_PdhR	nrfB//uxuB//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	rimK//fadB//aldB//glcE//
CRP_GalR_GalS_NagC	dsdA//
CRP_GlpR	treC//ilvG_2//aldB//
CRP_GntR	aceF//
CRP_GntR_IdnR	citE//astB//ulaE//entF//paaB//purD//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	dmsA//ppiA//tdcD//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	waaH//
CRP_H-NS_LacI	garR//carA//putA//
CRP_H-NS_LeuO	glyA//
CRP_H-NS_MqsA	
CRP_IHF	pspE//glcF//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	sdhA//
CRP_IHF_PaaX	hycE//uxaC//gltD//fadJ//araB//chbG//cadA//fes//
CRP_IHF_UlaR	narG//pyrD//entF//glpK//
CRP_IHF_YiaJ	glcB//fadI//udp//dusB//ascB//ddlB//
CRP_LexA	
CRP_Lrp	icd//lldD//fucO//rbsK//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	mazG//
CRP_LsrR	cysJ//carB//dgcZ//astE//aroG//
CRP_MalI	truB//fumC//
CRP_MalT	caiC//fau//
CRP_MalT_PhoP	atoD//
CRP_MelR	glgC//paaI//
CRP_MetJ	waaY//
CRP_MhpR	gltA//ilvI//napH//sgbU//rbsD//rhaB//
CRP_Mlc	
CRP_ModE	guaA//
CRP_MurR	gatD//ynfF//entB//
CRP_Nac_NsrR_PhoB	
CRP_NadR	argG//
CRP_NagC	glpA//fumB//paaZ//carA//lpxC//
CRP_NagC_NanR	ssuE//ahpF//
CRP_NagC_PhoP	frdD//
CRP_OxyR	
CRP_OxyR_UxuR	glpD//
CRP_PhoB	entF//entF//
CRP_PhoP	fabA//glcD//nrfD//
CRP_PutA	fumC//
CRP_RbsR	lysA//glpA//dgcZ//
CRP_RhaR_RhaS	
CRP_RhaS	edd//adhE//gatZ//
CRP_Rob	lsrF//
CRP_TorR	paaK//puuA//
CRP_UhpA_UvrY	nrdD//
CRP_UidR_UxuR	nirD//glcD//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	accC//gadB//
Cbl_CysB_FNR_IHF	lpxA//glnA//fucU//
CdaR_FNR_Fis_Fur_H-NS	araD//rhaA//
CdaR_FNR_Fur_H-NS	hyaC//entB//purD//pgaC//
CpxR_CsgD_FliZ	
CpxR_CysB	lsrG//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	cdd//
CpxR_GadE	adiA//frdC//galT//
CpxR_H-NS	nrfB//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	hcp//
Cra_FNR_Fis_Lrp_NarL	waaY//
Cra_FNR_Fur_MarA_Rob_SoxS	hycG//
Cra_FhlA_FlhDC	napB//
Cra_GntR_KdgR	tdcB//
Cra_GntR_KdgR_PhoB	glcD//
Cra_MarA_SoxS	appA//
Cra_PdeL	citC//
Cra_SgrR	glpA//
Cra_TyrR	astE//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	carB//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	narH//ilvA//
CusR_PhoB_YedW	ftsI//
CysB_H-NS	prmC//torA//gloA//
CysB_HypT_IHF	ulaF//
CysB_IHF	acs//rhaA//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	serC//
DinJ-YafQ_LexA	waaY//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	paaB//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	glgA//
FNR_FhlA_NarL_NarP	murF//ilvI//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	sodA//
FNR_Fis_IHF_ModE_NarL	cysJ//
FNR_Fis_IHF_NarL	melA//
FNR_Fis_IHF_NarL_RstA	lsrF//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	acnB//
FNR_FlhDC_ModE_NarL_NarP	dadA//
FNR_Fur	cysG//glpC//
FNR_Fur_GadE	astE//
FNR_Fur_GadX_NtrC	citD//
FNR_Fur_H-NS	putA//gadB//tam//
FNR_Fur_MetR_NsrR	torA//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	argG//
FNR_Fur_OxyR	dmsC//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	ynfH//
FNR_H-NS_NrdR	rhaD//lsrK//
FNR_IHF	nrdB//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	fucO//
FNR_IHF_PhoB	
FNR_MalT	gcvH//carA//
FNR_ModE	
FNR_NarL	purH//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	folA//udp//
FNR_NarL_NikR	argG//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	moeA//accC//
FNR_YqjI	
FabR_FadR	rhaB//mhpA//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	lldD//nemA//
FhlA_IHF_NsrR	
Fis_Fur	waaZ//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	citG//
Fis_IHF	
Fis_IHF_NtrC	ilvE//galK//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	napC//
Fis_NarL	fucA//
Fis_NarL_NarP_NsrR	
Fis_PurR	fumC//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	sucA//
Fur_H-NS	ynfE//ynfE//
Fur_IHF_IscR_NsrR_OxyR	hypB//
Fur_IscR_NrdR	kbaZ//
Fur_MetR	metE//
Fur_MntR	nfsA//
Fur_MntR_OxyR	nrdD//
Fur_OxyR	
Fur_PurR	paaG//
Fur_RcnR	nrfA//
Fur_RutR	atoD//
Fur_SoxS_Zur	
Fur_YqjI	nrdB//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	acnA//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	mpl//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	paaI//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	ugpQ//
H-NS_Lrp_NhaR_RcsB	citC//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	hycD//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	tdcG//
HU_IHF_TyrR	idnK//
HigA_HigB-HigA	glpX//
HipAB_HipB_IHF	gcvT//
HypT_MetJ	sdhB//
HypT_MetJ_PhoP	udp//caiB//
IHF_Lrp	hemL//yqjH//rhaA//caiC//idnO//
IHF_NsrR	
IHF_NtrC	lpxA//
IHF_PhoP	
IHF_PspF	atoB//
IHF_RcsAB	
IHF_RtcR	acnA//glpA//
IHF_TyrR	dsdA//
IHF_UlaR	galT//
LexA_MraZ_PdhR	pyrC//garL//nrdF//pspE//uxaC//fumC//dsdA//appA//fabA//glpX//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	pck//mazG//
MarA_PhoP_Rob_SoxS	hypB//cysM//caiA//guaB//lldD//paaJ//glcE//fabB//glcD//
MarA_Rob_SoxS	malY//pflB//
MarA_SoxS	garK//uxaB//malQ//
MetJ_MetR	mhpE//
MetJ_OxyR	mhpE//
MetR_PurR	mhpB//
MraZ_PdhR	gcvH//
Nac_PurR	gcvT//ynfH//
NarL_TorR	nrfC//
NemR_RutR	hyaB//tdcB//
NhaR_OmpR	moaE//purA//hycD//
NorR_NsrR	
NsrR_PhoB	citD//
OxyR_SoxS	
PdhR_PhoP	serC//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	aceA//pnp//
RelB_RelB-RelE	rsmH//
TrpR_TyrR	entH//
YefM_YefM-YoeB	sgbE//
