# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	gntK//guaA//
ArcA_CRP_IHF	astE//
ArcA_CRP_PuuR	ilvI//nanE//fabB//hemA//
ArcA_CRP_RhaS	lyxK//
ArcA_CRP_TreR	bglB//hmp//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	galT//citX//
ArcA_Cra	dadA//
ArcA_Cra_FNR_H-NS_HypT	chbG//
ArcA_CysB_FNR	
ArcA_FNR	sdhA//ssuD//glpK//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	mhpB//
ArcA_FNR_Fis_IHF_NarL	aceF//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	nrfB//lpxD//
ArcA_FNR_IHF_NarL	metE//kbaZ//
ArcA_FNR_NarL	mnmG//murD//napC//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	nanK//ubiC//
ArcA_FadR	ilvH//waaH//waaZ//
ArcA_FadR_Fis	hyaA//ilvA//
ArcA_Fur_Lrp_ModE	frdA//puuD//
ArcA_GlcC_IHF_PdhR	feaB//nrfD//metL//
ArcA_LexA	gabD//
ArcA_LldR	galT//gltB//
ArcA_NarL	paaC//
ArcA_NtrC_PhoP_RutR	gltA//glpX//caiB//ynfH//astD//napA//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	frdB//
ArgP_CRP_FNR_Fur_Nac	gadB//
ArgP_DnaA	idnD//
ArgP_Lrp	atoB//purN//
ArgP_LysR	garK//
ArgP_PhoB	
ArgR_CRP	cadA//
ArgR_CRP_Fis	uidA//prmC//cadA//
ArgR_Fis_IHF_PepA_PurR_RutR	sucB//
ArgR_H-NS_NtrC	idnK//ynfG//
ArgR_NtrC	entA//purA//deoC//sdhB//glpC//
ArgR_PhoP	glpX//
AscG_CRP	caiB//recF//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	sufS//
AtoC_IHF	xylB//hycC//acs//
BaeR_CpxR	sucB//
BaeR_CpxR_EvgA	fadB//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	mraY//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	ddlB//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	caiC//entD//paaE//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	citC//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	ulaD//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	idnO//accB//ldtB//glpK//argG//nanE//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	mraY//paaH//malY//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	fadD//murG//tauD//
CRP_Cra_Mlc_NagC	paaE//puuC//pck//murC//
CRP_Cra_PrpR	moeB//ackA//ascB//nrfD//
CRP_CreB_Fis_MalT	folA//
CRP_CsiR_H-NS_Lrp	nrdD//
CRP_CsiR_H-NS_Lrp_Nac	napC//ilvI//tam//
CRP_CspA_Fis	aldA//
CRP_CytR	galE//
CRP_CytR_DeoR	acnB//narG//
CRP_CytR_DeoR_Fis_ModE	murC//dadX//citD//astB//
CRP_CytR_Nac	garR//
CRP_CytR_NsrR	lyxK//
CRP_DcuR_FNR_NarL	hcp//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	frdB//gatY//
CRP_DpiA_ExuR	gadB//
CRP_DsdC	sufS//frdA//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	malQ//
CRP_ExuR	ubiA//
CRP_ExuR_FNR	ynfE//ackA//
CRP_ExuR_OxyR_UxuR	rimK//citE//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	puuC//
CRP_FNR_Fis	xylA//mtlD//
CRP_FNR_Fis_GlpR_IHF	katG//acnB//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	dsdA//dmsA//dsdA//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	napA//napG//ubiA//entD//galT//
CRP_FNR_NarL	uvrA//fabZ//
CRP_FeaR_NsrR	ppiA//
CRP_Fis	lhgO//codA//fbaA//
CRP_Fis_FlhDC_GalR_GalS	glpC//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	hemL//waaH//
CRP_Fis_IHF	cadA//hyaC//ackA//
CRP_Fis_NanR	umpH//sdhD//aceB//deoD//
CRP_Fis_NtrC	aceE//
CRP_Fis_XylR	glgP//
CRP_FlhDC_GalR_GalS	chbF//
CRP_FucR	paaH//fadI//fes//uxaB//ogt//glpC//
CRP_Fur	atoB//treC//metH//murD//dmsC//hypB//carA//moaE//nrfA//fucO//
CRP_Fur_HypT_PdhR	nrfA//fes//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	aroL//atoB//sdhD//puuD//
CRP_GalR_GalS_NagC	uxaA//
CRP_GlpR	sgbE//kbaZ//fadJ//
CRP_GntR	torC//
CRP_GntR_IdnR	metH//paaH//nfsB//ilvG_2//nanM//murQ//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	purM//ubiC//tdcD//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	sucC//
CRP_H-NS_LacI	hcp//lpxD//metK//
CRP_H-NS_LeuO	srlD//
CRP_H-NS_MqsA	
CRP_IHF	napA//malQ//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	fadE//
CRP_IHF_PaaX	lpxC//hypB//hyaB//tdcG//xylA//fucO//entA//ndh//
CRP_IHF_UlaR	paaK//narI//mraY//acnB//
CRP_IHF_YiaJ	mhpA//rhaB//truB//acnA//ldtB//fbaA//
CRP_LexA	
CRP_Lrp	glnA//gltA//sgbH//ilvM//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	melA//
CRP_LsrR	gcvT//rhaA//ogt//entD//paaB//
CRP_MalI	fumC//carA//
CRP_MalT	paaH//nrdB//
CRP_MalT_PhoP	lsrF//
CRP_MelR	aroA//pspE//
CRP_MetJ	metK//
CRP_MhpR	pgaB//nanA//mpl//yiaK//tam//ilvI//
CRP_Mlc	
CRP_ModE	deoD//
CRP_MurR	epd//paaZ//carA//
CRP_Nac_NsrR_PhoB	
CRP_NadR	accC//
CRP_NagC	aroA//tauD//glpA//sdhD//mazG//
CRP_NagC_NanR	citF//ogt//
CRP_NagC_PhoP	pgaD//
CRP_OxyR	
CRP_OxyR_UxuR	cyoE//
CRP_PhoB	hcp//tdcD//
CRP_PhoP	dsdA//cysM//lsrK//
CRP_PutA	fucI//
CRP_RbsR	gntK//nrfA//gltB//
CRP_RhaR_RhaS	
CRP_RhaS	glgA//murE//malS//
CRP_Rob	lpxD//
CRP_TorR	aldA//malS//
CRP_UhpA_UvrY	garL//
CRP_UidR_UxuR	lysA//rutA//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	chbF//murC//
Cbl_CysB_FNR_IHF	mdh//aroA//ssuE//
CdaR_FNR_Fis_Fur_H-NS	ogt//moaA//
CdaR_FNR_Fur_H-NS	ynfH//metH//ahpF//accC//
CpxR_CsgD_FliZ	
CpxR_CysB	hypB//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	uxuB//
CpxR_GadE	gltB//fadA//tam//
CpxR_H-NS	gltB//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	glyA//
Cra_FNR_Fis_Lrp_NarL	fadI//
Cra_FNR_Fur_MarA_Rob_SoxS	tdcG//
Cra_FhlA_FlhDC	pspE//
Cra_GntR_KdgR	gltB//
Cra_GntR_KdgR_PhoB	nrdF//
Cra_MarA_SoxS	ulaE//
Cra_PdeL	gcd//
Cra_SgrR	gcvH//
Cra_TyrR	katG//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	gcvH//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	nrfD//aroA//
CusR_PhoB_YedW	gcd//
CysB_H-NS	mnmG//truB//ilvM//
CysB_HypT_IHF	ssuE//
CysB_IHF	ppiA//sdhC//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	metE//
DinJ-YafQ_LexA	pgk//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	rnpB//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	ynfF//
FNR_FhlA_NarL_NarP	tauD//betB//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	caiA//
FNR_Fis_IHF_ModE_NarL	glyA//
FNR_Fis_IHF_NarL	cdd//
FNR_Fis_IHF_NarL_RstA	feaB//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	deoD//
FNR_FlhDC_ModE_NarL_NarP	gcd//
FNR_Fur	puuD//sufS//
FNR_Fur_GadE	pgk//
FNR_Fur_GadX_NtrC	murD//
FNR_Fur_H-NS	ynfE//nfsB//mpl//
FNR_Fur_MetR_NsrR	frdA//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	deoD//
FNR_Fur_OxyR	murQ//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	ssuE//
FNR_H-NS_NrdR	serC//treC//
FNR_IHF	aroL//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	pgaC//
FNR_IHF_PhoB	
FNR_MalT	fumC//galK//
FNR_ModE	
FNR_NarL	araB//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	cysH//malS//
FNR_NarL_NikR	nrfB//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	hycF//pgaD//
FNR_YqjI	
FabR_FadR	fadH//rsmH//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	fadH//prpE//
FhlA_IHF_NsrR	
Fis_Fur	murG//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	sdhC//
Fis_IHF	
Fis_IHF_NtrC	waaZ//ulaD//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	ackA//
Fis_NarL	paaK//
Fis_NarL_NarP_NsrR	
Fis_PurR	glpQ//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	uxuB//
Fur_H-NS	hycF//citD//
Fur_IHF_IscR_NsrR_OxyR	adhE//
Fur_IscR_NrdR	narH//
Fur_MetR	fucO//
Fur_MntR	rutC//
Fur_MntR_OxyR	glpX//
Fur_OxyR	
Fur_PurR	glpA//
Fur_RcnR	puuB//
Fur_RutR	ynfH//
Fur_SoxS_Zur	
Fur_YqjI	paaC//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	glgP//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	deoA//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	narH//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	narG//
H-NS_Lrp_NhaR_RcsB	uxaC//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	sdhB//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	pdeR//
HU_IHF_TyrR	nanA//
HigA_HigB-HigA	glnA//
HipAB_HipB_IHF	lldD//
HypT_MetJ	aspC//
HypT_MetJ_PhoP	pyrC//mraY//
IHF_Lrp	nrfD//hemL//dmsA//citF//treC//
IHF_NsrR	
IHF_NtrC	edd//
IHF_PhoP	
IHF_PspF	glcF//
IHF_RcsAB	
IHF_RtcR	relA//xylA//
IHF_TyrR	nrfA//
IHF_UlaR	gapA//
LexA_MraZ_PdhR	entA//cysM//astC//hycG//guaA//entH//glpQ//gabD//dsdA//xylA//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	sucC//ynfE//
MarA_PhoP_Rob_SoxS	pyrC//nrdB//lpxD//fucK//aroG//hyaA//dadA//gatZ//fadJ//
MarA_Rob_SoxS	fumC//sucA//
MarA_SoxS	cysI//bglB//ynfF//
MetJ_MetR	yiaK//
MetJ_OxyR	atoD//
MetR_PurR	atoD//
MraZ_PdhR	zwf//
Nac_PurR	ulaD//aceE//
NarL_TorR	gcd//
NemR_RutR	waaY//glpX//
NhaR_OmpR	purM//mhpD//puuC//
NorR_NsrR	
NsrR_PhoB	frdA//
OxyR_SoxS	
PdhR_PhoP	glpQ//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	hpt//ansB//
RelB_RelB-RelE	dusB//
TrpR_TyrR	uxaA//
YefM_YefM-YoeB	idnK//
