# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	yqjH//ddlB//
ArcA_CRP_IHF	folA//
ArcA_CRP_PuuR	ilvG_2//malY//entC//gloA//
ArcA_CRP_RhaS	prpD//
ArcA_CRP_TreR	dmsA//entH//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	nrfB//cysG//
ArcA_Cra	ogt//
ArcA_Cra_FNR_H-NS_HypT	prpD//
ArcA_CysB_FNR	
ArcA_FNR	prpD//murE//deoD//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	guaB//
ArcA_FNR_Fis_IHF_NarL	tnaA//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	ilvM//glpC//
ArcA_FNR_IHF_NarL	dadA//gutQ//
ArcA_FNR_NarL	rsmH//ftsI//aspC//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	relA//guaA//
ArcA_FadR	idnK//uxuB//lsrF//
ArcA_FadR_Fis	dadX//lhgO//
ArcA_Fur_Lrp_ModE	garR//nrfD//
ArcA_GlcC_IHF_PdhR	ftsI//murG//uxaC//
ArcA_LexA	poxB//
ArcA_LldR	paaZ//ssuD//
ArcA_NarL	fabA//
ArcA_NtrC_PhoP_RutR	gabD//puuA//aceE//fadD//napC//puuC//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	caiA//
ArgP_CRP_FNR_Fur_Nac	mhpE//
ArgP_DnaA	tauD//
ArgP_Lrp	sdhD//hycD//
ArgP_LysR	patA//
ArgP_PhoB	
ArgR_CRP	acs//
ArgR_CRP_Fis	aceA//ahpF//entB//
ArgR_Fis_IHF_PepA_PurR_RutR	astE//
ArgR_H-NS_NtrC	ahpF//dmsA//
ArgR_NtrC	rhaB//ilvM//mpl//tdcG//tdcD//
ArgR_PhoP	gltA//
AscG_CRP	mraY//moeA//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	garK//
AtoC_IHF	metH//murF//fumC//
BaeR_CpxR	caiA//
BaeR_CpxR_EvgA	frdD//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	narG//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	cdd//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	citX//feaB//purH//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	rimK//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	sdhD//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	torA//cysM//puuE//glcF//ilvH//gatY//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	pdeR//edd//rimK//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	ilvD//nagB//ftnA//
CRP_Cra_Mlc_NagC	ugpQ//astD//folA//sodB//
CRP_Cra_PrpR	ackA//ugpQ//lysA//paaI//
CRP_CreB_Fis_MalT	pncB//
CRP_CsiR_H-NS_Lrp	puuD//
CRP_CsiR_H-NS_Lrp_Nac	citG//ulaE//glgC//
CRP_CspA_Fis	hemL//
CRP_CytR	astA//
CRP_CytR_DeoR	gcvT//mazG//
CRP_CytR_DeoR_Fis_ModE	hycC//aroG//dmsC//galM//
CRP_CytR_Nac	mpl//
CRP_CytR_NsrR	dusB//
CRP_DcuR_FNR_NarL	purH//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	garL//nagB//
CRP_DpiA_ExuR	aceE//
CRP_DsdC	narI//accB//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	icd//
CRP_ExuR	gatD//
CRP_ExuR_FNR	pck//rimK//
CRP_ExuR_OxyR_UxuR	ndh//sucA//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	rhaA//
CRP_FNR_Fis	narH//acs//
CRP_FNR_Fis_GlpR_IHF	ulaG//ilvI//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	hemA//aceA//pflB//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	acnA//nrfD//prmC//araA//astC//
CRP_FNR_NarL	lacA//puuD//
CRP_FeaR_NsrR	narI//
CRP_Fis	paaG//idnO//gadA//
CRP_Fis_FlhDC_GalR_GalS	guaB//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	ilvA//hycB//
CRP_Fis_IHF	pdeR//feaB//moeA//
CRP_Fis_NanR	paaH//frdA//hypF//katG//
CRP_Fis_NtrC	metH//
CRP_Fis_XylR	nanK//
CRP_FlhDC_GalR_GalS	mraY//
CRP_FucR	nfsA//metL//serC//glpD//malY//hycD//
CRP_Fur	citX//lyxK//fucO//fes//deoA//frdC//pck//nagA//gntK//fumC//
CRP_Fur_HypT_PdhR	dmsA//fau//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	murG//pgk//paaZ//caiA//
CRP_GalR_GalS_NagC	acnB//
CRP_GlpR	rhaB//ilvH//murQ//
CRP_GntR	rnpB//
CRP_GntR_IdnR	glpB//frdC//umpH//citC//entF//lhgO//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	dsdA//nanK//cyoE//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	glgP//
CRP_H-NS_LacI	ddlB//sgbE//fabB//
CRP_H-NS_LeuO	lldD//
CRP_H-NS_MqsA	
CRP_IHF	ynfG//hyaA//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	torC//
CRP_IHF_PaaX	aroA//fadA//napH//cysJ//torA//pnp//bglB//lacZ//
CRP_IHF_UlaR	atoD//ssuD//astE//dusB//
CRP_IHF_YiaJ	lpxD//murG//napG//nemA//fadA//hyaA//
CRP_LexA	
CRP_Lrp	fucU//narI//truB//uvrA//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	malY//
CRP_LsrR	fadH//fadA//ulaD//tdcE//codA//
CRP_MalI	narH//tdcE//
CRP_MalT	malQ//ynfH//
CRP_MalT_PhoP	murG//
CRP_MelR	ilvH//rutC//
CRP_MetJ	gnd//
CRP_MhpR	metK//serC//uidA//ftsI//astA//sodB//
CRP_Mlc	
CRP_ModE	puuE//
CRP_MurR	fadD//gltA//ynfH//
CRP_Nac_NsrR_PhoB	
CRP_NadR	tdcG//
CRP_NagC	paaE//adhE//prmC//fabB//ulaD//
CRP_NagC_NanR	ilvH//rhaA//
CRP_NagC_PhoP	glpK//
CRP_OxyR	
CRP_OxyR_UxuR	sodB//
CRP_PhoB	fabA//ftnA//
CRP_PhoP	bglB//prpC//uxaA//
CRP_PutA	deoB//
CRP_RbsR	lpxC//lysA//pdeR//
CRP_RhaR_RhaS	
CRP_RhaS	ahpC//ugpQ//rimK//
CRP_Rob	uxaB//
CRP_TorR	fucI//hyaC//
CRP_UhpA_UvrY	ynfH//
CRP_UidR_UxuR	ugpQ//ulaF//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	mpl//fadI//
Cbl_CysB_FNR_IHF	galT//nrfB//guaB//
CdaR_FNR_Fis_Fur_H-NS	hmp//hemA//
CdaR_FNR_Fur_H-NS	acnB//fadD//nirB//citC//
CpxR_CsgD_FliZ	
CpxR_CysB	pgaC//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	nirB//
CpxR_GadE	recF//nemA//cyoE//
CpxR_H-NS	murC//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	ubiA//
Cra_FNR_Fis_Lrp_NarL	eda//
Cra_FNR_Fur_MarA_Rob_SoxS	astC//
Cra_FhlA_FlhDC	purM//
Cra_GntR_KdgR	hyaB//
Cra_GntR_KdgR_PhoB	frdB//
Cra_MarA_SoxS	fumC//
Cra_PdeL	fadB//
Cra_SgrR	napG//
Cra_TyrR	pdeR//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	araB//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	accB//adiA//
CusR_PhoB_YedW	astE//
CysB_H-NS	mhpF//torC//atoA//
CysB_HypT_IHF	moeB//
CysB_IHF	purH//ulaF//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	puuB//
DinJ-YafQ_LexA	gnd//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	atoD//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	gatY//
FNR_FhlA_NarL_NarP	idnK//betB//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	purH//
FNR_Fis_IHF_ModE_NarL	entD//
FNR_Fis_IHF_NarL	lsrK//
FNR_Fis_IHF_NarL_RstA	glgP//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	fau//
FNR_FlhDC_ModE_NarL_NarP	katG//
FNR_Fur	sodA//glpB//
FNR_Fur_GadE	uxaB//
FNR_Fur_GadX_NtrC	purN//
FNR_Fur_H-NS	galE//malS//hycD//
FNR_Fur_MetR_NsrR	aceE//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	gadA//
FNR_Fur_OxyR	gntK//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	idnK//
FNR_H-NS_NrdR	umpH//aceB//
FNR_IHF	nanK//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	uxaB//
FNR_IHF_PhoB	
FNR_MalT	ldtB//nemA//
FNR_ModE	
FNR_NarL	betA//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	nrfB//citC//
FNR_NarL_NikR	ldtB//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	hemA//metE//
FNR_YqjI	
FabR_FadR	puuD//cysJ//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	dmsB//fadD//
FhlA_IHF_NsrR	
Fis_Fur	rutD//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	gltB//
Fis_IHF	
Fis_IHF_NtrC	aldA//pflB//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	gutQ//
Fis_NarL	frdA//
Fis_NarL_NarP_NsrR	
Fis_PurR	epd//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	galT//
Fur_H-NS	hycB//cysI//
Fur_IHF_IscR_NsrR_OxyR	glpX//
Fur_IscR_NrdR	moeA//
Fur_MetR	mdh//
Fur_MntR	puuE//
Fur_MntR_OxyR	malQ//
Fur_OxyR	
Fur_PurR	fabA//
Fur_RcnR	folA//
Fur_RutR	deoA//
Fur_SoxS_Zur	
Fur_YqjI	rnpB//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	epd//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	ilvD//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	deoC//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	paaB//
H-NS_Lrp_NhaR_RcsB	hyaC//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	frdB//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	entD//
HU_IHF_TyrR	araA//
HigA_HigB-HigA	puuE//
HipAB_HipB_IHF	mhpF//
HypT_MetJ	sgbH//
HypT_MetJ_PhoP	lldD//paaH//
IHF_Lrp	fadE//glpB//fadJ//paaZ//ynfG//
IHF_NsrR	
IHF_NtrC	hyaA//
IHF_PhoP	
IHF_PspF	prpC//
IHF_RcsAB	
IHF_RtcR	pgaB//pgaB//
IHF_TyrR	ndh//
IHF_UlaR	paaC//
LexA_MraZ_PdhR	cyoE//gutQ//epd//nrdF//sgbE//idnD//narH//ubiC//katE//gabD//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	astE//lysA//
MarA_PhoP_Rob_SoxS	mdh//garK//uxuA//fes//gcvP//glcB//ssuE//rhaB//edd//
MarA_Rob_SoxS	ahpC//ynfG//
MarA_SoxS	malQ//entD//rutE//
MetJ_MetR	murQ//
MetJ_OxyR	lpd//
MetR_PurR	sgbH//
MraZ_PdhR	fumC//
Nac_PurR	ugpQ//ulaF//
NarL_TorR	prpC//
NemR_RutR	ppiA//malP//
NhaR_OmpR	ssuE//garR//lsrG//
NorR_NsrR	
NsrR_PhoB	cysM//
OxyR_SoxS	
PdhR_PhoP	glpQ//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	fumB//ynfF//
RelB_RelB-RelE	cadA//
TrpR_TyrR	hemL//
YefM_YefM-YoeB	mhpF//
