# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	moaA//rimK//
ArcA_CRP_IHF	gltB//
ArcA_CRP_PuuR	frdA//ynfF//fabB//fumB//
ArcA_CRP_RhaS	murG//
ArcA_CRP_TreR	deoD//accC//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	gapA//glpK//
ArcA_Cra	tdcD//
ArcA_Cra_FNR_H-NS_HypT	nrfD//
ArcA_CysB_FNR	
ArcA_FNR	pnp//prpB//fadB//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	mhpA//
ArcA_FNR_Fis_IHF_NarL	puuC//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	dusB//mhpB//
ArcA_FNR_IHF_NarL	nanE//glpB//
ArcA_FNR_NarL	ulaE//nanE//ubiC//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	dmsB//fadJ//
ArcA_FadR	hyaC//fumA//argG//
ArcA_FadR_Fis	ogt//mraY//
ArcA_Fur_Lrp_ModE	gatZ//mazG//
ArcA_GlcC_IHF_PdhR	ssuD//atoA//cysG//
ArcA_LexA	cysJ//
ArcA_LldR	hycG//astA//
ArcA_NarL	dmsB//
ArcA_NtrC_PhoP_RutR	hyaB//acs//ogt//prmC//purN//metH//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	lacZ//
ArgP_CRP_FNR_Fur_Nac	ilvE//
ArgP_DnaA	ilvM//
ArgP_Lrp	hycG//waaZ//
ArgP_LysR	aspC//
ArgP_PhoB	
ArgR_CRP	cysI//
ArgR_CRP_Fis	pgaD//fabA//moeA//
ArgR_Fis_IHF_PepA_PurR_RutR	yiaK//
ArgR_H-NS_NtrC	sodB//deoB//
ArgR_NtrC	nirD//ugpQ//astB//entB//nrdD//
ArgR_PhoP	tdcE//
AscG_CRP	moaE//rutA//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	gadA//
AtoC_IHF	hemL//nrfA//rutE//
BaeR_CpxR	torA//
BaeR_CpxR_EvgA	ulaD//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	ogt//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	waaY//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	sucC//waaH//hycD//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	rutB//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	gadB//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	mhpC//lyxK//zwf//caiA//gdhA//umpH//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	paaZ//ssuE//moeB//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	feaB//fabZ//gatZ//
CRP_Cra_Mlc_NagC	puuD//ahpC//glyA//waaH//
CRP_Cra_PrpR	nirD//purD//poxB//hycF//
CRP_CreB_Fis_MalT	acnB//
CRP_CsiR_H-NS_Lrp	hycB//
CRP_CsiR_H-NS_Lrp_Nac	dgcZ//paaG//fucK//
CRP_CspA_Fis	glpX//
CRP_CytR	ulaF//
CRP_CytR_DeoR	treC//garL//
CRP_CytR_DeoR_Fis_ModE	nanA//nrdB//fadJ//mdh//
CRP_CytR_Nac	puuD//
CRP_CytR_NsrR	nrdE//
CRP_DcuR_FNR_NarL	sucC//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	nanK//sdhA//
CRP_DpiA_ExuR	citG//
CRP_DsdC	metE//folA//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	truB//
CRP_ExuR	pgaC//
CRP_ExuR_FNR	rutE//dmsC//
CRP_ExuR_OxyR_UxuR	lpxA//rutC//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	hemA//
CRP_FNR_Fis	moaE//murE//
CRP_FNR_Fis_GlpR_IHF	gltB//aceA//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	hycB//atoB//fdhF//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	moeA//hyaC//cadA//cadA//frdD//
CRP_FNR_NarL	ddlB//chbG//
CRP_FeaR_NsrR	lyxK//
CRP_Fis	tdcG//moaA//hpt//
CRP_Fis_FlhDC_GalR_GalS	mhpD//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	aspA//entA//
CRP_Fis_IHF	ulaE//nanA//melA//
CRP_Fis_NanR	pgaC//narG//puuE//gadB//
CRP_Fis_NtrC	puuB//
CRP_Fis_XylR	glgC//
CRP_FlhDC_GalR_GalS	yiaK//
CRP_FucR	astD//glpC//hycF//sodB//lyxK//metH//
CRP_Fur	aceB//murF//fadE//uidA//entD//murG//cysI//glpK//hypF//acs//
CRP_Fur_HypT_PdhR	udp//rutA//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	rnpB//fumA//patA//fadE//
CRP_GalR_GalS_NagC	nrfA//
CRP_GlpR	metB//betB//melA//
CRP_GntR	nrfB//
CRP_GntR_IdnR	ogt//garL//hcp//aspC//accC//sufS//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	glcD//nrfD//frdC//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	srlD//
CRP_H-NS_LacI	lpd//glpX//malS//
CRP_H-NS_LeuO	sodB//
CRP_H-NS_MqsA	
CRP_IHF	glpD//purD//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	paaC//
CRP_IHF_PaaX	relA//rutE//ubiC//paaZ//atoA//ilvG_1//aceF//folA//
CRP_IHF_UlaR	yqjH//waaZ//prpC//nanK//
CRP_IHF_YiaJ	metH//glcE//gcvH//udp//gadB//nagB//
CRP_LexA	
CRP_Lrp	hycG//araD//pyrC//glpC//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	hypB//
CRP_LsrR	dmsC//caiB//nrfD//mhpF//lyxK//
CRP_MalI	dadX//metE//
CRP_MalT	nrfA//serC//
CRP_MalT_PhoP	lhgO//
CRP_MelR	dsdA//lpxA//
CRP_MetJ	katE//
CRP_MhpR	atoB//ddlB//putA//rutB//fdhF//glpA//
CRP_Mlc	
CRP_ModE	uxaC//
CRP_MurR	acnB//argD//nrdB//
CRP_Nac_NsrR_PhoB	
CRP_NadR	lhgO//
CRP_NagC	lacA//aroL//tnaA//fadI//aldB//
CRP_NagC_NanR	idnK//lpxC//
CRP_NagC_PhoP	napA//
CRP_OxyR	
CRP_OxyR_UxuR	gcvT//
CRP_PhoB	ddlB//atoA//
CRP_PhoP	nrdE//glgP//paaZ//
CRP_PutA	galT//
CRP_RbsR	feaB//truB//moeA//
CRP_RhaR_RhaS	
CRP_RhaS	glgP//ahpC//glpK//
CRP_Rob	mtlD//
CRP_TorR	glpC//rutC//
CRP_UhpA_UvrY	sgbH//
CRP_UidR_UxuR	ldtB//hycF//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	glnA//mpl//
Cbl_CysB_FNR_IHF	malY//lpd//hycG//
CdaR_FNR_Fis_Fur_H-NS	ansB//gadB//
CdaR_FNR_Fur_H-NS	paaE//metL//nrfB//nagA//
CpxR_CsgD_FliZ	
CpxR_CysB	uxaC//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	caiC//
CpxR_GadE	mhpF//ansB//gatD//
CpxR_H-NS	feaB//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	idnK//
Cra_FNR_Fis_Lrp_NarL	betA//
Cra_FNR_Fur_MarA_Rob_SoxS	ulaG//
Cra_FhlA_FlhDC	frdD//
Cra_GntR_KdgR	rutE//
Cra_GntR_KdgR_PhoB	dadX//
Cra_MarA_SoxS	tdcE//
Cra_PdeL	idnO//
Cra_SgrR	deoA//
Cra_TyrR	pgaB//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	fadA//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	rimK//betA//
CusR_PhoB_YedW	sufS//
CysB_H-NS	napB//uxuB//glnA//
CysB_HypT_IHF	glpX//
CysB_IHF	astA//argD//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	truB//
DinJ-YafQ_LexA	putA//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	ilvG_2//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	serC//
FNR_FhlA_NarL_NarP	murC//moeB//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	galT//
FNR_Fis_IHF_ModE_NarL	fadB//
FNR_Fis_IHF_NarL	epd//
FNR_Fis_IHF_NarL_RstA	deoD//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	sucC//
FNR_FlhDC_ModE_NarL_NarP	argG//
FNR_Fur	astE//paaJ//
FNR_Fur_GadE	garL//
FNR_Fur_GadX_NtrC	puuD//
FNR_Fur_H-NS	waaY//chbF//fadJ//
FNR_Fur_MetR_NsrR	uvrA//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	nagA//
FNR_Fur_OxyR	fumC//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	ulaG//
FNR_H-NS_NrdR	entC//aspC//
FNR_IHF	gcvH//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	fadB//
FNR_IHF_PhoB	
FNR_MalT	pspE//pgaC//
FNR_ModE	
FNR_NarL	metH//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	entD//sufS//
FNR_NarL_NikR	purM//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	citC//udp//
FNR_YqjI	
FabR_FadR	napA//murD//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	narH//metL//
FhlA_IHF_NsrR	
Fis_Fur	ftsI//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	sucA//
Fis_IHF	
Fis_IHF_NtrC	metE//idnO//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	lsrG//
Fis_NarL	gcvP//
Fis_NarL_NarP_NsrR	
Fis_PurR	fabZ//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	frdA//
Fur_H-NS	aceB//prmC//
Fur_IHF_IscR_NsrR_OxyR	puuE//
Fur_IscR_NrdR	aceB//
Fur_MetR	udp//
Fur_MntR	gntK//
Fur_MntR_OxyR	ilvG_2//
Fur_OxyR	
Fur_PurR	lsrG//
Fur_RcnR	ascB//
Fur_RutR	narH//
Fur_SoxS_Zur	
Fur_YqjI	citG//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	lpxC//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	ulaF//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	aspA//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	icd//
H-NS_Lrp_NhaR_RcsB	patA//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	rhaD//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	paaC//
HU_IHF_TyrR	uxaB//
HigA_HigB-HigA	lldD//
HipAB_HipB_IHF	caiD//
HypT_MetJ	uxuB//
HypT_MetJ_PhoP	ftsI//napB//
IHF_Lrp	nrdE//frdB//puuC//galE//hycD//
IHF_NsrR	
IHF_NtrC	aspC//
IHF_PhoP	
IHF_PspF	fes//
IHF_RcsAB	
IHF_RtcR	ppiA//metE//
IHF_TyrR	kbaZ//
IHF_UlaR	rutA//
LexA_MraZ_PdhR	mhpF//nrdE//deoB//aldB//garL//glpD//murD//sgbU//mhpA//paaF//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	ynfF//fumB//
MarA_PhoP_Rob_SoxS	prpD//eda//tauD//dadX//entH//hcp//dusB//cysM//fabZ//
MarA_Rob_SoxS	lpxA//ppiA//
MarA_SoxS	ahpC//hmp//serA//
MetJ_MetR	gloA//
MetJ_OxyR	gloA//
MetR_PurR	gatZ//
MraZ_PdhR	lhgO//
Nac_PurR	galK//ulaD//
NarL_TorR	waaY//
NemR_RutR	mtlD//mhpF//
NhaR_OmpR	galM//gcvH//fadB//
NorR_NsrR	
NsrR_PhoB	astC//
OxyR_SoxS	
PdhR_PhoP	sdhD//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	fucA//nrdD//
RelB_RelB-RelE	gloA//
TrpR_TyrR	pnp//
YefM_YefM-YoeB	mtlD//
