# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	katG//astE//
ArcA_CRP_GlpR	rutD//
ArcA_CRP_IHF	pdeR//
ArcA_CRP_PuuR	nemA//glcD//glcB//metK//
ArcA_CRP_RhaS	uxaC//
ArcA_CRP_TreR	cadA//cysM//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	murF//mraY//
ArcA_Cra	fumC//
ArcA_Cra_FNR_H-NS_HypT	pyrD//
ArcA_CysB_FNR	
ArcA_FNR	ddlB//fadA//paaH//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	frdB//
ArcA_FNR_Fis_IHF_NarL	ubiA//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	ackA//glcD//
ArcA_FNR_IHF_NarL	sucA//fadJ//
ArcA_FNR_NarL	entF//nrdE//bglB//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	sucD//murC//
ArcA_FadR	puuD//citX//lpxD//
ArcA_FadR_Fis	paaI//gcvH//
ArcA_Fur_Lrp_ModE	pdeR//sdhB//
ArcA_GlcC_IHF_PdhR	metE//ulaF//sufS//
ArcA_LexA	icd//
ArcA_LldR	lsrK//sucB//
ArcA_NarL	narI//
ArcA_NtrC_PhoP_RutR	udp//carA//murG//garL//astB//codA//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	aspC//
ArgP_CRP_FNR_Fur_Nac	betB//
ArgP_DnaA	aceF//
ArgP_Lrp	entE//deoC//
ArgP_LysR	prpC//
ArgP_PhoB	
ArgR_CRP	argG//
ArgR_CRP_Fis	hemA//pncB//fes//
ArgR_Fis_IHF_PepA_PurR_RutR	malY//
ArgR_H-NS_NtrC	fucU//tdcD//
ArgR_NtrC	murG//melA//argG//hycD//xylA//
ArgR_PhoP	hycD//
AscG_CRP	glcD//fumA//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	sodA//
AtoC_IHF	ascB//mhpC//yqjH//
BaeR_CpxR	gatZ//
BaeR_CpxR_EvgA	sucC//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	gltB//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	chbG//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	aceA//glcB//ubiA//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	nirB//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	ilvM//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	puuE//fdhF//ddlB//purH//galT//ftsI//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	dgcZ//lpxD//frdB//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	paaF//rbsD//lacA//
CRP_Cra_Mlc_NagC	sucA//fucA//fadA//eda//
CRP_Cra_PrpR	eda//prpE//astD//sodB//
CRP_CreB_Fis_MalT	sdhD//
CRP_CsiR_H-NS_Lrp	fucU//
CRP_CsiR_H-NS_Lrp_Nac	paaZ//napA//nrfC//
CRP_CspA_Fis	recF//
CRP_CytR	acnA//
CRP_CytR_DeoR	mnmG//aldA//
CRP_CytR_DeoR_Fis_ModE	fucU//fadI//fadH//nirB//
CRP_CytR_Nac	lpxA//
CRP_CytR_NsrR	paaA//
CRP_DcuR_FNR_NarL	atoA//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	atoD//fadJ//
CRP_DpiA_ExuR	guaB//
CRP_DsdC	uxaA//moaD//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	malQ//
CRP_ExuR	fadA//
CRP_ExuR_FNR	fucU//puuB//
CRP_ExuR_OxyR_UxuR	dmsC//hcp//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	mhpC//
CRP_FNR_Fis	citE//metB//
CRP_FNR_Fis_GlpR_IHF	nirD//gltA//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	rnpB//metK//murF//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	tauD//puuC//ynfE//gatZ//ftsI//
CRP_FNR_NarL	entA//ogt//
CRP_FeaR_NsrR	citG//
CRP_Fis	rnpB//ulaE//melA//
CRP_Fis_FlhDC_GalR_GalS	garK//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	gloA//malY//
CRP_Fis_IHF	prpD//napH//hycE//
CRP_Fis_NanR	murQ//pyrC//cysI//pyrD//
CRP_Fis_NtrC	paaK//
CRP_Fis_XylR	hycB//
CRP_FlhDC_GalR_GalS	ynfH//
CRP_FucR	narI//idnO//prmC//gltB//ugpQ//lsrK//
CRP_Fur	galT//sgbH//chbF//ugpQ//paaC//ilvI//ilvD//nirD//fadB//puuE//
CRP_Fur_HypT_PdhR	nrfA//glpK//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	hemL//fadE//moaA//paaB//
CRP_GalR_GalS_NagC	rnpB//
CRP_GlpR	napH//gcvP//pnp//
CRP_GntR	rhaD//
CRP_GntR_IdnR	caiD//sgbU//purA//sgbH//tauD//truB//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	moaE//deoB//gcvH//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	cysH//
CRP_H-NS_LacI	nrdB//udp//gcvT//
CRP_H-NS_LeuO	ahpC//
CRP_H-NS_MqsA	
CRP_IHF	treC//mhpA//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	atoD//
CRP_IHF_PaaX	rimK//sgbE//hemL//rhaA//idnO//zwf//nemA//gatD//
CRP_IHF_UlaR	fadD//uxuA//sdhB//glgP//
CRP_IHF_YiaJ	idnO//lysA//astA//ahpC//sucC//citF//
CRP_LexA	
CRP_Lrp	patA//lysA//lldD//feaB//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	aspC//
CRP_LsrR	galT//paaF//nfsB//garR//gutQ//
CRP_MalI	lhgO//entC//
CRP_MalT	lysA//codA//
CRP_MalT_PhoP	recF//
CRP_MelR	paaB//entB//
CRP_MetJ	aceE//
CRP_MhpR	fabA//deoC//sdhA//paaC//astC//nrdF//
CRP_Mlc	
CRP_ModE	mnmG//
CRP_MurR	codA//rnpB//aceB//
CRP_Nac_NsrR_PhoB	
CRP_NadR	chbF//
CRP_NagC	frdD//mhpE//fumB//ubiA//zwf//
CRP_NagC_NanR	sdhA//paaC//
CRP_NagC_PhoP	gdhA//
CRP_OxyR	
CRP_OxyR_UxuR	paaG//
CRP_PhoB	frdA//uxuB//
CRP_PhoP	caiA//ilvE//fadJ//
CRP_PutA	garK//
CRP_RbsR	cysH//nrfB//nirB//
CRP_RhaR_RhaS	
CRP_RhaS	pgaB//nanA//caiB//
CRP_Rob	fes//
CRP_TorR	metH//fau//
CRP_UhpA_UvrY	umpH//
CRP_UidR_UxuR	rsmH//argG//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	xylA//napC//
Cbl_CysB_FNR_IHF	ilvA//fau//adhE//
CdaR_FNR_Fis_Fur_H-NS	nfsA//nirD//
CdaR_FNR_Fur_H-NS	ldtB//malS//puuC//tdcG//
CpxR_CsgD_FliZ	
CpxR_CysB	uxuB//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	deoA//
CpxR_GadE	dmsC//ulaG//entH//
CpxR_H-NS	cyoE//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	ilvE//
Cra_FNR_Fis_Lrp_NarL	ulaF//
Cra_FNR_Fur_MarA_Rob_SoxS	fumA//
Cra_FhlA_FlhDC	ilvA//
Cra_GntR_KdgR	putA//
Cra_GntR_KdgR_PhoB	fumB//
Cra_MarA_SoxS	purD//
Cra_PdeL	fes//
Cra_SgrR	rhaB//
Cra_TyrR	glpK//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	lpd//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	nagB//bglB//
CusR_PhoB_YedW	pgaB//
CysB_H-NS	rbsK//idnD//tdcG//
CysB_HypT_IHF	sgbU//
CysB_IHF	dgcZ//fau//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	nirB//
DinJ-YafQ_LexA	fabA//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	astB//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	accB//
FNR_FhlA_NarL_NarP	sucA//yqjH//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	pflB//
FNR_Fis_IHF_ModE_NarL	paaK//
FNR_Fis_IHF_NarL	putA//
FNR_Fis_IHF_NarL_RstA	uxuA//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	udp//
FNR_FlhDC_ModE_NarL_NarP	moeB//
FNR_Fur	cyoE//sdhB//
FNR_Fur_GadE	moaA//
FNR_Fur_GadX_NtrC	fucI//
FNR_Fur_H-NS	glpB//fucA//ynfF//
FNR_Fur_MetR_NsrR	glgA//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	napC//
FNR_Fur_OxyR	paaZ//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	garL//
FNR_H-NS_NrdR	bglB//nrfD//
FNR_IHF	murQ//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	ilvI//
FNR_IHF_PhoB	
FNR_MalT	ulaG//tnaA//
FNR_ModE	
FNR_NarL	nirD//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	ftsI//betA//
FNR_NarL_NikR	recF//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	fumC//paaE//
FNR_YqjI	
FabR_FadR	frdB//aceE//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	tauD//astE//
FhlA_IHF_NsrR	
Fis_Fur	nrdE//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	uxaA//
Fis_IHF	
Fis_IHF_NtrC	glgP//accB//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	gadA//
Fis_NarL	hyaC//
Fis_NarL_NarP_NsrR	
Fis_PurR	rutD//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	metH//
Fur_H-NS	gadA//cysI//
Fur_IHF_IscR_NsrR_OxyR	gadB//
Fur_IscR_NrdR	ubiC//
Fur_MetR	fes//
Fur_MntR	entC//
Fur_MntR_OxyR	fes//
Fur_OxyR	
Fur_PurR	malQ//
Fur_RcnR	uxuB//
Fur_RutR	nrfC//
Fur_SoxS_Zur	
Fur_YqjI	citD//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	recF//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	purN//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	codA//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	patA//
H-NS_Lrp_NhaR_RcsB	fes//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	garK//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	puuE//
HU_IHF_TyrR	mdh//
HigA_HigB-HigA	rutE//
HipAB_HipB_IHF	ulaG//
HypT_MetJ	uxaC//
HypT_MetJ_PhoP	moaA//sgbH//
IHF_Lrp	atoA//tdcG//malY//murF//mnmG//
IHF_NsrR	
IHF_NtrC	hcp//
IHF_PhoP	
IHF_PspF	rutB//
IHF_RcsAB	
IHF_RtcR	sdhC//paaH//
IHF_TyrR	purM//
IHF_UlaR	guaA//
LexA_MraZ_PdhR	srlD//serA//malS//poxB//glnA//serA//nanA//gcvP//nrdE//ilvD//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	mhpC//pnp//
MarA_PhoP_Rob_SoxS	araA//aldB//murD//umpH//prmC//entH//fdhF//fumA//fbaA//
MarA_Rob_SoxS	paaG//pdeL//
MarA_SoxS	eda//nagB//acnB//
MetJ_MetR	srlD//
MetJ_OxyR	epd//
MetR_PurR	narG//
MraZ_PdhR	fadA//
Nac_PurR	uvrA//codA//
NarL_TorR	fadD//
NemR_RutR	glpC//sdhC//
NhaR_OmpR	glcE//glcF//aceA//
NorR_NsrR	
NsrR_PhoB	nfsB//
OxyR_SoxS	
PdhR_PhoP	fadB//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	betA//nanE//
RelB_RelB-RelE	galK//
TrpR_TyrR	ndh//
YefM_YefM-YoeB	ppiA//
