# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	pyrC//putA//
ArcA_CRP_GlpR	moaA//
ArcA_CRP_IHF	mpl//
ArcA_CRP_PuuR	ilvH//uxuB//metK//nagB//
ArcA_CRP_RhaS	paaE//
ArcA_CRP_TreR	ynfF//nrfD//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	hemA//ackA//
ArcA_Cra	sucD//
ArcA_Cra_FNR_H-NS_HypT	caiD//
ArcA_CysB_FNR	
ArcA_FNR	glcD//purA//pyrC//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	mtlD//
ArcA_FNR_Fis_IHF_NarL	fucK//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	gntK//ilvA//
ArcA_FNR_IHF_NarL	paaA//nrfD//
ArcA_FNR_NarL	purN//adiA//pyrC//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	melA//prpD//
ArcA_FadR	entH//fadE//nirB//
ArcA_FadR_Fis	kbaZ//paaE//
ArcA_Fur_Lrp_ModE	rnpB//carB//
ArcA_GlcC_IHF_PdhR	ulaF//garK//fucK//
ArcA_LexA	argD//
ArcA_LldR	glnA//gabT//
ArcA_NarL	lysA//
ArcA_NtrC_PhoP_RutR	galK//lpxC//serC//gnd//malS//ilvG_2//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	katG//
ArgP_CRP_FNR_Fur_Nac	epd//
ArgP_DnaA	prpD//
ArgP_Lrp	lpd//caiC//
ArgP_LysR	pdeR//
ArgP_PhoB	
ArgR_CRP	paaA//
ArgR_CRP_Fis	gloA//frdA//glcF//
ArgR_Fis_IHF_PepA_PurR_RutR	rutA//
ArgR_H-NS_NtrC	fadI//garR//
ArgR_NtrC	glyA//frdB//cysG//dadA//ubiA//
ArgR_PhoP	glyA//
AscG_CRP	gcvP//paaJ//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	rsmH//
AtoC_IHF	mazG//uxaA//metB//
BaeR_CpxR	tdcD//
BaeR_CpxR_EvgA	moeA//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	ilvA//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	metE//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	astB//ddlB//pyrC//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	caiC//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	aroL//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	garK//aldA//hycE//gltA//uxaA//patA//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	mhpF//cysG//waaZ//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	dmsC//ugpQ//ogt//
CRP_Cra_Mlc_NagC	chbF//nanK//glcE//caiC//
CRP_Cra_PrpR	fucK//yiaK//astA//gadA//
CRP_CreB_Fis_MalT	entE//
CRP_CsiR_H-NS_Lrp	lldD//
CRP_CsiR_H-NS_Lrp_Nac	appA//entH//astD//
CRP_CspA_Fis	garR//
CRP_CytR	pck//
CRP_CytR_DeoR	lpxA//ulaF//
CRP_CytR_DeoR_Fis_ModE	codA//citC//hmp//hycE//
CRP_CytR_Nac	ndh//
CRP_CytR_NsrR	purH//
CRP_DcuR_FNR_NarL	lysA//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	sucB//sgbE//
CRP_DpiA_ExuR	mhpA//
CRP_DsdC	glcE//acnA//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	sdhD//
CRP_ExuR	chbF//
CRP_ExuR_FNR	guaA//metH//
CRP_ExuR_OxyR_UxuR	nrdF//rbsD//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	mpl//
CRP_FNR_Fis	tnaA//bglB//
CRP_FNR_Fis_GlpR_IHF	fucI//murE//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	zwf//aceE//aceB//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	pgaB//gabD//glpB//adiA//narI//
CRP_FNR_NarL	nemA//entC//
CRP_FeaR_NsrR	pgk//
CRP_Fis	paaA//narH//moaD//
CRP_Fis_FlhDC_GalR_GalS	gabT//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	uxaA//ssuD//
CRP_Fis_IHF	hycD//lpxC//citF//
CRP_Fis_NanR	mazG//sodB//melA//sdhC//
CRP_Fis_NtrC	garR//
CRP_Fis_XylR	aceB//
CRP_FlhDC_GalR_GalS	nanA//
CRP_FucR	atoB//napA//narG//ftsI//paaI//sdhC//
CRP_Fur	ddlB//mraY//moaA//dadA//tnaA//galE//idnK//malP//fadE//rutC//
CRP_Fur_HypT_PdhR	pnp//carA//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	fucA//paaE//purA//codA//
CRP_GalR_GalS_NagC	pyrD//
CRP_GlpR	hycD//gatZ//glgC//
CRP_GntR	pdeL//
CRP_GntR_IdnR	aceF//mazG//patA//fucU//rutD//icd//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	malP//ansB//lsrG//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	xylB//
CRP_H-NS_LacI	mnmG//araB//entC//
CRP_H-NS_LeuO	galT//
CRP_H-NS_MqsA	
CRP_IHF	glpX//sdhC//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	glnA//
CRP_IHF_PaaX	srlD//ascB//fabB//fadD//cysH//tauD//purM//pck//
CRP_IHF_UlaR	aldA//acs//ilvG_2//astE//
CRP_IHF_YiaJ	rhaD//rhaA//hemA//glcB//pnp//cadA//
CRP_LexA	
CRP_Lrp	pncB//gadA//sucD//glgP//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	nrdE//
CRP_LsrR	lpxA//hycE//caiC//guaA//sodA//
CRP_MalI	cysM//yiaK//
CRP_MalT	fucA//hycC//
CRP_MalT_PhoP	hpt//
CRP_MelR	pspE//waaY//
CRP_MetJ	glpB//
CRP_MhpR	melA//gloA//glcE//gcvT//melA//malP//
CRP_Mlc	
CRP_ModE	rhaA//
CRP_MurR	glpX//entB//tdcD//
CRP_Nac_NsrR_PhoB	
CRP_NadR	waaZ//
CRP_NagC	nrdE//sdhD//tdcE//gabT//carA//
CRP_NagC_NanR	dadX//rutC//
CRP_NagC_PhoP	atoD//
CRP_OxyR	
CRP_OxyR_UxuR	carB//
CRP_PhoB	paaB//rutA//
CRP_PhoP	gloA//frdA//ilvH//
CRP_PutA	acnA//
CRP_RbsR	dadX//xylA//rhaB//
CRP_RhaR_RhaS	
CRP_RhaS	lpxC//rsmH//katG//
CRP_Rob	moeB//
CRP_TorR	kbaZ//rutE//
CRP_UhpA_UvrY	gltA//
CRP_UidR_UxuR	galM//cysG//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	pyrD//hycD//
Cbl_CysB_FNR_IHF	gatZ//hycE//idnD//
CdaR_FNR_Fis_Fur_H-NS	ynfF//xylA//
CdaR_FNR_Fur_H-NS	fabB//pdeR//ansB//narG//
CpxR_CsgD_FliZ	
CpxR_CysB	narG//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	ynfF//
CpxR_GadE	aspC//ilvI//tdcD//
CpxR_H-NS	zwf//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	aldB//
Cra_FNR_Fis_Lrp_NarL	nemA//
Cra_FNR_Fur_MarA_Rob_SoxS	ogt//
Cra_FhlA_FlhDC	metE//
Cra_GntR_KdgR	garL//
Cra_GntR_KdgR_PhoB	icd//
Cra_MarA_SoxS	ilvG_2//
Cra_PdeL	tam//
Cra_SgrR	nfsA//
Cra_TyrR	purA//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	sdhD//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	sdhD//dusB//
CusR_PhoB_YedW	murG//
CysB_H-NS	hyaB//dadX//galM//
CysB_HypT_IHF	cysI//
CysB_IHF	sucA//sodA//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	entH//
DinJ-YafQ_LexA	cdd//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	lacZ//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	mtlD//
FNR_FhlA_NarL_NarP	fucA//chbF//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	citG//
FNR_Fis_IHF_ModE_NarL	rutC//
FNR_Fis_IHF_NarL	glpC//
FNR_Fis_IHF_NarL_RstA	purM//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	astC//
FNR_FlhDC_ModE_NarL_NarP	rutE//
FNR_Fur	malY//paaJ//
FNR_Fur_GadE	eda//
FNR_Fur_GadX_NtrC	nfsB//
FNR_Fur_H-NS	cysI//deoC//dmsA//
FNR_Fur_MetR_NsrR	araA//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	metK//
FNR_Fur_OxyR	treC//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	dadA//
FNR_H-NS_NrdR	purH//frdB//
FNR_IHF	deoD//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	fumC//
FNR_IHF_PhoB	
FNR_MalT	adhE//fucO//
FNR_ModE	
FNR_NarL	glpC//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	galT//atoA//
FNR_NarL_NikR	fadJ//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	mhpD//paaK//
FNR_YqjI	
FabR_FadR	murE//torA//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	rutB//hyaB//
FhlA_IHF_NsrR	
Fis_Fur	lpxD//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	citC//
Fis_IHF	
Fis_IHF_NtrC	ldtB//mraY//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	ahpC//
Fis_NarL	pyrD//
Fis_NarL_NarP_NsrR	
Fis_PurR	chbF//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	paaJ//
Fur_H-NS	paaE//rbsD//
Fur_IHF_IscR_NsrR_OxyR	kbaZ//
Fur_IscR_NrdR	kbaZ//
Fur_MetR	nrfD//
Fur_MntR	dgcZ//
Fur_MntR_OxyR	patA//
Fur_OxyR	
Fur_PurR	melA//
Fur_RcnR	nfsA//
Fur_RutR	ulaE//
Fur_SoxS_Zur	
Fur_YqjI	rutA//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	uxaA//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	cysH//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	lpd//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	ulaE//
H-NS_Lrp_NhaR_RcsB	gloA//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	araA//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	cysH//
HU_IHF_TyrR	aroL//
HigA_HigB-HigA	hcp//
HipAB_HipB_IHF	tdcD//
HypT_MetJ	nagA//
HypT_MetJ_PhoP	astA//deoA//
IHF_Lrp	guaA//aroL//aldA//ilvE//sodA//
IHF_NsrR	
IHF_NtrC	dadA//
IHF_PhoP	
IHF_PspF	malQ//
IHF_RcsAB	
IHF_RtcR	caiA//ilvH//
IHF_TyrR	atoD//
IHF_UlaR	puuA//
LexA_MraZ_PdhR	pck//entA//lpxD//cysI//gatD//citD//waaZ//glpC//gatY//hycC//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	gadA//tnaA//
MarA_PhoP_Rob_SoxS	fadI//accC//puuB//acnB//murD//prpC//aroL//dusB//aspA//
MarA_Rob_SoxS	puuE//treC//
MarA_SoxS	atoA//purA//sdhC//
MetJ_MetR	poxB//
MetJ_OxyR	ilvD//
MetR_PurR	moaA//
MraZ_PdhR	carB//
Nac_PurR	carA//appA//
NarL_TorR	cysI//
NemR_RutR	gdhA//idnO//
NhaR_OmpR	dadX//citC//nrfC//
NorR_NsrR	
NsrR_PhoB	nrfC//
OxyR_SoxS	
PdhR_PhoP	malP//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	lsrK//caiD//
RelB_RelB-RelE	rhaD//
TrpR_TyrR	sgbU//
YefM_YefM-YoeB	moaE//
