# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	citC//paaF//
ArcA_CRP_IHF	chbF//
ArcA_CRP_PuuR	patA//gabD//dusB//rsmH//
ArcA_CRP_RhaS	glcD//
ArcA_CRP_TreR	dmsA//fadB//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	aroG//uxaB//
ArcA_Cra	nanE//
ArcA_Cra_FNR_H-NS_HypT	gapA//
ArcA_CysB_FNR	
ArcA_FNR	lysA//rutC//gatY//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	ilvI//
ArcA_FNR_Fis_IHF_NarL	moaA//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	rhaB//pck//
ArcA_FNR_IHF_NarL	caiD//rutB//
ArcA_FNR_NarL	rutB//waaZ//mdh//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	garL//kbaZ//
ArcA_FadR	fadB//ilvA//aroA//
ArcA_FadR_Fis	caiA//aldB//
ArcA_Fur_Lrp_ModE	puuE//citE//
ArcA_GlcC_IHF_PdhR	nrfC//putA//nfsB//
ArcA_LexA	putA//
ArcA_LldR	citX//argG//
ArcA_NarL	ulaD//
ArcA_NtrC_PhoP_RutR	dusB//pyrD//fucO//glpD//putA//nrdD//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	paaZ//
ArgP_CRP_FNR_Fur_Nac	sodA//
ArgP_DnaA	caiB//
ArgP_Lrp	fau//glgP//
ArgP_LysR	fucU//
ArgP_PhoB	
ArgR_CRP	edd//
ArgR_CRP_Fis	uxaC//garR//ddlB//
ArgR_Fis_IHF_PepA_PurR_RutR	ugpQ//
ArgR_H-NS_NtrC	metK//glpC//
ArgR_NtrC	pflB//araD//napB//uxaA//cysM//
ArgR_PhoP	paaB//
AscG_CRP	gabD//fadH//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	nanA//
AtoC_IHF	fucO//tdcB//rhaA//
BaeR_CpxR	cysI//
BaeR_CpxR_EvgA	poxB//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	cysJ//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	betA//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	fumA//ulaF//ahpC//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	rutA//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	fabB//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	puuA//ynfG//folA//frdA//murQ//moeB//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	pgaB//idnD//uxaC//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	dgcZ//gabD//ackA//
CRP_Cra_Mlc_NagC	fadB//ilvA//entC//entE//
CRP_Cra_PrpR	uxaA//malP//cysM//ascB//
CRP_CreB_Fis_MalT	acnB//
CRP_CsiR_H-NS_Lrp	glpX//
CRP_CsiR_H-NS_Lrp_Nac	ugpQ//ulaG//napB//
CRP_CspA_Fis	puuD//
CRP_CytR	moeA//
CRP_CytR_DeoR	araA//caiB//
CRP_CytR_DeoR_Fis_ModE	frdB//ynfE//rnpB//purN//
CRP_CytR_Nac	deoB//
CRP_CytR_NsrR	epd//
CRP_DcuR_FNR_NarL	uidA//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	metE//moeB//
CRP_DpiA_ExuR	garR//
CRP_DsdC	napA//murG//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	astE//
CRP_ExuR	xylA//
CRP_ExuR_FNR	puuE//aspA//
CRP_ExuR_OxyR_UxuR	srlD//ftnA//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	nfsA//
CRP_FNR_Fis	ulaE//nagA//
CRP_FNR_Fis_GlpR_IHF	mhpA//gloA//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	gloA//gatY//puuA//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	pgaD//cdd//adhE//ascB//mhpC//
CRP_FNR_NarL	prpD//hemL//
CRP_FeaR_NsrR	feaB//
CRP_Fis	gnd//idnO//glpK//
CRP_Fis_FlhDC_GalR_GalS	pdeR//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	mhpD//icd//
CRP_Fis_IHF	gabD//lacZ//murQ//
CRP_Fis_NanR	araA//pgk//hyaC//pnp//
CRP_Fis_NtrC	lldD//
CRP_Fis_XylR	hycF//
CRP_FlhDC_GalR_GalS	lpxA//
CRP_FucR	fadD//ugpQ//mazG//sgbH//cysJ//gltA//
CRP_Fur	purA//puuB//narI//lsrK//fbaA//gutQ//deoB//carB//gapA//ftnA//
CRP_Fur_HypT_PdhR	waaZ//rutC//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	galT//nrdA//uvrA//aspA//
CRP_GalR_GalS_NagC	patA//
CRP_GlpR	moaD//uxaB//sgbH//
CRP_GntR	fadB//
CRP_GntR_IdnR	metH//udp//mazG//aceE//pgaD//napB//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	lsrK//fucU//pdeL//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	ilvM//
CRP_H-NS_LacI	fadJ//caiB//uxuB//
CRP_H-NS_LeuO	citG//
CRP_H-NS_MqsA	
CRP_IHF	glpC//serA//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	torA//
CRP_IHF_PaaX	cdd//nanM//moaE//appA//glnA//chbF//murQ//waaZ//
CRP_IHF_UlaR	rhaA//fabA//treC//garL//
CRP_IHF_YiaJ	cysJ//ftsI//galM//nrfC//pgk//narG//
CRP_LexA	
CRP_Lrp	caiA//aroG//ilvG_2//aldA//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	nrdD//
CRP_LsrR	waaH//caiD//ubiA//ddlB//lpxA//
CRP_MalI	epd//mhpE//
CRP_MalT	metL//pyrC//
CRP_MalT_PhoP	ilvI//
CRP_MelR	idnK//lacZ//
CRP_MetJ	edd//
CRP_MhpR	narI//gloA//purM//napG//hycF//gcvP//
CRP_Mlc	
CRP_ModE	mnmG//
CRP_MurR	putA//purN//glpK//
CRP_Nac_NsrR_PhoB	
CRP_NadR	edd//
CRP_NagC	napC//astE//ascB//rutD//dadA//
CRP_NagC_NanR	nrfC//ulaE//
CRP_NagC_PhoP	ulaG//
CRP_OxyR	
CRP_OxyR_UxuR	relA//
CRP_PhoB	hycB//waaY//
CRP_PhoP	gapA//cdd//rutB//
CRP_PutA	puuC//
CRP_RbsR	idnO//patA//rhaB//
CRP_RhaR_RhaS	
CRP_RhaS	rutC//tdcE//entC//
CRP_Rob	glpA//
CRP_TorR	ilvM//malP//
CRP_UhpA_UvrY	glpB//
CRP_UidR_UxuR	hypB//ftsI//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	putA//ynfF//
Cbl_CysB_FNR_IHF	purN//aceA//nirD//
CdaR_FNR_Fis_Fur_H-NS	araA//fumA//
CdaR_FNR_Fur_H-NS	galE//astD//edd//rhaD//
CpxR_CsgD_FliZ	
CpxR_CysB	deoB//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	atoB//
CpxR_GadE	aspC//dmsB//umpH//
CpxR_H-NS	idnD//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	lyxK//
Cra_FNR_Fis_Lrp_NarL	tdcB//
Cra_FNR_Fur_MarA_Rob_SoxS	napC//
Cra_FhlA_FlhDC	hemL//
Cra_GntR_KdgR	paaC//
Cra_GntR_KdgR_PhoB	narH//
Cra_MarA_SoxS	gltD//
Cra_PdeL	eda//
Cra_SgrR	ackA//
Cra_TyrR	puuB//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	entB//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	rutD//gabT//
CusR_PhoB_YedW	fabA//
CysB_H-NS	fabB//narH//nanE//
CysB_HypT_IHF	metH//
CysB_IHF	dusB//pgaD//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	katG//
DinJ-YafQ_LexA	mhpF//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	mhpF//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	mhpA//
FNR_FhlA_NarL_NarP	uidA//idnO//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	garL//
FNR_Fis_IHF_ModE_NarL	puuB//
FNR_Fis_IHF_NarL	murQ//
FNR_Fis_IHF_NarL_RstA	moeA//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	truB//
FNR_FlhDC_ModE_NarL_NarP	cysI//
FNR_Fur	xylB//fbaA//
FNR_Fur_GadE	moeA//
FNR_Fur_GadX_NtrC	rsmH//
FNR_Fur_H-NS	galM//katE//hycE//
FNR_Fur_MetR_NsrR	garL//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	tauD//
FNR_Fur_OxyR	araA//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	murD//
FNR_H-NS_NrdR	nrfB//gcd//
FNR_IHF	nemA//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	glnA//
FNR_IHF_PhoB	
FNR_MalT	dmsA//glcB//
FNR_ModE	
FNR_NarL	waaH//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	kbaZ//tdcE//
FNR_NarL_NikR	fbaA//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	araB//caiC//
FNR_YqjI	
FabR_FadR	tdcG//guaB//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	frdB//murQ//
FhlA_IHF_NsrR	
Fis_Fur	puuB//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	hypB//
Fis_IHF	
Fis_IHF_NtrC	glgP//bglB//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	acs//
Fis_NarL	paaH//
Fis_NarL_NarP_NsrR	
Fis_PurR	paaJ//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	ubiC//
Fur_H-NS	argG//hycG//
Fur_IHF_IscR_NsrR_OxyR	deoD//
Fur_IscR_NrdR	puuD//
Fur_MetR	cysM//
Fur_MntR	argD//
Fur_MntR_OxyR	paaE//
Fur_OxyR	
Fur_PurR	relA//
Fur_RcnR	fucO//
Fur_RutR	ynfH//
Fur_SoxS_Zur	
Fur_YqjI	glgA//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	puuC//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	nanK//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	glyA//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	mhpC//
H-NS_Lrp_NhaR_RcsB	ilvM//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	ddlB//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	prpB//
HU_IHF_TyrR	pdeR//
HigA_HigB-HigA	citG//
HipAB_HipB_IHF	fabA//
HypT_MetJ	patA//
HypT_MetJ_PhoP	fadD//puuD//
IHF_Lrp	truB//ilvH//fabA//eda//pgaB//
IHF_NsrR	
IHF_NtrC	ulaD//
IHF_PhoP	
IHF_PspF	guaA//
IHF_RcsAB	
IHF_RtcR	mhpC//fabA//
IHF_TyrR	murE//
IHF_UlaR	aroA//
LexA_MraZ_PdhR	gdhA//sdhA//fadI//hycC//frdB//nemA//umpH//tdcD//paaJ//uxuA//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	ilvE//glcB//
MarA_PhoP_Rob_SoxS	purD//purD//lldD//ndh//ulaD//nrdE//rutD//pdeL//glpC//
MarA_Rob_SoxS	paaK//dadX//
MarA_SoxS	xylA//rhaB//pyrC//
MetJ_MetR	glgP//
MetJ_OxyR	katG//
MetR_PurR	xylB//
MraZ_PdhR	gcd//
Nac_PurR	sgbE//pgaC//
NarL_TorR	ackA//
NemR_RutR	aceB//ulaF//
NhaR_OmpR	caiA//metB//aldA//
NorR_NsrR	
NsrR_PhoB	hycG//
OxyR_SoxS	
PdhR_PhoP	citD//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	sdhC//aceF//
RelB_RelB-RelE	nrfD//
TrpR_TyrR	dgcZ//
YefM_YefM-YoeB	caiB//
