# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	fbaA//pgaB//
ArcA_CRP_IHF	murC//
ArcA_CRP_PuuR	narH//astA//uxaA//puuA//
ArcA_CRP_RhaS	lhgO//
ArcA_CRP_TreR	dmsC//glpC//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	umpH//ftsI//
ArcA_Cra	citE//
ArcA_Cra_FNR_H-NS_HypT	puuB//
ArcA_CysB_FNR	
ArcA_FNR	lpxA//lpxD//prpD//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	nrfB//
ArcA_FNR_Fis_IHF_NarL	prmC//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	cdd//aldA//
ArcA_FNR_IHF_NarL	dadX//paaC//
ArcA_FNR_NarL	frdB//dsdA//deoC//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	narH//yiaK//
ArcA_FadR	murE//sgbH//lsrK//
ArcA_FadR_Fis	astD//mtlD//
ArcA_Fur_Lrp_ModE	mpl//mhpD//
ArcA_GlcC_IHF_PdhR	galT//astA//glpQ//
ArcA_LexA	adhE//
ArcA_LldR	fumC//sucB//
ArcA_NarL	paaH//
ArcA_NtrC_PhoP_RutR	gcd//fucO//sdhB//prmC//aldB//prmC//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	prpB//
ArgP_CRP_FNR_Fur_Nac	murC//
ArgP_DnaA	cdd//
ArgP_Lrp	gcvP//hycF//
ArgP_LysR	ynfE//
ArgP_PhoB	
ArgR_CRP	sucD//
ArgR_CRP_Fis	fadA//torC//glgC//
ArgR_Fis_IHF_PepA_PurR_RutR	gltA//
ArgR_H-NS_NtrC	aroG//murQ//
ArgR_NtrC	paaZ//murG//deoB//astE//aspC//
ArgR_PhoP	sucD//
AscG_CRP	entE//mhpF//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	hmp//
AtoC_IHF	ssuD//ndh//rsmH//
BaeR_CpxR	pgk//
BaeR_CpxR_EvgA	araA//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	hycF//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	napG//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	fucK//chbG//torC//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	hcp//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	aroL//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	rsmH//hypF//ilvA//uxaB//zwf//ubiA//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	gatZ//caiC//rutE//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	garR//atoD//ulaF//
CRP_Cra_Mlc_NagC	atoA//ddlB//tauD//fucI//
CRP_Cra_PrpR	pgk//metE//citF//hypF//
CRP_CreB_Fis_MalT	fadI//
CRP_CsiR_H-NS_Lrp	idnO//
CRP_CsiR_H-NS_Lrp_Nac	nrdB//hycB//ulaD//
CRP_CspA_Fis	caiC//
CRP_CytR	citG//
CRP_CytR_DeoR	umpH//glgA//
CRP_CytR_DeoR_Fis_ModE	adhE//torC//nrdA//pyrC//
CRP_CytR_Nac	tnaA//
CRP_CytR_NsrR	uidA//
CRP_DcuR_FNR_NarL	hpt//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	citX//ddlB//
CRP_DpiA_ExuR	lpxD//
CRP_DsdC	rutB//hemL//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	fumB//
CRP_ExuR	ssuE//
CRP_ExuR_FNR	tnaA//cyoE//
CRP_ExuR_OxyR_UxuR	mhpA//glpQ//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	lsrK//
CRP_FNR_Fis	moaE//acs//
CRP_FNR_Fis_GlpR_IHF	napH//uvrA//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	glpQ//entE//ddlB//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	xylB//uvrA//fadB//hycF//atoA//
CRP_FNR_NarL	fes//purD//
CRP_FeaR_NsrR	hcp//
CRP_Fis	galT//glgC//mazG//
CRP_Fis_FlhDC_GalR_GalS	lsrK//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	entC//napA//
CRP_Fis_IHF	moaD//aldA//narH//
CRP_Fis_NanR	astD//fucK//mtlD//puuB//
CRP_Fis_NtrC	murD//
CRP_Fis_XylR	deoC//
CRP_FlhDC_GalR_GalS	ubiA//
CRP_FucR	puuE//hemL//pck//glgP//udp//pdeL//
CRP_Fur	gntK//betA//glpD//treC//fadA//gcvT//tdcE//argG//tnaA//murC//
CRP_Fur_HypT_PdhR	relA//mhpB//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	gutQ//nagA//aroA//narI//
CRP_GalR_GalS_NagC	fumA//
CRP_GlpR	galE//prpC//mtlD//
CRP_GntR	yiaK//
CRP_GntR_IdnR	fes//tdcB//murE//gapA//hycE//tdcE//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	lpxC//idnK//fucI//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	mpl//
CRP_H-NS_LacI	astE//murQ//fau//
CRP_H-NS_LeuO	napB//
CRP_H-NS_MqsA	
CRP_IHF	astD//hycD//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	gltB//
CRP_IHF_PaaX	fucU//nrdE//sodB//ssuD//lpxD//gatD//entH//gcd//
CRP_IHF_UlaR	entH//mhpC//dmsA//gnd//
CRP_IHF_YiaJ	mhpA//hemL//icd//astE//relA//sucA//
CRP_LexA	
CRP_Lrp	lsrF//pnp//puuC//ssuD//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	galE//
CRP_LsrR	metB//nrdE//sucD//caiC//cysJ//
CRP_MalI	tdcB//ulaF//
CRP_MalT	nrdD//ilvH//
CRP_MalT_PhoP	napH//
CRP_MelR	glnA//cysM//
CRP_MetJ	gatY//
CRP_MhpR	rbsD//hmp//mhpA//mhpF//hycB//atoB//
CRP_Mlc	
CRP_ModE	sufS//
CRP_MurR	ubiA//rbsD//glcE//
CRP_Nac_NsrR_PhoB	
CRP_NadR	lldD//
CRP_NagC	gltD//citE//napA//serA//deoC//
CRP_NagC_NanR	puuA//hycC//
CRP_NagC_PhoP	rsmH//
CRP_OxyR	
CRP_OxyR_UxuR	mpl//
CRP_PhoB	tdcE//malS//
CRP_PhoP	poxB//hycC//nrdB//
CRP_PutA	srlD//
CRP_RbsR	ddlB//fdhF//fucK//
CRP_RhaR_RhaS	
CRP_RhaS	citE//gadB//paaK//
CRP_Rob	nirB//
CRP_TorR	purM//rimK//
CRP_UhpA_UvrY	lyxK//
CRP_UidR_UxuR	sodB//codA//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	pgaB//ftsI//
Cbl_CysB_FNR_IHF	rutB//nirD//galT//
CdaR_FNR_Fis_Fur_H-NS	ulaE//gutQ//
CdaR_FNR_Fur_H-NS	carA//gatY//napG//sucB//
CpxR_CsgD_FliZ	
CpxR_CysB	fabB//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	mazG//
CpxR_GadE	rutE//hycD//pdeR//
CpxR_H-NS	nagB//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	srlD//
Cra_FNR_Fis_Lrp_NarL	pgk//
Cra_FNR_Fur_MarA_Rob_SoxS	prmC//
Cra_FhlA_FlhDC	glnA//
Cra_GntR_KdgR	paaC//
Cra_GntR_KdgR_PhoB	uidA//
Cra_MarA_SoxS	frdC//
Cra_PdeL	ugpQ//
Cra_SgrR	uidA//
Cra_TyrR	lsrK//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	fucI//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	gatD//nagA//
CusR_PhoB_YedW	mazG//
CysB_H-NS	metH//aceE//ilvM//
CysB_HypT_IHF	patA//
CysB_IHF	gltD//rutB//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	gdhA//
DinJ-YafQ_LexA	hycD//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	pyrC//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	feaB//
FNR_FhlA_NarL_NarP	frdB//glpC//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	gdhA//
FNR_Fis_IHF_ModE_NarL	glcF//
FNR_Fis_IHF_NarL	dmsC//
FNR_Fis_IHF_NarL_RstA	tdcD//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	gltD//
FNR_FlhDC_ModE_NarL_NarP	paaJ//
FNR_Fur	srlD//citX//
FNR_Fur_GadE	hyaA//
FNR_Fur_GadX_NtrC	citC//
FNR_Fur_H-NS	ynfF//nagB//ilvE//
FNR_Fur_MetR_NsrR	metL//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	paaH//
FNR_Fur_OxyR	galK//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	malQ//
FNR_H-NS_NrdR	ubiC//frdB//
FNR_IHF	glpA//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	dmsB//
FNR_IHF_PhoB	
FNR_MalT	fadH//mpl//
FNR_ModE	
FNR_NarL	lpxA//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	paaB//astC//
FNR_NarL_NikR	araA//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	gatY//umpH//
FNR_YqjI	
FabR_FadR	metK//feaB//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	rnpB//gntK//
FhlA_IHF_NsrR	
Fis_Fur	hycF//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	aspC//
Fis_IHF	
Fis_IHF_NtrC	ilvD//fdhF//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	rutB//
Fis_NarL	fucU//
Fis_NarL_NarP_NsrR	
Fis_PurR	melA//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	ilvH//
Fur_H-NS	ynfE//cysI//
Fur_IHF_IscR_NsrR_OxyR	acnA//
Fur_IscR_NrdR	astA//
Fur_MetR	gadB//
Fur_MntR	srlD//
Fur_MntR_OxyR	pdeR//
Fur_OxyR	
Fur_PurR	ilvG_1//
Fur_RcnR	adiA//
Fur_RutR	dgcZ//
Fur_SoxS_Zur	
Fur_YqjI	mhpD//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	moaE//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	relA//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	rhaA//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	fumC//
H-NS_Lrp_NhaR_RcsB	aroA//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	melA//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	ynfF//
HU_IHF_TyrR	lsrK//
HigA_HigB-HigA	pgaC//
HipAB_HipB_IHF	fucO//
HypT_MetJ	dsdA//
HypT_MetJ_PhoP	kbaZ//nirB//
IHF_Lrp	poxB//purM//deoD//malS//fumA//
IHF_NsrR	
IHF_NtrC	entB//
IHF_PhoP	
IHF_PspF	edd//
IHF_RcsAB	
IHF_RtcR	lldD//paaE//
IHF_TyrR	fumB//
IHF_UlaR	ulaD//
LexA_MraZ_PdhR	gatD//paaI//yqjH//mazG//deoD//tdcB//lsrF//paaF//dmsC//pgk//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	rhaD//gntK//
MarA_PhoP_Rob_SoxS	astB//hcp//ascB//paaJ//lpd//fadD//garL//pgaD//fadD//
MarA_Rob_SoxS	malS//tdcD//
MarA_SoxS	fadH//xylA//yiaK//
MetJ_MetR	hycE//
MetJ_OxyR	purM//
MetR_PurR	fucK//
MraZ_PdhR	frdA//
Nac_PurR	ilvG_2//deoA//
NarL_TorR	fdhF//
NemR_RutR	gadB//tdcD//
NhaR_OmpR	caiD//gatY//hycG//
NorR_NsrR	
NsrR_PhoB	aroL//
OxyR_SoxS	
PdhR_PhoP	appA//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	rhaA//cysG//
RelB_RelB-RelE	uidA//
TrpR_TyrR	nagB//
YefM_YefM-YoeB	prmC//
