# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	melA//aceE//
ArcA_CRP_IHF	gcvP//
ArcA_CRP_PuuR	fadB//mhpF//katE//malY//
ArcA_CRP_RhaS	pnp//
ArcA_CRP_TreR	murD//nrdF//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	gadB//bglB//
ArcA_Cra	araA//
ArcA_Cra_FNR_H-NS_HypT	tnaA//
ArcA_CysB_FNR	
ArcA_FNR	betB//caiD//nanA//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	uxuB//
ArcA_FNR_Fis_IHF_NarL	nagA//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	fucA//fumA//
ArcA_FNR_IHF_NarL	citD//hycG//
ArcA_FNR_NarL	ubiC//moaD//gatY//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	fbaA//sucD//
ArcA_FadR	glpX//napG//garL//
ArcA_FadR_Fis	pdeL//entE//
ArcA_Fur_Lrp_ModE	aldB//lsrG//
ArcA_GlcC_IHF_PdhR	fumA//malS//prmC//
ArcA_LexA	uxuA//
ArcA_LldR	mhpD//hypF//
ArcA_NarL	nagA//
ArcA_NtrC_PhoP_RutR	pgaD//gatD//atoA//hycG//entC//idnD//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	glpD//
ArgP_CRP_FNR_Fur_Nac	tdcB//
ArgP_DnaA	lyxK//
ArgP_Lrp	ulaF//rhaB//
ArgP_LysR	hpt//
ArgP_PhoB	
ArgR_CRP	tdcB//
ArgR_CRP_Fis	appA//sgbH//caiD//
ArgR_Fis_IHF_PepA_PurR_RutR	gltA//
ArgR_H-NS_NtrC	chbG//frdD//
ArgR_NtrC	feaB//fumB//garR//nemA//epd//
ArgR_PhoP	epd//
AscG_CRP	astA//adhE//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	ugpQ//
AtoC_IHF	moeB//astD//fadA//
BaeR_CpxR	glcD//
BaeR_CpxR_EvgA	aroL//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	paaA//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	hemA//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	garR//uxaB//paaE//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	citF//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	kbaZ//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	acnA//fadE//nrdB//fadH//betB//paaG//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	sucD//ilvM//nfsB//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	ldtB//mhpA//prpC//
CRP_Cra_Mlc_NagC	purN//entH//dadA//nrfD//
CRP_Cra_PrpR	mhpB//atoA//atoB//entB//
CRP_CreB_Fis_MalT	araB//
CRP_CsiR_H-NS_Lrp	nfsA//
CRP_CsiR_H-NS_Lrp_Nac	aroL//pflB//mhpC//
CRP_CspA_Fis	katG//
CRP_CytR	carA//
CRP_CytR_DeoR	murQ//glpK//
CRP_CytR_DeoR_Fis_ModE	frdB//nanK//uidA//gatD//
CRP_CytR_Nac	aspC//
CRP_CytR_NsrR	gatZ//
CRP_DcuR_FNR_NarL	torC//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	fumC//putA//
CRP_DpiA_ExuR	frdC//
CRP_DsdC	tnaA//murC//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	purH//
CRP_ExuR	ssuE//
CRP_ExuR_FNR	hyaC//ilvH//
CRP_ExuR_OxyR_UxuR	argG//puuA//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	ugpQ//
CRP_FNR_Fis	murQ//gatY//
CRP_FNR_Fis_GlpR_IHF	gltA//ilvE//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	argG//idnD//aceB//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	aroL//garL//adhE//hyaB//serA//
CRP_FNR_NarL	aroL//malP//
CRP_FeaR_NsrR	umpH//
CRP_Fis	glpK//betB//rutC//
CRP_Fis_FlhDC_GalR_GalS	uxaB//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	lsrF//nrdA//
CRP_Fis_IHF	lysA//paaE//sdhB//
CRP_Fis_NanR	dadX//tdcG//tauD//ahpF//
CRP_Fis_NtrC	ackA//
CRP_Fis_XylR	aceA//
CRP_FlhDC_GalR_GalS	astE//
CRP_FucR	gatY//metE//adhE//poxB//fadJ//kbaZ//
CRP_Fur	araD//atoA//dadA//adiA//pyrD//entH//carA//nrdF//carA//fucA//
CRP_Fur_HypT_PdhR	folA//umpH//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	yiaK//tdcB//acnA//mhpE//
CRP_GalR_GalS_NagC	gabD//
CRP_GlpR	ilvM//ulaD//sucC//
CRP_GntR	nirB//
CRP_GntR_IdnR	paaG//galK//moaE//rutB//hyaB//paaZ//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	nfsB//glcF//mdh//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	aceF//
CRP_H-NS_LacI	narI//mtlD//cysH//
CRP_H-NS_LeuO	nrfB//
CRP_H-NS_MqsA	
CRP_IHF	idnK//prpB//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	nanA//
CRP_IHF_PaaX	nanK//guaA//ddlB//katG//lsrK//fadJ//codA//gnd//
CRP_IHF_UlaR	fadH//mnmG//ynfE//puuA//
CRP_IHF_YiaJ	entF//gdhA//ppiA//astE//fucO//sodB//
CRP_LexA	
CRP_Lrp	folA//atoB//metL//cysH//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	ilvG_1//
CRP_LsrR	nrfC//ddlB//prpC//putA//aceA//
CRP_MalI	deoC//sdhD//
CRP_MalT	fabZ//purN//
CRP_MalT_PhoP	uxaB//
CRP_MelR	cdd//pgaC//
CRP_MetJ	citC//
CRP_MhpR	fadH//ahpF//edd//sucA//gltA//fucO//
CRP_Mlc	
CRP_ModE	paaI//
CRP_MurR	hpt//yqjH//paaF//
CRP_Nac_NsrR_PhoB	
CRP_NadR	patA//
CRP_NagC	pgaD//lacZ//codA//hycG//rbsK//
CRP_NagC_NanR	dusB//fadH//
CRP_NagC_PhoP	murE//
CRP_OxyR	
CRP_OxyR_UxuR	gltB//
CRP_PhoB	nrfA//lpxD//
CRP_PhoP	rhaB//nrfA//paaI//
CRP_PutA	puuC//
CRP_RbsR	pdeR//puuD//glpA//
CRP_RhaR_RhaS	
CRP_RhaS	citE//guaB//fadE//
CRP_Rob	purN//
CRP_TorR	prpC//garR//
CRP_UhpA_UvrY	katG//
CRP_UidR_UxuR	citD//rsmH//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	galK//gabD//
Cbl_CysB_FNR_IHF	lysA//sufS//glpD//
CdaR_FNR_Fis_Fur_H-NS	paaE//garR//
CdaR_FNR_Fur_H-NS	srlD//metE//relA//serC//
CpxR_CsgD_FliZ	
CpxR_CysB	hpt//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	moaA//
CpxR_GadE	paaK//aldB//hycE//
CpxR_H-NS	purN//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	metL//
Cra_FNR_Fis_Lrp_NarL	frdA//
Cra_FNR_Fur_MarA_Rob_SoxS	glnA//
Cra_FhlA_FlhDC	rbsD//
Cra_GntR_KdgR	galK//
Cra_GntR_KdgR_PhoB	galT//
Cra_MarA_SoxS	murG//
Cra_PdeL	murQ//
Cra_SgrR	chbG//
Cra_TyrR	entC//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	frdC//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	tdcG//paaZ//
CusR_PhoB_YedW	purD//
CysB_H-NS	dsdA//tam//dmsC//
CysB_HypT_IHF	ssuE//
CysB_IHF	fabB//fadA//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	prpB//
DinJ-YafQ_LexA	mhpB//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	ddlB//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	entB//
FNR_FhlA_NarL_NarP	deoB//lldD//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	lsrG//
FNR_Fis_IHF_ModE_NarL	deoD//
FNR_Fis_IHF_NarL	fadA//
FNR_Fis_IHF_NarL_RstA	prmC//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	treC//
FNR_FlhDC_ModE_NarL_NarP	purA//
FNR_Fur	napA//lysA//
FNR_Fur_GadE	malP//
FNR_Fur_GadX_NtrC	adhE//
FNR_Fur_H-NS	sucA//ilvD//puuC//
FNR_Fur_MetR_NsrR	pgaD//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	hycF//
FNR_Fur_OxyR	cyoE//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	ynfF//
FNR_H-NS_NrdR	adiA//galM//
FNR_IHF	metB//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	lpd//
FNR_IHF_PhoB	
FNR_MalT	murF//uidA//
FNR_ModE	
FNR_NarL	nrdA//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	galE//ansB//
FNR_NarL_NikR	hycE//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	chbG//lpxD//
FNR_YqjI	
FabR_FadR	caiC//hypB//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	ascB//pspE//
FhlA_IHF_NsrR	
Fis_Fur	hycD//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	adiA//
Fis_IHF	
Fis_IHF_NtrC	frdD//fucO//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	lacA//
Fis_NarL	galK//
Fis_NarL_NarP_NsrR	
Fis_PurR	glcF//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	fabZ//
Fur_H-NS	lpxC//ilvG_2//
Fur_IHF_IscR_NsrR_OxyR	mraY//
Fur_IscR_NrdR	puuD//
Fur_MetR	fumA//
Fur_MntR	fucA//
Fur_MntR_OxyR	ynfF//
Fur_OxyR	
Fur_PurR	mnmG//
Fur_RcnR	tdcB//
Fur_RutR	aceE//
Fur_SoxS_Zur	
Fur_YqjI	nfsA//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	sufS//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	tauD//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	serA//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	dusB//
H-NS_Lrp_NhaR_RcsB	truB//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	puuA//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	mpl//
HU_IHF_TyrR	malS//
HigA_HigB-HigA	nrdF//
HipAB_HipB_IHF	ilvM//
HypT_MetJ	uxaB//
HypT_MetJ_PhoP	astA//citD//
IHF_Lrp	carA//serC//ftnA//citE//lsrF//
IHF_NsrR	
IHF_NtrC	pncB//
IHF_PhoP	
IHF_PspF	glyA//
IHF_RcsAB	
IHF_RtcR	lldD//pdeR//
IHF_TyrR	tdcE//
IHF_UlaR	fucK//
LexA_MraZ_PdhR	aroG//gadA//astC//glgA//entF//rutA//bglB//nfsB//glpB//gcvT//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	mtlD//nrfC//
MarA_PhoP_Rob_SoxS	fucU//edd//eda//garK//murD//argG//nfsA//nanM//patA//
MarA_Rob_SoxS	nanK//nrfD//
MarA_SoxS	pyrD//treC//waaZ//
MetJ_MetR	tauD//
MetJ_OxyR	lpd//
MetR_PurR	pyrD//
MraZ_PdhR	mdh//
Nac_PurR	frdA//ilvE//
NarL_TorR	glyA//
NemR_RutR	murG//citF//
NhaR_OmpR	ilvA//prpD//fabA//
NorR_NsrR	
NsrR_PhoB	ldtB//
OxyR_SoxS	
PdhR_PhoP	galM//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	waaH//dgcZ//
RelB_RelB-RelE	hyaC//
TrpR_TyrR	glpQ//
YefM_YefM-YoeB	nanA//
