# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	metB//rutA//
ArcA_CRP_IHF	hycD//
ArcA_CRP_PuuR	tdcG//mhpA//argD//citF//
ArcA_CRP_RhaS	feaB//
ArcA_CRP_TreR	caiA//glcD//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	mtlD//uxaB//
ArcA_Cra	sucA//
ArcA_Cra_FNR_H-NS_HypT	nirB//
ArcA_CysB_FNR	
ArcA_FNR	fucK//betA//kbaZ//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	edd//
ArcA_FNR_Fis_IHF_NarL	dmsB//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	ldtB//rutD//
ArcA_FNR_IHF_NarL	purA//entE//
ArcA_FNR_NarL	xylA//sdhC//entD//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	pdeR//carB//
ArcA_FadR	mhpB//mraY//aspA//
ArcA_FadR_Fis	napG//dusB//
ArcA_Fur_Lrp_ModE	galM//entD//
ArcA_GlcC_IHF_PdhR	nrdD//paaH//citE//
ArcA_LexA	nagA//
ArcA_LldR	citX//entE//
ArcA_NarL	glpK//
ArcA_NtrC_PhoP_RutR	hycE//adiA//xylA//aldA//paaZ//fucU//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	rnpB//
ArgP_CRP_FNR_Fur_Nac	citD//
ArgP_DnaA	nanE//
ArgP_Lrp	uxaC//tam//
ArgP_LysR	aroL//
ArgP_PhoB	
ArgR_CRP	pyrD//
ArgR_CRP_Fis	prpC//fucA//mhpB//
ArgR_Fis_IHF_PepA_PurR_RutR	glcD//
ArgR_H-NS_NtrC	waaY//aroL//
ArgR_NtrC	puuE//malP//paaF//rbsD//ubiC//
ArgR_PhoP	truB//
AscG_CRP	rnpB//pspE//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	fabA//
AtoC_IHF	pgaC//uxaA//ulaF//
BaeR_CpxR	tauD//
BaeR_CpxR_EvgA	mraY//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	pgaB//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	prmC//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	gabT//atoA//waaH//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	glpX//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	caiB//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	glpK//gadA//entD//dsdA//acnB//adhE//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	hypF//yqjH//puuA//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	epd//dmsB//galE//
CRP_Cra_Mlc_NagC	hyaC//entC//hycB//feaB//
CRP_Cra_PrpR	paaB//folA//zwf//sgbU//
CRP_CreB_Fis_MalT	fadI//
CRP_CsiR_H-NS_Lrp	gltD//
CRP_CsiR_H-NS_Lrp_Nac	rbsD//rutD//glgP//
CRP_CspA_Fis	hycB//
CRP_CytR	prpD//
CRP_CytR_DeoR	ulaD//katE//
CRP_CytR_DeoR_Fis_ModE	pspE//pyrC//uxaA//katG//
CRP_CytR_Nac	entF//
CRP_CytR_NsrR	lsrG//
CRP_DcuR_FNR_NarL	puuC//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	glgA//appA//
CRP_DpiA_ExuR	aroL//
CRP_DsdC	ilvG_2//aceB//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	argD//
CRP_ExuR	treC//
CRP_ExuR_FNR	entH//nrfD//
CRP_ExuR_OxyR_UxuR	mhpE//napA//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	narH//
CRP_FNR_Fis	nagA//nrdE//
CRP_FNR_Fis_GlpR_IHF	waaY//hyaC//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	glpD//appA//hycF//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	lpd//lsrG//hyaC//ahpF//glpQ//
CRP_FNR_NarL	nrfD//astD//
CRP_FeaR_NsrR	mdh//
CRP_Fis	glpC//murF//malS//
CRP_Fis_FlhDC_GalR_GalS	ansB//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	aroG//fes//
CRP_Fis_IHF	sodB//rutA//kbaZ//
CRP_Fis_NanR	puuB//frdA//deoC//uxuB//
CRP_Fis_NtrC	frdA//
CRP_Fis_XylR	entA//
CRP_FlhDC_GalR_GalS	glpD//
CRP_FucR	hycD//rutC//malQ//hycB//cysJ//appA//
CRP_Fur	umpH//fau//malQ//fadI//prpD//uxuA//glpC//hemA//ilvG_1//torA//
CRP_Fur_HypT_PdhR	fucU//recF//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	nrdA//ugpQ//paaF//napG//
CRP_GalR_GalS_NagC	entF//
CRP_GlpR	nrdE//carB//murQ//
CRP_GntR	sodB//
CRP_GntR_IdnR	gatD//deoD//astD//pck//appA//ascB//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	xylB//moeA//tdcB//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	ulaD//
CRP_H-NS_LacI	paaA//ddlB//ulaE//
CRP_H-NS_LeuO	lpxD//
CRP_H-NS_MqsA	
CRP_IHF	ynfH//sdhC//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	gabT//
CRP_IHF_PaaX	murD//cysI//fadB//rutC//pdeR//narH//metL//paaG//
CRP_IHF_UlaR	paaG//fadD//aldB//garR//
CRP_IHF_YiaJ	frdB//lpxA//ilvA//murF//nrdA//ilvE//
CRP_LexA	
CRP_Lrp	ynfG//frdB//gcvH//ilvA//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	pgaB//
CRP_LsrR	yiaK//atoA//nrdF//rutC//aldB//
CRP_MalI	sodA//serC//
CRP_MalT	caiB//gntK//
CRP_MalT_PhoP	gntK//
CRP_MelR	entE//gcvH//
CRP_MetJ	fadH//
CRP_MhpR	pnp//nrdF//hycE//nrdE//pgaD//ilvH//
CRP_Mlc	
CRP_ModE	gltA//
CRP_MurR	metL//mdh//acnA//
CRP_Nac_NsrR_PhoB	
CRP_NadR	hyaA//
CRP_NagC	ldtB//glpQ//ldtB//fdhF//ynfG//
CRP_NagC_NanR	paaB//idnO//
CRP_NagC_PhoP	fadA//
CRP_OxyR	
CRP_OxyR_UxuR	lpxC//
CRP_PhoB	fabB//dsdA//
CRP_PhoP	fadE//uxaC//ftsI//
CRP_PutA	gltB//
CRP_RbsR	entB//yqjH//hycC//
CRP_RhaR_RhaS	
CRP_RhaS	treC//ldtB//cysH//
CRP_Rob	torA//
CRP_TorR	sdhA//dmsC//
CRP_UhpA_UvrY	lacA//
CRP_UidR_UxuR	srlD//napB//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	nrdA//galT//
Cbl_CysB_FNR_IHF	acnB//entB//lpxA//
CdaR_FNR_Fis_Fur_H-NS	pgaD//eda//
CdaR_FNR_Fur_H-NS	pdeL//treC//truB//moaE//
CpxR_CsgD_FliZ	
CpxR_CysB	hmp//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	ulaF//
CpxR_GadE	fadH//deoC//carB//
CpxR_H-NS	fes//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	tdcE//
Cra_FNR_Fis_Lrp_NarL	araB//
Cra_FNR_Fur_MarA_Rob_SoxS	lsrG//
Cra_FhlA_FlhDC	idnO//
Cra_GntR_KdgR	gadA//
Cra_GntR_KdgR_PhoB	aceA//
Cra_MarA_SoxS	entA//
Cra_PdeL	deoC//
Cra_SgrR	tauD//
Cra_TyrR	serA//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	nanK//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	appA//citC//
CusR_PhoB_YedW	ynfF//
CysB_H-NS	cadA//gabT//lldD//
CysB_HypT_IHF	malQ//
CysB_IHF	fumC//yiaK//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	sufS//
DinJ-YafQ_LexA	ansB//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	pgk//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	pdeL//
FNR_FhlA_NarL_NarP	mazG//cadA//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	mazG//
FNR_Fis_IHF_ModE_NarL	prpC//
FNR_Fis_IHF_NarL	accB//
FNR_Fis_IHF_NarL_RstA	glyA//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	paaB//
FNR_FlhDC_ModE_NarL_NarP	narI//
FNR_Fur	ascB//dmsA//
FNR_Fur_GadE	gntK//
FNR_Fur_GadX_NtrC	paaJ//
FNR_Fur_H-NS	adhE//citX//cdd//
FNR_Fur_MetR_NsrR	accB//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	ilvG_2//
FNR_Fur_OxyR	murG//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	ynfE//
FNR_H-NS_NrdR	citE//fucA//
FNR_IHF	rnpB//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	mhpC//
FNR_IHF_PhoB	
FNR_MalT	gadA//gdhA//
FNR_ModE	
FNR_NarL	fucA//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	hycC//nirD//
FNR_NarL_NikR	acnB//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	aspA//uxuA//
FNR_YqjI	
FabR_FadR	cysH//nagA//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	pck//zwf//
FhlA_IHF_NsrR	
Fis_Fur	waaH//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	ulaF//
Fis_IHF	
Fis_IHF_NtrC	uxaC//sucC//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	tdcE//
Fis_NarL	puuC//
Fis_NarL_NarP_NsrR	
Fis_PurR	tnaA//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	rnpB//
Fur_H-NS	garR//pgaD//
Fur_IHF_IscR_NsrR_OxyR	hpt//
Fur_IscR_NrdR	dmsA//
Fur_MetR	pspE//
Fur_MntR	hmp//
Fur_MntR_OxyR	astD//
Fur_OxyR	
Fur_PurR	frdA//
Fur_RcnR	glcD//
Fur_RutR	chbG//
Fur_SoxS_Zur	
Fur_YqjI	nrdE//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	serA//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	lpxA//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	fadJ//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	glyA//
H-NS_Lrp_NhaR_RcsB	sucD//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	citD//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	ugpQ//
HU_IHF_TyrR	paaG//
HigA_HigB-HigA	citX//
HipAB_HipB_IHF	pck//
HypT_MetJ	glcD//
HypT_MetJ_PhoP	adhE//hycD//
IHF_Lrp	pnp//gcd//paaB//hycF//gcd//
IHF_NsrR	
IHF_NtrC	citD//
IHF_PhoP	
IHF_PspF	rhaB//
IHF_RcsAB	
IHF_RtcR	rutA//ftnA//
IHF_TyrR	gadA//
IHF_UlaR	astB//
LexA_MraZ_PdhR	gntK//yqjH//ndh//mhpD//nfsA//nanM//ppiA//pgaC//ansB//entE//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	ilvG_1//hcp//
MarA_PhoP_Rob_SoxS	folA//accB//entE//mhpC//fucO//pgaC//hycE//rnpB//murC//
MarA_Rob_SoxS	araA//tnaA//
MarA_SoxS	tam//treC//araA//
MetJ_MetR	gapA//
MetJ_OxyR	mhpC//
MetR_PurR	glnA//
MraZ_PdhR	gltA//
Nac_PurR	prpE//puuA//
NarL_TorR	paaG//
NemR_RutR	rhaA//paaG//
NhaR_OmpR	paaJ//malP//dsdA//
NorR_NsrR	
NsrR_PhoB	ugpQ//
OxyR_SoxS	
PdhR_PhoP	glgA//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	gcvP//serC//
RelB_RelB-RelE	glpK//
TrpR_TyrR	hycG//
YefM_YefM-YoeB	tdcB//
