# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	udp//caiC//
ArcA_CRP_IHF	pyrD//
ArcA_CRP_PuuR	napA//glpA//nrdF//lacA//
ArcA_CRP_RhaS	hyaA//
ArcA_CRP_TreR	rutC//paaK//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	relA//entF//
ArcA_Cra	ftnA//
ArcA_Cra_FNR_H-NS_HypT	mhpF//
ArcA_CysB_FNR	
ArcA_FNR	ubiC//ssuD//napA//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	fabZ//
ArcA_FNR_Fis_IHF_NarL	ndh//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	glgA//ynfH//
ArcA_FNR_IHF_NarL	ilvI//entF//
ArcA_FNR_NarL	mhpB//caiC//pncB//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	mhpF//sgbE//
ArcA_FadR	lysA//gltB//aldB//
ArcA_FadR_Fis	gnd//astB//
ArcA_Fur_Lrp_ModE	feaB//gabD//
ArcA_GlcC_IHF_PdhR	aroL//sodA//tdcG//
ArcA_LexA	cysI//
ArcA_LldR	gdhA//glpD//
ArcA_NarL	pspE//
ArcA_NtrC_PhoP_RutR	fumB//citE//ackA//citF//deoC//fucK//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	uvrA//
ArgP_CRP_FNR_Fur_Nac	dadA//
ArgP_DnaA	betA//
ArgP_Lrp	caiA//narI//
ArgP_LysR	tdcG//
ArgP_PhoB	
ArgR_CRP	gltA//
ArgR_CRP_Fis	aldB//murG//chbG//
ArgR_Fis_IHF_PepA_PurR_RutR	gatZ//
ArgR_H-NS_NtrC	deoC//hmp//
ArgR_NtrC	purH//mhpA//kbaZ//metB//putA//
ArgR_PhoP	purN//
AscG_CRP	gabT//nemA//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	uxuB//
AtoC_IHF	fumC//deoC//puuD//
BaeR_CpxR	galE//
BaeR_CpxR_EvgA	aroG//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	aceA//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	guaA//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	cysG//gcvH//cysJ//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	poxB//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	narH//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	glpA//waaY//atoD//ogt//ftsI//fadE//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	aspC//glcB//rutC//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	sufS//ilvD//sdhD//
CRP_Cra_Mlc_NagC	frdD//waaY//hemL//ilvI//
CRP_Cra_PrpR	pyrC//fadJ//purD//gcvH//
CRP_CreB_Fis_MalT	atoD//
CRP_CsiR_H-NS_Lrp	mhpF//
CRP_CsiR_H-NS_Lrp_Nac	chbG//moaA//murG//
CRP_CspA_Fis	gutQ//
CRP_CytR	uidA//
CRP_CytR_DeoR	glpK//gnd//
CRP_CytR_DeoR_Fis_ModE	fadI//mnmG//entB//pgk//
CRP_CytR_Nac	paaF//
CRP_CytR_NsrR	hycF//
CRP_DcuR_FNR_NarL	gutQ//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	entF//glpK//
CRP_DpiA_ExuR	aceB//
CRP_DsdC	gcvT//gcvH//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	tdcE//
CRP_ExuR	aceF//
CRP_ExuR_FNR	ilvE//hpt//
CRP_ExuR_OxyR_UxuR	sgbE//pspE//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	hycB//
CRP_FNR_Fis	gltD//fabA//
CRP_FNR_Fis_GlpR_IHF	entA//narH//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	fau//galT//fucA//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	narG//narH//sodB//betA//napG//
CRP_FNR_NarL	nrfA//fbaA//
CRP_FeaR_NsrR	lldD//
CRP_Fis	aspC//nrdF//garK//
CRP_Fis_FlhDC_GalR_GalS	fadA//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	garL//pyrD//
CRP_Fis_IHF	aceB//murG//nemA//
CRP_Fis_NanR	dmsC//sucA//fumA//fadI//
CRP_Fis_NtrC	sufS//
CRP_Fis_XylR	ilvD//
CRP_FlhDC_GalR_GalS	glpB//
CRP_FucR	idnD//nrdF//idnD//paaH//purH//gnd//
CRP_Fur	gadB//sucB//guaB//gabD//dmsA//uxaB//deoB//ldtB//frdC//cysG//
CRP_Fur_HypT_PdhR	fucU//guaB//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	torC//uxaA//malP//hycC//
CRP_GalR_GalS_NagC	prpC//
CRP_GlpR	betB//caiA//caiD//
CRP_GntR	napH//
CRP_GntR_IdnR	entB//glcE//moeB//glpX//uidA//sodB//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	katE//mhpB//nanA//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	sucB//
CRP_H-NS_LacI	nagA//prmC//carA//
CRP_H-NS_LeuO	hpt//
CRP_H-NS_MqsA	
CRP_IHF	prpD//lldD//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	mhpE//
CRP_IHF_PaaX	hypB//tam//frdD//caiC//nanE//torA//hyaB//ynfF//
CRP_IHF_UlaR	aldB//gapA//glpB//lacZ//
CRP_IHF_YiaJ	argD//pgaD//nrfD//fau//sgbH//garL//
CRP_LexA	
CRP_Lrp	ddlB//gcvP//ascB//fdhF//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	aceA//
CRP_LsrR	torC//ogt//gltD//sodB//gcd//
CRP_MalI	glcE//tam//
CRP_MalT	sucD//caiD//
CRP_MalT_PhoP	glpD//
CRP_MelR	chbF//fadD//
CRP_MetJ	sucB//
CRP_MhpR	fadD//napB//aceF//gadA//ldtB//lsrF//
CRP_Mlc	
CRP_ModE	nrdF//
CRP_MurR	gntK//dadX//fdhF//
CRP_Nac_NsrR_PhoB	
CRP_NadR	ynfG//
CRP_NagC	fadH//glgA//paaG//gcvH//nanM//
CRP_NagC_NanR	paaA//nrfD//
CRP_NagC_PhoP	truB//
CRP_OxyR	
CRP_OxyR_UxuR	betB//
CRP_PhoB	betB//mhpC//
CRP_PhoP	paaJ//lldD//citF//
CRP_PutA	serA//
CRP_RbsR	icd//astA//acs//
CRP_RhaR_RhaS	
CRP_RhaS	rnpB//ftnA//paaZ//
CRP_Rob	waaY//
CRP_TorR	aroG//glgA//
CRP_UhpA_UvrY	metH//
CRP_UidR_UxuR	folA//sucB//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	fbaA//ynfF//
Cbl_CysB_FNR_IHF	hycG//fbaA//citX//
CdaR_FNR_Fis_Fur_H-NS	tdcD//caiB//
CdaR_FNR_Fur_H-NS	uxaC//glnA//deoA//guaA//
CpxR_CsgD_FliZ	
CpxR_CysB	moaE//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	ilvM//
CpxR_GadE	adiA//metH//argD//
CpxR_H-NS	purM//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	narH//
Cra_FNR_Fis_Lrp_NarL	sucD//
Cra_FNR_Fur_MarA_Rob_SoxS	nfsB//
Cra_FhlA_FlhDC	carB//
Cra_GntR_KdgR	aceB//
Cra_GntR_KdgR_PhoB	nrdE//
Cra_MarA_SoxS	paaF//
Cra_PdeL	ssuE//
Cra_SgrR	cysM//
Cra_TyrR	deoC//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	hycB//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	gatY//narI//
CusR_PhoB_YedW	uxaC//
CysB_H-NS	rutC//hyaB//entB//
CysB_HypT_IHF	fadJ//
CysB_IHF	purD//glyA//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	umpH//
DinJ-YafQ_LexA	uxuA//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	waaZ//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	treC//
FNR_FhlA_NarL_NarP	appA//torA//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	aspC//
FNR_Fis_IHF_ModE_NarL	gltA//
FNR_Fis_IHF_NarL	caiB//
FNR_Fis_IHF_NarL_RstA	entB//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	araD//
FNR_FlhDC_ModE_NarL_NarP	mhpD//
FNR_Fur	nrfD//astA//
FNR_Fur_GadE	gntK//
FNR_Fur_GadX_NtrC	rutC//
FNR_Fur_H-NS	nagB//lysA//xylA//
FNR_Fur_MetR_NsrR	idnK//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	lsrG//
FNR_Fur_OxyR	entF//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	hemA//
FNR_H-NS_NrdR	mhpD//rutD//
FNR_IHF	waaZ//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	kbaZ//
FNR_IHF_PhoB	
FNR_MalT	paaZ//rnpB//
FNR_ModE	
FNR_NarL	fadA//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	waaZ//fadH//
FNR_NarL_NikR	mhpB//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	ogt//murC//
FNR_YqjI	
FabR_FadR	fdhF//rnpB//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	pgaC//guaB//
FhlA_IHF_NsrR	
Fis_Fur	gatD//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	ndh//
Fis_IHF	
Fis_IHF_NtrC	fadB//cyoE//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	purA//
Fis_NarL	nanM//
Fis_NarL_NarP_NsrR	
Fis_PurR	gltB//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	hyaC//
Fur_H-NS	uxaC//xylA//
Fur_IHF_IscR_NsrR_OxyR	rutD//
Fur_IscR_NrdR	cysJ//
Fur_MetR	aroL//
Fur_MntR	hycD//
Fur_MntR_OxyR	aspC//
Fur_OxyR	
Fur_PurR	cysJ//
Fur_RcnR	ansB//
Fur_RutR	galE//
Fur_SoxS_Zur	
Fur_YqjI	uxuA//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	fucU//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	ubiC//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	tdcE//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	nrfC//
H-NS_Lrp_NhaR_RcsB	fadH//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	citG//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	uidA//
HU_IHF_TyrR	hcp//
HigA_HigB-HigA	gcvH//
HipAB_HipB_IHF	glpA//
HypT_MetJ	serC//
HypT_MetJ_PhoP	recF//gadB//
IHF_Lrp	ulaF//gltA//fadA//napA//astD//
IHF_NsrR	
IHF_NtrC	aldB//
IHF_PhoP	
IHF_PspF	paaG//
IHF_RcsAB	
IHF_RtcR	aceB//glgC//
IHF_TyrR	mhpE//
IHF_UlaR	edd//
LexA_MraZ_PdhR	ssuE//entD//folA//fabZ//lysA//ahpC//pgaC//hycE//hycB//nirB//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	lacZ//pgaD//
MarA_PhoP_Rob_SoxS	nanK//astA//fucO//sucB//mraY//hcp//ilvI//codA//betB//
MarA_Rob_SoxS	fucO//aspC//
MarA_SoxS	lsrK//purN//atoB//
MetJ_MetR	glpB//
MetJ_OxyR	hycE//
MetR_PurR	hycE//
MraZ_PdhR	pdeR//
Nac_PurR	torA//adiA//
NarL_TorR	ulaE//
NemR_RutR	pyrC//accC//
NhaR_OmpR	paaI//ynfF//codA//
NorR_NsrR	
NsrR_PhoB	napA//
OxyR_SoxS	
PdhR_PhoP	lhgO//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	deoA//pncB//
RelB_RelB-RelE	narI//
TrpR_TyrR	hcp//
YefM_YefM-YoeB	rimK//
