# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	entD//icd//
ArcA_CRP_IHF	hycB//
ArcA_CRP_PuuR	ssuE//folA//astE//yqjH//
ArcA_CRP_RhaS	atoA//
ArcA_CRP_TreR	hmp//purM//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	ddlB//aroL//
ArcA_Cra	araD//
ArcA_Cra_FNR_H-NS_HypT	dmsB//
ArcA_CysB_FNR	
ArcA_FNR	metL//araA//nrdE//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	icd//
ArcA_FNR_Fis_IHF_NarL	dusB//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	moeB//lpxD//
ArcA_FNR_IHF_NarL	puuB//sodA//
ArcA_FNR_NarL	fabA//rsmH//acs//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	lsrK//frdD//
ArcA_FadR	waaZ//mazG//rutD//
ArcA_FadR_Fis	murD//garL//
ArcA_Fur_Lrp_ModE	prpE//hyaB//
ArcA_GlcC_IHF_PdhR	murD//glcB//uxaB//
ArcA_LexA	lhgO//
ArcA_LldR	glcD//ynfH//
ArcA_NarL	frdB//
ArcA_NtrC_PhoP_RutR	kbaZ//rnpB//glcD//ilvA//sucC//ynfF//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	malP//
ArgP_CRP_FNR_Fur_Nac	glgP//
ArgP_DnaA	torC//
ArgP_Lrp	lhgO//rhaD//
ArgP_LysR	dmsB//
ArgP_PhoB	
ArgR_CRP	dmsA//
ArgR_CRP_Fis	glnA//araA//pyrD//
ArgR_Fis_IHF_PepA_PurR_RutR	caiB//
ArgR_H-NS_NtrC	sdhB//aceA//
ArgR_NtrC	gcvP//gcvP//cysJ//pyrD//citD//
ArgR_PhoP	lhgO//
AscG_CRP	uxuB//sodB//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	patA//
AtoC_IHF	caiD//ilvH//sucC//
BaeR_CpxR	nanE//
BaeR_CpxR_EvgA	glpD//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	ilvM//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	poxB//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	deoD//glcE//edd//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	nanK//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	pyrC//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	ahpF//nrdF//glpC//entF//hyaA//napB//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	gatZ//hycD//gltB//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	moaE//waaY//nirB//
CRP_Cra_Mlc_NagC	sufS//ahpC//mnmG//dadX//
CRP_Cra_PrpR	puuD//nanK//dmsA//ilvG_1//
CRP_CreB_Fis_MalT	adhE//
CRP_CsiR_H-NS_Lrp	lpxA//
CRP_CsiR_H-NS_Lrp_Nac	murE//paaB//hycE//
CRP_CspA_Fis	sgbU//
CRP_CytR	araA//
CRP_CytR_DeoR	gdhA//caiB//
CRP_CytR_DeoR_Fis_ModE	mraY//gltD//eda//rimK//
CRP_CytR_Nac	cyoE//
CRP_CytR_NsrR	citC//
CRP_DcuR_FNR_NarL	cysI//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	hpt//murC//
CRP_DpiA_ExuR	fadJ//
CRP_DsdC	napA//moaD//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	murD//
CRP_ExuR	patA//
CRP_ExuR_FNR	glcD//uxaC//
CRP_ExuR_OxyR_UxuR	dusB//fadB//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	xylA//
CRP_FNR_Fis	galT//ulaF//
CRP_FNR_Fis_GlpR_IHF	ftsI//prmC//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	paaJ//treC//cadA//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	paaZ//hycC//uxaA//cysJ//metL//
CRP_FNR_NarL	pck//paaB//
CRP_FeaR_NsrR	edd//
CRP_Fis	garK//napA//moeA//
CRP_Fis_FlhDC_GalR_GalS	fadB//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	glpD//cysM//
CRP_Fis_IHF	citC//napA//metH//
CRP_Fis_NanR	deoA//puuB//lsrG//adiA//
CRP_Fis_NtrC	puuD//
CRP_Fis_XylR	chbG//
CRP_FlhDC_GalR_GalS	gatZ//
CRP_FucR	narH//caiD//paaC//nfsA//caiD//aspA//
CRP_Fur	purD//fabA//narH//lpxA//prmC//entH//fadB//fau//lpxC//chbG//
CRP_Fur_HypT_PdhR	zwf//serC//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	mnmG//ftsI//fadA//malY//
CRP_GalR_GalS_NagC	atoD//
CRP_GlpR	nemA//guaB//glpC//
CRP_GntR	paaF//
CRP_GntR_IdnR	citC//kbaZ//napB//rutB//paaG//uvrA//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	garK//hypF//putA//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	fadI//
CRP_H-NS_LacI	pgaC//ilvM//moeA//
CRP_H-NS_LeuO	atoB//
CRP_H-NS_MqsA	
CRP_IHF	mtlD//paaZ//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	tnaA//
CRP_IHF_PaaX	acnA//paaJ//metL//serA//waaY//dgcZ//ulaE//fabA//
CRP_IHF_UlaR	purM//relA//argG//puuB//
CRP_IHF_YiaJ	pgaC//deoA//sdhC//gapA//gabT//adiA//
CRP_LexA	
CRP_Lrp	pdeL//rutE//mhpC//mtlD//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	truB//
CRP_LsrR	moaE//hyaA//hycC//rsmH//sdhA//
CRP_MalI	treC//tdcD//
CRP_MalT	sucC//prmC//
CRP_MalT_PhoP	aroA//
CRP_MelR	uxaA//sgbH//
CRP_MetJ	mraY//
CRP_MhpR	sgbE//yiaK//galK//carA//pspE//kbaZ//
CRP_Mlc	
CRP_ModE	ddlB//
CRP_MurR	paaK//glpD//hyaA//
CRP_Nac_NsrR_PhoB	
CRP_NadR	napG//
CRP_NagC	puuD//moaA//prmC//rutD//frdD//
CRP_NagC_NanR	waaY//hycE//
CRP_NagC_PhoP	melA//
CRP_OxyR	
CRP_OxyR_UxuR	puuA//
CRP_PhoB	moeA//ubiA//
CRP_PhoP	rutC//lldD//ogt//
CRP_PutA	napG//
CRP_RbsR	acnB//mhpD//entC//
CRP_RhaR_RhaS	
CRP_RhaS	caiD//hycF//entA//
CRP_Rob	guaB//
CRP_TorR	mhpC//eda//
CRP_UhpA_UvrY	sodA//
CRP_UidR_UxuR	glpD//idnK//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	gatY//uxuB//
Cbl_CysB_FNR_IHF	fdhF//pflB//pyrD//
CdaR_FNR_Fis_Fur_H-NS	lacZ//hycC//
CdaR_FNR_Fur_H-NS	mhpB//ansB//metK//napA//
CpxR_CsgD_FliZ	
CpxR_CysB	waaH//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	nrdF//
CpxR_GadE	ascB//nagA//astA//
CpxR_H-NS	caiD//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	aspA//
Cra_FNR_Fis_Lrp_NarL	nagB//
Cra_FNR_Fur_MarA_Rob_SoxS	fadA//
Cra_FhlA_FlhDC	pck//
Cra_GntR_KdgR	pdeL//
Cra_GntR_KdgR_PhoB	glpK//
Cra_MarA_SoxS	sucB//
Cra_PdeL	fucO//
Cra_SgrR	astA//
Cra_TyrR	lacZ//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	entF//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	metL//glpX//
CusR_PhoB_YedW	murG//
CysB_H-NS	sdhD//araA//sdhA//
CysB_HypT_IHF	guaA//
CysB_IHF	dmsC//ynfF//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	hypF//
DinJ-YafQ_LexA	ascB//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	moeB//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	lpxA//
FNR_FhlA_NarL_NarP	waaH//rutA//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	recF//
FNR_Fis_IHF_ModE_NarL	paaH//
FNR_Fis_IHF_NarL	glcF//
FNR_Fis_IHF_NarL_RstA	moaE//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	ubiA//
FNR_FlhDC_ModE_NarL_NarP	glcB//
FNR_Fur	ddlB//paaZ//
FNR_Fur_GadE	atoD//
FNR_Fur_GadX_NtrC	dgcZ//
FNR_Fur_H-NS	rhaB//prpC//galK//
FNR_Fur_MetR_NsrR	glcF//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	aceE//
FNR_Fur_OxyR	gabD//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	paaJ//
FNR_H-NS_NrdR	idnK//paaK//
FNR_IHF	uxaB//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	argD//
FNR_IHF_PhoB	
FNR_MalT	ssuD//nanE//
FNR_ModE	
FNR_NarL	moeA//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	cysG//putA//
FNR_NarL_NikR	fucO//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	yiaK//aldA//
FNR_YqjI	
FabR_FadR	aceF//fadB//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	mhpB//tauD//
FhlA_IHF_NsrR	
Fis_Fur	caiA//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	tnaA//
Fis_IHF	
Fis_IHF_NtrC	lacA//astC//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	fabA//
Fis_NarL	xylA//
Fis_NarL_NarP_NsrR	
Fis_PurR	glcB//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	hpt//
Fur_H-NS	sucA//dmsB//
Fur_IHF_IscR_NsrR_OxyR	paaG//
Fur_IscR_NrdR	hemL//
Fur_MetR	fadB//
Fur_MntR	edd//
Fur_MntR_OxyR	lhgO//
Fur_OxyR	
Fur_PurR	lsrF//
Fur_RcnR	aceB//
Fur_RutR	malQ//
Fur_SoxS_Zur	
Fur_YqjI	rutE//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	glcB//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	deoB//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	aroG//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	codA//
H-NS_Lrp_NhaR_RcsB	caiA//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	serC//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	lyxK//
HU_IHF_TyrR	nrdE//
HigA_HigB-HigA	aceB//
HipAB_HipB_IHF	glyA//
HypT_MetJ	adiA//
HypT_MetJ_PhoP	ahpC//srlD//
IHF_Lrp	ilvG_1//frdD//dmsB//carA//mazG//
IHF_NsrR	
IHF_NtrC	uxaB//
IHF_PhoP	
IHF_PspF	lysA//
IHF_RcsAB	
IHF_RtcR	ynfG//bglB//
IHF_TyrR	nfsA//
IHF_UlaR	araB//
LexA_MraZ_PdhR	yiaK//yiaK//pspE//pncB//atoA//moeB//garK//aldA//fucO//frdC//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	tdcE//ilvE//
MarA_PhoP_Rob_SoxS	tdcB//aldB//fucU//gabT//chbG//poxB//rutE//acs//mhpD//
MarA_Rob_SoxS	purA//cdd//
MarA_SoxS	ahpF//yiaK//hemA//
MetJ_MetR	serA//
MetJ_OxyR	napB//
MetR_PurR	ascB//
MraZ_PdhR	pnp//
Nac_PurR	hmp//hyaB//
NarL_TorR	fadJ//
NemR_RutR	glgA//napA//
NhaR_OmpR	glcB//ilvH//tdcD//
NorR_NsrR	
NsrR_PhoB	puuA//
OxyR_SoxS	
PdhR_PhoP	glpX//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	pdeR//garK//
RelB_RelB-RelE	ugpQ//
TrpR_TyrR	poxB//
YefM_YefM-YoeB	paaI//
