# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	glgC//relA//
ArcA_CRP_IHF	lhgO//
ArcA_CRP_PuuR	fadH//gcvP//zwf//betA//
ArcA_CRP_RhaS	waaH//
ArcA_CRP_TreR	sodA//aroL//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	ilvE//citF//
ArcA_Cra	hypF//
ArcA_Cra_FNR_H-NS_HypT	mhpD//
ArcA_CysB_FNR	
ArcA_FNR	cdd//yiaK//purD//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	rsmH//
ArcA_FNR_Fis_IHF_NarL	rbsK//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	citE//purM//
ArcA_FNR_IHF_NarL	paaH//glpX//
ArcA_FNR_NarL	ulaF//caiA//prmC//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	idnO//fes//
ArcA_FadR	napA//gntK//mpl//
ArcA_FadR_Fis	rnpB//carB//
ArcA_Fur_Lrp_ModE	serC//gltA//
ArcA_GlcC_IHF_PdhR	gloA//deoC//lhgO//
ArcA_LexA	ndh//
ArcA_LldR	moaE//frdC//
ArcA_NarL	caiA//
ArcA_NtrC_PhoP_RutR	gadA//umpH//rbsK//prpC//rnpB//fucU//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	ubiC//
ArgP_CRP_FNR_Fur_Nac	frdB//
ArgP_DnaA	gnd//
ArgP_Lrp	entF//fadD//
ArgP_LysR	uxuB//
ArgP_PhoB	
ArgR_CRP	purH//
ArgR_CRP_Fis	hycF//prpD//cyoE//
ArgR_Fis_IHF_PepA_PurR_RutR	metH//
ArgR_H-NS_NtrC	puuB//hypF//
ArgR_NtrC	icd//lpd//uxaC//acs//mdh//
ArgR_PhoP	fau//
AscG_CRP	caiA//yqjH//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	epd//
AtoC_IHF	cdd//ilvM//glnA//
BaeR_CpxR	pyrC//
BaeR_CpxR_EvgA	nrdD//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	puuC//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	sodA//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	paaZ//gcvT//murE//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	gltB//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	garK//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	ahpC//malQ//cysM//nrfA//pncB//aceF//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	aroA//glcD//adiA//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	pflB//srlD//gltB//
CRP_Cra_Mlc_NagC	mhpB//nrfC//sdhB//astA//
CRP_Cra_PrpR	sgbE//ilvM//fadE//gabD//
CRP_CreB_Fis_MalT	ascB//
CRP_CsiR_H-NS_Lrp	ansB//
CRP_CsiR_H-NS_Lrp_Nac	hmp//fucI//prmC//
CRP_CspA_Fis	chbF//
CRP_CytR	ilvG_2//
CRP_CytR_DeoR	sgbU//gltA//
CRP_CytR_DeoR_Fis_ModE	putA//ddlB//ilvI//pck//
CRP_CytR_Nac	pnp//
CRP_CytR_NsrR	yiaK//
CRP_DcuR_FNR_NarL	glpC//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	entB//ynfG//
CRP_DpiA_ExuR	tam//
CRP_DsdC	pspE//metB//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	argD//
CRP_ExuR	melA//
CRP_ExuR_FNR	nirD//narH//
CRP_ExuR_OxyR_UxuR	nirD//garL//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	ftsI//
CRP_FNR_Fis	accB//caiC//
CRP_FNR_Fis_GlpR_IHF	torA//epd//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	gcvP//glpC//fadE//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	idnD//glpK//glcE//lpxC//purH//
CRP_FNR_NarL	idnO//ftnA//
CRP_FeaR_NsrR	uxaB//
CRP_Fis	fadE//malP//uxuB//
CRP_Fis_FlhDC_GalR_GalS	sufS//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	gltB//sucA//
CRP_Fis_IHF	mhpE//deoB//aldA//
CRP_Fis_NanR	citE//ssuD//nanE//lacZ//
CRP_Fis_NtrC	guaA//
CRP_Fis_XylR	glcF//
CRP_FlhDC_GalR_GalS	puuE//
CRP_FucR	sodA//lpxC//metE//pgaC//ynfE//mdh//
CRP_Fur	murC//serC//mraY//metK//lyxK//ftsI//cysH//fucK//udp//garK//
CRP_Fur_HypT_PdhR	guaB//fucU//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	gadA//paaE//lyxK//ilvG_2//
CRP_GalR_GalS_NagC	aroA//
CRP_GlpR	hypB//aceF//ubiC//
CRP_GntR	tnaA//
CRP_GntR_IdnR	ldtB//tnaA//sdhA//malQ//chbG//rhaB//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	caiC//mhpE//atoD//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	glpB//
CRP_H-NS_LacI	cysG//mdh//garR//
CRP_H-NS_LeuO	aceE//
CRP_H-NS_MqsA	
CRP_IHF	galM//folA//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	moaA//
CRP_IHF_PaaX	ilvG_2//paaC//caiD//nanM//ilvE//mhpE//umpH//ynfG//
CRP_IHF_UlaR	lldD//nanM//sufS//lyxK//
CRP_IHF_YiaJ	uxaC//aceB//astC//torA//fadI//aceA//
CRP_LexA	
CRP_Lrp	garK//lyxK//tdcD//glyA//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	tnaA//
CRP_LsrR	mhpA//truB//adiA//ftsI//betB//
CRP_MalI	fabZ//chbF//
CRP_MalT	ynfH//xylA//
CRP_MalT_PhoP	hycD//
CRP_MelR	purA//uvrA//
CRP_MetJ	metE//
CRP_MhpR	paaG//astA//tdcB//rhaA//treC//paaK//
CRP_Mlc	
CRP_ModE	appA//
CRP_MurR	rutB//mtlD//torA//
CRP_Nac_NsrR_PhoB	
CRP_NadR	waaH//
CRP_NagC	gloA//acnA//nirB//chbG//lysA//
CRP_NagC_NanR	ilvH//araB//
CRP_NagC_PhoP	ilvM//
CRP_OxyR	
CRP_OxyR_UxuR	chbG//
CRP_PhoB	entF//ilvE//
CRP_PhoP	fabZ//nfsB//fumB//
CRP_PutA	xylB//
CRP_RbsR	nagB//astD//idnO//
CRP_RhaR_RhaS	
CRP_RhaS	aroL//paaC//acnA//
CRP_Rob	mazG//
CRP_TorR	bglB//murC//
CRP_UhpA_UvrY	mraY//
CRP_UidR_UxuR	dgcZ//pyrD//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	fadI//accB//
Cbl_CysB_FNR_IHF	hmp//moeA//sucB//
CdaR_FNR_Fis_Fur_H-NS	paaC//rutE//
CdaR_FNR_Fur_H-NS	ilvM//hycD//nrdB//hycC//
CpxR_CsgD_FliZ	
CpxR_CysB	dadA//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	nrdA//
CpxR_GadE	acs//ugpQ//gadA//
CpxR_H-NS	ilvI//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	prmC//
Cra_FNR_Fis_Lrp_NarL	entH//
Cra_FNR_Fur_MarA_Rob_SoxS	sufS//
Cra_FhlA_FlhDC	hycD//
Cra_GntR_KdgR	murE//
Cra_GntR_KdgR_PhoB	hemL//
Cra_MarA_SoxS	nrfD//
Cra_PdeL	zwf//
Cra_SgrR	gatD//
Cra_TyrR	pdeL//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	ynfG//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	ynfE//argD//
CusR_PhoB_YedW	rutE//
CysB_H-NS	purH//fucO//nrdE//
CysB_HypT_IHF	glnA//
CysB_IHF	rimK//nanM//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	citE//
DinJ-YafQ_LexA	xylB//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	pdeR//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	astC//
FNR_FhlA_NarL_NarP	relA//nrdE//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	rutD//
FNR_Fis_IHF_ModE_NarL	ulaG//
FNR_Fis_IHF_NarL	aldA//
FNR_Fis_IHF_NarL_RstA	paaA//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	frdA//
FNR_FlhDC_ModE_NarL_NarP	glnA//
FNR_Fur	atoA//ssuE//
FNR_Fur_GadE	atoD//
FNR_Fur_GadX_NtrC	hypB//
FNR_Fur_H-NS	hycG//ilvA//ssuE//
FNR_Fur_MetR_NsrR	dsdA//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	hpt//
FNR_Fur_OxyR	purD//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	carA//
FNR_H-NS_NrdR	glnA//fadI//
FNR_IHF	rutC//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	metK//
FNR_IHF_PhoB	
FNR_MalT	lsrG//paaZ//
FNR_ModE	
FNR_NarL	glyA//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	pspE//rsmH//
FNR_NarL_NikR	mdh//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	aceF//ddlB//
FNR_YqjI	
FabR_FadR	hemL//uxuB//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	betA//hycB//
FhlA_IHF_NsrR	
Fis_Fur	caiD//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	cysM//
Fis_IHF	
Fis_IHF_NtrC	nrfA//ftsI//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	treC//
Fis_NarL	puuD//
Fis_NarL_NarP_NsrR	
Fis_PurR	rutB//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	paaH//
Fur_H-NS	metL//pgaB//
Fur_IHF_IscR_NsrR_OxyR	puuE//
Fur_IscR_NrdR	glyA//
Fur_MetR	guaA//
Fur_MntR	glnA//
Fur_MntR_OxyR	metB//
Fur_OxyR	
Fur_PurR	metE//
Fur_RcnR	kbaZ//
Fur_RutR	entF//
Fur_SoxS_Zur	
Fur_YqjI	bglB//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	tam//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	murG//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	hemL//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	cadA//
H-NS_Lrp_NhaR_RcsB	tdcE//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	ynfF//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	rutE//
HU_IHF_TyrR	moaD//
HigA_HigB-HigA	hycF//
HipAB_HipB_IHF	xylA//
HypT_MetJ	nirB//
HypT_MetJ_PhoP	mhpF//hypF//
IHF_Lrp	chbF//mhpB//moaE//uxaC//tam//
IHF_NsrR	
IHF_NtrC	ldtB//
IHF_PhoP	
IHF_PspF	lldD//
IHF_RcsAB	
IHF_RtcR	sgbE//gabT//
IHF_TyrR	rsmH//
IHF_UlaR	sdhB//
LexA_MraZ_PdhR	gcvP//cadA//bglB//mhpB//purN//nfsA//rhaD//nrfB//accC//tdcB//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	lldD//ssuD//
MarA_PhoP_Rob_SoxS	fumB//lpxA//paaK//hcp//sucB//malP//narI//glpD//ilvM//
MarA_Rob_SoxS	kbaZ//waaH//
MarA_SoxS	moaD//hycE//paaC//
MetJ_MetR	sufS//
MetJ_OxyR	accC//
MetR_PurR	pflB//
MraZ_PdhR	idnK//
Nac_PurR	gnd//glpX//
NarL_TorR	ilvH//
NemR_RutR	gadA//nrdB//
NhaR_OmpR	aceB//lacZ//fabZ//
NorR_NsrR	
NsrR_PhoB	pyrD//
OxyR_SoxS	
PdhR_PhoP	glgA//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	rhaD//napC//
RelB_RelB-RelE	deoC//
TrpR_TyrR	pck//
YefM_YefM-YoeB	fumB//
