# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	dusB//carA//
ArcA_CRP_IHF	rutE//
ArcA_CRP_PuuR	glcD//galM//lhgO//nrfB//
ArcA_CRP_RhaS	hycB//
ArcA_CRP_TreR	nanM//sgbE//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	mhpD//gcd//
ArcA_Cra	uxuA//
ArcA_Cra_FNR_H-NS_HypT	garK//
ArcA_CysB_FNR	
ArcA_FNR	citF//gdhA//murG//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	gatZ//
ArcA_FNR_Fis_IHF_NarL	waaH//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	idnK//gcvH//
ArcA_FNR_IHF_NarL	fdhF//pgk//
ArcA_FNR_NarL	murE//mhpA//ilvG_2//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	gutQ//napB//
ArcA_FadR	araB//ilvE//caiC//
ArcA_FadR_Fis	ulaE//murF//
ArcA_Fur_Lrp_ModE	sgbU//astC//
ArcA_GlcC_IHF_PdhR	purD//frdB//deoC//
ArcA_LexA	mhpC//
ArcA_LldR	hycD//fadI//
ArcA_NarL	pdeR//
ArcA_NtrC_PhoP_RutR	lysA//rnpB//rhaD//ynfE//entB//tdcB//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	citF//
ArgP_CRP_FNR_Fur_Nac	nirD//
ArgP_DnaA	pflB//
ArgP_Lrp	caiD//accC//
ArgP_LysR	hemL//
ArgP_PhoB	
ArgR_CRP	purH//
ArgR_CRP_Fis	galM//ndh//eda//
ArgR_Fis_IHF_PepA_PurR_RutR	ilvG_2//
ArgR_H-NS_NtrC	tdcE//ynfF//
ArgR_NtrC	glpB//hpt//prpB//malQ//nfsB//
ArgR_PhoP	yqjH//
AscG_CRP	nrdB//betB//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	ftnA//
AtoC_IHF	fumA//paaH//uxaC//
BaeR_CpxR	entB//
BaeR_CpxR_EvgA	putA//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	nagB//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	nanA//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	araA//frdD//fabA//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	fadH//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	zwf//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	fadB//citF//ilvG_1//narG//atoD//gatZ//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	edd//gntK//puuA//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	sdhA//lhgO//nanK//
CRP_Cra_Mlc_NagC	fdhF//entD//nrfB//nemA//
CRP_Cra_PrpR	poxB//rutD//glpA//lacZ//
CRP_CreB_Fis_MalT	sgbH//
CRP_CsiR_H-NS_Lrp	gatY//
CRP_CsiR_H-NS_Lrp_Nac	aceE//torC//lsrG//
CRP_CspA_Fis	rutA//
CRP_CytR	relA//
CRP_CytR_DeoR	glpX//napC//
CRP_CytR_DeoR_Fis_ModE	rhaA//metB//eda//pgaD//
CRP_CytR_Nac	paaJ//
CRP_CytR_NsrR	gltA//
CRP_DcuR_FNR_NarL	mhpA//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	fucK//hycG//
CRP_DpiA_ExuR	uxuA//
CRP_DsdC	uxuB//nrdE//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	nirB//
CRP_ExuR	astC//
CRP_ExuR_FNR	nrfB//nrfB//
CRP_ExuR_OxyR_UxuR	entD//citG//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	metE//
CRP_FNR_Fis	prpC//hemL//
CRP_FNR_Fis_GlpR_IHF	glcD//rhaD//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	fucK//hypF//prpD//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	zwf//cysJ//hmp//lpxC//idnO//
CRP_FNR_NarL	prpE//araB//
CRP_FeaR_NsrR	fadE//
CRP_Fis	murQ//ppiA//purN//
CRP_Fis_FlhDC_GalR_GalS	tdcB//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	ssuD//citG//
CRP_Fis_IHF	ssuE//rutB//aldB//
CRP_Fis_NanR	garR//mraY//lyxK//glpX//
CRP_Fis_NtrC	ilvD//
CRP_Fis_XylR	ackA//
CRP_FlhDC_GalR_GalS	citC//
CRP_FucR	sodA//pflB//waaH//hycB//pflB//adiA//
CRP_Fur	tdcE//astB//fadE//chbG//moaA//gltB//codA//garR//ynfF//hemL//
CRP_Fur_HypT_PdhR	serA//fucO//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	bglB//gdhA//sgbU//pflB//
CRP_GalR_GalS_NagC	rnpB//
CRP_GlpR	astB//dsdA//uidA//
CRP_GntR	metB//
CRP_GntR_IdnR	murQ//hemA//atoA//eda//ddlB//rbsD//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	purH//hyaC//melA//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	gabT//
CRP_H-NS_LacI	napA//serA//tauD//
CRP_H-NS_LeuO	waaY//
CRP_H-NS_MqsA	
CRP_IHF	uxaA//pck//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	fau//
CRP_IHF_PaaX	hycB//sucA//sufS//metL//aldA//nirD//fucU//mhpB//
CRP_IHF_UlaR	waaY//aceE//idnK//gabD//
CRP_IHF_YiaJ	hycB//gatD//dgcZ//ftsI//sucA//rimK//
CRP_LexA	
CRP_Lrp	glcD//mhpD//pck//citG//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	argD//
CRP_LsrR	glpD//waaZ//truB//glpC//gadB//
CRP_MalI	nanE//cdd//
CRP_MalT	aceF//nfsB//
CRP_MalT_PhoP	nrdB//
CRP_MelR	fadB//purN//
CRP_MetJ	ppiA//
CRP_MhpR	gltD//entF//citD//acnA//betB//sdhA//
CRP_Mlc	
CRP_ModE	lpxD//
CRP_MurR	lpxD//nirB//prpC//
CRP_Nac_NsrR_PhoB	
CRP_NadR	fabA//
CRP_NagC	gcvH//melA//fucI//tdcD//caiA//
CRP_NagC_NanR	tdcG//glpC//
CRP_NagC_PhoP	entF//
CRP_OxyR	
CRP_OxyR_UxuR	rhaA//
CRP_PhoB	pspE//xylB//
CRP_PhoP	cadA//ogt//rutD//
CRP_PutA	acnA//
CRP_RbsR	fadE//astC//gntK//
CRP_RhaR_RhaS	
CRP_RhaS	cadA//waaH//gcvT//
CRP_Rob	nirB//
CRP_TorR	tdcE//fadE//
CRP_UhpA_UvrY	napB//
CRP_UidR_UxuR	aceB//metH//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	glcB//metE//
Cbl_CysB_FNR_IHF	cysM//puuA//hmp//
CdaR_FNR_Fis_Fur_H-NS	aceB//rhaD//
CdaR_FNR_Fur_H-NS	atoD//cyoE//fadH//rbsK//
CpxR_CsgD_FliZ	
CpxR_CysB	glpB//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	relA//
CpxR_GadE	sdhC//accB//hmp//
CpxR_H-NS	rbsD//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	glyA//
Cra_FNR_Fis_Lrp_NarL	hycC//
Cra_FNR_Fur_MarA_Rob_SoxS	ppiA//
Cra_FhlA_FlhDC	ubiC//
Cra_GntR_KdgR	betB//
Cra_GntR_KdgR_PhoB	poxB//
Cra_MarA_SoxS	tauD//
Cra_PdeL	paaA//
Cra_SgrR	rbsK//
Cra_TyrR	caiD//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	prpC//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	ynfE//dsdA//
CusR_PhoB_YedW	acnB//
CysB_H-NS	gltD//codA//gutQ//
CysB_HypT_IHF	epd//
CysB_IHF	rutB//rutE//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	lldD//
DinJ-YafQ_LexA	ynfG//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	citE//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	garR//
FNR_FhlA_NarL_NarP	nrfA//glgP//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	moeA//
FNR_Fis_IHF_ModE_NarL	nanA//
FNR_Fis_IHF_NarL	xylA//
FNR_Fis_IHF_NarL_RstA	astA//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	pflB//
FNR_FlhDC_ModE_NarL_NarP	treC//
FNR_Fur	pncB//glcB//
FNR_Fur_GadE	rimK//
FNR_Fur_GadX_NtrC	ulaG//
FNR_Fur_H-NS	entA//aceB//ynfG//
FNR_Fur_MetR_NsrR	pflB//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	ulaF//
FNR_Fur_OxyR	citG//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	eda//
FNR_H-NS_NrdR	mazG//mnmG//
FNR_IHF	malS//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	malY//
FNR_IHF_PhoB	
FNR_MalT	astB//sucA//
FNR_ModE	
FNR_NarL	atoA//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	deoA//atoD//
FNR_NarL_NikR	gadB//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	cysI//glgC//
FNR_YqjI	
FabR_FadR	caiD//ilvH//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	citC//napB//
FhlA_IHF_NsrR	
Fis_Fur	epd//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	lpxA//
Fis_IHF	
Fis_IHF_NtrC	glpX//ugpQ//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	prpE//
Fis_NarL	gcvP//
Fis_NarL_NarP_NsrR	
Fis_PurR	hypF//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	aroL//
Fur_H-NS	accB//epd//
Fur_IHF_IscR_NsrR_OxyR	sodB//
Fur_IscR_NrdR	ulaE//
Fur_MetR	bglB//
Fur_MntR	ldtB//
Fur_MntR_OxyR	hycC//
Fur_OxyR	
Fur_PurR	murD//
Fur_RcnR	guaB//
Fur_RutR	sucD//
Fur_SoxS_Zur	
Fur_YqjI	ilvM//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	galK//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	idnD//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	citG//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	puuA//
H-NS_Lrp_NhaR_RcsB	puuC//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	gabD//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	appA//
HU_IHF_TyrR	waaZ//
HigA_HigB-HigA	appA//
HipAB_HipB_IHF	glpC//
HypT_MetJ	putA//
HypT_MetJ_PhoP	waaH//sodA//
IHF_Lrp	fdhF//murD//hypB//astC//glgP//
IHF_NsrR	
IHF_NtrC	caiB//
IHF_PhoP	
IHF_PspF	argD//
IHF_RcsAB	
IHF_RtcR	waaY//pdeL//
IHF_TyrR	citF//
IHF_UlaR	garK//
LexA_MraZ_PdhR	acnA//ynfG//sgbU//ppiA//fadB//moaA//paaG//uxaC//deoB//fucO//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	chbG//pdeR//
MarA_PhoP_Rob_SoxS	puuE//frdC//glcB//nanM//eda//ddlB//glcB//narG//yiaK//
MarA_Rob_SoxS	cysG//mhpD//
MarA_SoxS	folA//aroA//hyaA//
MetJ_MetR	ilvE//
MetJ_OxyR	gabT//
MetR_PurR	pgaB//
MraZ_PdhR	metE//
Nac_PurR	paaG//ilvI//
NarL_TorR	caiA//
NemR_RutR	murD//fadH//
NhaR_OmpR	pck//edd//dusB//
NorR_NsrR	
NsrR_PhoB	gloA//
OxyR_SoxS	
PdhR_PhoP	ssuD//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	bglB//nirB//
RelB_RelB-RelE	pgaD//
TrpR_TyrR	murC//
YefM_YefM-YoeB	aceA//
